,MAT US Equity
2020-08-21,7.736
2020-08-22,7.736
2020-08-23,7.736
2020-08-24,7.788
2020-08-25,7.819
2020-08-26,7.701
2020-08-27,7.708
2020-08-28,7.771
2020-08-29,7.771
2020-08-30,7.771
2020-08-31,7.462
2020-09-01,7.743
2020-09-02,7.91
2020-09-03,7.618
2020-09-04,7.503
2020-09-05,7.503
2020-09-06,7.503
2020-09-07,7.503
2020-09-08,7.535
2020-09-09,7.618
2020-09-10,7.694
2020-09-11,7.646
2020-09-12,7.646
2020-09-13,7.646
2020-09-14,7.618
2020-09-15,7.674
2020-09-16,7.944
2020-09-17,8.236
2020-09-18,8.097
2020-09-19,8.097
2020-09-20,8.097
2020-09-21,8.056
2020-09-22,7.844
2020-09-23,7.84
2020-09-24,7.868
2020-09-25,7.868
2020-09-26,7.868
2020-09-27,7.868
2020-09-28,7.917
2020-09-29,7.986
2020-09-30,8.125
2020-10-01,8.278
2020-10-02,8.385
2020-10-03,8.385
2020-10-04,8.385
2020-10-05,8.5
2020-10-06,8.507
2020-10-07,8.576
2020-10-08,8.75
2020-10-09,8.674
2020-10-10,8.674
2020-10-11,8.674
2020-10-12,8.757
2020-10-13,8.715
2020-10-14,8.635
2020-10-15,8.604
2020-10-16,8.75
2020-10-17,8.75
2020-10-18,8.75
2020-10-19,8.698
2020-10-20,8.715
2020-10-21,8.646
2020-10-22,8.972
2020-10-23,9.83
2020-10-24,9.83
2020-10-25,9.83
2020-10-26,9.549
2020-10-27,10.649
2020-10-28,10.485
2020-10-29,10.448
2020-10-30,10.276
2020-10-31,10.276
2020-11-01,10.276
2020-11-02,10.396
2020-11-03,10.425
2020-11-04,10.138
2020-11-05,10.701
2020-11-06,10.623
2020-11-07,10.623
2020-11-08,10.623
2020-11-09,10.104
2020-11-10,10.425
2020-11-11,10.358
2020-11-12,10.112
2020-11-13,10.276
2020-11-14,10.276
2020-11-15,10.276
2020-11-16,10.716
2020-11-17,10.821
2020-11-18,10.851
2020-11-19,11.179
2020-11-20,11.224
2020-11-21,11.224
2020-11-22,11.224
2020-11-23,11.545
2020-11-24,11.575
2020-11-25,11.724
2020-11-26,11.724
2020-11-27,11.896
2020-11-28,11.896
2020-11-29,11.896
2020-11-30,11.56
2020-12-01,11.716
2020-12-02,11.619
2020-12-03,11.619
2020-12-04,11.545
2020-12-05,11.545
2020-12-06,11.545
2020-12-07,11.515
2020-12-08,12.037
2020-12-09,12.075
2020-12-10,11.776
2020-12-11,11.903
2020-12-12,11.903
2020-12-13,11.903
2020-12-14,12.194
2020-12-15,12.821
2020-12-16,13.313
2020-12-17,13.396
2020-12-18,13.522
2020-12-19,13.522
2020-12-20,13.522
2020-12-21,13.254
2020-12-22,13.082
2020-12-23,13.142
2020-12-24,13.082
2020-12-25,13.082
2020-12-26,13.082
2020-12-27,13.082
2020-12-28,13.149
2020-12-29,12.888
2020-12-30,13.067
2020-12-31,13.022
2021-01-01,13.022
2021-01-02,13.022
2021-01-03,13.022
2021-01-04,12.873
2021-01-05,13.201
2021-01-06,13.507
2021-01-07,13.627
2021-01-08,13.649
2021-01-09,13.649
2021-01-10,13.649
2021-01-11,13.746
2021-01-12,14.291
2021-01-13,14.119
2021-01-14,14.045
2021-01-15,14.0
2021-01-16,14.0
2021-01-17,14.0
2021-01-18,14.0
2021-01-19,14.045
2021-01-20,13.679
2021-01-21,13.604
2021-01-22,13.709
2021-01-23,13.709
2021-01-24,13.709
2021-01-25,13.448
2021-01-26,13.194
2021-01-27,13.507
2021-01-28,13.478
2021-01-29,13.522
2021-01-30,13.522
2021-01-31,13.522
2021-02-01,13.642
2021-02-02,13.739
2021-02-03,13.858
2021-02-04,13.851
2021-02-05,13.813
2021-02-06,13.813
2021-02-07,13.813
2021-02-08,13.776
2021-02-09,14.075
2021-02-10,13.784
2021-02-11,13.5
2021-02-12,13.657
2021-02-13,13.657
2021-02-14,13.657
2021-02-15,13.657
2021-02-16,13.613
2021-02-17,13.942
2021-02-18,13.912
2021-02-19,13.883
2021-02-20,13.883
2021-02-21,13.883
2021-02-22,14.204
2021-02-23,14.241
2021-02-24,14.387
2021-02-25,14.328
2021-02-26,14.745
2021-02-27,14.745
2021-02-28,14.745
2021-03-01,15.168
2021-03-02,15.168
2021-03-03,14.847
2021-03-04,14.642
2021-03-05,15.153
2021-03-06,15.153
2021-03-07,15.153
2021-03-08,14.956
2021-03-09,14.358
2021-03-10,15.182
2021-03-11,15.328
2021-03-12,15.31
2021-03-13,15.31
2021-03-14,15.31
2021-03-15,15.774
2021-03-16,15.869
2021-03-17,15.387
2021-03-18,15.175
2021-03-19,15.394
2021-03-20,15.394
2021-03-21,15.394
2021-03-22,15.237
2021-03-23,14.701
2021-03-24,14.401
2021-03-25,14.591
2021-03-26,14.737
2021-03-27,14.737
2021-03-28,14.737
2021-03-29,14.46
2021-03-30,14.766
2021-03-31,14.54
2021-04-01,14.759
2021-04-02,14.759
2021-04-03,14.759
2021-04-04,14.759
2021-04-05,14.934
2021-04-06,15.124
2021-04-07,15.015
2021-04-08,14.591
2021-04-09,14.708
2021-04-10,14.708
2021-04-11,14.708
2021-04-12,14.788
2021-04-13,14.854
2021-04-14,14.912
2021-04-15,14.985
2021-04-16,14.964
2021-04-17,14.964
2021-04-18,14.964
2021-04-19,15.212
2021-04-20,14.942
2021-04-21,15.219
2021-04-22,15.241
2021-04-23,15.365
2021-04-24,15.365
2021-04-25,15.365
2021-04-26,15.81
2021-04-27,15.912
2021-04-28,16.051
2021-04-29,15.861
2021-04-30,15.664
2021-05-01,15.664
2021-05-02,15.664
2021-05-03,13.897
2021-05-04,14.032
2021-05-05,14.258
2021-05-06,14.381
2021-05-07,14.097
2021-05-08,14.097
2021-05-09,14.097
2021-05-10,14.006
2021-05-11,13.632
2021-05-12,13.026
2021-05-13,13.097
2021-05-14,13.335
2021-05-15,13.335
2021-05-16,13.335
2021-05-17,13.448
2021-05-18,13.271
2021-05-19,12.813
2021-05-20,13.0
2021-05-21,12.974
2021-05-22,12.974
2021-05-23,12.974
2021-05-24,12.923
2021-05-25,12.903
2021-05-26,13.265
2021-05-27,13.735
2021-05-28,13.684
2021-05-29,13.684
2021-05-30,13.684
2021-05-31,13.684
2021-06-01,13.632
2021-06-02,13.897
2021-06-03,13.458
2021-06-04,13.342
2021-06-05,13.342
2021-06-06,13.342
2021-06-07,13.348
2021-06-08,13.684
2021-06-09,13.516
2021-06-10,13.245
2021-06-11,13.548
2021-06-12,13.548
2021-06-13,13.548
2021-06-14,13.116
2021-06-15,13.045
2021-06-16,12.839
2021-06-17,12.471
2021-06-18,12.516
2021-06-19,12.516
2021-06-20,12.516
2021-06-21,12.51
2021-06-22,12.548
2021-06-23,12.671
2021-06-24,12.742
2021-06-25,12.716
2021-06-26,12.716
2021-06-27,12.716
2021-06-28,12.71
2021-06-29,13.181
2021-06-30,12.968
2021-07-01,13.09
2021-07-02,13.232
2021-07-03,13.232
2021-07-04,13.232
2021-07-05,13.232
2021-07-06,12.916
2021-07-07,12.806
2021-07-08,12.677
2021-07-09,12.955
2021-07-10,12.955
2021-07-11,12.955
2021-07-12,13.11
2021-07-13,13.052
2021-07-14,12.729
2021-07-15,12.665
2021-07-16,12.529
2021-07-17,12.529
2021-07-18,12.529
2021-07-19,12.123
2021-07-20,12.594
2021-07-21,12.735
2021-07-22,12.535
2021-07-23,12.335
2021-07-24,12.335
2021-07-25,12.335
2021-07-26,13.413
2021-07-27,13.252
2021-07-28,13.897
2021-07-29,13.871
2021-07-30,14.013
2021-07-31,14.013
2021-08-01,14.013
2021-08-02,14.135
2021-08-03,14.071
2021-08-04,13.994
2021-08-05,12.58
2021-08-06,12.655
2021-08-07,12.655
2021-08-08,12.655
2021-08-09,12.787
2021-08-10,12.943
2021-08-11,12.782
2021-08-12,12.667
2021-08-13,12.592
2021-08-14,12.592
2021-08-15,12.592
2021-08-16,12.563
2021-08-17,12.287
2021-08-18,11.908
2021-08-19,12.04
2021-08-20,12.201
2021-08-21,12.201
2021-08-22,12.201
2021-08-23,12.362
2021-08-24,12.557
2021-08-25,12.609
2021-08-26,12.511
2021-08-27,12.655
2021-08-28,12.655
2021-08-29,12.655
2021-08-30,12.471
2021-08-31,12.27
2021-09-01,12.379
2021-09-02,12.276
2021-09-03,12.362
2021-09-04,12.362
2021-09-05,12.362
2021-09-06,12.362
2021-09-07,12.178
2021-09-08,11.741
2021-09-09,11.695
2021-09-10,11.489
2021-09-11,11.489
2021-09-12,11.489
2021-09-13,11.782
2021-09-14,11.672
2021-09-15,11.885
2021-09-16,11.828
2021-09-17,11.713
2021-09-18,11.713
2021-09-19,11.713
2021-09-20,11.552
2021-09-21,11.293
2021-09-22,11.54
2021-09-23,11.69
2021-09-24,11.385
2021-09-25,11.385
2021-09-26,11.385
2021-09-27,11.167
2021-09-28,11.092
2021-09-29,11.178
2021-09-30,10.667
2021-10-01,10.753
2021-10-02,10.753
2021-10-03,10.753
2021-10-04,10.546
2021-10-05,10.649
2021-10-06,10.833
2021-10-07,11.034
2021-10-08,10.925
2021-10-09,10.925
2021-10-10,10.925
2021-10-11,10.851
2021-10-12,10.96
2021-10-13,10.943
2021-10-14,11.328
2021-10-15,11.299
2021-10-16,11.299
2021-10-17,11.299
2021-10-18,11.523
2021-10-19,11.684
2021-10-20,11.425
2021-10-21,11.684
2021-10-22,11.753
2021-10-23,11.753
2021-10-24,11.753
2021-10-25,10.691
2021-10-26,10.92
2021-10-27,10.973
2021-10-28,11.378
2021-10-29,11.601
2021-10-30,11.601
2021-10-31,11.601
2021-11-01,11.484
2021-11-02,11.303
2021-11-03,11.394
2021-11-04,11.42
2021-11-05,11.559
2021-11-06,11.559
2021-11-07,11.559
2021-11-08,11.952
2021-11-09,12.074
2021-11-10,12.0
2021-11-11,12.08
2021-11-12,12.09
2021-11-13,12.09
2021-11-14,12.09
2021-11-15,12.16
2021-11-16,12.106
2021-11-17,12.085
2021-11-18,12.053
2021-11-19,12.048
2021-11-20,12.048
2021-11-21,12.048
2021-11-22,11.904
2021-11-23,11.883
2021-11-24,11.883
2021-11-25,11.883
2021-11-26,11.686
2021-11-27,11.686
2021-11-28,11.686
2021-11-29,11.628
2021-11-30,11.282
2021-12-01,11.346
2021-12-02,11.447
2021-12-03,11.17
2021-12-04,11.17
2021-12-05,11.17
2021-12-06,11.394
2021-12-07,11.537
2021-12-08,11.638
2021-12-09,11.388
2021-12-10,11.303
2021-12-11,11.303
2021-12-12,11.303
2021-12-13,10.718
2021-12-14,10.734
2021-12-15,11.005
2021-12-16,11.027
2021-12-17,10.973
2021-12-18,10.973
2021-12-19,10.973
2021-12-20,10.718
2021-12-21,10.809
2021-12-22,10.809
2021-12-23,11.005
2021-12-24,11.005
2021-12-25,11.005
2021-12-26,11.005
2021-12-27,11.229
2021-12-28,11.154
2021-12-29,11.261
2021-12-30,11.378
2021-12-31,11.468
2022-01-01,11.468
2022-01-02,11.468
2022-01-03,11.564
2022-01-04,11.824
2022-01-05,11.846
2022-01-06,11.888
2022-01-07,11.835
2022-01-08,11.835
2022-01-09,11.835
2022-01-10,11.633
2022-01-11,11.628
2022-01-12,11.697
2022-01-13,12.138
2022-01-14,11.878
2022-01-15,11.878
2022-01-16,11.878
2022-01-17,11.878
2022-01-18,11.878
2022-01-19,11.771
2022-01-20,11.505
2022-01-21,10.819
2022-01-22,10.819
2022-01-23,10.819
2022-01-24,10.984
2022-01-25,10.431
2022-01-26,10.883
2022-01-27,10.564
2022-01-28,11.117
2022-01-29,11.117
2022-01-30,11.117
2022-01-31,11.128
2022-02-01,11.362
2022-02-02,11.441
2022-02-03,11.367
2022-02-04,11.319
2022-02-05,11.319
2022-02-06,11.319
2022-02-07,11.415
2022-02-08,11.654
2022-02-09,11.955
2022-02-10,12.869
2022-02-11,12.68
2022-02-12,12.68
2022-02-13,12.68
2022-02-14,12.717
2022-02-15,13.295
2022-02-16,13.442
2022-02-17,13.121
2022-02-18,13.048
2022-02-19,13.048
2022-02-20,13.048
2022-02-21,13.048
2022-02-22,12.69
2022-02-23,12.57
2022-02-24,13.027
2022-02-25,11.585
2022-02-26,11.585
2022-02-27,11.585
2022-02-28,11.38
2022-03-01,11.256
2022-03-02,11.605
2022-03-03,11.518
2022-03-04,11.164
2022-03-05,11.164
2022-03-06,11.164
2022-03-07,10.52
2022-03-08,10.419
2022-03-09,10.961
2022-03-10,10.621
2022-03-11,10.409
2022-03-12,10.409
2022-03-13,10.409
2022-03-14,10.267
2022-03-15,10.277
2022-03-16,10.635
2022-03-17,10.658
2022-03-18,10.758
2022-03-19,10.758
2022-03-20,10.758
2022-03-21,10.744
2022-03-22,10.939
2022-03-23,10.563
2022-03-24,10.54
2022-03-25,10.395
2022-03-26,10.395
2022-03-27,10.395
2022-03-28,10.354
2022-03-29,10.644
2022-03-30,10.563
2022-03-31,10.077
2022-04-01,10.172
2022-04-02,10.172
2022-04-03,10.172
2022-04-04,10.449
2022-04-05,10.363
2022-04-06,9.896
2022-04-07,10.009
2022-04-08,9.959
2022-04-09,9.959
2022-04-10,9.959
2022-04-11,9.891
2022-04-12,9.986
2022-04-13,10.1
2022-04-14,10.041
2022-04-15,10.041
2022-04-16,10.041
2022-04-17,10.041
2022-04-18,10.032
2022-04-19,10.588
2022-04-20,10.498
2022-04-21,10.376
2022-04-22,10.308
2022-04-23,10.308
2022-04-24,10.308
2022-04-25,10.498
2022-04-26,10.005
2022-04-27,11.071
2022-04-28,11.023
2022-04-29,10.862
2022-04-30,10.862
2022-05-01,10.862
2022-05-02,11.041
2022-05-03,11.531
2022-05-04,11.965
2022-05-05,11.766
2022-05-06,11.588
2022-05-07,11.588
2022-05-08,11.588
2022-05-09,10.52
2022-05-10,10.362
2022-05-11,10.275
2022-05-12,10.491
2022-05-13,10.978
2022-05-14,10.978
2022-05-15,10.978
2022-05-16,10.908
2022-05-17,11.129
2022-05-18,10.505
2022-05-19,9.868
2022-05-20,9.822
2022-05-21,9.822
2022-05-22,9.822
2022-05-23,9.788
2022-05-24,9.177
2022-05-25,9.614
2022-05-26,10.17
2022-05-27,10.492
2022-05-28,10.492
2022-05-29,10.492
2022-05-30,10.492
2022-05-31,10.662
2022-06-01,10.386
2022-06-02,10.556
2022-06-03,10.59
2022-06-04,10.59
2022-06-05,10.59
2022-06-06,10.416
2022-06-07,10.412
2022-06-08,10.323
2022-06-09,10.144
2022-06-10,9.949
2022-06-11,9.949
2022-06-12,9.949
2022-06-13,9.393
2022-06-14,9.465
2022-06-15,9.419
2022-06-16,9.109
2022-06-17,9.253
2022-06-18,9.253
2022-06-19,9.253
2022-06-20,9.253
2022-06-21,9.66
2022-06-22,9.38
2022-06-23,9.554
2022-06-24,9.975
2022-06-25,9.975
2022-06-26,9.975
2022-06-27,10.008
2022-06-28,9.856
2022-06-29,9.741
2022-06-30,9.478
2022-07-01,9.372
2022-07-02,9.372
2022-07-03,9.372
2022-07-04,9.372
2022-07-05,9.597
2022-07-06,9.508
2022-07-07,9.779
2022-07-08,9.66
2022-07-09,9.66
2022-07-10,9.66
2022-07-11,9.353
2022-07-12,9.207
2022-07-13,9.191
2022-07-14,9.004
2022-07-15,8.975
2022-07-16,8.975
2022-07-17,8.975
2022-07-18,8.954
2022-07-19,9.369
2022-07-20,11.038
2022-07-21,11.466
2022-07-22,10.65
2022-07-23,10.65
2022-07-24,10.65
2022-07-25,10.508
2022-07-26,10.502
2022-07-27,10.913
2022-07-28,11.128
2022-07-29,11.085
2022-07-30,11.085
2022-07-31,11.085
2022-08-01,11.065
2022-08-02,11.051
2022-08-03,10.879
2022-08-04,10.898
2022-08-05,10.745
2022-08-06,10.745
2022-08-07,10.745
2022-08-08,10.793
2022-08-09,10.774
2022-08-10,10.927
2022-08-11,11.07
2022-08-12,11.247
2022-08-13,11.247
2022-08-14,11.247
2022-08-15,11.089
2022-08-16,11.371
2022-08-17,11.214
2022-08-18,11.515
2022-08-19,11.567
2022-08-20,11.567
2022-08-21,11.567
2022-08-22,11.257
2022-08-23,11.237
2022-08-24,11.266
2022-08-25,11.338
2022-08-26,10.927
2022-08-27,10.927
2022-08-28,10.927
2022-08-29,10.793
2022-08-30,10.726
2022-08-31,10.569
2022-09-01,10.592
2022-09-02,10.549
2022-09-03,10.549
2022-09-04,10.549
2022-09-05,10.549
2022-09-06,10.573
2022-09-07,10.807
2022-09-08,10.917
2022-09-09,11.242
2022-09-10,11.242
2022-09-11,11.242
2022-09-12,11.252
2022-09-13,11.008
2022-09-14,11.042
2022-09-15,10.549
2022-09-16,9.986
2022-09-17,9.986
2022-09-18,9.986
2022-09-19,10.406
2022-09-20,10.21
2022-09-21,10.014
2022-09-22,9.627
2022-09-23,9.508
2022-09-24,9.508
2022-09-25,9.508
2022-09-26,9.417
2022-09-27,9.274
2022-09-28,9.35
2022-09-29,8.958
2022-09-30,9.049
2022-10-01,9.049
2022-10-02,9.049
2022-10-03,9.12
2022-10-04,9.388
2022-10-05,9.412
2022-10-06,9.312
2022-10-07,9.484
2022-10-08,9.484
2022-10-09,9.484
2022-10-10,9.288
2022-10-11,9.45
2022-10-12,9.426
2022-10-13,9.613
2022-10-14,9.393
2022-10-15,9.393
2022-10-16,9.393
2022-10-17,9.517
2022-10-18,9.479
2022-10-19,9.259
2022-10-20,9.202
2022-10-21,9.474
2022-10-22,9.474
2022-10-23,9.474
2022-10-24,9.407
2022-10-25,10.138
2022-10-26,9.831
2022-10-27,9.519
2022-10-28,9.545
2022-10-29,9.545
2022-10-30,9.545
2022-10-31,9.86
2022-11-01,9.906
2022-11-02,9.441
2022-11-03,9.252
2022-11-04,9.158
2022-11-05,9.158
2022-11-06,9.158
2022-11-07,9.252
2022-11-08,9.106
2022-11-09,8.913
2022-11-10,9.106
2022-11-11,9.013
2022-11-12,9.013
2022-11-13,9.013
2022-11-14,8.75
2022-11-15,9.17
2022-11-16,8.971
2022-11-17,9.076
2022-11-18,8.934
2022-11-19,8.934
2022-11-20,8.934
2022-11-21,8.85
2022-11-22,9.307
2022-11-23,9.512
2022-11-24,9.512
2022-11-25,9.449
2022-11-26,9.449
2022-11-27,9.449
2022-11-28,9.391
2022-11-29,9.496
2022-11-30,9.575
2022-12-01,9.69
2022-12-02,9.743
2022-12-03,9.743
2022-12-04,9.743
2022-12-05,9.491
2022-12-06,9.307
2022-12-07,9.107
2022-12-08,9.081
2022-12-09,9.031
2022-12-10,9.031
2022-12-11,9.031
2022-12-12,9.162
2022-12-13,9.199
2022-12-14,9.031
2022-12-15,9.004
2022-12-16,8.809
2022-12-17,8.809
2022-12-18,8.809
2022-12-19,8.667
2022-12-20,8.556
2022-12-21,8.862
2022-12-22,8.825
2022-12-23,8.92
2022-12-24,8.92
2022-12-25,8.92
2022-12-26,8.92
2022-12-27,8.967
2022-12-28,8.925
2022-12-29,9.489
2022-12-30,9.399
2022-12-31,9.399
2023-01-01,9.399
2023-01-02,9.399
2023-01-03,9.451
2023-01-04,9.72
2023-01-05,10.185
2023-01-06,10.518
2023-01-07,10.518
2023-01-08,10.518
2023-01-09,10.328
2023-01-10,10.481
2023-01-11,10.623
2023-01-12,10.698
2023-01-13,10.68
2023-01-14,10.68
2023-01-15,10.68
2023-01-16,10.68
2023-01-17,10.53
2023-01-18,10.302
2023-01-19,10.196
2023-01-20,10.508
2023-01-21,10.508
2023-01-22,10.508
2023-01-23,10.636
2023-01-24,10.519
2023-01-25,10.646
2023-01-26,10.752
2023-01-27,10.678
2023-01-28,10.678
2023-01-29,10.678
2023-01-30,10.906
2023-01-31,10.797
2023-02-01,11.066
2023-02-02,11.256
2023-02-03,11.203
2023-02-04,11.203
2023-02-05,11.203
2023-02-06,10.92
2023-02-07,10.967
2023-02-08,11.453
2023-02-09,11.219
2023-02-10,11.299
2023-02-11,11.299
2023-02-12,11.299
2023-02-13,11.299
2023-02-14,11.373
2023-02-15,11.422
2023-02-16,11.71
2023-02-17,12.168
2023-02-18,12.168
2023-02-19,12.168
2023-02-20,12.168
2023-02-21,11.761
2023-02-22,11.775
2023-02-23,11.833
2023-02-24,11.714
2023-02-25,11.714
2023-02-26,11.714
2023-02-27,11.682
2023-02-28,11.75
2023-03-01,11.639
2023-03-02,11.685
2023-03-03,11.796
2023-03-04,11.796
2023-03-05,11.796
2023-03-06,11.581
2023-03-07,11.339
2023-03-08,11.496
2023-03-09,11.195
2023-03-10,10.901
2023-03-11,10.901
2023-03-12,10.901
2023-03-13,10.64
2023-03-14,10.627
2023-03-15,10.444
2023-03-16,10.849
2023-03-17,10.607
2023-03-18,10.607
2023-03-19,10.607
2023-03-20,10.659
2023-03-21,10.895
2023-03-22,10.627
2023-03-23,10.575
2023-03-24,10.634
2023-03-25,10.634
2023-03-26,10.634
2023-03-27,11.058
2023-03-28,11.156
2023-03-29,11.463
2023-03-30,11.653
2023-03-31,12.025
2023-04-01,12.025
2023-04-02,12.025
2023-04-03,11.816
2023-04-04,11.783
2023-04-05,11.522
2023-04-06,11.45
2023-04-07,11.45
2023-04-08,11.45
2023-04-09,11.45
2023-04-10,11.581
2023-04-11,11.611
2023-04-12,11.37
2023-04-13,11.611
2023-04-14,11.553
2023-04-15,11.553
2023-04-16,11.553
2023-04-17,11.468
2023-04-18,11.351
2023-04-19,11.371
2023-04-20,11.305
2023-04-21,11.463
2023-04-22,11.463
2023-04-23,11.463
2023-04-24,11.345
2023-04-25,11.048
2023-04-26,11.164
2023-04-27,12.056
2023-04-28,12.056
2023-04-29,12.056
2023-04-30,12.056
2023-05-01,11.816
2023-05-02,11.974
2023-05-03,12.096
2023-05-04,11.835
2023-05-05,12.224
2023-05-06,12.224
2023-05-07,12.224
2023-05-08,12.063
2023-05-09,12.218
2023-05-10,12.274
2023-05-11,12.428
2023-05-12,12.408
2023-05-13,12.408
2023-05-14,12.408
2023-05-15,12.877
2023-05-16,12.738
2023-05-17,12.705
2023-05-18,12.758
2023-05-19,12.45
2023-05-20,12.45
2023-05-21,12.45
2023-05-22,12.349
2023-05-23,12.141
2023-05-24,12.248
2023-05-25,11.987
2023-05-26,12.02
2023-05-27,12.02
2023-05-28,12.02
2023-05-29,12.02
2023-05-30,11.98
2023-05-31,11.685
2023-06-01,11.765
2023-06-02,12.258
2023-06-03,12.258
2023-06-04,12.258
2023-06-05,11.993
2023-06-06,12.298
2023-06-07,12.373
2023-06-08,12.658
2023-06-09,12.393
2023-06-10,12.393
2023-06-11,12.393
2023-06-12,12.536
2023-06-13,12.902
2023-06-14,12.603
2023-06-15,12.447
2023-06-16,12.38
2023-06-17,12.38
2023-06-18,12.38
2023-06-19,12.38
2023-06-20,12.292
2023-06-21,12.115
2023-06-22,12.163
