,DISCA US Equity
2020-12-03,6.8
2020-12-04,6.858
2020-12-05,6.858
2020-12-06,6.858
2020-12-07,6.935
2020-12-08,6.764
2020-12-09,6.754
2020-12-10,6.822
2020-12-11,6.855
2020-12-12,6.855
2020-12-13,6.855
2020-12-14,6.789
2020-12-15,6.806
2020-12-16,6.822
2020-12-17,6.81
2020-12-18,6.588
2020-12-19,6.588
2020-12-20,6.588
2020-12-21,6.486
2020-12-22,6.448
2020-12-23,6.697
2020-12-24,6.77
2020-12-25,6.77
2020-12-26,6.77
2020-12-27,6.77
2020-12-28,6.979
2020-12-29,7.036
2020-12-30,7.064
2020-12-31,7.13
2021-01-01,7.13
2021-01-02,7.13
2021-01-03,7.13
2021-01-04,7.258
2021-01-05,7.469
2021-01-06,8.116
2021-01-07,8.152
2021-01-08,8.206
2021-01-09,8.206
2021-01-10,8.206
2021-01-11,8.325
2021-01-12,8.365
2021-01-13,8.694
2021-01-14,8.827
2021-01-15,8.711
2021-01-16,8.711
2021-01-17,8.711
2021-01-18,8.711
2021-01-19,8.711
2021-01-20,8.781
2021-01-21,8.886
2021-01-22,9.034
2021-01-23,9.034
2021-01-24,9.034
2021-01-25,9.824
2021-01-26,10.257
2021-01-27,11.05
2021-01-28,10.332
2021-01-29,10.433
2021-01-30,10.433
2021-01-31,10.433
2021-02-01,10.61
2021-02-02,10.096
2021-02-03,10.28
2021-02-04,10.355
2021-02-05,10.748
2021-02-06,10.748
2021-02-07,10.748
2021-02-08,10.894
2021-02-09,10.957
2021-02-10,11.353
2021-02-11,11.474
2021-02-12,12.04
2021-02-13,12.04
2021-02-14,12.04
2021-02-15,12.04
2021-02-16,11.927
2021-02-17,12.433
2021-02-18,12.521
2021-02-19,12.793
2021-02-20,12.793
2021-02-21,12.793
2021-02-22,15.053
2021-02-23,15.216
2021-02-24,14.902
2021-02-25,14.747
2021-02-26,15.239
2021-02-27,15.239
2021-02-28,15.239
2021-03-01,16.718
2021-03-02,17.023
2021-03-03,17.658
2021-03-04,17.989
2021-03-05,18.463
2021-03-06,18.463
2021-03-07,18.463
2021-03-08,19.325
2021-03-09,18.106
2021-03-10,18.914
2021-03-11,19.244
2021-03-12,20.431
2021-03-13,20.431
2021-03-14,20.431
2021-03-15,21.17
2021-03-16,21.784
2021-03-17,21.284
2021-03-18,20.734
2021-03-19,21.095
2021-03-20,21.095
2021-03-21,21.095
2021-03-22,20.379
2021-03-23,19.569
2021-03-24,16.91
2021-03-25,15.766
2021-03-26,11.439
2021-03-27,11.439
2021-03-28,11.439
2021-03-29,11.256
2021-03-30,11.859
2021-03-31,11.865
2021-04-01,11.824
2021-04-02,11.824
2021-04-03,11.824
2021-04-04,11.824
2021-04-05,11.368
2021-04-06,11.843
2021-04-07,10.253
2021-04-08,9.896
2021-04-09,9.924
2021-04-10,9.924
2021-04-11,9.924
2021-04-12,9.542
2021-04-13,9.582
2021-04-14,9.208
2021-04-15,9.059
2021-04-16,8.944
2021-04-17,8.944
2021-04-18,8.944
2021-04-19,8.711
2021-04-20,8.496
2021-04-21,9.217
2021-04-22,9.152
2021-04-23,9.198
2021-04-24,9.198
2021-04-25,9.198
2021-04-26,9.305
2021-04-27,9.344
2021-04-28,8.98
2021-04-29,9.149
2021-04-30,9.114
2021-05-01,9.114
2021-05-02,9.114
2021-05-03,8.825
2021-05-04,8.923
2021-05-05,8.957
2021-05-06,8.857
2021-05-07,9.192
2021-05-08,9.192
2021-05-09,9.192
2021-05-10,9.119
2021-05-11,9.003
2021-05-12,8.752
2021-05-13,8.622
2021-05-14,8.725
2021-05-15,8.725
2021-05-16,8.725
2021-05-17,8.23
2021-05-18,8.28
2021-05-19,8.23
2021-05-20,7.917
2021-05-21,7.823
2021-05-22,7.823
2021-05-23,7.823
2021-05-24,7.775
2021-05-25,7.621
2021-05-26,7.91
2021-05-27,8.084
2021-05-28,7.982
2021-05-29,7.982
2021-05-30,7.982
2021-05-31,7.982
2021-06-01,7.954
2021-06-02,7.992
2021-06-03,7.862
2021-06-04,7.842
2021-06-05,7.842
2021-06-06,7.842
2021-06-07,7.765
2021-06-08,7.488
2021-06-09,7.617
2021-06-10,7.512
2021-06-11,7.674
2021-06-12,7.674
2021-06-13,7.674
2021-06-14,7.682
2021-06-15,7.495
2021-06-16,7.592
2021-06-17,7.331
2021-06-18,7.248
2021-06-19,7.248
2021-06-20,7.248
2021-06-21,7.4
2021-06-22,7.35
2021-06-23,7.355
2021-06-24,7.501
2021-06-25,7.635
2021-06-26,7.635
2021-06-27,7.635
2021-06-28,7.563
2021-06-29,7.506
2021-06-30,7.59
2021-07-01,7.719
2021-07-02,7.704
2021-07-03,7.704
2021-07-04,7.704
2021-07-05,7.704
2021-07-06,7.506
2021-07-07,7.313
2021-07-08,7.12
2021-07-09,7.249
2021-07-10,7.249
2021-07-11,7.249
2021-07-12,7.439
2021-07-13,7.301
2021-07-14,7.21
2021-07-15,7.14
2021-07-16,7.07
2021-07-17,7.07
2021-07-18,7.07
2021-07-19,6.979
2021-07-20,7.057
2021-07-21,7.23
2021-07-22,7.152
2021-07-23,7.15
2021-07-24,7.15
2021-07-25,7.15
2021-07-26,7.368
2021-07-27,7.24
2021-07-28,7.381
2021-07-29,7.579
2021-07-30,7.285
2021-07-31,7.285
2021-08-01,7.285
2021-08-02,7.047
2021-08-03,7.794
2021-08-04,7.925
2021-08-05,8.239
2021-08-06,8.194
2021-08-07,8.194
2021-08-08,8.194
2021-08-09,8.248
2021-08-10,8.307
2021-08-11,8.31
2021-08-12,8.155
2021-08-13,8.019
2021-08-14,8.019
2021-08-15,8.019
2021-08-16,7.997
2021-08-17,8.073
2021-08-18,8.028
2021-08-19,7.827
2021-08-20,7.92
2021-08-21,7.92
2021-08-22,7.92
2021-08-23,8.025
2021-08-24,8.098
2021-08-25,8.109
2021-08-26,7.87
2021-08-27,7.98
2021-08-28,7.98
2021-08-29,7.98
2021-08-30,7.858
2021-08-31,8.138
2021-09-01,8.022
2021-09-02,8.166
2021-09-03,7.988
2021-09-04,7.988
2021-09-05,7.988
2021-09-06,7.988
2021-09-07,7.889
2021-09-08,7.613
2021-09-09,7.559
2021-09-10,7.379
2021-09-11,7.379
2021-09-12,7.379
2021-09-13,7.635
2021-09-14,7.41
2021-09-15,7.565
2021-09-16,7.599
2021-09-17,7.568
2021-09-18,7.568
2021-09-19,7.568
2021-09-20,7.323
2021-09-21,7.081
2021-09-22,7.162
2021-09-23,7.188
2021-09-24,7.123
2021-09-25,7.123
2021-09-26,7.123
2021-09-27,7.359
2021-09-28,7.207
2021-09-29,7.157
2021-09-30,7.145
2021-10-01,7.247
2021-10-02,7.247
2021-10-03,7.247
2021-10-04,7.21
2021-10-05,7.362
2021-10-06,7.286
2021-10-07,7.449
2021-10-08,7.289
2021-10-09,7.289
2021-10-10,7.289
2021-10-11,7.086
2021-10-12,6.92
2021-10-13,7.179
2021-10-14,7.111
2021-10-15,6.99
2021-10-16,6.99
2021-10-17,6.99
2021-10-18,6.8
2021-10-19,6.863
2021-10-20,6.982
2021-10-21,6.891
2021-10-22,6.918
2021-10-23,6.918
2021-10-24,6.918
2021-10-25,6.971
2021-10-26,6.792
2021-10-27,6.505
2021-10-28,6.701
2021-10-29,6.461
2021-10-30,6.461
2021-10-31,6.461
2021-11-01,6.683
2021-11-02,6.719
2021-11-03,7.215
2021-11-04,7.16
2021-11-05,7.458
2021-11-06,7.458
2021-11-07,7.458
2021-11-08,7.39
2021-11-09,7.597
2021-11-10,7.799
2021-11-11,8.047
2021-11-12,7.956
2021-11-13,7.956
2021-11-14,7.956
2021-11-15,7.987
2021-11-16,7.905
2021-11-17,7.865
2021-11-18,7.654
2021-11-19,7.201
2021-11-20,7.201
2021-11-21,7.201
2021-11-22,7.329
2021-11-23,7.298
2021-11-24,7.175
2021-11-25,7.175
2021-11-26,7.047
2021-11-27,7.047
2021-11-28,7.047
2021-11-29,7.01
2021-11-30,6.633
2021-12-01,6.345
2021-12-02,6.628
2021-12-03,6.839
2021-12-04,6.839
2021-12-05,6.839
2021-12-06,6.956
2021-12-07,6.904
2021-12-08,6.85
2021-12-09,6.722
2021-12-10,6.639
2021-12-11,6.639
2021-12-12,6.639
2021-12-13,6.485
2021-12-14,6.417
2021-12-15,6.434
2021-12-16,6.673
2021-12-17,6.636
2021-12-18,6.636
2021-12-19,6.636
2021-12-20,6.525
2021-12-21,6.708
2021-12-22,6.736
2021-12-23,6.961
2021-12-24,6.961
2021-12-25,6.961
2021-12-26,6.961
2021-12-27,6.944
2021-12-28,6.936
2021-12-29,6.804
2021-12-30,6.97
2021-12-31,6.71
2022-01-01,6.71
2022-01-02,6.71
2022-01-03,7.221
2022-01-04,7.625
2022-01-05,7.54
2022-01-06,7.332
2022-01-07,8.569
2022-01-08,8.569
2022-01-09,8.569
2022-01-10,8.15
2022-01-11,8.349
2022-01-12,8.381
2022-01-13,8.541
2022-01-14,9.077
2022-01-15,9.077
2022-01-16,9.077
2022-01-17,9.077
2022-01-18,8.684
2022-01-19,8.374
2022-01-20,8.054
2022-01-21,7.674
2022-01-22,7.674
2022-01-23,7.674
2022-01-24,7.876
2022-01-25,7.87
2022-01-26,7.149
2022-01-27,7.395
2022-01-28,7.955
2022-01-29,7.955
2022-01-30,7.955
2022-01-31,8.86
2022-02-01,8.625
2022-02-02,8.79
2022-02-03,9.184
2022-02-04,9.175
2022-02-05,9.175
2022-02-06,9.175
2022-02-07,8.997
2022-02-08,8.956
2022-02-09,9.473
2022-02-10,9.552
2022-02-11,9.387
2022-02-12,9.387
2022-02-13,9.387
2022-02-14,9.34
2022-02-15,9.686
2022-02-16,9.327
2022-02-17,9.483
2022-02-18,9.479
2022-02-19,9.479
2022-02-20,9.479
2022-02-21,9.479
2022-02-22,8.978
2022-02-23,8.956
2022-02-24,8.185
2022-02-25,9.017
2022-02-26,9.017
2022-02-27,9.017
2022-02-28,8.121
2022-03-01,8.138
2022-03-02,8.466
2022-03-03,8.303
2022-03-04,7.785
2022-03-05,7.785
2022-03-06,7.785
2022-03-07,7.397
2022-03-08,7.314
2022-03-09,7.343
2022-03-10,7.259
2022-03-11,6.944
2022-03-12,6.944
2022-03-13,6.944
2022-03-14,6.912
2022-03-15,7.242
2022-03-16,7.421
2022-03-17,7.441
2022-03-18,7.601
2022-03-19,7.601
2022-03-20,7.601
2022-03-21,7.569
2022-03-22,7.777
2022-03-23,7.705
2022-03-24,7.849
2022-03-25,7.916
2022-03-26,7.916
2022-03-27,7.916
2022-03-28,7.404
2022-03-29,7.598
2022-03-30,7.438
2022-03-31,7.213
2022-04-01,7.242
2022-04-02,7.242
2022-04-03,7.242
2022-04-04,7.467
2022-04-05,7.068
2022-04-06,6.923
2022-04-07,6.928
2022-04-08,7.336
2022-04-09,7.336
2022-04-10,7.336
2022-04-11,7.336
2022-04-12,7.336
2022-04-13,7.336
2022-04-14,7.336
2022-04-15,7.336
2022-04-16,7.336
2022-04-17,7.336
2022-04-18,7.336
2022-04-19,7.336
2022-04-20,7.336
2022-04-21,7.336
2022-04-22,7.336
2022-04-23,7.336
2022-04-24,7.336
2022-04-25,7.336
2022-04-26,7.336
2022-04-27,7.336
2022-04-28,7.336
2022-04-29,7.336
2022-04-30,7.336
2022-05-01,7.336
2022-05-02,7.336
2022-05-03,7.336
2022-05-04,7.336
2022-05-05,7.336
2022-05-06,7.336
2022-05-07,7.336
2022-05-08,7.336
2022-05-09,7.336
2022-05-10,7.336
2022-05-11,7.336
2022-05-12,7.336
2022-05-13,7.336
2022-05-14,7.336
2022-05-15,7.336
2022-05-16,7.336
2022-05-17,7.336
2022-05-18,7.336
2022-05-19,7.336
2022-05-20,7.336
2022-05-21,7.336
2022-05-22,7.336
2022-05-23,7.336
2022-05-24,7.336
2022-05-25,7.336
2022-05-26,7.336
2022-05-27,7.336
2022-05-28,7.336
2022-05-29,7.336
2022-05-30,7.336
2022-05-31,7.336
2022-06-01,7.336
2022-06-02,7.336
2022-06-03,7.336
2022-06-04,7.336
2022-06-05,7.336
2022-06-06,7.336
2022-06-07,7.336
2022-06-08,7.336
2022-06-09,7.336
2022-06-10,7.336
2022-06-11,7.336
2022-06-12,7.336
2022-06-13,7.336
2022-06-14,7.336
2022-06-15,7.336
2022-06-16,7.336
2022-06-17,7.336
2022-06-18,7.336
2022-06-19,7.336
2022-06-20,7.336
2022-06-21,7.336
2022-06-22,7.336
2022-06-23,7.336
2022-06-24,7.336
2022-06-25,7.336
2022-06-26,7.336
2022-06-27,7.336
2022-06-28,7.336
2022-06-29,7.336
2022-06-30,7.336
2022-07-01,7.336
2022-07-02,7.336
2022-07-03,7.336
2022-07-04,7.336
2022-07-05,7.336
2022-07-06,7.336
2022-07-07,7.336
2022-07-08,7.336
2022-07-09,7.336
2022-07-10,7.336
2022-07-11,7.336
2022-07-12,7.336
2022-07-13,7.336
2022-07-14,7.336
2022-07-15,7.336
2022-07-16,7.336
2022-07-17,7.336
2022-07-18,7.336
2022-07-19,7.336
2022-07-20,7.336
2022-07-21,7.336
2022-07-22,7.336
2022-07-23,7.336
2022-07-24,7.336
2022-07-25,7.336
2022-07-26,7.336
2022-07-27,7.336
2022-07-28,7.336
2022-07-29,7.336
2022-07-30,7.336
2022-07-31,7.336
2022-08-01,7.336
2022-08-02,7.336
2022-08-03,7.336
2022-08-04,7.336
2022-08-05,7.336
2022-08-06,7.336
2022-08-07,7.336
2022-08-08,7.336
2022-08-09,7.336
2022-08-10,7.336
2022-08-11,7.336
2022-08-12,7.336
2022-08-13,7.336
2022-08-14,7.336
2022-08-15,7.336
2022-08-16,7.336
2022-08-17,7.336
2022-08-18,7.336
2022-08-19,7.336
2022-08-20,7.336
2022-08-21,7.336
2022-08-22,7.336
2022-08-23,7.336
2022-08-24,7.336
2022-08-25,7.336
2022-08-26,7.336
2022-08-27,7.336
2022-08-28,7.336
2022-08-29,7.336
2022-08-30,7.336
2022-08-31,7.336
2022-09-01,7.336
2022-09-02,7.336
2022-09-03,7.336
2022-09-04,7.336
2022-09-05,7.336
2022-09-06,7.336
2022-09-07,7.336
2022-09-08,7.336
2022-09-09,7.336
2022-09-10,7.336
2022-09-11,7.336
2022-09-12,7.336
2022-09-13,7.336
2022-09-14,7.336
2022-09-15,7.336
2022-09-16,7.336
2022-09-17,7.336
2022-09-18,7.336
2022-09-19,7.336
2022-09-20,7.336
2022-09-21,7.336
2022-09-22,7.336
2022-09-23,7.336
2022-09-24,7.336
2022-09-25,7.336
2022-09-26,7.336
2022-09-27,7.336
2022-09-28,7.336
2022-09-29,7.336
2022-09-30,7.336
2022-10-01,7.336
2022-10-02,7.336
2022-10-03,7.336
2022-10-04,7.336
2022-10-05,7.336
2022-10-06,7.336
2022-10-07,7.336
2022-10-08,7.336
2022-10-09,7.336
2022-10-10,7.336
2022-10-11,7.336
2022-10-12,7.336
2022-10-13,7.336
2022-10-14,7.336
2022-10-15,7.336
2022-10-16,7.336
2022-10-17,7.336
2022-10-18,7.336
2022-10-19,7.336
2022-10-20,7.336
2022-10-21,7.336
2022-10-22,7.336
2022-10-23,7.336
2022-10-24,7.336
2022-10-25,7.336
2022-10-26,7.336
2022-10-27,7.336
2022-10-28,7.336
2022-10-29,7.336
2022-10-30,7.336
2022-10-31,7.336
2022-11-01,7.336
2022-11-02,7.336
2022-11-03,7.336
2022-11-04,7.336
2022-11-05,7.336
2022-11-06,7.336
2022-11-07,7.336
2022-11-08,7.336
2022-11-09,7.336
2022-11-10,7.336
2022-11-11,7.336
2022-11-12,7.336
2022-11-13,7.336
2022-11-14,7.336
2022-11-15,7.336
2022-11-16,7.336
2022-11-17,7.336
2022-11-18,7.336
2022-11-19,7.336
2022-11-20,7.336
2022-11-21,7.336
2022-11-22,7.336
2022-11-23,7.336
2022-11-24,7.336
2022-11-25,7.336
2022-11-26,7.336
2022-11-27,7.336
2022-11-28,7.336
2022-11-29,7.336
2022-11-30,7.336
2022-12-01,7.336
2022-12-02,7.336
2022-12-03,7.336
2022-12-04,7.336
2022-12-05,7.336
2022-12-06,7.336
2022-12-07,7.336
2022-12-08,7.336
2022-12-09,7.336
2022-12-10,7.336
2022-12-11,7.336
2022-12-12,7.336
2022-12-13,7.336
2022-12-14,7.336
2022-12-15,7.336
2022-12-16,7.336
2022-12-17,7.336
2022-12-18,7.336
2022-12-19,7.336
2022-12-20,7.336
2022-12-21,7.336
2022-12-22,7.336
2022-12-23,7.336
2022-12-24,7.336
2022-12-25,7.336
2022-12-26,7.336
2022-12-27,7.336
2022-12-28,7.336
2022-12-29,7.336
2022-12-30,7.336
2022-12-31,7.336
2023-01-01,7.336
2023-01-02,7.336
2023-01-03,7.336
2023-01-04,7.336
2023-01-05,7.336
2023-01-06,7.336
2023-01-07,7.336
2023-01-08,7.336
2023-01-09,7.336
2023-01-10,7.336
2023-01-11,7.336
2023-01-12,7.336
2023-01-13,7.336
2023-01-14,7.336
2023-01-15,7.336
2023-01-16,7.336
2023-01-17,7.336
2023-01-18,7.336
2023-01-19,7.336
2023-01-20,7.336
2023-01-21,7.336
2023-01-22,7.336
2023-01-23,7.336
2023-01-24,7.336
2023-01-25,7.336
2023-01-26,7.336
2023-01-27,7.336
2023-01-28,7.336
2023-01-29,7.336
2023-01-30,7.336
2023-01-31,7.336
2023-02-01,7.336
2023-02-02,7.336
2023-02-03,7.336
2023-02-04,7.336
2023-02-05,7.336
2023-02-06,7.336
2023-02-07,7.336
2023-02-08,7.336
2023-02-09,7.336
2023-02-10,7.336
2023-02-11,7.336
2023-02-12,7.336
2023-02-13,7.336
2023-02-14,7.336
2023-02-15,7.336
2023-02-16,7.336
2023-02-17,7.336
2023-02-18,7.336
2023-02-19,7.336
2023-02-20,7.336
2023-02-21,7.336
2023-02-22,7.336
2023-02-23,7.336
2023-02-24,7.336
2023-02-25,7.336
2023-02-26,7.336
2023-02-27,7.336
2023-02-28,7.336
2023-03-01,7.336
2023-03-02,7.336
2023-03-03,7.336
2023-03-04,7.336
2023-03-05,7.336
2023-03-06,7.336
2023-03-07,7.336
2023-03-08,7.336
2023-03-09,7.336
2023-03-10,7.336
2023-03-11,7.336
2023-03-12,7.336
2023-03-13,7.336
2023-03-14,7.336
2023-03-15,7.336
2023-03-16,7.336
2023-03-17,7.336
2023-03-18,7.336
2023-03-19,7.336
2023-03-20,7.336
2023-03-21,7.336
2023-03-22,7.336
2023-03-23,7.336
2023-03-24,7.336
2023-03-25,7.336
2023-03-26,7.336
2023-03-27,7.336
2023-03-28,7.336
2023-03-29,7.336
2023-03-30,7.336
2023-03-31,7.336
2023-04-01,7.336
2023-04-02,7.336
2023-04-03,7.336
2023-04-04,7.336
2023-04-05,7.336
2023-04-06,7.336
2023-04-07,7.336
2023-04-08,7.336
2023-04-09,7.336
2023-04-10,7.336
2023-04-11,7.336
2023-04-12,7.336
2023-04-13,7.336
2023-04-14,7.336
2023-04-15,7.336
2023-04-16,7.336
2023-04-17,7.336
2023-04-18,7.336
2023-04-19,7.336
2023-04-20,7.336
2023-04-21,7.336
2023-04-22,7.336
2023-04-23,7.336
2023-04-24,7.336
2023-04-25,7.336
2023-04-26,7.336
2023-04-27,7.336
2023-04-28,7.336
2023-04-29,7.336
2023-04-30,7.336
2023-05-01,7.336
2023-05-02,7.336
2023-05-03,7.336
2023-05-04,7.336
2023-05-05,7.336
2023-05-06,7.336
2023-05-07,7.336
2023-05-08,7.336
2023-05-09,7.336
2023-05-10,7.336
2023-05-11,7.336
2023-05-12,7.336
2023-05-13,7.336
2023-05-14,7.336
2023-05-15,7.336
2023-05-16,7.336
2023-05-17,7.336
2023-05-18,7.336
2023-05-19,7.336
2023-05-20,7.336
2023-05-21,7.336
2023-05-22,7.336
2023-05-23,7.336
2023-05-24,7.336
2023-05-25,7.336
2023-05-26,7.336
2023-05-27,7.336
2023-05-28,7.336
2023-05-29,7.336
2023-05-30,7.336
2023-05-31,7.336
2023-06-01,7.336
2023-06-02,7.336
2023-06-03,7.336
2023-06-04,7.336
2023-06-05,7.336
2023-06-06,7.336
2023-06-07,7.336
2023-06-08,7.336
2023-06-09,7.336
2023-06-10,7.336
2023-06-11,7.336
2023-06-12,7.336
2023-06-13,7.336
2023-06-14,7.336
2023-06-15,7.336
2023-06-16,7.336
2023-06-17,7.336
2023-06-18,7.336
2023-06-19,7.336
2023-06-20,7.336
2023-06-21,7.336
2023-06-22,7.336
