,SEIC US Equity
,BEST_PE_RATIO
2020-09-10,10.969
2020-09-11,10.971
2020-09-12,10.971
2020-09-13,10.971
2020-09-14,11.024
2020-09-15,10.969
2020-09-16,11.135
2020-09-17,10.973
2020-09-18,10.96
2020-09-19,10.96
2020-09-20,10.96
2020-09-21,11.052
2020-09-22,11.026
2020-09-23,10.895
2020-09-24,10.875
2020-09-25,11.181
2020-09-26,11.181
2020-09-27,11.181
2020-09-28,11.304
2020-09-29,11.19
2020-09-30,11.114
2020-10-01,11.179
2020-10-02,11.339
2020-10-03,11.339
2020-10-04,11.339
2020-10-05,11.412
2020-10-06,11.446
2020-10-07,11.365
2020-10-08,11.809
2020-10-09,11.85
2020-10-10,11.85
2020-10-11,11.85
2020-10-12,12.026
2020-10-13,12.039
2020-10-14,11.948
2020-10-15,12.0
2020-10-16,11.955
2020-10-17,11.955
2020-10-18,11.955
2020-10-19,12.084
2020-10-20,12.183
2020-10-21,11.928
2020-10-22,11.125
2020-10-23,11.144
2020-10-24,11.144
2020-10-25,11.144
2020-10-26,10.74
2020-10-27,10.673
2020-10-28,10.682
2020-10-29,10.66
2020-10-30,10.527
2020-10-31,10.527
2020-11-01,10.527
2020-11-02,10.615
2020-11-03,10.913
2020-11-04,11.05
2020-11-05,11.29
2020-11-06,11.288
2020-11-07,11.288
2020-11-08,11.288
2020-11-09,11.963
2020-11-10,11.87
2020-11-11,11.796
2020-11-12,11.607
2020-11-13,11.806
2020-11-14,11.806
2020-11-15,11.806
2020-11-16,11.982
2020-11-17,11.873
2020-11-18,11.738
2020-11-19,11.628
2020-11-20,11.643
2020-11-21,11.643
2020-11-22,11.643
2020-11-23,11.774
2020-11-24,12.145
2020-11-25,11.941
2020-11-26,11.941
2020-11-27,11.911
2020-11-28,11.911
2020-11-29,11.911
2020-11-30,11.299
2020-12-01,11.667
2020-12-02,11.748
2020-12-03,11.819
2020-12-04,12.127
2020-12-05,12.127
2020-12-06,12.127
2020-12-07,11.941
2020-12-08,12.11
2020-12-09,12.119
2020-12-10,12.168
2020-12-11,12.063
2020-12-12,12.063
2020-12-13,12.063
2020-12-14,11.885
2020-12-15,12.117
2020-12-16,12.179
2020-12-17,12.166
2020-12-18,12.108
2020-12-19,12.108
2020-12-20,12.108
2020-12-21,12.097
2020-12-22,12.05
2020-12-23,12.179
2020-12-24,12.183
2020-12-25,12.183
2020-12-26,12.183
2020-12-27,12.183
2020-12-28,12.22
2020-12-29,12.147
2020-12-30,12.254
2020-12-31,12.39
2021-01-01,12.39
2021-01-02,12.39
2021-01-03,12.39
2021-01-04,12.274
2021-01-05,11.724
2021-01-06,12.564
2021-01-07,12.589
2021-01-08,12.671
2021-01-09,12.671
2021-01-10,12.671
2021-01-11,12.216
2021-01-12,12.228
2021-01-13,11.982
2021-01-14,12.076
2021-01-15,11.914
2021-01-16,11.914
2021-01-17,11.914
2021-01-18,11.914
2021-01-19,12.024
2021-01-20,12.146
2021-01-21,11.938
2021-01-22,11.86
2021-01-23,11.86
2021-01-24,11.86
2021-01-25,11.828
2021-01-26,11.637
2021-01-27,11.193
2021-01-28,10.704
2021-01-29,10.498
2021-01-30,10.498
2021-01-31,10.498
2021-02-01,10.875
2021-02-02,11.364
2021-02-03,11.26
2021-02-04,11.515
2021-02-05,11.379
2021-02-06,11.379
2021-02-07,11.379
2021-02-08,11.476
2021-02-09,11.44
2021-02-10,11.393
2021-02-11,11.682
2021-02-12,11.688
2021-02-13,11.688
2021-02-14,11.688
2021-02-15,11.688
2021-02-16,11.792
2021-02-17,11.761
2021-02-18,11.676
2021-02-19,11.806
2021-02-20,11.806
2021-02-21,11.806
2021-02-22,11.737
2021-02-23,11.731
2021-02-24,11.798
2021-02-25,11.549
2021-02-26,11.395
2021-02-27,11.395
2021-02-28,11.395
2021-03-01,11.808
2021-03-02,11.672
2021-03-03,11.602
2021-03-04,11.458
2021-03-05,11.934
2021-03-06,11.934
2021-03-07,11.934
2021-03-08,12.166
2021-03-09,12.054
2021-03-10,12.17
2021-03-11,12.111
2021-03-12,12.268
2021-03-13,12.268
2021-03-14,12.268
2021-03-15,12.382
2021-03-16,12.288
2021-03-17,12.449
2021-03-18,12.42
2021-03-19,12.376
2021-03-20,12.376
2021-03-21,12.376
2021-03-22,12.225
2021-03-23,11.934
2021-03-24,12.062
2021-03-25,12.16
2021-03-26,12.479
2021-03-27,12.479
2021-03-28,12.479
2021-03-29,12.54
2021-03-30,12.481
2021-03-31,12.398
2021-04-01,12.597
2021-04-02,12.597
2021-04-03,12.597
2021-04-04,12.597
2021-04-05,12.602
2021-04-06,12.62
2021-04-07,12.656
2021-04-08,12.681
2021-04-09,12.693
2021-04-10,12.693
2021-04-11,12.693
2021-04-12,12.865
2021-04-13,12.725
2021-04-14,12.656
2021-04-15,12.709
2021-04-16,12.784
2021-04-17,12.784
2021-04-18,12.784
2021-04-19,12.652
2021-04-20,12.679
2021-04-21,12.959
2021-04-22,11.399
2021-04-23,11.759
2021-04-24,11.759
2021-04-25,11.759
2021-04-26,12.033
2021-04-27,12.267
2021-04-28,12.383
2021-04-29,12.593
2021-04-30,12.488
2021-05-01,12.488
2021-05-02,12.488
2021-05-03,12.511
2021-05-04,12.675
2021-05-05,12.842
2021-05-06,12.873
2021-05-07,12.86
2021-05-08,12.86
2021-05-09,12.86
2021-05-10,12.884
2021-05-11,12.598
2021-05-12,12.401
2021-05-13,12.663
2021-05-14,12.875
2021-05-15,12.875
2021-05-16,12.875
2021-05-17,12.791
2021-05-18,12.617
2021-05-19,12.655
2021-05-20,12.759
2021-05-21,12.795
2021-05-22,12.795
2021-05-23,12.795
2021-05-24,12.783
2021-05-25,12.738
2021-05-26,12.789
2021-05-27,12.883
2021-05-28,12.895
2021-05-29,12.895
2021-05-30,12.895
2021-05-31,12.895
2021-06-01,12.891
2021-06-02,12.818
2021-06-03,12.991
2021-06-04,13.1
2021-06-05,13.1
2021-06-06,13.1
2021-06-07,13.047
2021-06-08,12.903
2021-06-09,12.842
2021-06-10,12.698
2021-06-11,12.812
2021-06-12,12.812
2021-06-13,12.812
2021-06-14,12.749
2021-06-15,12.902
2021-06-16,12.857
2021-06-17,12.669
2021-06-18,12.399
2021-06-19,12.399
2021-06-20,12.399
2021-06-21,12.612
2021-06-22,12.608
2021-06-23,12.551
2021-06-24,12.549
2021-06-25,12.784
2021-06-26,12.784
2021-06-27,12.784
2021-06-28,12.794
2021-06-29,12.681
2021-06-30,12.671
2021-07-01,12.769
2021-07-02,12.821
2021-07-03,12.821
2021-07-04,12.821
2021-07-05,12.821
2021-07-06,12.571
2021-07-07,12.279
2021-07-08,12.107
2021-07-09,12.374
2021-07-10,12.374
2021-07-11,12.374
2021-07-12,12.414
2021-07-13,12.227
2021-07-14,12.338
2021-07-15,12.3
2021-07-16,12.263
2021-07-17,12.263
2021-07-18,12.263
2021-07-19,12.101
2021-07-20,12.502
2021-07-21,12.638
2021-07-22,12.157
2021-07-23,12.238
2021-07-24,12.238
2021-07-25,12.238
2021-07-26,12.191
2021-07-27,12.248
2021-07-28,12.213
2021-07-29,12.316
2021-07-30,12.393
2021-07-31,12.393
2021-08-01,12.393
2021-08-02,12.448
2021-08-03,12.476
2021-08-04,12.329
2021-08-05,12.519
2021-08-06,12.58
2021-08-07,12.58
2021-08-08,12.58
2021-08-09,12.598
2021-08-10,12.67
2021-08-11,12.676
2021-08-12,12.645
2021-08-13,12.539
2021-08-14,12.539
2021-08-15,12.539
2021-08-16,12.607
2021-08-17,12.521
2021-08-18,12.309
2021-08-19,12.336
2021-08-20,12.464
2021-08-21,12.464
2021-08-22,12.464
2021-08-23,12.507
2021-08-24,12.598
2021-08-25,12.743
2021-08-26,12.662
2021-08-27,12.872
2021-08-28,12.872
2021-08-29,12.872
2021-08-30,12.788
2021-08-31,12.802
2021-09-01,12.757
2021-09-02,12.725
2021-09-03,12.645
2021-09-04,12.645
2021-09-05,12.645
2021-09-06,12.645
2021-09-07,12.117
2021-09-08,12.209
2021-09-09,11.751
2021-09-10,11.603
2021-09-11,11.603
2021-09-12,11.603
2021-09-13,11.667
2021-09-14,11.568
2021-09-15,11.697
2021-09-16,11.619
2021-09-17,11.65
2021-09-18,11.65
2021-09-19,11.65
2021-09-20,11.339
2021-09-21,11.294
2021-09-22,11.419
2021-09-23,11.595
2021-09-24,11.794
2021-09-25,11.794
2021-09-26,11.794
2021-09-27,11.91
2021-09-28,11.732
2021-09-29,11.724
2021-09-30,11.832
2021-10-01,12.232
2021-10-02,12.232
2021-10-03,12.232
2021-10-04,12.073
2021-10-05,12.351
2021-10-06,12.215
2021-10-07,12.302
2021-10-08,12.337
2021-10-09,12.337
2021-10-10,12.337
2021-10-11,12.168
2021-10-12,12.236
2021-10-13,12.277
2021-10-14,12.635
