,REGI US Equity
,BEST_PE_RATIO
2020-12-28,12.634
2020-12-29,11.749
2020-12-30,12.434
2020-12-31,12.075
2021-01-01,12.075
2021-01-02,12.075
2021-01-03,12.075
2021-01-04,11.821
2021-01-05,12.841
2021-01-06,14.469
2021-01-07,15.011
2021-01-08,14.372
2021-01-09,14.372
2021-01-10,14.372
2021-01-11,14.634
2021-01-12,14.694
2021-01-13,14.793
2021-01-14,14.443
2021-01-15,13.891
2021-01-16,13.891
2021-01-17,13.891
2021-01-18,13.891
2021-01-19,15.066
2021-01-20,15.844
2021-01-21,16.849
2021-01-22,16.901
2021-01-23,16.901
2021-01-24,16.901
2021-01-25,16.854
2021-01-26,16.518
2021-01-27,18.369
2021-01-28,17.718
2021-01-29,17.054
2021-01-30,17.054
2021-01-31,17.054
2021-02-01,18.839
2021-02-02,18.0
2021-02-03,18.542
2021-02-04,18.451
2021-02-05,18.782
2021-02-06,18.782
2021-02-07,18.782
2021-02-08,21.22
2021-02-09,20.558
2021-02-10,21.13
2021-02-11,20.277
2021-02-12,20.247
2021-02-13,20.247
2021-02-14,20.247
2021-02-15,20.247
2021-02-16,20.069
2021-02-17,19.041
2021-02-18,17.381
2021-02-19,18.02
2021-02-20,18.02
2021-02-21,18.02
2021-02-22,18.108
2021-02-23,17.416
2021-02-24,17.489
2021-02-25,15.363
2021-02-26,14.987
2021-02-27,14.987
2021-02-28,14.987
2021-03-01,16.512
2021-03-02,15.912
2021-03-03,14.388
2021-03-04,14.071
2021-03-05,14.53
2021-03-06,14.53
2021-03-07,14.53
2021-03-08,14.194
2021-03-09,14.801
2021-03-10,15.681
2021-03-11,15.759
2021-03-12,15.346
2021-03-13,15.346
2021-03-14,15.346
2021-03-15,15.054
2021-03-16,14.307
2021-03-17,12.259
2021-03-18,12.018
2021-03-19,11.949
2021-03-20,11.949
2021-03-21,11.949
2021-03-22,12.193
2021-03-23,11.187
2021-03-24,11.27
2021-03-25,11.24
2021-03-26,12.325
2021-03-27,12.325
2021-03-28,12.325
2021-03-29,11.656
2021-03-30,12.663
2021-03-31,12.761
2021-04-01,13.233
2021-04-02,13.233
2021-04-03,13.233
2021-04-04,13.233
2021-04-05,12.234
2021-04-06,12.608
2021-04-07,12.172
2021-04-08,12.537
2021-04-09,12.313
2021-04-10,12.313
2021-04-11,12.313
2021-04-12,11.751
2021-04-13,11.855
2021-04-14,12.309
2021-04-15,11.714
2021-04-16,12.517
2021-04-17,12.517
2021-04-18,12.517
2021-04-19,11.932
2021-04-20,11.367
2021-04-21,11.604
2021-04-22,11.125
2021-04-23,11.32
2021-04-24,11.32
2021-04-25,11.32
2021-04-26,11.645
2021-04-27,11.403
2021-04-28,11.397
2021-04-29,10.887
2021-04-30,10.897
2021-05-01,10.897
2021-05-02,10.897
2021-05-03,10.347
2021-05-04,11.429
2021-05-05,11.08
2021-05-06,11.454
2021-05-07,11.671
2021-05-08,11.671
2021-05-09,11.671
2021-05-10,11.535
2021-05-11,11.39
2021-05-12,11.382
2021-05-13,11.825
2021-05-14,12.897
2021-05-15,12.897
2021-05-16,12.897
2021-05-17,12.877
2021-05-18,13.452
2021-05-19,13.303
2021-05-20,11.731
2021-05-21,11.973
2021-05-22,11.973
2021-05-23,11.973
2021-05-24,12.577
2021-05-25,12.096
2021-05-26,12.538
2021-05-27,12.725
2021-05-28,12.683
2021-05-29,12.683
2021-05-30,12.683
2021-05-31,12.683
2021-06-01,13.29
2021-06-02,14.166
2021-06-03,14.633
2021-06-04,13.871
2021-06-05,13.871
2021-06-06,13.871
2021-06-07,14.301
2021-06-08,14.235
2021-06-09,14.773
2021-06-10,14.403
2021-06-11,13.875
2021-06-12,13.875
2021-06-13,13.875
2021-06-14,14.309
2021-06-15,14.137
2021-06-16,14.164
2021-06-17,14.048
2021-06-18,13.389
2021-06-19,13.389
2021-06-20,13.389
2021-06-21,13.658
2021-06-22,13.644
2021-06-23,13.544
2021-06-24,13.673
2021-06-25,13.174
2021-06-26,13.174
2021-06-27,13.174
2021-06-28,13.389
2021-06-29,13.233
2021-06-30,13.244
2021-07-01,13.418
2021-07-02,13.129
2021-07-03,13.129
2021-07-04,13.129
2021-07-05,13.129
2021-07-06,13.057
2021-07-07,12.786
2021-07-08,12.944
2021-07-09,13.925
2021-07-10,13.925
2021-07-11,13.925
2021-07-12,13.818
2021-07-13,13.429
2021-07-14,13.303
2021-07-15,13.769
2021-07-16,13.993
2021-07-17,13.993
2021-07-18,13.993
2021-07-19,13.272
2021-07-20,13.795
2021-07-21,14.551
2021-07-22,14.667
2021-07-23,14.27
2021-07-24,14.27
2021-07-25,14.27
2021-07-26,14.666
2021-07-27,14.057
2021-07-28,14.661
2021-07-29,14.597
2021-07-30,14.514
2021-07-31,14.514
2021-08-01,14.514
2021-08-02,13.924
2021-08-03,14.057
2021-08-04,13.661
2021-08-05,14.525
2021-08-06,14.918
2021-08-07,14.918
2021-08-08,14.918
2021-08-09,14.545
2021-08-10,14.645
2021-08-11,14.167
2021-08-12,14.069
2021-08-13,14.231
2021-08-14,14.231
2021-08-15,14.231
2021-08-16,13.91
2021-08-17,13.694
2021-08-18,13.15
2021-08-19,12.85
2021-08-20,12.356
2021-08-21,12.356
2021-08-22,12.356
2021-08-23,13.1
2021-08-24,13.382
2021-08-25,13.46
2021-08-26,13.14
2021-08-27,13.631
2021-08-28,13.631
2021-08-29,13.631
2021-08-30,12.95
2021-08-31,12.732
2021-09-01,12.435
2021-09-02,12.44
