,MKC US Equity
2022-03-16,25.306
2022-03-17,25.322
2022-03-18,25.173
2022-03-19,25.173
2022-03-20,25.173
2022-03-21,25.298
2022-03-22,25.314
2022-03-23,25.147
2022-03-24,25.28
2022-03-25,25.612
2022-03-26,25.612
2022-03-27,25.612
2022-03-28,25.534
2022-03-29,25.276
2022-03-30,25.433
2022-03-31,26.097
2022-04-01,26.651
2022-04-02,26.651
2022-04-03,26.651
2022-04-04,26.502
2022-04-05,26.879
2022-04-06,26.808
2022-04-07,26.931
2022-04-08,26.8
2022-04-09,26.8
2022-04-10,26.8
2022-04-11,26.792
2022-04-12,26.779
2022-04-13,26.768
2022-04-14,26.655
2022-04-15,26.655
2022-04-16,26.655
2022-04-17,26.655
2022-04-18,26.309
2022-04-19,26.645
2022-04-20,27.293
2022-04-21,27.367
2022-04-22,26.842
2022-04-23,26.842
2022-04-24,26.842
2022-04-25,26.865
2022-04-26,26.398
2022-04-27,26.755
2022-04-28,27.222
2022-04-29,26.393
2022-04-30,26.393
2022-05-01,26.393
2022-05-02,25.703
2022-05-03,25.648
2022-05-04,26.099
2022-05-05,25.309
2022-05-06,25.598
2022-05-07,25.598
2022-05-08,25.598
2022-05-09,25.855
2022-05-10,25.711
2022-05-11,25.755
2022-05-12,25.684
2022-05-13,26.314
2022-05-14,26.314
2022-05-15,26.314
2022-05-16,26.49
2022-05-17,26.508
2022-05-18,24.052
2022-05-19,23.472
2022-05-20,23.703
2022-05-21,23.703
2022-05-22,23.703
2022-05-23,24.044
2022-05-24,24.593
2022-05-25,24.514
2022-05-26,24.133
2022-05-27,24.391
2022-05-28,24.391
2022-05-29,24.391
2022-05-30,24.391
2022-05-31,24.333
2022-06-01,23.808
2022-06-02,23.902
2022-06-03,23.58
2022-06-04,23.58
2022-06-05,23.58
2022-06-06,23.548
2022-06-07,23.527
2022-06-08,23.477
2022-06-09,22.926
2022-06-10,23.089
2022-06-11,23.089
2022-06-12,23.089
2022-06-13,22.761
2022-06-14,21.992
2022-06-15,21.974
2022-06-16,21.745
2022-06-17,21.661
2022-06-18,21.661
2022-06-19,21.661
2022-06-20,21.661
2022-06-21,21.974
2022-06-22,21.942
2022-06-23,22.481
2022-06-24,23.096
2022-06-25,23.096
2022-06-26,23.096
2022-06-27,23.115
2022-06-28,22.833
2022-06-29,22.853
2022-06-30,22.28
2022-07-01,22.125
2022-07-02,22.125
2022-07-03,22.125
2022-07-04,22.125
2022-07-05,22.508
2022-07-06,22.328
2022-07-07,22.128
2022-07-08,22.063
2022-07-09,22.063
2022-07-10,22.063
2022-07-11,22.133
2022-07-12,22.114
2022-07-13,22.345
2022-07-14,22.16
2022-07-15,21.974
2022-07-16,21.974
2022-07-17,21.974
2022-07-18,21.762
2022-07-19,22.033
2022-07-20,22.183
2022-07-21,22.451
2022-07-22,22.751
2022-07-23,22.751
2022-07-24,22.751
2022-07-25,22.875
2022-07-26,22.951
2022-07-27,23.1
2022-07-28,23.676
2022-07-29,23.627
2022-07-30,23.627
2022-07-31,23.627
2022-08-01,23.73
2022-08-02,23.903
2022-08-03,23.914
2022-08-04,23.882
2022-08-05,23.893
2022-08-06,23.893
2022-08-07,23.893
2022-08-08,24.122
2022-08-09,24.431
2022-08-10,24.293
2022-08-11,24.244
2022-08-12,24.741
2022-08-13,24.741
2022-08-14,24.741
2022-08-15,25.063
2022-08-16,25.232
2022-08-17,25.262
2022-08-18,25.116
2022-08-19,25.036
2022-08-20,25.036
2022-08-21,25.036
2022-08-22,24.644
2022-08-23,24.286
2022-08-24,24.229
2022-08-25,24.289
2022-08-26,23.623
2022-08-27,23.623
2022-08-28,23.623
2022-08-29,23.424
2022-08-30,23.124
2022-08-31,22.933
2022-09-01,23.13
2022-09-02,22.655
2022-09-03,22.655
2022-09-04,22.655
2022-09-05,22.655
2022-09-06,22.423
2022-09-07,23.167
2022-09-08,22.223
2022-09-09,22.922
2022-09-10,22.922
2022-09-11,22.922
2022-09-12,23.358
2022-09-13,22.804
2022-09-14,22.784
2022-09-15,22.526
2022-09-16,22.706
2022-09-17,22.706
2022-09-18,22.706
2022-09-19,22.626
2022-09-20,22.196
2022-09-21,22.178
2022-09-22,21.998
2022-09-23,21.814
2022-09-24,21.814
2022-09-25,21.814
2022-09-26,21.622
2022-09-27,21.361
2022-09-28,21.53
2022-09-29,21.091
2022-09-30,20.448
2022-10-01,20.448
2022-10-02,20.448
2022-10-03,20.775
2022-10-04,21.355
2022-10-05,21.034
2022-10-06,21.34
2022-10-07,21.836
2022-10-08,21.836
2022-10-09,21.836
2022-10-10,22.555
2022-10-11,22.549
2022-10-12,22.145
2022-10-13,22.261
2022-10-14,21.865
2022-10-15,21.865
2022-10-16,21.865
2022-10-17,21.892
2022-10-18,22.183
2022-10-19,22.207
2022-10-20,21.642
2022-10-21,21.954
2022-10-22,21.954
2022-10-23,21.954
2022-10-24,22.151
2022-10-25,22.635
2022-10-26,22.716
2022-10-27,23.078
2022-10-28,23.548
2022-10-29,23.548
2022-10-30,23.548
2022-10-31,23.382
2022-11-01,23.367
2022-11-02,22.962
2022-11-03,22.823
2022-11-04,23.495
2022-11-05,23.495
2022-11-06,23.495
2022-11-07,23.768
2022-11-08,23.994
2022-11-09,23.551
2022-11-10,24.339
2022-11-11,24.907
2022-11-12,24.907
2022-11-13,24.907
2022-11-14,24.604
2022-11-15,25.537
2022-11-16,25.537
2022-11-17,25.375
2022-11-18,25.571
2022-11-19,25.571
2022-11-20,25.571
2022-11-21,25.995
2022-11-22,26.291
2022-11-23,26.288
2022-11-24,26.288
2022-11-25,25.922
2022-11-26,25.922
2022-11-27,25.922
2022-11-28,25.568
2022-11-29,25.568
2022-11-30,26.004
2022-12-01,26.172
2022-12-02,26.371
2022-12-03,26.371
2022-12-04,26.371
2022-12-05,25.571
2022-12-06,25.671
2022-12-07,25.966
2022-12-08,26.058
2022-12-09,25.945
2022-12-10,25.945
2022-12-11,25.945
2022-12-12,26.158
2022-12-13,26.547
2022-12-14,26.445
2022-12-15,25.891
2022-12-16,25.569
2022-12-17,25.569
2022-12-18,25.569
2022-12-19,25.394
2022-12-20,25.44
2022-12-21,25.826
2022-12-22,25.805
2022-12-23,25.817
2022-12-24,25.817
2022-12-25,25.817
2022-12-26,25.817
2022-12-27,26.004
2022-12-28,25.517
2022-12-29,25.914
2022-12-30,25.529
2022-12-31,25.529
2023-01-01,25.529
2023-01-02,25.529
2023-01-03,25.708
2023-01-04,26.166
2023-01-05,26.009
2023-01-06,26.537
2023-01-07,26.537
2023-01-08,26.537
2023-01-09,26.018
2023-01-10,25.944
2023-01-11,25.764
2023-01-12,25.033
2023-01-13,25.073
2023-01-14,25.073
2023-01-15,25.073
2023-01-16,25.073
2023-01-17,25.209
2023-01-18,23.987
2023-01-19,23.765
2023-01-20,24.064
2023-01-21,24.064
2023-01-22,24.064
2023-01-23,24.44
2023-01-24,24.408
2023-01-25,24.216
2023-01-26,24.023
2023-01-27,24.93
2023-01-28,24.93
2023-01-29,24.93
2023-01-30,25.262
2023-01-31,25.411
2023-02-01,25.58
2023-02-02,25.36
2023-02-03,25.215
2023-02-04,25.215
2023-02-05,25.215
2023-02-06,25.479
2023-02-07,25.228
2023-02-08,24.961
2023-02-09,24.836
2023-02-10,25.201
2023-02-11,25.201
2023-02-12,25.201
2023-02-13,25.57
2023-02-14,25.34
2023-02-15,25.303
2023-02-16,25.137
2023-02-17,25.624
2023-02-18,25.624
2023-02-19,25.624
2023-02-20,25.624
2023-02-21,25.55
2023-02-22,25.654
2023-02-23,25.506
2023-02-24,25.364
2023-02-25,25.364
2023-02-26,25.364
2023-02-27,25.374
2023-02-28,25.14
2023-03-01,24.684
2023-03-02,24.707
2023-03-03,24.66
2023-03-04,24.66
2023-03-05,24.66
2023-03-06,24.772
2023-03-07,24.399
2023-03-08,24.606
2023-03-09,24.355
2023-03-10,24.109
2023-03-11,24.109
2023-03-12,24.109
2023-03-13,24.507
2023-03-14,24.412
2023-03-15,24.779
2023-03-16,24.891
2023-03-17,24.677
2023-03-18,24.677
2023-03-19,24.677
2023-03-20,24.901
2023-03-21,24.752
2023-03-22,24.521
2023-03-23,24.211
2023-03-24,24.779
2023-03-25,24.779
2023-03-26,24.779
2023-03-27,25.184
2023-03-28,27.224
2023-03-29,27.119
2023-03-30,27.028
2023-03-31,27.762
2023-04-01,27.762
2023-04-02,27.762
2023-04-03,28.132
2023-04-04,28.406
2023-04-05,28.462
2023-04-06,28.757
2023-04-07,28.757
2023-04-08,28.757
2023-04-09,28.757
2023-04-10,28.485
2023-04-11,28.772
2023-04-12,28.699
2023-04-13,28.893
2023-04-14,28.398
2023-04-15,28.398
2023-04-16,28.398
2023-04-17,28.575
2023-04-18,28.413
2023-04-19,28.45
2023-04-20,28.496
2023-04-21,28.59
2023-04-22,28.59
2023-04-23,28.59
2023-04-24,28.436
2023-04-25,28.643
2023-04-26,28.356
2023-04-27,29.164
2023-04-28,29.314
2023-04-29,29.314
2023-04-30,29.314
2023-05-01,29.501
2023-05-02,29.441
2023-05-03,29.681
2023-05-04,29.8
2023-05-05,30.029
2023-05-06,30.029
2023-05-07,30.029
2023-05-08,29.806
2023-05-09,29.86
2023-05-10,30.053
2023-05-11,30.218
2023-05-12,30.478
2023-05-13,30.478
2023-05-14,30.478
2023-05-15,30.671
2023-05-16,30.282
2023-05-17,29.972
2023-05-18,29.904
2023-05-19,30.019
2023-05-20,30.019
2023-05-21,30.019
2023-05-22,29.614
2023-05-23,29.469
2023-05-24,29.604
2023-05-25,29.442
2023-05-26,29.347
2023-05-27,29.347
2023-05-28,29.347
2023-05-29,29.347
2023-05-30,28.837
2023-05-31,28.942
2023-06-01,29.567
2023-06-02,29.864
2023-06-03,29.864
2023-06-04,29.864
2023-06-05,29.965
2023-06-06,30.33
2023-06-07,30.531
2023-06-08,30.323
2023-06-09,30.505
2023-06-10,30.505
2023-06-11,30.505
2023-06-12,30.481
2023-06-13,30.383
2023-06-14,30.598
2023-06-15,30.935
2023-06-16,31.16
2023-06-17,31.16
2023-06-18,31.16
2023-06-19,31.16
2023-06-20,31.225
2023-06-21,31.35
2023-06-22,31.497
