,NFG US Equity
,BEST_PE_RATIO
2020-09-01,8.51
2020-09-02,8.51
2020-09-03,8.51
2020-09-04,8.51
2020-09-05,8.51
2020-09-06,8.51
2020-09-07,8.51
2020-09-08,8.51
2020-09-09,8.51
2020-09-10,8.51
2020-09-11,8.51
2020-09-12,8.51
2020-09-13,8.51
2020-09-14,8.51
2020-09-15,8.51
2020-09-16,8.51
2020-09-17,8.51
2020-09-18,8.51
2020-09-19,8.51
2020-09-20,8.51
2020-09-21,8.51
2020-09-22,8.51
2020-09-23,5.885
2020-09-24,5.966
2020-09-25,6.047
2020-09-26,6.047
2020-09-27,6.047
2020-09-28,6.104
2020-09-29,6.027
2020-09-30,5.945
2020-10-01,5.852
2020-10-02,5.857
2020-10-03,5.857
2020-10-04,5.857
2020-10-05,6.015
2020-10-06,6.015
2020-10-07,6.043
2020-10-08,6.147
2020-10-09,6.15
2020-10-10,6.15
2020-10-11,6.15
2020-10-12,6.201
2020-10-13,6.211
2020-10-14,6.182
2020-10-15,6.201
2020-10-16,6.1
2020-10-17,6.1
2020-10-18,6.1
2020-10-19,6.059
2020-10-20,6.141
2020-10-21,6.134
2020-10-22,6.318
2020-10-23,6.287
2020-10-24,6.287
2020-10-25,6.287
2020-10-26,6.186
2020-10-27,6.097
2020-10-28,5.798
2020-10-29,5.83
2020-10-30,5.852
2020-10-31,5.852
2020-11-01,5.852
2020-11-02,5.92
2020-11-03,6.055
2020-11-04,5.984
2020-11-05,5.91
2020-11-06,5.59
2020-11-07,5.59
2020-11-08,5.59
2020-11-09,5.706
2020-11-10,6.016
2020-11-11,6.115
2020-11-12,5.949
2020-11-13,6.137
2020-11-14,6.137
2020-11-15,6.137
2020-11-16,6.183
2020-11-17,6.242
2020-11-18,6.134
2020-11-19,6.066
2020-11-20,6.03
2020-11-21,6.03
2020-11-22,6.03
2020-11-23,6.16
2020-11-24,6.321
2020-11-25,6.235
2020-11-26,6.235
2020-11-27,6.151
2020-11-28,6.151
2020-11-29,6.151
2020-11-30,6.03
2020-12-01,5.973
2020-12-02,5.981
2020-12-03,6.014
2020-12-04,6.104
2020-12-05,6.104
2020-12-06,6.104
2020-12-07,6.074
2020-12-08,6.159
2020-12-09,6.226
2020-12-10,6.325
2020-12-11,6.314
2020-12-12,6.314
2020-12-13,6.314
2020-12-14,6.239
2020-12-15,6.39
2020-12-16,6.345
2020-12-17,6.318
2020-12-18,6.277
2020-12-19,6.277
