,HA US Equity
2022-07-04,5.078
2022-07-05,5.255
2022-07-06,5.116
2022-07-07,5.175
2022-07-08,5.061
2022-07-09,5.061
2022-07-10,5.061
2022-07-11,4.898
2022-07-12,5.217
2022-07-13,5.179
2022-07-14,5.158
2022-07-15,5.269
2022-07-16,5.269
2022-07-17,5.269
2022-07-18,5.265
2022-07-19,5.49
2022-07-20,5.549
2022-07-21,5.38
2022-07-22,5.237
2022-07-23,5.237
2022-07-24,5.237
2022-07-25,5.241
2022-07-26,6.289
2022-07-27,6.172
2022-07-28,6.038
2022-07-29,4.987
2022-07-30,4.987
2022-07-31,4.987
2022-08-01,5.147
2022-08-02,5.123
2022-08-03,5.34
2022-08-04,5.427
2022-08-05,5.37
2022-08-06,5.37
2022-08-07,5.37
2022-08-08,6.929
2022-08-09,6.723
2022-08-10,6.79
2022-08-11,6.971
2022-08-12,7.097
2022-08-13,7.097
2022-08-14,7.097
2022-08-15,7.016
2022-08-16,7.0
2022-08-17,6.71
2022-08-18,6.747
2022-08-19,6.404
2022-08-20,6.404
2022-08-21,6.404
2022-08-22,6.107
2022-08-23,6.139
2022-08-24,6.278
2022-08-25,6.58
2022-08-26,6.282
2022-08-27,6.282
2022-08-28,6.282
2022-08-29,6.221
2022-08-30,6.209
2022-08-31,6.111
2022-09-01,6.066
2022-09-02,6.058
2022-09-03,6.058
2022-09-04,6.058
2022-09-05,6.058
2022-09-06,6.156
2022-09-07,6.433
2022-09-08,6.466
2022-09-09,6.388
2022-09-10,6.388
2022-09-11,6.388
2022-09-12,6.543
2022-09-13,6.164
2022-09-14,6.425
2022-09-15,6.437
2022-09-16,6.16
2022-09-17,6.16
2022-09-18,6.16
2022-09-19,6.245
2022-09-20,6.156
2022-09-21,5.866
2022-09-22,5.715
2022-09-23,5.865
2022-09-24,5.865
2022-09-25,5.865
2022-09-26,5.768
2022-09-27,6.067
2022-09-28,6.168
2022-09-29,5.86
2022-09-30,5.773
2022-10-01,5.773
2022-10-02,5.773
2022-10-03,5.808
2022-10-04,6.255
2022-10-05,6.255
2022-10-06,6.163
2022-10-07,5.865
2022-10-08,5.865
2022-10-09,5.865
2022-10-10,5.834
2022-10-11,5.795
2022-10-12,6.036
2022-10-13,6.229
2022-10-14,6.018
2022-10-15,6.018
2022-10-16,6.018
2022-10-17,6.163
2022-10-18,6.295
2022-10-19,6.225
2022-10-20,6.181
2022-10-21,6.73
2022-10-22,6.73
2022-10-23,6.73
2022-10-24,6.716
2022-10-25,7.083
2022-10-26,6.53
2022-10-27,6.442
2022-10-28,6.642
2022-10-29,6.642
2022-10-30,6.642
2022-10-31,6.702
2022-11-01,6.674
2022-11-02,6.447
2022-11-03,6.904
2022-11-04,6.985
2022-11-05,6.985
2022-11-06,6.985
2022-11-07,7.107
2022-11-08,7.178
2022-11-09,6.934
2022-11-10,7.396
2022-11-11,7.579
2022-11-12,7.579
2022-11-13,7.579
2022-11-14,7.604
2022-11-15,7.64
2022-11-16,7.223
2022-11-17,7.188
2022-11-18,7.198
2022-11-19,7.198
2022-11-20,7.198
2022-11-21,7.122
2022-11-22,7.01
2022-11-23,7.081
2022-11-24,7.081
2022-11-25,7.127
2022-11-26,7.127
2022-11-27,7.127
2022-11-28,6.959
2022-11-29,6.99
2022-11-30,7.056
2022-12-01,7.051
2022-12-02,6.99
2022-12-03,6.99
2022-12-04,6.99
2022-12-05,6.939
2022-12-06,6.914
2022-12-07,6.624
2022-12-08,6.437
2022-12-09,6.386
2022-12-10,6.386
2022-12-11,6.386
2022-12-12,6.584
2022-12-13,6.467
2022-12-14,6.401
2022-12-15,6.228
2022-12-16,5.408
2022-12-17,5.408
2022-12-18,5.408
2022-12-19,6.667
2022-12-20,6.36
2022-12-21,6.295
2022-12-22,5.988
2022-12-23,5.965
2022-12-24,5.965
2022-12-25,5.965
2022-12-26,5.965
2022-12-27,5.841
2022-12-28,5.705
2022-12-29,5.935
2022-12-30,6.053
2022-12-31,6.053
2023-01-01,6.053
2023-01-02,6.053
2023-01-03,5.841
2023-01-04,7.294
2023-01-05,7.58
2023-01-06,7.825
2023-01-07,7.825
2023-01-08,7.825
2023-01-09,7.871
2023-01-10,8.435
2023-01-11,7.938
2023-01-12,8.318
2023-01-13,8.268
2023-01-14,8.268
2023-01-15,8.268
2023-01-16,8.268
2023-01-17,7.944
2023-01-18,7.595
2023-01-19,7.533
2023-01-20,7.651
2023-01-21,7.651
2023-01-22,7.651
2023-01-23,7.632
2023-01-24,7.408
2023-01-25,7.545
2023-01-26,7.614
2023-01-27,7.427
2023-01-28,7.427
2023-01-29,7.427
2023-01-30,7.327
2023-01-31,8.567
2023-02-01,14.539
2023-02-02,17.934
2023-02-03,17.34
2023-02-04,17.34
2023-02-05,17.34
2023-02-06,17.261
2023-02-07,17.574
2023-02-08,18.247
2023-02-09,16.964
2023-02-10,18.696
2023-02-11,18.696
2023-02-12,18.696
2023-02-13,19.125
2023-02-14,37.338
2023-02-15,38.464
2023-02-16,36.007
2023-02-17,35.87
2023-02-18,35.87
2023-02-19,35.87
2023-02-20,35.87
2023-02-21,34.573
2023-02-22,34.369
2023-02-23,35.051
2023-02-24,34.369
2023-02-25,34.369
2023-02-26,34.369
2023-02-27,39.498
2023-02-28,40.143
2023-03-01,39.247
2023-03-02,40.143
2023-03-03,40.215
2023-03-04,40.215
2023-03-05,40.215
2023-03-06,38.244
2023-03-07,38.172
2023-03-08,37.993
2023-03-09,35.412
2023-03-10,34.552
2023-03-11,34.552
2023-03-12,34.552
2023-03-13,32.401
2023-03-14,31.685
2023-03-15,30.251
2023-03-16,30.072
2023-03-17,29.032
2023-03-18,29.032
2023-03-19,29.032
2023-03-20,28.925
2023-03-21,28.925
2023-03-22,27.706
2023-03-23,27.168
2023-03-24,27.778
2023-03-25,27.778
2023-03-26,27.778
2023-03-27,28.208
2023-03-28,28.674
2023-03-29,30.143
2023-03-30,31.362
2023-03-31,32.832
2023-04-01,32.832
2023-04-02,32.832
2023-04-03,31.971
2023-04-04,31.935
2023-04-05,31.183
2023-04-06,30.538
2023-04-07,30.538
2023-04-08,30.538
2023-04-09,30.538
2023-04-10,51.111
2023-04-11,47.884
2023-04-12,45.979
2023-04-13,45.767
2023-04-14,43.439
2023-04-15,43.439
2023-04-16,43.439
2023-04-17,44.603
2023-04-18,44.603
2023-04-19,46.085
2023-04-20,44.974
2023-04-21,34.309
2023-04-22,34.309
2023-04-23,34.309
2023-04-24,33.984
2023-04-25,35.281
2023-04-26,40.984
2023-04-27,40.622
2023-04-28,43.161
2023-04-29,43.161
2023-04-30,43.161
2023-05-01,68.5
2023-05-02,66.75
2023-05-03,67.5
2023-05-04,64.417
2023-05-05,67.75
2023-05-06,67.75
2023-05-07,67.75
2023-05-08,109.73
2023-05-09,110.676
2023-05-10,107.703
2023-05-11,104.865
2023-05-12,102.027
2023-05-13,102.027
2023-05-14,102.027
2023-05-15,102.973
2023-05-16,99.189
2023-05-17,108.784
2023-05-18,110.405
2023-05-19,93.023
2023-05-20,93.023
2023-05-21,93.023
2023-05-22,94.651
2023-05-23,96.512
2023-05-24,92.674
2023-05-25,93.488
2023-05-26,93.372
2023-05-27,93.372
2023-05-28,93.372
2023-05-29,93.372
2023-05-30,94.767
2023-05-31,93.14
2023-06-01,94.07
2023-06-02,100.349
2023-06-03,100.349
2023-06-04,100.349
2023-06-05,97.791
2023-06-06,102.674
2023-06-07,105.233
2023-06-08,104.884
2023-06-09,106.512
2023-06-10,106.512
2023-06-11,106.512
2023-06-12,111.163
2023-06-13,112.907
2023-06-14,112.326
2023-06-15,114.302
2023-06-16,114.302
2023-06-17,114.302
2023-06-18,114.302
2023-06-19,114.302
2023-06-20,114.302
2023-06-21,114.535
2023-06-22,114.302
2023-06-23,112.907
