,JPM US Equity,JPM US Equity,JPM US Equity,JPM US Equity,JPM US Equity
2020-03-03,106.5974,108.3394,102.4293,103.0638,32547736.0
2020-03-04,104.271,105.91,101.0679,105.6104,25795867.0
2020-03-05,101.9271,102.5968,99.2042,100.429,25025628.0
2020-03-06,93.6351,97.2155,92.5424,95.2388,38159405.0
2020-03-07,93.6351,97.2155,92.5424,95.2388,38159405.0
2020-03-08,93.6351,97.2155,92.5424,95.2388,38159405.0
2020-03-09,85.0964,87.4405,81.9505,82.3382,40352025.0
2020-03-10,87.2377,89.2468,83.3428,88.7357,31102652.0
2020-03-11,86.0921,88.1629,83.3164,84.5588,38157806.0
2020-03-12,78.9457,85.44,76.0642,77.5886,49725233.0
2020-03-13,84.5853,91.6348,81.0693,91.5643,38543328.0
2020-03-14,84.5853,91.6348,81.0693,91.5643,38543328.0
2020-03-15,84.5853,91.6348,81.0693,91.5643,38543328.0
2020-03-16,75.0773,82.8158,74.5045,77.8618,38589653.0
2020-03-17,80.0912,85.863,77.104,82.6202,35239844.0
2020-03-18,77.2538,80.0031,70.8123,73.9229,41525568.0
2020-03-19,71.8697,77.6415,67.7722,75.1654,32175060.0
2020-03-20,76.0466,78.8311,72.6804,73.5792,30150823.0
2020-03-21,76.0466,78.8311,72.6804,73.5792,30150823.0
2020-03-22,76.0466,78.8311,72.6804,73.5792,30150823.0
2020-03-23,72.8567,73.7995,68.812,69.6403,32536580.0
2020-03-24,74.8129,79.3951,73.0505,77.9235,34363160.0
2020-03-25,78.6373,83.8451,74.4957,80.8314,38111699.0
2020-03-26,82.9022,86.8587,82.4242,86.4622,29840426.0
2020-03-27,82.1179,83.5719,79.7916,80.3027,30041458.0
2020-03-28,82.1179,83.5719,79.7916,80.3027,30041458.0
2020-03-29,82.1179,83.5719,79.7916,80.3027,30041458.0
2020-03-30,79.8797,82.911,78.6901,82.3911,21656933.0
2020-03-31,81.1134,82.9815,78.7254,79.3334,23379303.0
2020-04-01,74.9891,76.2757,73.3589,74.3371,28029566.0
2020-04-02,73.588,77.4653,73.1034,77.1128,24017959.0
2020-04-03,76.5696,77.8874,73.6938,74.8335,21199448.0
2020-04-04,76.5696,77.8874,73.6938,74.8335,21199448.0
2020-04-05,76.5696,77.8874,73.6938,74.8335,21199448.0
2020-04-06,79.2318,81.0125,78.0832,79.6502,26820846.0
2020-04-07,84.0931,84.1376,80.4694,80.7008,22563810.0
2020-04-08,82.0007,84.4581,80.6207,83.9595,22903255.0
2020-04-09,86.2922,92.9431,86.2655,91.4918,42084666.0
2020-04-10,86.2922,92.9431,86.2655,91.4918,42084666.0
2020-04-11,86.2922,92.9431,86.2655,91.4918,42084666.0
2020-04-12,86.2922,92.9431,86.2655,91.4918,42084666.0
2020-04-13,91.8034,91.8034,86.6305,87.4229,26911949.0
2020-04-14,89.9426,90.8152,83.3719,85.0279,46151255.0
2020-04-15,81.1549,81.9384,80.2468,80.8344,30118621.0
2020-04-16,80.3358,80.6385,77.5045,77.7538,32449619.0
2020-04-17,81.9117,85.206,80.9858,84.743,30191898.0
2020-04-18,81.9117,85.206,80.9858,84.743,30191898.0
2020-04-19,81.9117,85.206,80.9858,84.743,30191898.0
2020-04-20,82.3302,84.3245,80.5406,81.6535,23679430.0
2020-04-21,78.9023,81.3632,78.6441,79.2852,23035023.0
2020-04-22,80.7454,81.796,79.4009,79.5434,16706026.0
2020-04-23,79.8995,81.2707,79.4722,79.5879,16638765.0
2020-04-24,80.7008,81.1104,78.7866,80.7632,15815286.0
2020-04-25,80.7008,81.1104,78.7866,80.7632,15815286.0
2020-04-26,80.7008,81.1104,78.7866,80.7632,15815286.0
2020-04-27,81.8583,85.1437,81.5065,84.2444,22870210.0
2020-04-28,87.0846,87.5742,84.6095,84.8409,20238900.0
2020-04-29,88.2154,88.5448,86.6038,87.1291,20462562.0
2020-04-30,85.117,86.221,84.1821,85.2594,19127632.0
2020-05-01,83.2472,83.4609,81.7648,83.0246,18547741.0
2020-05-02,83.2472,83.4609,81.7648,83.0246,18547741.0
2020-05-03,83.2472,83.4609,81.7648,83.0246,18547741.0
2020-05-04,81.9295,82.5082,80.8433,82.0364,15725875.0
2020-05-05,83.3808,83.8794,81.8227,81.9117,18064140.0
2020-05-06,82.0542,82.5884,80.0692,80.3714,20978035.0
2020-05-07,81.3241,82.7219,80.6474,81.2083,16771938.0
2020-05-08,82.624,83.7636,82.0097,82.535,20494915.0
2020-05-09,82.624,83.7636,82.0097,82.535,20494915.0
2020-05-10,82.624,83.7636,82.0097,82.535,20494915.0
2020-05-11,81.1193,81.1193,79.5345,80.1043,31907585.0
2020-05-12,80.2646,80.8344,77.371,77.4867,27962923.0
2020-05-13,76.908,77.3353,74.2547,74.8157,35451600.0
2020-05-14,73.6493,78.4483,73.3644,77.923,35152452.0
2020-05-15,77.3264,77.7093,75.9464,76.4806,26099044.0
2020-05-16,77.3264,77.7093,75.9464,76.4806,26099044.0
2020-05-17,77.3264,77.7093,75.9464,76.4806,26099044.0
2020-05-18,78.9647,81.1549,78.2435,80.5317,30528734.0
2020-05-19,80.1755,81.1983,78.8756,78.9469,19597291.0
2020-05-20,80.7632,82.2545,80.4605,81.3152,20552362.0
2020-05-21,80.3714,81.698,79.8372,80.2824,14621406.0
2020-05-22,80.1399,80.4515,78.9914,79.6591,13557923.0
2020-05-23,80.1399,80.4515,78.9914,79.6591,13557923.0
2020-05-24,80.1399,80.4515,78.9914,79.6591,13557923.0
2020-05-25,80.1399,80.4515,78.9914,79.6591,13557923.0
2020-05-26,82.7041,86.8086,82.4548,85.3128,41233949.0
2020-05-27,90.8775,91.3316,87.9661,90.2542,39402040.0
2020-05-28,91.6521,91.661,88.5003,88.9098,24738542.0
2020-05-29,87.8414,88.3044,86.1631,86.6394,26538154.0
2020-05-30,87.8414,88.3044,86.1631,86.6394,26538154.0
2020-05-31,87.8414,88.3044,86.1631,86.6394,26538154.0
2020-06-01,87.0312,88.5995,86.7018,87.788,15207495.0
2020-06-02,89.2838,89.4084,87.1893,88.0818,21194963.0
2020-06-03,90.4412,93.415,89.9782,92.8362,25941090.0
2020-06-04,92.4356,94.9197,91.5185,94.7683,26784723.0
2020-06-05,102.3273,103.0752,97.5195,99.033,42230986.0
2020-06-06,102.3273,103.0752,97.5195,99.033,42230986.0
2020-06-07,102.3273,103.0752,97.5195,99.033,42230986.0
2020-06-08,100.974,101.6685,99.6652,101.0096,24881791.0
2020-06-09,98.5166,99.3892,97.0565,98.4187,17031144.0
2020-06-10,98.3475,98.3875,94.243,94.43,24913328.0
2020-06-11,89.0612,90.4412,85.9539,86.5504,36259224.0
2020-06-12,89.6666,90.0406,86.6573,88.9187,24856764.0
2020-06-13,89.6666,90.0406,86.6573,88.9187,24856764.0
2020-06-14,89.6666,90.0406,86.6573,88.9187,24856764.0
2020-06-15,85.847,90.3077,85.3573,90.1474,22153641.0
2020-06-16,93.8156,94.0916,88.4201,90.8686,22193575.0
2020-06-17,91.287,91.2959,88.3311,88.5715,15639830.0
2020-06-18,87.8503,89.4975,87.3695,88.0907,16591911.0
2020-06-19,89.5064,89.5687,86.123,87.0846,40371167.0
2020-06-20,89.5064,89.5687,86.123,87.0846,40371167.0
2020-06-21,89.5064,89.5687,86.123,87.0846,40371167.0
2020-06-22,86.586,87.2093,85.9539,86.1409,16216903.0
2020-06-23,88.1174,89.0078,87.1202,87.1915,15381376.0
2020-06-24,86.1409,86.221,83.9684,84.28,22919784.0
2020-06-25,84.004,87.4408,83.9259,87.2182,25743638.0
2020-06-26,84.6807,84.9122,81.9117,82.437,41896324.0
2020-06-27,84.6807,84.9122,81.9117,82.437,41896324.0
2020-06-28,84.6807,84.9122,81.9117,82.437,41896324.0
2020-06-29,83.1582,84.1287,82.072,82.8021,18499738.0
2020-06-30,82.6507,84.2799,82.4192,83.7458,19137010.0
2020-07-01,84.4848,85.2104,82.8289,83.0335,18755728.0
2020-07-02,85.1732,85.371,82.6478,83.3032,27845616.0
2020-07-03,85.1732,85.371,82.6478,83.3032,27845616.0
2020-07-04,85.1732,85.371,82.6478,83.3032,27845616.0
2020-07-05,85.1732,85.371,82.6478,83.3032,27845616.0
2020-07-06,84.8945,85.5867,84.0404,85.4069,18625272.0
2020-07-07,84.3461,84.5978,82.7099,82.9976,25757203.0
2020-07-08,82.9706,83.9146,82.5301,83.8786,18762214.0
2020-07-09,84.0764,84.6158,81.6098,82.0626,25600763.0
2020-07-10,82.7099,87.0611,82.5935,86.5487,28954234.0
2020-07-11,82.7099,87.0611,82.5935,86.5487,28954234.0
2020-07-12,82.7099,87.0611,82.5935,86.5487,28954234.0
2020-07-13,88.7605,89.2424,86.5082,87.7893,32079211.0
2020-07-14,88.4366,89.8571,86.8813,88.2928,42731666.0
2020-07-15,90.7022,91.0618,88.6883,89.6593,22508410.0
2020-07-16,88.8052,90.9988,88.5984,89.911,16886886.0
2020-07-17,89.902,89.9739,88.2298,88.2478,16161547.0
2020-07-18,89.902,89.9739,88.2298,88.2478,16161547.0
2020-07-19,89.902,89.9739,88.2298,88.2478,16161547.0
2020-07-20,87.5915,88.4546,87.4387,87.4747,14458137.0
2020-07-21,87.8433,89.947,87.7803,89.3716,17812297.0
2020-07-22,89.5874,90.0189,87.6814,88.7243,14271150.0
2020-07-23,88.5535,89.3177,88.077,88.985,12870184.0
2020-07-24,89.5424,89.7222,88.05,88.3557,12744151.0
2020-07-25,89.5424,89.7222,88.05,88.3557,12744151.0
2020-07-26,89.5424,89.7222,88.05,88.3557,12744151.0
2020-07-27,87.6635,87.7713,86.4588,87.1151,11959055.0
2020-07-28,86.7555,88.001,86.7555,87.4927,11754273.0
2020-07-29,87.2679,89.6413,87.205,89.6143,12743520.0
2020-07-30,87.6904,87.8702,86.3509,87.2229,14834785.0
2020-07-31,86.7375,87.142,85.6317,86.8813,14539496.0
2020-08-01,86.7375,87.142,85.6317,86.8813,14539496.0
2020-08-02,86.7375,87.142,85.6317,86.8813,14539496.0
2020-08-03,87.2229,87.7174,86.1711,86.3958,12972563.0
2020-08-04,86.225,86.261,85.4339,85.9014,13366154.0
2020-08-05,86.1891,88.5265,86.0542,87.3938,15349693.0
2020-08-06,87.7264,88.1939,86.7914,87.4207,10482062.0
2020-08-07,87.142,89.4435,86.8094,89.3446,14743678.0
2020-08-08,87.142,89.4435,86.8094,89.3446,14743678.0
2020-08-09,87.142,89.4435,86.8094,89.3446,14743678.0
2020-08-10,90.0009,91.736,89.9329,90.4774,14989853.0
2020-08-11,93.3722,95.44,93.0576,93.3363,31518607.0
2020-08-12,95.44,95.6827,91.4394,92.5451,19250157.0
2020-08-13,91.7001,92.9227,91.3719,92.0327,13598648.0
2020-08-14,91.2506,92.8778,91.1786,92.0687,12134360.0
2020-08-15,91.2506,92.8778,91.1786,92.0687,12134360.0
2020-08-16,91.2506,92.8778,91.1786,92.0687,12134360.0
2020-08-17,91.2506,91.7001,89.4795,89.6413,14987988.0
2020-08-18,89.8211,89.8211,88.2119,88.3917,13246506.0
2020-08-19,88.9311,90.4324,88.4097,88.5984,13533015.0
2020-08-20,87.4387,88.131,87.0252,87.5376,13672577.0
2020-08-21,87.4477,88.6119,87.151,87.4927,12228301.0
2020-08-22,87.4477,88.6119,87.151,87.4927,12228301.0
2020-08-23,87.4477,88.6119,87.151,87.4927,12228301.0
2020-08-24,88.5085,90.0908,87.5826,89.956,17898270.0
2020-08-25,91.0438,91.6821,89.7222,90.3515,13648931.0
2020-08-26,89.8481,90.1448,89.048,89.0839,12052437.0
2020-08-27,89.003,92.2844,89.003,92.0147,22163863.0
2020-08-28,92.725,92.8238,91.5293,92.3923,13756725.0
2020-08-29,92.725,92.8238,91.5293,92.3923,13756725.0
2020-08-30,92.725,92.8238,91.5293,92.3923,13756725.0
2020-08-31,91.8079,91.8619,89.92,90.0728,14219441.0
2020-09-01,89.4975,90.6853,89.039,90.0279,11602053.0
2020-09-02,89.8571,91.6461,89.5065,91.3854,14475673.0
2020-09-03,92.8868,94.3881,90.4774,91.0977,23281235.0
2020-09-04,93.5431,94.5859,91.1337,93.0666,26325470.0
2020-09-05,93.5431,94.5859,91.1337,93.0666,26325470.0
2020-09-06,93.5431,94.5859,91.1337,93.0666,26325470.0
2020-09-07,93.5431,94.5859,91.1337,93.0666,26325470.0
2020-09-08,92.5811,93.1115,89.4345,89.8301,22108612.0
2020-09-09,90.6212,91.4214,89.5065,90.6842,13434024.0
2020-09-10,91.1607,92.0777,89.5784,89.7492,15922793.0
2020-09-11,89.8751,91.1247,89.5334,90.864,13784342.0
2020-09-12,89.8751,91.1247,89.5334,90.864,13784342.0
2020-09-13,89.8751,91.1247,89.5334,90.864,13784342.0
2020-09-14,91.2595,93.0126,91.1337,92.1226,19017373.0
2020-09-15,92.3564,92.4642,89.1289,89.2547,23682973.0
2020-09-16,89.3896,90.9179,88.7872,89.6323,19284239.0
2020-09-17,88.7333,89.3116,87.8433,88.6074,18290104.0
2020-09-18,88.0051,89.4435,87.6005,88.4186,20121579.0
2020-09-19,88.0051,89.4435,87.6005,88.4186,20121579.0
2020-09-20,88.0051,89.4435,87.6005,88.4186,20121579.0
2020-09-21,85.5867,86.3509,84.3461,85.6856,28378768.0
2020-09-22,85.371,86.0003,84.2112,84.7506,19257004.0
2020-09-23,85.2091,85.7216,83.3047,83.3751,19952667.0
2020-09-24,82.9976,84.7776,82.1525,83.3032,18366522.0
2020-09-25,82.7548,84.2517,82.593,84.0314,13293076.0
2020-09-26,82.7548,84.2517,82.593,84.0314,13293076.0
2020-09-27,82.7548,84.2517,82.593,84.0314,13293076.0
2020-09-28,85.4609,87.142,84.8226,86.4498,20894106.0
2020-09-29,86.3329,86.3329,84.8064,85.7216,12854673.0
2020-09-30,85.7216,87.3825,85.6407,86.5487,16400587.0
2020-10-01,87.3128,87.8972,86.3329,87.178,15778666.0
2020-10-02,85.6317,88.6344,85.4878,88.0051,15149570.0
2020-10-03,85.6317,88.6344,85.4878,88.0051,15149570.0
2020-10-04,85.6317,88.6344,85.4878,88.0051,15149570.0
2020-10-05,89.2119,90.0557,88.4951,89.8652,13871881.0
2020-10-06,90.7998,91.5166,88.477,88.9397,19220440.0
2020-10-07,89.7926,91.0538,89.5257,90.4913,16358533.0
2020-10-08,91.199,92.4784,90.641,92.3514,15659016.0
2020-10-09,92.551,92.6463,90.8361,91.8251,13689115.0
2020-10-10,92.551,92.6463,90.8361,91.8251,13689115.0
2020-10-11,92.551,92.6463,90.8361,91.8251,13689115.0
2020-10-12,91.7344,93.4583,91.5075,92.9502,16057978.0
2020-10-13,93.4583,93.658,90.9722,91.444,21697310.0
2020-10-14,91.6708,92.4829,90.827,90.9359,15214907.0
2020-10-15,89.9196,92.3514,89.8652,92.2969,17171199.0
2020-10-16,92.0156,92.8504,91.3923,92.1064,13276397.0
2020-10-17,92.0156,92.8504,91.3923,92.1064,13276397.0
2020-10-18,92.0156,92.8504,91.3923,92.1064,13276397.0
2020-10-19,92.188,92.433,90.337,90.5548,11725674.0
2020-10-20,91.0175,92.3423,90.8451,91.072,11257070.0
2020-10-21,91.0629,91.6345,90.1283,90.1646,10730521.0
2020-10-22,90.1192,93.6761,90.1102,93.3495,14837204.0
2020-10-23,93.912,94.774,93.3948,94.1933,15087611.0
2020-10-24,93.912,94.774,93.3948,94.1933,15087611.0
2020-10-25,93.912,94.774,93.3948,94.1933,15087611.0
2020-10-26,93.1408,93.1861,90.9631,91.8614,12410742.0
2020-10-27,91.199,91.571,89.9741,90.1283,10391663.0
2020-10-28,88.4678,89.1937,87.1703,87.5968,16389464.0
2020-10-29,87.2157,88.9034,86.4169,88.1684,14208820.0
2020-10-30,88.8399,89.3026,87.3155,88.9578,15200685.0
2020-10-31,88.8399,89.3026,87.3155,88.9578,15200685.0
2020-11-01,88.8399,89.3026,87.3155,88.9578,15200685.0
2020-11-02,90.1828,91.5347,88.7945,90.9631,15011597.0
2020-11-03,93.4765,95.0372,93.1771,93.8304,17482590.0
2020-11-04,91.6436,92.6145,89.7654,90.9631,18886518.0
2020-11-05,91.6981,95.3593,91.6436,94.6833,17837373.0
2020-11-06,95.3003,95.3638,92.9049,93.422,12552785.0
2020-11-07,95.3003,95.3638,92.9049,93.422,12552785.0
2020-11-08,95.3003,95.3638,92.9049,93.422,12552785.0
2020-11-09,102.6771,107.8854,100.1275,106.0707,47792406.0
2020-11-10,106.479,106.5697,104.0654,105.7259,20539339.0
2020-11-11,106.0616,106.1251,103.403,104.1471,14443409.0
2020-11-12,102.1055,103.3985,101.6745,102.8677,22066464.0
2020-11-13,104.0745,104.2197,103.0493,103.5119,11856870.0
2020-11-14,104.0745,104.2197,103.0493,103.5119,11856870.0
2020-11-15,104.0745,104.2197,103.0493,103.5119,11856870.0
2020-11-16,106.8782,107.6223,105.0107,106.4336,19858562.0
2020-11-17,104.7006,105.6533,103.9656,105.3539,14553245.0
2020-11-18,106.4699,107.6223,104.5282,104.5735,12571217.0
2020-11-19,103.6027,105.0907,103.0401,104.8548,10202538.0
2020-11-20,103.8295,104.9365,103.521,103.9565,12720823.0
2020-11-21,103.8295,104.9365,103.521,103.9565,12720823.0
2020-11-22,103.8295,104.9365,103.521,103.9565,12720823.0
2020-11-23,105.2994,107.223,104.8639,106.9508,13209211.0
2020-11-24,108.947,112.0593,108.6204,111.896,20121557.0
2020-11-25,110.1266,111.043,109.3054,110.7255,11715627.0
2020-11-26,110.1266,111.043,109.3054,110.7255,11715627.0
2020-11-27,110.6982,111.0158,109.8635,109.9905,5983627.0
2020-11-28,110.6982,111.0158,109.8635,109.9905,5983627.0
2020-11-29,110.6982,111.0158,109.8635,109.9905,5983627.0
2020-11-30,108.8835,109.5367,106.8601,106.9599,14411847.0
2020-12-01,109.192,110.3171,108.5456,108.6476,12678222.0
2020-12-02,108.6113,110.9795,108.2211,110.7345,10811255.0
2020-12-03,110.5621,110.5939,109.2102,110.0086,12904414.0
2020-12-04,111.1338,111.8687,110.417,111.0067,13583654.0
2020-12-05,111.1338,111.8687,110.417,111.0067,13583654.0
2020-12-06,111.1338,111.8687,110.417,111.0067,13583654.0
2020-12-07,109.927,110.8525,109.0741,110.5893,9724307.0
2020-12-08,109.8272,110.9977,109.5731,110.6982,9592124.0
2020-12-09,111.7598,111.8778,109.2827,109.8362,13073933.0
2020-12-10,108.8744,109.5895,108.4843,109.1285,13668420.0
2020-12-11,107.9217,108.9017,107.4045,108.4843,9981643.0
2020-12-12,107.9217,108.9017,107.4045,108.4843,9981643.0
2020-12-13,107.9217,108.9017,107.4045,108.4843,9981643.0
2020-12-14,110.0948,110.172,107.1641,107.341,12112352.0
2020-12-15,108.2393,109.7001,107.6313,109.1739,12591419.0
2020-12-16,109.1557,109.8635,108.7565,109.4914,11169364.0
2020-12-17,110.0268,110.1992,108.5024,108.5841,11618001.0
2020-12-18,108.1032,108.778,107.3138,108.0487,28954764.0
2020-12-19,108.1032,108.778,107.3138,108.0487,28954764.0
2020-12-20,108.1032,108.778,107.3138,108.0487,28954764.0
2020-12-21,111.7598,113.4203,109.8725,112.1046,28323642.0
2020-12-22,111.9595,112.0774,110.3444,110.3988,11808882.0
2020-12-23,111.406,114.7995,111.0158,113.4838,14973226.0
2020-12-24,113.502,113.9194,112.1228,112.9848,4164948.0
2020-12-25,113.502,113.9194,112.1228,112.9848,4164948.0
2020-12-26,113.502,113.9194,112.1228,112.9848,4164948.0
2020-12-27,113.502,113.9194,112.1228,112.9848,4164948.0
2020-12-28,114.1644,114.9175,113.2285,113.7288,8072641.0
2020-12-29,114.5092,114.5817,113.3205,113.4294,8389199.0
2020-12-30,113.8649,114.187,113.3296,113.747,7397964.0
2020-12-31,113.502,115.5345,113.257,115.2986,8580214.0
2021-01-01,113.502,115.5345,113.257,115.2986,8580214.0
2021-01-02,113.502,115.5345,113.257,115.2986,8580214.0
2021-01-03,113.502,115.5345,113.257,115.2986,8580214.0
2021-01-04,115.6887,116.0135,113.2207,114.2097,16819915.0
2021-01-05,114.228,115.4247,113.113,114.8311,13731206.0
2021-01-06,118.6969,121.3381,116.8691,120.2231,24909056.0
2021-01-07,124.0067,126.2914,123.303,124.1712,21940387.0
2021-01-08,124.2626,124.6098,122.5719,124.3083,12035126.0
2021-01-09,124.2626,124.6098,122.5719,124.3083,12035126.0
2021-01-10,124.2626,124.6098,122.5719,124.3083,12035126.0
2021-01-11,122.9922,126.3006,122.5627,126.1635,15949048.0
2021-01-12,127.4338,129.4625,126.8764,128.1466,18033462.0
2021-01-13,126.657,128.6675,126.2092,128.2654,14816761.0
2021-01-14,128.3934,130.4588,127.9456,129.0148,18565597.0
2021-01-15,125.5969,129.4535,125.213,126.7027,27881016.0
2021-01-16,125.5969,129.4535,125.213,126.7027,27881016.0
2021-01-17,125.5969,129.4535,125.213,126.7027,27881016.0
2021-01-18,125.5969,129.4535,125.213,126.7027,27881016.0
2021-01-19,127.8176,128.5853,125.9533,126.1543,19843782.0
2021-01-20,125.9533,126.2731,123.7736,124.2626,16028845.0
2021-01-21,124.0067,124.4362,122.7592,123.2207,13415022.0
2021-01-22,121.265,122.8277,120.8172,122.2703,12933227.0
2021-01-23,121.265,122.8277,120.8172,122.2703,12933227.0
2021-01-24,121.265,122.8277,120.8172,122.2703,12933227.0
2021-01-25,120.7623,121.7037,118.8614,120.7441,14212764.0
2021-01-26,121.3198,121.7037,120.0312,120.2506,11307819.0
2021-01-27,118.4319,118.6695,116.3848,116.8509,17603851.0
2021-01-28,118.7152,120.7898,117.8836,118.9071,13761758.0
2021-01-29,119.8941,120.3785,117.1524,117.5911,14808109.0
2021-01-30,119.8941,120.3785,117.1524,117.5911,14808109.0
2021-01-31,119.8941,120.3785,117.1524,117.5911,14808109.0
2021-02-01,118.2583,118.8703,117.4129,118.4593,11080662.0
2021-02-02,120.5796,122.8186,119.9216,122.1058,12253574.0
2021-02-03,122.1423,124.0661,122.0144,123.504,10600777.0
2021-02-04,123.8056,126.7209,123.8056,126.3462,12419526.0
2021-02-05,127.3881,127.4795,125.5512,126.0995,10051265.0
2021-02-06,127.3881,127.4795,125.5512,126.0995,10051265.0
2021-02-07,127.3881,127.4795,125.5512,126.0995,10051265.0
2021-02-08,126.3006,128.2197,126.2823,128.0735,10136384.0
2021-02-09,127.4246,127.9273,126.6113,127.5617,8614807.0
2021-02-10,127.9456,128.7407,127.0682,127.6348,10323204.0
2021-02-11,127.6348,128.4482,126.3188,127.2784,9200955.0
2021-02-12,127.0774,129.4169,127.0317,129.0879,8324562.0
2021-02-13,127.0774,129.4169,127.0317,129.0879,8324562.0
2021-02-14,127.0774,129.4169,127.0317,129.0879,8324562.0
2021-02-15,127.0774,129.4169,127.0317,129.0879,8324562.0
2021-02-16,131.1899,132.8075,130.1389,132.1952,12130618.0
2021-02-17,131.5555,132.8623,130.7969,132.6064,10834189.0
2021-02-18,131.6012,133.237,131.0528,133.0543,10590274.0
2021-02-19,133.301,136.0244,133.301,135.275,11969782.0
2021-02-20,133.301,136.0244,133.301,135.275,11969782.0
2021-02-21,133.301,136.0244,133.301,135.275,11969782.0
2021-02-22,134.224,137.2582,134.1509,136.5453,11488415.0
2021-02-23,138.4645,139.1956,136.7098,137.642,16234408.0
2021-02-24,137.1851,140.5208,137.1851,140.0638,15061433.0
2021-02-25,140.9869,141.5626,137.6237,138.1629,18127707.0
2021-02-26,137.3587,137.8834,133.895,134.4982,19829182.0
2021-02-27,137.3587,137.8834,133.895,134.4982,19829182.0
2021-02-28,137.3587,137.8834,133.895,134.4982,19829182.0
2021-03-01,136.6459,138.3456,135.6954,137.5415,14845483.0
