,EIX US Equity,EIX US Equity,EIX US Equity,EIX US Equity,EIX US Equity
2020-02-11,64.9148,65.2787,64.4599,64.5096,1630663.0
2020-02-12,64.4186,64.584,63.9141,64.096,1462226.0
2020-02-13,64.2366,64.4682,63.3517,63.9885,1534798.0
2020-02-14,64.0547,64.1126,63.604,63.7983,1323641.0
2020-02-15,64.0547,64.1126,63.604,63.7983,1323641.0
2020-02-16,64.0547,64.1126,63.604,63.7983,1323641.0
2020-02-17,64.0547,64.1126,63.604,63.7983,1323641.0
2020-02-18,63.9968,64.1539,63.5957,63.7818,1707564.0
2020-02-19,63.8149,64.5675,63.1904,63.3848,1671308.0
2020-02-20,63.3269,64.0299,63.2731,63.9472,1498916.0
2020-02-21,63.8479,64.9479,63.7156,64.1539,1441484.0
2020-02-22,63.8479,64.9479,63.7156,64.1539,1441484.0
2020-02-23,63.8479,64.9479,63.7156,64.1539,1441484.0
2020-02-24,64.3028,64.3524,63.1119,63.1201,1403965.0
2020-02-25,63.1946,63.5254,61.8299,62.0946,1652108.0
2020-02-26,62.0781,62.7314,61.4164,61.4578,1679399.0
2020-02-27,61.2097,61.3751,57.7691,58.1,2110180.0
2020-02-28,56.7188,57.0165,53.973,55.5692,5410625.0
2020-02-29,56.7188,57.0165,53.973,55.5692,5410625.0
2020-03-01,56.7188,57.0165,53.973,55.5692,5410625.0
2020-03-02,55.8504,58.2819,55.503,58.2571,3847754.0
2020-03-03,57.7361,59.3984,56.1647,56.4872,4350730.0
2020-03-04,56.909,58.0338,56.3549,58.0255,4519546.0
2020-03-05,57.5045,58.7781,56.6568,57.0744,2115214.0
2020-03-06,55.7842,56.4087,54.7256,55.9,3461314.0
2020-03-07,55.7842,56.4087,54.7256,55.9,3461314.0
2020-03-08,55.7842,56.4087,54.7256,55.9,3461314.0
2020-03-09,53.9565,54.9489,51.0783,51.0783,3728347.0
2020-03-10,51.74,52.9723,49.7882,52.84,5080192.0
2020-03-11,51.343,51.343,48.4897,49.4077,3380093.0
2020-03-12,46.3476,46.7694,42.4109,43.362,4432223.0
2020-03-13,45.4379,45.777,41.1703,44.0402,4280683.0
2020-03-14,45.4379,45.777,41.1703,44.0402,4280683.0
2020-03-15,45.4379,45.777,41.1703,44.0402,4280683.0
2020-03-16,40.0869,42.2703,36.084,38.1682,4654018.0
2020-03-17,38.9042,44.6274,37.6719,42.4771,4838486.0
2020-03-18,40.0373,42.0305,37.8622,40.5583,5257155.0
2020-03-19,40.12,40.7568,37.2171,40.3268,3083514.0
2020-03-20,40.4177,42.6508,38.5073,38.7554,4052682.0
2020-03-21,40.4177,42.6508,38.5073,38.7554,4052682.0
2020-03-22,40.4177,42.6508,38.5073,38.7554,4052682.0
2020-03-23,38.4245,40.0456,36.5058,36.7787,3527886.0
2020-03-24,38.317,42.3447,38.0193,41.6666,2995137.0
2020-03-25,41.3771,46.9679,41.3771,44.5116,3338325.0
2020-03-26,44.768,49.2506,44.5364,47.7454,3211470.0
2020-03-27,45.5702,47.613,44.8093,45.7853,2840131.0
2020-03-28,45.5702,47.613,44.8093,45.7853,2840131.0
2020-03-29,45.5702,47.613,44.8093,45.7853,2840131.0
2020-03-30,46.6115,47.8331,45.5405,47.1135,2756487.0
2020-03-31,47.2223,47.2223,45.2645,45.8418,2192430.0
2020-04-01,43.7333,45.3648,41.6667,42.8966,2219793.0
2020-04-02,41.8424,44.5114,41.8424,43.1142,2032439.0
2020-04-03,42.6373,43.4488,40.4326,41.2986,3612749.0
2020-04-04,42.6373,43.4488,40.4326,41.2986,3612749.0
2020-04-05,42.6373,43.4488,40.4326,41.2986,3612749.0
2020-04-06,43.1727,46.0175,43.0819,44.4863,4539923.0
2020-04-07,46.0258,46.5027,44.5951,45.2059,2094890.0
2020-04-08,45.415,48.7952,44.9883,48.1677,3118820.0
2020-04-09,48.7952,51.7906,48.6614,50.4268,3753173.0
2020-04-10,48.7952,51.7906,48.6614,50.4268,3753173.0
2020-04-11,48.7952,51.7906,48.6614,50.4268,3753173.0
2020-04-12,48.7952,51.7906,48.6614,50.4268,3753173.0
2020-04-13,49.9331,50.1925,48.5359,49.6905,2521653.0
2020-04-14,50.7363,50.9706,48.858,50.0837,2695689.0
2020-04-15,48.9291,49.7742,48.1259,48.4271,2208557.0
2020-04-16,48.5275,50.7614,48.5275,50.0503,3193906.0
2020-04-17,51.0459,52.2173,50.0586,51.9244,2434566.0
2020-04-18,51.0459,52.2173,50.0586,51.9244,2434566.0
2020-04-19,51.0459,52.2173,50.0586,51.9244,2434566.0
2020-04-20,51.2885,51.6651,50.2009,50.2092,2435343.0
2020-04-21,49.4227,50.159,48.0004,48.6865,1963490.0
2020-04-22,49.657,49.8327,48.745,49.3558,2028658.0
2020-04-23,49.3558,50.5104,48.5777,48.7199,2220324.0
2020-04-24,49.0713,49.6905,48.0004,49.5733,2117864.0
2020-04-25,49.0713,49.6905,48.0004,49.5733,2117864.0
2020-04-26,49.0713,49.6905,48.0004,49.5733,2117864.0
2020-04-27,50.159,51.1212,50.1507,50.8284,1564130.0
2020-04-28,51.8157,52.823,51.3722,52.0332,2149950.0
2020-04-29,52.7025,53.0247,50.4268,50.5104,2683031.0
2020-04-30,50.0419,50.0503,48.2514,49.1215,2009575.0
2020-05-01,48.1092,48.4229,45.6577,46.5948,2563824.0
2020-05-02,48.1092,48.4229,45.6577,46.5948,2563824.0
2020-05-03,48.1092,48.4229,45.6577,46.5948,2563824.0
2020-05-04,46.988,47.2055,46.143,47.1302,2864999.0
2020-05-05,47.3896,48.561,47.1637,47.1804,1685279.0
2020-05-06,47.3561,47.3561,45.0051,45.2142,1564738.0
2020-05-07,45.3314,46.03,44.7122,45.6242,3175128.0
2020-05-08,46.3689,47.946,46.3103,47.7327,1507300.0
2020-05-09,46.3689,47.946,46.3103,47.7327,1507300.0
2020-05-10,46.3689,47.946,46.3103,47.7327,1507300.0
2020-05-11,47.3645,47.8163,46.486,47.5402,1711080.0
2020-05-12,47.7912,48.6446,47.0047,47.1972,1949642.0
2020-05-13,47.4816,48.7116,47.3771,48.0339,3159107.0
2020-05-14,47.1972,48.243,46.3103,48.1259,2744173.0
2020-05-15,47.8331,48.4689,46.5446,46.8123,3172243.0
2020-05-16,47.8331,48.4689,46.5446,46.8123,3172243.0
2020-05-17,47.8331,48.4689,46.5446,46.8123,3172243.0
2020-05-18,48.1761,48.5275,47.7159,47.8414,3100846.0
2020-05-19,47.6322,48.561,47.4063,48.0422,1585187.0
2020-05-20,48.2598,48.5693,46.7705,47.0717,3702261.0
2020-05-21,46.9713,47.3478,46.3689,47.08,1564134.0
2020-05-22,47.08,47.3896,46.7119,47.2139,1558305.0
2020-05-23,47.08,47.3896,46.7119,47.2139,1558305.0
2020-05-24,47.08,47.3896,46.7119,47.2139,1558305.0
2020-05-25,47.08,47.3896,46.7119,47.2139,1558305.0
2020-05-26,48.1008,48.1845,46.6199,46.8625,3070744.0
2020-05-27,47.7075,48.3935,47.1302,47.7327,3067384.0
2020-05-28,48.7367,48.7785,47.9669,48.5191,3512027.0
2020-05-29,48.3183,48.9793,47.8247,48.6195,3121408.0
2020-05-30,48.3183,48.9793,47.8247,48.6195,3121408.0
2020-05-31,48.3183,48.9793,47.8247,48.6195,3121408.0
2020-06-01,48.7618,49.9582,48.7618,49.5733,2600711.0
2020-06-02,49.8578,50.5355,49.5901,50.0837,1766440.0
2020-06-03,50.5188,51.4559,50.4435,51.0124,2583401.0
2020-06-04,50.8786,51.0961,49.1299,49.4144,2505488.0
2020-06-05,49.9499,51.7655,49.5817,50.9371,4574807.0
2020-06-06,49.9499,51.7655,49.5817,50.9371,4574807.0
2020-06-07,49.9499,51.7655,49.5817,50.9371,4574807.0
2020-06-08,51.3471,54.3173,51.1881,54.1835,4205003.0
2020-06-09,53.5978,53.7066,51.2551,51.5646,3871905.0
2020-06-10,51.5312,51.8491,50.4017,50.4853,2376888.0
2020-06-11,49.4897,49.7281,46.9629,47.5318,3849983.0
2020-06-12,48.5526,48.9877,47.4816,48.1677,3089604.0
2020-06-13,48.5526,48.9877,47.4816,48.1677,3089604.0
2020-06-14,48.5526,48.9877,47.4816,48.1677,3089604.0
2020-06-15,47.1637,49.8746,46.5613,49.7407,3667379.0
2020-06-16,51.1128,51.9579,50.0921,50.6359,3631726.0
2020-06-17,50.8869,51.23,49.8244,50.1088,4053581.0
2020-06-18,49.5482,50.2427,48.3351,49.2303,4389734.0
2020-06-19,50.0503,50.2427,46.5697,46.5697,9386850.0
2020-06-20,50.0503,50.2427,46.5697,46.5697,9386850.0
2020-06-21,50.0503,50.2427,46.5697,46.5697,9386850.0
2020-06-22,46.6366,47.49,46.3605,46.6784,4036507.0
2020-06-23,47.2641,47.2725,46.0258,46.6617,4980192.0
2020-06-24,46.2601,46.6408,45.323,45.4903,3650569.0
2020-06-25,45.3397,46.0007,44.2688,45.9254,4458306.0
2020-06-26,46.1848,47.0382,45.415,45.8669,5428776.0
2020-06-27,46.1848,47.0382,45.415,45.8669,5428776.0
2020-06-28,46.1848,47.0382,45.415,45.8669,5428776.0
2020-06-29,46.3605,46.3605,45.3983,46.3019,3852635.0
2020-06-30,46.3772,47.4482,45.2393,45.4401,4974442.0
2020-07-01,45.4318,46.5613,45.0971,46.2936,2391192.0
2020-07-02,46.9771,47.6457,46.7935,47.0109,1758128.0
2020-07-03,46.9771,47.6457,46.7935,47.0109,1758128.0
2020-07-04,46.9771,47.6457,46.7935,47.0109,1758128.0
2020-07-05,46.9771,47.6457,46.7935,47.0109,1758128.0
2020-07-06,47.7135,48.179,46.9601,47.4426,2647034.0
2020-07-07,46.994,47.0998,45.9613,46.1137,2975361.0
2020-07-08,45.8005,46.2576,45.5889,46.0968,2004390.0
2020-07-09,45.8175,45.9825,44.4885,45.6482,2405885.0
2020-07-10,45.5381,46.9686,45.5043,46.8332,1213436.0
2020-07-11,45.5381,46.9686,45.5043,46.8332,1213436.0
2020-07-12,45.5381,46.9686,45.5043,46.8332,1213436.0
2020-07-13,47.4003,47.7135,46.647,47.3834,2366871.0
2020-07-14,47.5865,48.5176,47.3834,47.9674,2884405.0
2020-07-15,48.526,48.7461,46.6046,46.7908,2507143.0
2020-07-16,46.8586,47.9335,46.6723,47.4765,1598320.0
2020-07-17,47.8235,47.942,47.341,47.705,1784825.0
2020-07-18,47.8235,47.942,47.341,47.705,1784825.0
2020-07-19,47.8235,47.942,47.341,47.705,1784825.0
2020-07-20,47.3834,47.4003,46.3549,46.4607,2044797.0
2020-07-21,46.6893,47.6923,46.4904,47.358,2140676.0
2020-07-22,47.1717,48.2383,46.9263,48.0012,1780659.0
2020-07-23,47.9843,48.3568,47.4426,47.9589,1333101.0
2020-07-24,48.0097,48.4583,47.0363,47.4172,1654196.0
2020-07-25,48.0097,48.4583,47.0363,47.4172,1654196.0
2020-07-26,48.0097,48.4583,47.0363,47.4172,1654196.0
2020-07-27,47.1971,47.341,44.7763,44.9964,3744301.0
2020-07-28,45.0303,47.1717,45.0303,46.647,1887029.0
2020-07-29,46.3168,46.7062,44.9964,45.5212,2335338.0
2020-07-30,45.1742,46.6089,44.8779,46.4438,2131519.0
2020-07-31,46.1052,47.1717,46.1052,47.121,3482189.0
2020-08-01,46.1052,47.1717,46.1052,47.121,3482189.0
2020-08-02,46.1052,47.1717,46.1052,47.121,3482189.0
2020-08-03,46.8332,46.867,45.2842,45.6482,2735356.0
2020-08-04,45.3858,46.8416,45.3858,46.2999,1672687.0
2020-08-05,46.3846,46.3846,45.1657,45.3773,1622420.0
2020-08-06,45.3519,45.6693,44.9879,45.5974,1735298.0
2020-08-07,45.4366,46.6427,45.4281,46.2237,1663709.0
2020-08-08,45.4366,46.6427,45.4281,46.2237,1663709.0
2020-08-09,45.4366,46.6427,45.4281,46.2237,1663709.0
2020-08-10,46.2915,46.6977,45.8767,45.919,1470777.0
2020-08-11,45.682,46.4438,45.1996,45.3519,1558512.0
2020-08-12,45.7074,46.283,45.0303,46.156,2054316.0
2020-08-13,46.0629,46.0629,44.5393,45.3773,2763671.0
2020-08-14,45.0895,45.2927,44.2515,44.5986,2432955.0
2020-08-15,45.0895,45.2927,44.2515,44.5986,2432955.0
2020-08-16,45.0895,45.2927,44.2515,44.5986,2432955.0
2020-08-17,44.5393,44.6409,43.549,43.8283,2376699.0
2020-08-18,43.8707,44.0399,43.2528,43.5829,2447316.0
2020-08-19,43.7014,44.5817,43.3543,44.2262,2367202.0
2020-08-20,43.9214,44.1288,43.1427,43.3713,2059664.0
2020-08-21,43.5321,43.5575,42.6518,43.3882,2423510.0
2020-08-22,43.5321,43.5575,42.6518,43.3882,2423510.0
2020-08-23,43.5321,43.5575,42.6518,43.3882,2423510.0
2020-08-24,43.4728,44.3277,43.1089,44.3023,1416311.0
2020-08-25,44.3447,44.4208,43.676,44.0145,1297477.0
2020-08-26,43.7437,43.8199,42.8973,43.2443,1630456.0
2020-08-27,43.3797,43.9976,43.3035,43.8029,1691738.0
2020-08-28,44.1161,44.2515,43.6675,44.1584,1776407.0
2020-08-29,44.1161,44.2515,43.6675,44.1584,1776407.0
2020-08-30,44.1161,44.2515,43.6675,44.1584,1776407.0
2020-08-31,43.913,44.5563,43.8622,44.4208,2415620.0
2020-09-01,44.1415,44.2431,43.6125,43.8537,1682177.0
2020-09-02,43.9638,44.7679,43.7775,44.497,2443607.0
2020-09-03,44.7763,45.3519,44.3362,44.8271,2127135.0
2020-09-04,44.9118,45.0895,43.5405,44.2346,1867453.0
2020-09-05,44.9118,45.0895,43.5405,44.2346,1867453.0
2020-09-06,44.9118,45.0895,43.5405,44.2346,1867453.0
2020-09-07,44.9118,45.0895,43.5405,44.2346,1867453.0
2020-09-08,44.3785,44.4632,43.2781,43.4813,2585348.0
2020-09-09,43.7606,44.26,43.202,43.6252,2527754.0
2020-09-10,43.5236,43.6506,42.7449,42.7449,2892004.0
2020-09-11,42.8465,42.8634,42.237,42.8549,2650092.0
2020-09-12,42.8465,42.8634,42.237,42.8549,2650092.0
2020-09-13,42.8465,42.8634,42.237,42.8549,2650092.0
2020-09-14,43.0158,43.8199,42.7534,43.7183,1798297.0
2020-09-15,43.9045,44.7425,43.3543,43.5998,1882404.0
2020-09-16,43.5236,44.7679,43.4813,44.4716,3959338.0
2020-09-17,44.0823,44.5901,43.6675,44.5478,2977817.0
2020-09-18,44.3447,44.8017,43.3289,43.5236,4879984.0
2020-09-19,44.3447,44.8017,43.3289,43.5236,4879984.0
2020-09-20,44.3447,44.8017,43.3289,43.5236,4879984.0
2020-09-21,42.948,43.0411,41.6022,42.0677,3093589.0
2020-09-22,41.9746,42.9819,41.8477,42.6772,3085832.0
2020-09-23,42.7195,42.838,41.0266,41.7292,2637746.0
2020-09-24,41.8138,43.2443,41.4245,43.0327,3134905.0
2020-09-25,42.5841,43.786,42.491,43.7183,2489434.0
2020-09-26,42.5841,43.786,42.491,43.7183,2489434.0
2020-09-27,42.5841,43.786,42.491,43.7183,2489434.0
2020-09-28,44.023,44.5563,43.5659,43.9214,2674894.0
2020-09-29,44.065,44.3049,43.6451,43.7222,1335075.0
2020-09-30,44.0821,44.245,43.2894,43.568,2425962.0
2020-10-01,43.5337,43.825,43.0709,43.2252,2262987.0
2020-10-02,42.9681,44.1764,42.8481,44.1336,2784321.0
2020-10-03,42.9681,44.1764,42.8481,44.1336,2784321.0
2020-10-04,42.9681,44.1764,42.8481,44.1336,2784321.0
2020-10-05,44.3564,45.299,44.2107,45.0848,2888808.0
2020-10-06,45.1619,47.2358,44.8234,46.156,2596963.0
2020-10-07,46.3702,47.2786,46.3359,47.0815,1899381.0
2020-10-08,47.1158,48.1013,47.0901,48.0756,2571738.0
2020-10-09,48.5041,48.6155,47.8014,48.067,1666430.0
2020-10-10,48.5041,48.6155,47.8014,48.067,1666430.0
2020-10-11,48.5041,48.6155,47.8014,48.067,1666430.0
2020-10-12,48.127,48.4955,47.6942,48.2213,1426223.0
2020-10-13,47.7328,48.3584,47.5871,48.2298,1372377.0
2020-10-14,48.2813,48.7097,47.6899,48.1956,1093745.0
2020-10-15,47.6557,49.2282,47.5871,48.684,1283508.0
2020-10-16,48.6926,50.1751,48.5212,49.7981,2308546.0
2020-10-17,48.6926,50.1751,48.5212,49.7981,2308546.0
2020-10-18,48.6926,50.1751,48.5212,49.7981,2308546.0
2020-10-19,49.6695,50.0037,49.2325,49.9266,1503659.0
2020-10-20,50.4408,51.4092,50.1409,51.2035,2137750.0
2020-10-21,50.9893,51.2378,50.5094,50.6036,2203170.0
2020-10-22,50.5865,51.4863,50.2094,51.3235,1473157.0
2020-10-23,51.7777,52.1547,51.4435,51.8376,1849403.0
2020-10-24,51.7777,52.1547,51.4435,51.8376,1849403.0
2020-10-25,51.7777,52.1547,51.4435,51.8376,1849403.0
2020-10-26,51.4006,51.512,48.1441,49.8666,3642082.0
2020-10-27,49.6952,50.1739,49.1211,49.541,2066129.0
2020-10-28,49.7038,50.6379,48.4526,48.4698,2402909.0
2020-10-29,48.0927,48.6583,47.1843,48.0499,2426318.0
2020-10-30,47.8613,48.4612,46.9872,48.0242,1654696.0
2020-10-31,47.8613,48.4612,46.9872,48.0242,1654696.0
2020-11-01,47.8613,48.4612,46.9872,48.0242,1654696.0
2020-11-02,48.3327,49.3525,47.9899,49.3182,1271168.0
2020-11-03,49.8238,50.775,49.7809,50.0552,1440494.0
2020-11-04,49.6438,50.9207,49.1811,49.2153,1399150.0
2020-11-05,49.7981,51.1692,49.6952,50.8864,1610445.0
2020-11-06,50.7407,51.1606,49.7124,49.978,1476147.0
2020-11-07,50.7407,51.1606,49.7124,49.978,1476147.0
2020-11-08,50.7407,51.1606,49.7124,49.978,1476147.0
2020-11-09,53.0717,54.1857,50.4922,52.069,2624926.0
2020-11-10,52.3947,54.1836,52.1547,53.7487,3126736.0
2020-11-11,54.0915,54.5928,53.7658,53.9029,1304345.0
2020-11-12,53.543,54.3057,52.9346,53.8087,1977846.0
2020-11-13,53.9886,55.4904,53.9072,54.897,1457576.0
2020-11-14,53.9886,55.4904,53.9072,54.897,1457576.0
2020-11-15,53.9886,55.4904,53.9072,54.897,1457576.0
2020-11-16,55.694,56.043,54.8627,55.8482,1862597.0
2020-11-17,55.5054,57.0266,55.3928,56.2167,1468659.0
2020-11-18,56.5681,57.1422,55.2398,55.3083,1623989.0
2020-11-19,54.9741,55.2741,54.0658,54.5199,2676396.0
2020-11-20,54.5971,54.9784,53.9886,54.3143,2986994.0
2020-11-21,54.5971,54.9784,53.9886,54.3143,2986994.0
2020-11-22,54.5971,54.9784,53.9886,54.3143,2986994.0
2020-11-23,54.4685,55.1712,54.1172,54.9741,2692809.0
2020-11-24,55.694,56.3367,55.3683,56.0882,1737328.0
2020-11-25,55.634,55.7454,54.1086,54.5971,2866741.0
2020-11-26,55.634,55.7454,54.1086,54.5971,2866741.0
2020-11-27,54.5628,54.7513,53.5687,53.8087,968285.0
2020-11-28,54.5628,54.7513,53.5687,53.8087,968285.0
2020-11-29,54.5628,54.7513,53.5687,53.8087,968285.0
2020-11-30,53.4573,53.5002,52.1804,52.5832,2684389.0
2020-12-01,53.0288,54.0743,52.9945,53.2088,1514522.0
2020-12-02,53.1659,53.3116,52.3347,53.2945,1739992.0
2020-12-03,53.1745,53.7829,52.6175,52.7375,1917487.0
2020-12-04,52.926,53.2602,52.4032,52.986,1173031.0
2020-12-05,52.926,53.2602,52.4032,52.986,1173031.0
2020-12-06,52.926,53.2602,52.4032,52.986,1173031.0
2020-12-07,52.5318,53.2945,52.3861,53.0802,1449003.0
2020-12-08,52.6432,53.3031,52.5661,53.0374,1467132.0
2020-12-09,53.2088,53.9929,53.2002,53.9115,1434868.0
2020-12-10,53.9886,53.9972,53.3202,53.8858,1400128.0
2020-12-11,53.8944,54.3497,53.663,53.8172,1640572.0
2020-12-12,53.8944,54.3497,53.663,53.8172,1640572.0
2020-12-13,53.8944,54.3497,53.663,53.8172,1640572.0
2020-12-14,53.9886,54.2457,53.2859,53.3545,1413594.0
2020-12-15,53.5516,54.6571,53.4487,54.6399,1860843.0
2020-12-16,54.5542,54.6999,53.6116,53.7315,1512696.0
2020-12-17,53.8686,54.2714,53.753,53.9029,1424685.0
2020-12-18,53.9115,54.3914,53.1402,53.5944,3717912.0
2020-12-19,53.9115,54.3914,53.1402,53.5944,3717912.0
2020-12-20,53.9115,54.3914,53.1402,53.5944,3717912.0
2020-12-21,52.9003,53.3459,51.8034,53.0288,2180650.0
2020-12-22,52.9774,52.9774,52.249,52.5489,1043376.0
2020-12-23,52.8489,53.2345,52.5232,52.5318,1526443.0
2020-12-24,52.9003,53.3288,52.2876,53.2945,382290.0
2020-12-25,52.9003,53.3288,52.2876,53.2945,382290.0
2020-12-26,52.9003,53.3288,52.2876,53.2945,382290.0
2020-12-27,52.9003,53.3288,52.2876,53.2945,382290.0
2020-12-28,53.3887,54.1343,53.2688,53.5173,805020.0
2020-12-29,53.7144,54.0058,53.0974,53.2859,847585.0
2020-12-30,53.3227,53.8208,53.2361,53.3834,911329.0
2020-12-31,53.5306,54.4748,53.2361,54.4142,943907.0
2021-01-01,53.5306,54.4748,53.2361,54.4142,943907.0
2021-01-02,53.5306,54.4748,53.2361,54.4142,943907.0
2021-01-03,53.5306,54.4748,53.2361,54.4142,943907.0
2021-01-04,54.3622,54.5181,52.0148,52.3959,1628204.0
2021-01-05,52.5518,52.7857,51.8935,52.6731,1215959.0
2021-01-06,53.5566,54.6264,52.9243,54.2409,1745225.0
2021-01-07,54.4055,54.4661,53.2794,53.7472,1556587.0
2021-01-08,53.8684,54.0763,53.4527,53.9637,1430502.0
2021-01-09,53.8684,54.0763,53.4527,53.9637,1430502.0
2021-01-10,53.8684,54.0763,53.4527,53.9637,1430502.0
2021-01-11,53.8598,54.0146,52.9763,53.418,971291.0
2021-01-12,53.3401,55.0032,53.3401,54.1456,2531863.0
2021-01-13,54.111,55.0811,53.9204,54.7433,997692.0
2021-01-14,54.8299,54.9079,53.3314,53.3834,1373996.0
2021-01-15,53.1149,53.7039,52.1447,53.5913,1580936.0
2021-01-16,53.1149,53.7039,52.1447,53.5913,1580936.0
2021-01-17,53.1149,53.7039,52.1447,53.5913,1580936.0
2021-01-18,53.1149,53.7039,52.1447,53.5913,1580936.0
2021-01-19,53.7472,53.9637,52.6471,52.7251,1877551.0
2021-01-20,52.1534,52.4219,51.7549,52.1621,1801633.0
2021-01-21,51.8589,52.3266,51.3478,51.3911,1378153.0
2021-01-22,51.1053,51.5644,50.6982,51.3652,1911352.0
2021-01-23,51.1053,51.5644,50.6982,51.3652,1911352.0
2021-01-24,51.1053,51.5644,50.6982,51.3652,1911352.0
2021-01-25,51.1659,51.9975,51.0793,51.4518,1672008.0
2021-01-26,51.5384,51.8242,50.9407,51.1919,2076429.0
2021-01-27,50.7328,51.1399,49.3123,49.3729,2810731.0
2021-01-28,49.6674,51.9368,49.5895,51.01,1857856.0
2021-01-29,50.6376,51.01,49.9619,50.3777,1707888.0
2021-01-30,50.6376,51.01,49.9619,50.3777,1707888.0
2021-01-31,50.6376,51.01,49.9619,50.3777,1707888.0
2021-02-01,50.3344,50.6635,49.8493,50.2478,1077934.0
2021-02-02,50.2824,51.677,50.0919,51.2526,1548759.0
2021-02-03,51.0014,51.5037,50.9407,51.0447,2442944.0
2021-02-04,51.1313,51.4301,50.7285,51.01,2327162.0
2021-02-05,51.4171,51.4171,50.6462,50.8021,2124822.0
2021-02-06,51.4171,51.4171,50.6462,50.8021,2124822.0
2021-02-07,51.4171,51.4171,50.6462,50.8021,2124822.0
2021-02-08,50.7155,50.7242,49.7021,50.0052,1495259.0
2021-02-09,50.0312,50.1871,49.139,50.0485,2186733.0
2021-02-10,50.3517,51.088,50.1698,50.6982,2089557.0
2021-02-11,50.6982,50.8541,50.4643,50.5336,886881.0
2021-02-12,50.369,50.6462,49.6717,50.1612,1207519.0
2021-02-13,50.369,50.6462,49.6717,50.1612,1207519.0
2021-02-14,50.369,50.6462,49.6717,50.1612,1207519.0
2021-02-15,50.369,50.6462,49.6717,50.1612,1207519.0
2021-02-16,50.2131,50.6116,49.3383,49.3556,2538255.0
2021-02-17,49.4682,49.4682,48.5933,48.9312,2621011.0
2021-02-18,48.6367,48.7514,48.1862,48.2382,3642935.0
2021-02-19,48.2902,48.6453,47.8138,47.8311,3288760.0
2021-02-20,48.2902,48.6453,47.8138,47.8311,3288760.0
2021-02-21,48.2902,48.6453,47.8138,47.8311,3288760.0
2021-02-22,47.7791,48.1516,47.3027,47.9437,2583615.0
2021-02-23,48.4894,49.0611,47.9697,48.4374,2760012.0
2021-02-24,48.2382,49.191,47.8917,48.9138,1883994.0
2021-02-25,48.7752,49.165,47.9783,48.2122,2221824.0
2021-02-26,48.0476,48.6193,46.705,46.7657,2913851.0
2021-02-27,48.0476,48.6193,46.705,46.7657,2913851.0
2021-02-28,48.0476,48.6193,46.705,46.7657,2913851.0
2021-03-01,47.2941,48.55,47.2334,47.5626,1650867.0
