,BKH US Equity,BKH US Equity,BKH US Equity,BKH US Equity,BKH US Equity
2020-02-11,72.3679,72.6071,71.787,72.2312,288232.0
2020-02-12,72.3594,72.3594,71.0866,71.6504,330945.0
2020-02-13,71.6375,73.0559,71.5171,72.9528,231486.0
2020-02-14,73.2193,73.5374,72.7808,73.374,199192.0
2020-02-15,73.2193,73.5374,72.7808,73.374,199192.0
2020-02-16,73.2193,73.5374,72.7808,73.374,199192.0
2020-02-17,73.2193,73.5374,72.7808,73.374,199192.0
2020-02-18,73.5202,73.907,73.1161,73.5288,300162.0
2020-02-19,73.4084,73.6319,72.9356,72.9356,252978.0
2020-02-20,72.8066,72.9528,72.1447,72.884,216652.0
2020-02-21,73.0387,73.3912,72.596,72.841,371790.0
2020-02-22,73.0387,73.3912,72.596,72.841,371790.0
2020-02-23,73.0387,73.3912,72.596,72.841,371790.0
2020-02-24,72.1791,72.7379,71.371,71.371,265280.0
2020-02-25,71.7578,72.4112,69.5828,69.6086,513746.0
2020-02-26,69.7548,70.5027,68.6458,68.7317,478743.0
2020-02-27,68.1901,68.9638,65.3188,65.3962,403572.0
2020-02-28,63.3243,63.5822,61.2353,62.0692,882892.0
2020-02-29,63.3243,63.5822,61.2353,62.0692,882892.0
2020-03-01,63.3243,63.5822,61.2353,62.0692,882892.0
2020-03-02,62.4474,65.7228,62.2153,65.7056,484914.0
2020-03-03,65.5079,67.3691,65.1554,65.6197,488792.0
2020-03-04,66.4794,70.0041,66.4794,69.5312,455306.0
2020-03-05,68.1901,68.9638,66.978,68.1557,338622.0
2020-03-06,66.1871,69.643,65.379,69.3593,590532.0
2020-03-07,66.1871,69.643,65.379,69.3593,590532.0
2020-03-08,66.1871,69.643,65.379,69.3593,590532.0
2020-03-09,64.674,66.4794,62.9976,64.0464,527958.0
2020-03-10,65.1812,66.3031,61.8886,65.3188,601747.0
2020-03-11,63.5564,64.0035,58.9915,60.4186,545093.0
2020-03-12,56.4812,58.0545,51.9765,53.4637,785265.0
2020-03-13,56.8853,57.1432,52.0968,56.6446,628883.0
2020-03-14,56.8853,57.1432,52.0968,56.6446,628883.0
2020-03-15,56.8853,57.1432,52.0968,56.6446,628883.0
2020-03-16,47.5835,51.4521,46.3026,46.4831,658820.0
2020-03-17,47.3858,51.6584,46.5949,51.4865,789434.0
2020-03-18,49.1137,49.7069,43.5,43.7837,730170.0
2020-03-19,44.119,45.6922,41.325,44.1878,900571.0
2020-03-20,44.7294,48.4174,43.745,44.4629,1119697.0
2020-03-21,44.7294,48.4174,43.745,44.4629,1119697.0
2020-03-22,44.7294,48.4174,43.745,44.4629,1119697.0
2020-03-23,44.2393,46.4229,41.8494,43.9642,757135.0
2020-03-24,46.2338,49.0192,43.9857,48.8386,505595.0
2020-03-25,48.4776,52.6642,46.3542,50.3431,653361.0
2020-03-26,50.644,55.1487,50.5623,54.5727,464455.0
2020-03-27,52.3977,56.8939,51.6154,54.2461,452201.0
2020-03-28,52.3977,56.8939,51.6154,54.2461,452201.0
2020-03-29,52.3977,56.8939,51.6154,54.2461,452201.0
2020-03-30,54.7791,58.7336,54.418,58.6132,598947.0
2020-03-31,57.6504,58.2092,54.2718,55.0456,646723.0
2020-04-01,52.8878,53.5927,49.406,50.2743,453539.0
2020-04-02,49.4232,53.1027,49.4232,52.5095,347039.0
2020-04-03,51.7186,52.647,49.7155,50.1797,508038.0
2020-04-04,51.7186,52.647,49.7155,50.1797,508038.0
2020-04-05,51.7186,52.647,49.7155,50.1797,508038.0
2020-04-06,52.5611,56.6188,52.286,56.1631,357229.0
2020-04-07,57.6762,59.0947,53.9624,54.2461,347953.0
2020-04-08,55.2691,59.3182,54.3234,58.4843,426307.0
2020-04-09,59.6019,60.8656,58.682,60.7453,590413.0
2020-04-10,59.6019,60.8656,58.682,60.7453,590413.0
2020-04-11,59.6019,60.8656,58.682,60.7453,590413.0
2020-04-12,59.6019,60.8656,58.682,60.7453,590413.0
2020-04-13,59.344,59.8985,57.4441,58.192,308836.0
2020-04-14,59.5933,59.9973,58.1576,59.6191,299592.0
2020-04-15,57.5472,58.6476,56.7219,56.8595,297719.0
2020-04-16,56.7907,57.0271,54.9252,56.4382,336732.0
2020-04-17,57.7192,58.7078,57.4871,58.1404,288554.0
2020-04-18,57.7192,58.7078,57.4871,58.1404,288554.0
2020-04-19,57.7192,58.7078,57.4871,58.1404,288554.0
2020-04-20,56.9798,57.8997,54.3148,54.5899,281802.0
2020-04-21,52.6556,54.461,52.6556,54.2547,233759.0
2020-04-22,55.8709,55.9912,54.2718,54.9252,275659.0
2020-04-23,54.7705,55.1616,53.4895,53.5583,246378.0
2020-04-24,53.713,54.1171,52.3719,53.7474,334578.0
2020-04-25,53.713,54.1171,52.3719,53.7474,334578.0
2020-04-26,53.713,54.1171,52.3719,53.7474,334578.0
2020-04-27,54.504,56.55,53.8678,56.2491,484465.0
2020-04-28,57.702,58.854,57.1948,57.745,426396.0
2020-04-29,58.1748,58.4488,56.3953,56.464,472670.0
2020-04-30,55.3293,55.3293,52.7932,53.2488,661030.0
2020-05-01,52.114,52.114,50.5838,51.3489,457330.0
2020-05-02,52.114,52.114,50.5838,51.3489,457330.0
2020-05-03,52.114,52.114,50.5838,51.3489,457330.0
2020-05-04,50.7042,51.7702,50.1282,51.5123,429486.0
2020-05-05,52.7588,53.438,51.2887,51.624,421037.0
2020-05-06,52.6213,52.6213,49.9476,50.1024,427981.0
2020-05-07,50.9964,51.7014,49.8617,50.0422,395915.0
2020-05-08,51.091,52.445,50.9578,52.2172,376751.0
2020-05-09,51.091,52.445,50.9578,52.2172,376751.0
2020-05-10,51.091,52.445,50.9578,52.2172,376751.0
2020-05-11,51.3747,51.6154,49.7413,51.048,551899.0
2020-05-12,51.177,51.263,49.8101,49.8961,409270.0
2020-05-13,49.5952,49.6124,48.3228,49.4404,416644.0
2020-05-14,48.3744,48.9719,46.6207,48.8644,493326.0
2020-05-15,48.8601,48.8601,46.6297,48.5216,1232620.0
2020-05-16,48.8601,48.8601,46.6297,48.5216,1232620.0
2020-05-17,48.8601,48.8601,46.6297,48.5216,1232620.0
2020-05-18,50.7433,51.7457,49.294,51.4289,426339.0
2020-05-19,52.0711,52.479,50.535,50.5611,474111.0
2020-05-20,51.2293,51.5765,50.4569,50.6652,455027.0
2020-05-21,50.9863,51.3551,50.5003,50.8301,439653.0
2020-05-22,50.9863,51.3291,50.5177,51.2293,481797.0
2020-05-23,50.9863,51.3291,50.5177,51.2293,481797.0
2020-05-24,50.9863,51.3291,50.5177,51.2293,481797.0
2020-05-25,50.9863,51.3291,50.5177,51.2293,481797.0
2020-05-26,52.5137,53.5465,52.2187,52.722,507644.0
2020-05-27,53.694,54.1279,52.3141,52.8175,463197.0
2020-05-28,53.5899,53.9023,52.7741,53.3989,487851.0
2020-05-29,52.8001,53.9197,52.2621,53.5552,419285.0
2020-05-30,52.8001,53.9197,52.2621,53.5552,419285.0
2020-05-31,52.8001,53.9197,52.2621,53.5552,419285.0
2020-06-01,53.5552,53.7461,52.5571,52.5832,374634.0
2020-06-02,53.1039,53.2427,52.3836,52.9129,264934.0
2020-06-03,53.5465,54.5011,53.3903,53.4423,274026.0
2020-06-04,52.9303,53.0171,51.5721,51.9583,241126.0
2020-06-05,53.2514,55.0018,53.1559,53.7982,380342.0
2020-06-06,53.2514,55.0018,53.1559,53.7982,380342.0
2020-06-07,53.2514,55.0018,53.1559,53.7982,380342.0
2020-06-08,54.1713,55.0348,54.0932,54.5792,507260.0
2020-06-09,54.0325,54.0325,52.8869,53.3555,332680.0
2020-06-10,53.1212,53.5291,52.1839,52.3054,343735.0
2020-06-11,51.0905,51.0905,48.5997,48.6865,419189.0
2020-06-12,50.24,50.24,47.4975,49.3027,512457.0
2020-06-13,50.24,50.24,47.4975,49.3027,512457.0
2020-06-14,50.24,50.24,47.4975,49.3027,512457.0
2020-06-15,48.053,50.4049,47.8534,49.8407,339440.0
2020-06-16,51.5591,52.1319,50.2486,50.5263,329718.0
2020-06-17,50.8648,50.8648,48.8167,49.1638,255376.0
2020-06-18,48.4175,49.4068,48.4175,49.077,313966.0
2020-06-19,49.3547,49.7974,47.1504,47.2025,925605.0
2020-06-20,49.3547,49.7974,47.1504,47.2025,925605.0
2020-06-21,49.3547,49.7974,47.1504,47.2025,925605.0
2020-06-22,46.89,48.6605,46.5516,48.3828,422504.0
2020-06-23,49.1291,49.294,47.6624,48.0356,372884.0
2020-06-24,47.4281,47.5973,46.4214,47.0029,427229.0
2020-06-25,46.7686,46.9248,45.4364,46.595,409337.0
2020-06-26,46.3259,46.9074,45.5015,46.0222,633999.0
2020-06-27,46.3259,46.9074,45.5015,46.0222,633999.0
2020-06-28,46.3259,46.9074,45.5015,46.0222,633999.0
2020-06-29,46.4735,48.5216,46.2739,48.4261,414787.0
2020-06-30,48.322,49.3895,48.2613,49.1725,537285.0
2020-07-01,49.0336,50.5958,48.8297,50.1705,493829.0
2020-07-02,50.8301,51.2206,50.3007,50.8041,554960.0
2020-07-03,50.8301,51.2206,50.3007,50.8041,554960.0
2020-07-04,50.8301,51.2206,50.3007,50.8041,554960.0
2020-07-05,50.8301,51.2206,50.3007,50.8041,554960.0
2020-07-06,51.2206,52.0104,50.4222,50.9082,614649.0
2020-07-07,50.1185,50.3788,49.6325,49.9536,431423.0
2020-07-08,49.8581,50.5003,49.3374,50.2486,299794.0
2020-07-09,49.7887,49.9709,48.1311,49.2246,421190.0
2020-07-10,49.4329,52.0191,49.4329,52.0017,694055.0
2020-07-11,49.4329,52.0191,49.4329,52.0017,694055.0
2020-07-12,49.4329,52.0191,49.4329,52.0017,694055.0
2020-07-13,52.1406,53.0605,51.9279,52.0885,568858.0
2020-07-14,52.1058,52.7858,52.0017,52.4183,520975.0
2020-07-15,53.3729,54.397,52.2621,52.2968,356350.0
2020-07-16,52.1319,52.5658,51.1338,51.5244,357959.0
2020-07-17,51.7934,52.8869,51.6459,52.7654,268898.0
2020-07-18,51.7934,52.8869,51.6459,52.7654,268898.0
2020-07-19,51.7934,52.8869,51.6459,52.7654,268898.0
2020-07-20,52.4703,52.6733,50.995,51.3508,286726.0
2020-07-21,51.7934,52.709,51.5157,52.1058,228907.0
2020-07-22,51.75,53.3729,51.5591,53.3208,315108.0
2020-07-23,53.0171,54.1193,53.0171,53.72,350562.0
2020-07-24,53.8589,54.3709,52.3228,52.5745,411909.0
2020-07-25,53.8589,54.3709,52.3228,52.5745,411909.0
2020-07-26,53.8589,54.3709,52.3228,52.5745,411909.0
2020-07-27,52.5311,52.5311,51.1599,51.5591,535595.0
2020-07-28,51.2901,52.6005,51.1686,51.9323,517351.0
2020-07-29,52.2187,52.453,51.8976,52.1839,436197.0
2020-07-30,51.3421,51.9149,51.1078,51.5851,414457.0
2020-07-31,51.238,51.4897,49.8841,50.2139,2168320.0
2020-08-01,51.238,51.4897,49.8841,50.2139,2168320.0
2020-08-02,51.238,51.4897,49.8841,50.2139,2168320.0
2020-08-03,50.4049,50.4049,48.7993,49.4589,695429.0
2020-08-04,48.8254,50.2486,47.2979,50.1792,671864.0
2020-08-05,50.4049,50.6045,48.4261,49.1725,429858.0
2020-08-06,49.077,50.1488,49.051,49.6585,374470.0
2020-08-07,49.3374,51.8889,49.3374,51.238,505051.0
2020-08-08,49.3374,51.8889,49.3374,51.238,505051.0
2020-08-09,49.3374,51.8889,49.3374,51.238,505051.0
2020-08-10,51.6198,52.1319,51.238,51.967,630760.0
2020-08-11,52.5051,53.1907,50.8648,51.0037,428943.0
2020-08-12,51.6285,52.3922,51.2293,52.0364,252779.0
2020-08-13,51.6632,51.8455,50.9342,51.1686,229838.0
2020-08-14,50.9863,51.2293,50.4743,50.7954,261526.0
2020-08-15,50.9863,51.2293,50.4743,50.7954,261526.0
2020-08-16,50.9863,51.2293,50.4743,50.7954,261526.0
2020-08-17,50.8523,51.2552,50.213,50.721,233966.0
2020-08-18,50.6334,50.7385,49.8013,50.4582,252374.0
2020-08-19,50.4407,51.0012,50.2655,50.5896,305510.0
2020-08-20,50.1516,50.5283,49.8801,49.8976,224675.0
2020-08-21,49.6524,49.7663,48.9692,49.6437,265735.0
2020-08-22,49.6524,49.7663,48.9692,49.6437,265735.0
2020-08-23,49.6524,49.7663,48.9692,49.6437,265735.0
2020-08-24,49.9239,50.3794,49.1094,50.3619,194100.0
2020-08-25,50.2918,50.2918,48.8817,49.0305,302378.0
2020-08-26,48.7503,48.8203,47.4365,47.5416,315818.0
2020-08-27,48.0146,48.5138,47.6117,48.3561,226280.0
2020-08-28,48.8904,49.5911,48.2072,49.5648,312085.0
2020-08-29,48.8904,49.5911,48.2072,49.5648,312085.0
2020-08-30,48.8904,49.5911,48.2072,49.5648,312085.0
2020-08-31,49.2232,50.0465,49.0831,49.1181,359214.0
2020-09-01,48.7853,48.7853,48.1547,48.2861,207288.0
2020-09-02,48.1985,49.705,48.1985,49.1794,223239.0
2020-09-03,49.486,50.213,48.6802,49.0656,314774.0
2020-09-04,49.521,49.6787,48.3211,49.0305,231815.0
2020-09-05,49.521,49.6787,48.3211,49.0305,231815.0
2020-09-06,49.521,49.6787,48.3211,49.0305,231815.0
2020-09-07,49.521,49.6787,48.3211,49.0305,231815.0
2020-09-08,49.0305,49.0305,47.3296,47.8219,352298.0
2020-09-09,48.0408,48.6434,47.4978,48.0408,216953.0
2020-09-10,47.927,48.0017,46.692,46.7095,237477.0
2020-09-11,46.9285,46.9372,46.3241,46.6132,274278.0
2020-09-12,46.9285,46.9372,46.3241,46.6132,274278.0
2020-09-13,46.9285,46.9372,46.3241,46.6132,274278.0
2020-09-14,46.9372,48.0365,46.7139,47.7255,297039.0
2020-09-15,48.0934,48.8265,47.4365,47.6905,266013.0
2020-09-16,47.6905,48.5839,47.4015,48.1284,365460.0
2020-09-17,47.8394,48.6364,47.6292,48.4875,396214.0
2020-09-18,49.2495,49.2495,47.0949,47.5766,1059491.0
2020-09-19,49.2495,49.2495,47.0949,47.5766,1059491.0
2020-09-20,49.2495,49.2495,47.0949,47.5766,1059491.0
2020-09-21,47.0774,48.0058,46.5519,47.2963,504125.0
2020-09-22,47.235,48.0408,46.1753,46.7183,347780.0
2020-09-23,46.8146,47.1825,45.9125,45.9125,561325.0
2020-09-24,45.9037,46.9723,45.5184,46.2628,339510.0
2020-09-25,45.9213,46.7358,45.8337,46.692,351347.0
2020-09-26,45.9213,46.7358,45.8337,46.692,351347.0
2020-09-27,45.9213,46.7358,45.8337,46.692,351347.0
2020-09-28,47.1037,47.7387,46.911,47.2263,422817.0
2020-09-29,47.3839,47.6467,46.2804,46.5168,402551.0
2020-09-30,46.8059,47.1322,46.4117,46.8497,310164.0
2020-10-01,46.7796,47.3401,46.2804,47.2526,433789.0
2020-10-02,46.5168,48.6627,46.5168,48.47,356901.0
2020-10-03,46.5168,48.6627,46.5168,48.47,356901.0
2020-10-04,46.5168,48.6627,46.5168,48.47,356901.0
2020-10-05,48.8641,48.9649,48.0058,48.9167,299887.0
2020-10-06,49.267,50.6509,49.0656,49.451,402718.0
2020-10-07,49.7575,50.4494,49.5298,50.3093,391873.0
2020-10-08,50.6071,51.299,50.4494,51.2465,293171.0
2020-10-09,51.5005,51.5355,50.3794,50.6159,333721.0
2020-10-10,51.5005,51.5355,50.3794,50.6159,333721.0
2020-10-11,51.5005,51.5355,50.3794,50.6159,333721.0
2020-10-12,50.3794,51.5618,50.2568,51.3778,238317.0
2020-10-13,50.8085,51.2509,50.3619,50.7998,199296.0
2020-10-14,50.6772,51.045,50.283,50.5545,199171.0
2020-10-15,50.0816,51.1939,49.7663,51.0187,268822.0
2020-10-16,50.9574,51.2552,50.2743,50.9224,201841.0
2020-10-17,50.9574,51.2552,50.2743,50.9224,201841.0
2020-10-18,50.9574,51.2552,50.2743,50.9224,201841.0
2020-10-19,51.0275,51.0932,49.7575,49.8451,269417.0
2020-10-20,50.0728,50.213,49.486,50.0028,279202.0
2020-10-21,50.0028,50.975,49.902,50.6859,383247.0
2020-10-22,50.6859,51.9121,50.4407,51.8158,278130.0
2020-10-23,52.1048,52.3063,51.2903,52.0523,246749.0
2020-10-24,52.1048,52.3063,51.2903,52.0523,246749.0
2020-10-25,52.1048,52.3063,51.2903,52.0523,246749.0
2020-10-26,51.5618,51.991,50.8961,51.5705,322589.0
2020-10-27,51.5005,52.1442,51.1326,51.8683,473897.0
2020-10-28,51.0713,51.518,50.2305,51.1239,873962.0
2020-10-29,50.975,51.2815,49.775,50.3619,527917.0
2020-10-30,50.1692,50.5764,49.3196,49.6261,589928.0
2020-10-31,50.1692,50.5764,49.3196,49.6261,589928.0
2020-11-01,50.1692,50.5764,49.3196,49.6261,589928.0
2020-11-02,49.9327,51.1239,49.5385,50.8173,404966.0
2020-11-03,52.0172,53.5675,51.8333,52.9369,831662.0
2020-11-04,52.5515,53.7033,51.9647,52.3325,524314.0
2020-11-05,52.4727,53.5587,52.28,52.5165,562147.0
2020-11-06,52.5252,53.331,51.299,51.3516,360876.0
2020-11-07,52.5252,53.331,51.299,51.3516,360876.0
2020-11-08,52.5252,53.331,51.299,51.3516,360876.0
2020-11-09,54.4434,56.1776,53.0945,53.1734,625356.0
2020-11-10,53.7252,55.4593,53.5325,55.2054,412454.0
2020-11-11,55.3455,56.4053,55.1002,55.7309,495050.0
2020-11-12,55.1791,55.1791,52.9982,53.8653,360512.0
2020-11-13,54.9601,55.5732,54.6185,55.2754,434042.0
2020-11-14,54.9601,55.5732,54.6185,55.2754,434042.0
2020-11-15,54.9601,55.5732,54.6185,55.2754,434042.0
2020-11-16,56.3934,57.5423,56.2078,57.5158,427058.0
2020-11-17,57.1535,57.6395,56.6674,57.1623,516857.0
2020-11-18,57.4186,57.7588,55.4124,55.4566,423931.0
2020-11-19,55.1031,55.7306,54.6435,55.2799,230397.0
2020-11-20,54.9175,55.1826,54.29,54.7054,454648.0
2020-11-21,54.9175,55.1826,54.29,54.7054,454648.0
2020-11-22,54.9175,55.1826,54.29,54.7054,454648.0
2020-11-23,55.1208,55.5892,54.7496,55.218,221414.0
2020-11-24,55.9427,57.4097,55.7217,57.2507,256914.0
2020-11-25,57.2153,57.4318,56.4641,57.0297,294006.0
2020-11-26,57.2153,57.4318,56.4641,57.0297,294006.0
2020-11-27,56.8441,56.8441,55.6157,55.9692,135943.0
2020-11-28,56.8441,56.8441,55.6157,55.9692,135943.0
2020-11-29,56.8441,56.8441,55.6157,55.9692,135943.0
2020-11-30,55.6776,55.6776,53.6891,53.7598,426036.0
2020-12-01,54.3961,54.7095,53.8128,53.9719,412219.0
2020-12-02,53.8835,54.1365,53.3798,53.7509,329760.0
2020-12-03,53.7244,53.8222,52.5932,52.8318,423566.0
2020-12-04,53.0262,54.0337,53.0262,53.3798,381840.0
2020-12-05,53.0262,54.0337,53.0262,53.3798,381840.0
2020-12-06,53.0262,54.0337,53.0262,53.3798,381840.0
2020-12-07,53.15,53.5035,52.7523,52.7876,339818.0
2020-12-08,52.3899,52.7081,51.7978,52.169,496017.0
2020-12-09,52.3634,52.6639,50.9671,51.5857,474286.0
2020-12-10,51.3913,51.7006,50.6183,50.7196,591141.0
2020-12-11,50.3926,52.2839,50.3926,52.2574,747819.0
2020-12-12,50.3926,52.2839,50.3926,52.2574,747819.0
2020-12-13,50.3926,52.2839,50.3926,52.2574,747819.0
2020-12-14,52.8318,53.6051,52.0983,52.0983,407056.0
2020-12-15,52.9114,53.6104,52.2968,53.5919,404000.0
2020-12-16,53.636,54.0072,53.0439,53.1411,353546.0
2020-12-17,53.4416,54.2193,53.3798,54.0603,338137.0
2020-12-18,54.6877,54.6877,53.4063,53.636,1133029.0
2020-12-19,54.6877,54.6877,53.4063,53.636,1133029.0
2020-12-20,54.6877,54.6877,53.4063,53.636,1133029.0
2020-12-21,52.7434,52.8583,50.5517,51.6829,434398.0
2020-12-22,51.2941,53.2207,51.1526,53.1146,393881.0
2020-12-23,53.2649,53.7951,52.2839,52.5578,282954.0
2020-12-24,52.4783,53.0395,52.1513,52.9821,135799.0
2020-12-25,52.4783,53.0395,52.1513,52.9821,135799.0
2020-12-26,52.4783,53.0395,52.1513,52.9821,135799.0
2020-12-27,52.4783,53.0395,52.1513,52.9821,135799.0
2020-12-28,53.3886,54.2105,53.2207,53.9542,395630.0
2020-12-29,54.0161,54.4845,53.3267,53.6184,258969.0
2020-12-30,53.4858,54.1707,53.4151,53.5035,211869.0
2020-12-31,53.4505,54.4668,53.256,54.3077,345300.0
2021-01-01,53.4505,54.4668,53.256,54.3077,345300.0
2021-01-02,53.4505,54.4668,53.256,54.3077,345300.0
2021-01-03,53.4505,54.4668,53.256,54.3077,345300.0
2021-01-04,54.4491,54.5419,52.496,53.0616,408862.0
2021-01-05,53.1323,53.4988,52.0099,52.6285,357903.0
2021-01-06,53.3002,55.0059,53.3002,54.6966,624797.0
2021-01-07,54.7054,54.891,52.8446,52.9909,329988.0
2021-01-08,53.0351,53.0351,51.5769,52.4783,403207.0
2021-01-09,53.0351,53.0351,51.5769,52.4783,403207.0
2021-01-10,53.0351,53.0351,51.5769,52.4783,403207.0
2021-01-11,52.1248,52.876,52.1248,52.5402,369991.0
2021-01-12,52.496,53.2295,52.3192,53.1146,252834.0
2021-01-13,53.0439,53.7156,52.8407,53.4946,265267.0
2021-01-14,53.7598,54.4933,53.2914,54.1133,280907.0
2021-01-15,53.857,55.0678,53.3974,54.7673,333009.0
2021-01-16,53.857,55.0678,53.3974,54.7673,333009.0
2021-01-17,53.857,55.0678,53.3974,54.7673,333009.0
2021-01-18,53.857,55.0678,53.3974,54.7673,333009.0
2021-01-19,55.2357,55.2357,53.8658,53.9012,446588.0
2021-01-20,53.7686,54.2724,53.0881,53.8923,283813.0
2021-01-21,53.6449,53.6449,53.0086,53.256,234305.0
2021-01-22,52.9202,53.1588,51.7183,52.2839,565458.0
2021-01-23,52.9202,53.1588,51.7183,52.2839,565458.0
2021-01-24,52.9202,53.1588,51.7183,52.2839,565458.0
2021-01-25,52.1513,53.9984,52.1513,53.9984,440605.0
2021-01-26,54.29,54.29,53.0351,53.0704,275583.0
2021-01-27,52.2574,53.0307,51.4531,52.116,484286.0
2021-01-28,52.4871,53.3798,51.9569,52.6727,510015.0
2021-01-29,52.5755,53.013,51.8243,52.2485,1209762.0
2021-01-30,52.5755,53.013,51.8243,52.2485,1209762.0
2021-01-31,52.5755,53.013,51.8243,52.2485,1209762.0
2021-02-01,52.3811,53.3886,51.895,53.2825,353628.0
2021-02-02,53.5919,54.4314,53.4593,53.8305,254935.0
2021-02-03,53.4681,53.8084,52.5225,53.2118,333375.0
2021-02-04,53.3621,54.1133,53.0262,53.9189,262136.0
2021-02-05,54.3519,54.8291,53.9012,54.7319,284392.0
2021-02-06,54.3519,54.8291,53.9012,54.7319,284392.0
2021-02-07,54.3519,54.8291,53.9012,54.7319,284392.0
2021-02-08,54.7938,55.0147,53.5123,54.511,417349.0
2021-02-09,54.6347,55.3064,54.2812,55.218,348685.0
2021-02-10,55.5715,56.4818,53.8393,54.7761,417983.0
2021-02-11,54.95,55.289,54.3435,55.173,385353.0
2021-02-12,55.0125,55.3246,54.4996,54.959,221536.0
2021-02-13,55.0125,55.3246,54.4996,54.959,221536.0
2021-02-14,55.0125,55.3246,54.4996,54.959,221536.0
2021-02-15,55.0125,55.3246,54.4996,54.959,221536.0
2021-02-16,54.959,54.959,54.0671,54.5219,269052.0
2021-02-17,54.7717,54.9233,54.0938,54.5933,414888.0
2021-02-18,54.5754,55.1106,54.3614,54.6022,322372.0
2021-02-19,54.6022,55.173,54.3971,54.7181,284487.0
2021-02-20,54.6022,55.173,54.3971,54.7181,284487.0
2021-02-21,54.6022,55.173,54.3971,54.7181,284487.0
2021-02-22,54.6914,54.7627,52.1093,52.9611,609367.0
2021-02-23,53.4338,54.9768,53.1796,54.62,513691.0
2021-02-24,54.7181,54.8519,53.8441,54.2187,351511.0
2021-02-25,53.9244,54.4506,53.193,53.7014,355442.0
2021-02-26,54.0135,54.076,52.6757,52.7649,565708.0
2021-02-27,54.0135,54.076,52.6757,52.7649,565708.0
2021-02-28,54.0135,54.076,52.6757,52.7649,565708.0
2021-03-01,53.63,54.3971,53.2822,53.3892,512019.0
2021-03-02,53.4695,53.6925,52.5241,53.4784,368537.0
2021-03-03,52.6222,53.4071,52.1985,53.0235,497337.0
2021-03-04,53.3625,54.4417,53.1573,53.4249,421108.0
2021-03-05,53.96,56.0114,53.96,55.7884,432777.0
2021-03-06,53.96,56.0114,53.96,55.7884,432777.0
2021-03-07,53.96,56.0114,53.96,55.7884,432777.0
2021-03-08,56.163,57.6659,55.9757,57.2155,343226.0
2021-03-09,57.2333,57.376,56.4217,56.6982,308611.0
2021-03-10,56.6982,58.5221,56.5644,58.0717,337629.0
2021-03-11,57.9022,58.1698,56.939,57.1263,313678.0
2021-03-12,57.6614,58.8476,57.6614,58.6782,339629.0
2021-03-13,57.6614,58.8476,57.6614,58.6782,339629.0
2021-03-14,57.6614,58.8476,57.6614,58.6782,339629.0
2021-03-15,58.5533,59.2312,58.0583,59.2222,277089.0
