,BURL US Equity,BURL US Equity,BURL US Equity,BURL US Equity,BURL US Equity
2020-06-25,201.78,204.86,199.24,204.51,774820.0
2020-06-26,203.72,207.44,194.13,194.43,1746997.0
2020-06-27,203.72,207.44,194.13,194.43,1746997.0
2020-06-28,203.72,207.44,194.13,194.43,1746997.0
2020-06-29,195.6,200.37,190.96,198.03,1080487.0
2020-06-30,196.95,198.015,193.34,196.93,1082368.0
2020-07-01,196.92,202.65,195.11,195.72,596983.0
2020-07-02,199.74,200.0,191.74,192.32,709129.0
2020-07-03,199.74,200.0,191.74,192.32,709129.0
2020-07-04,199.74,200.0,191.74,192.32,709129.0
2020-07-05,199.74,200.0,191.74,192.32,709129.0
2020-07-06,195.24,196.8766,191.0,192.99,703525.0
2020-07-07,191.26,191.72,182.6,183.08,880803.0
2020-07-08,182.0,184.57,178.6,183.54,1038875.0
2020-07-09,183.53,184.75,174.39,178.9,735391.0
2020-07-10,178.18,181.91,176.62,178.48,877482.0
2020-07-11,178.18,181.91,176.62,178.48,877482.0
2020-07-12,178.18,181.91,176.62,178.48,877482.0
2020-07-13,181.17,181.3,174.49,175.0,941392.0
2020-07-14,173.49,174.8899,168.46,171.21,930724.0
2020-07-15,177.36,182.58,175.94,181.59,1193854.0
2020-07-16,180.69,191.07,180.49,190.14,1114975.0
2020-07-17,190.54,195.27,188.9,192.61,954174.0
2020-07-18,190.54,195.27,188.9,192.61,954174.0
2020-07-19,190.54,195.27,188.9,192.61,954174.0
2020-07-20,191.96,193.4,187.4,187.77,717472.0
2020-07-21,189.14,190.46,184.59,189.53,704947.0
2020-07-22,188.15,190.49,185.64,188.53,573929.0
2020-07-23,189.21,191.0562,186.335,187.52,558092.0
2020-07-24,186.03,189.19,185.97,186.92,547091.0
2020-07-25,186.03,189.19,185.97,186.92,547091.0
2020-07-26,186.03,189.19,185.97,186.92,547091.0
2020-07-27,186.62,186.62,182.67,183.72,548734.0
2020-07-28,183.93,185.93,182.23,182.27,429474.0
2020-07-29,183.36,187.07,183.36,186.55,652385.0
2020-07-30,184.47,188.99,182.665,187.51,770530.0
2020-07-31,187.58,189.99,185.38,188.0,713461.0
2020-08-01,187.58,189.99,185.38,188.0,713461.0
2020-08-02,187.58,189.99,185.38,188.0,713461.0
2020-08-03,187.99,190.0,185.72,187.5,661940.0
2020-08-04,186.98,188.65,183.46,183.48,750773.0
2020-08-05,184.48,186.145,182.28,183.62,886298.0
2020-08-06,183.76,184.89,178.03,178.57,954900.0
2020-08-07,180.05,180.92,175.89,180.19,1055182.0
2020-08-08,180.05,180.92,175.89,180.19,1055182.0
2020-08-09,180.05,180.92,175.89,180.19,1055182.0
2020-08-10,181.08,184.74,179.28,182.14,934243.0
2020-08-11,184.07,190.98,182.76,189.21,1002447.0
2020-08-12,190.4,193.16,184.56,192.65,1111005.0
2020-08-13,190.8,193.54,189.51,192.4,790712.0
2020-08-14,192.86,196.69,191.8,193.8,581736.0
2020-08-15,192.86,196.69,191.8,193.8,581736.0
2020-08-16,192.86,196.69,191.8,193.8,581736.0
2020-08-17,201.52,203.85,196.3,203.24,984933.0
2020-08-18,202.7,203.0,197.46,199.95,1154718.0
2020-08-19,191.51,196.46,190.33,195.48,2153719.0
2020-08-20,193.7,195.28,189.37,191.2,1395421.0
2020-08-21,191.87,193.31,191.02,192.75,798439.0
2020-08-22,191.87,193.31,191.02,192.75,798439.0
2020-08-23,191.87,193.31,191.02,192.75,798439.0
2020-08-24,191.37,194.35,189.48,194.21,1027254.0
2020-08-25,195.79,195.79,192.835,194.56,950242.0
2020-08-26,194.5,196.6,192.8,196.43,1574004.0
2020-08-27,195.03,207.0,193.68,201.94,2042445.0
2020-08-28,202.14,203.3,195.26,202.5,1355939.0
2020-08-29,202.14,203.3,195.26,202.5,1355939.0
2020-08-30,202.14,203.3,195.26,202.5,1355939.0
2020-08-31,200.39,201.86,195.3,196.93,1553890.0
2020-09-01,195.89,202.64,194.13,201.63,912128.0
2020-09-02,202.0,211.17,201.565,210.84,1309347.0
2020-09-03,210.0,211.45,204.45,209.5,1421771.0
2020-09-04,211.02,213.38,208.41,211.83,1305691.0
2020-09-05,211.02,213.38,208.41,211.83,1305691.0
2020-09-06,211.02,213.38,208.41,211.83,1305691.0
2020-09-07,211.02,213.38,208.41,211.83,1305691.0
2020-09-08,208.83,215.5,206.94,214.81,1439599.0
2020-09-09,214.66,215.77,212.07,212.19,1617306.0
2020-09-10,212.79,214.37,205.0,205.18,2017644.0
2020-09-11,206.93,206.93,199.53,203.46,802066.0
2020-09-12,206.93,206.93,199.53,203.46,802066.0
2020-09-13,206.93,206.93,199.53,203.46,802066.0
2020-09-14,205.9,207.3,203.82,206.45,559442.0
2020-09-15,208.71,212.2,207.84,212.2,671069.0
2020-09-16,214.76,217.7,211.82,217.14,546091.0
2020-09-17,214.72,215.45,211.16,213.59,764353.0
2020-09-18,213.18,213.55,208.59,209.73,1148448.0
2020-09-19,213.18,213.55,208.59,209.73,1148448.0
2020-09-20,213.18,213.55,208.59,209.73,1148448.0
2020-09-21,206.16,207.13,201.565,207.0,1210801.0
2020-09-22,207.99,210.515,204.76,205.68,1218714.0
2020-09-23,207.1,209.32,196.45,196.97,940728.0
2020-09-24,194.62,197.86,190.15,194.08,1113823.0
2020-09-25,192.75,200.5859,192.28,199.36,712455.0
2020-09-26,192.75,200.5859,192.28,199.36,712455.0
2020-09-27,192.75,200.5859,192.28,199.36,712455.0
2020-09-28,203.06,207.44,202.8,206.95,1035237.0
2020-09-29,207.27,208.61,201.47,204.75,642727.0
2020-09-30,204.53,210.55,203.45,206.09,761296.0
2020-10-01,209.28,212.55,206.93,208.54,650523.0
2020-10-02,204.47,218.6,204.16,216.95,856034.0
2020-10-03,204.47,218.6,204.16,216.95,856034.0
2020-10-04,204.47,218.6,204.16,216.95,856034.0
2020-10-05,218.86,220.78,214.91,217.65,492066.0
2020-10-06,217.79,219.15,211.01,211.45,506961.0
2020-10-07,215.44,221.13,214.69,219.02,403919.0
2020-10-08,222.37,223.5,217.04,218.45,386538.0
2020-10-09,220.25,221.64,217.9,218.95,413228.0
2020-10-10,220.25,221.64,217.9,218.95,413228.0
2020-10-11,220.25,221.64,217.9,218.95,413228.0
2020-10-12,219.14,220.555,216.17,216.51,336691.0
2020-10-13,216.2,219.45,211.265,212.07,689871.0
2020-10-14,212.43,218.48,209.69,210.53,446158.0
2020-10-15,206.89,215.6,204.511,213.93,531015.0
2020-10-16,214.57,215.84,210.18,210.56,409901.0
2020-10-17,214.57,215.84,210.18,210.56,409901.0
2020-10-18,214.57,215.84,210.18,210.56,409901.0
2020-10-19,211.86,212.7995,202.73,203.42,598421.0
2020-10-20,205.19,205.19,200.85,200.85,435175.0
2020-10-21,201.05,201.1398,195.815,195.96,520122.0
2020-10-22,196.27,200.898,194.91,200.55,768632.0
2020-10-23,202.47,208.19,198.82,208.01,593055.0
2020-10-24,202.47,208.19,198.82,208.01,593055.0
2020-10-25,202.47,208.19,198.82,208.01,593055.0
2020-10-26,205.17,205.8,197.2,200.26,512603.0
2020-10-27,202.55,203.3,198.77,200.35,372160.0
2020-10-28,197.66,198.59,192.79,195.03,569765.0
2020-10-29,193.81,198.09,193.3865,196.2,377490.0
2020-10-30,195.17,195.88,189.995,193.58,468234.0
2020-10-31,195.17,195.88,189.995,193.58,468234.0
2020-11-01,195.17,195.88,189.995,193.58,468234.0
2020-11-02,196.1,196.1,190.82,192.58,762546.0
2020-11-03,194.72,199.61,194.505,197.59,588989.0
2020-11-04,199.66,202.05,195.48,198.47,582386.0
2020-11-05,201.75,207.4,200.995,204.82,553342.0
2020-11-06,204.58,204.58,198.17,200.8,393546.0
2020-11-07,204.58,204.58,198.17,200.8,393546.0
2020-11-08,204.58,204.58,198.17,200.8,393546.0
2020-11-09,220.33,243.115,213.39,236.4,1575409.0
2020-11-10,236.0,239.36,227.88,233.48,919093.0
2020-11-11,235.62,235.62,220.67,221.51,999277.0
2020-11-12,223.47,227.795,217.35,222.13,963971.0
2020-11-13,222.53,226.75,220.22,225.41,440043.0
2020-11-14,222.53,226.75,220.22,225.41,440043.0
2020-11-15,222.53,226.75,220.22,225.41,440043.0
2020-11-16,230.47,231.0,223.57,230.97,951398.0
2020-11-17,227.55,228.75,222.53,225.02,1123251.0
2020-11-18,229.04,239.26,228.13,234.62,916058.0
2020-11-19,230.92,237.37,228.52,233.09,748348.0
2020-11-20,240.0,240.0,229.84,232.53,764606.0
2020-11-21,240.0,240.0,229.84,232.53,764606.0
2020-11-22,240.0,240.0,229.84,232.53,764606.0
2020-11-23,235.72,235.87,229.43,230.0,1025315.0
2020-11-24,230.0,234.25,223.935,225.95,1842854.0
2020-11-25,223.83,226.56,220.0,222.0,720807.0
2020-11-26,223.83,226.56,220.0,222.0,720807.0
2020-11-27,220.76,223.56,218.72,221.58,394471.0
2020-11-28,220.76,223.56,218.72,221.58,394471.0
2020-11-29,220.76,223.56,218.72,221.58,394471.0
2020-11-30,221.0,221.42,217.38,218.54,1100486.0
2020-12-01,221.06,222.8708,217.54,220.58,1161981.0
2020-12-02,219.5,227.45,217.5176,226.23,659862.0
2020-12-03,226.97,232.32,224.78,229.25,441212.0
2020-12-04,229.25,231.18,225.07,231.08,551878.0
2020-12-05,229.25,231.18,225.07,231.08,551878.0
2020-12-06,229.25,231.18,225.07,231.08,551878.0
2020-12-07,228.91,233.65,226.355,229.99,410694.0
2020-12-08,227.64,233.55,227.64,233.34,718796.0
2020-12-09,233.75,238.01,233.21,237.4,633335.0
2020-12-10,236.15,239.93,231.98,233.1,681784.0
2020-12-11,231.22,235.12,226.68,229.51,600621.0
2020-12-12,231.22,235.12,226.68,229.51,600621.0
2020-12-13,231.22,235.12,226.68,229.51,600621.0
2020-12-14,231.73,235.51,229.53,230.51,404764.0
2020-12-15,231.64,237.25,231.53,237.1,433196.0
2020-12-16,237.58,239.69,233.83,234.49,294574.0
2020-12-17,235.44,245.88,235.0,245.16,714879.0
2020-12-18,243.97,244.55,239.54,240.85,1001019.0
2020-12-19,243.97,244.55,239.54,240.85,1001019.0
2020-12-20,243.97,244.55,239.54,240.85,1001019.0
2020-12-21,236.36,242.1,235.4,240.77,486043.0
2020-12-22,241.69,246.9585,240.29,245.88,391470.0
2020-12-23,247.77,251.18,246.285,249.93,365664.0
2020-12-24,249.95,249.95,246.885,247.88,151159.0
2020-12-25,249.95,249.95,246.885,247.88,151159.0
2020-12-26,249.95,249.95,246.885,247.88,151159.0
2020-12-27,249.95,249.95,246.885,247.88,151159.0
2020-12-28,250.875,259.25,249.69,258.32,521234.0
2020-12-29,259.26,261.31,254.195,259.15,503932.0
2020-12-30,257.9,264.48,257.808,260.24,345930.0
2020-12-31,261.04,264.11,259.64,261.55,379732.0
2021-01-01,261.04,264.11,259.64,261.55,379732.0
2021-01-02,261.04,264.11,259.64,261.55,379732.0
2021-01-03,261.04,264.11,259.64,261.55,379732.0
2021-01-04,262.25,263.57,252.72,253.38,768381.0
2021-01-05,252.64,256.8,250.71,252.24,592323.0
2021-01-06,252.89,268.565,251.765,267.22,760906.0
2021-01-07,269.22,271.745,262.96,264.09,686554.0
2021-01-08,265.42,269.03,262.335,264.97,457891.0
2021-01-09,265.42,269.03,262.335,264.97,457891.0
2021-01-10,265.42,269.03,262.335,264.97,457891.0
2021-01-11,261.67,268.17,260.4301,263.88,482572.0
2021-01-12,262.74,264.29,260.715,262.69,475900.0
2021-01-13,261.16,261.85,255.29,258.1,500889.0
2021-01-14,258.97,259.995,252.09,253.06,500829.0
2021-01-15,253.61,255.415,247.63,253.92,535603.0
2021-01-16,253.61,255.415,247.63,253.92,535603.0
2021-01-17,253.61,255.415,247.63,253.92,535603.0
2021-01-18,253.61,255.415,247.63,253.92,535603.0
2021-01-19,255.0,257.31,250.91,252.06,616403.0
2021-01-20,253.08,256.18,252.66,253.69,417945.0
2021-01-21,253.46,257.76,253.46,253.98,249587.0
2021-01-22,253.95,255.415,250.77,252.25,379921.0
2021-01-23,253.95,255.415,250.77,252.25,379921.0
2021-01-24,253.95,255.415,250.77,252.25,379921.0
2021-01-25,251.5,256.08,245.93,252.54,512887.0
2021-01-26,253.5,257.5,249.83,251.32,545173.0
2021-01-27,245.18,249.608,234.07,236.99,1155311.0
2021-01-28,239.44,253.2,237.41,250.09,632188.0
2021-01-29,247.54,252.51,243.55,248.9,503776.0
2021-01-30,247.54,252.51,243.55,248.9,503776.0
2021-01-31,247.54,252.51,243.55,248.9,503776.0
2021-02-01,251.59,252.42,244.39,248.33,770839.0
2021-02-02,251.76,257.38,250.97,252.36,650660.0
2021-02-03,252.14,259.93,252.14,252.72,449105.0
2021-02-04,254.57,263.4,254.14,256.9,324609.0
2021-02-05,259.11,261.17,255.425,255.99,319528.0
2021-02-06,259.11,261.17,255.425,255.99,319528.0
2021-02-07,259.11,261.17,255.425,255.99,319528.0
2021-02-08,257.09,263.96,256.29,263.85,387268.0
2021-02-09,264.43,267.06,262.49,263.99,428082.0
2021-02-10,264.95,266.06,258.78,259.79,270514.0
2021-02-11,261.185,266.725,261.185,265.35,271088.0
2021-02-12,263.97,264.85,260.055,262.66,256316.0
2021-02-13,263.97,264.85,260.055,262.66,256316.0
2021-02-14,263.97,264.85,260.055,262.66,256316.0
2021-02-15,263.97,264.85,260.055,262.66,256316.0
2021-02-16,264.71,267.13,263.14,263.3,315328.0
2021-02-17,261.93,266.04,260.25,264.79,218495.0
2021-02-18,263.82,266.06,260.0,264.85,382232.0
2021-02-19,266.97,269.125,263.16,264.81,367349.0
2021-02-20,266.97,269.125,263.16,264.81,367349.0
2021-02-21,266.97,269.125,263.16,264.81,367349.0
2021-02-22,264.32,268.53,262.34,264.64,432989.0
2021-02-23,265.3,270.1,257.94,264.91,598329.0
2021-02-24,264.06,272.659,260.985,269.63,395765.0
2021-02-25,270.69,271.97,260.9,261.62,334703.0
2021-02-26,261.53,264.32,257.21,258.82,370259.0
2021-02-27,261.53,264.32,257.21,258.82,370259.0
2021-02-28,261.53,264.32,257.21,258.82,370259.0
2021-03-01,264.35,267.005,262.21,263.97,382454.0
2021-03-02,262.09,265.19,257.96,258.54,413713.0
2021-03-03,256.47,256.64,252.21,253.61,815145.0
2021-03-04,278.21,296.45,278.1,281.99,2385556.0
2021-03-05,286.79,288.8,274.08,279.35,1161723.0
2021-03-06,286.79,288.8,274.08,279.35,1161723.0
2021-03-07,286.79,288.8,274.08,279.35,1161723.0
2021-03-08,279.85,304.89,278.335,304.16,1039693.0
2021-03-09,307.3,308.88,299.96,304.11,787021.0
2021-03-10,305.13,307.61,292.74,293.38,648227.0
2021-03-11,294.66,303.57,292.6,302.8,504156.0
2021-03-12,303.11,311.7376,300.3,311.51,430886.0
2021-03-13,303.11,311.7376,300.3,311.51,430886.0
2021-03-14,303.11,311.7376,300.3,311.51,430886.0
2021-03-15,311.1,321.86,310.61,317.2,608353.0
2021-03-16,316.34,316.34,305.38,308.55,568663.0
2021-03-17,306.11,310.4969,304.72,306.31,826707.0
2021-03-18,306.79,316.47,304.22,306.96,726691.0
2021-03-19,307.94,309.575,302.75,307.0,1430803.0
2021-03-20,307.94,309.575,302.75,307.0,1430803.0
2021-03-21,307.94,309.575,302.75,307.0,1430803.0
2021-03-22,306.72,307.81,300.435,304.0,856900.0
2021-03-23,299.15,302.05,293.64,294.43,978195.0
2021-03-24,295.18,298.73,288.5961,288.8,449400.0
2021-03-25,287.33,293.61,284.51,292.4,636355.0
2021-03-26,295.34,295.73,288.8,294.04,443865.0
2021-03-27,295.34,295.73,288.8,294.04,443865.0
2021-03-28,295.34,295.73,288.8,294.04,443865.0
2021-03-29,292.41,295.81,290.625,294.52,399135.0
2021-03-30,294.15,305.32,293.64,304.71,522473.0
2021-03-31,304.6,308.51,298.71,298.8,734651.0
2021-04-01,299.75,301.19,296.53,299.29,465174.0
2021-04-02,299.75,301.19,296.53,299.29,465174.0
2021-04-03,299.75,301.19,296.53,299.29,465174.0
2021-04-04,299.75,301.19,296.53,299.29,465174.0
2021-04-05,303.92,304.04,299.27,300.08,433383.0
2021-04-06,298.98,308.24,298.98,305.49,657441.0
2021-04-07,305.62,308.68,302.15,306.63,479110.0
2021-04-08,308.61,314.12,303.29,313.04,801006.0
2021-04-09,314.04,324.99,311.1,324.7,774198.0
2021-04-10,314.04,324.99,311.1,324.7,774198.0
2021-04-11,314.04,324.99,311.1,324.7,774198.0
2021-04-12,321.52,325.5,320.795,325.42,788547.0
2021-04-13,324.2,325.7553,319.89,325.34,519168.0
2021-04-14,325.5,330.5,324.46,325.77,591562.0
2021-04-15,327.5,329.78,322.33,324.67,667122.0
2021-04-16,329.2,329.2,321.68,324.73,236067.0
2021-04-17,329.2,329.2,321.68,324.73,236067.0
2021-04-18,329.2,329.2,321.68,324.73,236067.0
2021-04-19,322.98,325.71,320.1,320.88,439605.0
2021-04-20,318.51,320.95,312.76,318.7,402396.0
2021-04-21,321.17,324.78,319.675,322.06,308254.0
2021-04-22,321.82,325.59,320.375,323.09,243400.0
2021-04-23,325.77,330.08,323.055,328.04,339652.0
2021-04-24,325.77,330.08,323.055,328.04,339652.0
2021-04-25,325.77,330.08,323.055,328.04,339652.0
2021-04-26,328.7,331.17,319.7,321.57,327015.0
2021-04-27,324.0,326.53,321.99,324.73,467525.0
2021-04-28,324.24,325.12,319.52,319.94,291274.0
2021-04-29,321.0,325.77,320.51,321.71,409195.0
2021-04-30,324.45,326.59,320.855,326.33,503700.0
2021-05-01,324.45,326.59,320.855,326.33,503700.0
2021-05-02,324.45,326.59,320.855,326.33,503700.0
2021-05-03,327.76,329.1747,323.95,326.73,447087.0
2021-05-04,322.95,326.57,319.5,324.52,474348.0
