,BRKL US Equity,BRKL US Equity,BRKL US Equity,BRKL US Equity,BRKL US Equity
2020-02-26,12.4501,12.5974,12.3154,12.3196,177837.0
2020-02-27,12.046,12.408,11.9955,12.0123,331904.0
2020-02-28,11.684,11.9113,11.4694,11.6756,698696.0
2020-02-29,11.684,11.9113,11.4694,11.6756,698696.0
2020-03-01,11.684,11.9113,11.4694,11.6756,698696.0
2020-03-02,11.6756,12.2733,11.5956,12.248,326495.0
2020-03-03,12.1638,12.2901,11.7766,11.8776,423888.0
2020-03-04,11.8945,11.9239,11.4147,11.9029,403401.0
2020-03-05,11.6251,11.8019,11.3389,11.5073,427429.0
2020-03-06,11.0274,11.4483,11.0274,11.3473,428138.0
2020-03-07,11.0274,11.4483,11.0274,11.3473,428138.0
2020-03-08,11.0274,11.4483,11.0274,11.3473,428138.0
2020-03-09,10.657,10.8338,10.1436,10.1478,384699.0
2020-03-10,10.7328,10.9138,10.3624,10.8591,368689.0
2020-03-11,10.5224,10.5392,9.891,10.051,720353.0
2020-03-12,9.4533,10.2193,8.9987,9.2765,812441.0
2020-03-13,9.8573,10.0383,9.2513,9.7732,516308.0
2020-03-14,9.8573,10.0383,9.2513,9.7732,516308.0
2020-03-15,9.8573,10.0383,9.2513,9.7732,516308.0
2020-03-16,8.7967,9.3186,8.359,8.7041,417262.0
2020-03-17,8.7209,9.6385,8.4701,9.4954,818677.0
2020-03-18,8.9819,9.4701,8.8388,9.1334,574655.0
2020-03-19,8.9987,9.5711,8.7546,9.3523,557624.0
2020-03-20,9.2428,9.5459,8.561,8.7125,982514.0
2020-03-21,9.2428,9.5459,8.561,8.7125,982514.0
2020-03-22,9.2428,9.5459,8.561,8.7125,982514.0
2020-03-23,8.6452,8.6788,8.098,8.3926,507486.0
2020-03-24,8.6873,9.1923,8.5947,9.1755,554032.0
2020-03-25,9.2597,9.3859,8.7125,8.9987,494736.0
2020-03-26,9.1082,9.6806,8.9314,9.6048,445637.0
2020-03-27,9.2176,9.487,9.125,9.1755,319095.0
2020-03-28,9.2176,9.487,9.125,9.1755,319095.0
2020-03-29,9.2176,9.487,9.125,9.1755,319095.0
2020-03-30,9.2176,9.4785,9.024,9.4196,267998.0
2020-03-31,9.3775,9.588,9.2597,9.4954,370840.0
2020-04-01,9.0745,9.2428,8.8472,9.024,486646.0
2020-04-02,8.9566,9.2765,8.864,9.2428,372220.0
2020-04-03,9.1839,9.2681,8.3842,8.6031,422906.0
2020-04-04,9.1839,9.2681,8.3842,8.6031,422906.0
2020-04-05,9.1839,9.2681,8.3842,8.6031,422906.0
2020-04-06,8.9566,9.226,8.6957,9.1755,370991.0
2020-04-07,9.5543,9.6806,9.125,9.2681,382039.0
2020-04-08,9.4028,9.7058,9.1502,9.5627,344808.0
2020-04-09,9.9499,10.615,9.7759,10.5813,420797.0
2020-04-10,9.9499,10.615,9.7759,10.5813,420797.0
2020-04-11,9.9499,10.615,9.7759,10.5813,420797.0
2020-04-12,9.9499,10.615,9.7759,10.5813,420797.0
2020-04-13,10.5308,10.6655,9.6722,9.7984,222932.0
2020-04-14,10.051,10.1157,9.3429,9.5038,287617.0
2020-04-15,9.0576,9.2681,8.8219,8.8809,295051.0
2020-04-16,8.8725,8.9735,8.3169,8.5862,396466.0
2020-04-17,8.7378,9.2092,8.7378,9.024,352051.0
2020-04-18,8.7378,9.2092,8.7378,9.024,352051.0
2020-04-19,8.7378,9.2092,8.7378,9.024,352051.0
2020-04-20,8.8472,9.0913,8.7883,9.0071,321482.0
2020-04-21,8.7041,8.8304,8.5273,8.7714,259026.0
2020-04-22,8.9314,9.017,8.6788,8.7378,254767.0
2020-04-23,8.7967,9.0408,8.7714,8.864,236074.0
2020-04-24,8.8893,9.0661,8.7209,8.923,249589.0
2020-04-25,8.8893,9.0661,8.7209,8.923,249589.0
2020-04-26,8.8893,9.0661,8.7209,8.923,249589.0
2020-04-27,8.9819,9.5122,8.9819,9.3859,378286.0
2020-04-28,9.7058,9.79,9.5206,9.5796,240479.0
2020-04-29,9.9163,10.3119,9.7732,10.0173,380280.0
2020-04-30,9.3859,9.4617,8.5189,8.5947,667402.0
2020-05-01,8.7125,8.7125,7.8202,7.9044,787969.0
2020-05-02,8.7125,8.7125,7.8202,7.9044,787969.0
2020-05-03,8.7125,8.7125,7.8202,7.9044,787969.0
2020-05-04,7.8286,7.8876,7.6182,7.736,672076.0
2020-05-05,7.9802,8.018,7.4835,7.5172,418931.0
2020-05-06,7.795,7.9128,7.5424,7.6182,555543.0
2020-05-07,7.6771,7.8834,7.5971,7.7276,424503.0
2020-05-08,7.9381,8.0307,7.8455,8.0054,337622.0
2020-05-09,7.9381,8.0307,7.8455,8.0054,337622.0
2020-05-10,7.9381,8.0307,7.8455,8.0054,337622.0
2020-05-11,7.9549,8.0054,7.433,7.6182,591604.0
2020-05-12,7.6519,7.7024,7.3825,7.3909,578157.0
2020-05-13,7.3236,7.3657,7.0542,7.3362,676191.0
2020-05-14,7.3362,7.3989,6.9353,7.3063,630774.0
2020-05-15,7.2679,7.3959,7.1784,7.2552,444533.0
2020-05-16,7.2679,7.3959,7.1784,7.2552,444533.0
2020-05-17,7.2679,7.3959,7.1784,7.2552,444533.0
2020-05-18,7.5495,7.9077,7.4855,7.8523,623222.0
2020-05-19,7.8139,7.8489,7.3959,7.4044,477302.0
2020-05-20,7.5153,7.9674,7.5153,7.848,376888.0
2020-05-21,7.848,7.976,7.6859,7.7798,333243.0
2020-05-22,7.7968,7.8224,7.6603,7.7286,212819.0
2020-05-23,7.7968,7.8224,7.6603,7.7286,212819.0
2020-05-24,7.7968,7.8224,7.6603,7.7286,212819.0
2020-05-25,7.7968,7.8224,7.6603,7.7286,212819.0
2020-05-26,8.0698,8.2404,7.8565,8.1722,373775.0
2020-05-27,8.4622,8.974,8.4281,8.9015,997887.0
2020-05-28,9.0508,9.0508,8.3684,8.4366,413909.0
2020-05-29,8.3001,8.3001,7.848,7.9333,442511.0
2020-05-30,8.3001,8.3001,7.848,7.9333,442511.0
2020-05-31,8.3001,8.3001,7.848,7.9333,442511.0
2020-06-01,7.993,8.3257,7.8736,7.976,500343.0
2020-06-02,8.1039,8.2063,7.9248,7.9845,276229.0
2020-06-03,8.1636,8.539,8.1636,8.4281,325192.0
2020-06-04,8.3854,8.7011,8.3257,8.6371,433517.0
2020-06-05,9.1532,9.3494,8.9996,9.1617,675469.0
2020-06-06,9.1532,9.3494,8.9996,9.1617,675469.0
2020-06-07,9.1532,9.3494,8.9996,9.1617,675469.0
2020-06-08,9.4347,9.4944,9.2044,9.3323,398722.0
2020-06-09,9.0508,9.102,8.8717,8.8973,481132.0
2020-06-10,8.8887,8.9229,8.5816,8.5987,345564.0
2020-06-11,8.1551,8.2148,7.9674,8.0016,676784.0
2020-06-12,8.3684,8.3684,7.7755,8.0741,393911.0
2020-06-13,8.3684,8.3684,7.7755,8.0741,393911.0
2020-06-14,8.3684,8.3684,7.7755,8.0741,393911.0
2020-06-15,7.7457,8.249,7.6774,8.0442,300079.0
2020-06-16,8.4963,8.7522,8.3428,8.4793,444106.0
2020-06-17,8.8802,8.8802,8.1978,8.2234,474957.0
2020-06-18,8.0613,8.4963,8.0613,8.3513,490291.0
2020-06-19,8.3343,8.4707,8.0144,8.266,1104799.0
2020-06-20,8.3343,8.4707,8.0144,8.266,1104799.0
2020-06-21,8.3343,8.4707,8.0144,8.266,1104799.0
2020-06-22,8.0783,8.4196,8.0186,8.3641,357420.0
2020-06-23,8.4793,8.5557,8.1713,8.1978,316896.0
2020-06-24,8.0442,8.1807,7.8139,8.1295,811045.0
2020-06-25,8.0357,8.2916,7.8054,8.249,458027.0
2020-06-26,8.0783,8.1381,7.703,7.9419,657861.0
2020-06-27,8.0783,8.1381,7.703,7.9419,657861.0
2020-06-28,8.0783,8.1381,7.703,7.9419,657861.0
2020-06-29,8.0869,8.4537,8.0783,8.4366,276463.0
2020-06-30,8.3854,8.6414,8.1125,8.5987,319370.0
2020-07-01,8.6328,8.7096,8.121,8.1381,328572.0
2020-07-02,8.3769,8.5219,8.0016,8.0357,300029.0
2020-07-03,8.3769,8.5219,8.0016,8.0357,300029.0
2020-07-04,8.3769,8.5219,8.0016,8.0357,300029.0
2020-07-05,8.3769,8.5219,8.0016,8.0357,300029.0
2020-07-06,8.2404,8.394,8.0272,8.1551,256007.0
2020-07-07,8.0698,8.1295,7.831,7.9077,383071.0
2020-07-08,7.8054,7.976,7.6603,7.8565,361937.0
2020-07-09,7.831,7.831,7.5836,7.6518,324500.0
2020-07-10,7.6689,7.9419,7.6689,7.9205,273687.0
2020-07-11,7.6689,7.9419,7.6689,7.9205,273687.0
2020-07-12,7.6689,7.9419,7.6689,7.9205,273687.0
2020-07-13,8.0357,8.1551,7.8651,8.0016,280334.0
2020-07-14,7.9845,8.0783,7.8054,7.9802,322610.0
2020-07-15,8.1978,8.4537,8.1807,8.3598,286806.0
2020-07-16,8.2831,8.4025,8.2063,8.3129,317164.0
2020-07-17,8.3001,8.394,8.0954,8.1039,261093.0
2020-07-18,8.3001,8.394,8.0954,8.1039,261093.0
2020-07-19,8.3001,8.394,8.0954,8.1039,261093.0
2020-07-20,8.1807,8.1807,7.8223,7.8523,228787.0
2020-07-21,7.9504,8.394,7.9504,8.3854,444783.0
2020-07-22,8.2916,8.3087,8.0613,8.2148,284646.0
2020-07-23,8.0357,8.539,8.0357,8.5219,401381.0
2020-07-24,8.5987,8.7437,8.4196,8.4963,395643.0
2020-07-25,8.5987,8.7437,8.4196,8.4963,395643.0
2020-07-26,8.5987,8.7437,8.4196,8.4963,395643.0
2020-07-27,8.4622,8.4622,8.2831,8.3598,348768.0
2020-07-28,8.3428,8.4622,8.2745,8.2916,190423.0
2020-07-29,8.3343,8.5134,8.2575,8.5049,237204.0
2020-07-30,8.2831,8.3215,8.1039,8.2831,191177.0
2020-07-31,8.2063,8.2404,7.9077,8.185,476854.0
2020-08-01,8.2063,8.2404,7.9077,8.185,476854.0
2020-08-02,8.2063,8.2404,7.9077,8.185,476854.0
2020-08-03,8.249,8.249,8.0783,8.1551,255823.0
2020-08-04,8.0783,8.1295,7.8992,8.0826,316904.0
2020-08-05,8.1636,8.4025,8.0613,8.3343,506594.0
2020-08-06,8.2781,8.3558,8.2177,8.2868,280231.0
2020-08-07,8.2523,8.8565,8.2091,8.8392,350778.0
2020-08-08,8.2523,8.8565,8.2091,8.8392,350778.0
2020-08-09,8.2523,8.8565,8.2091,8.8392,350778.0
2020-08-10,8.8133,9.1586,8.658,9.0119,422957.0
2020-08-11,9.2104,9.3313,9.0291,9.0809,517713.0
2020-08-12,9.2708,9.2967,9.0032,9.1111,324277.0
2020-08-13,9.0464,9.055,8.8133,8.8133,225092.0
2020-08-14,8.7011,8.9299,8.6752,8.9126,233207.0
2020-08-15,8.7011,8.9299,8.6752,8.9126,233207.0
2020-08-16,8.7011,8.9299,8.6752,8.9126,233207.0
2020-08-17,8.8997,8.8997,8.6703,8.7227,258091.0
2020-08-18,8.7702,8.7702,8.4335,8.5026,202809.0
2020-08-19,8.5026,8.6925,8.494,8.563,249890.0
2020-08-20,8.4508,8.5371,8.3213,8.3472,225652.0
2020-08-21,8.3472,8.494,8.1746,8.2091,373252.0
2020-08-22,8.3472,8.494,8.1746,8.2091,373252.0
2020-08-23,8.3472,8.494,8.1746,8.2091,373252.0
2020-08-24,8.304,8.5198,8.1832,8.5112,209494.0
2020-08-25,8.6148,8.6839,8.4681,8.5112,207563.0
2020-08-26,8.4681,8.5069,8.2868,8.3299,191209.0
2020-08-27,8.3472,8.5889,8.317,8.4422,219211.0
2020-08-28,8.5371,8.5371,8.2868,8.399,184299.0
2020-08-29,8.5371,8.5371,8.2868,8.399,184299.0
2020-08-30,8.5371,8.5371,8.2868,8.399,184299.0
2020-08-31,8.4422,8.4594,8.2868,8.2868,318654.0
2020-09-01,8.2264,8.3472,8.1573,8.2997,289858.0
2020-09-02,8.2781,8.399,8.1832,8.3127,196465.0
2020-09-03,8.3558,8.6148,8.2781,8.3645,231768.0
2020-09-04,8.563,8.5803,8.235,8.494,289985.0
2020-09-05,8.563,8.5803,8.235,8.494,289985.0
2020-09-06,8.563,8.5803,8.235,8.494,289985.0
2020-09-07,8.563,8.5803,8.235,8.494,289985.0
2020-09-08,8.4249,8.4249,8.0796,8.1141,368621.0
2020-09-09,8.1487,8.2523,8.0106,8.0623,340595.0
2020-09-10,8.0623,8.14,7.9329,7.9501,241720.0
2020-09-11,7.9501,7.9933,7.8552,7.9242,227488.0
2020-09-12,7.9501,7.9933,7.8552,7.9242,227488.0
2020-09-13,7.9501,7.9933,7.8552,7.9242,227488.0
2020-09-14,7.9847,8.1487,7.907,8.0796,209254.0
2020-09-15,8.0882,8.1228,7.8724,7.8897,221426.0
2020-09-16,7.8811,8.0192,7.7602,7.8206,412764.0
2020-09-17,7.7775,7.8465,7.7343,7.8034,388323.0
2020-09-18,7.8638,7.8897,7.6307,7.8293,1171161.0
2020-09-19,7.8638,7.8897,7.6307,7.8293,1171161.0
2020-09-20,7.8638,7.8897,7.6307,7.8293,1171161.0
2020-09-21,7.6566,7.743,7.3545,7.3977,455118.0
2020-09-22,7.4322,7.5962,7.2682,7.2941,496736.0
2020-09-23,7.2941,7.4667,7.0956,7.0999,402596.0
2020-09-24,7.1215,7.4063,7.0179,7.225,357521.0
2020-09-25,7.1905,7.4581,7.1819,7.3718,329741.0
2020-09-26,7.1905,7.4581,7.1819,7.3718,329741.0
2020-09-27,7.1905,7.4581,7.1819,7.3718,329741.0
2020-09-28,7.4926,7.6048,7.3718,7.5444,285282.0
2020-09-29,7.5013,7.5099,7.3027,7.4581,213295.0
2020-09-30,7.4754,7.6135,7.389,7.4624,392830.0
2020-10-01,7.4926,7.5272,7.3027,7.4883,355292.0
2020-10-02,7.3718,7.6653,7.3718,7.5876,531781.0
2020-10-03,7.3718,7.6653,7.3718,7.5876,531781.0
2020-10-04,7.3718,7.6653,7.3718,7.5876,531781.0
2020-10-05,7.6825,7.8595,7.648,7.8293,407151.0
2020-10-06,7.9156,8.1659,7.8465,7.8552,473225.0
2020-10-07,7.9329,8.1055,7.8474,7.9588,434844.0
2020-10-08,8.0106,8.1832,7.9847,8.1141,221394.0
2020-10-09,8.1487,8.1918,8.0278,8.0278,303969.0
2020-10-10,8.1487,8.1918,8.0278,8.0278,303969.0
2020-10-11,8.1487,8.1918,8.0278,8.0278,303969.0
2020-10-12,7.9933,8.1746,7.9847,8.1573,476949.0
2020-10-13,8.0882,8.14,7.8897,7.9415,357895.0
2020-10-14,7.8983,7.9933,7.8379,7.8724,266600.0
2020-10-15,7.7775,8.0623,7.7775,8.0494,239270.0
2020-10-16,8.1055,8.1314,7.9329,8.1314,297480.0
2020-10-17,8.1055,8.1314,7.9329,8.1314,297480.0
2020-10-18,8.1055,8.1314,7.9329,8.1314,297480.0
2020-10-19,8.1573,8.235,8.0451,8.0537,300222.0
2020-10-20,8.0882,8.2523,8.0882,8.1573,310621.0
2020-10-21,8.1314,8.2523,8.1314,8.2264,218292.0
2020-10-22,8.2523,8.5544,8.2436,8.5112,319619.0
2020-10-23,8.5544,8.8133,8.5544,8.6493,296059.0
2020-10-24,8.5544,8.8133,8.5544,8.6493,296059.0
2020-10-25,8.5544,8.8133,8.5544,8.6493,296059.0
2020-10-26,8.5371,8.5803,8.4076,8.563,417742.0
2020-10-27,8.5889,8.6752,8.2436,8.2566,283690.0
2020-10-28,8.071,8.3128,8.071,8.2005,304529.0
2020-10-29,8.235,8.3558,7.9847,8.2134,367678.0
2020-10-30,8.2005,8.4076,8.1573,8.2695,329223.0
2020-10-31,8.2005,8.4076,8.1573,8.2695,329223.0
2020-11-01,8.2005,8.4076,8.1573,8.2695,329223.0
2020-11-02,8.4076,8.5716,8.3127,8.5457,356060.0
2020-11-03,8.6925,8.8306,8.658,8.7615,398254.0
2020-11-04,8.5975,8.5975,8.2091,8.2868,683177.0
2020-11-05,8.304,8.5371,8.235,8.5026,388104.0
2020-11-06,8.5716,8.5716,8.3817,8.4163,402650.0
2020-11-07,8.5716,8.5716,8.3817,8.4163,402650.0
2020-11-08,8.5716,8.5716,8.3817,8.4163,402650.0
2020-11-09,9.0723,10.1945,8.986,9.8837,624407.0
2020-11-10,10.0995,10.4362,9.9959,10.2808,553758.0
2020-11-11,10.2894,10.3585,9.8147,9.901,402495.0
2020-11-12,9.7135,9.792,9.5653,9.7179,503168.0
2020-11-13,9.7833,10.023,9.7658,9.9315,333469.0
2020-11-14,9.7833,10.023,9.7658,9.9315,333469.0
2020-11-15,9.7833,10.023,9.7658,9.9315,333469.0
2020-11-16,10.2541,10.5244,10.2367,10.507,406909.0
2020-11-17,10.3849,10.5244,10.095,10.4721,375872.0
2020-11-18,10.5767,10.6116,10.3152,10.3152,403207.0
2020-11-19,10.2716,10.3413,10.0361,10.3152,228368.0
2020-11-20,10.1408,10.2716,10.0666,10.2454,459164.0
2020-11-21,10.1408,10.2716,10.0666,10.2454,459164.0
2020-11-22,10.1408,10.2716,10.0666,10.2454,459164.0
2020-11-23,10.4634,10.507,10.2236,10.3413,399052.0
2020-11-24,10.5767,10.895,10.5767,10.8122,357044.0
2020-11-25,10.7075,10.8645,10.1238,10.5331,190295.0
2020-11-26,10.7075,10.8645,10.1238,10.5331,190295.0
2020-11-27,10.6203,10.8906,10.2454,10.3762,118282.0
2020-11-28,10.6203,10.8906,10.2454,10.3762,118282.0
2020-11-29,10.6203,10.8906,10.2454,10.3762,118282.0
2020-11-30,10.2716,10.3239,9.8879,9.9141,371936.0
2020-12-01,10.1582,10.289,9.9489,10.0448,322817.0
2020-12-02,10.0274,10.4154,9.9577,10.1844,161577.0
2020-12-03,10.1931,10.3021,10.071,10.1495,261421.0
2020-12-04,10.289,10.5157,10.2672,10.507,171894.0
2020-12-05,10.289,10.5157,10.2672,10.507,171894.0
2020-12-06,10.289,10.5157,10.2672,10.507,171894.0
2020-12-07,10.4983,10.5054,10.1669,10.4111,208175.0
2020-12-08,10.2716,10.5157,10.228,10.507,211132.0
2020-12-09,10.6378,10.6988,10.4111,10.507,218984.0
2020-12-10,10.3675,10.4895,10.289,10.4023,174435.0
2020-12-11,10.3413,10.4459,10.1408,10.289,272655.0
2020-12-12,10.3413,10.4459,10.1408,10.289,272655.0
2020-12-13,10.3413,10.4459,10.1408,10.289,272655.0
2020-12-14,10.35,10.5593,10.3064,10.3064,294186.0
2020-12-15,10.3587,10.5767,10.2977,10.4634,278438.0
2020-12-16,10.4634,10.6203,10.3675,10.3675,290960.0
2020-12-17,9.5827,10.3587,9.5827,10.2105,343889.0
2020-12-18,10.1233,10.4808,10.1233,10.3936,2271258.0
2020-12-19,10.1233,10.4808,10.1233,10.3936,2271258.0
2020-12-20,10.1233,10.4808,10.1233,10.3936,2271258.0
2020-12-21,10.35,10.3992,10.01,10.071,569280.0
2020-12-22,10.0884,10.0884,9.8879,9.9838,394580.0
2020-12-23,9.9925,10.3282,9.9664,10.3152,272245.0
2020-12-24,10.3587,10.3587,10.1582,10.2803,171798.0
2020-12-25,10.3587,10.3587,10.1582,10.2803,171798.0
2020-12-26,10.3587,10.3587,10.1582,10.2803,171798.0
2020-12-27,10.3587,10.3587,10.1582,10.2803,171798.0
2020-12-28,10.3675,10.5419,10.289,10.4547,386720.0
2020-12-29,10.4634,10.4895,10.2105,10.2716,347193.0
2020-12-30,10.2803,10.4895,10.2803,10.3936,254236.0
2020-12-31,10.4198,10.5331,10.3675,10.4983,209952.0
2021-01-01,10.4198,10.5331,10.3675,10.4983,209952.0
2021-01-02,10.4198,10.5331,10.3675,10.4983,209952.0
2021-01-03,10.4198,10.5331,10.3675,10.4983,209952.0
2021-01-04,10.4983,10.6029,10.2367,10.4808,534730.0
2021-01-05,10.5331,10.6901,10.289,10.5462,352747.0
2021-01-06,10.847,11.6056,10.7598,11.4748,694038.0
2021-01-07,11.6492,11.719,11.4923,11.5708,337176.0
2021-01-08,11.6318,11.6318,11.0127,11.2481,359269.0
2021-01-09,11.6318,11.6318,11.0127,11.2481,359269.0
2021-01-10,11.6318,11.6318,11.0127,11.2481,359269.0
2021-01-11,11.222,11.3615,10.8209,11.3528,185616.0
2021-01-12,11.4051,11.5708,11.2743,11.5533,205680.0
2021-01-13,11.5272,11.5533,11.2569,11.4051,248573.0
2021-01-14,11.44,11.6928,11.2394,11.5882,259308.0
2021-01-15,11.4574,11.7015,11.3266,11.4748,271144.0
2021-01-16,11.4574,11.7015,11.3266,11.4748,271144.0
2021-01-17,11.4574,11.7015,11.3266,11.4748,271144.0
2021-01-18,11.4574,11.7015,11.3266,11.4748,271144.0
2021-01-19,11.5795,11.6405,10.847,11.6318,391470.0
2021-01-20,11.6405,11.6928,11.501,11.5795,354221.0
2021-01-21,11.5795,11.6231,11.2743,11.3092,321654.0
2021-01-22,11.1697,11.4574,11.0999,11.3876,310618.0
2021-01-23,11.1697,11.4574,11.0999,11.3876,310618.0
2021-01-24,11.1697,11.4574,11.0999,11.3876,310618.0
2021-01-25,11.2394,11.4748,11.0301,11.44,296390.0
2021-01-26,11.5446,11.5446,11.2917,11.3179,226249.0
2021-01-27,11.0301,11.3964,10.8558,10.9517,424292.0
2021-01-28,11.4661,11.4661,10.7773,11.1697,545854.0
2021-01-29,11.283,11.3092,10.895,10.9778,589378.0
2021-01-30,11.283,11.3092,10.895,10.9778,589378.0
2021-01-31,11.283,11.3092,10.895,10.9778,589378.0
2021-02-01,10.9778,11.1784,10.7773,11.1086,374872.0
2021-02-02,11.2743,11.3266,11.0563,11.2394,369775.0
2021-02-03,11.1871,11.3266,10.9342,11.0476,296625.0
2021-02-04,11.0912,11.3964,11.0345,11.3179,328358.0
2021-02-05,11.5359,11.5359,11.1261,11.222,336772.0
2021-02-06,11.5359,11.5359,11.1261,11.222,336772.0
2021-02-07,11.5359,11.5359,11.1261,11.222,336772.0
2021-02-08,11.2917,11.5097,11.1784,11.5097,225023.0
2021-02-09,11.44,11.7975,11.4225,11.7713,447076.0
2021-02-10,11.719,11.9108,11.7015,11.78,463308.0
2021-02-11,11.6965,11.9779,11.4678,11.6525,433649.0
2021-02-12,11.459,11.6921,11.3623,11.4854,296438.0
2021-02-13,11.459,11.6921,11.3623,11.4854,296438.0
2021-02-14,11.459,11.6921,11.3623,11.4854,296438.0
2021-02-15,11.459,11.6921,11.3623,11.4854,296438.0
2021-02-16,11.6085,11.7536,11.4414,11.6877,338689.0
2021-02-17,11.7229,11.868,11.5646,11.758,314499.0
2021-02-18,11.6877,11.9339,11.6261,11.8108,515991.0
2021-02-19,11.8284,12.145,11.7229,12.1186,1517868.0
2021-02-20,11.8284,12.145,11.7229,12.1186,1517868.0
2021-02-21,11.8284,12.145,11.7229,12.1186,1517868.0
2021-02-22,12.145,12.5056,12.057,12.3912,472062.0
2021-02-23,12.4,12.787,12.3473,12.5495,418042.0
2021-02-24,12.6463,12.9629,12.3736,12.8309,405143.0
2021-02-25,13.0244,13.0772,12.5953,12.6199,425426.0
2021-02-26,12.6199,12.7518,12.4,12.5143,419187.0
2021-02-27,12.6199,12.7518,12.4,12.5143,419187.0
2021-02-28,12.6199,12.7518,12.4,12.5143,419187.0
2021-03-01,12.7078,12.8749,12.6375,12.8002,256030.0
2021-03-02,12.8397,12.8397,12.6111,12.6726,219368.0
2021-03-03,12.7782,13.2805,12.7518,12.9277,352574.0
2021-03-04,13.0332,13.4026,12.8749,13.0596,384546.0
2021-03-05,13.3058,13.429,13.0646,13.3938,385319.0
2021-03-06,13.3058,13.429,13.0646,13.3938,385319.0
2021-03-07,13.3058,13.429,13.0646,13.3938,385319.0
2021-03-08,13.6312,13.9302,13.5037,13.8423,338779.0
2021-03-09,13.8071,13.8071,13.2443,13.5829,557317.0
2021-03-10,13.6972,14.005,13.5081,13.983,303547.0
2021-03-11,13.939,14.1061,13.7544,14.0973,396209.0
2021-03-12,14.282,14.4579,14.1413,14.3612,379549.0
2021-03-13,14.282,14.4579,14.1413,14.3612,379549.0
2021-03-14,14.282,14.4579,14.1413,14.3612,379549.0
2021-03-15,14.4227,14.4227,13.8159,14.027,338439.0
