,HSY US Equity,HSY US Equity,HSY US Equity,HSY US Equity,HSY US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2021-07-23,167.6356,169.8125,167.3327,169.6706,563075.0
2021-07-24,167.6356,169.8125,167.3327,169.6706,563075.0
2021-07-25,167.6356,169.8125,167.3327,169.6706,563075.0
2021-07-26,169.4434,169.8125,168.336,168.478,719163.0
2021-07-27,168.2792,170.1438,168.1183,169.6516,901558.0
2021-07-28,169.0743,169.4907,166.0171,167.0582,1075893.0
2021-07-29,165.8751,169.699,164.8813,168.9702,1138908.0
2021-07-30,169.0932,170.158,168.6294,169.3109,788395.0
2021-07-31,169.0932,170.158,168.6294,169.3109,788395.0
2021-08-01,169.0932,170.158,168.6294,169.3109,788395.0
2021-08-02,169.9451,169.9451,168.2035,168.866,701515.0
2021-08-03,168.9039,170.5366,168.6152,170.229,546522.0
2021-08-04,170.371,170.4467,168.5158,168.6294,626538.0
2021-08-05,169.4245,170.2101,168.8756,169.1879,648350.0
2021-08-06,169.6138,170.1628,168.6105,169.0364,444829.0
2021-08-07,169.6138,170.1628,168.6105,169.0364,444829.0
2021-08-08,169.6138,170.1628,168.6105,169.0364,444829.0
2021-08-09,169.0364,169.68,168.6058,168.9228,422231.0
2021-08-10,169.2257,169.7747,168.6483,169.3866,557600.0
2021-08-11,169.5854,170.2574,168.8566,169.1121,518712.0
2021-08-12,169.6327,169.6516,167.9195,168.1372,667752.0
2021-08-13,168.62,170.1107,168.5916,169.8031,624323.0
2021-08-14,168.62,170.1107,168.5916,169.8031,624323.0
2021-08-15,168.62,170.1107,168.5916,169.8031,624323.0
2021-08-16,170.0397,171.5352,170.0397,171.4689,471844.0
2021-08-17,171.7245,172.936,171.1755,172.387,691805.0
2021-08-18,172.0084,172.1977,169.7558,169.9072,706686.0
2021-08-19,169.0044,172.3244,168.9473,171.4682,531368.0
2021-08-20,171.4682,172.2578,170.4028,171.2589,631263.0
2021-08-21,171.4682,172.2578,170.4028,171.2589,631263.0
2021-08-22,171.4682,172.2578,170.4028,171.2589,631263.0
2021-08-23,171.2304,171.6204,169.9842,170.0413,755353.0
2021-08-24,170.0223,170.1174,167.5204,167.5585,1053759.0
2021-08-25,167.2255,167.6441,166.5216,167.0448,549855.0
2021-08-26,166.6072,167.2636,165.9698,166.5786,518574.0
2021-08-27,167.1114,167.6964,166.1506,167.0733,570310.0
2021-08-28,167.1114,167.6964,166.1506,167.0733,570310.0
2021-08-29,167.1114,167.6964,166.1506,167.0733,570310.0
2021-08-30,166.7308,168.8427,166.7308,167.9295,596971.0
2021-08-31,167.7915,169.3278,167.6155,169.0424,1127877.0
2021-09-01,169.5657,169.851,168.1578,169.5371,526139.0
2021-09-02,169.6132,170.4361,168.7808,169.5371,545934.0
2021-09-03,169.4896,169.6608,168.1958,169.3183,462910.0
2021-09-04,169.4896,169.6608,168.1958,169.3183,462910.0
2021-09-05,169.4896,169.6608,168.1958,169.3183,462910.0
2021-09-06,169.4896,169.6608,168.1958,169.3183,462910.0
2021-09-07,169.2612,169.2612,165.1707,165.2659,687418.0
2021-09-08,165.2564,168.1387,164.8473,168.0246,744592.0
2021-09-09,167.977,168.0721,166.4692,166.8545,623532.0
2021-09-10,166.7784,167.2826,165.8,166.5311,570565.0
2021-09-11,166.7784,167.2826,165.8,166.5311,570565.0
2021-09-12,166.7784,167.2826,165.8,166.5311,570565.0
2021-09-13,167.0162,168.6334,166.8165,166.9306,475833.0
2021-09-14,166.9211,167.3777,165.6178,166.0459,648081.0
2021-09-15,165.7986,167.6916,165.732,166.5501,516322.0
2021-09-16,166.6072,167.7011,165.3229,167.0067,498741.0
2021-09-17,166.512,167.625,166.1553,166.5406,1278371.0
2021-09-18,166.512,167.625,166.1553,166.5406,1278371.0
2021-09-19,166.512,167.625,166.1553,166.5406,1278371.0
2021-09-20,165.8271,166.6928,163.5155,164.9805,629030.0
2021-09-21,165.4751,166.2552,163.2587,163.4109,662141.0
2021-09-22,164.3812,164.7807,162.374,163.9912,768703.0
2021-09-23,164.3717,166.1601,163.9668,164.638,741244.0
2021-09-24,165.1232,166.5977,164.6588,165.5608,817201.0
2021-09-25,165.1232,166.5977,164.6588,165.5608,817201.0
2021-09-26,165.1232,166.5977,164.6588,165.5608,817201.0
2021-09-27,165.2849,166.5216,162.3169,162.5737,694972.0
2021-09-28,162.1932,162.5833,159.6248,160.4619,830510.0
2021-09-29,160.9566,164.3431,160.928,163.525,748696.0
2021-09-30,164.2385,164.4097,160.9946,161.0041,795198.0
2021-10-01,161.7271,163.311,160.5,162.4596,814547.0
2021-10-02,161.7271,163.311,160.5,162.4596,814547.0
2021-10-03,161.7271,163.311,160.5,162.4596,814547.0
2021-10-04,162.8401,164.5048,161.4607,163.2016,1120954.0
2021-10-05,164.267,167.2493,163.2872,165.9698,1099034.0
2021-10-06,165.7415,170.2125,165.0947,169.851,1344952.0
2021-10-07,170.3933,172.2102,168.7951,169.3754,1367104.0
2021-10-08,169.4705,170.0889,168.4051,169.09,639229.0
2021-10-09,169.4705,170.0889,168.4051,169.09,639229.0
2021-10-10,169.4705,170.0889,168.4051,169.09,639229.0
2021-10-11,169.0234,170.2411,168.5858,169.5276,849494.0
2021-10-12,169.832,171.8398,169.0805,170.7548,1523023.0
2021-10-13,171.1638,171.8059,168.6429,171.3731,858175.0
2021-10-14,172.1817,173.3517,171.0972,173.3327,843990.0
2021-10-15,173.2947,173.3708,170.3267,170.8594,2607621.0
2021-10-16,173.2947,173.3708,170.3267,170.8594,2607621.0
2021-10-17,173.2947,173.3708,170.3267,170.8594,2607621.0
2021-10-18,170.8974,171.193,169.7274,170.0223,743320.0
2021-10-19,170.1079,171.4587,169.6798,170.945,657855.0
2021-10-20,171.1353,172.1959,170.9735,171.4111,610491.0
2021-10-21,172.9807,172.9807,170.8879,171.5158,543105.0
2021-10-22,171.5348,173.7893,171.3255,173.2281,481866.0
2021-10-23,171.5348,173.7893,171.3255,173.2281,481866.0
2021-10-24,171.5348,173.7893,171.3255,173.2281,481866.0
2021-10-25,173.171,173.1995,171.335,171.4492,597356.0
2021-10-26,172.0675,173.4374,171.4397,172.8571,692413.0
2021-10-27,173.5325,173.7061,169.9081,170.7643,1025020.0
2021-10-28,170.0889,173.0569,169.3278,170.6596,1900914.0
2021-10-29,167.6346,169.5657,165.8937,166.8069,1043762.0
2021-10-30,167.6346,169.5657,165.8937,166.8069,1043762.0
2021-10-31,167.6346,169.5657,165.8937,166.8069,1043762.0
2021-11-01,166.8545,167.6155,165.4561,166.1696,753331.0
2021-11-02,166.7308,167.6821,164.306,166.9496,709733.0
2021-11-03,166.9591,168.3766,166.3694,167.958,618395.0
2021-11-04,167.7772,168.2339,165.9127,166.826,600035.0
2021-11-05,167.3587,168.4336,166.4264,166.845,900500.0
2021-11-06,167.3587,168.4336,166.4264,166.845,900500.0
2021-11-07,167.3587,168.4336,166.4264,166.845,900500.0
2021-11-08,167.3016,167.3016,164.6808,166.2267,560702.0
2021-11-09,165.7891,167.6155,165.6083,167.5965,763845.0
2021-11-10,168.0912,171.2304,167.5299,170.8118,874235.0
2021-11-11,170.8023,170.8023,168.8427,169.6608,433210.0
2021-11-12,170.1364,170.2506,168.8141,169.0329,564745.0
2021-11-13,170.1364,170.2506,168.8141,169.0329,564745.0
2021-11-14,170.1364,170.2506,168.8141,169.0329,564745.0
2021-11-15,169.4134,169.7844,168.0151,168.8237,659120.0
2021-11-16,169.2232,170.3267,168.9378,169.0615,745773.0
2021-11-17,169.0615,170.9926,168.7951,170.5645,645435.0
2021-11-18,170.5846,172.6115,170.1734,172.2003,840274.0
2021-11-19,173.0513,173.4527,170.9383,171.4546,1277719.0
2021-11-20,173.0513,173.4527,170.9383,171.4546,1277719.0
2021-11-21,173.0513,173.4527,170.9383,171.4546,1277719.0
2021-11-22,170.9096,174.4663,170.1065,173.1947,750545.0
2021-11-23,173.3094,175.6614,173.3094,174.2081,1283747.0
2021-11-24,174.2081,174.5332,172.3055,173.0226,708252.0
2021-11-25,174.2081,174.5332,172.3055,173.0226,708252.0
2021-11-26,172.5063,173.7874,169.6763,170.1065,609475.0
2021-11-27,172.5063,173.7874,169.6763,170.1065,609475.0
2021-11-28,172.5063,173.7874,169.6763,170.1065,609475.0
2021-11-29,170.7184,172.0187,169.1935,171.2921,1057190.0
2021-11-30,170.2786,171.445,168.5099,169.6954,3210301.0
2021-12-01,170.9574,171.4928,167.3912,167.8024,1263670.0
2021-12-02,168.4525,170.4028,168.0557,168.9305,921525.0
2021-12-03,170.2117,172.033,169.9338,171.7223,944499.0
2021-12-04,170.2117,172.033,169.9338,171.7223,944499.0
2021-12-05,170.2117,172.033,169.9338,171.7223,944499.0
2021-12-06,173.2329,174.0169,172.3485,172.7644,975258.0
2021-12-07,172.8409,175.2263,171.99,174.0073,735305.0
2021-12-08,173.9595,175.451,172.6497,175.1738,1010272.0
2021-12-09,175.1068,176.5505,174.4949,175.4415,701411.0
2021-12-10,176.5505,178.5679,175.9099,178.3193,659074.0
2021-12-11,176.5505,178.5679,175.9099,178.3193,659074.0
2021-12-12,176.5505,178.5679,175.9099,178.3193,659074.0
2021-12-13,178.0229,181.1779,177.0381,180.3653,731666.0
2021-12-14,180.6521,181.1015,178.6443,179.4475,770575.0
2021-12-15,179.6865,182.0576,179.6865,181.4361,796797.0
2021-12-16,181.4361,184.1992,181.0537,183.6925,958946.0
2021-12-17,182.9754,184.1992,179.0459,179.3805,1694606.0
2021-12-18,182.9754,184.1992,179.0459,179.3805,1694606.0
2021-12-19,182.9754,184.1992,179.0459,179.3805,1694606.0
2021-12-20,178.4627,179.8203,177.564,179.5431,568206.0
2021-12-21,179.4953,181.0919,177.9128,179.1033,599552.0
2021-12-22,179.7247,180.8911,179.0507,180.5756,549506.0
2021-12-23,180.9676,181.699,180.0211,180.1836,292114.0
2021-12-24,180.9676,181.699,180.0211,180.1836,292114.0
2021-12-25,180.9676,181.699,180.0211,180.1836,292114.0
