,CAT US Equity,CAT US Equity,CAT US Equity,CAT US Equity,CAT US Equity
2019-02-02,117.5566,118.29,114.9762,115.6832,5646683.0
2019-02-03,117.5566,118.29,114.9762,115.6832,5646683.0
2019-02-04,115.6566,116.0366,114.9674,115.6566,4541720.0
2019-02-05,115.4357,116.7347,115.4092,116.6464,3614480.0
2019-02-06,116.0013,116.7347,115.1973,115.3562,3098186.0
2019-02-07,114.2516,115.2678,112.5461,113.8009,3682114.0
2019-02-08,112.6521,113.6418,111.8303,113.6418,3135042.0
2019-02-09,112.6521,113.6418,111.8303,113.6418,3135042.0
2019-02-10,112.6521,113.6418,111.8303,113.6418,3135042.0
2019-02-11,113.9511,114.9409,113.7214,113.9335,2648527.0
2019-02-12,115.1088,118.0249,114.879,117.2384,4505567.0
2019-02-13,118.5905,118.6877,117.044,117.6184,3189564.0
2019-02-14,116.452,117.751,115.9995,117.1943,2877504.0
2019-02-15,118.5021,120.402,118.131,120.3578,5217523.0
2019-02-16,118.5021,120.402,118.131,120.3578,5217523.0
2019-02-17,118.5021,120.402,118.131,120.3578,5217523.0
2019-02-18,118.5021,120.402,118.131,120.3578,5217523.0
2019-02-19,119.6067,121.0471,119.2974,120.0044,3881321.0
2019-02-20,120.5257,124.3256,120.4816,123.9898,6199038.0
2019-02-21,123.4949,124.5819,122.3108,122.7261,4051065.0
2019-02-22,122.6378,123.4419,121.8866,122.5494,3485007.0
2019-02-23,122.6378,123.4419,121.8866,122.5494,3485007.0
2019-02-24,122.6378,123.4419,121.8866,122.5494,3485007.0
2019-02-25,124.5907,125.9692,123.8749,124.9618,4444059.0
2019-02-26,120.6495,122.8587,119.536,121.9308,7275601.0
2019-02-27,121.8248,123.3977,121.1885,123.3447,3441015.0
2019-02-28,122.4345,122.8322,121.1885,121.3652,4023970.0
2019-03-01,122.7085,123.2739,121.0118,121.4801,3810952.0
2019-03-02,122.7085,123.2739,121.0118,121.4801,3810952.0
2019-03-03,122.7085,123.2739,121.0118,121.4801,3810952.0
2019-03-04,122.6554,123.513,121.1487,122.2578,3859825.0
2019-03-05,122.0015,122.355,121.0648,121.1885,3122878.0
2019-03-06,121.542,121.6471,119.0588,119.1472,3886033.0
2019-03-07,118.7495,119.1295,116.3106,117.3533,4290794.0
2019-03-08,115.3208,116.7613,115.0823,116.072,4237956.0
2019-03-09,115.3208,116.7613,115.0823,116.072,4237956.0
2019-03-10,115.3208,116.7613,115.0823,116.072,4237956.0
2019-03-11,116.5668,117.8835,116.2885,117.6273,3914781.0
2019-03-12,117.7421,117.8659,116.5757,117.0705,4208776.0
2019-03-13,118.3961,118.6877,117.2561,117.9719,4285187.0
2019-03-14,117.3887,118.4756,116.664,118.1398,3742487.0
2019-03-15,118.2989,118.8821,116.6294,117.2384,7049923.0
2019-03-16,118.2989,118.8821,116.6294,117.2384,7049923.0
2019-03-17,118.2989,118.8821,116.6294,117.2384,7049923.0
2019-03-18,117.265,118.5905,117.1147,118.5021,4095418.0
2019-03-19,119.6067,119.9248,117.9807,118.5463,3315928.0
2019-03-20,118.2635,118.5463,116.6994,117.5389,3522060.0
2019-03-21,116.7878,118.944,116.6552,118.4668,2635695.0
2019-03-22,117.5212,117.7952,114.4283,114.6758,5745823.0
2019-03-23,117.5212,117.7952,114.4283,114.6758,5745823.0
2019-03-24,117.5212,117.7952,114.4283,114.6758,5745823.0
2019-03-25,114.5167,116.6464,114.1986,116.0985,3199920.0
2019-03-26,117.2561,118.0249,115.8776,116.505,2638304.0
2019-03-27,116.885,117.0617,115.0999,115.9394,2378318.0
2019-03-28,116.558,117.3533,115.9041,116.9733,2487176.0
2019-03-29,118.4137,120.4285,118.0779,119.7304,4681573.0
2019-03-30,118.4137,120.4285,118.0779,119.7304,4681573.0
2019-03-31,118.4137,120.4285,118.0779,119.7304,4681573.0
2019-04-01,121.6745,124.0428,120.4639,123.9368,5081522.0
2019-04-02,123.8484,124.3256,123.0354,123.8838,2529038.0
2019-04-03,123.5833,124.2019,122.3108,123.0619,4821813.0
2019-04-04,122.9559,124.4847,122.8322,123.8307,2988945.0
2019-04-05,124.6879,124.7321,123.6452,124.034,2812451.0
2019-04-06,124.6879,124.7321,123.6452,124.034,2812451.0
2019-04-07,124.6879,124.7321,123.6452,124.034,2812451.0
2019-04-08,123.7159,123.8219,122.4875,123.5568,2497583.0
2019-04-09,122.5229,122.7482,120.243,120.4904,3316822.0
2019-04-10,121.2062,122.134,120.4285,121.5331,3310886.0
2019-04-11,121.5862,123.3491,121.0471,122.7173,2762939.0
2019-04-12,124.5995,125.4125,123.548,124.7763,4382980.0
2019-04-13,124.5995,125.4125,123.548,124.7763,4382980.0
2019-04-14,124.5995,125.4125,123.548,124.7763,4382980.0
2019-04-15,125.1916,125.8632,123.4242,123.9368,3030187.0
2019-04-16,124.2107,125.6688,123.3535,125.5097,2673062.0
2019-04-17,126.3669,127.688,125.8897,126.1371,3469375.0
2019-04-18,126.9551,128.7065,126.6172,127.4529,4504507.0
2019-04-19,126.9551,128.7065,126.6172,127.4529,4504507.0
2019-04-20,126.9551,128.7065,126.6172,127.4529,4504507.0
2019-04-21,126.9551,128.7065,126.6172,127.4529,4504507.0
2019-04-22,127.0884,127.2929,125.7371,126.5817,3637910.0
2019-04-23,126.2438,127.2485,125.746,126.2705,5930455.0
2019-04-24,124.2435,124.7325,121.4075,122.4476,8694391.0
2019-04-25,121.8431,122.2076,119.2115,121.0252,5094869.0
2019-04-26,121.4075,123.6034,120.8118,123.6034,5119376.0
2019-04-27,121.4075,123.6034,120.8118,123.6034,5119376.0
2019-04-28,121.4075,123.6034,120.8118,123.6034,5119376.0
2019-04-29,124.0212,124.8658,123.4167,123.5945,3374270.0
2019-04-30,124.4569,124.4658,122.3143,123.9501,3862031.0
2019-05-01,124.0924,124.4035,122.3676,122.821,3652030.0
2019-05-02,123.15,123.1678,119.4693,120.1717,5405699.0
2019-05-03,121.0163,123.7545,120.7318,123.6301,4154832.0
2019-05-04,121.0163,123.7545,120.7318,123.6301,4154832.0
2019-05-05,121.0163,123.7545,120.7318,123.6301,4154832.0
2019-05-06,119.825,122.2343,119.4071,121.5853,4866540.0
2019-05-07,120.1984,120.9096,117.4068,118.8381,5622885.0
2019-05-08,118.2603,119.5049,117.1667,117.309,4140454.0
2019-05-09,115.7709,117.0689,113.9573,116.6422,5906152.0
2019-05-10,116.0465,117.1134,113.7261,116.7667,5240634.0
2019-05-11,116.0465,117.1134,113.7261,116.7667,5240634.0
2019-05-12,116.0465,117.1134,113.7261,116.7667,5240634.0
2019-05-13,113.3616,113.3705,110.3122,111.3969,8580682.0
2019-05-14,112.4637,114.2907,111.7525,113.3261,4019072.0
2019-05-15,111.9392,113.7617,111.1124,113.1749,2875870.0
2019-05-16,114.1796,114.2685,112.3881,112.5615,4316590.0
2019-05-17,110.5789,111.6013,108.7431,109.1387,6122573.0
2019-05-18,110.5789,111.6013,108.7431,109.1387,6122573.0
2019-05-19,110.5789,111.6013,108.7431,109.1387,6122573.0
2019-05-20,108.0718,109.3743,107.8496,108.8453,6312469.0
2019-05-21,109.6454,111.1933,109.1031,111.0857,5492942.0
2019-05-22,110.4634,111.5207,109.8144,109.8499,4620431.0
2019-05-23,108.5519,110.0277,107.9385,108.6942,4964856.0
2019-05-24,109.8144,110.3122,108.6497,109.2632,3802541.0
2019-05-25,109.8144,110.3122,108.6497,109.2632,3802541.0
2019-05-26,109.8144,110.3122,108.6497,109.2632,3802541.0
2019-05-27,109.8144,110.3122,108.6497,109.2632,3802541.0
2019-05-28,109.2632,109.761,108.0274,108.0985,4889389.0
2019-05-29,107.1295,109.1965,106.9161,108.0007,5330040.0
2019-05-30,108.1163,109.0656,107.8207,108.3208,2878304.0
2019-05-31,106.4982,107.3509,105.5647,106.516,4711664.0
2019-06-01,106.4982,107.3509,105.5647,106.516,4711664.0
2019-06-02,106.4982,107.3509,105.5647,106.516,4711664.0
2019-06-03,106.6049,108.1874,106.4716,107.2628,4161778.0
2019-06-04,108.2941,109.1476,107.3517,108.5341,4060408.0
2019-06-05,109.7077,109.921,108.4275,109.4587,3598662.0
2019-06-06,109.441,110.1966,108.6712,109.6988,3295687.0
2019-06-07,110.5789,111.6902,110.3122,110.6501,2547716.0
2019-06-08,110.5789,111.6902,110.3122,110.6501,2547716.0
2019-06-09,110.5789,111.6902,110.3122,110.6501,2547716.0
2019-06-10,111.548,113.1572,111.3435,111.788,3705109.0
2019-06-11,114.6863,115.2197,112.8727,113.1572,4516322.0
2019-06-12,112.686,113.3705,112.0903,112.9971,3034623.0
2019-06-13,113.2194,114.1529,112.6949,113.0594,3495200.0
2019-06-14,112.5615,113.4861,111.5747,113.1127,2530176.0
2019-06-15,112.5615,113.4861,111.5747,113.1127,2530176.0
2019-06-16,112.5615,113.4861,111.5747,113.1127,2530176.0
2019-06-17,113.0949,114.0017,112.6237,113.1927,2607918.0
2019-06-18,114.1529,116.7756,113.984,115.8687,4756118.0
2019-06-19,115.8598,116.9445,115.4598,116.1177,3847212.0
2019-06-20,118.1536,118.9537,116.9178,118.8026,3803617.0
2019-06-21,118.5536,120.2428,117.8424,119.0337,5742483.0
2019-06-22,118.5536,120.2428,117.8424,119.0337,5742483.0
2019-06-23,118.5536,120.2428,117.8424,119.0337,5742483.0
2019-06-24,118.8115,119.9761,118.7314,119.4605,3197867.0
2019-06-25,119.6472,119.9405,117.9135,118.8737,3751778.0
2019-06-26,119.3627,120.5984,119.2871,120.1539,3343653.0
2019-06-27,120.6429,120.9185,119.1048,120.4651,3594441.0
2019-06-28,120.9096,122.0387,120.9096,121.1674,10469433.0
2019-06-29,120.9096,122.0387,120.9096,121.1674,10469433.0
2019-06-30,120.9096,122.0387,120.9096,121.1674,10469433.0
2019-07-01,123.8434,124.6169,119.9939,121.443,4846206.0
2019-07-02,121.443,121.7897,120.0828,120.7762,3205247.0
2019-07-03,121.3008,121.3363,119.4249,120.5451,2538551.0
2019-07-04,121.3008,121.3363,119.4249,120.5451,2538551.0
2019-07-05,119.5138,120.5451,118.4381,120.4562,3072084.0
2019-07-06,119.5138,120.5451,118.4381,120.4562,3072084.0
2019-07-07,119.5138,120.5451,118.4381,120.4562,3072084.0
2019-07-08,120.1539,121.0252,119.5138,119.8783,2742052.0
2019-07-09,119.2293,119.5227,118.5536,119.3893,2618659.0
2019-07-10,119.7805,120.4562,117.8424,117.9224,3933317.0
2019-07-11,118.4203,119.1404,117.878,119.0959,3164362.0
2019-07-12,119.7627,123.0255,119.6649,123.0077,4149828.0
2019-07-13,119.7627,123.0255,119.6649,123.0077,4149828.0
2019-07-14,119.7627,123.0255,119.6649,123.0077,4149828.0
2019-07-15,123.0255,124.4602,122.9233,124.1457,4498676.0
2019-07-16,123.9412,125.017,122.8299,123.6567,4051572.0
2019-07-17,122.8655,123.1406,120.6696,120.6696,3750197.0
2019-07-18,119.905,120.8475,119.1671,119.9228,3552126.0
2019-07-19,120.2453,122.7762,120.2453,122.046,4837056.0
2019-07-20,120.2453,122.7762,120.2453,122.046,4837056.0
2019-07-21,120.2453,122.7762,120.2453,122.046,4837056.0
2019-07-22,122.1714,122.4312,120.5857,121.1591,3267904.0
2019-07-23,121.7773,123.8333,121.4189,123.7213,4122180.0
2019-07-24,117.3426,120.3259,115.0761,118.1758,12664908.0
2019-07-25,117.4322,120.8545,117.3695,120.6843,4823165.0
2019-07-26,120.4513,120.6981,118.8208,119.0806,4237994.0
2019-07-27,120.4513,120.6981,118.8208,119.0806,4237994.0
2019-07-28,120.4513,120.6981,118.8208,119.0806,4237994.0
2019-07-29,119.5913,120.6305,119.0179,120.4603,2715564.0
2019-07-30,119.439,119.6674,117.7995,119.1075,3257181.0
2019-07-31,119.0627,120.3797,117.3695,117.9608,4321957.0
2019-08-01,117.9339,119.3225,113.2574,113.5889,5530111.0
2019-08-02,113.3739,113.5978,110.6414,111.5732,5968613.0
2019-08-03,113.3739,113.5978,110.6414,111.5732,5968613.0
2019-08-04,113.3739,113.5978,110.6414,111.5732,5968613.0
2019-08-05,109.3962,110.0233,107.8015,108.9841,5482488.0
2019-08-06,109.9964,110.7758,108.0792,109.3693,3713912.0
2019-08-07,107.5058,108.5809,106.2964,108.2046,5048726.0
2019-08-08,108.4017,109.3872,107.8373,109.3155,3734773.0
2019-08-09,108.8586,109.0288,106.4397,106.9504,3805602.0
2019-08-10,108.8586,109.0288,106.4397,106.9504,3805602.0
2019-08-11,108.8586,109.0288,106.4397,106.9504,3805602.0
2019-08-12,106.5652,106.6368,103.9852,104.5674,4405657.0
2019-08-13,104.7645,109.2976,104.6301,106.6189,4363016.0
2019-08-14,104.4419,104.7286,103.0623,103.2146,5543082.0
2019-08-15,103.0981,103.564,102.1039,103.2504,4171878.0
2019-08-16,104.1463,105.5976,103.8507,104.3076,3551929.0
2019-08-17,104.1463,105.5976,103.8507,104.3076,3551929.0
2019-08-18,104.1463,105.5976,103.8507,104.3076,3551929.0
2019-08-19,105.9112,106.1531,104.5584,105.1407,2631016.0
2019-08-20,105.3468,105.526,104.3398,104.5226,2402447.0
2019-08-21,105.7141,106.8966,105.302,105.4274,2783752.0
2019-08-22,106.0097,106.5523,105.0153,105.6155,2120512.0
2019-08-23,104.1463,104.7286,101.5214,102.1843,6105282.0
2019-08-24,104.1463,104.7286,101.5214,102.1843,6105282.0
2019-08-25,104.1463,104.7286,101.5214,102.1843,6105282.0
2019-08-26,103.0802,103.6267,101.9872,102.5068,5201870.0
2019-08-27,103.1698,103.4385,101.3697,101.5751,3161180.0
2019-08-28,101.1093,102.9816,100.1148,102.901,3195047.0
2019-08-29,104.4778,105.8305,104.3613,105.508,3447962.0
2019-08-30,106.6279,107.1385,106.1172,106.61,2912975.0
2019-08-31,106.6279,107.1385,106.1172,106.61,2912975.0
2019-09-01,106.6279,107.1385,106.1172,106.61,2912975.0
2019-09-02,106.6279,107.1385,106.1172,106.61,2912975.0
2019-09-03,105.6245,105.6245,103.3848,104.8451,3781536.0
2019-09-04,106.0904,106.825,105.947,106.6996,3702307.0
2019-09-05,107.9538,111.3044,107.9538,110.1845,5357890.0
2019-09-06,110.8296,111.394,109.7097,109.9247,3315703.0
2019-09-07,110.8296,111.394,109.7097,109.9247,3315703.0
2019-09-08,110.8296,111.394,109.7097,109.9247,3315703.0
2019-09-09,110.5429,114.1264,110.3727,114.001,4433325.0
2019-09-10,114.01,116.7245,113.9741,116.7245,8479717.0
2019-09-11,117.2262,119.3225,115.9899,119.2329,7592635.0
2019-09-12,118.2564,118.8746,116.5274,118.0325,5594600.0
2019-09-13,118.9731,120.0392,117.477,119.8511,3704948.0
2019-09-14,118.9731,120.0392,117.477,119.8511,3704948.0
2019-09-15,118.9731,120.0392,117.477,119.8511,3704948.0
2019-09-16,119.1434,119.8689,118.2475,119.2867,2876495.0
2019-09-17,118.785,118.9373,117.5308,118.4087,2904129.0
2019-09-18,117.925,118.449,116.2138,117.4233,3022901.0
2019-09-19,117.7816,118.2833,116.3482,116.5722,2735957.0
2019-09-20,116.4736,117.3516,114.5564,114.8162,6438036.0
2019-09-21,116.4736,117.3516,114.5564,114.8162,6438036.0
2019-09-22,116.4736,117.3516,114.5564,114.8162,6438036.0
2019-09-23,114.0816,115.4613,113.1857,115.0492,2831819.0
2019-09-24,115.3359,115.5688,112.4959,112.8722,3447414.0
2019-09-25,112.7468,113.6158,112.0032,113.4276,2383176.0
2019-09-26,113.5889,113.7054,112.5676,113.2305,2539176.0
2019-09-27,113.777,114.1175,112.5765,113.4097,2214299.0
2019-09-28,113.777,114.1175,112.5765,113.4097,2214299.0
2019-09-29,113.777,114.1175,112.5765,113.4097,2214299.0
2019-09-30,113.1857,113.8621,112.7736,113.1589,2804050.0
2019-10-01,114.1354,115.1208,109.5664,109.6291,3740091.0
2019-10-02,108.5361,109.1632,106.9146,107.47,4304179.0
2019-10-03,106.9146,107.5596,105.0422,107.5417,3168153.0
2019-10-04,107.255,108.5361,106.9235,108.4376,2474888.0
2019-10-05,107.255,108.5361,106.9235,108.4376,2474888.0
2019-10-06,107.255,108.5361,106.9235,108.4376,2474888.0
2019-10-07,108.2673,109.0288,107.2819,107.7298,2375347.0
2019-10-08,106.4218,106.7891,105.4364,105.6872,3550934.0
2019-10-09,107.0489,107.5596,105.7141,107.0042,2638282.0
2019-10-10,107.5417,110.2204,107.2908,109.9158,3284202.0
2019-10-11,112.5317,116.8051,112.3436,115.0313,6776172.0
2019-10-12,112.5317,116.8051,112.3436,115.0313,6776172.0
2019-10-13,112.5317,116.8051,112.3436,115.0313,6776172.0
2019-10-14,113.6068,115.1746,112.8901,115.0133,2885247.0
2019-10-15,114.6639,117.9698,114.3593,117.3874,3298517.0
2019-10-16,117.3606,118.9821,116.5632,116.6349,3064010.0
2019-10-17,117.3337,119.0269,116.6259,118.3191,3425488.0
2019-10-18,117.5156,119.2131,117.3711,118.0212,4330724.0
2019-10-19,117.5156,119.2131,117.3711,118.0212,4330724.0
2019-10-20,117.5156,119.2131,117.3711,118.0212,4330724.0
2019-10-21,119.1408,120.4952,118.7345,119.3936,4273117.0
2019-10-22,119.7187,121.2266,118.2289,120.7119,4744362.0
2019-10-23,121.1995,122.7886,118.0122,122.2017,11307592.0
2019-10-24,121.976,122.1566,119.5321,120.8564,3935579.0
2019-10-25,121.8947,126.3913,121.7593,126.1656,8319459.0
2019-10-26,121.8947,126.3913,121.7593,126.1656,8319459.0
2019-10-27,121.8947,126.3913,121.7593,126.1656,8319459.0
2019-10-28,126.3823,127.8811,125.3891,126.4635,6174009.0
2019-10-29,125.8495,127.7186,125.2989,127.6102,4427934.0
2019-10-30,127.3123,127.3123,126.0572,126.7164,3948056.0
2019-10-31,125.8405,126.7164,123.1506,124.4229,4037595.0
2019-11-01,125.8405,130.5718,125.7141,130.4635,6220185.0
2019-11-02,125.8405,130.5718,125.7141,130.4635,6220185.0
2019-11-03,125.8405,130.5718,125.7141,130.4635,6220185.0
2019-11-04,131.24,132.7298,130.942,132.6576,5437838.0
2019-11-05,132.6034,133.6327,131.5244,132.161,4516698.0
2019-11-06,132.2513,132.2513,130.617,131.3664,3736631.0
2019-11-07,133.082,133.9984,132.5048,132.7389,3816745.0
2019-11-08,132.4228,133.7953,131.6463,133.7772,2778100.0
2019-11-09,132.4228,133.7953,131.6463,133.7772,2778100.0
2019-11-10,132.4228,133.7953,131.6463,133.7772,2778100.0
2019-11-11,132.4951,133.7682,132.3777,133.6327,2205323.0
2019-11-12,133.7321,134.057,131.845,132.1339,2846407.0
2019-11-13,130.3461,131.7005,129.7411,130.4635,3226768.0
2019-11-14,130.2107,131.231,129.3077,129.5154,2584145.0
2019-11-15,130.5267,131.7186,130.4815,131.2039,2827466.0
2019-11-16,130.5267,131.7186,130.4815,131.2039,2827466.0
2019-11-17,130.5267,131.7186,130.4815,131.2039,2827466.0
2019-11-18,130.2378,130.7253,129.1362,129.6509,2639044.0
2019-11-19,130.3371,130.7073,128.9014,129.2807,2085171.0
2019-11-20,128.6215,128.8473,126.5013,127.7818,3484788.0
2019-11-21,127.8089,129.9669,127.2671,129.4432,3297688.0
2019-11-22,129.9488,130.4364,129.1452,129.9127,2258350.0
2019-11-23,129.9488,130.4364,129.1452,129.9127,2258350.0
2019-11-24,129.9488,130.4364,129.1452,129.9127,2258350.0
2019-11-25,130.6982,132.3416,129.8405,132.2061,3085159.0
2019-11-26,132.1881,132.4138,131.3664,131.9082,2468307.0
2019-11-27,130.942,131.5741,129.7502,131.547,2661396.0
2019-11-28,130.942,131.5741,129.7502,131.547,2661396.0
2019-11-29,130.1926,131.3393,129.8314,130.6802,1652467.0
2019-11-30,130.1926,131.3393,129.8314,130.6802,1652467.0
2019-12-01,130.1926,131.3393,129.8314,130.6802,1652467.0
2019-12-02,131.1046,131.863,128.9737,129.082,2899535.0
2019-12-03,126.4545,126.7976,125.1095,126.4635,3962727.0
2019-12-04,127.2942,128.468,126.4094,126.5177,2484621.0
2019-12-05,126.9331,127.4206,125.985,127.3574,2278450.0
2019-12-06,129.0369,129.4974,128.3687,128.8653,2271409.0
2019-12-07,129.0369,129.4974,128.3687,128.8653,2271409.0
2019-12-08,129.0369,129.4974,128.3687,128.8653,2271409.0
2019-12-09,129.091,129.3709,128.5493,128.9646,1610790.0
2019-12-10,128.8382,129.6509,127.9895,129.0007,1888944.0
2019-12-11,129.8134,130.5809,129.38,130.0211,2265798.0
2019-12-12,129.6057,133.091,129.1181,132.5312,3716858.0
2019-12-13,132.5492,133.9938,131.0594,131.4025,3311720.0
2019-12-14,132.5492,133.9938,131.0594,131.4025,3311720.0
2019-12-15,132.5492,133.9938,131.0594,131.4025,3311720.0
2019-12-16,133.3709,133.9036,131.1317,131.249,2415585.0
2019-12-17,131.3754,132.7208,131.3393,132.161,2850861.0
2019-12-18,132.2784,133.0007,131.4657,132.8382,2629925.0
2019-12-19,132.7118,132.7118,130.2919,130.942,3577540.0
2019-12-20,133.0729,133.4251,131.1407,133.2445,6806221.0
2019-12-21,133.0729,133.4251,131.1407,133.2445,6806221.0
2019-12-22,133.0729,133.4251,131.1407,133.2445,6806221.0
2019-12-23,133.3438,134.1113,132.5312,134.0842,2348776.0
2019-12-24,134.2648,134.3551,132.9917,133.1632,966205.0
2019-12-25,134.2648,134.3551,132.9917,133.1632,966205.0
2019-12-26,133.5425,133.8404,132.7208,133.8314,1577267.0
2019-12-27,134.2106,134.4724,133.6237,133.8856,1544462.0
2019-12-28,134.2106,134.4724,133.6237,133.8856,1544462.0
2019-12-29,134.2106,134.4724,133.6237,133.8856,1544462.0
2019-12-30,134.012,134.0571,132.7389,133.1993,1789153.0
2019-12-31,133.1181,133.8404,132.5402,133.3438,1952450.0
2020-01-01,133.1181,133.8404,132.5402,133.3438,1952450.0
2020-01-02,134.5357,135.9352,133.612,135.9171,3311940.0
2020-01-03,134.328,135.4025,133.1361,134.03,3100588.0
2020-01-04,134.328,135.4025,133.1361,134.03,3100588.0
2020-01-05,134.328,135.4025,133.1361,134.03,3100588.0
2020-01-06,132.9736,134.1384,132.3152,133.9397,2552146.0
2020-01-07,133.0458,133.2445,131.3845,132.17,2852082.0
2020-01-08,132.5763,134.1474,132.2408,133.3438,2153182.0
2020-01-09,133.4612,133.6048,132.2874,133.0097,2272709.0
2020-01-10,133.1361,133.3799,131.6734,131.9443,2393712.0
2020-01-11,133.1361,133.3799,131.6734,131.9443,2393712.0
2020-01-12,133.1361,133.3799,131.6734,131.9443,2393712.0
2020-01-13,132.3055,132.5763,131.4206,132.5673,3356908.0
2020-01-14,133.1361,133.6147,132.1068,132.4409,2743259.0
2020-01-15,132.0255,132.4951,131.1046,131.4386,2640634.0
2020-01-16,132.2152,133.5695,132.0436,133.5154,3070921.0
2020-01-17,133.8519,134.8195,133.2972,134.3701,3331614.0
2020-01-18,133.8519,134.8195,133.2972,134.3701,3331614.0
2020-01-19,133.8519,134.8195,133.2972,134.3701,3331614.0
2020-01-20,133.8519,134.8195,133.2972,134.3701,3331614.0
2020-01-21,133.8428,134.452,132.4698,132.6153,2476809.0
2020-01-22,132.979,133.2608,129.5874,129.6875,3602818.0
2020-01-23,128.9419,130.2148,127.1143,129.7966,3182744.0
2020-01-24,129.6147,129.7511,126.6233,127.6416,2526156.0
2020-01-25,129.6147,129.7511,126.6233,127.6416,2526156.0
2020-01-26,129.6147,129.7511,126.6233,127.6416,2526156.0
2020-01-27,124.4774,125.3048,123.2681,123.4136,2920525.0
2020-01-28,124.5865,125.1139,123.3136,124.3319,2763803.0
2020-01-29,125.1048,125.2594,123.359,123.459,2620618.0
2020-01-30,122.5316,123.6318,120.8495,123.0862,3862645.0
2020-01-31,121.6769,122.7407,118.6945,119.431,6785669.0
2020-02-01,121.6769,122.7407,118.6945,119.431,6785669.0
2020-02-02,121.6769,122.7407,118.6945,119.431,6785669.0
2020-02-03,119.5129,121.0768,117.567,117.9944,4385718.0
2020-02-04,120.9313,122.5498,120.6403,121.395,3501629.0
2020-02-05,123.2499,124.9957,123.1499,124.9684,4448092.0
2020-02-06,125.6594,125.7776,123.7773,124.7956,2283759.0
2020-02-07,123.6954,124.1046,120.9313,121.2677,3812251.0
2020-02-08,123.6954,124.1046,120.9313,121.2677,3812251.0
2020-02-09,123.6954,124.1046,120.9313,121.2677,3812251.0
2020-02-10,120.9677,122.1406,120.7313,122.1315,2331632.0
2020-02-11,123.1953,124.7775,122.8044,123.8318,2381972.0
2020-02-12,125.8413,127.2415,125.5594,126.9233,3221976.0
2020-02-13,127.2961,127.7507,125.8686,127.0415,3318815.0
2020-02-14,126.8324,126.9465,124.4683,125.4685,2813705.0
2020-02-15,126.8324,126.9465,124.4683,125.4685,2813705.0
2020-02-16,126.8324,126.9465,124.4683,125.4685,2813705.0
2020-02-17,126.8324,126.9465,124.4683,125.4685,2813705.0
2020-02-18,124.9866,125.9959,122.8226,124.1864,3869820.0
2020-02-19,124.3774,124.7592,123.7136,124.441,2134929.0
2020-02-20,123.8955,126.2868,123.8409,124.5047,2678315.0
2020-02-21,124.1137,124.9684,122.8498,124.7593,2855843.0
2020-02-22,124.1137,124.9684,122.8498,124.7593,2855843.0
2020-02-23,124.1137,124.9684,122.8498,124.7593,2855843.0
2020-02-24,120.5039,121.7128,120.0675,120.1766,4964814.0
2020-02-25,120.904,121.0586,116.6123,117.2943,4840239.0
2020-02-26,117.8853,119.1037,115.9758,116.6123,3904420.0
2020-02-27,114.2028,116.8669,112.0388,112.0842,7368998.0
2020-02-28,108.72,112.9662,108.229,112.9662,8301938.0
