,PSX US Equity,PSX US Equity,PSX US Equity,PSX US Equity,PSX US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-11-28,57.4205,57.9718,56.6111,57.0793,1936013.0
2020-11-29,57.4205,57.9718,56.6111,57.0793,1936013.0
2020-11-30,56.2305,56.4405,52.7653,53.0103,6423021.0
2020-12-01,54.9354,56.1605,53.843,54.1479,4022000.0
2020-12-02,53.5528,57.123,53.4161,56.3792,4410677.0
2020-12-03,56.6592,58.5406,55.8629,56.8955,2732736.0
2020-12-04,58.4006,61.1832,58.2081,60.6582,4437462.0
2020-12-05,58.4006,61.1832,58.2081,60.6582,4437462.0
2020-12-06,58.4006,61.1832,58.2081,60.6582,4437462.0
2020-12-07,59.7832,60.2119,58.0331,58.6718,3059542.0
2020-12-08,57.8055,60.4482,57.8055,58.9694,3050808.0
2020-12-09,59.9057,61.3364,58.6134,60.1769,3602172.0
2020-12-10,59.6344,62.7408,59.6344,62.0058,3352563.0
2020-12-11,61.4282,61.6226,59.8969,60.8245,2557008.0
2020-12-12,61.4282,61.6226,59.8969,60.8245,2557008.0
2020-12-13,61.4282,61.6226,59.8969,60.8245,2557008.0
2020-12-14,60.9995,61.7345,58.51,58.7943,2816386.0
2020-12-15,58.7681,60.1069,57.9718,59.7219,3028539.0
2020-12-16,59.8969,59.9407,58.5581,58.8819,3395174.0
2020-12-17,59.3806,59.3894,58.1031,58.7768,3162471.0
2020-12-18,58.7068,59.0831,57.8055,58.4968,8457011.0
2020-12-19,58.7068,59.0831,57.8055,58.4968,8457011.0
2020-12-20,58.7068,59.0831,57.8055,58.4968,8457011.0
2020-12-21,56.668,58.8556,55.8279,58.1818,3479152.0
2020-12-22,58.2081,59.6606,57.8843,59.0744,3574303.0
2020-12-23,59.8357,61.2296,59.5119,60.6932,2988063.0
2020-12-24,60.5444,60.6232,59.5381,60.1419,1295243.0
2020-12-25,60.5444,60.6232,59.5381,60.1419,1295243.0
2020-12-26,60.5444,60.6232,59.5381,60.1419,1295243.0
2020-12-27,60.5444,60.6232,59.5381,60.1419,1295243.0
2020-12-28,60.7632,62.067,60.4132,60.6669,2442348.0
2020-12-29,60.772,61.1395,59.3106,59.8357,3847467.0
2020-12-30,60.0194,62.0495,59.9319,61.7783,2906007.0
2020-12-31,61.6908,61.9008,61.0432,61.2007,2003500.0
2021-01-01,61.6908,61.9008,61.0432,61.2007,2003500.0
2021-01-02,61.6908,61.9008,61.0432,61.2007,2003500.0
2021-01-03,61.6908,61.9008,61.0432,61.2007,2003500.0
2021-01-04,61.787,62.382,59.9932,61.1482,2714167.0
