,GEF/B US Equity,GEF/B US Equity,GEF/B US Equity,GEF/B US Equity,GEF/B US Equity
2020-03-18,31.1651,34.453,31.0839,33.5171,38475.0
2020-03-19,33.8401,35.1984,32.0582,34.9913,34604.0
2020-03-20,34.9416,34.9416,29.7406,29.8896,32977.0
2020-03-21,34.9416,34.9416,29.7406,29.8896,32977.0
2020-03-22,34.9416,34.9416,29.7406,29.8896,32977.0
2020-03-23,29.3182,31.3887,27.3637,30.3617,29747.0
2020-03-24,32.192,33.277,31.3059,33.277,20644.0
2020-03-25,32.9705,33.1279,31.5957,32.515,17355.0
2020-03-26,32.308,34.2791,32.0926,34.1052,23210.0
2020-03-27,33.2107,33.2107,31.7448,32.043,14069.0
2020-03-28,33.2107,33.2107,31.7448,32.043,14069.0
2020-03-29,33.2107,33.2107,31.7448,32.043,14069.0
2020-03-30,32.7138,34.4116,32.0926,34.2791,12342.0
2020-03-31,33.7573,33.7573,31.8856,33.1776,20313.0
2020-04-01,32.9623,32.9623,30.6847,30.958,18700.0
2020-04-02,31.1733,33.7408,31.1733,33.3598,16699.0
2020-04-03,32.5067,32.5564,30.4197,31.1154,14077.0
2020-04-04,32.5067,32.5564,30.4197,31.1154,14077.0
2020-04-05,32.5067,32.5564,30.4197,31.1154,14077.0
2020-04-06,32.7138,33.0451,32.1589,33.0202,29313.0
2020-04-07,34.3702,34.7015,33.5503,34.3702,19096.0
2020-04-08,34.4779,35.5462,33.6662,34.1714,18119.0
2020-04-09,34.7512,35.7947,33.6414,34.569,10863.0
2020-04-10,34.7512,35.7947,33.6414,34.569,10863.0
2020-04-11,34.7512,35.7947,33.6414,34.569,10863.0
2020-04-12,34.7512,35.7947,33.6414,34.569,10863.0
2020-04-13,33.6745,34.3536,32.9208,34.3536,13802.0
2020-04-14,35.2729,35.2729,33.3822,33.8733,8849.0
2020-04-15,32.4156,32.4156,30.8089,31.0574,17746.0
2020-04-16,31.3059,31.3059,28.9786,30.2623,18192.0
2020-04-17,30.8255,32.2997,30.8255,32.1009,8273.0
2020-04-18,30.8255,32.2997,30.8255,32.1009,8273.0
2020-04-19,30.8255,32.2997,30.8255,32.1009,8273.0
2020-04-20,31.0574,31.8608,29.7488,30.5191,15282.0
2020-04-21,29.3099,31.3217,29.3099,30.5191,17168.0
2020-04-22,31.4632,31.4632,29.3099,29.9642,12625.0
2020-04-23,29.8896,31.1651,29.8896,30.7344,12922.0
2020-04-24,30.6433,31.9104,30.3866,31.2562,21785.0
2020-04-25,30.6433,31.9104,30.3866,31.2562,21785.0
2020-04-26,30.6433,31.9104,30.3866,31.2562,21785.0
2020-04-27,31.074,32.8794,30.9332,32.8463,8888.0
2020-04-28,33.9478,33.9478,32.8463,33.7905,6135.0
2020-04-29,35.3309,35.3309,34.1383,34.9913,10776.0
2020-04-30,33.8153,33.8153,32.6724,32.9208,6633.0
2020-05-01,31.8856,32.8297,31.8856,32.6558,8770.0
2020-05-02,31.8856,32.8297,31.8856,32.6558,8770.0
2020-05-03,31.8856,32.8297,31.8856,32.6558,8770.0
2020-05-04,31.927,32.6931,31.5709,32.3328,10885.0
2020-05-05,33.3275,33.3275,30.8007,30.8007,5270.0
2020-05-06,30.8007,31.6371,29.6163,30.3948,18134.0
2020-05-07,30.3948,31.1071,30.3948,31.074,9683.0
2020-05-08,32.631,32.631,30.4363,32.2749,7615.0
2020-05-09,32.631,32.631,30.4363,32.2749,7615.0
2020-05-10,32.631,32.631,30.4363,32.2749,7615.0
2020-05-11,31.2313,31.5378,30.3866,30.6847,15704.0
2020-05-12,30.8752,30.8752,29.5004,29.8731,9933.0
2020-05-13,29.6909,30.0636,28.4784,30.0636,15712.0
2020-05-14,28.9124,29.9807,28.2625,29.9807,13911.0
2020-05-15,29.6081,29.8979,29.3348,29.8979,6972.0
2020-05-16,29.6081,29.8979,29.3348,29.8979,6972.0
2020-05-17,29.6081,29.8979,29.3348,29.8979,6972.0
2020-05-18,29.8979,32.7138,29.8979,32.6475,16447.0
2020-05-19,32.0512,32.0512,30.6102,31.223,9298.0
2020-05-20,31.5626,32.0512,31.0408,31.8028,15425.0
2020-05-21,31.3059,31.7448,31.0657,31.0657,6435.0
2020-05-22,31.3638,31.9187,30.7551,31.9187,5844.0
2020-05-23,31.3638,31.9187,30.7551,31.9187,5844.0
2020-05-24,31.3638,31.9187,30.7551,31.9187,5844.0
2020-05-25,31.3638,31.9187,30.7551,31.9187,5844.0
2020-05-26,32.5067,33.5917,32.5067,33.0451,15527.0
2020-05-27,33.8153,34.3868,33.3099,34.3868,21996.0
2020-05-28,34.7843,34.7843,32.9623,33.0534,24088.0
2020-05-29,32.8049,32.8049,31.1485,31.7531,27203.0
2020-05-30,32.8049,32.8049,31.1485,31.7531,27203.0
2020-05-31,32.8049,32.8049,31.1485,31.7531,27203.0
2020-06-01,33.2521,33.2521,31.3059,31.8939,29331.0
2020-06-02,32.4239,32.4239,31.4715,31.4715,18558.0
2020-06-03,32.4074,33.9188,32.4074,33.3267,37851.0
2020-06-04,33.3349,35.6125,33.1279,34.2377,46853.0
2020-06-05,35.7698,37.5505,35.7698,37.3186,28269.0
2020-06-06,35.7698,37.5505,35.7698,37.3186,28269.0
2020-06-07,35.7698,37.5505,35.7698,37.3186,28269.0
2020-06-08,37.4925,37.8053,36.8589,37.0618,23075.0
2020-06-09,36.6809,36.6809,34.9375,35.6622,27120.0
2020-06-10,35.7367,35.7367,33.1693,33.1693,24622.0
2020-06-11,32.5482,32.5482,30.4777,30.635,20105.0
2020-06-12,31.5543,32.3742,31.2065,32.0264,16848.0
2020-06-13,31.5543,32.3742,31.2065,32.0264,16848.0
2020-06-14,31.5543,32.3742,31.2065,32.0264,16848.0
2020-06-15,32.0264,32.9871,31.2313,32.7635,59035.0
2020-06-16,34.2957,34.9665,33.5586,34.4116,26753.0
2020-06-17,34.8829,34.8829,32.173,32.7705,30024.0
2020-06-18,32.4002,33.3091,32.0889,32.9893,15120.0
2020-06-19,33.1577,33.2166,32.4547,32.9388,35695.0
2020-06-20,33.1577,33.2166,32.4547,32.9388,35695.0
2020-06-21,33.1577,33.2166,32.4547,32.9388,35695.0
2020-06-22,32.4002,33.5111,32.4002,33.5111,12934.0
2020-06-23,34.5967,34.5967,32.9473,33.3428,16880.0
2020-06-24,32.7453,32.7621,31.5376,31.9121,17876.0
2020-06-25,31.8448,33.023,31.5082,32.9136,15107.0
2020-06-26,32.7705,33.2166,32.2319,33.0398,42810.0
2020-06-27,32.7705,33.2166,32.2319,33.0398,42810.0
2020-06-28,32.7705,33.2166,32.2319,33.0398,42810.0
2020-06-29,33.3344,34.5883,33.3344,34.5883,9859.0
2020-06-30,34.319,35.2027,34.0329,35.2027,10007.0
2020-07-01,35.068,35.068,34.1928,34.3863,16501.0
2020-07-02,35.1774,35.6478,34.5967,34.8913,24128.0
2020-07-03,35.1774,35.6478,34.5967,34.8913,24128.0
2020-07-04,35.1774,35.6478,34.5967,34.8913,24128.0
2020-07-05,35.1774,35.6478,34.5967,34.8913,24128.0
2020-07-06,35.514,35.514,34.0834,34.1591,11554.0
2020-07-07,33.8057,34.1255,33.1156,33.1156,10080.0
2020-07-08,33.0062,33.7552,32.274,32.5349,9492.0
2020-07-09,32.476,32.476,31.0117,31.1884,10716.0
2020-07-10,31.5418,32.8841,31.5418,32.821,30292.0
2020-07-11,31.5418,32.8841,31.5418,32.821,30292.0
2020-07-12,31.5418,32.8841,31.5418,32.821,30292.0
2020-07-13,32.9473,33.0314,31.9795,32.3918,14700.0
2020-07-14,32.2908,33.7888,32.2908,33.7888,8966.0
2020-07-15,34.0834,34.3695,33.7299,33.8225,13648.0
2020-07-16,33.709,34.8829,33.671,34.8829,8882.0
2020-07-17,34.4621,35.0091,34.2938,34.3527,7617.0
2020-07-18,34.4621,35.0091,34.2938,34.3527,7617.0
2020-07-19,34.4621,35.0091,34.2938,34.3527,7617.0
2020-07-20,34.3527,34.8913,34.2938,34.7566,5761.0
2020-07-21,35.1353,35.6066,34.8408,35.1017,6338.0
2020-07-22,34.7987,35.4635,34.7903,34.9249,10060.0
2020-07-23,35.0343,35.3836,34.9838,35.1017,3226.0
2020-07-24,35.3036,35.9769,35.2363,35.3626,9646.0
2020-07-25,35.3036,35.9769,35.2363,35.3626,9646.0
2020-07-26,35.3036,35.9769,35.2363,35.3626,9646.0
2020-07-27,35.3289,36.0863,35.2363,35.472,16372.0
2020-07-28,35.2616,35.4467,34.9754,34.9838,6853.0
2020-07-29,35.0007,35.4888,34.9249,35.1353,9546.0
2020-07-30,34.9838,34.9838,34.016,34.3779,6532.0
2020-07-31,33.6626,33.6626,32.9052,33.0651,13179.0
2020-08-01,33.6626,33.6626,32.9052,33.0651,13179.0
2020-08-02,33.6626,33.6626,32.9052,33.0651,13179.0
2020-08-03,33.4943,34.2096,33.4354,34.0245,11301.0
2020-08-04,34.117,34.8829,34.0538,34.8829,4390.0
2020-08-05,35.0343,35.3457,34.5631,35.0343,6765.0
2020-08-06,35.3626,35.4215,34.8829,35.4215,5485.0
2020-08-07,35.1606,37.0709,35.1606,37.0709,5211.0
2020-08-08,35.1606,37.0709,35.1606,37.0709,5211.0
2020-08-09,35.1606,37.0709,35.1606,37.0709,5211.0
2020-08-10,36.8437,38.2323,36.8437,37.9546,6285.0
2020-08-11,38.409,38.914,38.2491,38.2491,15613.0
2020-08-12,38.5773,39.3263,37.9462,38.1481,9951.0
2020-08-13,37.9966,38.7709,37.9966,38.7709,9047.0
2020-08-14,38.2744,38.956,38.2744,38.8466,3970.0
2020-08-15,38.2744,38.956,38.2744,38.8466,3970.0
2020-08-16,38.2744,38.956,38.2744,38.8466,3970.0
2020-08-17,38.3333,39.2253,38.3333,38.7204,12309.0
2020-08-18,38.712,38.712,37.8957,37.8957,4572.0
2020-08-19,38.3249,38.4925,37.4917,38.0808,5295.0
2020-08-20,37.3318,37.6222,36.4313,36.768,8662.0
2020-08-21,36.3135,36.3135,35.6697,36.2378,5912.0
2020-08-22,36.3135,36.3135,35.6697,36.2378,5912.0
2020-08-23,36.3135,36.3135,35.6697,36.2378,5912.0
2020-08-24,36.2294,37.4496,36.2294,36.9868,6790.0
2020-08-25,37.0289,37.0289,36.5984,37.0204,2303.0
2020-08-26,36.2799,36.9741,36.2799,36.5155,14452.0
2020-08-27,34.5042,34.6136,33.4059,34.0918,15051.0
2020-08-28,34.1423,35.6908,34.1423,35.169,14741.0
2020-08-29,34.1423,35.6908,34.1423,35.169,14741.0
2020-08-30,34.1423,35.6908,34.1423,35.169,14741.0
2020-08-31,35.5729,35.5729,34.4032,34.5294,23135.0
2020-09-01,34.2685,35.2279,33.7215,35.2279,11429.0
2020-09-02,35.0175,35.4551,34.521,35.4551,12236.0
2020-09-03,35.2868,35.2868,34.016,34.7061,17535.0
2020-09-04,35.3121,35.5898,33.873,35.5898,13225.0
2020-09-05,35.3121,35.5898,33.873,35.5898,13225.0
2020-09-06,35.3121,35.5898,33.873,35.5898,13225.0
2020-09-07,35.3121,35.5898,33.873,35.5898,13225.0
2020-09-08,35.2279,35.2279,32.8631,33.0314,36409.0
2020-09-09,33.4606,33.7131,32.8968,33.6037,25187.0
2020-09-10,33.4859,33.8477,32.7285,33.023,18888.0
2020-09-11,33.0903,33.8814,32.7285,33.7047,10121.0
2020-09-12,33.0903,33.8814,32.7285,33.7047,10121.0
2020-09-13,33.0903,33.8814,32.7285,33.7047,10121.0
2020-09-14,33.7047,35.5982,33.2923,35.5982,33647.0
2020-09-15,35.1353,36.0558,35.1353,35.3541,9734.0
2020-09-16,35.6876,36.9188,34.948,35.4824,34694.0
2020-09-17,35.1489,35.6363,34.8767,35.5422,10002.0
2020-09-18,35.8757,35.8757,33.798,34.5932,54523.0
2020-09-19,35.8757,35.8757,33.798,34.5932,54523.0
2020-09-20,35.8757,35.8757,33.798,34.5932,54523.0
2020-09-21,33.798,35.4396,33.1043,33.6698,14333.0
2020-09-22,33.6869,34.0118,33.4133,33.9861,14480.0
2020-09-23,33.456,34.7727,32.4899,32.8062,11204.0
2020-09-24,32.6865,33.3021,32.3702,32.7378,9927.0
2020-09-25,32.5497,34.046,32.5497,34.046,9506.0
2020-09-26,32.5497,34.046,32.5497,34.046,9506.0
2020-09-27,32.5497,34.046,32.5497,34.046,9506.0
2020-09-28,34.5419,35.0634,34.2597,34.7385,8911.0
2020-09-29,34.5162,34.5419,33.6527,34.3367,8041.0
2020-09-30,34.217,34.5889,33.7553,33.7553,7949.0
2020-10-01,34.2426,34.2854,33.456,33.8237,12616.0
2020-10-02,32.9174,35.3156,32.9174,34.9181,13091.0
2020-10-03,32.9174,35.3156,32.9174,34.9181,13091.0
2020-10-04,32.9174,35.3156,32.9174,34.9181,13091.0
2020-10-05,34.7214,36.7307,34.7214,36.7307,10611.0
2020-10-06,36.8589,37.6455,36.1236,36.1236,8327.0
2020-10-07,37.1496,37.6112,36.7649,37.1582,16607.0
2020-10-08,37.4147,38.321,37.4147,38.0388,17718.0
2020-10-09,38.6288,39.6719,37.4916,38.1243,8244.0
2020-10-10,38.6288,39.6719,37.4916,38.1243,8244.0
2020-10-11,38.6288,39.6719,37.4916,38.1243,8244.0
2020-10-12,38.4065,40.4328,38.4065,40.3473,16923.0
2020-10-13,39.6975,39.6975,38.8254,38.8254,4473.0
2020-10-14,38.834,39.0819,37.7054,37.7054,8291.0
2020-10-15,37.466,39.0648,37.4489,39.0648,9172.0
2020-10-16,38.8938,39.515,38.8938,39.4239,6064.0
2020-10-17,38.8938,39.515,38.8938,39.4239,6064.0
2020-10-18,38.8938,39.515,38.8938,39.4239,6064.0
2020-10-19,39.4838,39.4838,38.7741,38.7741,6335.0
2020-10-20,39.176,39.6633,39.0734,39.6633,6235.0
2020-10-21,39.4154,40.3105,38.9451,39.6719,7306.0
2020-10-22,40.1421,40.6465,40.048,40.048,7910.0
2020-10-23,40.3387,40.732,39.9027,39.9027,3418.0
2020-10-24,40.3387,40.732,39.9027,39.9027,3418.0
2020-10-25,40.3387,40.732,39.9027,39.9027,3418.0
2020-10-26,39.3555,39.3555,38.1243,38.1243,3743.0
2020-10-27,38.4749,38.8169,38.2149,38.244,3341.0
2020-10-28,37.3206,37.8122,36.6623,36.6623,9333.0
2020-10-29,36.4314,37.6113,36.4314,37.6113,2852.0
2020-10-30,37.0983,37.6712,36.7649,36.9786,7727.0
2020-10-31,37.0983,37.6712,36.7649,36.9786,7727.0
2020-11-01,37.0983,37.6712,36.7649,36.9786,7727.0
2020-11-02,37.6113,39.0734,37.6113,38.3894,5677.0
2020-11-03,39.1503,40.7833,39.1503,40.7748,8782.0
2020-11-04,39.5009,39.5778,38.3637,39.2957,6839.0
2020-11-05,39.518,40.7405,39.3897,40.1848,9881.0
2020-11-06,40.1763,40.1763,39.1674,39.4923,8651.0
2020-11-07,40.1763,40.1763,39.1674,39.4923,8651.0
2020-11-08,40.1763,40.1763,39.1674,39.4923,8651.0
2020-11-09,40.0993,43.8186,40.0993,40.8175,21242.0
2020-11-10,41.2023,43.2457,41.2023,43.2457,18721.0
2020-11-11,42.8097,42.8097,41.0911,41.8435,11567.0
2020-11-12,41.322,41.322,39.7121,39.7659,6844.0
2020-11-13,39.7573,40.6679,39.6291,39.9027,7997.0
2020-11-14,39.7573,40.6679,39.6291,39.9027,7997.0
2020-11-15,39.7573,40.6679,39.6291,39.9027,7997.0
2020-11-16,40.5781,41.8777,40.5781,41.6896,22428.0
2020-11-17,41.0398,42.9636,41.0398,42.4848,15432.0
2020-11-18,42.7071,43.1688,41.5443,41.5443,14667.0
2020-11-19,41.8093,41.8692,40.7149,41.8692,7378.0
2020-11-20,41.0142,41.3904,41.0142,41.3904,5418.0
2020-11-21,41.0142,41.3904,41.0142,41.3904,5418.0
2020-11-22,41.0142,41.3904,41.0142,41.3904,5418.0
2020-11-23,41.8862,43.1773,41.8692,43.1773,8536.0
2020-11-24,44.1178,45.0241,43.9981,44.3316,13645.0
2020-11-25,43.9126,43.9126,42.784,42.784,16245.0
2020-11-26,43.9126,43.9126,42.784,42.784,16245.0
2020-11-27,42.6814,43.1773,42.348,42.9294,12450.0
2020-11-28,42.6814,43.1773,42.348,42.9294,12450.0
2020-11-29,42.6814,43.1773,42.348,42.9294,12450.0
2020-11-30,41.9718,42.4848,41.6383,42.1513,13568.0
2020-12-01,42.784,43.1089,41.8777,42.348,10503.0
2020-12-02,40.8346,42.6729,40.8346,42.442,20315.0
2020-12-03,41.8521,42.442,41.6469,41.6469,10029.0
2020-12-04,41.6896,43.7929,41.6826,43.7929,12991.0
2020-12-05,41.6896,43.7929,41.6826,43.7929,12991.0
2020-12-06,41.6896,43.7929,41.6826,43.7929,12991.0
2020-12-07,42.5874,42.9892,42.0658,42.1086,9780.0
2020-12-08,41.4844,43.545,41.4844,43.545,16231.0
2020-12-09,43.1089,44.4598,42.9123,43.9212,35180.0
2020-12-10,43.9212,43.9212,41.2108,41.664,25081.0
2020-12-11,42.0145,42.0145,40.8004,41.6212,10106.0
2020-12-12,42.0145,42.0145,40.8004,41.6212,10106.0
2020-12-13,42.0145,42.0145,40.8004,41.6212,10106.0
2020-12-14,42.0701,44.2375,40.6209,40.6209,44898.0
2020-12-15,41.5486,42.8353,41.0142,42.2283,21283.0
2020-12-16,42.4933,43.2263,41.788,41.8777,17177.0
2020-12-17,42.0944,43.3768,41.6525,43.3768,24745.0
2020-12-18,43.5934,44.7112,41.9919,43.2295,198673.0
2020-12-19,43.5934,44.7112,41.9919,43.2295,198673.0
2020-12-20,43.5934,44.7112,41.9919,43.2295,198673.0
2020-12-21,41.8864,41.9478,40.8553,41.3839,19113.0
2020-12-22,41.5398,42.207,41.3665,41.7131,12551.0
2020-12-23,41.8864,43.2728,41.7391,42.3803,17078.0
2020-12-24,42.415,43.1428,42.311,42.311,11539.0
2020-12-25,42.415,43.1428,42.311,42.311,11539.0
2020-12-26,42.415,43.1428,42.311,42.311,11539.0
2020-12-27,42.415,43.1428,42.311,42.311,11539.0
2020-12-28,43.0649,43.7581,42.5016,42.5016,14020.0
2020-12-29,42.6663,43.4115,41.9037,42.0424,12488.0
2020-12-30,42.0511,43.2988,41.9297,42.7529,19455.0
2020-12-31,42.5103,43.3075,41.9211,41.9211,26264.0
2021-01-01,42.5103,43.3075,41.9211,41.9211,26264.0
2021-01-02,42.5103,43.3075,41.9211,41.9211,26264.0
2021-01-03,42.5103,43.3075,41.9211,41.9211,26264.0
2021-01-04,42.1117,42.8527,41.6785,41.7391,18224.0
2021-01-05,41.6785,43.6281,41.6785,43.0735,16632.0
2021-01-06,43.966,46.7041,43.966,45.621,29199.0
2021-01-07,45.1791,45.8376,45.1531,45.8376,9438.0
2021-01-08,46.0109,46.0109,43.7667,44.7285,15262.0
2021-01-09,46.0109,46.0109,43.7667,44.7285,15262.0
2021-01-10,46.0109,46.0109,43.7667,44.7285,15262.0
2021-01-11,44.4253,45.751,44.4253,45.543,17241.0
2021-01-12,45.4044,45.7163,45.1358,45.4044,17154.0
2021-01-13,45.3697,45.3697,43.7581,44.2606,25022.0
2021-01-14,44.4512,45.9243,44.4512,45.5777,15506.0
2021-01-15,44.5379,45.621,44.2173,44.7199,7816.0
2021-01-16,44.5379,45.621,44.2173,44.7199,7816.0
2021-01-17,44.5379,45.621,44.2173,44.7199,7816.0
2021-01-18,44.5379,45.621,44.2173,44.7199,7816.0
2021-01-19,44.1913,44.6852,43.7581,43.8274,19117.0
2021-01-20,44.2173,44.2173,43.1688,43.888,27457.0
2021-01-21,44.3559,44.3559,43.2382,43.2382,8557.0
2021-01-22,42.6576,44.226,42.467,44.226,30588.0
2021-01-23,42.6576,44.226,42.467,44.226,30588.0
2021-01-24,42.6576,44.226,42.467,44.226,30588.0
2021-01-25,43.3421,44.1653,42.2244,42.9435,15549.0
2021-01-26,42.9435,43.2728,42.441,42.5016,9408.0
2021-01-27,41.6005,42.6056,40.3007,40.3007,28019.0
2021-01-28,41.4358,41.5225,40.2834,40.4047,15579.0
2021-01-29,40.5953,40.6473,39.1483,39.5989,22508.0
2021-01-30,40.5953,40.6473,39.1483,39.5989,22508.0
2021-01-31,40.5953,40.6473,39.1483,39.5989,22508.0
2021-02-01,39.7894,41.1152,39.4906,40.3441,15567.0
2021-02-02,40.448,41.3319,40.2011,40.8293,7255.0
2021-02-03,40.838,41.3232,40.4394,40.63,14487.0
2021-02-04,40.6733,41.7911,40.2054,41.7911,11607.0
2021-02-05,41.8084,42.9958,41.7738,42.9175,13628.0
2021-02-06,41.8084,42.9958,41.7738,42.9175,13628.0
2021-02-07,41.8084,42.9958,41.7738,42.9175,13628.0
2021-02-08,42.6316,43.7147,42.6316,43.7147,5278.0
2021-02-09,43.0432,43.7147,42.6056,43.0822,4634.0
2021-02-10,44.3646,44.5292,43.0822,43.0822,14692.0
2021-02-11,43.7069,43.81,42.4756,42.4756,10006.0
2021-02-12,43.1732,43.6801,43.1732,43.6281,7155.0
2021-02-13,43.1732,43.6801,43.1732,43.6281,7155.0
2021-02-14,43.1732,43.6801,43.1732,43.6281,7155.0
2021-02-15,43.1732,43.6801,43.1732,43.6281,7155.0
2021-02-16,43.5588,43.5588,41.3839,41.3839,6871.0
2021-02-17,41.8258,42.7616,41.6871,41.6871,7153.0
2021-02-18,41.8864,42.9262,41.6005,41.6005,9758.0
2021-02-19,41.7045,42.9435,41.7045,42.5883,9033.0
2021-02-20,41.7045,42.9435,41.7045,42.5883,9033.0
2021-02-21,41.7045,42.9435,41.7045,42.5883,9033.0
2021-02-22,42.2893,43.6887,42.0251,42.0251,13888.0
2021-02-23,42.8916,43.0215,41.4532,41.4532,12159.0
2021-02-24,41.3839,42.5363,41.3493,42.285,12975.0
2021-02-25,42.3717,44.9365,42.3717,42.3717,13332.0
2021-02-26,43.3248,43.9747,42.8916,42.8916,18661.0
2021-02-27,43.3248,43.9747,42.8916,42.8916,18661.0
2021-02-28,43.3248,43.9747,42.8916,42.8916,18661.0
2021-03-01,43.5848,45.5777,43.2035,45.4131,19355.0
2021-03-02,45.4737,45.4737,44.0527,44.5379,17157.0
2021-03-03,44.6245,46.4529,44.0873,45.3784,16323.0
2021-03-04,45.0925,47.224,45.0925,46.7301,26389.0
2021-03-05,47.4147,49.3816,46.7041,49.3816,28596.0
2021-03-06,47.4147,49.3816,46.7041,49.3816,28596.0
2021-03-07,47.4147,49.3816,46.7041,49.3816,28596.0
2021-03-08,49.0004,50.9153,49.0004,50.9153,20277.0
2021-03-09,49.5289,50.95,49.5289,50.3521,28180.0
2021-03-10,50.3521,50.6034,49.4943,50.4301,17538.0
2021-03-11,49.6502,50.898,49.1996,50.898,23302.0
2021-03-12,50.6727,52.5703,50.6554,52.5703,18919.0
2021-03-13,50.6727,52.5703,50.6554,52.5703,18919.0
