,QCOM US Equity,QCOM US Equity,QCOM US Equity,QCOM US Equity,QCOM US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2021-04-12,129.9459,130.9098,127.3163,128.617,10355534.0
2021-04-13,129.4967,129.8617,127.0355,128.486,9225208.0
2021-04-14,128.2802,128.9914,125.3137,126.0997,9967790.0
2021-04-15,127.2695,129.1317,126.8671,128.9914,11733238.0
2021-04-16,128.7855,130.0816,127.8778,129.3376,6583895.0
2021-04-17,128.7855,130.0816,127.8778,129.3376,6583895.0
2021-04-18,128.7855,130.0816,127.8778,129.3376,6583895.0
2021-04-19,128.1117,128.2521,125.4774,126.5676,8728948.0
2021-04-20,125.9126,126.1278,124.2656,124.8364,7473703.0
2021-04-21,124.2936,127.6111,123.9942,127.4473,7237924.0
2021-04-22,126.6799,127.2321,123.9661,124.434,8345144.0
2021-04-23,125.1546,127.3691,124.9627,126.7361,7669057.0
2021-04-24,125.1546,127.3691,124.9627,126.7361,7669057.0
2021-04-25,125.1546,127.3691,124.9627,126.7361,7669057.0
2021-04-26,126.6425,130.7226,126.446,130.0395,9715383.0
2021-04-27,129.8055,130.4325,128.1866,129.1505,9284499.0
2021-04-28,129.3002,129.3967,127.0355,127.8029,13118138.0
2021-04-29,135.7011,135.9692,131.6397,133.5207,20502140.0
2021-04-30,132.014,132.9685,129.3844,129.8897,11374595.0
2021-05-01,132.014,132.9685,129.3844,129.8897,11374595.0
2021-05-02,132.014,132.9685,129.3844,129.8897,11374595.0
2021-05-03,130.732,130.7881,128.0836,128.6077,7920307.0
2021-05-04,127.2695,127.2695,123.9193,125.5102,11996279.0
2021-05-05,127.3443,127.6906,125.5008,126.0061,6285459.0
2021-05-06,125.8564,127.7748,124.551,127.2695,8352536.0
2021-05-07,128.1463,129.7868,127.5409,129.0007,6893704.0
2021-05-08,128.1463,129.7868,127.5409,129.0007,6893704.0
2021-05-09,128.1463,129.7868,127.5409,129.0007,6893704.0
2021-05-10,127.2882,127.9058,120.5504,120.6627,19537228.0
2021-05-11,117.2096,120.3071,116.7604,120.1293,11947958.0
2021-05-12,117.9381,118.9689,115.7404,116.62,13529626.0
2021-05-13,118.9595,120.2322,117.7898,118.9502,10635086.0
2021-05-14,120.3726,122.9835,119.6052,121.795,9391122.0
2021-05-15,120.3726,122.9835,119.6052,121.795,9391122.0
2021-05-16,120.3726,122.9835,119.6052,121.795,9391122.0
2021-05-17,120.9902,121.4956,119.5117,121.4675,5917356.0
2021-05-18,122.2536,122.8151,120.5223,120.6346,8651133.0
2021-05-19,119.0206,122.4314,118.3325,122.2723,8112930.0
2021-05-20,123.0855,124.7241,123.0209,124.1252,9208354.0
2021-05-21,123.6573,124.1717,122.1132,123.0209,8673957.0
2021-05-22,123.6573,124.1717,122.1132,123.0209,8673957.0
2021-05-23,123.6573,124.1717,122.1132,123.0209,8673957.0
2021-05-24,122.8993,125.3979,122.8993,124.3778,8229331.0
2021-05-25,124.9674,125.6786,124.2749,125.1639,7271428.0
2021-05-26,125.2762,125.8845,123.7321,124.5463,6663325.0
2021-05-27,124.2094,125.9968,124.1907,125.061,7379260.0
2021-05-28,125.5421,126.9326,125.3511,125.9032,7044084.0
2021-05-29,125.5421,126.9326,125.3511,125.9032,7044084.0
2021-05-30,125.5421,126.9326,125.3511,125.9032,7044084.0
2021-05-31,125.5421,126.9326,125.3511,125.9032,7044084.0
2021-06-01,126.4306,127.335,124.958,125.3417,7059614.0
2021-06-02,125.2665,126.7244,124.5987,125.8685,6025988.0
2021-06-03,124.768,125.464,123.6111,123.9497,6643997.0
2021-06-04,124.6504,127.0254,124.3447,126.3576,7416675.0
2021-06-05,124.6504,127.0254,124.3447,126.3576,7416675.0
2021-06-06,124.6504,127.0254,124.3447,126.3576,7416675.0
2021-06-07,125.7556,125.8214,124.7586,125.3982,5563253.0
2021-06-08,126.0942,127.3447,125.0972,126.2259,9657889.0
2021-06-09,127.0769,127.3076,124.8997,124.9937,6717243.0
2021-06-10,125.1442,127.0724,124.7021,126.2447,5522273.0
2021-06-11,125.8497,126.6491,125.7086,126.6209,6529894.0
2021-06-12,125.8497,126.6491,125.7086,126.6209,6529894.0
2021-06-13,125.8497,126.6491,125.7086,126.6209,6529894.0
2021-06-14,127.1618,129.1511,126.7779,129.1511,7912621.0
2021-06-15,128.9912,129.2169,127.1947,127.5239,5723574.0
2021-06-16,128.361,128.9065,125.718,126.9313,7404737.0
2021-06-17,126.3293,128.5021,126.1224,127.3076,6618346.0
2021-06-18,126.5551,126.5833,124.3823,125.0972,12753569.0
2021-06-19,126.5551,126.5833,124.3823,125.0972,12753569.0
2021-06-20,126.5551,126.5833,124.3823,125.0972,12753569.0
2021-06-21,125.1442,127.0724,124.7774,126.0001,6371423.0
