,CLR US Equity,CLR US Equity,CLR US Equity,CLR US Equity,CLR US Equity
2020-03-02,18.7089,18.7089,17.0515,17.6364,8723396.0
2020-03-03,17.6364,17.9679,16.8078,16.993,6403147.0
2020-03-04,17.5585,17.8218,16.681,17.3342,6204516.0
2020-03-05,16.681,17.2416,16.3008,17.0515,5665952.0
2020-03-06,16.2618,16.5153,14.3022,14.4777,8034952.0
2020-03-07,16.2618,16.5153,14.3022,14.4777,8034952.0
2020-03-08,16.2618,16.5153,14.3022,14.4777,8034952.0
2020-03-09,9.7493,9.8955,6.8342,6.8732,21486493.0
2020-03-10,8.5794,9.1936,6.883,9.1546,25627916.0
2020-03-11,8.5014,8.9958,7.9068,8.5599,15140742.0
2020-03-12,7.7994,8.5696,7.2632,7.7409,11339856.0
2020-03-13,8.3649,9.5933,7.5752,9.5738,11178604.0
2020-03-14,8.3649,9.5933,7.5752,9.5738,11178604.0
2020-03-15,8.3649,9.5933,7.5752,9.5738,11178604.0
2020-03-16,7.6532,10.3732,7.5069,8.7451,8849817.0
2020-03-17,8.7841,9.1425,7.4582,8.0822,9766587.0
2020-03-18,7.4192,7.7897,6.7465,7.6824,8385797.0
2020-03-19,7.6922,9.0961,7.312,8.8913,8599655.0
2020-03-20,9.0181,9.6908,8.0627,9.2228,10426022.0
2020-03-21,9.0181,9.6908,8.0627,9.2228,10426022.0
2020-03-22,9.0181,9.6908,8.0627,9.2228,10426022.0
2020-03-23,9.3008,9.3106,8.4916,8.8036,5425714.0
2020-03-24,9.4081,10.2075,8.9303,10.0418,5562479.0
2020-03-25,10.3342,10.4805,9.0376,9.9735,6057692.0
2020-03-26,9.9248,10.7047,9.3788,9.7005,5007164.0
2020-03-27,9.2911,9.3593,8.2674,8.3064,7116694.0
2020-03-28,9.2911,9.3593,8.2674,8.3064,7116694.0
2020-03-29,9.2911,9.3593,8.2674,8.3064,7116694.0
2020-03-30,7.9457,7.9652,6.8538,7.5167,8853871.0
2020-03-31,7.9457,8.0882,7.2925,7.4484,7374950.0
2020-04-01,7.0975,7.4874,6.727,7.2827,8470250.0
2020-04-02,7.7507,9.72,7.4192,8.1309,11777059.0
2020-04-03,8.8231,8.9596,7.9164,8.8523,8880441.0
2020-04-04,8.8231,8.9596,7.9164,8.8523,8880441.0
2020-04-05,8.8231,8.9596,7.9164,8.8523,8880441.0
2020-04-06,8.8816,9.3886,8.5486,9.2521,7092852.0
2020-04-07,9.7298,11.0069,9.2716,10.188,10870130.0
2020-04-08,10.3732,12.1574,10.3245,12.0599,9223056.0
2020-04-09,12.8983,14.5849,10.773,11.8844,20298693.0
2020-04-10,12.8983,14.5849,10.773,11.8844,20298693.0
2020-04-11,12.8983,14.5849,10.773,11.8844,20298693.0
2020-04-12,12.8983,14.5849,10.773,11.8844,20298693.0
2020-04-13,12.5278,12.6156,11.6991,12.0501,5246699.0
2020-04-14,11.7089,12.0501,10.8412,11.1434,5862875.0
2020-04-15,10.149,10.4317,9.7041,10.227,7878453.0
2020-04-16,10.1685,10.2416,9.5445,9.5933,4348465.0
2020-04-17,9.8468,11.0654,9.7493,10.9387,6103353.0
2020-04-18,9.8468,11.0654,9.7493,10.9387,6103353.0
2020-04-19,9.8468,11.0654,9.7493,10.9387,6103353.0
2020-04-20,9.8468,11.158,9.603,10.4512,9166709.0
2020-04-21,9.954,10.8509,9.7298,10.7437,7416750.0
2020-04-22,11.4359,12.2938,11.4067,12.0989,8098316.0
2020-04-23,12.7326,13.3273,12.2451,12.8983,7837752.0
2020-04-24,13.1128,13.7952,11.7848,12.2743,6008823.0
2020-04-25,13.1128,13.7952,11.7848,12.2743,6008823.0
2020-04-26,13.1128,13.7952,11.7848,12.2743,6008823.0
2020-04-27,11.7869,12.8106,11.1727,12.5083,4741215.0
2020-04-28,12.947,13.2395,12.3718,13.103,4702942.0
2020-04-29,13.7465,15.5209,13.7172,15.4526,6471536.0
2020-04-30,15.5988,16.3203,14.9749,15.9791,6693052.0
2020-05-01,15.3844,15.5891,13.844,13.8537,6184596.0
2020-05-02,15.3844,15.5891,13.844,13.8537,6184596.0
2020-05-03,15.3844,15.5891,13.844,13.8537,6184596.0
2020-05-04,12.9373,14.1852,12.6643,13.9415,5898992.0
2020-05-05,15.2089,15.2186,13.1664,13.3175,4861915.0
2020-05-06,13.298,13.9317,13.064,13.2688,3887135.0
2020-05-07,13.5807,14.1755,13.0348,13.259,3754445.0
2020-05-08,13.5028,14.7604,13.4248,14.7117,4099107.0
2020-05-09,13.5028,14.7604,13.4248,14.7117,4099107.0
2020-05-10,13.5028,14.7604,13.4248,14.7117,4099107.0
2020-05-11,14.6727,15.2479,13.649,13.649,6248466.0
2020-05-12,13.649,14.7312,13.649,14.078,4396471.0
2020-05-13,13.8635,13.9512,12.1866,12.3133,8377606.0
2020-05-14,11.9721,13.064,11.6601,12.6448,4576736.0
2020-05-15,12.5083,13.0445,12.4303,12.5473,4377132.0
2020-05-16,12.5083,13.0445,12.4303,12.5473,4377132.0
2020-05-17,12.5083,13.0445,12.4303,12.5473,4377132.0
2020-05-18,13.5028,14.4874,13.4443,14.3119,4985277.0
2020-05-19,14.5264,14.5459,13.0299,13.103,5521630.0
2020-05-20,13.493,13.883,13.2395,13.532,3763046.0
2020-05-21,13.649,13.961,12.869,13.532,4047749.0
2020-05-22,13.4248,13.7416,13.1567,13.688,3231937.0
2020-05-23,13.4248,13.7416,13.1567,13.688,3231937.0
2020-05-24,13.4248,13.7416,13.1567,13.688,3231937.0
2020-05-25,13.4248,13.7416,13.1567,13.688,3231937.0
2020-05-26,14.2437,14.4289,13.6782,13.8927,3838886.0
2020-05-27,14.1949,14.2632,13.1811,13.8342,3274000.0
2020-05-28,13.883,13.883,12.7716,12.869,5268515.0
2020-05-29,12.7423,12.7813,11.8551,11.9234,12402875.0
2020-05-30,12.7423,12.7813,11.8551,11.9234,12402875.0
2020-05-31,12.7423,12.7813,11.8551,11.9234,12402875.0
2020-06-01,11.9429,12.9665,11.7479,12.8983,4240174.0
2020-06-02,13.1323,14.1267,13.0738,14.0487,4877644.0
2020-06-03,14.3704,14.7702,13.9805,14.6142,4734845.0
2020-06-04,14.5167,15.1016,14.1365,14.9846,3229434.0
2020-06-05,16.2033,18.0264,16.1838,17.9679,7826771.0
2020-06-06,16.2033,18.0264,16.1838,17.9679,7826771.0
2020-06-07,16.2033,18.0264,16.1838,17.9679,7826771.0
2020-06-08,19.4401,21.0926,18.9575,21.0389,7678266.0
2020-06-09,19.2743,19.6267,18.2019,18.5821,5709267.0
2020-06-10,17.8314,17.9679,16.8663,16.8857,4723133.0
2020-06-11,14.7799,15.7158,14.6239,15.0529,5636010.0
2020-06-12,16.3495,16.5055,15.1803,16.1936,3941749.0
2020-06-13,16.3495,16.5055,15.1803,16.1936,3941749.0
2020-06-14,16.3495,16.5055,15.1803,16.1936,3941749.0
2020-06-15,15.1114,16.5494,14.6727,16.4178,4700256.0
2020-06-16,17.6657,17.9874,16.8708,17.8119,5711712.0
2020-06-17,17.7729,17.7827,16.213,16.2228,4285775.0
2020-06-18,15.9011,17.0807,15.4234,16.7688,4704257.0
2020-06-19,17.344,17.5486,16.3398,16.486,7836723.0
2020-06-20,17.344,17.5486,16.3398,16.486,7836723.0
2020-06-21,17.344,17.5486,16.3398,16.486,7836723.0
2020-06-22,16.4763,16.7834,16.2179,16.6128,4675474.0
2020-06-23,17.0222,17.0905,16.3447,16.4275,4286203.0
2020-06-24,16.0766,16.213,14.6922,14.7409,6507858.0
2020-06-25,15.1211,16.1448,14.7945,15.8718,6049355.0
2020-06-26,15.5988,15.6135,14.6629,14.7214,4259832.0
2020-06-27,15.5988,15.6135,14.6629,14.7214,4259832.0
2020-06-28,15.5988,15.6135,14.6629,14.7214,4259832.0
2020-06-29,15.1114,16.2228,14.7994,15.7841,5782111.0
2020-06-30,15.5988,17.1685,15.5111,17.0905,6363611.0
2020-07-01,17.149,17.5,16.0376,16.6323,8118821.0
2020-07-02,17.1685,18.1434,17.0027,17.8412,7355566.0
2020-07-03,17.1685,18.1434,17.0027,17.8412,7355566.0
2020-07-04,17.1685,18.1434,17.0027,17.8412,7355566.0
2020-07-05,17.1685,18.1434,17.0027,17.8412,7355566.0
2020-07-06,18.2799,18.3286,16.7103,16.7298,8795655.0
2020-07-07,16.4763,16.6615,15.1211,15.1504,6792103.0
2020-07-08,15.2186,16.2616,15.1601,15.7256,6875434.0
2020-07-09,15.8036,15.8913,14.6824,14.7019,4238600.0
2020-07-10,14.6532,15.6378,14.4972,15.6281,4470005.0
2020-07-11,14.6532,15.6378,14.4972,15.6281,4470005.0
2020-07-12,14.6532,15.6378,14.4972,15.6281,4470005.0
2020-07-13,15.8328,15.9401,15.2284,15.3746,3817858.0
2020-07-14,15.2576,16.5348,14.9749,16.4568,3932928.0
2020-07-15,17.0222,17.5682,16.5543,17.5487,5961930.0
2020-07-16,17.2757,18.0752,16.9832,17.383,3238897.0
2020-07-17,17.3635,18.0069,16.564,16.7493,3181725.0
2020-07-18,17.3635,18.0069,16.564,16.7493,3181725.0
2020-07-19,17.3635,18.0069,16.564,16.7493,3181725.0
2020-07-20,16.7005,17.149,16.4568,16.4568,2110356.0
2020-07-21,16.9442,17.8119,16.9442,17.539,4689664.0
2020-07-22,17.1977,17.4221,16.9052,17.2465,2194246.0
2020-07-23,17.0222,17.383,16.642,16.876,2592138.0
2020-07-24,16.876,17.461,16.7493,16.7883,2296430.0
2020-07-25,16.876,17.461,16.7493,16.7883,2296430.0
2020-07-26,16.876,17.461,16.7493,16.7883,2296430.0
2020-07-27,16.8175,17.0203,16.4373,16.9637,1994859.0
2020-07-28,16.8175,17.1392,16.4617,16.4958,1984466.0
2020-07-29,16.5445,17.1149,16.2715,17.071,2316551.0
2020-07-30,16.6225,17.071,16.1351,16.8955,3087122.0
2020-07-31,16.837,17.1002,16.5153,16.8565,2838005.0
2020-08-01,16.837,17.1002,16.5153,16.8565,2838005.0
2020-08-02,16.837,17.1002,16.5153,16.8565,2838005.0
2020-08-03,16.9247,17.4853,16.6323,17.1977,4517508.0
2020-08-04,16.681,17.0759,15.7548,16.1741,6515917.0
2020-08-05,16.9832,17.3342,16.3788,17.266,5969350.0
2020-08-06,17.0612,17.1977,16.3008,16.4665,3169293.0
2020-08-07,16.33,16.8126,16.0278,16.7493,2214388.0
2020-08-08,16.33,16.8126,16.0278,16.7493,2214388.0
2020-08-09,16.33,16.8126,16.0278,16.7493,2214388.0
2020-08-10,16.8468,18.0362,16.8468,18.0264,3171455.0
2020-08-11,18.5236,19.0403,17.6608,17.7339,3109407.0
2020-08-12,18.1727,18.4359,17.8656,18.2019,2140116.0
2020-08-13,18.0557,18.4846,17.7729,17.8899,1830206.0
2020-08-14,17.6852,18.1337,17.4902,18.1142,1661491.0
2020-08-15,17.6852,18.1337,17.4902,18.1142,1661491.0
2020-08-16,17.6852,18.1337,17.4902,18.1142,1661491.0
2020-08-17,18.1142,18.2019,17.6169,17.9094,1538434.0
2020-08-18,17.7827,18.0849,17.5984,17.6949,1430801.0
2020-08-19,17.7632,17.9069,17.5097,17.6559,1593205.0
2020-08-20,17.3245,17.5292,17.0807,17.188,1516550.0
2020-08-21,17.0612,17.0954,16.4714,16.7005,1750991.0
2020-08-22,17.0612,17.0954,16.4714,16.7005,1750991.0
2020-08-23,17.0612,17.0954,16.4714,16.7005,1750991.0
2020-08-24,16.993,17.5487,16.8468,17.149,1392657.0
2020-08-25,17.5487,17.6559,17.0807,17.5292,1220741.0
2020-08-26,17.2757,17.4512,16.642,16.8468,2454450.0
2020-08-27,16.7883,17.1685,16.525,17.071,1919720.0
2020-08-28,17.0807,17.2708,16.7883,17.1587,1958653.0
2020-08-29,17.0807,17.2708,16.7883,17.1587,1958653.0
2020-08-30,17.0807,17.2708,16.7883,17.1587,1958653.0
2020-08-31,17.227,17.227,16.7395,16.7493,1654916.0
2020-09-01,16.8078,17.032,16.5543,16.6518,1803832.0
2020-09-02,16.642,16.7688,15.9693,15.9986,2076223.0
2020-09-03,15.6183,16.1351,15.3649,15.5598,3324479.0
2020-09-04,15.6963,15.9011,15.0821,15.2771,2324769.0
2020-09-05,15.6963,15.9011,15.0821,15.2771,2324769.0
2020-09-06,15.6963,15.9011,15.0821,15.2771,2324769.0
2020-09-07,15.6963,15.9011,15.0821,15.2771,2324769.0
2020-09-08,14.6239,14.9261,13.7416,13.7757,3988668.0
2020-09-09,14.0487,14.0975,13.5174,14.0,2574797.0
2020-09-10,14.0487,14.0487,12.9275,12.947,3401281.0
2020-09-11,12.9958,13.0104,12.6643,12.8593,3949637.0
2020-09-12,12.9958,13.0104,12.6643,12.8593,3949637.0
2020-09-13,12.9958,13.0104,12.6643,12.8593,3949637.0
2020-09-14,12.947,12.9617,12.3621,12.869,3771861.0
2020-09-15,12.986,13.2005,12.6643,12.6838,2590399.0
2020-09-16,12.8301,13.9317,12.7618,13.6197,4245135.0
2020-09-17,13.1908,14.2729,13.1128,14.2437,4161525.0
2020-09-18,14.1755,14.5849,14.0,14.4874,5502659.0
2020-09-19,14.1755,14.5849,14.0,14.4874,5502659.0
2020-09-20,14.1755,14.5849,14.0,14.4874,5502659.0
2020-09-21,13.7855,13.9415,13.0055,13.4735,2741960.0
2020-09-22,13.5417,13.9122,13.064,13.0933,2396350.0
2020-09-23,13.3078,13.5222,12.2353,12.2451,2697763.0
2020-09-24,12.1574,12.7521,11.7966,12.4108,2848873.0
2020-09-25,12.2158,12.6107,12.0306,12.3816,3198959.0
2020-09-26,12.2158,12.6107,12.0306,12.3816,3198959.0
2020-09-27,12.2158,12.6107,12.0306,12.3816,3198959.0
2020-09-28,12.7521,12.7911,12.2938,12.4986,4005012.0
2020-09-29,12.4011,12.5278,11.626,12.0111,3464370.0
2020-09-30,12.2256,12.4935,11.8844,11.9721,3703336.0
2020-10-01,11.7771,11.8649,11.1775,11.4652,3967811.0
2020-10-02,10.8412,12.0696,10.8119,11.9916,3692884.0
2020-10-03,10.8412,12.0696,10.8119,11.9916,3692884.0
2020-10-04,10.8412,12.0696,10.8119,11.9916,3692884.0
2020-10-05,12.3036,12.9568,12.2743,12.908,4879167.0
2020-10-06,13.2103,13.4052,12.3182,12.3718,3531600.0
2020-10-07,12.5376,12.6838,12.3913,12.6546,2621743.0
2020-10-08,12.7521,13.6295,12.6113,13.5807,3256236.0
2020-10-09,13.7367,13.7367,12.9714,13.1128,2654567.0
2020-10-10,13.7367,13.7367,12.9714,13.1128,2654567.0
2020-10-11,13.7367,13.7367,12.9714,13.1128,2654567.0
2020-10-12,12.9665,13.1615,12.6115,13.0543,2211127.0
2020-10-13,12.9958,13.2883,12.7521,12.8593,3251772.0
2020-10-14,12.9178,13.3955,12.8788,12.8885,2352078.0
2020-10-15,12.4303,13.22,12.4303,13.22,2571097.0
2020-10-16,13.2785,13.2785,12.813,12.8301,2789864.0
2020-10-17,13.2785,13.2785,12.813,12.8301,2789864.0
2020-10-18,13.2785,13.2785,12.813,12.8301,2789864.0
2020-10-19,12.947,13.0054,12.5571,12.5668,2828745.0
2020-10-20,12.7131,13.0665,12.3718,13.025,2987995.0
2020-10-21,12.8203,13.2298,12.6741,12.7618,3240363.0
2020-10-22,12.7618,13.4735,12.7033,13.415,3546541.0
2020-10-23,13.532,13.8732,13.22,13.532,3317665.0
2020-10-24,13.532,13.8732,13.22,13.532,3317665.0
2020-10-25,13.532,13.8732,13.22,13.532,3317665.0
2020-10-26,13.2005,13.2005,12.5702,12.6253,2642722.0
2020-10-27,12.5083,12.8106,12.4011,12.5961,1701149.0
2020-10-28,12.1086,12.2226,11.6211,11.8064,2733732.0
2020-10-29,11.5529,12.0745,11.3189,12.0014,4425837.0
2020-10-30,11.9136,12.0404,11.3579,11.7284,4555318.0
2020-10-31,11.9136,12.0404,11.3579,11.7284,4555318.0
2020-11-01,11.9136,12.0404,11.3579,11.7284,4555318.0
2020-11-02,11.8844,12.4888,11.4457,12.2353,3351089.0
2020-11-03,12.6448,12.8788,12.2949,12.3913,2776137.0
2020-11-04,12.2743,12.9568,11.8941,12.5473,3610369.0
2020-11-05,12.5668,13.0787,12.4398,12.9665,4153401.0
2020-11-06,13.0445,13.0835,11.8454,11.9331,5242748.0
2020-11-07,13.0445,13.0835,11.8454,11.9331,5242748.0
2020-11-08,13.0445,13.0835,11.8454,11.9331,5242748.0
2020-11-09,13.6002,14.2144,13.2299,13.8927,7189584.0
2020-11-10,13.961,14.1901,13.6149,14.117,3752700.0
2020-11-11,14.3509,14.5459,13.571,13.7367,2701416.0
2020-11-12,13.454,13.9317,13.0705,13.2395,2307596.0
2020-11-13,13.337,13.727,13.1664,13.61,1986543.0
2020-11-14,13.337,13.727,13.1664,13.61,1986543.0
2020-11-15,13.337,13.727,13.1664,13.61,1986543.0
2020-11-16,14.4777,14.5167,13.4784,14.039,3670296.0
2020-11-17,13.7465,14.3802,13.571,14.3217,2576639.0
2020-11-18,14.3899,15.4233,14.3119,14.4972,4192220.0
2020-11-19,14.3802,15.1114,14.2924,15.1016,1894945.0
2020-11-20,15.0041,15.2186,14.6629,14.7994,1834038.0
2020-11-21,15.0041,15.2186,14.6629,14.7994,1834038.0
2020-11-22,15.0041,15.2186,14.6629,14.7994,1834038.0
2020-11-23,15.1309,16.4373,15.0784,16.4178,3391758.0
2020-11-24,16.9345,17.4122,16.6908,17.0612,3675552.0
2020-11-25,16.8565,17.383,16.6761,17.1295,1911624.0
2020-11-26,16.8565,17.383,16.6761,17.1295,1911624.0
2020-11-27,17.0027,17.0417,16.291,16.4568,1509760.0
2020-11-28,17.0027,17.0417,16.291,16.4568,1509760.0
2020-11-29,17.0027,17.0417,16.291,16.4568,1509760.0
2020-11-30,16.1546,16.369,14.9261,14.9944,2958289.0
2020-12-01,15.4624,15.5745,14.8482,14.9261,1761874.0
2020-12-02,14.8092,15.9246,14.5752,15.3844,2261744.0
2020-12-03,15.5306,16.1156,15.2869,15.6476,2213060.0
2020-12-04,16.6713,18.3969,16.4763,18.3871,6540457.0
2020-12-05,16.6713,18.3969,16.4763,18.3871,6540457.0
2020-12-06,16.6713,18.3969,16.4763,18.3871,6540457.0
2020-12-07,18.2214,18.2214,17.3245,17.422,3402688.0
2020-12-08,17.2562,18.4944,17.227,18.0947,3050235.0
2020-12-09,18.2799,19.0501,17.461,17.8704,4097498.0
2020-12-10,18.0167,19.2938,18.0167,18.7479,3304959.0
2020-12-11,18.5626,18.6114,17.9387,18.4066,2188271.0
2020-12-12,18.5626,18.6114,17.9387,18.4066,2188271.0
2020-12-13,18.5626,18.6114,17.9387,18.4066,2188271.0
2020-12-14,18.8649,18.8649,16.9345,17.032,3079739.0
2020-12-15,17.3732,17.5779,16.72,17.4805,2301641.0
2020-12-16,17.6072,17.6072,16.6908,16.837,2166450.0
2020-12-17,17.032,17.1002,16.4665,16.8468,1646422.0
2020-12-18,16.72,16.8955,16.1643,16.3788,5756734.0
2020-12-19,16.72,16.8955,16.1643,16.3788,5756734.0
2020-12-20,16.72,16.8955,16.1643,16.3788,5756734.0
2020-12-21,15.4916,16.486,15.3161,16.2228,3070504.0
2020-12-22,16.1448,16.2715,15.4624,15.5209,2072282.0
2020-12-23,15.8426,16.7785,15.5891,16.4763,2448910.0
2020-12-24,16.5543,16.5543,15.9206,16.291,917500.0
2020-12-25,16.5543,16.5543,15.9206,16.291,917500.0
2020-12-26,16.5543,16.5543,15.9206,16.291,917500.0
2020-12-27,16.5543,16.5543,15.9206,16.291,917500.0
2020-12-28,16.3788,16.6743,15.7548,15.8523,1552814.0
2020-12-29,16.5738,16.7688,15.9986,16.1156,1902288.0
2020-12-30,16.0473,16.5445,16.0473,16.4178,2025206.0
2020-12-31,16.4763,16.4763,15.8718,15.8913,1693824.0
2021-01-01,16.4763,16.4763,15.8718,15.8913,1693824.0
2021-01-02,16.4763,16.4763,15.8718,15.8913,1693824.0
2021-01-03,16.4763,16.4763,15.8718,15.8913,1693824.0
2021-01-04,16.1156,16.993,15.8913,16.72,3695871.0
2021-01-05,17.0515,19.4498,17.032,18.7381,4354358.0
2021-01-06,19.5278,20.1518,19.0013,19.3328,5610556.0
2021-01-07,19.4791,19.713,18.8261,18.8941,3332682.0
2021-01-08,19.2841,19.3816,18.2604,18.5529,2054648.0
2021-01-09,19.2841,19.3816,18.2604,18.5529,2054648.0
2021-01-10,19.2841,19.3816,18.2604,18.5529,2054648.0
2021-01-11,17.8899,18.9623,17.6852,18.8746,1328739.0
2021-01-12,19.4986,20.3857,19.3133,20.142,3106482.0
2021-01-13,20.064,20.0933,18.7771,18.9039,2341961.0
2021-01-14,19.1573,19.791,19.1378,19.2743,2212675.0
2021-01-15,18.9818,19.3718,18.2409,18.8649,3000429.0
2021-01-16,18.9818,19.3718,18.2409,18.8649,3000429.0
2021-01-17,18.9818,19.3718,18.2409,18.8649,3000429.0
2021-01-18,18.9818,19.3718,18.2409,18.8649,3000429.0
2021-01-19,19.2061,19.4059,18.9818,19.1476,1705480.0
2021-01-20,19.4498,19.5766,18.9818,19.4303,1586890.0
2021-01-21,19.3523,19.4401,18.0264,18.4359,3451318.0
2021-01-22,17.7534,18.5821,17.5779,18.5431,2595219.0
2021-01-23,17.7534,18.5821,17.5779,18.5431,2595219.0
2021-01-24,17.7534,18.5821,17.5779,18.5431,2595219.0
2021-01-25,18.3091,18.5626,17.7193,18.4846,2507390.0
2021-01-26,18.8064,19.4303,17.9874,18.4066,3062340.0
2021-01-27,18.0362,20.8342,17.7534,20.532,6049354.0
2021-01-28,21.1462,23.1545,19.7423,20.259,8261981.0
2021-01-29,20.142,21.0877,18.8649,19.1963,3540315.0
2021-01-30,20.142,21.0877,18.8649,19.1963,3540315.0
2021-01-31,20.142,21.0877,18.8649,19.1963,3540315.0
2021-02-01,19.5863,19.9129,18.5821,19.1768,3098665.0
2021-02-02,19.8008,20.1518,18.4456,18.5529,3119974.0
2021-02-03,18.6211,20.1908,18.6211,20.1615,2076984.0
2021-02-04,20.2785,20.5417,19.5376,20.2882,1285060.0
2021-02-05,20.649,20.7757,20.2103,20.4637,1107675.0
2021-02-06,20.649,20.7757,20.2103,20.4637,1107675.0
2021-02-07,20.649,20.7757,20.2103,20.4637,1107675.0
2021-02-08,20.8147,22.6329,20.8147,22.4916,2189804.0
2021-02-09,22.1699,22.1699,21.4045,21.4874,2326036.0
2021-02-10,21.7311,22.8718,21.7214,22.5208,2434131.0
2021-02-11,22.3551,22.4233,21.1072,21.7116,1823157.0
2021-02-12,21.3607,22.8718,21.1583,22.4428,2645696.0
2021-02-13,21.3607,22.8718,21.1583,22.4428,2645696.0
2021-02-14,21.3607,22.8718,21.1583,22.4428,2645696.0
2021-02-15,21.3607,22.8718,21.1583,22.4428,2645696.0
2021-02-16,23.486,24.1295,22.9108,23.681,3661392.0
2021-02-17,22.3356,23.6323,21.4972,22.6573,5200761.0
2021-02-18,22.3258,22.5501,21.0682,21.2729,2875276.0
2021-02-19,21.3899,22.0139,21.1754,21.8286,2405307.0
2021-02-20,21.3899,22.0139,21.1754,21.8286,2405307.0
2021-02-21,21.3899,22.0139,21.1754,21.8286,2405307.0
2021-02-22,22.1601,23.8565,22.1601,22.7256,2184052.0
2021-02-23,22.9888,24.071,21.3623,23.876,2846974.0
2021-02-24,23.8662,25.6309,23.681,25.0556,2518472.0
2021-02-25,25.4164,25.6211,23.8029,24.1587,1989696.0
2021-02-26,23.759,24.1295,22.2771,23.5738,2019842.0
2021-02-27,23.759,24.1295,22.2771,23.5738,2019842.0
2021-02-28,23.759,24.1295,22.2771,23.5738,2019842.0
2021-03-01,24.2562,24.7903,23.72,24.4317,1676676.0
