,KFRC US Equity,KFRC US Equity,KFRC US Equity,KFRC US Equity,KFRC US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-10-19,35.3407,36.0128,35.2007,35.3407,110598.0
2020-10-20,35.7327,35.9754,34.9766,35.07,131632.0
2020-10-21,35.6067,35.6067,34.5239,35.1447,148304.0
2020-10-22,35.238,35.7888,35.0793,35.6767,115010.0
2020-10-23,35.8728,35.9837,35.4994,35.8354,54639.0
2020-10-24,35.8728,35.9837,35.4994,35.8354,54639.0
2020-10-25,35.8728,35.9837,35.4994,35.8354,54639.0
2020-10-26,35.3314,35.4807,33.8658,34.1179,84136.0
2020-10-27,34.0245,34.0681,32.8204,32.9697,65359.0
2020-10-28,32.2883,32.7177,32.0083,32.2323,82102.0
2020-10-29,32.1296,33.7165,32.1296,32.5683,137879.0
2020-10-30,32.3536,32.8017,31.7189,32.391,128539.0
2020-10-31,32.3536,32.8017,31.7189,32.391,128539.0
2020-11-01,32.3536,32.8017,31.7189,32.391,128539.0
2020-11-02,32.5123,33.4084,32.3163,33.0817,142692.0
2020-11-03,34.0058,36.3768,34.0058,36.1901,169809.0
2020-11-04,35.49,35.7981,34.1365,34.5566,101384.0
2020-11-05,34.6873,35.8541,34.3652,35.1167,103311.0
2020-11-06,35.4807,35.7701,34.1085,34.2019,78817.0
2020-11-07,35.4807,35.7701,34.1085,34.2019,78817.0
2020-11-08,35.4807,35.7701,34.1085,34.2019,78817.0
2020-11-09,35.8728,38.4584,35.8728,37.413,175456.0
2020-11-10,37.9544,39.6439,37.497,39.0279,115229.0
2020-11-11,38.9532,38.9532,37.5063,38.1877,79577.0
2020-11-12,37.693,38.5425,36.3862,37.0489,79171.0
2020-11-13,37.1983,37.525,36.5635,37.3383,72717.0
2020-11-14,37.1983,37.525,36.5635,37.3383,72717.0
2020-11-15,37.1983,37.525,36.5635,37.3383,72717.0
2020-11-16,37.833,39.0839,37.693,38.6078,89822.0
2020-11-17,38.0851,38.9158,37.2076,38.6918,117899.0
2020-11-18,38.9438,39.1819,37.861,38.3651,130530.0
2020-11-19,38.1224,38.8691,37.4223,37.973,64685.0
2020-11-20,37.6557,37.9917,36.8716,37.357,62459.0
2020-11-21,37.6557,37.9917,36.8716,37.357,62459.0
2020-11-22,37.6557,37.9917,36.8716,37.357,62459.0
2020-11-23,37.7303,38.6965,37.7303,38.1691,187820.0
2020-11-24,38.6265,39.9893,38.2064,39.6253,151641.0
2020-11-25,39.6253,39.6253,38.7478,39.2052,133929.0
2020-11-26,39.6253,39.6253,38.7478,39.2052,133929.0
2020-11-27,39.2052,39.3172,38.6638,39.2332,32263.0
2020-11-28,39.2052,39.3172,38.6638,39.2332,32263.0
2020-11-29,39.2052,39.3172,38.6638,39.2332,32263.0
2020-11-30,38.9905,39.3452,38.2157,38.3184,141827.0
2020-12-01,38.9625,39.6999,37.7397,38.4211,85972.0
2020-12-02,38.2531,38.9252,38.1131,38.6451,111384.0
2020-12-03,38.6076,39.0063,38.3919,38.5982,87534.0
2020-12-04,38.8046,40.4742,38.7144,40.1928,138954.0
2020-12-05,38.8046,40.4742,38.7144,40.1928,138954.0
2020-12-06,38.8046,40.4742,38.7144,40.1928,138954.0
2020-12-07,40.099,40.3523,39.2454,39.9958,131613.0
2020-12-08,39.7144,40.6712,38.4669,40.2491,124015.0
2020-12-09,40.6055,40.8494,39.8458,40.3335,147854.0
2020-12-10,40.1084,40.9244,40.0052,40.8869,145342.0
2020-12-11,40.4086,41.1027,39.9396,40.7838,65186.0
2020-12-12,40.4086,41.1027,39.9396,40.7838,65186.0
2020-12-13,40.4086,41.1027,39.9396,40.7838,65186.0
2020-12-14,41.2152,41.6186,39.433,39.4612,69409.0
2020-12-15,39.7426,41.1777,39.3768,40.8025,108906.0
2020-12-16,40.8025,41.2903,40.0427,40.099,134666.0
2020-12-17,40.099,40.4742,39.7426,40.3335,98608.0
2020-12-18,40.4836,40.5962,39.7942,40.2679,399221.0
2020-12-19,40.4836,40.5962,39.7942,40.2679,399221.0
2020-12-20,40.4836,40.5962,39.7942,40.2679,399221.0
2020-12-21,39.3205,39.911,38.2043,39.1985,84842.0
2020-12-22,39.1985,39.8458,38.7577,39.3392,78840.0
2020-12-23,39.555,40.2116,39.555,39.9865,51109.0
2020-12-24,40.0334,40.5399,39.3792,39.902,31124.0
2020-12-25,40.0334,40.5399,39.3792,39.902,31124.0
2020-12-26,40.0334,40.5399,39.3792,39.902,31124.0
2020-12-27,40.0334,40.5399,39.3792,39.902,31124.0
2020-12-28,40.3898,40.8775,39.4237,40.4836,112395.0
2020-12-29,40.493,40.8494,38.9547,39.8364,116561.0
2020-12-30,39.9865,40.4607,39.5362,39.902,80742.0
2020-12-31,39.6394,40.2772,39.3252,39.4799,70719.0
2021-01-01,39.6394,40.2772,39.3252,39.4799,70719.0
2021-01-02,39.6394,40.2772,39.3252,39.4799,70719.0
2021-01-03,39.6394,40.2772,39.3252,39.4799,70719.0
2021-01-04,39.902,41.0276,39.5432,40.0146,190872.0
2021-01-05,40.0709,40.9244,39.9302,40.4367,91838.0
2021-01-06,40.9807,42.4159,40.9151,41.9562,287985.0
2021-01-07,42.0876,42.3361,41.3981,41.9938,86873.0
2021-01-08,42.1251,42.9224,40.9995,41.3934,78730.0
2021-01-09,42.1251,42.9224,40.9995,41.3934,78730.0
2021-01-10,42.1251,42.9224,40.9995,41.3934,78730.0
2021-01-11,40.9057,41.431,40.6806,40.8494,113050.0
2021-01-12,41.1777,41.8577,40.6055,41.4966,115114.0
2021-01-13,41.3841,41.8062,40.5868,40.8025,88130.0
2021-01-14,40.9713,42.05,40.9713,41.3841,64314.0
2021-01-15,40.7931,41.581,39.7332,40.0615,74947.0
2021-01-16,40.7931,41.581,39.7332,40.0615,74947.0
2021-01-17,40.7931,41.581,39.7332,40.0615,74947.0
2021-01-18,40.7931,41.581,39.7332,40.0615,74947.0
2021-01-19,41.2903,42.3502,40.7556,41.9375,166455.0
2021-01-20,42.2658,42.5003,41.4216,41.8343,70091.0
2021-01-21,41.7686,42.1157,41.309,41.8155,62283.0
2021-01-22,41.309,42.9224,41.2715,42.8286,81345.0
2021-01-23,41.309,42.9224,41.2715,42.8286,81345.0
2021-01-24,41.309,42.9224,41.2715,42.8286,81345.0
