,NOC US Equity,NOC US Equity,NOC US Equity,NOC US Equity,NOC US Equity
2019-02-14,258.634,259.028,256.356,257.715,842818.0
2019-02-15,260.296,263.657,259.506,263.575,929516.0
2019-02-16,260.296,263.657,259.506,263.575,929516.0
2019-02-17,260.296,263.657,259.506,263.575,929516.0
2019-02-18,260.296,263.657,259.506,263.575,929516.0
2019-02-19,262.665,264.254,261.37,263.915,651049.0
2019-02-20,264.365,264.906,262.959,264.714,1025231.0
2019-02-21,264.861,264.98,262.307,264.052,608879.0
2019-02-22,265.62,266.45,263.776,266.275,613753.0
2019-02-23,265.62,266.45,263.776,266.275,613753.0
2019-02-24,265.62,266.45,263.776,266.275,613753.0
2019-02-25,267.465,267.622,264.264,264.744,548325.0
2019-02-26,264.449,266.57,263.573,264.283,530263.0
2019-02-27,263.499,265.03,262.281,264.486,808963.0
2019-02-28,263.96,268.894,263.776,267.428,1037788.0
2019-03-01,268.387,268.71,263.423,264.698,789963.0
2019-03-02,268.387,268.71,263.423,264.698,789963.0
2019-03-03,268.387,268.71,263.423,264.698,789963.0
2019-03-04,265.196,267.769,260.179,261.101,704876.0
2019-03-05,261.728,262.816,260.363,260.889,667752.0
2019-03-06,261.295,262.807,258.592,258.666,547188.0
2019-03-07,258.251,258.251,251.823,254.959,1307074.0
2019-03-08,254.101,254.71,251.242,254.516,636735.0
2019-03-09,254.101,254.71,251.242,254.516,636735.0
2019-03-10,254.101,254.71,251.242,254.516,636735.0
2019-03-11,252.671,257.661,251.398,257.523,758812.0
2019-03-12,257.698,258.242,253.086,253.787,1016260.0
2019-03-13,253.649,258.823,253.086,257.467,896786.0
2019-03-14,256.803,258.436,252.999,253.4,804127.0
2019-03-15,252.985,254.101,249.093,250.135,2701634.0
2019-03-16,252.985,254.101,249.093,250.135,2701634.0
2019-03-17,252.985,254.101,249.093,250.135,2701634.0
2019-03-18,250.301,254.387,249.591,253.529,1203952.0
2019-03-19,254.599,256.997,249.545,249.95,1029480.0
2019-03-20,249.95,251.574,247.645,249.443,869095.0
2019-03-21,248.401,252.441,248.3,251.306,612367.0
2019-03-22,250.854,250.854,246.437,247.506,830114.0
2019-03-23,250.854,250.854,246.437,247.506,830114.0
2019-03-24,250.854,250.854,246.437,247.506,830114.0
2019-03-25,248.106,249.042,246.114,247.728,557318.0
2019-03-26,249.572,250.273,243.411,245.191,1070760.0
2019-03-27,245.155,247.636,242.83,243.411,809707.0
2019-03-28,244.537,246.787,243.319,246.252,1080253.0
2019-03-29,247.949,249.618,247.239,248.65,934956.0
2019-03-30,247.949,249.618,247.239,248.65,934956.0
2019-03-31,247.949,249.618,247.239,248.65,934956.0
2019-04-01,250.061,254.202,250.061,252.81,759206.0
2019-04-02,253.031,254.128,251.417,252.09,542650.0
2019-04-03,252.597,252.597,243.946,246.031,1321570.0
2019-04-04,246.722,251.878,246.012,249.95,1129137.0
2019-04-05,253.446,254.885,251.066,254.829,734415.0
2019-04-06,253.446,254.885,251.066,254.829,734415.0
2019-04-07,253.446,254.885,251.066,254.829,734415.0
2019-04-08,253.63,255.678,252.229,255.383,607553.0
2019-04-09,253.879,254.756,251.509,252.219,484232.0
2019-04-10,251.767,252.588,248.484,249.508,774486.0
2019-04-11,250.91,256.324,250.421,255.835,661907.0
2019-04-12,256.637,261.332,256.637,261.055,1108692.0
2019-04-13,256.637,261.332,256.637,261.055,1108692.0
2019-04-14,256.637,261.332,256.637,261.055,1108692.0
2019-04-15,260.935,261.599,258.426,258.445,474381.0
2019-04-16,258.703,260.336,257.928,259.727,608802.0
2019-04-17,261.433,261.747,257.024,257.107,665882.0
2019-04-18,257.569,260.64,256.499,259.312,545573.0
2019-04-19,257.569,260.64,256.499,259.312,545573.0
2019-04-20,257.569,260.64,256.499,259.312,545573.0
2019-04-21,257.569,260.64,256.499,259.312,545573.0
2019-04-22,258.417,261.258,257.094,260.907,494907.0
2019-04-23,265.344,271.998,265.095,269.872,1678892.0
2019-04-24,267.05,267.88,256.628,258.242,2439452.0
2019-04-25,257.689,259.247,252.431,257.495,1298446.0
2019-04-26,258.113,262.706,256.065,261.129,953246.0
2019-04-27,258.113,262.706,256.065,261.129,953246.0
2019-04-28,258.113,262.706,256.065,261.129,953246.0
2019-04-29,261.553,265.334,260.538,263.776,954409.0
2019-04-30,266.054,268.11,264.255,267.382,930980.0
2019-05-01,267.409,270.167,266.506,266.828,825808.0
2019-05-02,266.072,268.498,264.407,267.4,1028080.0
2019-05-03,268.433,269.531,267.771,269.346,974785.0
2019-05-04,268.433,269.531,267.771,269.346,974785.0
2019-05-05,268.433,269.531,267.771,269.346,974785.0
2019-05-06,265.159,269.646,264.486,268.701,548970.0
2019-05-07,267.031,267.308,262.448,265.971,731754.0
2019-05-08,265.851,268.871,265.353,267.981,667770.0
2019-05-09,265.427,273.229,264.818,272.076,1125706.0
2019-05-10,271.735,277.61,271.089,277.426,1417963.0
2019-05-11,271.735,277.61,271.089,277.426,1417963.0
2019-05-12,271.735,277.61,271.089,277.426,1417963.0
2019-05-13,272.095,273.672,269.475,272.519,987031.0
2019-05-14,272.833,276.66,271.615,272.667,1256915.0
2019-05-15,270.979,273.727,268.664,271.606,619943.0
2019-05-16,273.229,282.544,272.773,281.032,1046228.0
2019-05-17,279.307,284.739,278.127,282.858,1172035.0
2019-05-18,279.307,284.739,278.127,282.858,1172035.0
2019-05-19,279.307,284.739,278.127,282.858,1172035.0
2019-05-20,282.498,290.531,282.231,290.135,1427492.0
2019-05-21,290.642,292.828,285.542,291.666,1385329.0
2019-05-22,291.205,292.422,289.941,292.025,952089.0
2019-05-23,289.323,289.794,284.168,286.916,1116929.0
2019-05-24,288.143,290.338,285.699,287.82,723683.0
2019-05-25,288.143,290.338,285.699,287.82,723683.0
2019-05-26,288.143,290.338,285.699,287.82,723683.0
2019-05-27,288.143,290.338,285.699,287.82,723683.0
2019-05-28,286.722,288.447,283.697,284.278,1419730.0
2019-05-29,282.941,283.808,280.1,282.231,582183.0
2019-05-30,283.125,287.036,283.125,285.735,1099479.0
2019-05-31,282.095,285.124,280.771,280.882,667679.0
2019-06-01,282.095,285.124,280.771,280.882,667679.0
2019-06-02,282.095,285.124,280.771,280.882,667679.0
2019-06-03,280.66,285.629,280.66,284.3,746465.0
2019-06-04,285.161,290.608,285.059,289.237,796699.0
2019-06-05,290.746,293.609,289.487,293.405,702996.0
2019-06-06,293.414,293.914,291.191,291.599,595024.0
2019-06-07,292.59,295.813,291.136,294.813,1010063.0
2019-06-08,292.59,295.813,291.136,294.813,1010063.0
2019-06-09,292.59,295.813,291.136,294.813,1010063.0
2019-06-10,299.175,299.851,287.329,288.348,1088771.0
2019-06-11,288.348,289.735,276.232,278.548,1603519.0
2019-06-12,278.983,282.762,277.83,282.364,771468.0
2019-06-13,283.633,285.513,278.279,284.939,1327577.0
2019-06-14,285.698,287.579,283.976,286.606,768330.0
2019-06-15,285.698,287.579,283.976,286.606,768330.0
2019-06-16,285.698,287.579,283.976,286.606,768330.0
2019-06-17,287.921,287.921,284.439,286.643,572478.0
2019-06-18,287.708,292.191,286.653,290.089,679029.0
2019-06-19,290.135,292.312,289.042,291.941,698691.0
2019-06-20,294.303,300.426,294.303,299.935,1195726.0
2019-06-21,300.926,300.963,297.073,298.397,1096624.0
2019-06-22,300.926,300.963,297.073,298.397,1096624.0
2019-06-23,300.926,300.963,297.073,298.397,1096624.0
2019-06-24,299.009,300.583,297.656,297.767,359188.0
2019-06-25,298.444,299.583,295.929,297.462,559185.0
2019-06-26,297.564,298.93,294.6,295.192,590547.0
2019-06-27,295.591,296.119,292.932,294.803,640858.0
2019-06-28,294.757,300.037,293.108,299.277,842820.0
2019-06-29,294.757,300.037,293.108,299.277,842820.0
2019-06-30,294.757,300.037,293.108,299.277,842820.0
2019-07-01,301.028,301.028,294.433,295.044,746438.0
2019-07-02,296.239,300.092,295.665,299.814,547492.0
2019-07-03,301.028,301.56,298.916,301.259,351974.0
2019-07-04,301.028,301.56,298.916,301.259,351974.0
2019-07-05,300.592,301.269,297.147,301.213,325620.0
2019-07-06,300.592,301.269,297.147,301.213,325620.0
2019-07-07,300.592,301.269,297.147,301.213,325620.0
2019-07-08,300.129,301.834,298.716,300.092,377147.0
2019-07-09,299.416,301.908,297.415,301.778,481695.0
2019-07-10,302.102,304.547,299.963,300.157,452107.0
2019-07-11,300.629,304.047,300.12,300.963,718830.0
2019-07-12,302.213,305.298,299.416,305.224,654705.0
2019-07-13,302.213,305.298,299.416,305.224,654705.0
2019-07-14,302.213,305.298,299.416,305.224,654705.0
2019-07-15,305.752,305.9,300.287,301.278,624642.0
2019-07-16,301.574,302.654,299.175,299.944,625400.0
2019-07-17,299.323,300.227,296.017,298.249,567728.0
2019-07-18,298.249,298.277,295.535,297.452,637931.0
2019-07-19,299.601,300.95,297.48,298.397,881363.0
2019-07-20,299.601,300.95,297.48,298.397,881363.0
2019-07-21,299.601,300.95,297.48,298.397,881363.0
2019-07-22,297.332,300.139,296.721,299.361,604570.0
2019-07-23,302.232,302.397,295.382,300.092,1587762.0
2019-07-24,299.99,319.344,297.888,317.672,1895348.0
2019-07-25,320.451,332.483,318.913,328.556,1888643.0
2019-07-26,327.527,328.321,323.721,326.518,896516.0
2019-07-27,327.527,328.321,323.721,326.518,896516.0
2019-07-28,327.527,328.321,323.721,326.518,896516.0
2019-07-29,326.536,329.75,325.017,329.213,698662.0
2019-07-30,328.12,329.102,323.508,326.879,603389.0
2019-07-31,325.147,327.879,319.052,320.08,1105149.0
2019-08-01,319.803,324.494,318.557,319.571,660498.0
2019-08-02,319.553,321.386,313.55,315.996,621727.0
2019-08-03,319.553,321.386,313.55,315.996,621727.0
2019-08-04,319.553,321.386,313.55,315.996,621727.0
2019-08-05,312.856,321.21,310.253,317.524,968500.0
2019-08-06,324.174,329.213,322.507,328.12,1007158.0
2019-08-07,325.981,336.605,324.508,334.761,1486273.0
2019-08-08,337.661,344.941,336.614,341.745,1434844.0
2019-08-09,341.597,347.043,337.744,343.209,896880.0
2019-08-10,341.597,347.043,337.744,343.209,896880.0
2019-08-11,341.597,347.043,337.744,343.209,896880.0
2019-08-12,340.995,346.404,340.257,345.682,933045.0
2019-08-13,347.858,349.507,341.699,343.32,1002897.0
2019-08-14,338.596,340.407,333.771,334.761,871854.0
2019-08-15,336.225,339.041,333.076,338.281,705884.0
2019-08-16,340.689,342.051,337.878,340.773,841575.0
2019-08-17,340.689,342.051,337.878,340.773,841575.0
2019-08-18,340.689,342.051,337.878,340.773,841575.0
2019-08-19,344.376,345.052,342.431,342.783,548423.0
2019-08-20,342.829,345.376,341.125,341.792,517205.0
2019-08-21,344.681,345.663,339.467,341.912,654976.0
2019-08-22,342.245,345.932,339.541,344.58,640357.0
2019-08-23,342.236,345.617,333.242,334.835,673106.0
2019-08-24,342.236,345.617,333.242,334.835,673106.0
2019-08-25,342.236,345.617,333.242,334.835,673106.0
2019-08-26,337.262,339.763,334.835,339.606,445980.0
2019-08-27,340.421,340.421,334.928,337.318,410956.0
2019-08-28,336.54,341.227,334.52,337.058,573269.0
2019-08-29,340.865,341.606,337.383,340.791,626332.0
2019-08-30,343.255,343.94,340.134,340.736,579045.0
2019-08-31,343.255,343.94,340.134,340.736,579045.0
2019-09-01,343.255,343.94,340.134,340.736,579045.0
2019-09-02,343.255,343.94,340.134,340.736,579045.0
2019-09-03,337.753,340.106,335.765,339.217,665967.0
2019-09-04,341.449,344.681,339.8,344.617,626440.0
2019-09-05,347.34,347.34,339.893,341.254,698451.0
2019-09-06,343.56,345.41,341.096,341.868,536407.0
2019-09-07,343.56,345.41,341.096,341.868,536407.0
2019-09-08,343.56,345.41,341.096,341.868,536407.0
2019-09-09,341.682,342.128,329.988,330.769,1272570.0
2019-09-10,327.766,330.165,317.206,330.081,1534881.0
2019-09-11,330.155,334.329,328.992,333.576,1149953.0
2019-09-12,336.244,339.999,332.563,339.498,776451.0
2019-09-13,340.873,341.617,337.629,338.066,704423.0
2019-09-14,340.873,341.617,337.629,338.066,704423.0
2019-09-15,340.873,341.617,337.629,338.066,704423.0
2019-09-16,342.546,346.544,339.299,345.27,988681.0
2019-09-17,345.279,350.439,341.924,348.096,1152406.0
2019-09-18,349.89,352.019,344.903,350.838,1207688.0
2019-09-19,350.336,353.662,348.153,349.128,1029423.0
2019-09-20,350.048,351.08,342.184,342.249,3501297.0
2019-09-21,350.048,351.08,342.184,342.249,3501297.0
2019-09-22,350.048,351.08,342.184,342.249,3501297.0
2019-09-23,342.24,346.06,340.037,343.132,984837.0
2019-09-24,345.307,348.143,340.734,343.485,1135357.0
2019-09-25,344.898,348.933,343.131,348.598,1353093.0
2019-09-26,349.713,356.853,347.362,355.235,1260977.0
2019-09-27,354.324,355.932,342.835,345.038,1119632.0
2019-09-28,354.324,355.932,342.835,345.038,1119632.0
2019-09-29,354.324,355.932,342.835,345.038,1119632.0
2019-09-30,346.153,351.917,346.153,348.393,877130.0
2019-10-01,349.49,350.531,341.766,341.886,1047024.0
2019-10-02,340.548,342.588,333.929,336.969,1451081.0
2019-10-03,336.82,339.284,333.946,338.67,839380.0
2019-10-04,339.563,344.062,337.973,342.993,956743.0
2019-10-05,339.563,344.062,337.973,342.993,956743.0
2019-10-06,339.563,344.062,337.973,342.993,956743.0
2019-10-07,342.1,344.963,341.115,342.007,596421.0
2019-10-08,340.223,345.958,338.01,342.491,736276.0
2019-10-09,344.099,345.177,340.237,341.738,1269475.0
2019-10-10,341.645,344.898,340.725,342.779,1006114.0
2019-10-11,346.218,346.218,333.465,336.709,1577558.0
2019-10-12,346.218,346.218,333.465,336.709,1577558.0
2019-10-13,346.218,346.218,333.465,336.709,1577558.0
2019-10-14,337.48,343.29,337.136,340.613,659453.0
2019-10-15,340.511,342.528,335.696,336.449,744900.0
2019-10-16,336.449,339.442,335.863,339.005,555013.0
2019-10-17,338.856,340.232,330.825,331.178,1081685.0
2019-10-18,332.182,332.331,323.249,324.996,2221687.0
2019-10-19,332.182,332.331,323.249,324.996,2221687.0
2019-10-20,332.182,332.331,323.249,324.996,2221687.0
2019-10-21,327.776,329.198,325.182,325.712,1182831.0
2019-10-22,323.026,330.146,322.561,327.562,1204675.0
2019-10-23,327.209,328.854,323.806,328.324,1176152.0
2019-10-24,323.49,334.859,316.24,331.773,1356670.0
2019-10-25,332.396,332.981,320.599,320.702,1613770.0
2019-10-26,332.396,332.981,320.599,320.702,1613770.0
2019-10-27,332.396,332.981,320.599,320.702,1613770.0
2019-10-28,321.389,323.899,320.032,322.124,1401653.0
2019-10-29,322.049,325.498,321.492,322.719,749295.0
2019-10-30,323.537,329.746,322.793,329.142,849476.0
2019-10-31,328.491,330.75,325.675,327.655,839424.0
2019-11-01,328.464,330.89,326.4,327.329,1173977.0
2019-11-02,328.464,330.89,326.4,327.329,1173977.0
2019-11-03,328.464,330.89,326.4,327.329,1173977.0
2019-11-04,328.742,328.742,314.622,316.677,2046959.0
2019-11-05,316.054,319.0,312.281,314.055,2464081.0
2019-11-06,315.292,320.116,314.288,319.791,1218392.0
2019-11-07,319.781,320.999,317.127,319.242,1197261.0
2019-11-08,318.777,325.991,318.777,325.452,833926.0
2019-11-09,318.777,325.991,318.777,325.452,833926.0
2019-11-10,318.777,325.991,318.777,325.452,833926.0
2019-11-11,324.048,326.958,322.951,325.349,559065.0
2019-11-12,324.82,327.841,324.782,326.92,523617.0
2019-11-13,327.636,330.694,325.833,328.807,526503.0
2019-11-14,328.287,332.433,328.287,330.639,627995.0
2019-11-15,333.214,334.487,331.122,331.54,915156.0
2019-11-16,333.214,334.487,331.122,331.54,915156.0
2019-11-17,333.214,334.487,331.122,331.54,915156.0
2019-11-18,330.815,332.949,330.425,331.578,934018.0
2019-11-19,332.535,333.307,327.776,328.64,798834.0
2019-11-20,328.631,331.833,327.608,328.138,785334.0
2019-11-21,327.924,329.091,323.583,323.695,832868.0
2019-11-22,324.587,325.385,322.366,324.569,630499.0
2019-11-23,324.587,325.385,322.366,324.569,630499.0
2019-11-24,324.587,325.385,322.366,324.569,630499.0
2019-11-25,325.656,326.251,324.29,325.117,1034972.0
2019-11-26,325.61,331.503,324.578,328.928,1324235.0
2019-11-27,327.515,330.137,325.944,328.027,619691.0
2019-11-28,327.515,330.137,325.944,328.027,619691.0
2019-11-29,327.504,328.363,325.549,328.223,311162.0
2019-11-30,327.504,328.363,325.549,328.223,311162.0
2019-12-01,327.504,328.363,325.549,328.223,311162.0
2019-12-02,328.223,329.361,318.743,318.855,901371.0
2019-12-03,317.408,321.085,316.059,320.18,1440158.0
2019-12-04,321.673,324.584,320.18,320.236,708868.0
2019-12-05,321.598,322.008,319.023,321.355,803921.0
2019-12-06,322.932,324.845,321.271,321.682,947329.0
2019-12-07,322.932,324.845,321.271,321.682,947329.0
2019-12-08,322.932,324.845,321.271,321.682,947329.0
2019-12-09,321.682,322.475,315.962,320.086,1150411.0
2019-12-10,320.096,323.783,320.096,321.421,1041193.0
2019-12-11,322.587,325.517,321.542,325.368,574479.0
2019-12-12,325.423,326.422,320.982,322.746,737639.0
2019-12-13,321.495,324.238,319.844,321.579,866112.0
2019-12-14,321.495,324.238,319.844,321.579,866112.0
2019-12-15,321.495,324.238,319.844,321.579,866112.0
2019-12-16,321.281,322.55,319.89,321.617,972949.0
2019-12-17,322.279,324.024,320.534,322.69,753683.0
2019-12-18,322.428,323.361,315.748,316.028,1145487.0
2019-12-19,316.112,320.497,315.384,319.303,1460597.0
2019-12-20,320.917,323.044,317.642,322.755,1534626.0
2019-12-21,320.917,323.044,317.642,322.755,1534626.0
2019-12-22,320.917,323.044,317.642,322.755,1534626.0
2019-12-23,325.209,327.411,323.305,324.817,652254.0
2019-12-24,325.47,325.713,322.671,323.847,229396.0
2019-12-25,325.47,325.713,322.671,323.847,229396.0
2019-12-26,324.36,325.619,322.858,324.668,432728.0
2019-12-27,325.172,325.638,322.298,323.249,356850.0
2019-12-28,325.172,325.638,322.298,323.249,356850.0
2019-12-29,325.172,325.638,322.298,323.249,356850.0
2019-12-30,324.425,327.271,323.669,325.703,575521.0
2019-12-31,324.957,325.621,319.788,320.945,907933.0
2020-01-01,324.957,325.621,319.788,320.945,907933.0
2020-01-02,321.383,331.89,320.618,331.89,874958.0
2020-01-03,343.506,350.663,341.845,349.907,2600689.0
2020-01-04,343.506,350.663,341.845,349.907,2600689.0
2020-01-05,343.506,350.663,341.845,349.907,2600689.0
2020-01-06,354.516,356.672,347.64,350.672,2130578.0
2020-01-07,348.61,351.493,346.249,349.87,875462.0
2020-01-08,351.017,353.882,342.526,345.503,1312405.0
2020-01-09,345.755,348.498,344.458,347.434,741723.0
2020-01-10,347.444,349.898,345.008,349.328,1178234.0
2020-01-11,347.444,349.898,345.008,349.328,1178234.0
2020-01-12,347.444,349.898,345.008,349.328,1178234.0
2020-01-13,350.579,352.473,349.72,351.605,668067.0
2020-01-14,350.644,351.001,348.106,349.59,740595.0
2020-01-15,349.599,356.222,349.599,354.806,650657.0
2020-01-16,356.065,358.864,354.162,358.09,839062.0
2020-01-17,358.93,358.93,352.967,354.535,1237734.0
2020-01-18,358.93,358.93,352.967,354.535,1237734.0
2020-01-19,358.93,358.93,352.967,354.535,1237734.0
2020-01-20,358.93,358.93,352.967,354.535,1237734.0
2020-01-21,353.984,355.673,348.927,352.818,1420863.0
2020-01-22,353.163,354.88,350.103,350.196,864257.0
2020-01-23,350.644,356.093,349.674,355.963,1099446.0
2020-01-24,357.381,358.463,354.75,356.093,738008.0
2020-01-25,357.381,358.463,354.75,356.093,738008.0
2020-01-26,357.381,358.463,354.75,356.093,738008.0
2020-01-27,353.033,355.487,350.625,353.695,665308.0
2020-01-28,355.029,358.277,349.17,356.28,674463.0
2020-01-29,358.743,358.743,352.827,357.036,639823.0
2020-01-30,348.125,359.233,344.467,359.107,1397519.0
2020-01-31,357.67,358.602,347.173,349.496,1086568.0
2020-02-01,357.67,358.602,347.173,349.496,1086568.0
2020-02-02,357.67,358.602,347.173,349.496,1086568.0
2020-02-03,342.741,345.232,338.477,339.401,1316256.0
2020-02-04,342.088,343.273,335.902,337.591,1054419.0
2020-02-05,338.309,344.197,334.782,343.18,815258.0
2020-02-06,342.172,342.172,338.234,339.401,860033.0
2020-02-07,339.055,341.659,336.947,337.227,790321.0
2020-02-08,339.055,341.659,336.947,337.227,790321.0
2020-02-09,339.055,341.659,336.947,337.227,790321.0
2020-02-10,336.881,339.662,333.681,338.972,716764.0
2020-02-11,340.157,347.08,339.457,343.404,697646.0
2020-02-12,343.002,344.514,339.615,343.114,935444.0
2020-02-13,342.153,345.671,340.604,343.366,848566.0
2020-02-14,344.131,346.763,342.443,346.109,635087.0
2020-02-15,344.131,346.763,342.443,346.109,635087.0
2020-02-16,344.131,346.763,342.443,346.109,635087.0
2020-02-17,344.131,346.763,342.443,346.109,635087.0
2020-02-18,343.086,347.696,341.267,347.49,810889.0
2020-02-19,348.237,349.328,341.463,341.64,864665.0
2020-02-20,340.828,343.012,336.396,338.934,995296.0
2020-02-21,337.745,342.68,335.282,341.819,880309.0
2020-02-22,337.745,342.68,335.282,341.819,880309.0
2020-02-23,337.745,342.68,335.282,341.819,880309.0
2020-02-24,335.245,342.605,334.996,336.556,997495.0
2020-02-25,338.129,338.471,317.255,318.37,1459067.0
2020-02-26,320.739,325.093,313.069,313.078,934426.0
2020-02-27,308.555,316.328,304.351,310.503,2054478.0
2020-02-28,299.668,308.864,294.031,307.947,2921170.0
2020-02-29,299.668,308.864,294.031,307.947,2921170.0
2020-03-01,299.668,308.864,294.031,307.947,2921170.0
2020-03-02,309.464,315.523,301.41,314.642,1547061.0
2020-03-03,314.642,325.796,308.106,308.452,1207954.0
2020-03-04,314.249,325.88,309.52,324.925,1193710.0
2020-03-05,317.911,320.299,305.156,306.954,1214057.0
2020-03-06,299.032,310.812,295.773,308.059,1361290.0
2020-03-07,299.032,310.812,295.773,308.059,1361290.0
2020-03-08,299.032,310.812,295.773,308.059,1361290.0
2020-03-09,287.438,300.357,262.21,293.375,1355483.0
2020-03-10,304.06,313.846,301.195,313.612,1826739.0
2020-03-11,304.772,309.365,292.055,297.655,1484375.0
2020-03-12,278.12,289.33,270.882,272.043,2525949.0
2020-03-13,284.367,295.59,271.19,294.518,2307453.0
2020-03-14,284.367,295.59,271.19,294.518,2307453.0
2020-03-15,284.367,295.59,271.19,294.518,2307453.0
2020-03-16,257.144,281.346,257.144,264.635,1520192.0
2020-03-17,270.039,299.565,269.308,299.041,2113402.0
2020-03-18,281.885,305.142,279.637,302.478,1779423.0
2020-03-19,300.745,302.468,271.116,278.045,1711637.0
2020-03-20,281.819,282.03,257.317,265.974,1768558.0
2020-03-21,281.819,282.03,257.317,265.974,1768558.0
2020-03-22,281.819,282.03,257.317,265.974,1768558.0
2020-03-23,263.006,265.253,246.58,252.714,1497432.0
2020-03-24,262.444,265.956,255.308,263.408,1655312.0
2020-03-25,263.886,282.793,261.273,270.039,1615682.0
2020-03-26,272.164,301.466,272.164,300.783,1425505.0
2020-03-27,292.074,298.516,282.437,292.317,1504802.0
2020-03-28,292.074,298.516,282.437,292.317,1504802.0
2020-03-29,292.074,298.516,282.437,292.317,1504802.0
2020-03-30,297.243,302.403,289.236,293.787,1261675.0
2020-03-31,289.526,291.24,281.295,283.327,1981613.0
2020-04-01,275.18,290.294,272.15,287.485,1226512.0
2020-04-02,282.718,294.733,282.519,294.321,1061932.0
2020-04-03,293.956,295.501,290.592,293.684,834905.0
2020-04-04,293.956,295.501,290.592,293.684,834905.0
2020-04-05,293.956,295.501,290.592,293.684,834905.0
2020-04-06,299.668,313.969,299.2,311.215,1047726.0
2020-04-07,320.935,321.497,304.313,304.838,1098680.0
2020-04-08,309.323,315.242,306.298,308.724,919018.0
2020-04-09,313.35,317.578,309.642,315.26,1115830.0
2020-04-10,313.35,317.578,309.642,315.26,1115830.0
2020-04-11,313.35,317.578,309.642,315.26,1115830.0
2020-04-12,313.35,317.578,309.642,315.26,1115830.0
2020-04-13,315.317,319.84,312.91,317.321,639374.0
2020-04-14,322.808,329.635,320.271,326.629,639054.0
2020-04-15,324.035,324.119,315.129,322.415,712310.0
2020-04-16,321.76,326.212,320.57,324.241,879716.0
2020-04-17,331.143,334.43,324.953,333.662,1237006.0
2020-04-18,331.143,334.43,324.953,333.662,1237006.0
2020-04-19,331.143,334.43,324.953,333.662,1237006.0
2020-04-20,331.19,331.864,321.685,322.059,695660.0
2020-04-21,319.287,324.569,311.177,312.479,813392.0
2020-04-22,317.62,321.717,313.683,320.28,676275.0
2020-04-23,320.242,322.143,314.277,314.493,1104484.0
2020-04-24,316.525,319.184,310.906,317.751,560444.0
2020-04-25,316.525,319.184,310.906,317.751,560444.0
2020-04-26,316.525,319.184,310.906,317.751,560444.0
2020-04-27,320.233,324.742,318.866,322.902,764542.0
2020-04-28,327.079,329.092,320.865,322.64,696147.0
2020-04-29,311.421,325.103,300.727,310.747,2044464.0
2020-04-30,306.748,310.822,302.459,309.66,1137375.0
2020-05-01,306.186,309.264,303.667,307.216,849724.0
2020-05-02,306.186,309.264,303.667,307.216,849724.0
