,INTU US Equity,INTU US Equity,INTU US Equity,INTU US Equity,INTU US Equity
2019-02-08,211.795,217.203,211.335,217.125,1400610.0
2019-02-09,211.795,217.203,211.335,217.125,1400610.0
2019-02-10,211.795,217.203,211.335,217.125,1400610.0
2019-02-11,219.057,219.53,216.961,217.743,1472858.0
2019-02-12,219.781,221.404,218.072,221.114,1394948.0
2019-02-13,222.118,222.601,220.322,220.756,1133054.0
2019-02-14,219.849,223.47,218.748,222.871,1356398.0
2019-02-15,225.344,225.719,223.383,225.324,1142467.0
2019-02-16,225.344,225.719,223.383,225.324,1142467.0
2019-02-17,225.344,225.719,223.383,225.324,1142467.0
2019-02-18,225.344,225.719,223.383,225.324,1142467.0
2019-02-19,225.363,226.725,224.639,226.59,1398782.0
2019-02-20,227.661,228.362,225.711,227.884,1904415.0
2019-02-21,226.976,228.647,224.982,226.976,2289152.0
2019-02-22,228.608,242.949,228.608,242.341,3334050.0
2019-02-23,228.608,242.949,228.608,242.341,3334050.0
2019-02-24,228.608,242.949,228.608,242.341,3334050.0
2019-02-25,238.632,241.104,236.719,239.231,2876918.0
2019-02-26,237.86,240.771,237.0,240.38,1306854.0
2019-02-27,239.067,241.307,238.033,241.288,1524777.0
2019-02-28,240.805,241.829,238.42,238.661,1677818.0
2019-03-01,241.433,243.384,240.11,241.829,1943127.0
2019-03-02,241.433,243.384,240.11,241.829,1943127.0
2019-03-03,241.433,243.384,240.11,241.829,1943127.0
2019-03-04,242.09,243.557,236.633,240.467,1447404.0
2019-03-05,239.685,240.313,237.464,238.623,1357493.0
2019-03-06,238.864,240.506,236.334,238.449,800417.0
2019-03-07,237.734,238.99,235.89,237.019,960653.0
2019-03-08,234.499,237.642,231.785,237.454,1080590.0
2019-03-09,234.499,237.642,231.785,237.454,1080590.0
2019-03-10,234.499,237.642,231.785,237.454,1080590.0
2019-03-11,238.98,242.147,238.082,241.954,1467724.0
2019-03-12,241.196,243.248,239.888,241.723,1326197.0
2019-03-13,242.485,246.995,242.485,244.958,1374063.0
2019-03-14,244.291,248.106,244.224,247.971,1497486.0
2019-03-15,247.71,250.955,247.478,249.284,3495265.0
2019-03-16,247.71,250.955,247.478,249.284,3495265.0
2019-03-17,247.71,250.955,247.478,249.284,3495265.0
2019-03-18,249.4,250.849,247.633,248.888,1427043.0
2019-03-19,249.757,250.361,245.856,247.285,1477244.0
2019-03-20,247.401,248.84,245.228,247.218,1129009.0
2019-03-21,245.904,251.776,245.904,251.689,1176951.0
2019-03-22,249.506,250.742,243.818,244.021,1544864.0
2019-03-23,249.506,250.742,243.818,244.021,1544864.0
2019-03-24,249.506,250.742,243.818,244.021,1544864.0
2019-03-25,243.712,245.402,242.128,245.132,1525923.0
2019-03-26,246.899,248.685,245.566,247.218,916903.0
2019-03-27,248.888,249.41,244.456,246.628,966812.0
2019-03-28,247.758,250.839,246.435,250.337,1285889.0
2019-03-29,251.322,252.664,250.104,252.452,1418268.0
2019-03-30,251.322,252.664,250.104,252.452,1418268.0
2019-03-31,251.322,252.664,250.104,252.452,1418268.0
2019-04-01,255.455,257.194,252.365,256.643,1245785.0
2019-04-02,259.907,259.951,255.745,259.067,1255781.0
2019-04-03,260.97,262.814,259.222,259.859,1957122.0
2019-04-04,260.12,260.68,249.748,253.63,1945559.0
2019-04-05,254.393,255.59,252.046,252.732,1119848.0
2019-04-06,254.393,255.59,252.046,252.732,1119848.0
2019-04-07,254.393,255.59,252.046,252.732,1119848.0
2019-04-08,252.828,253.287,248.792,251.824,1630468.0
2019-04-09,250.015,252.719,250.015,250.479,1019934.0
2019-04-10,251.466,252.511,249.347,250.663,2061506.0
2019-04-11,252.259,252.262,250.295,251.147,1329703.0
2019-04-12,252.443,253.324,249.884,251.601,2117716.0
2019-04-13,252.443,253.324,249.884,251.601,2117716.0
2019-04-14,252.443,253.324,249.884,251.601,2117716.0
2019-04-15,252.017,253.043,251.243,252.395,1595824.0
2019-04-16,253.285,253.585,247.809,249.599,1043407.0
2019-04-17,251.273,251.592,246.851,247.935,1803706.0
2019-04-18,249.821,249.821,246.319,249.386,1370908.0
2019-04-19,249.821,249.821,246.319,249.386,1370908.0
2019-04-20,249.821,249.821,246.319,249.386,1370908.0
2019-04-21,249.821,249.821,246.319,249.386,1370908.0
2019-04-22,247.78,253.246,247.509,253.082,1068895.0
2019-04-23,253.498,257.755,253.498,257.039,1520428.0
2019-04-24,257.745,258.645,255.278,255.452,1025861.0
2019-04-25,255.423,255.791,251.969,255.259,987214.0
2019-04-26,238.405,245.603,230.544,245.332,5424309.0
2019-04-27,238.405,245.603,230.544,245.332,5424309.0
2019-04-28,238.405,245.603,230.544,245.332,5424309.0
2019-04-29,244.549,246.9,238.086,239.672,2419506.0
2019-04-30,240.301,243.523,239.624,242.894,1480870.0
2019-05-01,244.278,244.452,235.652,235.919,1372102.0
2019-05-02,235.677,239.837,235.203,237.95,1463373.0
2019-05-03,238.105,242.043,238.037,240.766,1202928.0
2019-05-04,238.105,242.043,238.037,240.766,1202928.0
2019-05-05,238.105,242.043,238.037,240.766,1202928.0
2019-05-06,236.073,240.843,235.609,240.398,854920.0
2019-05-07,237.031,238.99,233.752,236.46,1439471.0
2019-05-08,235.503,237.95,234.051,236.18,2088914.0
2019-05-09,233.926,235.212,229.987,233.452,1646342.0
2019-05-10,232.736,237.612,229.93,236.673,1407865.0
2019-05-11,232.736,237.612,229.93,236.673,1407865.0
2019-05-12,232.736,237.612,229.93,236.673,1407865.0
2019-05-13,230.201,233.268,228.353,229.224,1256416.0
2019-05-14,230.656,235.435,230.356,233.152,1704767.0
2019-05-15,231.768,236.441,231.265,235.232,985618.0
2019-05-16,236.064,241.298,236.064,239.498,1044505.0
2019-05-17,237.612,241.636,237.157,237.467,1294008.0
2019-05-18,237.612,241.636,237.157,237.467,1294008.0
2019-05-19,237.612,241.636,237.157,237.467,1294008.0
2019-05-20,234.777,237.341,232.805,235.764,957407.0
2019-05-21,237.767,239.097,236.112,238.076,979635.0
2019-05-22,236.857,240.03,236.857,239.479,865698.0
2019-05-23,237.109,238.621,232.329,233.461,1552149.0
2019-05-24,243.068,249.995,240.563,249.105,2702983.0
2019-05-25,243.068,249.995,240.563,249.105,2702983.0
2019-05-26,243.068,249.995,240.563,249.105,2702983.0
2019-05-27,243.068,249.995,240.563,249.105,2702983.0
2019-05-28,248.06,250.827,245.903,247.383,3059705.0
2019-05-29,245.7,247.257,240.495,241.501,1675209.0
2019-05-30,241.869,243.31,237.863,240.011,1154681.0
2019-05-31,237.225,238.637,235.667,236.886,1361988.0
2019-06-01,237.225,238.637,235.667,236.886,1361988.0
2019-06-02,237.225,238.637,235.667,236.886,1361988.0
2019-06-03,237.225,240.474,229.05,230.327,1638609.0
2019-06-04,233.21,239.266,230.046,239.063,1664347.0
2019-06-05,241.298,244.268,240.234,243.92,1130208.0
2019-06-06,244.616,246.106,241.975,244.965,1055600.0
2019-06-07,245.768,252.124,245.555,249.096,1222003.0
2019-06-08,245.768,252.124,245.555,249.096,1222003.0
2019-06-09,245.768,252.124,245.555,249.096,1222003.0
2019-06-10,251.408,255.384,250.798,252.046,1157411.0
2019-06-11,254.252,255.413,246.658,248.38,1209395.0
2019-06-12,248.37,250.382,247.325,249.018,825863.0
2019-06-13,250.392,250.958,247.654,248.825,1756323.0
2019-06-14,248.031,248.97,245.69,245.864,1234221.0
2019-06-15,248.031,248.97,245.69,245.864,1234221.0
2019-06-16,248.031,248.97,245.69,245.864,1234221.0
2019-06-17,245.768,247.906,245.11,246.454,1282387.0
2019-06-18,248.941,250.915,247.814,249.821,1216295.0
2019-06-19,250.856,254.818,249.657,254.107,1032761.0
2019-06-20,257.155,259.699,255.404,257.987,1750592.0
2019-06-21,259.128,259.351,252.966,253.004,1856866.0
2019-06-22,259.128,259.351,252.966,253.004,1856866.0
2019-06-23,259.128,259.351,252.966,253.004,1856866.0
2019-06-24,254.514,255.529,252.869,253.807,1188560.0
2019-06-25,254.156,254.156,248.307,249.115,1015403.0
2019-06-26,250.856,252.017,248.041,248.157,1293461.0
2019-06-27,249.28,250.769,247.78,249.599,1459590.0
2019-06-28,249.705,253.488,249.367,252.83,1479175.0
2019-06-29,249.705,253.488,249.367,252.83,1479175.0
2019-06-30,249.705,253.488,249.367,252.83,1479175.0
2019-07-01,257.377,258.296,254.804,255.607,979034.0
2019-07-02,256.536,257.697,254.156,257.668,720167.0
2019-07-03,259.186,261.963,257.126,261.383,774657.0
2019-07-04,259.186,261.963,257.126,261.383,774657.0
2019-07-05,260.251,262.021,256.574,261.741,895216.0
2019-07-06,260.251,262.021,256.574,261.741,895216.0
2019-07-07,260.251,262.021,256.574,261.741,895216.0
2019-07-08,260.696,262.486,259.08,262.311,863841.0
2019-07-09,261.594,262.515,260.567,262.331,1135629.0
2019-07-10,264.637,267.409,264.288,266.333,1132190.0
2019-07-11,267.438,270.2,265.713,269.638,1867353.0
2019-07-12,269.822,273.146,269.648,272.962,1199733.0
2019-07-13,269.822,273.146,269.648,272.962,1199733.0
2019-07-14,269.822,273.146,269.648,272.962,1199733.0
2019-07-15,273.301,274.038,271.363,273.835,990786.0
2019-07-16,272.817,274.222,271.993,272.216,1155959.0
2019-07-17,272.235,273.66,271.47,271.974,797079.0
2019-07-18,271.344,274.3,270.423,274.154,1224029.0
2019-07-19,275.773,275.773,270.045,270.704,1599081.0
2019-07-20,275.773,275.773,270.045,270.704,1599081.0
2019-07-21,275.773,275.773,270.045,270.704,1599081.0
2019-07-22,271.761,273.776,270.554,272.478,723524.0
2019-07-23,273.592,274.348,269.696,273.205,1245838.0
2019-07-24,272.497,273.922,271.082,272.681,1414323.0
2019-07-25,271.344,273.718,270.549,272.914,868394.0
2019-07-26,273.457,276.18,272.768,275.017,788656.0
2019-07-27,273.457,276.18,272.768,275.017,788656.0
2019-07-28,273.457,276.18,272.768,275.017,788656.0
2019-07-29,275.521,276.093,270.898,272.672,1267414.0
2019-07-30,270.859,273.146,269.783,270.995,767097.0
2019-07-31,270.171,272.662,266.668,268.756,1147577.0
2019-08-01,270.016,274.765,268.524,269.386,1272594.0
2019-08-02,269.473,270.055,264.756,266.168,1494511.0
2019-08-03,269.473,270.055,264.756,266.168,1494511.0
2019-08-04,269.473,270.055,264.756,266.168,1494511.0
2019-08-05,260.683,261.42,253.86,255.401,1774454.0
2019-08-06,258.512,262.295,256.7,261.759,1201863.0
2019-08-07,257.669,261.177,255.663,260.286,1221782.0
2019-08-08,262.505,268.291,262.282,268.165,1106996.0
2019-08-09,267.564,270.22,266.043,268.039,1279161.0
2019-08-10,267.564,270.22,266.043,268.039,1279161.0
2019-08-11,267.564,270.22,266.043,268.039,1279161.0
2019-08-12,266.256,267.7,263.116,264.24,968164.0
2019-08-13,263.978,270.917,263.484,270.539,1256891.0
2019-08-14,266.43,267.806,259.074,259.627,1239300.0
2019-08-15,261.284,262.34,257.679,260.16,1246408.0
2019-08-16,262.902,265.975,260.858,262.602,1062619.0
2019-08-17,262.902,265.975,260.858,262.602,1062619.0
2019-08-18,262.902,265.975,260.858,262.602,1062619.0
2019-08-19,266.498,267.448,263.271,265.771,1221994.0
2019-08-20,264.792,266.139,262.854,264.424,1062237.0
2019-08-21,266.876,269.26,266.072,267.719,925413.0
2019-08-22,268.456,269.425,263.222,267.205,1561150.0
2019-08-23,281.413,286.652,269.415,270.142,3381997.0
2019-08-24,281.413,286.652,269.415,270.142,3381997.0
2019-08-25,281.413,286.652,269.415,270.142,3381997.0
2019-08-26,271.363,274.174,267.109,274.048,2004561.0
2019-08-27,274.368,276.199,272.681,274.474,1778042.0
2019-08-28,272.41,274.251,265.354,273.243,1482216.0
2019-08-29,275.986,279.696,274.61,278.089,1209685.0
2019-08-30,278.39,280.076,275.211,279.465,1080051.0
2019-08-31,278.39,280.076,275.211,279.465,1080051.0
2019-09-01,278.39,280.076,275.211,279.465,1080051.0
2019-09-02,278.39,280.076,275.211,279.465,1080051.0
2019-09-03,276.509,280.086,273.437,275.434,1399733.0
2019-09-04,276.81,277.566,272.933,277.479,945627.0
2019-09-05,280.425,283.894,278.302,283.293,1092510.0
2019-09-06,284.34,284.408,278.37,278.923,1298923.0
2019-09-07,284.34,284.408,278.37,278.923,1298923.0
2019-09-08,284.34,284.408,278.37,278.923,1298923.0
2019-09-09,279.872,279.872,265.146,267.39,2141567.0
2019-09-10,265.354,266.043,255.74,259.307,2095335.0
2019-09-11,259.443,261.497,256.845,257.921,1306683.0
2019-09-12,260.218,262.835,259.084,259.976,1329497.0
2019-09-13,259.065,261.681,256.536,257.039,1031044.0
2019-09-14,259.065,261.681,256.536,257.039,1031044.0
2019-09-15,259.065,261.681,256.536,257.039,1031044.0
2019-09-16,254.703,258.987,253.613,257.621,803001.0
2019-09-17,257.63,260.412,257.33,260.257,941791.0
2019-09-18,261.08,261.08,255.685,259.995,853065.0
2019-09-19,260.47,264.017,260.329,261.691,907219.0
2019-09-20,261.652,264.492,259.21,260.877,1657967.0
2019-09-21,261.652,264.492,259.21,260.877,1657967.0
2019-09-22,261.652,264.492,259.21,260.877,1657967.0
2019-09-23,260.111,262.631,259.937,260.702,829943.0
2019-09-24,262.408,263.285,255.866,256.68,1238185.0
2019-09-25,256.177,258.861,252.314,258.212,988916.0
2019-09-26,258.842,262.282,258.202,261.4,1186175.0
2019-09-27,262.951,262.951,251.263,255.072,1020108.0
2019-09-28,262.951,262.951,251.263,255.072,1020108.0
2019-09-29,262.951,262.951,251.263,255.072,1020108.0
2019-09-30,255.372,259.026,254.316,257.737,1150963.0
2019-10-01,259.433,259.995,255.256,256.147,1395754.0
2019-10-02,255.091,255.091,247.59,252.416,1404083.0
2019-10-03,251.428,255.411,247.532,254.888,1289633.0
2019-10-04,255.905,259.569,253.928,258.851,1319605.0
2019-10-05,255.905,259.569,253.928,258.851,1319605.0
2019-10-06,255.905,259.569,253.928,258.851,1319605.0
2019-10-07,256.729,259.83,256.69,258.532,1563672.0
2019-10-08,257.146,257.989,252.94,252.94,1349012.0
2019-10-09,255.28,257.465,254.794,256.377,868967.0
2019-10-10,254.785,261.175,254.785,259.805,1257326.0
2019-10-11,262.593,265.904,261.641,262.272,1072306.0
2019-10-12,262.593,265.904,261.641,262.272,1072306.0
2019-10-13,262.593,265.904,261.641,262.272,1072306.0
2019-10-14,262.194,263.816,261.136,261.291,1029197.0
2019-10-15,262.262,266.195,261.33,265.603,1048681.0
2019-10-16,263.68,263.843,258.135,261.379,1069575.0
2019-10-17,262.058,262.971,256.115,258.834,888719.0
2019-10-18,259.941,259.941,253.017,254.892,1551769.0
2019-10-19,259.941,259.941,253.017,254.892,1551769.0
2019-10-20,259.941,259.941,253.017,254.892,1551769.0
2019-10-21,256.844,256.863,251.109,254.629,1051767.0
2019-10-22,253.212,255.94,245.87,246.015,1502905.0
2019-10-23,246.015,251.493,245.248,248.579,1242489.0
2019-10-24,249.706,253.309,248.453,251.425,1081877.0
2019-10-25,251.648,252.765,249.288,250.23,1185771.0
2019-10-26,251.648,252.765,249.288,250.23,1185771.0
2019-10-27,251.648,252.765,249.288,250.23,1185771.0
2019-10-28,251.726,252.065,248.871,251.143,1027128.0
2019-10-29,251.026,253.551,250.502,251.026,953199.0
2019-10-30,252.26,254.115,250.779,252.775,1665760.0
2019-10-31,252.629,254.018,249.715,250.065,890134.0
2019-11-01,252.405,253.347,248.841,249.075,1108738.0
2019-11-02,252.405,253.347,248.841,249.075,1108738.0
2019-11-03,252.405,253.347,248.841,249.075,1108738.0
2019-11-04,250.716,251.143,246.452,246.724,1410867.0
2019-11-05,247.055,248.244,243.18,245.85,1918927.0
2019-11-06,245.938,247.958,244.714,246.103,1430590.0
2019-11-07,245.695,253.435,245.491,251.862,1401409.0
2019-11-08,251.056,252.017,248.065,249.434,1357206.0
2019-11-09,251.056,252.017,248.065,249.434,1357206.0
2019-11-10,251.056,252.017,248.065,249.434,1357206.0
2019-11-11,248.268,251.91,248.094,250.58,963916.0
2019-11-12,251.182,254.794,250.551,252.473,1227771.0
2019-11-13,252.279,255.338,251.522,254.192,1340649.0
2019-11-14,253.891,257.319,253.027,257.135,974351.0
2019-11-15,258.66,259.194,256.241,258.368,1484322.0
2019-11-16,258.66,259.194,256.241,258.368,1484322.0
2019-11-17,258.66,259.194,256.241,258.368,1484322.0
2019-11-18,259.252,260.971,256.411,260.65,1945172.0
2019-11-19,262.058,264.647,260.223,264.399,1334157.0
2019-11-20,263.573,266.662,262.729,265.584,1448969.0
2019-11-21,267.167,267.74,261.767,263.321,1308102.0
2019-11-22,260.184,262.204,247.88,252.308,4071842.0
2019-11-23,260.184,262.204,247.88,252.308,4071842.0
2019-11-24,260.184,262.204,247.88,252.308,4071842.0
2019-11-25,253.328,253.474,248.937,249.647,2428594.0
2019-11-26,249.978,258.805,249.58,258.203,2081542.0
2019-11-27,259.563,259.864,253.163,254.581,1164185.0
2019-11-28,259.563,259.864,253.163,254.581,1164185.0
2019-11-29,253.794,254.843,250.881,251.415,721546.0
2019-11-30,253.794,254.843,250.881,251.415,721546.0
2019-12-01,253.794,254.843,250.881,251.415,721546.0
2019-12-02,251.629,252.425,245.356,249.143,1486354.0
2019-12-03,245.88,248.968,245.073,246.355,1547611.0
2019-12-04,247.997,248.201,245.637,246.909,1526053.0
2019-12-05,247.424,248.298,244.879,246.452,1248683.0
2019-12-06,247.414,248.89,246.404,248.783,1029460.0
2019-12-07,247.414,248.89,246.404,248.783,1029460.0
2019-12-08,247.414,248.89,246.404,248.783,1029460.0
2019-12-09,248.608,249.463,248.035,248.385,1097942.0
2019-12-10,248.676,249.453,244.86,245.035,975429.0
2019-12-11,246.802,248.23,240.64,244.627,1588910.0
2019-12-12,244.112,248.307,242.804,245.452,1102316.0
2019-12-13,245.268,253.134,242.811,252.143,1965220.0
2019-12-14,245.268,253.134,242.811,252.143,1965220.0
2019-12-15,245.268,253.134,242.811,252.143,1965220.0
2019-12-16,253.25,256.494,253.221,255.892,1948503.0
2019-12-17,257.349,257.349,251.658,252.881,1778679.0
2019-12-18,253.726,256.63,252.493,255.6,1453357.0
2019-12-19,255.445,256.921,254.794,256.426,1352866.0
2019-12-20,258.164,259.747,256.795,259.388,2367759.0
2019-12-21,258.164,259.747,256.795,259.388,2367759.0
2019-12-22,258.164,259.747,256.795,259.388,2367759.0
2019-12-23,260.291,261.184,258.533,258.592,1411524.0
2019-12-24,258.902,259.495,256.659,256.698,417130.0
2019-12-25,258.902,259.495,256.659,256.698,417130.0
2019-12-26,256.805,260.165,256.746,259.165,691607.0
2019-12-27,259.737,259.737,256.848,259.349,637958.0
2019-12-28,259.737,259.737,256.848,259.349,637958.0
2019-12-29,259.737,259.737,256.848,259.349,637958.0
2019-12-30,259.446,260.145,254.843,255.251,995492.0
2019-12-31,255.115,256.426,252.842,254.367,1007868.0
2020-01-01,255.115,256.426,252.842,254.367,1007868.0
2020-01-02,253.542,258.902,253.542,258.475,1124553.0
2020-01-03,254.056,257.708,253.891,256.746,798549.0
2020-01-04,254.056,257.708,253.891,256.746,798549.0
2020-01-05,254.056,257.708,253.891,256.746,798549.0
2020-01-06,254.328,258.931,254.212,258.718,1026070.0
2020-01-07,259.106,259.796,257.688,258.776,915301.0
2020-01-08,260.262,266.836,259.097,265.001,1373995.0
2020-01-09,266.606,269.788,266.188,267.482,1076304.0
2020-01-10,269.029,269.039,266.438,267.823,1127384.0
2020-01-11,269.029,269.039,266.438,267.823,1127384.0
2020-01-12,269.029,269.039,266.438,267.823,1127384.0
2020-01-13,268.874,270.352,267.414,268.591,1697645.0
2020-01-14,268.192,268.849,264.748,265.322,1216418.0
2020-01-15,266.431,268.63,265.254,265.633,1147275.0
2020-01-16,267.229,269.418,265.935,269.399,834723.0
2020-01-17,270.975,275.364,268.893,275.218,2172694.0
2020-01-18,270.975,275.364,268.893,275.218,2172694.0
2020-01-19,270.975,275.364,268.893,275.218,2172694.0
2020-01-20,270.975,275.364,268.893,275.218,2172694.0
2020-01-21,274.206,277.563,273.943,277.319,1635982.0
2020-01-22,278.409,283.624,278.166,282.681,2611185.0
2020-01-23,281.912,284.777,280.581,280.793,1659492.0
2020-01-24,282.175,285.094,279.509,280.306,1089872.0
2020-01-25,282.175,285.094,279.509,280.306,1089872.0
2020-01-26,282.175,285.094,279.509,280.306,1089872.0
2020-01-27,273.885,278.258,273.427,276.103,881215.0
2020-01-28,276.736,280.744,275.305,280.384,840913.0
2020-01-29,281.532,281.918,276.23,278.205,858242.0
2020-01-30,276.521,279.1,274.828,278.896,785018.0
2020-01-31,278.088,278.75,272.201,272.814,1268822.0
2020-02-01,278.088,278.75,272.201,272.814,1268822.0
2020-02-02,278.088,278.75,272.201,272.814,1268822.0
2020-02-03,275.918,278.057,273.87,275.169,1042038.0
2020-02-04,279.411,284.899,276.774,283.07,1345944.0
2020-02-05,290.757,290.757,278.881,281.99,1060714.0
2020-02-06,283.975,286.393,281.99,286.271,1000690.0
2020-02-07,285.259,287.789,283.245,286.758,921683.0
2020-02-08,285.259,287.789,283.245,286.758,921683.0
2020-02-09,285.259,287.789,283.245,286.758,921683.0
2020-02-10,287.088,289.978,286.153,289.706,1139831.0
2020-02-11,291.808,291.866,288.499,288.908,903545.0
2020-02-12,288.986,290.805,286.68,290.591,792310.0
2020-02-13,289.268,292.44,288.84,289.803,721233.0
2020-02-14,290.504,296.225,289.433,296.079,855339.0
2020-02-15,290.504,296.225,289.433,296.079,855339.0
2020-02-16,290.504,296.225,289.433,296.079,855339.0
2020-02-17,290.504,296.225,289.433,296.079,855339.0
2020-02-18,295.748,296.604,293.87,295.378,888254.0
2020-02-19,297.256,298.609,296.181,297.363,791673.0
2020-02-20,296.176,297.928,289.463,293.111,900984.0
2020-02-21,292.489,295.787,287.4,289.54,1173734.0
2020-02-22,292.489,295.787,287.4,289.54,1173734.0
2020-02-23,292.489,295.787,287.4,289.54,1173734.0
2020-02-24,280.657,284.797,270.508,278.701,1996775.0
2020-02-25,289.521,293.501,275.918,277.115,3430555.0
2020-02-26,278.555,283.08,271.146,272.532,2449411.0
2020-02-27,266.859,271.073,261.158,261.518,2246687.0
2020-02-28,252.614,258.939,248.693,258.676,2899411.0
2020-02-29,252.614,258.939,248.693,258.676,2899411.0
2020-03-01,252.614,258.939,248.693,258.676,2899411.0
2020-03-02,259.523,273.739,256.614,273.593,2520507.0
2020-03-03,273.379,276.979,257.051,261.002,2015378.0
2020-03-04,266.82,278.789,263.22,277.845,2551248.0
2020-03-05,268.689,282.389,267.716,279.431,2418765.0
2020-03-06,268.99,274.206,260.905,268.728,1913953.0
2020-03-07,268.99,274.206,260.905,268.728,1913953.0
2020-03-08,268.99,274.206,260.905,268.728,1913953.0
2020-03-09,251.291,261.96,243.254,253.023,2138558.0
2020-03-10,262.821,262.821,251.009,262.384,2541533.0
2020-03-11,256.798,259.1,249.17,254.074,1848676.0
2020-03-12,238.477,251.019,229.593,231.519,3430282.0
2020-03-13,243.254,254.346,228.659,254.2,2399244.0
2020-03-14,243.254,254.346,228.659,254.2,2399244.0
2020-03-15,243.254,254.346,228.659,254.2,2399244.0
2020-03-16,225.74,238.379,216.379,217.401,2642653.0
2020-03-17,222.344,234.283,210.347,232.716,2901287.0
2020-03-18,219.941,226.002,209.267,218.997,2103296.0
2020-03-19,218.306,218.919,204.839,210.064,2340851.0
2020-03-20,211.855,213.309,194.01,196.394,3858422.0
2020-03-21,211.855,213.309,194.01,196.394,3858422.0
2020-03-22,211.855,213.309,194.01,196.394,3858422.0
2020-03-23,196.88,196.88,182.611,189.466,3415574.0
2020-03-24,200.597,229.204,198.826,227.511,3329643.0
2020-03-25,223.58,234.244,217.508,226.304,2505255.0
2020-03-26,228.221,242.933,222.344,241.687,2245842.0
2020-03-27,233.524,240.86,220.563,223.492,2143728.0
2020-03-28,233.524,240.86,220.563,223.492,2143728.0
2020-03-29,233.524,240.86,220.563,223.492,2143728.0
2020-03-30,230.595,233.954,226.937,231.626,1321092.0
2020-03-31,229.914,231.987,223.424,223.794,1699255.0
2020-04-01,218.004,222.67,210.24,212.234,1646977.0
2020-04-02,210.269,222.178,209.734,219.143,1584448.0
2020-04-03,217.81,219.143,210.95,212.497,1553803.0
2020-04-04,217.81,219.143,210.95,212.497,1553803.0
2020-04-05,217.81,219.143,210.95,212.497,1553803.0
2020-04-06,225.477,235.168,221.04,233.641,2535593.0
2020-04-07,240.938,242.262,232.57,233.29,1466226.0
2020-04-08,234.944,241.172,233.894,239.294,1223245.0
2020-04-09,240.669,248.596,239.752,245.827,1646857.0
2020-04-10,240.669,248.596,239.752,245.827,1646857.0
2020-04-11,240.669,248.596,239.752,245.827,1646857.0
2020-04-12,240.669,248.596,239.752,245.827,1646857.0
2020-04-13,244.472,246.48,238.475,243.867,1298871.0
2020-04-14,250.781,255.822,246.373,254.818,1817931.0
2020-04-15,250.556,251.063,244.491,245.691,1198795.0
2020-04-16,249.776,253.014,245.574,251.034,1087735.0
2020-04-17,258.143,260.678,252.565,258.757,1423658.0
2020-04-18,258.143,260.678,252.565,258.757,1423658.0
2020-04-19,258.143,260.678,252.565,258.757,1423658.0
2020-04-20,254.008,261.253,253.852,257.431,1297402.0
2020-04-21,253.023,254.389,240.288,242.951,1525759.0
2020-04-22,248.567,259.293,245.739,257.285,1258667.0
2020-04-23,256.485,261.136,250.586,251.639,1309228.0
2020-04-24,253.706,258.25,250.196,257.099,1069881.0
2020-04-25,253.706,258.25,250.196,257.099,1069881.0
