,ITW US Equity,ITW US Equity,ITW US Equity,ITW US Equity,ITW US Equity
2019-02-13,122.6908,123.6788,122.3159,123.3348,997530.0
2019-02-14,122.779,123.3259,121.7382,122.3909,1179828.0
2019-02-15,123.4935,127.3042,123.273,127.2072,1981466.0
2019-02-16,123.4935,127.3042,123.273,127.2072,1981466.0
2019-02-17,123.4935,127.3042,123.273,127.2072,1981466.0
2019-02-18,123.4935,127.3042,123.273,127.2072,1981466.0
2019-02-19,126.4839,127.0749,125.4342,126.3604,1681538.0
2019-02-20,126.5544,126.9355,126.0163,126.6779,936940.0
2019-02-21,126.3251,127.2094,125.8135,126.3339,1049631.0
2019-02-22,126.3163,127.8776,126.3163,127.7541,825257.0
2019-02-23,126.3163,127.8776,126.3163,127.7541,825257.0
2019-02-24,126.3163,127.8776,126.3163,127.7541,825257.0
2019-02-25,128.2657,129.0684,127.5424,127.9217,1059262.0
2019-02-26,127.3483,128.5039,127.1101,127.3218,1150909.0
2019-02-27,127.0308,128.301,126.281,128.1687,835511.0
2019-02-28,128.0363,128.2569,126.9425,127.0925,1461056.0
2019-03-01,127.9393,128.2657,125.9193,127.3836,1463300.0
2019-03-02,127.9393,128.2657,125.9193,127.3836,1463300.0
2019-03-03,127.9393,128.2657,125.9193,127.3836,1463300.0
2019-03-04,128.3186,128.7508,126.2457,127.3218,1297168.0
2019-03-05,127.1984,127.6482,126.378,126.722,1130697.0
2019-03-06,126.9602,127.0484,125.7164,125.7429,1121211.0
2019-03-07,125.4871,125.5135,123.3965,124.1551,1861870.0
2019-03-08,123.2201,124.2918,122.7085,124.0669,1490858.0
2019-03-09,123.2201,124.2918,122.7085,124.0669,1490858.0
2019-03-10,123.2201,124.2918,122.7085,124.0669,1490858.0
2019-03-11,123.9434,126.722,123.8552,126.6956,1073198.0
2019-03-12,126.8543,127.4189,126.4098,127.0043,1365635.0
2019-03-13,127.6747,128.7398,127.1278,128.1069,1469377.0
2019-03-14,127.7541,128.548,126.7441,127.8158,1709124.0
2019-03-15,128.1334,129.0155,126.1398,126.2986,4524433.0
2019-03-16,128.1334,129.0155,126.1398,126.2986,4524433.0
2019-03-17,128.1334,129.0155,126.1398,126.2986,4524433.0
2019-03-18,126.6426,128.301,126.4045,128.2392,1267984.0
2019-03-19,128.8038,129.6329,128.1422,128.7773,1599369.0
2019-03-20,128.5215,129.0596,126.5191,128.4862,1776703.0
2019-03-21,127.9393,129.5624,127.9393,129.2007,1314960.0
2019-03-22,128.7685,128.7861,124.8167,124.949,1570140.0
2019-03-23,128.7685,128.7861,124.8167,124.949,1570140.0
2019-03-24,128.7685,128.7861,124.8167,124.949,1570140.0
2019-03-25,124.9049,125.9281,124.5697,125.293,980022.0
2019-03-26,126.3604,126.8367,125.7561,126.3604,782194.0
2019-03-27,126.3515,126.9867,125.2225,125.8135,1021027.0
2019-03-28,126.3376,127.7766,126.2051,126.8972,653890.0
2019-03-29,127.67,128.2608,126.9327,127.5013,1294125.0
2019-03-30,127.67,128.2608,126.9327,127.5013,1294125.0
2019-03-31,127.67,128.2608,126.9327,127.5013,1294125.0
2019-04-01,128.3718,132.085,128.3718,131.7741,1238871.0
2019-04-02,132.1205,132.467,130.7348,132.1294,1094544.0
2019-04-03,132.9289,134.1637,132.3693,133.3553,1174742.0
2019-04-04,133.684,134.8921,133.3376,134.8122,769870.0
2019-04-05,135.0254,135.8604,134.8852,135.203,993345.0
2019-04-06,135.0254,135.8604,134.8852,135.203,993345.0
2019-04-07,135.0254,135.8604,134.8852,135.203,993345.0
2019-04-08,134.6967,136.8109,134.3664,136.7221,1172323.0
2019-04-09,135.7094,135.7094,133.8439,134.1282,918814.0
2019-04-10,134.6079,135.1497,133.4442,134.75,790074.0
2019-04-11,135.1942,137.1485,134.6523,137.0952,1024804.0
2019-04-12,138.0812,139.0495,137.4061,138.934,807197.0
2019-04-13,138.0812,139.0495,137.4061,138.934,807197.0
2019-04-14,138.0812,139.0495,137.4061,138.934,807197.0
2019-04-15,139.165,139.3826,137.5482,138.2411,839900.0
2019-04-16,138.6231,140.1777,138.6053,140.1332,832201.0
2019-04-17,140.4175,140.9683,138.6764,138.7119,998521.0
2019-04-18,139.1028,140.9683,138.4987,140.6485,1198206.0
2019-04-19,139.1028,140.9683,138.4987,140.6485,1198206.0
2019-04-20,139.1028,140.9683,138.4987,140.6485,1198206.0
2019-04-21,139.1028,140.9683,138.4987,140.6485,1198206.0
2019-04-22,140.4086,140.5152,138.9518,139.6358,1284639.0
2019-04-23,139.698,140.302,138.8185,140.2931,1046478.0
2019-04-24,140.4353,140.5685,139.1738,139.2982,1690542.0
2019-04-25,135.0787,135.9581,130.9835,134.3236,2553953.0
2019-04-26,135.6383,136.4822,134.4924,136.4378,1548245.0
2019-04-27,135.6383,136.4822,134.4924,136.4378,1548245.0
2019-04-28,135.6383,136.4822,134.4924,136.4378,1548245.0
2019-04-29,137.0508,138.3388,136.6244,137.6992,1103263.0
2019-04-30,137.9302,138.4987,136.8642,138.25,1685398.0
2019-05-01,138.7386,139.0495,135.2119,137.1129,1422595.0
2019-05-02,136.731,137.5393,135.4873,137.335,1017698.0
2019-05-03,138.2411,140.0089,138.0368,139.8312,669762.0
2019-05-04,138.2411,140.0089,138.0368,139.8312,669762.0
2019-05-05,138.2411,140.0089,138.0368,139.8312,669762.0
2019-05-06,136.9264,138.4809,136.4911,137.9835,815974.0
2019-05-07,138.2944,139.7513,133.8128,134.7056,1661269.0
2019-05-08,134.6256,135.5317,133.986,134.2525,1009614.0
2019-05-09,132.3337,134.8033,131.6231,134.6345,1421792.0
2019-05-10,134.2703,136.2957,131.9695,135.7005,1038363.0
2019-05-11,134.2703,136.2957,131.9695,135.7005,1038363.0
2019-05-12,134.2703,136.2957,131.9695,135.7005,1038363.0
2019-05-13,132.3249,133.2754,130.8414,131.1967,1879052.0
2019-05-14,132.0051,133.35,131.552,132.316,1279373.0
2019-05-15,131.1079,134.9188,130.2462,134.0837,1995929.0
2019-05-16,135.1142,136.5,134.2969,135.4429,1018307.0
2019-05-17,133.8972,135.6472,133.0266,133.7817,1233023.0
2019-05-18,133.8972,135.6472,133.0266,133.7817,1233023.0
2019-05-19,133.8972,135.6472,133.0266,133.7817,1233023.0
2019-05-20,132.9556,133.4975,132.1516,132.7335,1014571.0
2019-05-21,133.8084,134.5788,132.9067,134.3236,889683.0
2019-05-22,133.9949,134.8033,133.2043,133.2132,871964.0
2019-05-23,131.4543,131.5787,129.2157,129.953,1986437.0
2019-05-24,130.5304,131.2589,129.2246,129.4467,1041437.0
2019-05-25,130.5304,131.2589,129.2246,129.4467,1041437.0
2019-05-26,130.5304,131.2589,129.2246,129.4467,1041437.0
2019-05-27,130.5304,131.2589,129.2246,129.4467,1041437.0
2019-05-28,130.3173,130.3173,126.4175,126.4886,3252323.0
2019-05-29,125.7246,126.7728,124.6409,125.618,1726352.0
2019-05-30,125.7957,126.7373,124.4543,125.1294,1480361.0
2019-05-31,124.1434,125.0761,121.6294,124.0457,2070606.0
2019-06-01,124.1434,125.0761,121.6294,124.0457,2070606.0
2019-06-02,124.1434,125.0761,121.6294,124.0457,2070606.0
2019-06-03,124.3388,125.8845,123.8325,124.5964,1734334.0
2019-06-04,125.9556,129.4733,125.745,128.9581,1736147.0
2019-06-05,129.9353,130.7703,128.665,130.7348,1006145.0
2019-06-06,130.7881,132.0095,129.6155,131.5165,999874.0
2019-06-07,132.1561,134.6612,132.0761,134.2614,1273361.0
2019-06-08,132.1561,134.6612,132.0761,134.2614,1273361.0
2019-06-09,132.1561,134.6612,132.0761,134.2614,1273361.0
2019-06-10,135.4251,137.033,135.1497,135.2208,1126525.0
2019-06-11,136.5444,137.6726,134.8122,135.3807,1157402.0
2019-06-12,135.2475,135.6205,133.1732,133.6929,1254882.0
2019-06-13,134.4568,135.0387,133.764,135.0076,844250.0
2019-06-14,134.2969,134.3502,130.8147,132.4048,1090529.0
2019-06-15,134.2969,134.3502,130.8147,132.4048,1090529.0
2019-06-16,134.2969,134.3502,130.8147,132.4048,1090529.0
2019-06-17,132.9023,132.9023,130.7703,130.9302,782165.0
2019-06-18,131.632,134.3591,130.9568,132.5469,1074081.0
2019-06-19,132.9112,133.5241,131.7563,132.8401,890322.0
2019-06-20,135.3807,135.816,133.1599,135.1853,1051236.0
2019-06-21,135.3629,135.7449,134.5457,134.9632,1484278.0
2019-06-22,135.3629,135.7449,134.5457,134.9632,1484278.0
2019-06-23,135.3629,135.7449,134.5457,134.9632,1484278.0
2019-06-24,135.2297,136.269,134.8655,135.0698,1062822.0
2019-06-25,135.0165,135.3807,133.8173,133.9771,1085186.0
2019-06-26,132.8134,134.2436,132.4759,133.3109,1368192.0
2019-06-27,133.4898,134.3126,132.4435,133.3199,811805.0
2019-06-28,133.5792,135.1532,133.3825,134.867,1616038.0
2019-06-29,133.5792,135.1532,133.3825,134.867,1616038.0
2019-06-30,133.5792,135.1532,133.3825,134.867,1616038.0
2019-07-01,136.6198,136.6198,134.1158,135.5288,1042985.0
2019-07-02,135.3052,135.4572,133.2886,133.9101,898538.0
2019-07-03,134.563,134.6345,133.3557,134.2321,688450.0
2019-07-04,134.563,134.6345,133.3557,134.2321,688450.0
2019-07-05,132.8907,132.9801,130.0468,132.3362,1063445.0
2019-07-06,132.8907,132.9801,130.0468,132.3362,1063445.0
2019-07-07,132.8907,132.9801,130.0468,132.3362,1063445.0
2019-07-08,131.8086,132.1752,130.3509,130.7801,1033524.0
2019-07-09,129.6981,131.0663,128.607,130.9322,1456131.0
2019-07-10,131.5135,132.0366,130.6281,130.6997,1254961.0
2019-07-11,130.7354,131.3614,129.8948,131.3435,1308152.0
2019-07-12,132.0679,135.6629,131.9964,135.4662,1184164.0
2019-07-13,132.0679,135.6629,131.9964,135.4662,1184164.0
2019-07-14,132.0679,135.6629,131.9964,135.4662,1184164.0
2019-07-15,135.5556,135.806,134.7686,135.2694,869759.0
2019-07-16,134.5093,137.845,133.4898,137.2279,1512940.0
2019-07-17,136.8792,137.608,134.2947,134.4288,1273044.0
2019-07-18,134.3126,134.6256,133.0427,134.1426,955392.0
2019-07-19,135.0995,136.3873,134.6971,135.2873,1402733.0
2019-07-20,135.0995,136.3873,134.6971,135.2873,1402733.0
2019-07-21,135.0995,136.3873,134.6971,135.2873,1402733.0
2019-07-22,135.6361,136.8166,135.4751,135.8597,994071.0
2019-07-23,136.8255,140.3758,136.3962,140.34,1874728.0
2019-07-24,139.0612,142.0571,139.0612,141.9319,1427389.0
2019-07-25,141.7441,143.783,140.8766,141.8693,2054393.0
2019-07-26,138.6141,140.4116,136.9239,139.1775,2869149.0
2019-07-27,138.6141,140.4116,136.9239,139.1775,2869149.0
2019-07-28,138.6141,140.4116,136.9239,139.1775,2869149.0
2019-07-29,139.3384,140.1433,137.7377,139.2758,1697649.0
2019-07-30,138.2474,139.6872,136.4767,139.41,1552624.0
2019-07-31,139.3474,140.2327,136.1101,137.9255,1182345.0
2019-08-01,137.4336,140.036,134.9922,135.4036,1709703.0
2019-08-02,135.189,136.7629,133.7402,135.6361,1761267.0
2019-08-03,135.189,136.7629,133.7402,135.6361,1761267.0
2019-08-04,135.189,136.7629,133.7402,135.6361,1761267.0
2019-08-05,133.3289,133.5703,129.9842,131.1736,2016230.0
2019-08-06,132.2557,133.3466,130.6997,133.2305,1535969.0
2019-08-07,131.2988,133.7492,130.1631,133.2663,1393404.0
2019-08-08,134.1695,135.4304,134.0865,134.9028,970359.0
2019-08-09,134.4825,134.6613,132.4077,133.7223,966338.0
2019-08-10,134.4825,134.6613,132.4077,133.7223,966338.0
2019-08-11,134.4825,134.6613,132.4077,133.7223,966338.0
2019-08-12,132.998,133.5077,131.9785,132.2289,1127015.0
2019-08-13,131.8801,137.1922,131.6789,135.8239,1227589.0
2019-08-14,133.2663,134.1874,131.0842,131.0931,1265474.0
2019-08-15,131.8086,132.1126,129.8769,131.12,942603.0
2019-08-16,132.2289,134.6881,132.2289,134.3394,926262.0
2019-08-17,132.2289,134.6881,132.2289,134.3394,926262.0
2019-08-18,132.2289,134.6881,132.2289,134.3394,926262.0
2019-08-19,136.2084,137.0133,135.6629,136.8523,1124836.0
2019-08-20,136.5393,137.081,135.1979,136.0743,1009139.0
2019-08-21,137.532,138.3547,135.5355,136.0475,785360.0
2019-08-22,136.6824,137.1653,135.0369,135.7613,691045.0
2019-08-23,135.0369,135.0459,129.9663,130.8875,1449828.0
2019-08-24,135.0369,135.0459,129.9663,130.8875,1449828.0
2019-08-25,135.0369,135.0459,129.9663,130.8875,1449828.0
2019-08-26,132.2647,132.4298,129.2151,129.9395,1543941.0
2019-08-27,131.12,131.12,129.3403,129.6712,1291214.0
2019-08-28,128.7769,130.3688,127.99,129.9395,1330407.0
2019-08-29,131.7191,132.7117,130.7444,132.4882,1253159.0
2019-08-30,133.8654,134.706,133.0516,134.0174,1330396.0
2019-08-31,133.8654,134.706,133.0516,134.0174,1330396.0
2019-09-01,133.8654,134.706,133.0516,134.0174,1330396.0
2019-09-02,133.8654,134.706,133.0516,134.0174,1330396.0
2019-09-03,132.372,132.5566,129.2241,129.7249,1352347.0
2019-09-04,131.2273,131.6261,130.2436,131.272,992781.0
2019-09-05,133.0159,136.2442,132.7207,135.4662,1258038.0
2019-09-06,136.2442,136.5751,134.8581,136.3694,957621.0
2019-09-07,136.2442,136.5751,134.8581,136.3694,957621.0
2019-09-08,136.2442,136.5751,134.8581,136.3694,957621.0
2019-09-09,136.8792,137.6304,135.9223,137.4604,1056330.0
2019-09-10,137.4873,140.7246,136.7808,140.7246,1486717.0
2019-09-11,140.9303,142.7635,139.5978,142.6741,1273990.0
2019-09-12,142.9245,143.9172,141.449,142.9513,1822192.0
2019-09-13,143.8903,144.6147,142.0217,142.8798,1224618.0
2019-09-14,143.8903,144.6147,142.0217,142.8798,1224618.0
2019-09-15,143.8903,144.6147,142.0217,142.8798,1224618.0
2019-09-16,141.5026,142.0124,139.9108,140.2148,1459843.0
2019-09-17,139.7319,141.1494,137.6304,140.8319,919554.0
2019-09-18,139.9734,140.9929,138.7661,140.6709,917158.0
2019-09-19,140.7067,141.0734,139.1775,139.3921,663867.0
2019-09-20,139.6514,140.51,138.3011,138.6677,2054820.0
2019-09-21,139.6514,140.51,138.3011,138.6677,2054820.0
2019-09-22,139.6514,140.51,138.3011,138.6677,2054820.0
2019-09-23,133.4004,138.7035,133.2484,137.9881,1465992.0
2019-09-24,138.0686,138.5604,135.0995,136.128,1259698.0
2019-09-25,136.271,138.623,136.2174,138.2653,895558.0
2019-09-26,138.2116,139.8392,137.5946,138.9002,901585.0
2019-09-27,139.7647,140.0979,138.1438,139.5216,811292.0
2019-09-28,139.7647,140.0979,138.1438,139.5216,811292.0
2019-09-29,139.7647,140.0979,138.1438,139.5216,811292.0
2019-09-30,140.1519,141.2775,139.5756,140.9173,826225.0
2019-10-01,142.0069,142.3761,137.0993,137.5315,1144325.0
2019-10-02,135.7575,136.3068,133.5423,134.2987,1113081.0
2019-10-03,133.9386,134.9831,131.7684,134.9201,955290.0
2019-10-04,135.3073,136.586,134.6499,136.4239,681010.0
2019-10-05,135.3073,136.586,134.6499,136.4239,681010.0
2019-10-06,135.3073,136.586,134.6499,136.4239,681010.0
2019-10-07,136.0547,136.8291,135.1542,135.2533,707567.0
2019-10-08,133.5513,133.8485,131.5162,131.8314,1088042.0
2019-10-09,133.1371,134.1997,131.8854,133.4433,700504.0
2019-10-10,133.5874,135.5234,133.2362,134.9831,670487.0
2019-10-11,136.9372,142.3131,136.8651,139.1524,1785876.0
2019-10-12,136.9372,142.3131,136.8651,139.1524,1785876.0
2019-10-13,136.9372,142.3131,136.8651,139.1524,1785876.0
2019-10-14,138.2249,139.2244,137.9187,138.6211,667894.0
2019-10-15,138.2969,141.5837,138.0268,140.269,994109.0
2019-10-16,140.278,141.0524,139.319,140.26,1018514.0
2019-10-17,141.1425,142.6283,140.7372,141.3406,649082.0
2019-10-18,141.3045,143.0245,140.7913,142.5562,1336230.0
2019-10-19,141.3045,143.0245,140.7913,142.5562,1336230.0
2019-10-20,141.3045,143.0245,140.7913,142.5562,1336230.0
2019-10-21,143.3126,144.5553,143.0515,143.6188,1502994.0
2019-10-22,143.8169,146.0051,142.4392,145.5008,1305871.0
2019-10-23,145.0866,146.0321,144.5553,145.5458,943087.0
2019-10-24,145.5278,146.0231,143.0425,144.1951,1466990.0
2019-10-25,147.7791,155.1901,142.3311,154.7128,2709516.0
2019-10-26,147.7791,155.1901,142.3311,154.7128,2709516.0
2019-10-27,147.7791,155.1901,142.3311,154.7128,2709516.0
2019-10-28,156.2887,156.4598,150.3635,153.0289,2469653.0
2019-10-29,152.0744,156.0951,151.7817,155.2711,1357603.0
2019-10-30,154.7128,154.9154,152.259,153.272,1095641.0
2019-10-31,152.0474,152.2815,149.3819,151.8042,1610638.0
2019-11-01,153.9114,155.5953,152.6507,155.5953,1523184.0
2019-11-02,153.9114,155.5953,152.6507,155.5953,1523184.0
2019-11-03,153.9114,155.5953,152.6507,155.5953,1523184.0
2019-11-04,156.3967,158.0896,156.1258,158.0356,1321012.0
2019-11-05,158.2517,159.5935,157.3512,158.6479,1648298.0
2019-11-06,158.2427,159.9446,157.1441,159.8816,1225025.0
2019-11-07,160.3949,161.4485,158.711,158.9451,1013030.0
2019-11-08,158.5129,159.0712,157.5944,158.8551,1011620.0
2019-11-09,158.5129,159.0712,157.5944,158.8551,1011620.0
2019-11-10,158.5129,159.0712,157.5944,158.8551,1011620.0
2019-11-11,158.0176,159.2828,157.4773,157.8015,777220.0
2019-11-12,158.3058,158.9991,156.982,157.3783,1057799.0
2019-11-13,156.3247,156.7839,155.091,156.1266,1171177.0
2019-11-14,155.7304,157.3152,155.5323,156.3787,724474.0
2019-11-15,157.6124,157.9996,156.829,157.7294,758525.0
2019-11-16,157.6124,157.9996,156.829,157.7294,758525.0
2019-11-17,157.6124,157.9996,156.829,157.7294,758525.0
2019-11-18,156.6849,158.3958,156.2256,158.3418,1167568.0
2019-11-19,158.9811,159.0712,156.5858,157.0991,1113631.0
2019-11-20,156.0906,156.7659,154.0645,155.2801,1168055.0
2019-11-21,155.2621,155.9915,154.6047,155.4422,833386.0
2019-11-22,156.2887,156.7659,155.3341,156.2887,630433.0
2019-11-23,156.2887,156.7659,155.3341,156.2887,630433.0
2019-11-24,156.2887,156.7659,155.3341,156.2887,630433.0
2019-11-25,157.0901,158.0896,156.5318,157.7475,853226.0
2019-11-26,157.4953,158.0986,157.0901,157.9185,1102400.0
2019-11-27,157.9185,157.9996,156.6669,157.6844,730937.0
2019-11-28,157.9185,157.9996,156.6669,157.6844,730937.0
2019-11-29,157.9636,158.1527,156.2527,156.982,584856.0
2019-11-30,157.9636,158.1527,156.2527,156.982,584856.0
2019-12-01,157.9636,158.1527,156.2527,156.982,584856.0
2019-12-02,157.2882,157.5854,154.7939,154.9559,1221603.0
2019-12-03,153.3981,154.0825,152.25,153.7223,1337227.0
2019-12-04,154.8389,157.0181,154.1635,154.5597,1326483.0
2019-12-05,154.8119,155.9015,153.9879,155.5593,979847.0
2019-12-06,157.1261,158.0806,156.7659,156.856,941108.0
2019-12-07,157.1261,158.0806,156.7659,156.856,941108.0
2019-12-08,157.1261,158.0806,156.7659,156.856,941108.0
2019-12-09,156.5858,157.4656,156.4147,157.0721,758443.0
2019-12-10,157.0721,158.2157,156.1356,157.0901,816931.0
2019-12-11,157.6934,159.3863,157.1261,159.2693,995835.0
2019-12-12,159.2062,161.8897,158.6885,161.2774,921735.0
2019-12-13,161.3314,162.466,159.1882,159.6295,1102509.0
2019-12-14,161.3314,162.466,159.1882,159.6295,1102509.0
2019-12-15,161.3314,162.466,159.1882,159.6295,1102509.0
2019-12-16,160.665,161.0973,159.5754,159.8096,881924.0
2019-12-17,159.8276,161.4124,159.4854,160.1067,1176271.0
2019-12-18,160.3048,161.3584,159.4854,161.0883,1394519.0
2019-12-19,160.8992,161.3044,160.1518,160.7011,1043812.0
2019-12-20,162.43,162.529,160.8361,162.367,2683104.0
2019-12-21,162.43,162.529,160.8361,162.367,2683104.0
2019-12-22,162.43,162.529,160.8361,162.367,2683104.0
2019-12-23,162.457,163.0603,161.9572,163.0513,807805.0
2019-12-24,163.0783,163.1298,161.8177,162.2499,272193.0
2019-12-25,163.0783,163.1298,161.8177,162.2499,272193.0
2019-12-26,162.7091,163.2404,162.0059,163.2404,471253.0
2019-12-27,163.7897,164.1949,162.6641,163.1054,616455.0
2019-12-28,163.7897,164.1949,162.6641,163.1054,616455.0
2019-12-29,163.7897,164.1949,162.6641,163.1054,616455.0
2019-12-30,163.2865,163.6941,162.4712,162.9694,732673.0
2019-12-31,162.5074,163.137,162.0636,162.7158,816058.0
2020-01-01,162.5074,163.137,162.0636,162.7158,816058.0
2020-01-02,163.1868,164.5909,162.127,164.5728,1131164.0
2020-01-03,161.8824,163.1144,160.7909,162.2447,1400786.0
2020-01-04,161.8824,163.1144,160.7909,162.2447,1400786.0
2020-01-05,161.8824,163.1144,160.7909,162.2447,1400786.0
2020-01-06,161.2755,161.7737,160.1523,161.7284,1587256.0
2020-01-07,160.9313,161.5925,159.5997,161.0672,1144289.0
2020-01-08,161.4748,162.5618,160.6912,161.9096,1168435.0
2020-01-09,162.5527,162.8698,161.3389,162.7158,1264396.0
2020-01-10,162.6071,163.6488,161.2461,161.4567,1157484.0
2020-01-11,162.6071,163.6488,161.2461,161.4567,1157484.0
2020-01-12,162.6071,163.6488,161.2461,161.4567,1157484.0
2020-01-13,161.7737,162.9332,161.4204,162.8879,698477.0
2020-01-14,162.7792,163.3499,161.4295,161.819,1127020.0
2020-01-15,161.6107,162.4078,160.3515,161.6107,1262152.0
2020-01-16,162.6252,163.0509,161.5654,162.8607,1104207.0
2020-01-17,163.1778,163.7031,162.2629,163.4405,2144905.0
2020-01-18,163.1778,163.7031,162.2629,163.4405,2144905.0
2020-01-19,163.1778,163.7031,162.2629,163.4405,2144905.0
2020-01-20,163.1778,163.7031,162.2629,163.4405,2144905.0
2020-01-21,162.3444,162.7973,160.7139,161.1306,1175885.0
2020-01-22,162.2266,162.5346,160.3153,160.7954,1150987.0
2020-01-23,159.7627,162.8517,158.567,162.6886,1431644.0
2020-01-24,163.0509,163.0509,158.7527,159.6993,1093759.0
2020-01-25,163.0509,163.0509,158.7527,159.6993,1093759.0
2020-01-26,163.0509,163.0509,158.7527,159.6993,1093759.0
2020-01-27,156.7282,158.2817,154.3368,157.0452,1226293.0
2020-01-28,157.8152,160.1251,156.6376,159.3008,1138416.0
2020-01-29,160.1704,161.2211,158.7935,159.2555,1228230.0
2020-01-30,157.5887,161.2302,157.5434,161.1487,1648042.0
2020-01-31,161.1487,162.5708,158.4312,158.5036,3070503.0
2020-02-01,161.1487,162.5708,158.4312,158.5036,3070503.0
2020-02-02,161.1487,162.5708,158.4312,158.5036,3070503.0
2020-02-03,159.0471,163.1868,158.1413,159.8443,1898010.0
2020-02-04,162.4803,165.4876,161.9413,164.8898,1178230.0
2020-02-05,167.399,168.2686,166.2576,168.2686,1584670.0
2020-02-06,168.6128,168.9298,167.0819,168.5494,1073029.0
2020-02-07,167.2903,167.7975,165.7141,166.2576,996572.0
2020-02-08,167.2903,167.7975,165.7141,166.2576,996572.0
2020-02-09,167.2903,167.7975,165.7141,166.2576,996572.0
2020-02-10,165.8228,166.6381,165.0302,166.5294,908461.0
2020-02-11,167.3899,170.0259,167.1725,169.5096,1027025.0
2020-02-12,170.0803,172.1546,169.5367,171.8104,979095.0
2020-02-13,170.8683,171.7561,170.189,171.2669,659189.0
2020-02-14,171.2035,171.2035,168.5856,170.1708,765104.0
2020-02-15,171.2035,171.2035,168.5856,170.1708,765104.0
2020-02-16,171.2035,171.2035,168.5856,170.1708,765104.0
2020-02-17,171.2035,171.2035,168.5856,170.1708,765104.0
2020-02-18,169.8447,169.881,167.8247,168.9208,778715.0
2020-02-19,169.3193,170.4698,168.7306,169.8719,974108.0
2020-02-20,169.5911,172.8793,169.4733,172.1093,1047004.0
2020-02-21,170.9861,172.0187,170.4245,171.7289,1133768.0
2020-02-22,170.9861,172.0187,170.4245,171.7289,1133768.0
2020-02-23,170.9861,172.0187,170.4245,171.7289,1133768.0
2020-02-24,166.4841,167.7794,164.8354,165.8228,1656209.0
2020-02-25,166.6924,166.8826,159.9892,160.8679,1871703.0
2020-02-26,162.6252,163.0509,159.1377,159.4185,1673088.0
2020-02-27,156.0307,160.3063,153.6665,154.1103,2031056.0
2020-02-28,148.4217,152.1082,147.0991,151.9816,2841986.0
2020-02-29,148.4217,152.1082,147.0991,151.9816,2841986.0
2020-03-01,148.4217,152.1082,147.0991,151.9816,2841986.0
2020-03-02,153.0143,157.4257,149.4271,156.9637,1950898.0
2020-03-03,156.6829,160.8135,152.3258,152.9599,1978252.0
