,EXPR US Equity,EXPR US Equity,EXPR US Equity,EXPR US Equity,EXPR US Equity
2019-04-28,71.2,73.0,70.0,71.8,85793.0
2019-04-29,72.2,76.2,72.0,75.0,94285.0
2019-04-30,75.0,75.4,73.0,73.6,70387.0
2019-05-01,73.0,76.0,73.0,75.4,104064.0
2019-05-02,75.4,79.4,74.8,78.0,82401.0
2019-05-03,78.2,80.5,77.2,79.4,52987.0
2019-05-04,78.2,80.5,77.2,79.4,52987.0
2019-05-05,78.2,80.5,77.2,79.4,52987.0
2019-05-06,78.4,78.6,75.5,76.6,46797.0
2019-05-07,76.2,76.8,73.4,75.8,77832.0
2019-05-08,76.2,76.4,74.0,74.2,41770.0
2019-05-09,73.6,74.4,71.8,73.8,51729.0
2019-05-10,74.0,75.4,71.2,73.2,74565.0
2019-05-11,74.0,75.4,71.2,73.2,74565.0
2019-05-12,74.0,75.4,71.2,73.2,74565.0
2019-05-13,71.2,71.7,67.38,68.0,91889.0
2019-05-14,68.4,69.6,66.1,69.0,76788.0
2019-05-15,68.8,68.8,66.0,67.8,61336.0
2019-05-16,68.4,68.8,66.8,67.6,66674.0
2019-05-17,66.8,70.6,66.8,67.4,97335.0
2019-05-18,66.8,70.6,66.8,67.4,97335.0
2019-05-19,66.8,70.6,66.8,67.4,97335.0
2019-05-20,68.0,68.5,66.4,67.4,59728.0
2019-05-21,67.4,70.2,65.8,69.0,74228.0
2019-05-22,69.0,69.0,65.2,66.0,97025.0
2019-05-23,65.4,68.2,64.6,64.8,109377.0
2019-05-24,65.4,72.8,64.8,71.6,175015.0
2019-05-25,65.4,72.8,64.8,71.6,175015.0
2019-05-26,65.4,72.8,64.8,71.6,175015.0
2019-05-27,65.4,72.8,64.8,71.6,175015.0
2019-05-28,72.0,74.2,68.4,68.8,150685.0
2019-05-29,67.8,68.8,63.4,63.4,148622.0
2019-05-30,67.6,67.6,61.8,64.0,253324.0
2019-05-31,62.0,62.0,58.0,60.2,274381.0
2019-06-01,62.0,62.0,58.0,60.2,274381.0
2019-06-02,62.0,62.0,58.0,60.2,274381.0
2019-06-03,60.0,62.0,57.8,61.8,168295.0
2019-06-04,62.6,65.4,61.8,63.6,127039.0
2019-06-05,64.4,65.2,59.4,60.0,97072.0
2019-06-06,59.8,59.9,52.8,53.4,155371.0
2019-06-07,53.8,54.6,52.242,54.6,114897.0
2019-06-08,53.8,54.6,52.242,54.6,114897.0
2019-06-09,53.8,54.6,52.242,54.6,114897.0
2019-06-10,54.6,56.2,52.4,53.0,86137.0
2019-06-11,53.0,55.4,51.4,52.0,102055.0
2019-06-12,51.4,52.8,50.4,52.4,115487.0
2019-06-13,53.0,55.0,51.8,54.2,100921.0
2019-06-14,54.0,55.0,52.4,54.2,91087.0
2019-06-15,54.0,55.0,52.4,54.2,91087.0
2019-06-16,54.0,55.0,52.4,54.2,91087.0
2019-06-17,54.2,56.6,53.6,54.6,62863.0
2019-06-18,55.2,57.0,53.0,54.2,79168.0
2019-06-19,54.2,55.6,53.6,53.6,93371.0
2019-06-20,53.8,55.4,53.0,55.0,132224.0
2019-06-21,54.8,56.8,54.4,55.6,277637.0
2019-06-22,54.8,56.8,54.4,55.6,277637.0
2019-06-23,54.8,56.8,54.4,55.6,277637.0
2019-06-24,55.8,56.4,54.8,54.8,138656.0
2019-06-25,55.2,55.2,53.8,54.2,113381.0
2019-06-26,54.6,55.6,53.4,53.4,96267.0
2019-06-27,53.6,55.6,53.0,55.2,52571.0
2019-06-28,55.0,56.2,54.6,54.6,108509.0
2019-06-29,55.0,56.2,54.6,54.6,108509.0
2019-06-30,55.0,56.2,54.6,54.6,108509.0
2019-07-01,55.2,56.8,53.9,54.0,107001.0
2019-07-02,54.0,54.6,52.2,52.8,137826.0
2019-07-03,52.8,53.0,51.2,51.4,64837.0
2019-07-04,52.8,53.0,51.2,51.4,64837.0
2019-07-05,51.4,52.6,51.0,52.2,97647.0
2019-07-06,51.4,52.6,51.0,52.2,97647.0
2019-07-07,51.4,52.6,51.0,52.2,97647.0
2019-07-08,52.0,53.6,51.8,51.8,67318.0
2019-07-09,51.8,52.4,51.0,51.4,92037.0
2019-07-10,51.8,52.6,50.8,51.0,86799.0
2019-07-11,51.4,52.0,49.6,50.4,80313.0
2019-07-12,50.6,52.2,50.4,52.0,46960.0
2019-07-13,50.6,52.2,50.4,52.0,46960.0
2019-07-14,50.6,52.2,50.4,52.0,46960.0
2019-07-15,52.2,53.2,51.2,52.0,42696.0
2019-07-16,52.0,53.6,51.7,53.4,60008.0
2019-07-17,53.2,53.6,50.8,50.8,80025.0
2019-07-18,50.8,51.4,48.8,49.2,95532.0
2019-07-19,49.0,49.9,47.8,49.0,84871.0
2019-07-20,49.0,49.9,47.8,49.0,84871.0
2019-07-21,49.0,49.9,47.8,49.0,84871.0
2019-07-22,48.8,49.4,47.8,49.0,98795.0
2019-07-23,49.4,50.4,47.8,48.0,52555.0
2019-07-24,48.2,49.2,48.0,49.0,42707.0
2019-07-25,48.8,49.7,48.0,48.6,59090.0
2019-07-26,48.8,49.4,47.0,47.4,51439.0
2019-07-27,48.8,49.4,47.0,47.4,51439.0
2019-07-28,48.8,49.4,47.0,47.4,51439.0
2019-07-29,47.6,48.4,45.8,47.0,43610.0
2019-07-30,46.6,47.4,45.8,47.0,41079.0
2019-07-31,47.0,49.8,46.8,49.4,58704.0
2019-08-01,49.4,49.4,45.2,45.4,82751.0
2019-08-02,44.8,46.4,43.7,43.8,58002.0
2019-08-03,44.8,46.4,43.7,43.8,58002.0
2019-08-04,44.8,46.4,43.7,43.8,58002.0
2019-08-05,43.0,43.4,41.4,43.2,61503.0
2019-08-06,43.6,44.4,42.0,44.2,42796.0
2019-08-07,43.6,44.2,42.2,42.4,32870.0
2019-08-08,42.4,44.4,41.6,44.0,56402.0
2019-08-09,43.6,44.0,39.6,40.0,69754.0
2019-08-10,43.6,44.0,39.6,40.0,69754.0
2019-08-11,43.6,44.0,39.6,40.0,69754.0
2019-08-12,39.4,39.8,39.0,39.4,58625.0
2019-08-13,39.4,43.2,39.0,41.4,64491.0
2019-08-14,40.0,40.6,37.2,38.2,45085.0
2019-08-15,38.0,38.0,36.6,37.2,40137.0
2019-08-16,37.2,39.6,36.9,39.4,52610.0
2019-08-17,37.2,39.6,36.9,39.4,52610.0
2019-08-18,37.2,39.6,36.9,39.4,52610.0
2019-08-19,40.0,41.4,39.4,40.4,44116.0
2019-08-20,40.2,40.6,37.6,38.6,40199.0
2019-08-21,39.6,42.0,38.6,41.2,74701.0
2019-08-22,42.2,42.8,40.2,42.2,65643.0
2019-08-23,41.4,42.2,38.0,38.8,56816.0
2019-08-24,41.4,42.2,38.0,38.8,56816.0
2019-08-25,41.4,42.2,38.0,38.8,56816.0
2019-08-26,39.2,40.6,38.8,40.4,60562.0
2019-08-27,40.8,41.0,36.8,37.2,79378.0
2019-08-28,37.6,45.8,37.4,45.2,244023.0
2019-08-29,45.6,46.8,41.6,45.2,83190.0
2019-08-30,45.2,45.9,42.2,42.4,53007.0
2019-08-31,45.2,45.9,42.2,42.4,53007.0
2019-09-01,45.2,45.9,42.2,42.4,53007.0
2019-09-02,45.2,45.9,42.2,42.4,53007.0
2019-09-03,42.4,42.8,40.2,40.8,57166.0
2019-09-04,41.2,41.2,39.4,39.8,36339.0
2019-09-05,41.2,44.4,40.6,42.0,56512.0
2019-09-06,42.6,44.8,42.2,44.6,48018.0
2019-09-07,42.6,44.8,42.2,44.6,48018.0
2019-09-08,42.6,44.8,42.2,44.6,48018.0
2019-09-09,45.2,52.7,45.2,52.0,97766.0
2019-09-10,52.0,61.4,52.0,61.4,157189.0
2019-09-11,61.4,64.4,54.4,64.0,117498.0
2019-09-12,63.2,66.0,61.4,66.0,73768.0
2019-09-13,66.2,69.84,61.4,61.8,102274.0
2019-09-14,66.2,69.84,61.4,61.8,102274.0
2019-09-15,66.2,69.84,61.4,61.8,102274.0
2019-09-16,62.8,67.4,62.8,64.2,103110.0
2019-09-17,63.8,64.4,61.0,62.2,63400.0
2019-09-18,62.0,64.2,56.1,57.4,128330.0
2019-09-19,57.8,58.0,52.4,52.8,128014.0
2019-09-20,52.8,59.5,52.8,54.4,159448.0
2019-09-21,52.8,59.5,52.8,54.4,159448.0
2019-09-22,52.8,59.5,52.8,54.4,159448.0
2019-09-23,53.4,56.8,53.0,54.8,86483.0
2019-09-24,55.2,55.8,53.2,54.4,70979.0
2019-09-25,54.0,58.6,53.842,58.4,80869.0
2019-09-26,58.4,61.2,56.2,60.6,61177.0
2019-09-27,60.8,67.2,60.7,66.4,112778.0
2019-09-28,60.8,67.2,60.7,66.4,112778.0
2019-09-29,60.8,67.2,60.7,66.4,112778.0
2019-09-30,66.6,70.0,64.5,68.8,109187.0
2019-10-01,69.0,70.6,66.8,67.6,83612.0
2019-10-02,66.6,67.2,60.6,62.8,76069.0
2019-10-03,61.6,62.2,57.4,61.4,48019.0
2019-10-04,60.4,61.8,57.2,59.2,64966.0
2019-10-05,60.4,61.8,57.2,59.2,64966.0
2019-10-06,60.4,61.8,57.2,59.2,64966.0
2019-10-07,58.8,61.714,58.3,61.0,51254.0
2019-10-08,60.0,61.8,57.6,57.8,73169.0
2019-10-09,58.4,58.5,55.6,56.2,55459.0
2019-10-10,56.0,59.0,55.8,57.8,68655.0
2019-10-11,59.0,61.0,57.8,59.0,56792.0
2019-10-12,59.0,61.0,57.8,59.0,56792.0
2019-10-13,59.0,61.0,57.8,59.0,56792.0
2019-10-14,59.0,59.6,56.4,56.4,56707.0
2019-10-15,56.8,65.4,55.6,63.0,94724.0
2019-10-16,61.6,66.3,61.6,64.4,57372.0
2019-10-17,65.0,68.4,64.6,65.8,69834.0
2019-10-18,63.6,68.4,63.2,68.0,88484.0
2019-10-19,63.6,68.4,63.2,68.0,88484.0
2019-10-20,63.6,68.4,63.2,68.0,88484.0
2019-10-21,68.6,73.0,67.8,68.4,78102.0
2019-10-22,67.2,71.3,66.4,69.8,54803.0
2019-10-23,70.2,71.2,64.3,64.6,76269.0
2019-10-24,64.6,65.2,62.2,63.0,70728.0
2019-10-25,62.0,64.8,61.4,64.8,68733.0
2019-10-26,62.0,64.8,61.4,64.8,68733.0
2019-10-27,62.0,64.8,61.4,64.8,68733.0
2019-10-28,66.0,66.0,63.4,65.2,46560.0
2019-10-29,64.8,66.6,62.8,66.4,54570.0
2019-10-30,66.6,67.4,64.4,66.0,48594.0
2019-10-31,65.4,66.2,63.4,64.4,58639.0
2019-11-01,64.6,68.0,63.8,66.0,50174.0
2019-11-02,64.6,68.0,63.8,66.0,50174.0
2019-11-03,64.6,68.0,63.8,66.0,50174.0
2019-11-04,67.6,71.1,67.0,68.8,68405.0
2019-11-05,69.4,77.0,69.4,76.2,104375.0
2019-11-06,76.2,83.4,75.0,80.2,181413.0
2019-11-07,81.6,85.6,81.0,83.0,83711.0
2019-11-08,81.8,83.2,78.4,81.2,114122.0
2019-11-09,81.8,83.2,78.4,81.2,114122.0
2019-11-10,81.8,83.2,78.4,81.2,114122.0
2019-11-11,80.4,80.802,78.0,79.0,42276.0
2019-11-12,79.2,81.0,77.0,79.4,56690.0
2019-11-13,78.6,79.2,76.2,78.6,47911.0
2019-11-14,79.0,82.2,75.8,76.2,45764.0
2019-11-15,76.2,77.6,73.8,76.6,48215.0
2019-11-16,76.2,77.6,73.8,76.6,48215.0
2019-11-17,76.2,77.6,73.8,76.6,48215.0
2019-11-18,76.6,76.6,72.2,74.2,45311.0
2019-11-19,72.6,74.0,70.0,72.4,59754.0
2019-11-20,71.0,71.0,64.8,64.8,103385.0
2019-11-21,64.8,66.002,63.0,63.0,63698.0
2019-11-22,64.4,69.4,64.3,67.8,87989.0
2019-11-23,64.4,69.4,64.3,67.8,87989.0
2019-11-24,64.4,69.4,64.3,67.8,87989.0
2019-11-25,67.8,74.4,67.8,73.4,91750.0
2019-11-26,74.0,80.0,73.2,78.4,137027.0
2019-11-27,78.6,82.4,76.4,79.6,79727.0
2019-11-28,78.6,82.4,76.4,79.6,79727.0
2019-11-29,79.4,79.6,77.4,78.6,19814.0
2019-11-30,79.4,79.6,77.4,78.6,19814.0
2019-12-01,79.4,79.6,77.4,78.6,19814.0
2019-12-02,79.8,79.8,72.4,72.8,64318.0
2019-12-03,71.0,73.0,70.2,71.0,59733.0
2019-12-04,72.0,79.0,71.6,78.2,87350.0
2019-12-05,90.2,103.4,88.4,100.0,335268.0
2019-12-06,103.8,110.8,100.2,109.8,256134.0
2019-12-07,103.8,110.8,100.2,109.8,256134.0
2019-12-08,103.8,110.8,100.2,109.8,256134.0
2019-12-09,111.8,122.2,110.4,119.8,233556.0
2019-12-10,117.8,124.8,116.8,123.0,165605.0
2019-12-11,122.8,123.4,109.0,111.0,134776.0
2019-12-12,112.2,114.8,110.2,112.8,75227.0
2019-12-13,112.8,112.8,102.0,105.0,108542.0
2019-12-14,112.8,112.8,102.0,105.0,108542.0
2019-12-15,112.8,112.8,102.0,105.0,108542.0
2019-12-16,106.0,108.0,98.4,98.8,112157.0
2019-12-17,98.8,101.0,95.8,97.4,85978.0
2019-12-18,98.2,100.8,96.6,100.2,86113.0
2019-12-19,100.4,102.0,94.8,97.0,91502.0
2019-12-20,97.0,100.2,93.8,98.0,166950.0
2019-12-21,97.0,100.2,93.8,98.0,166950.0
2019-12-22,97.0,100.2,93.8,98.0,166950.0
2019-12-23,98.6,100.2,97.5,99.2,59018.0
2019-12-24,98.0,99.2,96.6,98.0,38778.0
2019-12-25,98.0,99.2,96.6,98.0,38778.0
2019-12-26,99.0,101.8,97.0,98.6,48309.0
2019-12-27,99.0,100.2,95.0,95.6,56817.0
2019-12-28,99.0,100.2,95.0,95.6,56817.0
2019-12-29,99.0,100.2,95.0,95.6,56817.0
2019-12-30,96.4,96.8,92.8,96.0,62395.0
2019-12-31,94.8,97.8,94.8,97.4,56882.0
2020-01-01,94.8,97.8,94.8,97.4,56882.0
2020-01-02,97.2,99.4,93.4,96.2,85923.0
2020-01-03,93.8,96.0,92.6,94.0,63586.0
2020-01-04,93.8,96.0,92.6,94.0,63586.0
2020-01-05,93.8,96.0,92.6,94.0,63586.0
2020-01-06,92.6,100.4,92.2,100.0,111308.0
2020-01-07,100.8,104.3,98.4,101.0,106240.0
2020-01-08,102.6,105.55,100.2,101.8,91733.0
2020-01-09,101.8,102.4,95.6,97.6,84567.0
2020-01-10,97.4,97.6,93.1,93.2,81153.0
2020-01-11,97.4,97.6,93.1,93.2,81153.0
2020-01-12,97.4,97.6,93.1,93.2,81153.0
2020-01-13,93.0,95.6,89.5,93.6,75610.0
2020-01-14,92.8,97.2,92.2,95.4,45039.0
2020-01-15,94.8,95.8,93.6,94.4,51137.0
2020-01-16,96.4,98.4,95.0,97.0,67570.0
2020-01-17,97.6,97.6,91.0,91.6,112147.0
2020-01-18,97.6,97.6,91.0,91.6,112147.0
2020-01-19,97.6,97.6,91.0,91.6,112147.0
2020-01-20,97.6,97.6,91.0,91.6,112147.0
2020-01-21,91.2,91.4,82.8,83.0,175640.0
2020-01-22,90.4,104.0,90.0,100.2,369543.0
2020-01-23,100.2,101.8,96.18,101.0,127807.0
2020-01-24,101.8,102.938,94.6,96.6,89249.0
2020-01-25,101.8,102.938,94.6,96.6,89249.0
2020-01-26,101.8,102.938,94.6,96.6,89249.0
2020-01-27,93.2,100.0,93.0,95.6,81010.0
2020-01-28,96.4,98.0,90.2,91.6,64461.0
2020-01-29,92.6,94.0,86.0,86.4,61052.0
2020-01-30,85.4,86.9,82.6,83.6,65837.0
2020-01-31,83.0,84.2,79.8,80.2,90246.0
2020-02-01,83.0,84.2,79.8,80.2,90246.0
2020-02-02,83.0,84.2,79.8,80.2,90246.0
2020-02-03,81.0,86.2,80.2,83.0,94069.0
2020-02-04,84.4,88.1,81.8,87.8,89193.0
2020-02-05,88.8,92.4,86.4,90.4,98997.0
2020-02-06,91.8,93.6,88.8,90.8,57892.0
2020-02-07,90.0,90.6,83.6,84.6,103032.0
2020-02-08,90.0,90.6,83.6,84.6,103032.0
2020-02-09,90.0,90.6,83.6,84.6,103032.0
2020-02-10,84.2,86.0,83.0,84.8,36545.0
2020-02-11,85.4,87.5,83.2,86.6,51535.0
2020-02-12,87.4,90.0,86.4,89.4,75721.0
2020-02-13,88.4,89.0,85.6,86.6,40078.0
2020-02-14,86.8,88.7,86.0,87.4,36589.0
2020-02-15,86.8,88.7,86.0,87.4,36589.0
2020-02-16,86.8,88.7,86.0,87.4,36589.0
2020-02-17,86.8,88.7,86.0,87.4,36589.0
2020-02-18,86.8,88.4,83.8,86.4,38573.0
2020-02-19,86.4,88.0,84.2,87.2,35962.0
2020-02-20,86.8,92.2,86.8,91.6,41569.0
2020-02-21,91.4,91.4,86.6,89.2,45610.0
2020-02-22,91.4,91.4,86.6,89.2,45610.0
2020-02-23,91.4,91.4,86.6,89.2,45610.0
2020-02-24,83.2,85.2,81.0,81.8,75570.0
2020-02-25,82.0,82.7,77.0,78.0,59522.0
2020-02-26,79.0,80.4,74.3,75.6,55737.0
2020-02-27,71.8,80.5,70.3,76.0,90282.0
2020-02-28,74.0,75.9,72.2,74.0,93990.0
2020-02-29,74.0,75.9,72.2,74.0,93990.0
2020-03-01,74.0,75.9,72.2,74.0,93990.0
2020-03-02,74.4,74.7,68.0,69.8,64543.0
2020-03-03,70.0,72.6,61.4,62.4,134611.0
2020-03-04,63.6,66.262,62.0,63.2,60394.0
2020-03-05,60.2,61.4,55.4,59.4,113530.0
2020-03-06,55.4,60.8,55.4,60.0,104736.0
2020-03-07,55.4,60.8,55.4,60.0,104736.0
2020-03-08,55.4,60.8,55.4,60.0,104736.0
2020-03-09,54.2,55.9,52.0,52.2,56585.0
2020-03-10,55.2,55.6,47.0,49.6,79876.0
2020-03-11,48.2,54.6,45.0,46.0,242970.0
2020-03-12,43.4,47.4,41.2,43.8,100721.0
2020-03-13,50.2,50.4,40.6,43.2,149981.0
2020-03-14,50.2,50.4,40.6,43.2,149981.0
2020-03-15,50.2,50.4,40.6,43.2,149981.0
2020-03-16,30.4,36.0,29.8,32.0,103406.0
2020-03-17,33.0,35.0,28.6,33.6,93020.0
2020-03-18,31.2,37.8,29.0,31.4,71556.0
2020-03-19,30.0,38.8,29.0,36.6,77616.0
2020-03-20,36.6,40.4,32.4,34.4,147038.0
2020-03-21,36.6,40.4,32.4,34.4,147038.0
2020-03-22,36.6,40.4,32.4,34.4,147038.0
2020-03-23,35.4,35.4,30.4,33.8,42500.0
2020-03-24,36.0,38.0,32.4,33.4,70440.0
2020-03-25,34.4,40.2,33.4,35.4,77014.0
2020-03-26,36.2,41.1,33.8,40.2,67679.0
2020-03-27,38.6,39.6,36.18,38.4,22573.0
2020-03-28,38.6,39.6,36.18,38.4,22573.0
2020-03-29,38.6,39.6,36.18,38.4,22573.0
2020-03-30,38.4,38.8,31.6,32.8,64912.0
2020-03-31,31.8,36.8,29.2,29.8,106215.0
2020-04-01,29.4,29.4,25.4,27.2,80340.0
2020-04-02,27.2,28.8,26.0,27.8,64191.0
2020-04-03,29.2,29.2,25.6,26.4,81968.0
2020-04-04,29.2,29.2,25.6,26.4,81968.0
2020-04-05,29.2,29.2,25.6,26.4,81968.0
2020-04-06,27.6,29.8,26.6,29.2,92118.0
2020-04-07,30.6,36.4,30.6,33.2,81800.0
2020-04-08,33.6,43.6,33.4,42.4,88487.0
2020-04-09,46.0,51.8,44.602,51.6,147113.0
2020-04-10,46.0,51.8,44.602,51.6,147113.0
2020-04-11,46.0,51.8,44.602,51.6,147113.0
2020-04-12,46.0,51.8,44.602,51.6,147113.0
2020-04-13,49.4,51.0,39.4,40.8,108752.0
2020-04-14,42.2,49.8,42.0,48.0,86998.0
2020-04-15,44.0,44.6,39.002,40.0,75845.0
2020-04-16,40.4,41.4,39.2,39.6,28980.0
2020-04-17,41.8,43.6,39.2,40.2,51307.0
2020-04-18,41.8,43.6,39.2,40.2,51307.0
2020-04-19,41.8,43.6,39.2,40.2,51307.0
2020-04-20,39.6,41.2,37.2,38.4,64025.0
2020-04-21,38.0,38.7,36.0,36.6,46535.0
2020-04-22,37.4,38.0,33.2,33.8,63585.0
2020-04-23,33.8,36.6,31.1,32.6,87746.0
2020-04-24,33.2,34.5,31.0,33.0,58848.0
2020-04-25,33.2,34.5,31.0,33.0,58848.0
2020-04-26,33.2,34.5,31.0,33.0,58848.0
2020-04-27,33.2,37.2,31.8,35.6,64194.0
2020-04-28,37.0,42.0,35.2,41.4,101514.0
2020-04-29,44.0,44.4,40.002,40.8,86149.0
2020-04-30,40.0,50.0,37.0,41.4,262935.0
2020-05-01,39.2,39.2,36.6,38.4,77520.0
2020-05-02,39.2,39.2,36.6,38.4,77520.0
2020-05-03,39.2,39.2,36.6,38.4,77520.0
2020-05-04,37.4,38.952,35.4,36.2,26715.0
2020-05-05,38.0,38.6,34.2,34.4,62033.0
2020-05-06,34.8,35.6,31.2,32.0,86079.0
2020-05-07,35.2,37.8,33.2,34.0,68937.0
2020-05-08,34.6,36.6,34.4,36.0,62727.0
2020-05-09,34.6,36.6,34.4,36.0,62727.0
