,ROP US Equity,ROP US Equity,ROP US Equity,ROP US Equity,ROP US Equity
2020-06-28,384.017,384.594,375.285,378.658,745166.0
2020-06-29,381.807,381.807,373.705,377.123,583855.0
2020-06-30,376.693,381.739,375.011,379.685,947316.0
2020-07-01,382.971,384.658,378.355,381.084,497405.0
2020-07-02,385.572,387.988,381.827,382.531,483436.0
2020-07-03,385.572,387.988,381.827,382.531,483436.0
2020-07-04,385.572,387.988,381.827,382.531,483436.0
2020-07-05,385.572,387.988,381.827,382.531,483436.0
2020-07-06,387.127,387.611,383.196,384.506,439996.0
2020-07-07,383.265,386.026,382.1,382.354,434992.0
2020-07-08,382.247,389.326,382.247,389.14,387240.0
2020-07-09,388.357,392.303,383.755,386.712,598524.0
2020-07-10,386.232,387.906,380.367,383.774,399507.0
2020-07-11,386.232,387.906,380.367,383.774,399507.0
2020-07-12,386.232,387.906,380.367,383.774,399507.0
2020-07-13,385.782,387.035,378.134,378.212,439300.0
2020-07-14,378.438,389.121,378.438,388.425,322146.0
2020-07-15,394.692,395.711,390.021,391.373,479417.0
2020-07-16,392.489,397.463,390.942,397.003,490283.0
2020-07-17,399.285,403.118,397.888,400.548,362178.0
2020-07-18,399.285,403.118,397.888,400.548,362178.0
2020-07-19,399.285,403.118,397.888,400.548,362178.0
2020-07-20,400.724,407.578,400.479,406.589,474783.0
2020-07-21,407.343,411.485,403.368,406.961,316440.0
2020-07-22,408.146,413.502,406.976,409.527,337175.0
2020-07-23,409.723,416.665,409.723,411.534,561065.0
2020-07-24,409.644,410.34,404.043,406.629,426328.0
2020-07-25,409.644,410.34,404.043,406.629,426328.0
2020-07-26,409.644,410.34,404.043,406.629,426328.0
2020-07-27,407.813,415.887,406.345,411.946,466750.0
2020-07-28,416.548,431.856,414.247,414.286,697558.0
2020-07-29,414.952,429.64,414.893,428.063,640051.0
2020-07-30,423.99,425.507,415.422,423.794,382793.0
2020-07-31,422.413,424.558,417.36,423.451,440855.0
2020-08-01,422.413,424.558,417.36,423.451,440855.0
2020-08-02,422.413,424.558,417.36,423.451,440855.0
2020-08-03,425.498,432.195,422.325,426.144,360310.0
2020-08-04,423.05,426.271,422.227,424.391,359978.0
2020-08-05,427.329,429.669,424.979,426.163,296296.0
2020-08-06,425.654,428.69,422.785,427.887,258421.0
2020-08-07,428.651,432.362,426.428,431.725,246163.0
2020-08-08,428.651,432.362,426.428,431.725,246163.0
2020-08-09,428.651,432.362,426.428,431.725,246163.0
2020-08-10,432.176,434.819,429.875,432.136,456831.0
2020-08-11,433.429,436.455,424.93,425.664,578057.0
2020-08-12,427.818,440.43,427.27,437.404,418624.0
2020-08-13,435.485,446.237,435.485,443.75,645396.0
2020-08-14,442.888,444.278,434.3,435.691,473574.0
2020-08-15,442.888,444.278,434.3,435.691,473574.0
2020-08-16,442.888,444.278,434.3,435.691,473574.0
2020-08-17,437.453,440.626,430.374,431.794,613582.0
2020-08-18,434.271,434.761,428.278,429.865,529679.0
2020-08-19,431.275,432.029,425.321,425.39,473751.0
2020-08-20,424.185,428.102,423.01,425.752,451332.0
2020-08-21,425.488,425.85,420.318,423.001,640830.0
2020-08-22,425.488,425.85,420.318,423.001,640830.0
2020-08-23,425.488,425.85,420.318,423.001,640830.0
2020-08-24,424.626,427.838,420.454,423.177,301778.0
2020-08-25,424.793,428.156,422.296,422.296,333577.0
2020-08-26,420.416,424.009,418.682,423.441,387634.0
2020-08-27,424.43,424.528,418.565,419.152,361104.0
2020-08-28,419.622,421.542,417.116,421.228,257279.0
2020-08-29,419.622,421.542,417.116,421.228,257279.0
2020-08-30,419.622,421.542,417.116,421.228,257279.0
2020-08-31,419.241,420.499,416.518,418.3,373873.0
2020-09-01,420.367,428.567,418.521,427.329,316237.0
2020-09-02,427.789,436.572,425.546,434.633,518076.0
2020-09-03,434.741,435.231,418.095,421.023,404316.0
2020-09-04,424.558,424.983,408.127,413.737,446172.0
2020-09-05,424.558,424.983,408.127,413.737,446172.0
2020-09-06,424.558,424.983,408.127,413.737,446172.0
2020-09-07,424.558,424.983,408.127,413.737,446172.0
2020-09-08,393.184,397.884,381.889,385.752,1227031.0
2020-09-09,390.971,395.671,386.173,391.578,517117.0
2020-09-10,393.223,397.757,386.261,387.564,444225.0
2020-09-11,391.676,395.299,385.028,391.285,561214.0
2020-09-12,391.676,395.299,385.028,391.285,561214.0
2020-09-13,391.676,395.299,385.028,391.285,561214.0
2020-09-14,395.123,397.649,387.544,388.014,587250.0
2020-09-15,390.883,399.373,388.768,395.485,626137.0
2020-09-16,399.598,401.263,390.472,392.097,470986.0
2020-09-17,387.064,391.5,384.151,390.501,567220.0
2020-09-18,388.817,391.441,382.031,383.226,753165.0
2020-09-19,388.817,391.441,382.031,383.226,753165.0
2020-09-20,388.817,391.441,382.031,383.226,753165.0
2020-09-21,379.436,385.194,375.745,384.088,542833.0
2020-09-22,383.471,386.638,379.559,384.558,511372.0
2020-09-23,387.368,390.482,377.341,378.408,481404.0
2020-09-24,376.479,385.566,372.161,383.069,378608.0
2020-09-25,380.533,393.351,380.195,389.835,384567.0
2020-09-26,380.533,393.351,380.195,389.835,384567.0
2020-09-27,380.533,393.351,380.195,389.835,384567.0
2020-09-28,392.185,395.76,391.099,392.264,524083.0
2020-09-29,393.263,395.877,389.914,393.008,357579.0
2020-09-30,395.035,396.288,383.015,386.888,669351.0
2020-10-01,389.845,393.331,382.433,385.292,472727.0
2020-10-02,381.914,390.389,381.623,387.485,425859.0
2020-10-03,381.914,390.389,381.623,387.485,425859.0
2020-10-04,381.914,390.389,381.623,387.485,425859.0
2020-10-05,391.586,393.768,389.302,393.361,307785.0
2020-10-06,393.361,399.047,391.008,392.086,411111.0
2020-10-07,394.263,399.832,394.263,397.086,439347.0
2020-10-08,399.685,399.744,394.106,395.782,367833.0
2020-10-09,398.626,409.705,397.312,406.293,419743.0
2020-10-10,398.626,409.705,397.312,406.293,419743.0
2020-10-11,398.626,409.705,397.312,406.293,419743.0
2020-10-12,409.254,421.088,407.872,413.617,626728.0
2020-10-13,413.323,418.019,411.921,415.48,464941.0
2020-10-14,418.029,421.902,416.284,418.862,551635.0
2020-10-15,415.784,423.48,415.735,422.039,556202.0
2020-10-16,423.088,429.755,422.52,425.412,788750.0
2020-10-17,423.088,429.755,422.52,425.412,788750.0
2020-10-18,423.088,429.755,422.52,425.412,788750.0
2020-10-19,423.726,426.804,413.843,416.598,414214.0
2020-10-20,417.833,419.431,412.627,414.607,442374.0
2020-10-21,414.401,417.96,412.833,413.225,361998.0
2020-10-22,413.49,421.01,413.244,419.166,408582.0
2020-10-23,422.637,424.284,416.853,420.225,270355.0
2020-10-24,422.637,424.284,416.853,420.225,270355.0
2020-10-25,422.637,424.284,416.853,420.225,270355.0
2020-10-26,416.333,418.48,405.93,409.725,472951.0
2020-10-27,397.086,397.812,382.38,386.89,1415044.0
2020-10-28,380.174,381.379,358.358,360.319,1514582.0
2020-10-29,359.407,368.614,359.407,363.565,936399.0
2020-10-30,362.143,366.035,355.809,364.084,490539.0
2020-10-31,362.143,366.035,355.809,364.084,490539.0
2020-11-01,362.143,366.035,355.809,364.084,490539.0
2020-11-02,370.34,374.457,368.192,373.497,752656.0
2020-11-03,378.193,383.045,373.114,375.859,623460.0
2020-11-04,379.311,389.782,373.82,381.154,733617.0
2020-11-05,390.625,390.625,378.085,378.458,689560.0
2020-11-06,377.713,383.947,376.654,380.83,646094.0
2020-11-07,377.713,383.947,376.654,380.83,646094.0
2020-11-08,377.713,383.947,376.654,380.83,646094.0
2020-11-09,402.881,409.097,382.223,382.585,1047583.0
2020-11-10,382.625,393.527,382.625,393.145,676903.0
2020-11-11,395.988,398.881,391.645,393.508,545055.0
2020-11-12,391.851,394.322,378.644,383.017,584399.0
2020-11-13,385.615,389.909,382.478,388.645,546027.0
2020-11-14,385.615,389.909,382.478,388.645,546027.0
2020-11-15,385.615,389.909,382.478,388.645,546027.0
2020-11-16,391.204,401.018,388.674,399.9,580537.0
2020-11-17,395.057,402.763,393.457,397.724,584405.0
2020-11-18,397.351,402.371,392.616,400.391,585536.0
2020-11-19,399.047,403.087,398.332,401.479,441527.0
2020-11-20,401.881,402.969,395.65,397.341,679482.0
2020-11-21,401.881,402.969,395.65,397.341,679482.0
2020-11-22,401.881,402.969,395.65,397.341,679482.0
2020-11-23,400.842,401.822,395.537,397.792,463700.0
2020-11-24,401.881,411.646,397.998,410.352,484604.0
2020-11-25,411.94,413.235,408.774,410.293,274906.0
2020-11-26,411.94,413.235,408.774,410.293,274906.0
2020-11-27,412.235,412.98,408.156,410.617,257522.0
2020-11-28,412.235,412.98,408.156,410.617,257522.0
2020-11-29,412.235,412.98,408.156,410.617,257522.0
2020-11-30,409.832,419.049,409.832,418.657,704389.0
2020-12-01,421.274,424.628,413.96,415.715,564567.0
2020-12-02,415.539,415.539,407.783,409.842,351236.0
2020-12-03,408.077,410.676,400.165,401.214,609843.0
2020-12-04,401.812,409.783,401.812,409.783,529803.0
2020-12-05,401.812,409.783,401.812,409.783,529803.0
2020-12-06,401.812,409.783,401.812,409.783,529803.0
2020-12-07,410.195,412.96,405.362,410.793,367961.0
2020-12-08,408.097,414.872,408.097,410.95,357297.0
2020-12-09,410.617,413.078,405.773,411.342,388810.0
2020-12-10,411.882,411.882,404.254,406.891,440388.0
2020-12-11,404.763,412.99,404.763,412.235,335171.0
2020-12-12,404.763,412.99,404.763,412.235,335171.0
2020-12-13,404.763,412.99,404.763,412.235,335171.0
2020-12-14,414.333,424.559,414.333,414.627,460553.0
2020-12-15,416.46,423.0,415.665,417.637,475503.0
2020-12-16,416.794,418.956,412.264,412.627,367027.0
2020-12-17,413.754,417.034,412.387,416.735,486519.0
2020-12-18,417.137,422.417,413.646,417.862,1038622.0
2020-12-19,417.137,422.417,413.646,417.862,1038622.0
2020-12-20,417.137,422.417,413.646,417.862,1038622.0
2020-12-21,411.058,414.477,402.342,414.127,547852.0
2020-12-22,410.244,410.889,402.955,404.852,565075.0
2020-12-23,408.283,415.72,407.538,411.264,478196.0
2020-12-24,411.637,415.392,408.141,411.911,119734.0
2020-12-25,411.637,415.392,408.141,411.911,119734.0
2020-12-26,411.637,415.392,408.141,411.911,119734.0
2020-12-27,411.637,415.392,408.141,411.911,119734.0
2020-12-28,414.264,416.019,408.313,414.882,287931.0
2020-12-29,418.362,419.039,408.499,411.401,269470.0
2020-12-30,412.44,415.22,412.193,413.578,189974.0
2020-12-31,414.264,423.51,411.931,422.667,330186.0
2021-01-01,414.264,423.51,411.931,422.667,330186.0
2021-01-02,414.264,423.51,411.931,422.667,330186.0
2021-01-03,414.264,423.51,411.931,422.667,330186.0
2021-01-04,421.52,422.559,406.607,411.352,437100.0
2021-01-05,411.774,415.843,406.053,410.989,514923.0
2021-01-06,410.352,418.465,409.872,415.127,711673.0
2021-01-07,415.738,424.211,415.065,422.728,441030.0
2021-01-08,423.729,425.035,418.359,423.239,310537.0
2021-01-09,423.729,425.035,418.359,423.239,310537.0
2021-01-10,423.729,425.035,418.359,423.239,310537.0
2021-01-11,419.037,430.788,418.035,430.533,697436.0
2021-01-12,429.414,431.563,419.871,422.149,541999.0
2021-01-13,421.304,421.304,405.223,405.616,703736.0
2021-01-14,406.48,407.206,398.262,399.981,683102.0
2021-01-15,399.077,406.814,394.885,404.114,1019177.0
2021-01-16,399.077,406.814,394.885,404.114,1019177.0
2021-01-17,399.077,406.814,394.885,404.114,1019177.0
2021-01-18,399.077,406.814,394.885,404.114,1019177.0
2021-01-19,408.414,413.499,404.762,406.873,497266.0
2021-01-20,410.132,415.797,407.697,412.851,420637.0
2021-01-21,413.077,416.131,410.939,413.725,359820.0
2021-01-22,413.99,413.99,404.968,411.575,412532.0
2021-01-23,413.99,413.99,404.968,411.575,412532.0
2021-01-24,413.99,413.99,404.968,411.575,412532.0
2021-01-25,412.763,418.692,410.333,411.467,408215.0
2021-01-26,413.195,414.363,406.351,409.7,322645.0
2021-01-27,406.499,413.647,402.356,412.341,588601.0
2021-01-28,413.843,421.736,413.843,415.119,618517.0
2021-01-29,412.341,417.819,385.401,385.745,1192739.0
2021-01-30,412.341,417.819,385.401,385.745,1192739.0
2021-01-31,412.341,417.819,385.401,385.745,1192739.0
2021-02-01,388.641,395.71,382.246,384.223,817441.0
2021-02-02,386.295,394.748,383.988,390.742,888808.0
2021-02-03,388.572,396.142,386.894,394.365,619235.0
2021-02-04,396.122,398.596,393.668,396.387,437776.0
2021-02-05,399.185,404.183,396.878,397.565,494451.0
2021-02-06,399.185,404.183,396.878,397.565,494451.0
2021-02-07,399.185,404.183,396.878,397.565,494451.0
2021-02-08,398.292,401.679,395.857,399.735,378905.0
2021-02-09,399.912,401.915,394.895,396.368,677104.0
2021-02-10,400.118,400.118,393.324,394.522,742077.0
2021-02-11,395.425,397.271,390.507,392.715,341032.0
2021-02-12,390.261,394.758,387.797,388.798,716184.0
2021-02-13,390.261,394.758,387.797,388.798,716184.0
2021-02-14,390.261,394.758,387.797,388.798,716184.0
2021-02-15,390.261,394.758,387.797,388.798,716184.0
2021-02-16,390.723,390.889,376.615,376.801,774667.0
2021-02-17,376.801,381.101,370.066,380.061,1517142.0
2021-02-18,378.814,389.122,377.547,388.337,574065.0
2021-02-19,388.337,389.554,379.717,381.818,736028.0
2021-02-20,388.337,389.554,379.717,381.818,736028.0
2021-02-21,388.337,389.554,379.717,381.818,736028.0
2021-02-22,379.874,383.035,375.584,376.919,813415.0
2021-02-23,379.069,384.724,370.312,380.767,1053085.0
2021-02-24,380.011,381.268,366.443,371.912,1298483.0
2021-02-25,371.048,374.288,366.507,372.197,747427.0
2021-02-26,374.838,378.49,370.734,370.734,531683.0
2021-02-27,374.838,378.49,370.734,370.734,531683.0
2021-02-28,374.838,378.49,370.734,370.734,531683.0
2021-03-01,372.805,381.15,372.805,377.901,820676.0
2021-03-02,379.962,380.316,371.146,374.141,502895.0
2021-03-03,372.854,378.961,371.794,373.65,796545.0
2021-03-04,372.962,373.518,358.57,365.108,619087.0
2021-03-05,368.004,371.765,360.504,370.066,637081.0
2021-03-06,368.004,371.765,360.504,370.066,637081.0
2021-03-07,368.004,371.765,360.504,370.066,637081.0
2021-03-08,371.441,383.899,369.065,378.352,909081.0
2021-03-09,379.197,388.838,379.197,382.564,731499.0
2021-03-10,384.439,384.557,377.321,379.02,556914.0
2021-03-11,379.314,384.105,377.035,380.375,395298.0
2021-03-12,382.22,383.383,377.753,379.324,493143.0
2021-03-13,382.22,383.383,377.753,379.324,493143.0
2021-03-14,382.22,383.383,377.753,379.324,493143.0
2021-03-15,380.061,386.992,378.5,383.732,542975.0
2021-03-16,383.85,385.323,377.999,380.905,574872.0
2021-03-17,385.342,391.999,382.682,386.373,671501.0
2021-03-18,391.881,400.55,390.202,393.953,794816.0
2021-03-19,393.413,394.993,387.375,387.797,1157860.0
2021-03-20,393.413,394.993,387.375,387.797,1157860.0
2021-03-21,393.413,394.993,387.375,387.797,1157860.0
2021-03-22,386.216,396.206,383.889,393.972,488260.0
2021-03-23,391.233,399.333,391.233,397.281,547400.0
2021-03-24,396.643,402.759,396.289,398.871,690689.0
2021-03-25,398.802,398.842,390.624,395.995,631065.0
2021-03-26,396.829,403.083,394.463,402.877,448031.0
2021-03-27,396.829,403.083,394.463,402.877,448031.0
2021-03-28,396.829,403.083,394.463,402.877,448031.0
2021-03-29,400.265,402.337,394.443,400.903,430546.0
2021-03-30,400.56,400.943,394.551,395.661,347130.0
2021-03-31,397.31,399.661,394.384,395.985,609920.0
2021-04-01,398.494,404.59,396.739,403.43,421804.0
2021-04-02,398.494,404.59,396.739,403.43,421804.0
2021-04-03,398.494,404.59,396.739,403.43,421804.0
2021-04-04,398.494,404.59,396.739,403.43,421804.0
2021-04-05,405.249,409.962,405.249,407.844,249446.0
2021-04-06,410.007,413.246,407.205,408.631,479168.0
2021-04-07,407.097,411.462,407.097,407.746,328983.0
2021-04-08,410.4,414.923,409.938,411.147,381732.0
2021-04-09,412.917,415.857,411.413,414.47,339395.0
2021-04-10,412.917,415.857,411.413,414.47,339395.0
2021-04-11,412.917,415.857,411.413,414.47,339395.0
2021-04-12,413.448,418.619,413.448,418.472,436896.0
2021-04-13,418.364,418.364,413.477,414.51,285212.0
2021-04-14,414.441,418.329,411.069,411.934,358840.0
2021-04-15,414.057,417.833,413.084,417.784,359377.0
2021-04-16,421.333,421.333,413.104,416.151,477236.0
2021-04-17,421.333,421.333,413.104,416.151,477236.0
2021-04-18,421.333,421.333,413.104,416.151,477236.0
2021-04-19,417.144,419.445,414.175,418.285,533670.0
2021-04-20,416.997,420.743,414.633,419.357,368685.0
2021-04-21,419.809,425.304,418.226,422.404,387024.0
2021-04-22,422.247,427.399,421.057,423.859,447380.0
2021-04-23,425.295,428.549,422.719,426.897,346647.0
2021-04-24,425.295,428.549,422.719,426.897,346647.0
2021-04-25,425.295,428.549,422.719,426.897,346647.0
2021-04-26,426.17,430.515,424.144,425.078,402405.0
2021-04-27,424.862,440.381,422.817,438.341,792160.0
2021-04-28,439.599,440.287,431.636,434.88,332163.0
2021-04-29,435.46,440.818,433.868,438.331,297644.0
2021-04-30,438.39,440.032,435.903,438.911,514454.0
2021-05-01,438.39,440.032,435.903,438.911,514454.0
2021-05-02,438.39,440.032,435.903,438.911,514454.0
2021-05-03,439.54,441.959,434.398,437.564,344573.0
2021-05-04,437.495,442.411,434.752,440.818,452347.0
2021-05-05,441.88,442.883,434.679,442.559,449131.0
2021-05-06,441.094,444.613,434.448,438.675,459715.0
2021-05-07,438.675,441.91,436.64,436.964,327091.0
2021-05-08,438.675,441.91,436.64,436.964,327091.0
