,USNA US Equity,USNA US Equity,USNA US Equity,USNA US Equity,USNA US Equity
2019-08-01,67.95,71.08,67.95,68.53,309845.0
2019-08-02,68.23,69.35,66.99,68.35,381257.0
2019-08-03,68.23,69.35,66.99,68.35,381257.0
2019-08-04,68.23,69.35,66.99,68.35,381257.0
2019-08-05,67.43,67.43,65.3,65.78,335083.0
2019-08-06,66.17,68.6,65.67,68.24,260814.0
2019-08-07,67.67,68.905,67.185,67.93,307085.0
2019-08-08,67.93,69.57,67.78,69.02,267283.0
2019-08-09,68.87,69.55,67.03,67.06,303127.0
2019-08-10,68.87,69.55,67.03,67.06,303127.0
2019-08-11,68.87,69.55,67.03,67.06,303127.0
2019-08-12,66.92,69.23,66.5,69.07,219262.0
2019-08-13,68.98,71.3569,68.735,69.38,256938.0
2019-08-14,68.62,68.64,66.86,67.05,171584.0
2019-08-15,67.48,67.7,64.87,65.22,173783.0
2019-08-16,65.66,67.605,65.11,67.41,116967.0
2019-08-17,65.66,67.605,65.11,67.41,116967.0
2019-08-18,65.66,67.605,65.11,67.41,116967.0
2019-08-19,68.19,68.38,66.965,68.1,115899.0
2019-08-20,68.03,68.28,66.37,66.99,128216.0
2019-08-21,67.35,67.62,66.49,67.49,92539.0
2019-08-22,66.78,67.24,65.87,66.37,145184.0
2019-08-23,66.07,67.16,63.79,64.29,231715.0
2019-08-24,66.07,67.16,63.79,64.29,231715.0
2019-08-25,66.07,67.16,63.79,64.29,231715.0
2019-08-26,64.82,65.56,63.82,65.55,153108.0
2019-08-27,65.96,66.45,64.94,65.4,107642.0
2019-08-28,65.32,66.57,65.14,66.25,110492.0
2019-08-29,66.7,67.5,66.0,67.01,112481.0
2019-08-30,67.47,68.12,66.875,67.97,91801.0
2019-08-31,67.47,68.12,66.875,67.97,91801.0
2019-09-01,67.47,68.12,66.875,67.97,91801.0
2019-09-02,67.47,68.12,66.875,67.97,91801.0
2019-09-03,67.58,68.77,67.29,68.64,136216.0
2019-09-04,69.24,69.47,67.46,68.32,186305.0
2019-09-05,68.79,70.9,68.7,70.15,229098.0
2019-09-06,70.71,70.74,68.4,70.27,119511.0
2019-09-07,70.71,70.74,68.4,70.27,119511.0
2019-09-08,70.71,70.74,68.4,70.27,119511.0
2019-09-09,70.05,71.54,69.9,71.43,150656.0
2019-09-10,71.2,72.89,70.42,72.81,174689.0
2019-09-11,72.81,74.55,72.32,74.27,161109.0
2019-09-12,74.43,74.43,71.34,71.99,198776.0
2019-09-13,72.18,72.96,71.27,71.72,141304.0
2019-09-14,72.18,72.96,71.27,71.72,141304.0
2019-09-15,72.18,72.96,71.27,71.72,141304.0
2019-09-16,71.55,72.79,70.4,72.06,152501.0
2019-09-17,71.65,71.78,70.09,71.33,111821.0
2019-09-18,71.58,71.585,69.06,69.76,150670.0
2019-09-19,70.45,70.76,69.32,69.39,171479.0
2019-09-20,69.3,69.59,67.21,68.83,369115.0
2019-09-21,69.3,69.59,67.21,68.83,369115.0
2019-09-22,69.3,69.59,67.21,68.83,369115.0
2019-09-23,68.83,70.06,67.76,67.95,145779.0
2019-09-24,68.37,69.54,67.79,68.85,184650.0
2019-09-25,68.52,72.09,68.46,71.79,179047.0
2019-09-26,71.36,72.0,70.5,71.31,182320.0
2019-09-27,71.09,71.9,68.38,69.18,146995.0
2019-09-28,71.09,71.9,68.38,69.18,146995.0
2019-09-29,71.09,71.9,68.38,69.18,146995.0
2019-09-30,69.08,69.54,68.29,68.39,122337.0
2019-10-01,68.42,70.15,68.01,68.56,219411.0
2019-10-02,68.55,69.845,66.91,67.18,330090.0
2019-10-03,67.21,68.59,66.54,68.24,206009.0
2019-10-04,68.5,69.0,67.42,68.29,159862.0
2019-10-05,68.5,69.0,67.42,68.29,159862.0
2019-10-06,68.5,69.0,67.42,68.29,159862.0
2019-10-07,68.22,69.2,67.6,69.09,172437.0
2019-10-08,68.48,68.48,66.03,66.23,190171.0
2019-10-09,66.81,68.5,66.4,67.34,184301.0
2019-10-10,67.59,70.29,67.32,69.33,154392.0
2019-10-11,70.0,71.25,68.0,68.4,143283.0
2019-10-12,70.0,71.25,68.0,68.4,143283.0
2019-10-13,70.0,71.25,68.0,68.4,143283.0
2019-10-14,68.12,69.02,66.9,68.68,179544.0
2019-10-15,69.03,70.29,68.3,68.96,156239.0
2019-10-16,68.9,70.32,68.51,70.15,143723.0
2019-10-17,70.47,71.5,70.13,70.51,105037.0
2019-10-18,70.24,70.34,68.39,69.64,109388.0
2019-10-19,70.24,70.34,68.39,69.64,109388.0
2019-10-20,70.24,70.34,68.39,69.64,109388.0
2019-10-21,70.15,70.59,69.24,69.9,96963.0
2019-10-22,70.18,72.97,69.6,72.62,164726.0
2019-10-23,74.53,80.71,73.0,77.92,394920.0
2019-10-24,77.77,78.14,73.38,74.41,220439.0
2019-10-25,74.09,75.82,72.99,73.24,141516.0
2019-10-26,74.09,75.82,72.99,73.24,141516.0
2019-10-27,74.09,75.82,72.99,73.24,141516.0
2019-10-28,73.47,74.82,73.47,74.18,216147.0
2019-10-29,73.99,74.94,73.74,74.51,139374.0
2019-10-30,74.8,76.54,73.79,75.33,88943.0
2019-10-31,75.05,75.05,73.33,74.11,80568.0
2019-11-01,74.48,75.285,73.95,74.99,83765.0
2019-11-02,74.48,75.285,73.95,74.99,83765.0
2019-11-03,74.48,75.285,73.95,74.99,83765.0
2019-11-04,75.3,76.91,75.275,76.75,109642.0
2019-11-05,76.5,76.71,74.68,75.63,157946.0
2019-11-06,75.37,76.36,73.5,75.01,196225.0
2019-11-07,75.4,76.83,75.01,75.28,96267.0
2019-11-08,74.7,75.85,74.12,75.81,65787.0
2019-11-09,74.7,75.85,74.12,75.81,65787.0
2019-11-10,74.7,75.85,74.12,75.81,65787.0
2019-11-11,75.52,76.44,74.83,75.19,102045.0
2019-11-12,75.38,75.91,74.185,74.39,73762.0
2019-11-13,74.09,74.53,73.336,73.99,75477.0
2019-11-14,74.02,74.61,71.87,72.13,146009.0
2019-11-15,72.66,73.2132,71.26,72.1,91131.0
2019-11-16,72.66,73.2132,71.26,72.1,91131.0
2019-11-17,72.66,73.2132,71.26,72.1,91131.0
2019-11-18,71.89,73.12,71.7942,71.85,83388.0
2019-11-19,72.08,72.91,71.69,72.45,82372.0
2019-11-20,72.27,73.04,71.165,71.32,80427.0
2019-11-21,71.3,71.54,70.89,71.14,90895.0
2019-11-22,71.43,73.27,71.07,72.04,76870.0
2019-11-23,71.43,73.27,71.07,72.04,76870.0
2019-11-24,71.43,73.27,71.07,72.04,76870.0
2019-11-25,72.28,74.51,71.88,74.13,106742.0
2019-11-26,74.08,74.63,73.32,73.45,67619.0
2019-11-27,73.89,74.02,73.105,73.75,48201.0
2019-11-28,73.89,74.02,73.105,73.75,48201.0
2019-11-29,73.7,74.33,73.15,73.6,48666.0
2019-11-30,73.7,74.33,73.15,73.6,48666.0
2019-12-01,73.7,74.33,73.15,73.6,48666.0
2019-12-02,73.83,74.41,73.45,73.67,102332.0
2019-12-03,73.11,73.41,72.5,73.11,81130.0
2019-12-04,73.46,74.925,72.95,74.35,166543.0
2019-12-05,74.5,74.87,73.54,74.47,92735.0
2019-12-06,74.87,76.62,74.87,76.32,102666.0
2019-12-07,74.87,76.62,74.87,76.32,102666.0
2019-12-08,74.87,76.62,74.87,76.32,102666.0
2019-12-09,76.02,76.99,75.98,76.01,77950.0
2019-12-10,75.99,76.86,74.6,75.02,94868.0
2019-12-11,75.06,75.52,74.59,74.91,54272.0
2019-12-12,74.78,77.18,74.78,76.4,97798.0
2019-12-13,76.38,76.63,75.28,75.77,104017.0
2019-12-14,76.38,76.63,75.28,75.77,104017.0
2019-12-15,76.38,76.63,75.28,75.77,104017.0
2019-12-16,76.38,78.19,76.13,77.55,86261.0
2019-12-17,77.6,77.62,76.03,76.59,101901.0
2019-12-18,77.02,77.87,76.59,77.25,83949.0
2019-12-19,76.73,77.87,76.73,77.74,99756.0
2019-12-20,78.27,79.61,78.23,79.24,384537.0
2019-12-21,78.27,79.61,78.23,79.24,384537.0
2019-12-22,78.27,79.61,78.23,79.24,384537.0
2019-12-23,79.87,79.88,78.77,79.24,125668.0
2019-12-24,79.06,79.44,78.25,78.61,42925.0
2019-12-25,79.06,79.44,78.25,78.61,42925.0
2019-12-26,79.0,80.13,78.86,80.03,66925.0
2019-12-27,80.39,80.45,79.435,80.0,64229.0
2019-12-28,80.39,80.45,79.435,80.0,64229.0
2019-12-29,80.39,80.45,79.435,80.0,64229.0
2019-12-30,80.0,80.0,78.28,78.55,113527.0
2019-12-31,78.8,79.52,78.35,78.55,123107.0
2020-01-01,78.8,79.52,78.35,78.55,123107.0
2020-01-02,79.0,79.0,77.05,77.9,158783.0
2020-01-03,77.26,77.5,76.47,77.09,117507.0
2020-01-04,77.26,77.5,76.47,77.09,117507.0
2020-01-05,77.26,77.5,76.47,77.09,117507.0
2020-01-06,76.81,78.64,76.47,78.45,145197.0
2020-01-07,78.29,78.99,77.31,77.98,78726.0
2020-01-08,77.96,81.72,77.66,81.45,234831.0
2020-01-09,81.49,81.85,80.0,81.54,94835.0
2020-01-10,81.54,82.17,81.16,81.35,90602.0
2020-01-11,81.54,82.17,81.16,81.35,90602.0
2020-01-12,81.54,82.17,81.16,81.35,90602.0
2020-01-13,81.42,81.45,79.105,79.45,77733.0
2020-01-14,79.38,79.93,78.92,79.21,67365.0
2020-01-15,79.26,80.41,79.26,80.1,51349.0
2020-01-16,80.43,81.42,80.11,81.13,55225.0
2020-01-17,81.61,81.71,80.13,81.32,52583.0
2020-01-18,81.61,81.71,80.13,81.32,52583.0
2020-01-19,81.61,81.71,80.13,81.32,52583.0
2020-01-20,81.61,81.71,80.13,81.32,52583.0
2020-01-21,81.14,81.14,79.93,80.43,80768.0
2020-01-22,80.57,80.57,78.89,78.95,58346.0
2020-01-23,78.68,78.94,76.34,76.66,122703.0
2020-01-24,76.91,76.91,73.815,74.28,106082.0
2020-01-25,76.91,76.91,73.815,74.28,106082.0
2020-01-26,76.91,76.91,73.815,74.28,106082.0
2020-01-27,72.89,72.955,66.81,66.82,279818.0
2020-01-28,66.82,67.19,64.62,65.1,192238.0
2020-01-29,65.01,65.99,64.639,64.7,144394.0
2020-01-30,64.07,65.38,63.66,65.01,157588.0
2020-01-31,64.55,65.0,61.57,61.7,167260.0
2020-02-01,64.55,65.0,61.57,61.7,167260.0
2020-02-02,64.55,65.0,61.57,61.7,167260.0
2020-02-03,61.9,65.43,61.7,63.02,211149.0
2020-02-04,64.52,67.19,63.43,65.93,361648.0
2020-02-05,81.96,81.96,75.0468,78.94,565741.0
2020-02-06,78.65,80.99,78.56,80.71,322974.0
2020-02-07,80.06,81.0,78.37,80.7,206668.0
2020-02-08,80.06,81.0,78.37,80.7,206668.0
2020-02-09,80.06,81.0,78.37,80.7,206668.0
2020-02-10,80.26,84.02,80.0,83.52,298337.0
2020-02-11,83.15,83.615,79.2994,79.86,227735.0
2020-02-12,80.99,82.535,80.29,80.5,206837.0
2020-02-13,78.51,79.35,74.99,75.19,352527.0
2020-02-14,75.74,76.06,74.09,75.14,126318.0
2020-02-15,75.74,76.06,74.09,75.14,126318.0
2020-02-16,75.74,76.06,74.09,75.14,126318.0
2020-02-17,75.74,76.06,74.09,75.14,126318.0
2020-02-18,75.0,75.21,71.59,72.56,278973.0
2020-02-19,73.09,73.345,71.19,71.38,187441.0
2020-02-20,71.0,72.87,71.0,71.47,145365.0
2020-02-21,71.26,71.49,69.55,70.46,123741.0
2020-02-22,71.26,71.49,69.55,70.46,123741.0
2020-02-23,71.26,71.49,69.55,70.46,123741.0
2020-02-24,68.46,69.0,66.555,67.26,228598.0
2020-02-25,67.69,68.1425,64.86,66.53,307594.0
2020-02-26,66.63,68.99,65.38,65.71,331678.0
2020-02-27,64.66,66.66,63.39,65.07,217476.0
2020-02-28,63.07,66.76,63.07,66.1,379400.0
2020-02-29,63.07,66.76,63.07,66.1,379400.0
2020-03-01,63.07,66.76,63.07,66.1,379400.0
2020-03-02,66.46,70.35,66.07,70.2,342440.0
2020-03-03,70.26,72.835,69.05,69.38,290420.0
2020-03-04,70.4,75.19,69.87,74.92,186463.0
2020-03-05,73.22,74.17,70.5,72.9,264049.0
2020-03-06,70.9,74.31,70.9,74.03,198208.0
2020-03-07,70.9,74.31,70.9,74.03,198208.0
2020-03-08,70.9,74.31,70.9,74.03,198208.0
2020-03-09,69.26,72.37,67.2,68.57,315577.0
2020-03-10,70.26,72.06,68.59,70.51,237312.0
2020-03-11,68.93,70.28,67.5,69.88,196550.0
2020-03-12,65.5,69.59,60.52,60.68,344172.0
2020-03-13,63.61,64.875,61.0,62.23,301293.0
2020-03-14,63.61,64.875,61.0,62.23,301293.0
2020-03-15,63.61,64.875,61.0,62.23,301293.0
2020-03-16,59.47,60.0,54.5001,54.89,265782.0
2020-03-17,55.94,57.48,48.21,50.0,233352.0
2020-03-18,47.48,47.75,43.01,45.78,239208.0
2020-03-19,45.33,52.92,44.01,49.7,261681.0
2020-03-20,50.1,51.43,45.775,47.75,258791.0
2020-03-21,50.1,51.43,45.775,47.75,258791.0
2020-03-22,50.1,51.43,45.775,47.75,258791.0
2020-03-23,47.62,51.73,45.81,50.31,256003.0
2020-03-24,52.31,56.12,51.09,56.09,182621.0
2020-03-25,56.41,58.09,52.96,56.2,275700.0
2020-03-26,56.72,62.98,56.54,62.39,353094.0
2020-03-27,60.49,61.25,57.39,59.35,203433.0
2020-03-28,60.49,61.25,57.39,59.35,203433.0
2020-03-29,60.49,61.25,57.39,59.35,203433.0
2020-03-30,59.78,60.97,56.76,57.97,245508.0
2020-03-31,57.53,59.63,57.0,57.76,232448.0
2020-04-01,56.0,57.7,55.0,55.29,174850.0
2020-04-02,55.66,62.87,55.66,62.72,302587.0
2020-04-03,62.7,64.26,61.14,62.38,299641.0
2020-04-04,62.7,64.26,61.14,62.38,299641.0
2020-04-05,62.7,64.26,61.14,62.38,299641.0
2020-04-06,64.2,70.87,63.79,70.12,366609.0
2020-04-07,72.39,73.96,67.01,69.4,303217.0
2020-04-08,70.14,71.0,68.01,70.94,143817.0
2020-04-09,72.64,73.82,67.81,68.7,181934.0
2020-04-10,72.64,73.82,67.81,68.7,181934.0
2020-04-11,72.64,73.82,67.81,68.7,181934.0
2020-04-12,72.64,73.82,67.81,68.7,181934.0
2020-04-13,68.76,70.19,66.04,69.45,134407.0
2020-04-14,70.64,70.85,68.34,70.64,141484.0
2020-04-15,68.88,69.95,67.01,67.98,194452.0
2020-04-16,67.72,69.15,67.21,68.45,140870.0
2020-04-17,69.8,69.9,67.09,68.6,224343.0
2020-04-18,69.8,69.9,67.09,68.6,224343.0
2020-04-19,69.8,69.9,67.09,68.6,224343.0
2020-04-20,67.38,68.89,65.22,66.91,179016.0
2020-04-21,65.79,69.49,65.0,68.88,222788.0
2020-04-22,75.77,82.65,74.63,78.64,697387.0
2020-04-23,78.71,83.36,78.71,80.97,264989.0
2020-04-24,81.89,84.75,80.94,83.78,277123.0
2020-04-25,81.89,84.75,80.94,83.78,277123.0
2020-04-26,81.89,84.75,80.94,83.78,277123.0
2020-04-27,83.84,87.9656,83.2284,86.22,235242.0
2020-04-28,87.0,87.0,82.58,83.79,245010.0
2020-04-29,85.0,89.17,83.81,87.64,211905.0
2020-04-30,86.27,90.94,85.71,89.22,192607.0
2020-05-01,87.2,89.0,84.37,84.53,157503.0
2020-05-02,87.2,89.0,84.37,84.53,157503.0
2020-05-03,87.2,89.0,84.37,84.53,157503.0
2020-05-04,84.13,85.93,83.73,85.46,219688.0
2020-05-05,86.74,87.88,80.75,82.14,1487093.0
2020-05-06,82.55,85.5,80.95,82.85,413176.0
2020-05-07,84.85,87.0,84.15,86.7,354896.0
2020-05-08,88.14,89.5,86.41,87.99,232634.0
