,WM US Equity,WM US Equity,WM US Equity,WM US Equity,WM US Equity
2020-03-27,89.0661,91.9166,87.4492,89.0661,4126196.0
2020-03-28,89.0661,91.9166,87.4492,89.0661,4126196.0
2020-03-29,89.0661,91.9166,87.4492,89.0661,4126196.0
2020-03-30,89.8511,91.281,86.5427,88.4119,3812202.0
2020-03-31,87.4586,87.6081,84.8791,86.5053,4798605.0
2020-04-01,84.2529,84.3931,81.2155,82.6455,3438168.0
2020-04-02,81.8698,85.8698,81.6361,85.1782,3859558.0
2020-04-03,84.6829,85.5698,82.2071,83.1969,2702776.0
2020-04-04,84.6829,85.5698,82.2071,83.1969,2702776.0
2020-04-05,84.6829,85.5698,82.2071,83.1969,2702776.0
2020-04-06,85.9913,86.4025,84.6174,85.3184,5680139.0
2020-04-07,89.2623,89.2623,85.2062,85.4492,5158525.0
2020-04-08,86.1875,89.8979,84.9632,89.3651,3765230.0
2020-04-09,90.2343,95.2904,90.2156,93.3184,3558165.0
2020-04-10,90.2343,95.2904,90.2156,93.3184,3558165.0
2020-04-11,90.2343,95.2904,90.2156,93.3184,3558165.0
2020-04-12,90.2343,95.2904,90.2156,93.3184,3558165.0
2020-04-13,93.1222,94.0568,89.7904,90.4212,1977991.0
2020-04-14,92.3371,93.3932,90.5708,93.1128,3052583.0
2020-04-15,91.0287,91.5218,89.5427,90.3091,2212988.0
2020-04-16,90.5801,91.3091,89.1969,91.1689,2083023.0
2020-04-17,93.4212,94.0941,91.9838,93.711,2917624.0
2020-04-18,93.4212,94.0941,91.9838,93.711,2917624.0
2020-04-19,93.4212,94.0941,91.9838,93.711,2917624.0
2020-04-20,92.4025,93.494,91.7203,91.7764,1427108.0
2020-04-21,89.8698,91.739,89.4446,90.4025,2420202.0
2020-04-22,91.6175,92.7951,91.01,92.2997,2369454.0
2020-04-23,92.0661,93.3091,91.281,91.3932,1956720.0
2020-04-24,91.6642,92.5521,90.4773,92.0381,1560055.0
2020-04-25,91.6642,92.5521,90.4773,92.0381,1560055.0
2020-04-26,91.6642,92.5521,90.4773,92.0381,1560055.0
2020-04-27,92.7483,95.0755,92.5614,94.5147,1641316.0
2020-04-28,96.1596,96.44,93.524,95.01,2446494.0
2020-04-29,96.1783,96.2998,93.9353,94.3371,2322825.0
2020-04-30,93.4586,93.7857,91.7016,93.4773,1823662.0
2020-05-01,92.2063,92.2063,90.7296,91.7857,1601822.0
2020-05-02,92.2063,92.2063,90.7296,91.7857,1601822.0
2020-05-03,92.2063,92.2063,90.7296,91.7857,1601822.0
2020-05-04,91.4119,93.3091,90.9072,93.0474,1680319.0
2020-05-05,93.3932,93.8792,92.1595,92.5427,3045074.0
2020-05-06,93.9259,94.024,89.4679,90.4679,4564092.0
2020-05-07,92.01,95.6549,91.6829,94.8138,2504338.0
2020-05-08,95.2904,96.2063,93.767,94.3652,1761806.0
2020-05-09,95.2904,96.2063,93.767,94.3652,1761806.0
2020-05-10,95.2904,96.2063,93.767,94.3652,1761806.0
2020-05-11,93.468,94.6082,92.767,93.9259,1487443.0
2020-05-12,94.3839,94.3839,91.7635,91.8792,2141949.0
2020-05-13,91.8231,92.3371,89.795,90.2063,2246684.0
2020-05-14,89.5427,90.9726,87.9726,90.8231,2324380.0
2020-05-15,90.0567,90.9539,88.8885,89.6549,3174169.0
2020-05-16,90.0567,90.9539,88.8885,89.6549,3174169.0
2020-05-17,90.0567,90.9539,88.8885,89.6549,3174169.0
2020-05-18,92.253,93.954,91.7577,93.1409,2944213.0
2020-05-19,92.8511,93.496,91.8698,91.8979,1773003.0
2020-05-20,92.5988,93.982,91.6736,92.9446,1602031.0
2020-05-21,92.5614,93.5614,92.1782,92.4586,1361990.0
2020-05-22,92.4119,92.524,91.7109,92.4493,1079290.0
2020-05-23,92.4119,92.524,91.7109,92.4493,1079290.0
2020-05-24,92.4119,92.524,91.7109,92.4493,1079290.0
2020-05-25,92.4119,92.524,91.7109,92.4493,1079290.0
2020-05-26,93.9913,95.8231,93.9353,94.954,2088083.0
2020-05-27,95.9727,97.6643,95.7297,97.4773,2842078.0
2020-05-28,98.4587,100.2531,98.2157,99.5334,2681519.0
2020-05-29,100.1409,100.4213,99.2063,99.7671,3078867.0
2020-05-30,100.1409,100.4213,99.2063,99.7671,3078867.0
2020-05-31,100.1409,100.4213,99.2063,99.7671,3078867.0
2020-06-01,100.0007,100.1034,99.0194,99.0755,1629264.0
2020-06-02,99.0848,100.9634,98.6456,100.4026,1773745.0
2020-06-03,101.2624,103.44,100.7054,103.0007,2336060.0
2020-06-04,102.3762,102.9679,100.601,101.4275,1728241.0
2020-06-05,103.2496,105.9489,102.132,105.3817,2932013.0
2020-06-06,103.2496,105.9489,102.132,105.3817,2932013.0
2020-06-07,103.2496,105.9489,102.132,105.3817,2932013.0
2020-06-08,105.0624,106.6684,104.6867,106.6309,2422331.0
2020-06-09,105.2408,105.5695,103.5502,104.4894,2820240.0
2020-06-10,104.9027,105.0417,102.3386,102.6861,2109931.0
2020-06-11,100.648,101.1176,96.8535,96.9286,2825989.0
2020-06-12,99.0137,99.7651,95.67,97.5767,2581467.0
2020-06-13,99.0137,99.7651,95.67,97.5767,2581467.0
2020-06-14,99.0137,99.7651,95.67,97.5767,2581467.0
2020-06-15,95.4634,99.0701,95.3789,98.1402,2064495.0
2020-06-16,100.4977,101.0331,97.9899,99.2767,2094587.0
2020-06-17,100.122,100.1596,98.854,99.2767,1255098.0
2020-06-18,98.8822,99.2767,97.7927,98.2811,1200908.0
2020-06-19,99.8121,100.2441,95.5479,95.5855,3408297.0
2020-06-20,99.8121,100.2441,95.5479,95.5855,3408297.0
2020-06-21,99.8121,100.2441,95.5479,95.5855,3408297.0
2020-06-22,95.7452,97.4828,94.9353,97.3982,2161215.0
2020-06-23,98.1966,98.5629,96.7267,97.5485,1954009.0
2020-06-24,97.1352,97.2573,95.1159,95.2098,2893430.0
2020-06-25,94.8623,96.7877,94.3455,96.1678,3196025.0
2020-06-26,96.2336,97.1728,95.8908,96.5623,5908088.0
2020-06-27,96.2336,97.1728,95.8908,96.5623,5908088.0
2020-06-28,96.2336,97.1728,95.8908,96.5623,5908088.0
2020-06-29,97.2949,97.5579,96.1491,97.2667,1952380.0
2020-06-30,97.2386,99.8402,97.0789,99.4739,1929314.0
2020-07-01,99.4739,99.906,98.3562,98.7038,1255039.0
2020-07-02,99.2485,99.7049,98.3844,98.5911,1438781.0
2020-07-03,99.2485,99.7049,98.3844,98.5911,1438781.0
2020-07-04,99.2485,99.7049,98.3844,98.5911,1438781.0
2020-07-05,99.2485,99.7049,98.3844,98.5911,1438781.0
2020-07-06,99.3612,99.643,98.0764,98.8165,1868165.0
2020-07-07,98.3562,98.8634,97.9759,98.2623,1585087.0
2020-07-08,97.727,98.159,96.2524,96.8535,1728624.0
2020-07-09,96.6281,96.7408,94.8163,95.8767,2029781.0
2020-07-10,95.8203,97.5485,95.8203,97.5109,1189221.0
2020-07-11,95.8203,97.5485,95.8203,97.5109,1189221.0
2020-07-12,95.8203,97.5485,95.8203,97.5109,1189221.0
2020-07-13,97.9899,99.0372,97.417,97.9899,2439904.0
2020-07-14,98.1496,99.7745,98.112,99.7463,1811837.0
2020-07-15,100.4226,100.864,99.8121,100.3005,2015682.0
2020-07-16,100.1126,101.5778,100.0469,100.9297,1637233.0
2020-07-17,101.3618,102.7425,100.864,102.0944,3225476.0
2020-07-18,101.3618,102.7425,100.864,102.0944,3225476.0
2020-07-19,101.3618,102.7425,100.864,102.0944,3225476.0
2020-07-20,101.6811,101.8032,99.8308,100.0938,1407722.0
2020-07-21,100.4319,101.7563,100.2817,100.9861,1266686.0
2020-07-22,100.5353,101.8878,100.1126,101.6342,1239657.0
2020-07-23,101.8032,102.4325,100.9673,101.4651,1497534.0
2020-07-24,102.0756,102.3386,100.5447,100.7607,1224125.0
2020-07-25,102.0756,102.3386,100.5447,100.7607,1224125.0
2020-07-26,102.0756,102.3386,100.5447,100.7607,1224125.0
2020-07-27,100.9673,101.0331,100.1126,100.5634,1214050.0
2020-07-28,100.2817,101.4557,100.2817,100.9861,1402042.0
2020-07-29,101.5872,103.4328,101.3524,102.9867,1466051.0
2020-07-30,101.9441,102.996,100.7795,102.7331,1873429.0
2020-07-31,102.1977,102.9585,101.6811,102.9397,1468028.0
2020-08-01,102.1977,102.9585,101.6811,102.9397,1468028.0
2020-08-02,102.1977,102.9585,101.6811,102.9397,1468028.0
2020-08-03,103.2778,103.2778,102.0474,102.3574,1486242.0
2020-08-04,101.8032,102.348,101.4463,102.2071,1276153.0
2020-08-05,102.6391,103.2496,102.1038,102.5452,1523859.0
2020-08-06,102.5264,103.7005,102.5264,103.6629,1437066.0
2020-08-07,103.3999,106.3491,103.3999,105.8701,1867434.0
2020-08-08,103.3999,106.3491,103.3999,105.8701,1867434.0
2020-08-09,103.3999,106.3491,103.3999,105.8701,1867434.0
2020-08-10,105.4662,105.8513,104.2264,104.8275,1770937.0
2020-08-11,105.2878,105.5601,104.1231,104.8088,1563514.0
2020-08-12,105.222,105.8795,104.8088,105.4287,1506382.0
2020-08-13,104.5833,104.9309,103.8038,104.574,891400.0
2020-08-14,104.4237,105.2408,103.9212,104.6961,1057670.0
2020-08-15,104.4237,105.2408,103.9212,104.6961,1057670.0
2020-08-16,104.4237,105.2408,103.9212,104.6961,1057670.0
2020-08-17,104.7054,105.3535,103.8414,104.1325,1468382.0
2020-08-18,104.1701,104.79,103.9071,104.264,1193469.0
2020-08-19,104.8651,105.0479,103.5314,103.8414,935652.0
2020-08-20,103.4375,103.9259,103.1088,103.4563,1119022.0
2020-08-21,103.6629,104.6961,103.1839,104.4049,1495306.0
2020-08-22,103.6629,104.6961,103.1839,104.4049,1495306.0
2020-08-23,103.6629,104.6961,103.1839,104.4049,1495306.0
2020-08-24,104.7148,105.7292,104.3955,105.6729,1332195.0
2020-08-25,106.1331,106.4806,105.8745,106.3115,2106152.0
2020-08-26,106.3679,108.0115,105.8936,106.9784,2122351.0
2020-08-27,107.0723,108.0303,106.9032,107.3259,1289675.0
2020-08-28,107.2883,107.3541,106.3303,107.0817,1242518.0
2020-08-29,107.2883,107.3541,106.3303,107.0817,1242518.0
2020-08-30,107.2883,107.3541,106.3303,107.0817,1242518.0
2020-08-31,106.7342,107.5137,106.6778,107.0723,1504787.0
2020-09-01,106.4242,106.9032,105.964,106.7342,1290093.0
2020-09-02,106.7342,108.0679,106.4806,107.2132,2806611.0
2020-09-03,107.1141,107.6992,104.3489,104.9623,2324609.0
2020-09-04,105.4908,105.9627,102.9239,104.9529,2224214.0
2020-09-05,105.4908,105.9627,102.9239,104.9529,2224214.0
2020-09-06,105.4908,105.9627,102.9239,104.9529,2224214.0
2020-09-07,105.4908,105.9627,102.9239,104.9529,2224214.0
2020-09-08,104.9246,105.3965,103.9148,104.2451,1490210.0
2020-09-09,104.5093,107.0291,104.3442,106.2269,1738141.0
2020-09-10,106.4723,106.5761,105.085,105.3965,1123676.0
2020-09-11,105.6135,107.2179,105.3115,106.7837,1505886.0
2020-09-12,105.6135,107.2179,105.3115,106.7837,1505886.0
2020-09-13,105.6135,107.2179,105.3115,106.7837,1505886.0
2020-09-14,107.4255,110.0302,107.2556,109.8131,2111252.0
2020-09-15,109.9453,111.1627,109.6244,110.4832,1709139.0
2020-09-16,110.9173,112.2244,110.1151,110.2756,2050715.0
2020-09-17,109.615,110.8418,108.7656,109.0581,2097426.0
2020-09-18,108.7562,110.0019,108.3975,108.7845,3063297.0
2020-09-19,108.7562,110.0019,108.3975,108.7845,3063297.0
2020-09-20,108.7562,110.0019,108.3975,108.7845,3063297.0
2020-09-21,107.8219,107.9823,106.8923,107.869,2109467.0
2020-09-22,107.6614,108.9826,107.5387,108.5013,1088658.0
2020-09-23,106.8404,107.468,105.4153,105.4436,1580494.0
2020-09-24,105.5286,106.1231,104.0469,105.0378,1818591.0
2020-09-25,104.7547,107.4444,104.6132,107.2367,1175109.0
2020-09-26,104.7547,107.4444,104.6132,107.2367,1175109.0
2020-09-27,104.7547,107.4444,104.6132,107.2367,1175109.0
2020-09-28,108.1522,108.7278,107.4727,107.6237,1265582.0
2020-09-29,107.7558,108.2024,106.9536,107.0291,1042629.0
2020-09-30,107.3972,107.8879,106.2081,106.8026,2130597.0
2020-10-01,107.5482,107.5765,105.7228,106.5384,1510718.0
2020-10-02,105.3776,108.1144,105.3021,107.4821,1089792.0
2020-10-03,105.3776,108.1144,105.3021,107.4821,1089792.0
2020-10-04,105.3776,108.1144,105.3021,107.4821,1089792.0
2020-10-05,108.3692,108.5863,107.4349,107.8124,1242579.0
2020-10-06,108.3503,108.5768,106.5478,106.8781,1404794.0
2020-10-07,107.4444,107.9634,106.9536,107.4727,1086048.0
2020-10-08,107.8974,108.4258,107.501,108.2465,910493.0
2020-10-09,108.6523,109.1903,108.2277,108.86,1097264.0
2020-10-10,108.6523,109.1903,108.2277,108.86,1097264.0
2020-10-11,108.6523,109.1903,108.2277,108.86,1097264.0
2020-10-12,109.313,110.5964,109.1714,110.2473,1217370.0
2020-10-13,110.5493,110.9834,108.6052,109.0015,1614356.0
2020-10-14,108.709,109.2988,107.8502,108.1333,1020678.0
2020-10-15,107.8879,108.9921,107.5859,108.7845,884066.0
2020-10-16,109.077,109.9075,108.9921,109.3507,1910147.0
2020-10-17,109.077,109.9075,108.9921,109.3507,1910147.0
2020-10-18,109.077,109.9075,108.9921,109.3507,1910147.0
2020-10-19,109.4734,109.6716,107.1518,107.3028,1456678.0
2020-10-20,108.2937,109.0865,107.6425,107.8785,832832.0
2020-10-21,107.4915,108.6712,107.2273,107.7464,1007989.0
2020-10-22,107.8502,109.5111,107.6425,109.2563,1324399.0
2020-10-23,109.7093,110.252,109.0015,110.134,1593979.0
2020-10-24,109.7093,110.252,109.0015,110.134,1593979.0
2020-10-25,109.7093,110.252,109.0015,110.134,1593979.0
2020-10-26,109.2752,109.4923,106.4629,107.0197,1392649.0
2020-10-27,105.7173,106.2741,104.1413,104.4055,2481073.0
2020-10-28,103.0749,103.6411,100.7438,100.942,1884076.0
2020-10-29,101.3384,102.4992,100.1398,101.4988,2082880.0
2020-10-30,101.3195,102.2349,100.2437,101.8386,1930795.0
2020-10-31,101.3195,102.2349,100.2437,101.8386,1930795.0
2020-11-01,101.3195,102.2349,100.2437,101.8386,1930795.0
2020-11-02,102.9427,105.6041,102.7729,104.4433,2064423.0
2020-11-03,105.8872,108.6523,105.8872,108.256,2357327.0
2020-11-04,107.7369,111.5256,107.7369,109.5206,1989233.0
2020-11-05,111.3514,113.8146,110.4738,112.9558,2682509.0
2020-11-06,113.2483,113.5881,112.2197,112.5688,1311798.0
2020-11-07,113.2483,113.5881,112.2197,112.5688,1311798.0
2020-11-08,113.2483,113.5881,112.2197,112.5688,1311798.0
2020-11-09,116.542,118.4955,113.9562,114.1543,2398650.0
2020-11-10,114.0977,116.7779,113.4021,116.4382,1963381.0
2020-11-11,116.4759,116.7779,115.3812,115.8908,1025751.0
2020-11-12,115.5605,115.9285,113.8995,114.277,1216847.0
2020-11-13,115.1452,115.702,114.4752,115.0603,865132.0
2020-11-14,115.1452,115.702,114.4752,115.0603,865132.0
2020-11-15,115.1452,115.702,114.4752,115.0603,865132.0
2020-11-16,115.5794,116.2589,114.2251,115.1264,1678050.0
2020-11-17,114.5413,114.8218,113.824,114.4752,1634281.0
2020-11-18,115.2679,115.8436,113.6919,113.7485,1204533.0
2020-11-19,113.3899,114.277,112.1914,113.7957,1172678.0
2020-11-20,114.2204,114.3903,113.2389,113.5786,950926.0
2020-11-21,114.2204,114.3903,113.2389,113.5786,950926.0
2020-11-22,114.2204,114.3903,113.2389,113.5786,950926.0
2020-11-23,114.0411,114.2015,112.852,113.3521,936253.0
2020-11-24,113.9656,114.7017,113.2955,113.6541,1433126.0
2020-11-25,113.2483,113.3405,111.9965,112.9086,1400801.0
2020-11-26,113.2483,113.3405,111.9965,112.9086,1400801.0
2020-11-27,113.0879,113.2295,112.1819,112.4839,616089.0
2020-11-28,113.0879,113.2295,112.1819,112.4839,616089.0
2020-11-29,113.0879,113.2295,112.1819,112.4839,616089.0
2020-11-30,111.9743,113.1371,111.6345,112.4273,1566622.0
2020-12-01,113.4088,113.8146,112.5594,112.9086,1545277.0
2020-12-02,112.6255,113.0077,110.0585,110.5398,1621659.0
2020-12-03,110.554,111.8151,110.1748,111.066,1619462.0
2020-12-04,110.7437,111.5686,110.7437,111.4453,1638514.0
2020-12-05,110.7437,111.5686,110.7437,111.4453,1638514.0
2020-12-06,110.7437,111.5686,110.7437,111.4453,1638514.0
2020-12-07,111.4453,111.7961,110.4213,110.7152,1173476.0
2020-12-08,109.9093,111.1893,109.7766,110.6963,1234666.0
2020-12-09,111.1988,111.1988,109.6059,110.5351,1611862.0
2020-12-10,110.1179,110.6014,108.762,108.9801,1672870.0
2020-12-11,108.8758,110.1369,108.2406,109.4257,1426129.0
2020-12-12,108.8758,110.1369,108.2406,109.4257,1426129.0
2020-12-13,108.8758,110.1369,108.2406,109.4257,1426129.0
2020-12-14,109.9567,110.7816,108.781,108.8284,1227839.0
2020-12-15,110.0136,110.7626,109.568,110.7247,1479680.0
2020-12-16,110.6014,111.0527,109.8666,110.061,997240.0
2020-12-17,110.4972,112.2086,110.3265,111.4169,1890657.0
2020-12-18,111.7297,112.4788,110.8574,111.322,3232877.0
2020-12-19,111.7297,112.4788,110.8574,111.322,3232877.0
2020-12-20,111.7297,112.4788,110.8574,111.322,3232877.0
2020-12-21,110.4497,110.6536,108.25,110.4687,1392321.0
2020-12-22,110.7342,111.9004,109.9567,111.8056,1695311.0
2020-12-23,111.7013,112.1754,110.2031,110.2222,957075.0
2020-12-24,110.4213,110.9523,110.1843,110.9333,466056.0
2020-12-25,110.4213,110.9523,110.1843,110.9333,466056.0
2020-12-26,110.4213,110.9523,110.1843,110.9333,466056.0
2020-12-27,110.4213,110.9523,110.1843,110.9333,466056.0
2020-12-28,111.4074,112.1564,110.6489,111.9668,1172158.0
2020-12-29,112.3555,112.7348,110.4877,110.7626,863873.0
2020-12-30,110.81,111.3694,110.4213,110.8669,735925.0
2020-12-31,110.5256,111.9383,110.4403,111.8151,898548.0
2021-01-01,110.5256,111.9383,110.4403,111.8151,898548.0
2021-01-02,110.5256,111.9383,110.4403,111.8151,898548.0
2021-01-03,110.5256,111.9383,110.4403,111.8151,898548.0
2021-01-04,111.8814,111.9478,108.3318,108.8758,1731113.0
2021-01-05,108.5724,109.4352,108.1363,109.2361,1336135.0
2021-01-06,109.7955,112.2986,109.2361,111.6539,1617851.0
2021-01-07,111.4074,112.2511,110.8148,111.9289,1827580.0
2021-01-08,112.2512,112.7811,111.1514,112.4503,1372742.0
2021-01-09,112.2512,112.7811,111.1514,112.4503,1372742.0
2021-01-10,112.2512,112.7811,111.1514,112.4503,1372742.0
2021-01-11,111.5022,111.9952,110.6117,110.9712,1541741.0
2021-01-12,111.1229,111.5401,109.5338,110.3644,1477582.0
2021-01-13,110.1084,110.7816,109.6154,110.1843,1444831.0
2021-01-14,110.5825,110.7057,108.4966,108.6957,1605682.0
2021-01-15,108.3259,109.5111,108.1837,108.7715,3799177.0
2021-01-16,108.3259,109.5111,108.1837,108.7715,3799177.0
2021-01-17,108.3259,109.5111,108.1837,108.7715,3799177.0
2021-01-18,108.3259,109.5111,108.1837,108.7715,3799177.0
2021-01-19,109.568,110.2935,108.8284,109.0465,1636884.0
2021-01-20,109.1034,109.8429,108.8758,109.0844,1916328.0
2021-01-21,108.9612,109.2266,107.1123,108.6388,2268444.0
2021-01-22,108.506,109.7955,107.9182,109.3783,1978234.0
2021-01-23,108.506,109.7955,107.9182,109.3783,1978234.0
2021-01-24,108.506,109.7955,107.9182,109.3783,1978234.0
2021-01-25,109.3783,110.0041,108.0414,108.269,1542526.0
2021-01-26,108.5724,108.5961,107.7632,108.0414,1709466.0
2021-01-27,107.1407,107.3588,104.4385,105.2065,2505098.0
2021-01-28,105.7185,108.525,105.5289,106.2969,1952863.0
2021-01-29,105.9176,106.7994,104.7229,105.5478,1891855.0
2021-01-30,105.9176,106.7994,104.7229,105.5478,1891855.0
2021-01-31,105.9176,106.7994,104.7229,105.5478,1891855.0
2021-02-01,106.0883,106.752,105.3914,106.2779,1229643.0
2021-02-02,107.0554,108.0035,106.752,107.1407,1579507.0
2021-02-03,107.0364,107.4157,106.24,106.4012,1343157.0
2021-02-04,106.3632,107.6148,106.0788,107.2166,1206562.0
2021-02-05,107.7001,108.6577,107.4441,107.8329,1423234.0
2021-02-06,107.7001,108.6577,107.4441,107.8329,1423234.0
2021-02-07,107.7001,108.6577,107.4441,107.8329,1423234.0
2021-02-08,108.1647,108.8,107.757,108.4492,1618331.0
2021-02-09,108.4492,108.8189,107.5769,107.6622,1155757.0
2021-02-10,108.3259,108.4829,106.6097,107.7949,1734014.0
2021-02-11,108.0889,108.2311,107.0364,107.3493,1289834.0
2021-02-12,106.989,107.4631,106.5434,107.3777,1123226.0
2021-02-13,106.989,107.4631,106.5434,107.3777,1123226.0
2021-02-14,106.989,107.4631,106.5434,107.3777,1123226.0
2021-02-15,106.989,107.4631,106.5434,107.3777,1123226.0
2021-02-16,106.4106,107.8897,106.3063,106.7614,2077987.0
2021-02-17,106.3443,106.97,106.1262,106.3917,2090292.0
2021-02-18,105.3582,107.7475,105.3297,107.5484,3645603.0
2021-02-19,107.6622,107.6622,105.1117,105.8417,2934536.0
2021-02-20,107.6622,107.6622,105.1117,105.8417,2934536.0
2021-02-21,107.6622,107.6622,105.1117,105.8417,2934536.0
2021-02-22,105.3866,105.472,103.5757,104.8272,3271803.0
2021-02-23,104.6281,106.6761,103.4524,104.2204,2892483.0
2021-02-24,104.6092,106.1641,104.2963,106.0693,3076452.0
2021-02-25,105.8133,107.6053,105.8133,106.4486,2567340.0
2021-02-26,106.8563,107.8329,104.9695,105.1401,2607671.0
2021-02-27,106.8563,107.8329,104.9695,105.1401,2607671.0
2021-02-28,106.8563,107.8329,104.9695,105.1401,2607671.0
