,LBRT US Equity,LBRT US Equity,LBRT US Equity,LBRT US Equity,LBRT US Equity
2020-02-04,7.9534,8.1235,7.7589,7.7881,657628.0
2020-02-05,7.9631,8.6534,7.9631,8.6243,1125218.0
2020-02-06,7.9826,8.3034,7.5159,7.5839,2537297.0
2020-02-07,7.5547,7.7589,7.1075,7.545,1131419.0
2020-02-08,7.5547,7.7589,7.1075,7.545,1131419.0
2020-02-09,7.5547,7.7589,7.1075,7.545,1131419.0
2020-02-10,7.4089,7.5936,7.1075,7.5742,950715.0
2020-02-11,7.6714,7.7298,7.3992,7.4964,674279.0
2020-02-12,7.72,7.827,7.4915,7.5159,650679.0
2020-02-13,7.4478,7.5706,7.37,7.5256,496224.0
2020-02-14,7.5547,7.827,7.4672,7.7784,594013.0
2020-02-15,7.5547,7.827,7.4672,7.7784,594013.0
2020-02-16,7.5547,7.827,7.4672,7.7784,594013.0
2020-02-17,7.5547,7.827,7.4672,7.7784,594013.0
2020-02-18,7.7006,7.7589,7.5353,7.7589,421081.0
2020-02-19,7.8464,8.1187,7.7881,8.0506,431071.0
2020-02-20,8.0312,8.1867,7.9777,8.1381,573657.0
2020-02-21,8.0701,8.0701,7.5839,7.7492,984908.0
2020-02-22,8.0701,8.0701,7.5839,7.7492,984908.0
2020-02-23,8.0701,8.0701,7.5839,7.7492,984908.0
2020-02-24,7.4478,7.4478,7.0589,7.1172,1079032.0
2020-02-25,7.1853,7.195,6.5338,6.6408,510217.0
2020-02-26,6.6991,6.8352,6.5922,6.6311,599690.0
2020-02-27,6.3685,6.4901,5.9893,6.3394,1736911.0
2020-02-28,6.0866,6.5047,5.9953,6.5047,1220298.0
2020-02-29,6.0866,6.5047,5.9953,6.5047,1220298.0
2020-03-01,6.0866,6.5047,5.9953,6.5047,1220298.0
2020-03-02,6.5727,6.5727,5.9893,6.2908,955822.0
2020-03-03,6.2616,6.4949,5.9991,6.1157,934543.0
2020-03-04,6.2324,6.3199,5.79,5.8921,970272.0
2020-03-05,5.7353,5.7745,5.2255,5.3823,836905.0
2020-03-06,5.0882,5.2941,4.5588,4.5686,979665.0
2020-03-07,5.0882,5.2941,4.5588,4.5686,979665.0
2020-03-08,5.0882,5.2941,4.5588,4.5686,979665.0
2020-03-09,3.5588,3.7647,2.6765,3.5784,3124194.0
2020-03-10,3.8235,3.9019,2.8627,3.0882,2374581.0
2020-03-11,3.098,3.3431,2.9608,3.1863,1664837.0
2020-03-12,3.0196,3.0196,2.5392,2.8039,1487399.0
2020-03-13,3.0784,3.1765,2.6078,2.9216,1441589.0
2020-03-14,3.0784,3.1765,2.6078,2.9216,1441589.0
2020-03-15,3.0784,3.1765,2.6078,2.9216,1441589.0
2020-03-16,2.7745,3.2549,2.6127,2.7647,850869.0
2020-03-17,2.7647,2.951,2.5441,2.951,1502955.0
2020-03-18,2.7255,3.0098,2.2647,2.3529,964674.0
2020-03-19,2.3333,2.8823,2.3039,2.7059,766345.0
2020-03-20,2.6961,2.7647,2.1274,2.3627,1675320.0
2020-03-21,2.6961,2.7647,2.1274,2.3627,1675320.0
2020-03-22,2.6961,2.7647,2.1274,2.3627,1675320.0
2020-03-23,2.451,2.5196,2.147,2.3529,777203.0
2020-03-24,2.5294,2.8235,2.4314,2.7941,724687.0
2020-03-25,2.7157,2.7941,2.4559,2.6078,740146.0
2020-03-26,2.6078,3.0392,2.6078,2.951,725947.0
2020-03-27,2.8431,2.8431,2.5098,2.5882,507020.0
2020-03-28,2.8431,2.8431,2.5098,2.5882,507020.0
2020-03-29,2.8431,2.8431,2.5098,2.5882,507020.0
2020-03-30,2.5294,2.951,2.4608,2.598,756125.0
2020-03-31,2.7255,2.8823,2.5588,2.6372,1059695.0
2020-04-01,2.4314,2.6765,2.2059,2.2157,667389.0
2020-04-02,2.3235,2.7745,2.3039,2.4216,857641.0
2020-04-03,2.4706,2.6568,2.2353,2.4314,1305610.0
2020-04-04,2.4706,2.6568,2.2353,2.4314,1305610.0
2020-04-05,2.4706,2.6568,2.2353,2.4314,1305610.0
2020-04-06,2.5784,2.8431,2.4755,2.6274,1679356.0
2020-04-07,2.7647,3.0,2.5784,2.6372,1298391.0
2020-04-08,2.6961,3.2745,2.6372,3.2745,849582.0
2020-04-09,3.4314,3.598,2.9216,3.2745,1182588.0
2020-04-10,3.4314,3.598,2.9216,3.2745,1182588.0
2020-04-11,3.4314,3.598,2.9216,3.2745,1182588.0
2020-04-12,3.4314,3.598,2.9216,3.2745,1182588.0
2020-04-13,3.3921,3.6863,3.1568,3.3725,655670.0
2020-04-14,3.3921,3.5294,3.0588,3.1863,556758.0
2020-04-15,3.098,3.098,2.6961,2.7941,661717.0
2020-04-16,2.7941,2.7941,2.4657,2.5784,520828.0
2020-04-17,2.6274,2.7745,2.6094,2.7451,640956.0
2020-04-18,2.6274,2.7745,2.6094,2.7451,640956.0
2020-04-19,2.6274,2.7745,2.6094,2.7451,640956.0
2020-04-20,2.4804,2.9314,2.3529,2.8137,1161044.0
2020-04-21,2.7059,2.8235,2.5882,2.7255,570470.0
2020-04-22,2.8627,2.9608,2.5882,2.6863,893379.0
2020-04-23,2.7843,3.4902,2.6961,3.4215,1085652.0
2020-04-24,3.5196,3.7843,3.1274,3.5098,882098.0
2020-04-25,3.5196,3.7843,3.1274,3.5098,882098.0
2020-04-26,3.5196,3.7843,3.1274,3.5098,882098.0
2020-04-27,3.4314,3.4314,2.8627,3.2353,1063190.0
2020-04-28,3.3235,3.5196,3.1912,3.5196,581006.0
2020-04-29,3.8725,5.0,3.8529,4.7647,4100973.0
2020-04-30,4.8529,4.9019,4.2171,4.6274,1599184.0
2020-05-01,4.4117,4.5637,3.951,4.2059,927234.0
2020-05-02,4.4117,4.5637,3.951,4.2059,927234.0
2020-05-03,4.4117,4.5637,3.951,4.2059,927234.0
2020-05-04,3.9804,4.0588,3.75,4.0588,1067859.0
2020-05-05,4.3823,4.5784,4.0882,4.1372,1016124.0
2020-05-06,4.1961,4.2843,3.9608,4.0686,701887.0
2020-05-07,4.1764,4.2941,4.1176,4.1764,798879.0
2020-05-08,4.3137,4.7059,4.2794,4.6176,703438.0
2020-05-09,4.3137,4.7059,4.2794,4.6176,703438.0
2020-05-10,4.3137,4.7059,4.2794,4.6176,703438.0
2020-05-11,4.451,4.6323,4.2843,4.5196,718633.0
2020-05-12,4.598,4.8725,4.3921,4.6176,751523.0
2020-05-13,4.4902,4.5,3.9313,4.1568,1166151.0
2020-05-14,3.9313,4.2745,3.9216,4.1764,366653.0
2020-05-15,4.1862,4.3921,4.0686,4.2549,445749.0
2020-05-16,4.1862,4.3921,4.0686,4.2549,445749.0
2020-05-17,4.1862,4.3921,4.0686,4.2549,445749.0
2020-05-18,4.5392,5.0098,4.5392,5.0,1094953.0
2020-05-19,5.0,5.0,4.6225,4.8725,685803.0
2020-05-20,5.0,5.2745,4.9019,5.2451,649423.0
2020-05-21,5.3039,5.3823,5.0588,5.3137,531163.0
2020-05-22,5.3529,5.3529,4.8529,4.9019,348070.0
2020-05-23,5.3529,5.3529,4.8529,4.9019,348070.0
2020-05-24,5.3529,5.3529,4.8529,4.9019,348070.0
2020-05-25,5.3529,5.3529,4.8529,4.9019,348070.0
2020-05-26,4.9509,5.3235,4.9509,5.2451,955453.0
2020-05-27,5.4411,5.4727,5.2058,5.3137,488805.0
2020-05-28,5.5392,5.8431,5.3235,5.3235,992563.0
2020-05-29,5.2941,5.3529,4.9313,5.049,798267.0
2020-05-30,5.2941,5.3529,4.9313,5.049,798267.0
2020-05-31,5.2941,5.3529,4.9313,5.049,798267.0
2020-06-01,5.0882,5.2221,4.9742,5.098,522982.0
2020-06-02,5.2255,5.6372,5.1373,5.549,501304.0
2020-06-03,5.6568,5.7843,5.5686,5.6372,540547.0
2020-06-04,5.6372,6.0735,5.5882,5.9804,525058.0
2020-06-05,6.5196,7.2178,6.5098,6.8725,1067071.0
2020-06-06,6.5196,7.2178,6.5098,6.8725,1067071.0
2020-06-07,6.5196,7.2178,6.5098,6.8725,1067071.0
2020-06-08,7.2451,7.3529,6.7745,7.1862,1781678.0
2020-06-09,6.8529,7.196,6.75,6.8921,693463.0
2020-06-10,6.8627,7.0882,6.5588,6.5686,930844.0
2020-06-11,5.9215,6.2451,5.5588,5.6078,895606.0
2020-06-12,5.9706,6.1078,5.7402,5.8333,809413.0
2020-06-13,5.9706,6.1078,5.7402,5.8333,809413.0
2020-06-14,5.9706,6.1078,5.7402,5.8333,809413.0
2020-06-15,5.5196,6.1568,5.4902,6.0196,650165.0
2020-06-16,6.4509,6.5931,6.1176,6.2451,868961.0
2020-06-17,6.196,6.2255,5.8235,5.8823,463275.0
2020-06-18,5.8137,6.1862,5.7353,6.1372,478196.0
2020-06-19,6.3823,6.4804,6.2255,6.4313,1633177.0
2020-06-20,6.3823,6.4804,6.2255,6.4313,1633177.0
2020-06-21,6.3823,6.4804,6.2255,6.4313,1633177.0
2020-06-22,6.3529,6.4509,6.098,6.3823,1598560.0
2020-06-23,6.4313,6.5098,6.2353,6.3431,859463.0
2020-06-24,6.1764,6.196,5.6372,5.6862,810255.0
2020-06-25,5.5882,5.6934,5.397,5.5588,905741.0
2020-06-26,5.5098,5.5588,5.0,5.0098,1974343.0
2020-06-27,5.5098,5.5588,5.0,5.0098,1974343.0
2020-06-28,5.5098,5.5588,5.0,5.0098,1974343.0
2020-06-29,5.0784,5.5294,5.0295,5.2941,1039086.0
2020-06-30,5.1568,5.3725,5.049,5.3725,1047561.0
2020-07-01,5.4019,5.5882,5.2843,5.3627,661279.0
2020-07-02,5.5588,5.6126,5.3333,5.4411,481081.0
2020-07-03,5.5588,5.6126,5.3333,5.4411,481081.0
2020-07-04,5.5588,5.6126,5.3333,5.4411,481081.0
2020-07-05,5.5588,5.6126,5.3333,5.4411,481081.0
2020-07-06,5.6274,5.8235,5.4264,5.5882,566531.0
2020-07-07,5.4902,5.5784,5.3333,5.3333,565569.0
2020-07-08,5.4706,5.5,5.1372,5.3039,658942.0
2020-07-09,5.2745,5.3725,4.9215,5.1176,636380.0
2020-07-10,5.0882,5.2941,5.0059,5.2549,355806.0
2020-07-11,5.0882,5.2941,5.0059,5.2549,355806.0
2020-07-12,5.0882,5.2941,5.0059,5.2549,355806.0
2020-07-13,5.2843,5.2843,4.9313,4.9411,476964.0
2020-07-14,4.9117,5.4313,4.8137,5.4215,802126.0
2020-07-15,5.6372,6.0686,5.6176,6.0098,518694.0
2020-07-16,5.9313,5.9706,5.7157,5.8725,278906.0
2020-07-17,5.8725,6.0294,5.7549,5.8529,317567.0
2020-07-18,5.8725,6.0294,5.7549,5.8529,317567.0
2020-07-19,5.8725,6.0294,5.7549,5.8529,317567.0
2020-07-20,5.8823,6.2255,5.7941,6.1078,791157.0
2020-07-21,6.2647,6.6029,6.2647,6.4607,526619.0
2020-07-22,6.3725,6.3725,6.1568,6.3235,278492.0
2020-07-23,6.2549,6.4705,6.2255,6.4705,388989.0
2020-07-24,6.4705,6.4902,6.3333,6.3725,184464.0
2020-07-25,6.4705,6.4902,6.3333,6.3725,184464.0
2020-07-26,6.4705,6.4902,6.3333,6.3725,184464.0
2020-07-27,6.3725,6.5882,6.196,6.5784,482299.0
2020-07-28,6.5784,6.5784,6.1372,6.2255,488762.0
2020-07-29,6.3431,6.3725,5.9117,6.3235,534166.0
2020-07-30,6.1568,6.2451,5.8529,5.9706,622678.0
2020-07-31,5.8921,5.9411,5.3627,5.5392,561980.0
2020-08-01,5.8921,5.9411,5.3627,5.5392,561980.0
2020-08-02,5.8921,5.9411,5.3627,5.5392,561980.0
2020-08-03,5.5392,5.8823,5.4215,5.8431,370737.0
2020-08-04,5.8137,6.2205,5.8137,6.1862,397864.0
2020-08-05,6.3137,6.5686,6.2451,6.5196,308081.0
2020-08-06,6.5196,6.5196,6.2255,6.2451,195558.0
2020-08-07,6.196,6.3725,6.098,6.3529,458586.0
2020-08-08,6.196,6.3725,6.098,6.3529,458586.0
2020-08-09,6.196,6.3725,6.098,6.3529,458586.0
2020-08-10,6.3823,6.8039,6.3529,6.7647,536765.0
2020-08-11,6.8627,7.1666,6.7647,6.9705,610222.0
2020-08-12,7.0098,7.196,6.9902,7.1764,541313.0
2020-08-13,7.1274,7.1862,7.0588,7.147,277329.0
2020-08-14,7.0588,7.2058,6.9803,7.2058,194789.0
2020-08-15,7.0588,7.2058,6.9803,7.2058,194789.0
2020-08-16,7.0588,7.2058,6.9803,7.2058,194789.0
2020-08-17,7.1764,7.1862,7.0392,7.1274,387709.0
2020-08-18,7.0686,7.1274,6.7451,6.7549,236868.0
2020-08-19,6.7843,7.0686,6.7745,6.9117,162441.0
2020-08-20,6.7451,6.7941,6.647,6.7058,128934.0
2020-08-21,6.549,6.6176,6.2785,6.3431,177833.0
2020-08-22,6.549,6.6176,6.2785,6.3431,177833.0
2020-08-23,6.549,6.6176,6.2785,6.3431,177833.0
2020-08-24,6.4607,6.696,6.3235,6.5392,439530.0
2020-08-25,6.647,6.647,6.3333,6.4215,198868.0
2020-08-26,6.4804,6.5882,6.2451,6.3039,172356.0
2020-08-27,6.3725,6.5784,6.3039,6.5098,169478.0
2020-08-28,6.5196,6.7156,6.4215,6.6764,315054.0
2020-08-29,6.5196,6.7156,6.4215,6.6764,315054.0
2020-08-30,6.5196,6.7156,6.4215,6.6764,315054.0
2020-08-31,6.6764,6.6764,6.3235,6.3235,278694.0
2020-09-01,7.1666,9.0097,7.1666,8.5784,3911259.0
2020-09-02,8.5784,9.0784,8.2549,8.4117,1813993.0
2020-09-03,8.5882,8.6666,8.2058,8.4313,675419.0
2020-09-04,8.6764,8.6764,8.2745,8.4999,468999.0
2020-09-05,8.6764,8.6764,8.2745,8.4999,468999.0
2020-09-06,8.6764,8.6764,8.2745,8.4999,468999.0
2020-09-07,8.6764,8.6764,8.2745,8.4999,468999.0
2020-09-08,8.3431,8.4901,8.0392,8.049,1190228.0
2020-09-09,8.1078,8.4019,7.9901,8.1274,820059.0
2020-09-10,8.2941,8.4313,7.9019,7.9215,2224300.0
2020-09-11,7.9313,8.3774,7.8529,7.9901,1359182.0
2020-09-12,7.9313,8.3774,7.8529,7.9901,1359182.0
2020-09-13,7.9313,8.3774,7.8529,7.9901,1359182.0
2020-09-14,8.098,8.6176,7.8921,8.4509,1340718.0
2020-09-15,8.4705,8.9509,8.3921,8.8333,955295.0
2020-09-16,8.8431,9.4999,8.745,9.1372,1256012.0
2020-09-17,8.9607,9.3333,8.8529,9.2843,1305042.0
2020-09-18,9.3333,9.696,8.7156,8.8333,3293680.0
2020-09-19,9.3333,9.696,8.7156,8.8333,3293680.0
2020-09-20,9.3333,9.696,8.7156,8.8333,3293680.0
2020-09-21,8.6568,8.6568,7.2843,7.5,1343834.0
2020-09-22,7.5882,7.6951,7.1176,7.2941,1041087.0
2020-09-23,7.2058,7.3333,6.9509,7.1372,1090204.0
2020-09-24,7.0882,7.2745,6.8431,6.9215,751566.0
2020-09-25,6.8627,7.2254,6.6372,7.2058,1029121.0
2020-09-26,6.8627,7.2254,6.6372,7.2058,1029121.0
2020-09-27,6.8627,7.2254,6.6372,7.2058,1029121.0
2020-09-28,7.3431,7.6225,7.1862,7.4509,724990.0
2020-09-29,7.4509,7.7352,7.2254,7.7254,834842.0
2020-09-30,7.8235,8.2549,7.6274,7.8333,1323964.0
2020-10-01,7.7941,8.0588,7.5147,7.8039,892757.0
2020-10-02,7.5196,8.647,7.4981,8.5098,841847.0
2020-10-03,7.5196,8.647,7.4981,8.5098,841847.0
2020-10-04,7.5196,8.647,7.4981,8.5098,841847.0
2020-10-05,8.9607,9.4215,8.7548,9.4117,767500.0
2020-10-06,9.647,10.3235,9.2745,9.2745,1947475.0
2020-10-07,8.5294,8.9068,8.3627,8.4509,2794743.0
2020-10-08,8.6764,8.7548,8.2647,8.598,1263722.0
2020-10-09,8.6176,8.8137,8.1673,8.1862,728344.0
2020-10-10,8.6176,8.8137,8.1673,8.1862,728344.0
2020-10-11,8.6176,8.8137,8.1673,8.1862,728344.0
2020-10-12,8.1372,8.1764,7.8921,8.0882,381156.0
2020-10-13,7.5294,8.0152,7.5232,7.7156,973382.0
2020-10-14,7.7254,8.1078,7.7254,7.7647,757877.0
2020-10-15,7.5588,7.8333,7.4313,7.8039,1350579.0
2020-10-16,7.7843,7.8823,7.2843,7.3627,727413.0
2020-10-17,7.7843,7.8823,7.2843,7.3627,727413.0
2020-10-18,7.7843,7.8823,7.2843,7.3627,727413.0
2020-10-19,7.4705,7.7843,7.3627,7.4509,750895.0
2020-10-20,7.549,7.7745,7.3921,7.7254,626631.0
2020-10-21,7.647,7.9607,7.549,7.6372,791953.0
2020-10-22,7.7352,8.0098,7.6666,7.8823,1320055.0
2020-10-23,7.9999,8.4019,7.9362,8.1274,574959.0
2020-10-24,7.9999,8.4019,7.9362,8.1274,574959.0
2020-10-25,7.9999,8.4019,7.9362,8.1274,574959.0
2020-10-26,7.9999,8.0196,7.3529,7.5098,607482.0
2020-10-27,7.5098,7.6862,7.2843,7.647,439207.0
2020-10-28,7.4803,7.598,6.4705,6.5196,1772995.0
2020-10-29,6.3823,6.598,6.0784,6.5392,1466285.0
2020-10-30,6.4117,6.5882,6.3823,6.549,808884.0
2020-10-31,6.4117,6.5882,6.3823,6.549,808884.0
2020-11-01,6.4117,6.5882,6.3823,6.549,808884.0
2020-11-02,6.6372,7.0098,6.4804,6.9411,820359.0
2020-11-03,7.1862,7.4215,6.9607,7.0294,1024986.0
2020-11-04,6.9215,6.9264,6.2745,6.6274,714776.0
2020-11-05,6.6666,6.9068,6.5784,6.8333,968048.0
2020-11-06,6.8333,6.9117,6.5882,6.647,459863.0
2020-11-07,6.8333,6.9117,6.5882,6.647,459863.0
2020-11-08,6.8333,6.9117,6.5882,6.647,459863.0
2020-11-09,7.4313,8.2156,7.4313,7.8137,948784.0
2020-11-10,7.9999,8.2254,7.696,7.8529,838902.0
2020-11-11,8.049,8.049,7.6274,7.8235,383131.0
2020-11-12,7.6568,8.0294,7.6274,7.7941,876566.0
2020-11-13,7.8921,8.196,7.7549,8.196,560862.0
2020-11-14,7.8921,8.196,7.7549,8.196,560862.0
2020-11-15,7.8921,8.196,7.7549,8.196,560862.0
2020-11-16,8.598,9.2548,8.5588,9.0784,893296.0
2020-11-17,8.8921,9.5097,8.7745,9.3039,807029.0
2020-11-18,9.5294,9.7254,9.3921,9.4019,954444.0
2020-11-19,9.2941,9.4803,8.9117,9.3725,412317.0
2020-11-20,9.2646,9.4215,9.0784,9.1568,396631.0
2020-11-21,9.2646,9.4215,9.0784,9.1568,396631.0
2020-11-22,9.2646,9.4215,9.0784,9.1568,396631.0
2020-11-23,9.2156,9.8823,9.196,9.8529,732302.0
2020-11-24,10.2548,10.8235,10.2254,10.696,1124841.0
2020-11-25,10.3823,10.4607,9.9509,10.2058,603036.0
2020-11-26,10.3823,10.4607,9.9509,10.2058,603036.0
2020-11-27,10.196,10.3627,9.8921,10.098,333729.0
2020-11-28,10.196,10.3627,9.8921,10.098,333729.0
2020-11-29,10.196,10.3627,9.8921,10.098,333729.0
2020-11-30,9.9019,9.9215,9.0882,9.1176,906127.0
2020-12-01,9.4803,10.0931,9.4607,10.049,773125.0
2020-12-02,9.9411,10.4411,9.7941,10.0097,551044.0
2020-12-03,10.2254,10.3529,9.7941,10.0293,547619.0
2020-12-04,10.3333,10.9509,10.3039,10.8627,1069002.0
2020-12-05,10.3333,10.9509,10.3039,10.8627,1069002.0
2020-12-06,10.3333,10.9509,10.3039,10.8627,1069002.0
2020-12-07,10.1862,10.7646,10.1862,10.4117,516810.0
2020-12-08,10.196,10.9313,10.1666,10.9117,693792.0
2020-12-09,11.0293,11.2156,10.4509,10.5784,606637.0
2020-12-10,10.5293,11.1274,10.3137,10.7548,1079649.0
2020-12-11,10.5686,10.8627,10.3627,10.8627,704693.0
2020-12-12,10.5686,10.8627,10.3627,10.8627,704693.0
2020-12-13,10.5686,10.8627,10.3627,10.8627,704693.0
2020-12-14,11.1274,11.2744,10.3529,10.3921,1038283.0
2020-12-15,10.4607,11.1666,10.4509,11.0195,758822.0
2020-12-16,11.098,11.1372,10.6274,10.6274,1260486.0
2020-12-17,10.7842,10.7842,10.3235,10.5097,759563.0
2020-12-18,10.5293,10.5686,10.3235,10.3333,3996755.0
2020-12-19,10.5293,10.5686,10.3235,10.3333,3996755.0
2020-12-20,10.5293,10.5686,10.3235,10.3333,3996755.0
2020-12-21,9.9019,10.5784,9.8137,10.2941,926554.0
2020-12-22,10.2156,10.696,10.1372,10.3921,769860.0
2020-12-23,10.4999,10.9705,10.3627,10.6568,635329.0
2020-12-24,10.7156,10.8333,10.3627,10.5391,288851.0
2020-12-25,10.7156,10.8333,10.3627,10.5391,288851.0
2020-12-26,10.7156,10.8333,10.3627,10.5391,288851.0
2020-12-27,10.7156,10.8333,10.3627,10.5391,288851.0
2020-12-28,10.549,10.794,10.1274,10.2156,496630.0
2020-12-29,10.3333,10.3333,9.8676,9.9509,593356.0
2020-12-30,10.049,10.3333,10.049,10.1274,399577.0
2020-12-31,9.9999,10.2156,9.9705,10.1078,529957.0
2021-01-01,9.9999,10.2156,9.9705,10.1078,529957.0
2021-01-02,9.9999,10.2156,9.9705,10.1078,529957.0
2021-01-03,9.9999,10.2156,9.9705,10.1078,529957.0
2021-01-04,10.2842,10.5588,9.8627,10.3823,688946.0
2021-01-05,10.549,11.8235,10.3431,11.7842,1399700.0
2021-01-06,11.8235,12.3529,11.7254,11.8823,1266869.0
2021-01-07,12.196,12.2058,11.7744,12.0489,572586.0
2021-01-08,12.2058,12.3627,11.7646,12.1372,340336.0
2021-01-09,12.2058,12.3627,11.7646,12.1372,340336.0
2021-01-10,12.2058,12.3627,11.7646,12.1372,340336.0
2021-01-11,11.6666,11.9803,11.4509,11.9215,407637.0
2021-01-12,12.2842,12.7842,12.156,12.647,564594.0
2021-01-13,12.5489,12.5489,11.8333,11.9313,440199.0
2021-01-14,12.0587,13.3136,12.0587,12.9999,671611.0
2021-01-15,12.4999,12.647,12.098,12.3921,388987.0
2021-01-16,12.4999,12.647,12.098,12.3921,388987.0
2021-01-17,12.4999,12.647,12.098,12.3921,388987.0
2021-01-18,12.4999,12.647,12.098,12.3921,388987.0
2021-01-19,12.7156,12.8823,12.3529,12.5685,572384.0
2021-01-20,12.7156,12.8921,12.1372,12.7254,624412.0
2021-01-21,12.7254,12.7352,11.696,11.794,580835.0
2021-01-22,11.4999,12.4117,11.3921,12.3333,806916.0
2021-01-23,11.4999,12.4117,11.3921,12.3333,806916.0
2021-01-24,11.4999,12.4117,11.3921,12.3333,806916.0
2021-01-25,11.9411,12.2352,11.5882,11.8529,611761.0
2021-01-26,12.1078,12.3627,11.5293,11.5391,500379.0
2021-01-27,11.3333,12.6666,11.3039,11.4999,1267514.0
2021-01-28,11.794,12.196,11.5784,11.9999,527355.0
2021-01-29,11.9901,12.4509,11.647,11.7842,636858.0
2021-01-30,11.9901,12.4509,11.647,11.7842,636858.0
2021-01-31,11.9901,12.4509,11.647,11.7842,636858.0
2021-02-01,11.8235,12.2352,11.3333,12.0391,410760.0
2021-02-02,12.4607,12.6372,12.1078,12.1176,356413.0
2021-02-03,12.0784,12.598,12.0784,12.5685,426659.0
2021-02-04,12.5489,13.1568,12.3823,13.0489,747661.0
2021-02-05,12.9411,13.3627,12.2058,12.3823,953353.0
2021-02-06,12.9411,13.3627,12.2058,12.3823,953353.0
2021-02-07,12.9411,13.3627,12.2058,12.3823,953353.0
2021-02-08,11.6274,12.1666,11.5686,12.0391,1296500.0
2021-02-09,11.0391,11.1078,10.5293,11.0391,6179121.0
2021-02-10,11.0784,11.1078,10.5686,10.9901,2573852.0
2021-02-11,11.049,11.049,10.3039,10.7842,1856673.0
2021-02-12,10.6078,10.7842,10.4117,10.6764,1100904.0
2021-02-13,10.6078,10.7842,10.4117,10.6764,1100904.0
2021-02-14,10.6078,10.7842,10.4117,10.6764,1100904.0
2021-02-15,10.6078,10.7842,10.4117,10.6764,1100904.0
2021-02-16,10.8529,11.3039,10.7842,10.9117,1116156.0
2021-02-17,10.9117,11.1764,10.4607,10.696,1234694.0
2021-02-18,10.6176,10.7744,9.8872,10.1666,1635940.0
2021-02-19,10.147,10.4999,9.7941,10.1862,1876246.0
2021-02-20,10.147,10.4999,9.7941,10.1862,1876246.0
2021-02-21,10.147,10.4999,9.7941,10.1862,1876246.0
2021-02-22,10.1764,11.1862,10.147,10.7254,1657572.0
2021-02-23,10.7548,11.1568,10.4215,11.0195,1362577.0
2021-02-24,11.0293,11.9215,11.0293,11.6666,3210595.0
2021-02-25,11.647,12.0391,11.4313,11.598,1364242.0
2021-02-26,11.3725,11.6176,10.8921,11.4607,1049760.0
2021-02-27,11.3725,11.6176,10.8921,11.4607,1049760.0
2021-02-28,11.3725,11.6176,10.8921,11.4607,1049760.0
2021-03-01,11.745,12.4215,11.5391,12.4215,1513980.0
2021-03-02,12.3725,12.6862,11.9117,11.9215,874716.0
2021-03-03,12.0587,12.3333,11.9901,12.0293,716274.0
2021-03-04,12.098,12.4215,11.6078,12.1764,1288881.0
2021-03-05,12.6666,13.3823,12.245,13.3529,1451735.0
2021-03-06,12.6666,13.3823,12.245,13.3529,1451735.0
2021-03-07,12.6666,13.3823,12.245,13.3529,1451735.0
2021-03-08,13.5391,13.9117,12.9999,13.6764,1199357.0
2021-03-09,13.6764,13.8431,13.1764,13.2352,1087313.0
