,ST US Equity,ST US Equity,ST US Equity,ST US Equity,ST US Equity
2020-03-09,34.6004,35.4312,33.4177,33.7011,2048058.0
2020-03-10,35.1966,37.3273,34.0872,37.083,1654607.0
2020-03-11,36.2326,36.6138,34.874,35.3041,1846243.0
2020-03-12,32.9192,34.141,32.1568,32.4207,1456935.0
2020-03-13,34.2094,34.4537,31.4433,33.535,1396198.0
2020-03-14,34.2094,34.4537,31.4433,33.535,1396198.0
2020-03-15,34.2094,34.4537,31.4433,33.535,1396198.0
2020-03-16,28.5111,30.8666,27.172,27.26,1324011.0
2020-03-17,27.8074,27.9637,24.0052,25.1683,2048316.0
2020-03-18,23.2624,24.1323,17.8378,22.588,3151142.0
2020-03-19,22.0699,25.7352,20.4279,25.2759,2034355.0
2020-03-20,25.9405,26.4878,24.6601,25.2172,1841064.0
2020-03-21,25.9405,26.4878,24.6601,25.2172,1841064.0
2020-03-22,25.9405,26.4878,24.6601,25.2172,1841064.0
2020-03-23,24.7187,25.2974,24.1127,24.4548,1816976.0
2020-03-24,26.3608,27.9735,25.7841,26.8202,1975618.0
2020-03-25,27.3675,30.3779,26.6833,29.2344,1577845.0
2020-03-26,29.5862,31.3554,29.3321,31.1012,989674.0
2020-03-27,29.684,30.3682,28.1494,28.4427,805500.0
2020-03-28,29.684,30.3682,28.1494,28.4427,805500.0
2020-03-29,29.684,30.3682,28.1494,28.4427,805500.0
2020-03-30,28.1885,29.0487,27.3773,28.6968,1108390.0
2020-03-31,28.5893,29.0487,28.0517,28.2765,837033.0
2020-04-01,27.1134,27.8953,26.136,27.1232,1387135.0
2020-04-02,25.315,27.8464,25.315,27.3871,1731040.0
2020-04-03,27.563,28.0713,26.5856,27.26,1378575.0
2020-04-04,27.563,28.0713,26.5856,27.26,1378575.0
2020-04-05,27.563,28.0713,26.5856,27.26,1378575.0
2020-04-06,28.9705,30.9937,28.472,30.7298,1333651.0
2020-04-07,32.4989,33.6718,31.1208,31.2478,1967924.0
2020-04-08,31.8343,32.4403,31.111,31.8441,1189998.0
2020-04-09,32.4794,34.3658,32.4794,33.5057,1459081.0
2020-04-10,32.4794,34.3658,32.4794,33.5057,1459081.0
2020-04-11,32.4794,34.3658,32.4794,33.5057,1459081.0
2020-04-12,32.4794,34.3658,32.4794,33.5057,1459081.0
2020-04-13,33.3688,33.8917,31.7365,32.2448,1707852.0
2020-04-14,32.7237,33.1929,32.4501,32.5673,1425795.0
2020-04-15,30.8373,31.8832,30.202,30.593,888652.0
2020-04-16,30.6614,30.8178,29.1464,29.7622,1369705.0
2020-04-17,30.7885,32.7335,30.7591,31.9613,1360092.0
2020-04-18,30.7885,32.7335,30.7591,31.9613,1360092.0
2020-04-19,30.7885,32.7335,30.7591,31.9613,1360092.0
2020-04-20,31.4042,32.2937,30.8178,31.5899,889411.0
2020-04-21,30.417,31.1696,30.3388,30.9644,826511.0
2020-04-22,31.7463,32.0689,31.0133,31.5117,864477.0
2020-04-23,31.8929,33.3493,31.8929,32.4305,700288.0
2020-04-24,33.017,33.9357,32.3132,33.7696,900702.0
2020-04-25,33.017,33.9357,32.3132,33.7696,900702.0
2020-04-26,33.017,33.9357,32.3132,33.7696,900702.0
2020-04-27,33.9064,36.4965,33.7696,35.6755,2080327.0
2020-04-28,37.0732,37.8649,36.0567,36.2131,2118953.0
2020-04-29,37.0341,38.6077,35.177,37.4251,2506541.0
2020-04-30,36.6725,37.0341,35.3334,35.5582,1609871.0
2020-05-01,34.6883,34.6883,32.8117,33.3493,847245.0
2020-05-02,34.6883,34.6883,32.8117,33.3493,847245.0
2020-05-03,34.6883,34.6883,32.8117,33.3493,847245.0
2020-05-04,32.714,33.1342,31.932,32.4989,737376.0
2020-05-05,33.1831,34.1605,33.1831,33.5643,562121.0
2020-05-06,33.662,34.0432,33.1538,33.4763,468614.0
2020-05-07,34.1214,34.9376,34.1214,34.8447,800386.0
2020-05-08,35.5191,36.174,35.3823,35.8808,1137922.0
2020-05-09,35.5191,36.174,35.3823,35.8808,1137922.0
2020-05-10,35.5191,36.174,35.3823,35.8808,1137922.0
2020-05-11,35.5191,35.5964,34.8252,35.0793,933139.0
2020-05-12,35.1282,35.2943,33.6034,33.8184,859129.0
2020-05-13,33.5057,33.5057,32.0053,32.2937,1036117.0
2020-05-14,31.4629,32.4794,30.7836,32.4305,821450.0
2020-05-15,32.1959,33.2418,31.9418,32.5282,894614.0
2020-05-16,32.1959,33.2418,31.9418,32.5282,894614.0
2020-05-17,32.1959,33.2418,31.9418,32.5282,894614.0
2020-05-18,34.141,35.656,33.965,35.177,1177372.0
2020-05-19,35.2552,36.0078,34.7958,35.1575,1657486.0
2020-05-20,35.8123,36.9657,35.8123,35.9394,674948.0
2020-05-21,35.8319,36.262,34.4635,34.5515,1588979.0
2020-05-22,34.5026,34.5271,33.6816,34.1605,948196.0
2020-05-23,34.5026,34.5271,33.6816,34.1605,948196.0
2020-05-24,34.5026,34.5271,33.6816,34.1605,948196.0
2020-05-25,34.5026,34.5271,33.6816,34.1605,948196.0
2020-05-26,35.8221,36.3646,35.2894,35.5289,2653610.0
2020-05-27,36.565,37.2296,35.8905,37.0048,2280720.0
2020-05-28,37.3762,37.3762,35.9199,35.959,1132904.0
2020-05-29,35.5778,35.6951,34.7421,34.8447,2204656.0
2020-05-30,35.5778,35.6951,34.7421,34.8447,2204656.0
2020-05-31,35.5778,35.6951,34.7421,34.8447,2204656.0
2020-06-01,34.8936,36.2131,34.8154,35.9394,1236519.0
2020-06-02,36.3402,36.8875,36.1935,36.8093,1197825.0
2020-06-03,37.6597,39.7513,37.2882,39.2626,2076999.0
2020-06-04,38.813,39.0965,38.0897,38.4025,1796845.0
2020-06-05,40.6212,41.452,39.8393,40.7287,1405113.0
2020-06-06,40.6212,41.452,39.8393,40.7287,1405113.0
2020-06-07,40.6212,41.452,39.8393,40.7287,1405113.0
2020-06-08,41.3445,42.1069,41.3445,42.0189,1516179.0
2020-06-09,41.0122,41.3054,40.3964,40.8949,1110287.0
2020-06-10,40.8362,40.8851,38.9792,38.9889,1604433.0
2020-06-11,37.0928,37.1025,35.3823,35.4898,1567546.0
2020-06-12,37.1416,37.816,35.7733,36.2229,1161593.0
2020-06-13,37.1416,37.816,35.7733,36.2229,1161593.0
2020-06-14,37.1416,37.816,35.7733,36.2229,1161593.0
2020-06-15,34.8936,36.9217,34.2387,36.7311,1233614.0
2020-06-16,38.6371,39.028,36.6187,37.0732,1455741.0
2020-06-17,37.2296,37.513,36.4868,36.5259,1053103.0
2020-06-18,36.1447,37.0537,36.0274,36.2717,987716.0
2020-06-19,38.0897,38.0897,35.8319,36.2229,1880795.0
2020-06-20,38.0897,38.0897,35.8319,36.2229,1880795.0
2020-06-21,38.0897,38.0897,35.8319,36.2229,1880795.0
2020-06-22,36.0958,36.6041,35.4116,36.4379,876793.0
2020-06-23,37.0048,37.1905,36.4086,36.4574,700925.0
2020-06-24,35.9785,36.0469,34.3462,34.3756,1082280.0
2020-06-25,34.2192,34.5808,33.6425,34.5613,1216276.0
2020-06-26,34.2387,35.0206,33.9064,34.9327,3064494.0
2020-06-27,34.2387,35.0206,33.9064,34.9327,3064494.0
2020-06-28,34.2387,35.0206,33.9064,34.9327,3064494.0
2020-06-29,35.5387,35.9638,34.9327,35.7635,971925.0
2020-06-30,35.6169,36.5259,35.2748,36.389,1311178.0
2020-07-01,36.3011,36.6334,34.7861,35.0109,1469830.0
2020-07-02,35.783,36.78,35.3627,35.4605,1275535.0
2020-07-03,35.783,36.78,35.3627,35.4605,1275535.0
2020-07-04,35.783,36.78,35.3627,35.4605,1275535.0
2020-07-05,35.783,36.78,35.3627,35.4605,1275535.0
2020-07-06,36.2326,36.4379,35.5609,36.1838,712854.0
2020-07-07,35.8123,36.0763,35.0402,35.2552,1146724.0
2020-07-08,35.2552,35.6266,34.8154,35.1966,1752393.0
2020-07-09,37.083,37.083,34.8349,35.2845,2290670.0
2020-07-10,35.265,35.7146,34.9913,35.6951,2496311.0
2020-07-11,35.265,35.7146,34.9913,35.6951,2496311.0
2020-07-12,35.265,35.7146,34.9913,35.6951,2496311.0
2020-07-13,36.7116,37.2882,36.1593,36.6822,1008949.0
2020-07-14,36.6529,37.7085,36.2229,37.5815,883801.0
2020-07-15,38.6762,39.6927,38.0604,39.5754,1540382.0
2020-07-16,39.5363,39.6243,38.8228,39.1746,971040.0
2020-07-17,39.2137,40.0445,39.1551,39.507,1138546.0
2020-07-18,39.2137,40.0445,39.1551,39.507,1138546.0
2020-07-19,39.2137,40.0445,39.1551,39.507,1138546.0
2020-07-20,39.2919,39.6047,38.9498,39.3506,974993.0
2020-07-21,39.8393,40.113,39.2919,39.5363,847232.0
2020-07-22,39.419,40.0543,39.331,39.7024,760218.0
2020-07-23,39.3799,40.6066,39.2724,40.2596,1416716.0
2020-07-24,40.2889,40.2889,39.419,39.507,1101888.0
2020-07-25,40.2889,40.2889,39.419,39.507,1101888.0
2020-07-26,40.2889,40.2889,39.419,39.507,1101888.0
2020-07-27,39.6047,41.1197,39.3799,40.8265,2202060.0
2020-07-28,38.8326,40.3182,38.2168,38.5686,2257659.0
2020-07-29,38.6468,39.3017,38.1581,39.1062,1076708.0
2020-07-30,38.51,38.8423,37.3664,37.9138,1364905.0
2020-07-31,37.904,38.1435,36.174,37.1221,1589999.0
2020-08-01,37.904,38.1435,36.174,37.1221,1589999.0
2020-08-02,37.904,38.1435,36.174,37.1221,1589999.0
2020-08-03,37.386,37.8845,37.1416,37.8063,1894315.0
2020-08-04,38.4025,38.5491,37.9529,38.1288,971476.0
2020-08-05,38.3634,38.8521,38.3487,38.6762,991603.0
2020-08-06,38.5002,38.7153,38.0213,38.6664,1312585.0
2020-08-07,38.6762,39.3017,38.295,39.2724,1419971.0
2020-08-08,38.6762,39.3017,38.295,39.2724,1419971.0
2020-08-09,38.6762,39.3017,38.295,39.2724,1419971.0
2020-08-10,39.1942,40.5332,39.1942,40.1716,1010794.0
2020-08-11,40.8069,41.5889,40.543,40.6896,1759141.0
2020-08-12,41.0415,41.0855,40.2302,40.846,1206930.0
2020-08-13,41.022,41.237,40.4551,40.5332,1142033.0
2020-08-14,40.1521,40.7092,40.025,40.2889,467494.0
2020-08-15,40.1521,40.7092,40.025,40.2889,467494.0
2020-08-16,40.1521,40.7092,40.025,40.2889,467494.0
2020-08-17,40.4062,40.7385,39.9761,40.4648,734351.0
2020-08-18,40.4844,40.6017,39.9468,40.0641,834643.0
2020-08-19,40.2889,40.4795,39.6291,39.7122,637450.0
2020-08-20,39.3408,39.3897,38.901,38.9694,656155.0
2020-08-21,39.1453,39.5461,38.9205,39.2919,975260.0
2020-08-22,39.1453,39.5461,38.9205,39.2919,975260.0
2020-08-23,39.1453,39.5461,38.9205,39.2919,975260.0
2020-08-24,39.6243,40.3573,39.4679,40.3573,849951.0
2020-08-25,40.6701,40.8851,40.0739,40.3475,914892.0
2020-08-26,40.4941,40.5137,39.8882,40.4453,733380.0
2020-08-27,40.5919,40.8753,40.2596,40.3573,766291.0
2020-08-28,40.543,41.3054,40.4453,41.2565,632242.0
2020-08-29,40.543,41.3054,40.4453,41.2565,632242.0
2020-08-30,40.543,41.3054,40.4453,41.2565,632242.0
2020-08-31,41.2174,41.3934,40.5821,40.6994,778859.0
2020-09-01,40.4257,41.4813,40.2205,41.2761,1000297.0
2020-09-02,41.4031,42.7617,41.4031,42.576,1248650.0
2020-09-03,42.576,42.7422,40.9438,41.149,1156179.0
2020-09-04,41.8332,41.9114,40.8362,41.5693,921250.0
2020-09-05,41.8332,41.9114,40.8362,41.5693,921250.0
2020-09-06,41.8332,41.9114,40.8362,41.5693,921250.0
2020-09-07,41.8332,41.9114,40.8362,41.5693,921250.0
2020-09-08,41.022,41.2956,40.025,40.0836,1012297.0
2020-09-09,41.2761,42.9279,41.0024,42.1167,1153450.0
2020-09-10,42.7031,42.8665,41.2077,41.2272,921346.0
2020-09-11,41.4618,42.0873,41.2565,41.7159,670796.0
2020-09-12,41.4618,42.0873,41.2565,41.7159,670796.0
2020-09-13,41.4618,42.0873,41.2565,41.7159,670796.0
2020-09-14,42.1069,42.3708,41.6475,41.9309,699414.0
2020-09-15,42.1264,42.4001,41.8185,42.1655,724274.0
2020-09-16,42.4197,43.7098,42.3024,43.1136,1428065.0
2020-09-17,42.4587,43.9737,42.1167,43.2602,1236619.0
2020-09-18,43.2407,43.5437,42.2046,42.4294,1745601.0
2020-09-19,43.2407,43.5437,42.2046,42.4294,1745601.0
2020-09-20,43.2407,43.5437,42.2046,42.4294,1745601.0
2020-09-21,41.3347,41.7843,39.9468,40.7287,1413031.0
2020-09-22,40.9242,41.452,40.6603,40.934,817933.0
2020-09-23,41.022,41.9309,40.328,40.5235,1019236.0
2020-09-24,40.3084,40.7874,39.5412,40.3475,872795.0
2020-09-25,40.1227,40.9047,39.7904,40.6408,940197.0
2020-09-26,40.1227,40.9047,39.7904,40.6408,940197.0
2020-09-27,40.1227,40.9047,39.7904,40.6408,940197.0
2020-09-28,41.6084,42.4001,41.4031,41.9212,619996.0
2020-09-29,41.9505,42.273,41.5204,41.7257,845474.0
2020-09-30,41.9505,42.6933,41.9163,42.1655,1012361.0
2020-10-01,42.8693,43.4655,42.1069,42.9768,1162104.0
2020-10-02,41.8234,43.4362,41.8234,42.6151,974626.0
2020-10-03,41.8234,43.4362,41.8234,42.6151,974626.0
2020-10-04,41.8234,43.4362,41.8234,42.6151,974626.0
2020-10-05,45.2932,45.518,44.3061,44.873,1644193.0
2020-10-06,45.4594,45.6353,44.3745,44.4624,1125988.0
2020-10-07,45.1369,45.6842,44.7361,45.215,734189.0
2020-10-08,45.2444,46.1045,45.215,45.8895,854433.0
2020-10-09,46.4955,47.0721,46.0067,46.6616,696666.0
2020-10-10,46.4955,47.0721,46.0067,46.6616,696666.0
2020-10-11,46.4955,47.0721,46.0067,46.6616,696666.0
2020-10-12,47.0428,47.0819,46.3586,46.4661,827600.0
2020-10-13,46.0947,46.4564,45.5083,45.7624,828099.0
2020-10-14,46.2902,46.4661,45.7233,46.2316,890144.0
2020-10-15,45.2346,46.6421,45.2346,46.5052,832809.0
2020-10-16,46.6909,47.0135,46.1729,46.2218,659816.0
2020-10-17,46.6909,47.0135,46.1729,46.2218,659816.0
2020-10-18,46.6909,47.0135,46.1729,46.2218,659816.0
2020-10-19,46.2316,46.6127,45.5767,45.7917,555158.0
2020-10-20,46.9451,47.4924,46.5052,46.5443,885479.0
2020-10-21,46.6421,47.1992,46.2609,46.4075,1582186.0
2020-10-22,46.6714,47.2481,46.124,47.0721,1110702.0
2020-10-23,47.5315,48.118,47.2383,47.7954,1050333.0
2020-10-24,47.5315,48.118,47.2383,47.7954,1050333.0
2020-10-25,47.5315,48.118,47.2383,47.7954,1050333.0
2020-10-26,47.1015,47.2676,46.2316,47.1503,1811347.0
2020-10-27,47.2383,47.3654,43.1332,43.3482,1939885.0
2020-10-28,42.4685,43.2895,41.5595,42.3512,1448649.0
2020-10-29,42.361,42.9475,42.0742,42.6347,1185056.0
2020-10-30,42.4197,42.7422,41.5791,42.7226,1362315.0
2020-10-31,42.4197,42.7422,41.5791,42.7226,1362315.0
2020-11-01,42.4197,42.7422,41.5791,42.7226,1362315.0
2020-11-02,43.5241,44.5406,43.3238,43.7783,1226675.0
2020-11-03,44.5504,45.0098,43.7783,44.3452,997162.0
2020-11-04,44.1594,44.1594,43.0061,43.2407,1167372.0
2020-11-05,43.8858,44.7752,43.8222,44.1692,1233496.0
2020-11-06,44.394,44.5309,43.3482,43.485,874087.0
2020-11-07,44.394,44.5309,43.3482,43.485,874087.0
2020-11-08,44.394,44.5309,43.3482,43.485,874087.0
2020-11-09,46.2413,47.2969,45.8797,45.909,2053254.0
2020-11-10,45.9383,46.212,45.2541,45.7819,1708501.0
2020-11-11,46.1436,46.4857,45.0782,45.4594,1712706.0
2020-11-12,45.1955,45.2444,44.2767,44.7557,744352.0
2020-11-13,44.7557,45.5962,44.7557,45.2541,999647.0
2020-11-14,44.7557,45.5962,44.7557,45.2541,999647.0
2020-11-15,44.7557,45.5962,44.7557,45.2541,999647.0
2020-11-16,46.2316,46.4857,45.7624,46.0165,1918869.0
2020-11-17,45.7233,47.1015,45.4496,46.8864,1190813.0
2020-11-18,47.1015,47.8443,46.9157,46.9548,955381.0
2020-11-19,47.0721,47.3556,46.3097,46.818,1609629.0
2020-11-20,46.7789,46.8571,46.3293,46.5736,912497.0
2020-11-21,46.7789,46.8571,46.3293,46.5736,912497.0
2020-11-22,46.7789,46.8571,46.3293,46.5736,912497.0
2020-11-23,46.7985,48.333,46.7398,48.2743,809150.0
2020-11-24,48.8559,50.3367,48.6751,50.0923,2041571.0
2020-11-25,49.6525,50.0532,49.027,49.1736,1400277.0
2020-11-26,49.6525,50.0532,49.027,49.1736,1400277.0
2020-11-27,49.4081,49.8284,49.1247,49.4081,670169.0
2020-11-28,49.4081,49.8284,49.1247,49.4081,670169.0
2020-11-29,49.4081,49.8284,49.1247,49.4081,670169.0
2020-11-30,49.4375,49.4375,47.6488,47.727,1378863.0
2020-12-01,48.4014,48.9976,47.6879,47.8932,646645.0
2020-12-02,47.5217,48.0007,47.1992,47.8932,602235.0
2020-12-03,47.9127,48.1668,47.4924,47.7856,699450.0
2020-12-04,47.9713,49.1638,47.9713,49.0172,717478.0
2020-12-05,47.9713,49.1638,47.9713,49.0172,717478.0
2020-12-06,47.9713,49.1638,47.9713,49.0172,717478.0
2020-12-07,48.5285,49.0709,48.0007,48.1864,599136.0
2020-12-08,47.7661,48.548,47.7661,48.2255,540818.0
2020-12-09,48.4601,48.724,48.0398,48.4894,647110.0
2020-12-10,48.3037,48.7924,48.0335,48.5187,726682.0
2020-12-11,48.0398,48.8608,47.9225,47.9909,618714.0
2020-12-12,48.0398,48.8608,47.9225,47.9909,618714.0
2020-12-13,48.0398,48.8608,47.9225,47.9909,618714.0
2020-12-14,49.7405,50.2389,48.7142,48.8119,1272377.0
2020-12-15,49.2518,50.0337,48.8217,49.8187,1173577.0
2020-12-16,49.7307,49.9848,49.0758,49.7796,841337.0
2020-12-17,49.9555,50.669,49.4179,49.6525,1377247.0
2020-12-18,49.9555,50.1021,48.8999,49.4472,1395476.0
2020-12-19,49.9555,50.1021,48.8999,49.4472,1395476.0
2020-12-20,49.9555,50.1021,48.8999,49.4472,1395476.0
2020-12-21,48.5089,49.9946,48.03,49.6329,1435154.0
2020-12-22,49.7991,50.1998,49.2224,49.5938,537034.0
2020-12-23,50.3758,51.3532,50.322,51.0013,1010820.0
2020-12-24,51.0111,51.2164,50.41,51.0502,252847.0
2020-12-25,51.0111,51.2164,50.41,51.0502,252847.0
2020-12-26,51.0111,51.2164,50.41,51.0502,252847.0
2020-12-27,51.0111,51.2164,50.41,51.0502,252847.0
2020-12-28,51.578,51.9396,50.9525,50.972,582652.0
2020-12-29,51.06,51.187,49.8687,50.3074,424497.0
2020-12-30,50.3367,51.4412,50.151,50.9818,453656.0
2020-12-31,50.9036,52.2426,50.6788,51.5487,946458.0
2021-01-01,50.9036,52.2426,50.6788,51.5487,946458.0
2021-01-02,50.9036,52.2426,50.6788,51.5487,946458.0
2021-01-03,50.9036,52.2426,50.6788,51.5487,946458.0
2021-01-04,51.7246,52.3501,50.5224,50.7961,991909.0
2021-01-05,50.5224,52.272,50.4735,52.2133,715677.0
2021-01-06,53.523,55.1455,52.878,54.217,1331261.0
2021-01-07,55.0283,55.5658,54.2072,54.8523,825420.0
2021-01-08,58.9184,60.2475,54.4223,55.1064,1867966.0
2021-01-09,58.9184,60.2475,54.4223,55.1064,1867966.0
2021-01-10,58.9184,60.2475,54.4223,55.1064,1867966.0
2021-01-11,54.1095,54.911,53.8749,54.6471,948619.0
2021-01-12,54.823,55.3019,54.3538,55.1455,935648.0
2021-01-13,55.0087,55.2283,53.9042,54.2659,866226.0
2021-01-14,54.4125,54.8719,53.8945,54.3441,657441.0
2021-01-15,53.8065,53.8065,53.0637,53.4839,826987.0
2021-01-16,53.8065,53.8065,53.0637,53.4839,826987.0
2021-01-17,53.8065,53.8065,53.0637,53.4839,826987.0
2021-01-18,53.8065,53.8065,53.0637,53.4839,826987.0
2021-01-19,54.0704,54.8523,53.7674,54.0802,583253.0
2021-01-20,54.3636,54.7546,53.9238,54.6471,616137.0
2021-01-21,54.6471,55.8591,54.6077,55.6245,982311.0
2021-01-22,55.2335,56.6996,54.8352,56.5335,1645684.0
2021-01-23,55.2335,56.6996,54.8352,56.5335,1645684.0
2021-01-24,55.2335,56.6996,54.8352,56.5335,1645684.0
2021-01-25,56.4455,56.8267,55.5365,55.8591,1923536.0
2021-01-26,56.1425,56.6019,55.126,55.1358,1042803.0
2021-01-27,53.9042,54.1877,52.5261,52.7998,1632882.0
2021-01-28,53.5035,54.7008,53.2005,53.5524,759886.0
2021-01-29,53.7478,54.4979,52.7704,53.2689,1057190.0
2021-01-30,53.7478,54.4979,52.7704,53.2689,1057190.0
2021-01-31,53.7478,54.4979,52.7704,53.2689,1057190.0
2021-02-01,53.9433,54.3832,53.1907,54.1388,1253849.0
2021-02-02,54.3099,54.6373,51.8908,52.8877,2216104.0
2021-02-03,53.3862,54.0423,52.3599,52.6727,1826330.0
2021-02-04,52.7313,53.3862,52.3111,52.5945,1872737.0
2021-02-05,52.9561,53.5817,51.6513,51.6757,1714840.0
2021-02-06,52.9561,53.5817,51.6513,51.6757,1714840.0
2021-02-07,52.9561,53.5817,51.6513,51.6757,1714840.0
2021-02-08,52.0374,53.5328,51.9103,53.5328,2241734.0
2021-02-09,53.7283,53.7967,52.9952,53.2982,896365.0
2021-02-10,53.7185,53.9433,52.5945,53.1907,845747.0
2021-02-11,53.7576,55.0185,53.6501,54.9989,2006859.0
2021-02-12,56.0154,57.1834,55.2335,57.0808,1775646.0
2021-02-13,56.0154,57.1834,55.2335,57.0808,1775646.0
2021-02-14,56.0154,57.1834,55.2335,57.0808,1775646.0
2021-02-15,56.0154,57.1834,55.2335,57.0808,1775646.0
2021-02-16,57.6575,58.5469,57.6086,57.6966,1698837.0
2021-02-17,57.1786,57.5402,56.3078,57.247,876595.0
2021-02-18,57.0417,57.6966,56.6996,56.9733,1786722.0
2021-02-19,57.3056,58.4883,57.3056,57.9703,935243.0
2021-02-20,57.3056,58.4883,57.3056,57.9703,935243.0
2021-02-21,57.3056,58.4883,57.3056,57.9703,935243.0
2021-02-22,57.6086,58.0387,57.1883,57.6966,686539.0
2021-02-23,57.1786,57.4522,55.8395,57.2665,718687.0
2021-02-24,57.5207,58.5372,57.5207,58.0289,1420148.0
2021-02-25,57.8041,58.3063,54.9012,55.2237,1216877.0
2021-02-26,55.5365,56.3478,54.9989,55.9959,1354723.0
2021-02-27,55.5365,56.3478,54.9989,55.9959,1354723.0
2021-02-28,55.5365,56.3478,54.9989,55.9959,1354723.0
2021-03-01,57.4425,58.3932,57.1004,57.9703,860787.0
2021-03-02,59.1334,59.2702,57.6966,58.2928,1091724.0
2021-03-03,60.2281,60.492,58.9777,59.495,1253782.0
2021-03-04,59.0845,60.1206,56.1523,57.1981,1574125.0
2021-03-05,57.8921,58.0876,55.0527,57.8921,1150067.0
2021-03-06,57.8921,58.0876,55.0527,57.8921,1150067.0
2021-03-07,57.8921,58.0876,55.0527,57.8921,1150067.0
