,MCO US Equity,MCO US Equity,MCO US Equity,MCO US Equity,MCO US Equity
2020-05-01,233.1708,234.3878,230.0123,233.5958,780656.0
2020-05-02,233.1708,234.3878,230.0123,233.5958,780656.0
2020-05-03,233.1708,234.3878,230.0123,233.5958,780656.0
2020-05-04,230.8526,237.5077,228.264,237.0248,830025.0
2020-05-05,240.5793,244.1725,237.9424,241.9316,1106238.0
2020-05-06,243.0231,243.564,232.0986,233.2577,843913.0
2020-05-07,237.16,240.758,235.8946,239.2464,764149.0
2020-05-08,243.1583,245.066,241.2361,243.168,576607.0
2020-05-09,243.1583,245.066,241.2361,243.168,576607.0
2020-05-10,243.1583,245.066,241.2361,243.168,576607.0
2020-05-11,240.4634,246.539,238.8696,244.4333,690288.0
2020-05-12,246.2878,248.5094,241.9509,241.9509,655659.0
2020-05-13,240.3958,244.7617,235.9623,239.2753,751769.0
2020-05-14,236.2424,245.6503,234.8418,245.2157,1117891.0
2020-05-15,249.3401,252.4697,240.7242,242.743,2691222.0
2020-05-16,249.3401,252.4697,240.7242,242.743,2691222.0
2020-05-17,249.3401,252.4697,240.7242,242.743,2691222.0
2020-05-18,248.239,253.6384,247.7222,250.9532,1125391.0
2020-05-19,250.9821,252.9278,245.4258,245.7937,958303.0
2020-05-20,249.7334,251.5048,247.2941,248.0685,740565.0
2020-05-21,247.4586,248.2282,243.9545,245.6485,1228516.0
2020-05-22,247.5941,250.2077,244.0416,248.6009,384505.0
2020-05-23,247.5941,250.2077,244.0416,248.6009,384505.0
2020-05-24,247.5941,250.2077,244.0416,248.6009,384505.0
2020-05-25,247.5941,250.2077,244.0416,248.6009,384505.0
2020-05-26,254.5927,255.3381,250.8079,251.3887,805794.0
2020-05-27,254.9703,255.2607,247.2166,250.5078,806079.0
2020-05-28,252.6471,260.0426,250.895,256.3158,1249399.0
2020-05-29,257.4387,259.5489,253.7216,258.8519,1245769.0
2020-05-30,257.4387,259.5489,253.7216,258.8519,1245769.0
2020-05-31,257.4387,259.5489,253.7216,258.8519,1245769.0
2020-06-01,261.0106,269.0837,261.0106,268.1737,988571.0
2020-06-02,268.2802,268.8513,264.6115,267.5929,1033991.0
2020-06-03,270.6421,274.4173,268.0673,273.5364,764932.0
2020-06-04,271.039,273.0718,264.9019,267.1961,780308.0
2020-06-05,272.462,274.5625,268.8707,270.7389,990932.0
2020-06-06,272.462,274.5625,268.8707,270.7389,990932.0
2020-06-07,272.462,274.5625,268.8707,270.7389,990932.0
2020-06-08,267.3413,272.8492,264.5922,272.7911,1089989.0
2020-06-09,268.135,270.1678,265.8989,266.1797,946410.0
2020-06-10,267.8737,271.6246,265.1633,267.9414,683670.0
2020-06-11,262.5594,262.5594,249.5011,250.0141,901146.0
2020-06-12,257.8065,259.5779,251.6791,258.4357,805787.0
2020-06-13,257.8065,259.5779,251.6791,258.4357,805787.0
2020-06-14,257.8065,259.5779,251.6791,258.4357,805787.0
2020-06-15,253.6151,262.9175,252.1728,261.5623,609614.0
2020-06-16,270.4389,270.8261,260.149,265.7634,596103.0
2020-06-17,266.3829,269.2773,265.1246,266.2184,362099.0
2020-06-18,265.4246,267.7188,264.0017,266.0925,369497.0
2020-06-19,270.8648,272.7814,264.0936,266.4217,784880.0
2020-06-20,270.8648,272.7814,264.0936,266.4217,784880.0
2020-06-21,270.8648,272.7814,264.0936,266.4217,784880.0
2020-06-22,266.0829,268.0866,263.963,267.7188,495200.0
2020-06-23,270.2937,271.1552,267.0218,268.1641,405986.0
2020-06-24,265.231,265.9667,255.8511,257.0321,825573.0
2020-06-25,257.5742,267.622,254.312,267.3316,642409.0
2020-06-26,264.2437,266.3733,259.6844,260.3717,902399.0
2020-06-27,264.2437,266.3733,259.6844,260.3717,902399.0
2020-06-28,264.2437,266.3733,259.6844,260.3717,902399.0
2020-06-29,263.2854,263.2854,257.0127,260.4975,665758.0
2020-06-30,260.7589,266.6927,259.6941,265.9377,1386637.0
2020-07-01,265.8409,271.1648,265.202,269.4805,517322.0
2020-07-02,273.7978,275.1143,268.9288,269.1127,489458.0
2020-07-03,273.7978,275.1143,268.9288,269.1127,489458.0
2020-07-04,273.7978,275.1143,268.9288,269.1127,489458.0
2020-07-05,273.7978,275.1143,268.9288,269.1127,489458.0
2020-07-06,273.1686,278.1151,273.0428,274.5722,686316.0
2020-07-07,272.946,278.7733,271.3681,276.2372,679656.0
2020-07-08,278.0473,284.9685,278.0473,284.8233,692617.0
2020-07-09,285.3944,287.1646,281.0481,284.8717,610541.0
2020-07-10,284.1747,284.8523,281.2804,283.5455,432015.0
2020-07-11,284.1747,284.8523,281.2804,283.5455,432015.0
2020-07-12,284.1747,284.8523,281.2804,283.5455,432015.0
2020-07-13,285.3266,286.9238,275.2401,276.6147,558834.0
2020-07-14,275.3853,282.1032,273.8075,281.9193,543708.0
2020-07-15,286.6818,286.8754,280.8642,284.1263,478380.0
2020-07-16,281.958,283.0809,277.0696,280.1188,484854.0
2020-07-17,281.7741,283.4487,279.509,283.1486,493107.0
2020-07-18,281.7741,283.4487,279.509,283.1486,493107.0
2020-07-19,281.7741,283.4487,279.509,283.1486,493107.0
2020-07-20,283.5939,285.8687,282.6259,284.5232,446581.0
2020-07-21,286.6334,286.6334,280.7093,281.5708,538584.0
2020-07-22,281.0578,284.517,281.0578,284.107,575037.0
2020-07-23,284.1554,286.285,277.1858,278.8991,535665.0
2020-07-24,278.8314,281.6483,275.2595,280.4092,583597.0
2020-07-25,278.8314,281.6483,275.2595,280.4092,583597.0
2020-07-26,278.8314,281.6483,275.2595,280.4092,583597.0
2020-07-27,280.6996,286.072,279.1411,280.235,943263.0
2020-07-28,279.9349,279.9349,273.0573,273.6139,780892.0
2020-07-29,273.8462,282.7808,273.2315,282.0354,695077.0
2020-07-30,276.121,279.3638,271.1164,274.6884,760746.0
2020-07-31,276.2468,276.2468,267.864,272.2974,925639.0
2020-08-01,276.2468,276.2468,267.864,272.2974,925639.0
2020-08-02,276.2468,276.2468,267.864,272.2974,925639.0
2020-08-03,275.8306,277.1761,270.9422,271.6488,546521.0
2020-08-04,270.1097,271.0003,262.6369,267.167,807124.0
2020-08-05,267.0799,269.7129,265.5408,268.7352,819915.0
2020-08-06,267.6994,270.4001,265.6235,270.3808,574054.0
2020-08-07,268.7255,268.9288,263.9726,266.7024,548487.0
2020-08-08,268.7255,268.9288,263.9726,266.7024,548487.0
2020-08-09,268.7255,268.9288,263.9726,266.7024,548487.0
2020-08-10,264.7954,266.1797,261.8866,262.4722,486679.0
2020-08-11,264.0307,267.7575,259.6021,265.7441,825669.0
2020-08-12,268.2512,273.1202,268.2512,269.9161,579465.0
2020-08-13,269.5289,273.8172,268.9191,272.946,506067.0
2020-08-14,273.6623,274.669,270.8067,272.0554,428335.0
2020-08-15,273.6623,274.669,270.8067,272.0554,428335.0
2020-08-16,273.6623,274.669,270.8067,272.0554,428335.0
2020-08-17,272.4039,275.9274,272.3686,274.5432,507740.0
2020-08-18,274.4367,277.8053,273.5945,276.3533,589921.0
2020-08-19,277.5073,279.6799,273.0652,273.2107,578800.0
2020-08-20,271.3776,276.2659,270.6211,274.9274,581750.0
2020-08-21,275.9167,276.6829,272.6094,275.907,906867.0
2020-08-22,275.9167,276.6829,272.6094,275.907,906867.0
2020-08-23,275.9167,276.6829,272.6094,275.907,906867.0
2020-08-24,277.8177,277.9341,275.3348,275.6645,787427.0
2020-08-25,277.4103,277.4103,274.942,276.7896,589249.0
2020-08-26,276.4598,284.9077,275.4754,283.1618,532970.0
2020-08-27,283.6371,286.2655,281.2608,283.3655,402974.0
2020-08-28,284.5294,286.0958,282.8515,285.5284,404103.0
2020-08-29,284.5294,286.0958,282.8515,285.5284,404103.0
2020-08-30,284.5294,286.0958,282.8515,285.5284,404103.0
2020-08-31,285.897,288.215,283.8796,285.7709,543927.0
2020-09-01,285.1501,288.0986,284.0008,287.1578,425667.0
2020-09-02,288.7097,296.7453,288.7097,295.3244,567982.0
2020-09-03,293.3167,293.3167,280.1067,282.4829,696274.0
2020-09-04,283.7244,283.8602,269.1226,273.9672,601492.0
2020-09-05,283.7244,283.8602,269.1226,273.9672,601492.0
2020-09-06,283.7244,283.8602,269.1226,273.9672,601492.0
2020-09-07,283.7244,283.8602,269.1226,273.9672,601492.0
2020-09-08,269.6027,273.4047,265.9849,270.3107,1030904.0
2020-09-09,275.3348,281.4257,273.9818,279.7284,642088.0
2020-09-10,278.7779,282.1435,273.3853,275.2378,674117.0
2020-09-11,275.4027,279.1659,273.6374,276.3629,608996.0
2020-09-12,275.4027,279.1659,273.6374,276.3629,608996.0
2020-09-13,275.4027,279.1659,273.6374,276.3629,608996.0
2020-09-14,280.5722,283.4237,278.2396,279.9903,644308.0
2020-09-15,280.8244,284.1802,278.1281,278.3124,682252.0
2020-09-16,278.3609,281.3388,277.0709,278.1863,624111.0
2020-09-17,274.4425,276.9157,271.2612,274.2,495313.0
2020-09-18,272.4445,276.2368,270.2137,272.3669,864797.0
2020-09-19,272.4445,276.2368,270.2137,272.3669,864797.0
2020-09-20,272.4445,276.2368,270.2137,272.3669,864797.0
2020-09-21,268.7007,271.9741,266.5281,271.6104,916983.0
2020-09-22,271.4261,273.5114,266.2565,270.7277,520248.0
2020-09-23,271.106,272.6481,265.1993,265.4224,432504.0
2020-09-24,265.1605,270.4659,264.404,267.2167,471166.0
2020-09-25,265.5388,272.8858,264.889,272.0468,515185.0
2020-09-26,265.5388,272.8858,264.889,272.0468,515185.0
2020-09-27,265.5388,272.8858,264.889,272.0468,515185.0
2020-09-28,275.1214,277.8759,274.1466,276.5762,556850.0
2020-09-29,276.9351,279.6072,274.4231,277.1291,378140.0
2020-09-30,278.2445,283.8214,277.391,281.1251,680331.0
2020-10-01,285.2277,289.2043,281.6876,284.6652,655293.0
2020-10-02,281.1542,287.4779,279.0204,285.1113,453939.0
2020-10-03,281.1542,287.4779,279.0204,285.1113,453939.0
2020-10-04,281.1542,287.4779,279.0204,285.1113,453939.0
2020-10-05,286.9735,288.9618,283.2831,286.2946,333732.0
2020-10-06,287.4294,287.8368,277.4103,279.2726,680174.0
2020-10-07,280.1649,282.4538,278.5451,279.5732,463294.0
2020-10-08,280.514,285.1792,280.514,283.3461,343754.0
2020-10-09,284.9465,286.3043,283.8408,285.8582,384409.0
2020-10-10,284.9465,286.3043,283.8408,285.8582,384409.0
2020-10-11,284.9465,286.3043,283.8408,285.8582,384409.0
2020-10-12,287.9628,288.1956,283.9669,284.5003,498770.0
2020-10-13,285.1307,287.5749,282.0853,284.5779,385398.0
2020-10-14,285.2762,287.25,281.1736,281.3772,479401.0
2020-10-15,279.6023,281.9883,275.8294,281.7361,613031.0
2020-10-16,282.706,287.1384,280.2909,280.3588,510447.0
2020-10-17,282.706,287.1384,280.2909,280.3588,510447.0
2020-10-18,282.706,287.1384,280.2909,280.3588,510447.0
2020-10-19,280.9505,284.2481,274.8498,275.9652,629616.0
2020-10-20,276.4017,279.9612,274.0836,276.7993,475917.0
2020-10-21,276.3241,278.613,268.6716,268.817,479419.0
2020-10-22,268.788,269.913,263.0365,264.5107,968539.0
2020-10-23,265.1411,266.5087,262.0569,263.696,737385.0
2020-10-24,265.1411,266.5087,262.0569,263.696,737385.0
2020-10-25,265.1411,266.5087,262.0569,263.696,737385.0
2020-10-26,261.1742,262.7649,258.3276,260.9027,719375.0
2020-10-27,261.9696,264.1324,257.2171,258.1773,608164.0
2020-10-28,253.5896,255.7719,250.1853,253.9776,895003.0
2020-10-29,253.352,257.993,245.5492,255.0833,1233296.0
2020-10-30,253.3957,260.2625,251.6401,254.9863,1152162.0
2020-10-31,253.3957,260.2625,251.6401,254.9863,1152162.0
2020-11-01,253.3957,260.2625,251.6401,254.9863,1152162.0
2020-11-02,258.5264,265.2575,255.6846,257.9251,921430.0
2020-11-03,261.2712,265.3254,260.3595,261.0773,708369.0
2020-11-04,264.4234,279.709,264.4234,277.0127,895542.0
2020-11-05,281.6973,284.898,278.7973,282.2986,671240.0
2020-11-06,282.318,283.9184,277.3522,281.8816,488143.0
2020-11-07,282.318,283.9184,277.3522,281.8816,488143.0
2020-11-08,282.318,283.9184,277.3522,281.8816,488143.0
2020-11-09,293.5883,295.4699,266.3632,267.1585,1496484.0
2020-11-10,268.1381,268.1381,259.9813,262.1926,1067476.0
2020-11-11,265.1993,273.7975,265.1993,271.814,683690.0
2020-11-12,272.3766,273.1913,266.7124,268.0217,593186.0
2020-11-13,269.1953,269.8257,265.0199,267.1197,582068.0
2020-11-14,269.1953,269.8257,265.0199,267.1197,582068.0
2020-11-15,269.1953,269.8257,265.0199,267.1197,582068.0
2020-11-16,268.691,269.6512,264.693,267.2458,637820.0
2020-11-17,265.1605,268.3418,265.0781,266.4214,623020.0
2020-11-18,267.692,268.2351,264.4137,264.4137,601402.0
2020-11-19,265.2672,266.7512,262.8619,265.8686,527635.0
2020-11-20,266.0435,267.9095,263.9151,265.266,737457.0
2020-11-21,266.0435,267.9095,263.9151,265.266,737457.0
2020-11-22,266.0435,267.9095,263.9151,265.266,737457.0
2020-11-23,267.4916,269.2702,262.8946,263.2251,619956.0
2020-11-24,264.0706,265.1883,261.1647,263.9443,1370224.0
2020-11-25,265.3243,268.9203,263.6624,268.794,1038030.0
2020-11-26,265.3243,268.9203,263.6624,268.794,1038030.0
2020-11-27,271.3403,273.2355,268.5315,269.4257,391752.0
2020-11-28,271.3403,273.2355,268.5315,269.4257,391752.0
2020-11-29,271.3403,273.2355,268.5315,269.4257,391752.0
2020-11-30,272.3802,275.3785,269.5326,274.4017,1527230.0
2020-12-01,275.7332,277.3368,269.7318,271.35,1175255.0
2020-12-02,271.2237,272.9828,269.2021,270.1546,741541.0
2020-12-03,269.241,273.1966,269.241,272.0109,1140002.0
2020-12-04,272.7106,280.2622,272.4385,277.6284,1052815.0
2020-12-05,272.7106,280.2622,272.4385,277.6284,1052815.0
2020-12-06,272.7106,280.2622,272.4385,277.6284,1052815.0
2020-12-07,278.056,278.3136,273.4979,275.1404,614709.0
2020-12-08,273.8283,274.8099,270.6405,270.971,779398.0
2020-12-09,271.039,271.0925,263.332,267.5791,1000813.0
2020-12-10,266.821,268.934,264.4691,266.2768,529310.0
2020-12-11,265.1494,268.1136,264.2164,266.9182,386595.0
2020-12-12,265.1494,268.1136,264.2164,266.9182,386595.0
2020-12-13,265.1494,268.1136,264.2164,266.9182,386595.0
2020-12-14,268.9981,272.7398,266.753,266.8988,596752.0
2020-12-15,267.9776,272.1275,266.7627,269.5909,692737.0
2020-12-16,270.1643,273.391,268.4732,272.6621,808333.0
2020-12-17,274.8002,276.5204,271.2431,272.1858,736394.0
2020-12-18,271.8943,276.7148,270.9613,275.4028,1567441.0
2020-12-19,271.8943,276.7148,270.9613,275.4028,1567441.0
2020-12-20,271.8943,276.7148,270.9613,275.4028,1567441.0
2020-12-21,273.3132,273.8282,266.0435,271.0196,898226.0
2020-12-22,269.8825,273.6825,269.0758,273.3618,880113.0
2020-12-23,273.527,276.4573,267.7929,267.9484,419957.0
2020-12-24,267.5791,271.5104,267.5791,271.039,210328.0
2020-12-25,267.5791,271.5104,267.5791,271.039,210328.0
2020-12-26,267.5791,271.5104,267.5791,271.039,210328.0
2020-12-27,267.5791,271.5104,267.5791,271.039,210328.0
2020-12-28,273.2549,273.2549,269.0321,270.1546,518029.0
2020-12-29,272.4774,274.2754,270.9029,272.837,569929.0
2020-12-30,274.771,277.8033,273.7263,277.4826,612686.0
2020-12-31,278.0171,282.274,276.5496,282.0796,709425.0
2021-01-01,278.0171,282.274,276.5496,282.0796,709425.0
2021-01-02,278.0171,282.274,276.5496,282.0796,709425.0
2021-01-03,278.0171,282.274,276.5496,282.0796,709425.0
2021-01-04,285.248,286.1226,280.753,283.7901,1356770.0
2021-01-05,282.9835,286.4142,275.014,276.3844,832867.0
2021-01-06,274.4892,277.0258,269.6784,273.4396,1035834.0
2021-01-07,275.189,279.6013,272.9439,273.4687,749897.0
2021-01-08,275.0529,276.3117,269.173,272.3316,650203.0
2021-01-09,275.0529,276.3117,269.173,272.3316,650203.0
2021-01-10,275.0529,276.3117,269.173,272.3316,650203.0
2021-01-11,270.8155,270.9127,266.8988,268.5801,621695.0
2021-01-12,269.5617,271.1022,264.955,266.3545,580969.0
2021-01-13,266.8016,268.0553,262.7051,266.5392,956028.0
2021-01-14,267.1223,268.93,263.4,264.5079,1270223.0
2021-01-15,263.4875,264.2941,259.0362,259.1529,888637.0
2021-01-16,263.4875,264.2941,259.0362,259.1529,888637.0
2021-01-17,263.4875,264.2941,259.0362,259.1529,888637.0
2021-01-18,263.4875,264.2941,259.0362,259.1529,888637.0
2021-01-19,259.9984,262.7197,256.6162,261.7186,1357164.0
2021-01-20,265.023,270.0477,264.6975,267.7832,885130.0
2021-01-21,267.1223,269.6395,263.1279,263.157,838941.0
2021-01-22,263.468,264.6149,259.1723,259.2015,729687.0
2021-01-23,263.468,264.6149,259.1723,259.2015,729687.0
2021-01-24,263.468,264.6149,259.1723,259.2015,729687.0
2021-01-25,259.5125,262.916,258.006,259.0557,760425.0
2021-01-26,259.2598,262.7673,257.8603,261.1161,553215.0
2021-01-27,258.7641,261.7624,254.031,255.6444,1008852.0
2021-01-28,255.9651,266.5781,255.4889,262.4767,784071.0
2021-01-29,260.358,262.8266,256.1935,258.7738,753106.0
2021-01-30,260.358,262.8266,256.1935,258.7738,753106.0
2021-01-31,260.358,262.8266,256.1935,258.7738,753106.0
2021-02-01,262.5933,265.3389,260.3969,263.1376,569555.0
2021-02-02,265.1591,273.459,264.3524,270.4267,733835.0
2021-02-03,268.9009,270.417,265.6353,266.1796,494528.0
2021-02-04,266.2476,269.2119,264.955,269.0661,662806.0
2021-02-05,270.4073,271.3889,268.585,269.1827,480039.0
2021-02-06,270.4073,271.3889,268.585,269.1827,480039.0
2021-02-07,270.4073,271.3889,268.585,269.1827,480039.0
2021-02-08,270.6794,272.4337,268.4149,270.5628,729265.0
2021-02-09,271.2528,276.6565,270.6794,274.3823,677918.0
2021-02-10,275.9179,275.9179,268.0942,269.0855,849400.0
2021-02-11,271.1168,271.7096,267.4722,270.8252,567388.0
2021-02-12,267.2681,276.9772,267.2681,270.8349,910685.0
2021-02-13,267.2681,276.9772,267.2681,270.8349,910685.0
2021-02-14,267.2681,276.9772,267.2681,270.8349,910685.0
2021-02-15,267.2681,276.9772,267.2681,270.8349,910685.0
2021-02-16,272.2053,274.4503,265.198,272.4677,1035466.0
2021-02-17,270.3004,273.0994,269.9408,272.6621,655969.0
2021-02-18,270.7669,273.9158,268.1525,270.9418,698914.0
2021-02-19,271.5541,273.8963,270.6114,272.5357,934462.0
2021-02-20,271.5541,273.8963,270.6114,272.5357,934462.0
2021-02-21,271.5541,273.8963,270.6114,272.5357,934462.0
2021-02-22,270.3587,271.2625,266.8405,269.241,798953.0
2021-02-23,268.3663,269.9408,265.7228,268.2789,992915.0
2021-02-24,267.5873,272.1459,265.532,271.3277,804837.0
2021-02-25,271.3277,275.3896,269.662,270.1004,750438.0
2021-02-26,271.24,272.7011,266.1261,267.7626,1017274.0
2021-02-27,271.24,272.7011,266.1261,267.7626,1017274.0
2021-02-28,271.24,272.7011,266.1261,267.7626,1017274.0
2021-03-01,270.1393,276.8263,269.8763,275.146,715793.0
2021-03-02,273.5681,276.1201,271.5809,273.8408,702840.0
2021-03-03,273.344,274.4934,270.6653,270.7919,861108.0
2021-03-04,270.3049,277.7858,268.8341,270.8017,1003233.0
2021-03-05,272.8765,280.9223,270.8504,279.9872,1012543.0
2021-03-06,272.8765,280.9223,270.8504,279.9872,1012543.0
2021-03-07,272.8765,280.9223,270.8504,279.9872,1012543.0
2021-03-08,280.5424,285.5102,279.8411,281.9743,1136728.0
2021-03-09,284.5945,286.3771,282.2178,282.5198,1312520.0
2021-03-10,283.9419,285.4128,282.588,283.5815,632601.0
2021-03-11,284.1562,285.7245,283.1042,283.9711,532384.0
