,BY US Equity,BY US Equity,BY US Equity,BY US Equity,BY US Equity
2020-03-22,8.595,9.0003,8.35,8.5196,154548.0
2020-03-23,8.4913,8.548,7.6875,8.4818,137734.0
2020-03-24,8.7844,9.191,8.652,9.191,157978.0
2020-03-25,9.1343,9.4369,8.7466,9.1532,81859.0
2020-03-26,9.2288,10.25,9.2194,10.1744,171159.0
2020-03-27,9.6638,10.7228,9.5503,10.4486,218729.0
2020-03-28,9.6638,10.7228,9.5503,10.4486,218729.0
2020-03-29,9.6638,10.7228,9.5503,10.4486,218729.0
2020-03-30,10.4486,10.4486,9.6118,9.9664,153667.0
2020-03-31,9.8151,9.8151,9.3896,9.8056,183386.0
2020-04-01,9.399,9.6354,9.3045,9.3045,132615.0
2020-04-02,9.2194,9.399,8.8837,9.1154,99759.0
2020-04-03,8.9073,9.1059,8.1509,8.2832,154186.0
2020-04-04,8.9073,9.1059,8.1509,8.2832,154186.0
2020-04-05,8.9073,9.1059,8.1509,8.2832,154186.0
2020-04-06,8.5764,9.1154,8.4156,8.7088,230723.0
2020-04-07,9.0681,9.4369,8.8884,9.0586,191918.0
2020-04-08,9.295,9.8765,9.1154,9.8434,165197.0
2020-04-09,9.9286,11.0254,9.9286,10.9971,123809.0
2020-04-10,9.9286,11.0254,9.9286,10.9971,123809.0
2020-04-11,9.9286,11.0254,9.9286,10.9971,123809.0
2020-04-12,9.9286,11.0254,9.9286,10.9971,123809.0
2020-04-13,10.8741,10.9829,10.1649,10.2784,68633.0
2020-04-14,10.3351,10.5763,9.5976,9.9475,124955.0
2020-04-15,9.5125,9.5125,9.0775,9.0964,95323.0
2020-04-16,8.9641,8.9641,8.2076,8.4724,132018.0
2020-04-17,8.7655,9.4416,8.756,9.3801,91172.0
2020-04-18,8.7655,9.4416,8.756,9.3801,91172.0
2020-04-19,8.7655,9.4416,8.756,9.3801,91172.0
2020-04-20,9.3139,9.7489,9.2761,9.7016,163928.0
2020-04-21,9.3045,10.042,9.295,9.9286,93415.0
2020-04-22,10.3635,10.3635,9.9947,10.1366,121267.0
2020-04-23,10.0704,10.4203,10.0042,10.042,108480.0
2020-04-24,10.042,10.3824,9.9191,10.2311,42526.0
2020-04-25,10.042,10.3824,9.9191,10.2311,42526.0
2020-04-26,10.042,10.3824,9.9191,10.2311,42526.0
2020-04-27,10.3351,11.2902,10.3162,11.1578,87647.0
2020-04-28,11.5928,11.7015,11.1389,11.224,108135.0
2020-04-29,11.5644,12.4627,11.536,12.3587,145087.0
2020-04-30,11.9332,12.1885,11.6211,11.6495,108937.0
2020-05-01,10.4864,11.2334,10.0042,10.5432,156471.0
2020-05-02,10.4864,11.2334,10.0042,10.5432,156471.0
2020-05-03,10.4864,11.2334,10.0042,10.5432,156471.0
2020-05-04,10.3824,10.5905,10.2122,10.269,103317.0
2020-05-05,10.477,10.789,10.1177,10.1271,85230.0
2020-05-06,9.8056,10.0137,9.5125,9.7583,127948.0
2020-05-07,9.8813,10.4723,9.8245,10.1271,123460.0
2020-05-08,10.5432,11.0065,10.5432,10.9876,89256.0
2020-05-09,10.5432,11.0065,10.5432,10.9876,89256.0
2020-05-10,10.5432,11.0065,10.5432,10.9876,89256.0
2020-05-11,10.6945,10.7134,9.7583,9.7678,176413.0
2020-05-12,9.7962,9.9096,9.4463,9.4463,83498.0
2020-05-13,9.4369,9.4369,8.4724,8.7749,106195.0
2020-05-14,8.5386,9.0955,8.2171,8.8222,96713.0
2020-05-15,8.9452,9.0303,8.7324,8.9641,72942.0
2020-05-16,8.9452,9.0303,8.7324,8.9641,72942.0
2020-05-17,8.9452,9.0303,8.7324,8.9641,72942.0
2020-05-18,9.3707,10.1082,9.3707,10.0515,120327.0
2020-05-19,9.8813,10.0515,9.6071,9.6354,132534.0
2020-05-20,9.8907,10.6756,9.879,10.6472,160549.0
2020-05-21,10.6661,11.0443,10.6661,10.8268,174513.0
2020-05-22,10.9498,10.9498,10.2973,10.5148,88558.0
2020-05-23,10.9498,10.9498,10.2973,10.5148,88558.0
2020-05-24,10.9498,10.9498,10.2973,10.5148,88558.0
2020-05-25,10.9498,10.9498,10.2973,10.5148,88558.0
2020-05-26,11.0538,11.4226,10.9403,11.4131,117770.0
2020-05-27,12.0466,12.5762,11.7251,12.5667,219763.0
2020-05-28,12.8031,12.8031,11.7346,11.8102,120640.0
2020-05-29,11.4698,11.6211,11.2145,11.4888,125521.0
2020-05-30,11.4698,11.6211,11.2145,11.4888,125521.0
2020-05-31,11.4698,11.6211,11.2145,11.4888,125521.0
2020-06-01,11.64,11.8008,11.432,11.432,109508.0
2020-06-02,11.3469,11.7819,11.3469,11.4793,58324.0
2020-06-03,11.8954,12.4816,11.8764,12.2925,76484.0
2020-06-04,12.1034,12.4532,11.9332,12.3587,159671.0
2020-06-05,13.0111,13.7014,12.9639,13.3515,111663.0
2020-06-06,13.0111,13.7014,12.9639,13.3515,111663.0
2020-06-07,13.0111,13.7014,12.9639,13.3515,111663.0
2020-06-08,13.8149,13.9614,13.517,13.8149,53436.0
2020-06-09,13.3043,13.796,13.1766,13.5123,62738.0
2020-06-10,13.3043,13.4461,12.5194,12.5383,71094.0
2020-06-11,11.7346,11.9615,11.2713,11.3091,78204.0
2020-06-12,11.8197,11.8954,11.2996,11.7062,60248.0
2020-06-13,11.8197,11.8954,11.2996,11.7062,60248.0
2020-06-14,11.8197,11.8954,11.2996,11.7062,60248.0
2020-06-15,11.0727,12.1128,11.0632,12.0183,78107.0
2020-06-16,12.6518,12.666,12.0466,12.3398,59439.0
2020-06-17,12.3776,12.3776,11.6117,11.7346,44099.0
2020-06-18,11.6022,12.0845,11.6022,11.8954,47460.0
2020-06-19,12.0561,12.0561,11.536,11.8197,120450.0
2020-06-20,12.0561,12.0561,11.536,11.8197,120450.0
2020-06-21,12.0561,12.0561,11.536,11.8197,120450.0
2020-06-22,11.6112,12.0661,11.4974,12.0567,54969.0
2020-06-23,12.36,12.4832,11.9334,12.0093,81424.0
2020-06-24,11.6965,11.9429,11.27,11.2984,68949.0
2020-06-25,11.2036,11.8387,11.1846,11.8387,70711.0
2020-06-26,11.6207,11.6207,11.0756,11.1752,204648.0
2020-06-27,11.6207,11.6207,11.0756,11.1752,204648.0
2020-06-28,11.6207,11.6207,11.0756,11.1752,204648.0
2020-06-29,11.5353,12.251,11.4595,12.142,76229.0
2020-06-30,12.0282,12.4832,11.9808,12.4169,89001.0
2020-07-01,12.4548,12.4548,11.7439,11.7913,71638.0
2020-07-02,12.2083,12.3126,11.668,11.9524,85331.0
2020-07-03,12.2083,12.3126,11.668,11.9524,85331.0
2020-07-04,12.2083,12.3126,11.668,11.9524,85331.0
2020-07-05,12.2083,12.3126,11.668,11.9524,85331.0
2020-07-06,12.36,12.4074,11.706,11.7534,33686.0
2020-07-07,11.6017,11.6396,11.2889,11.3363,51592.0
2020-07-08,11.251,11.4785,10.9098,11.1657,57750.0
2020-07-09,11.0425,11.1088,10.4927,10.597,53682.0
2020-07-10,10.6633,11.0709,10.6633,11.0519,41410.0
2020-07-11,10.6633,11.0709,10.6633,11.0519,41410.0
2020-07-12,10.6633,11.0709,10.6633,11.0519,41410.0
2020-07-13,11.3079,11.5353,10.9382,11.2794,46345.0
2020-07-14,11.2794,11.4358,11.014,11.2036,41115.0
2020-07-15,11.6491,12.5875,11.6017,12.4074,144021.0
2020-07-16,12.3789,12.4121,12.0377,12.2178,43269.0
2020-07-17,12.1704,12.2368,11.9998,12.0567,59910.0
2020-07-18,12.1704,12.2368,11.9998,12.0567,59910.0
2020-07-19,12.1704,12.2368,11.9998,12.0567,59910.0
2020-07-20,11.9808,11.9808,11.7249,11.7723,43098.0
2020-07-21,12.0377,12.3695,11.9808,12.2747,34166.0
2020-07-22,12.123,12.2368,11.8387,11.9808,31887.0
2020-07-23,11.8481,12.3979,11.8481,12.3979,29751.0
2020-07-24,12.6917,13.2225,12.6917,12.8529,47969.0
2020-07-25,12.6917,13.2225,12.6917,12.8529,47969.0
2020-07-26,12.6917,13.2225,12.6917,12.8529,47969.0
2020-07-27,12.9192,13.1941,12.8244,13.1277,101468.0
2020-07-28,12.6633,12.995,12.6552,12.7865,80130.0
2020-07-29,12.8055,13.0424,12.6822,12.796,71139.0
2020-07-30,12.3884,12.8244,12.1041,12.7391,50304.0
2020-07-31,13.1941,13.1941,12.2368,12.2842,105191.0
2020-08-01,13.1941,13.1941,12.2368,12.2842,105191.0
2020-08-02,13.1941,13.1941,12.2368,12.2842,105191.0
2020-08-03,12.3221,12.3221,11.9524,11.9714,49200.0
2020-08-04,11.8481,12.1704,11.7913,12.1704,64766.0
2020-08-05,12.2842,12.4832,12.1515,12.4548,43065.0
2020-08-06,12.4548,12.5022,12.2652,12.3789,25036.0
2020-08-07,12.2178,12.9382,12.2178,12.7865,51423.0
2020-08-08,12.2178,12.9382,12.2178,12.7865,51423.0
2020-08-09,12.2178,12.9382,12.2178,12.7865,51423.0
2020-08-10,12.9192,13.2699,12.7486,13.0803,119192.0
2020-08-11,13.4026,13.5827,13.0519,13.1562,73022.0
2020-08-12,13.4595,13.7154,13.0235,13.213,39706.0
2020-08-13,13.0235,13.1751,12.8529,12.995,25239.0
2020-08-14,12.8244,13.0424,12.7107,12.7581,87277.0
2020-08-15,12.8244,13.0424,12.7107,12.7581,87277.0
2020-08-16,12.8244,13.0424,12.7107,12.7581,87277.0
2020-08-17,12.7296,12.796,12.3315,12.7676,51099.0
2020-08-18,12.7391,12.7391,12.0946,12.3031,37103.0
2020-08-19,12.2936,12.6728,12.2462,12.4074,45871.0
2020-08-20,12.1609,12.4548,12.0282,12.2368,22926.0
2020-08-21,12.0851,12.0851,11.7154,11.7818,45124.0
2020-08-22,12.0851,12.0851,11.7154,11.7818,45124.0
2020-08-23,12.0851,12.0851,11.7154,11.7818,45124.0
2020-08-24,11.9524,12.4737,11.8007,12.2747,55915.0
2020-08-25,12.4642,12.5401,12.1988,12.4358,28558.0
2020-08-26,12.4453,12.4453,12.0567,12.1325,24135.0
2020-08-27,12.2557,12.5116,12.2083,12.4169,42388.0
2020-08-28,12.5969,12.5969,12.1609,12.2842,75313.0
2020-08-29,12.5969,12.5969,12.1609,12.2842,75313.0
2020-08-30,12.5969,12.5969,12.1609,12.2842,75313.0
2020-08-31,12.1609,12.2083,11.9714,11.9808,64596.0
2020-09-01,11.8576,12.1041,11.6491,11.7534,41103.0
2020-09-02,11.6586,11.8766,11.469,11.8007,53046.0
2020-09-03,11.8955,12.2557,11.8197,11.9334,32214.0
2020-09-04,12.2842,12.3315,11.8861,12.1135,31943.0
2020-09-05,12.2842,12.3315,11.8861,12.1135,31943.0
2020-09-06,12.2842,12.3315,11.8861,12.1135,31943.0
2020-09-07,12.2842,12.3315,11.8861,12.1135,31943.0
2020-09-08,11.9334,11.9334,11.4974,11.6301,66366.0
2020-09-09,11.7249,11.7249,11.341,11.3458,65171.0
2020-09-10,11.3458,11.488,11.2036,11.3268,132225.0
2020-09-11,11.2794,11.668,11.2226,11.2605,80471.0
2020-09-12,11.2794,11.668,11.2226,11.2605,80471.0
2020-09-13,11.2794,11.668,11.2226,11.2605,80471.0
2020-09-14,11.3363,11.488,11.27,11.4121,60556.0
2020-09-15,11.488,11.488,10.8719,10.9098,159798.0
2020-09-16,10.9477,11.3742,10.8813,11.2131,45817.0
2020-09-17,11.0709,11.2083,11.0425,11.0709,26594.0
2020-09-18,11.1752,11.1941,10.7297,10.8624,179723.0
2020-09-19,11.1752,11.1941,10.7297,10.8624,179723.0
2020-09-20,11.1752,11.1941,10.7297,10.8624,179723.0
2020-09-21,10.5298,10.5583,10.1306,10.2542,90311.0
2020-09-22,10.2161,10.3777,9.9928,10.2637,105818.0
2020-09-23,10.2066,10.4727,10.1021,10.1401,117366.0
2020-09-24,10.1971,10.506,9.9691,10.3207,40979.0
2020-09-25,10.1781,10.5108,10.1781,10.4632,58877.0
2020-09-26,10.1781,10.5108,10.1781,10.4632,58877.0
2020-09-27,10.1781,10.5108,10.1781,10.4632,58877.0
2020-09-28,10.6248,11.0334,10.6248,10.8434,67277.0
2020-09-29,10.8434,10.8434,10.5298,10.7863,35022.0
2020-09-30,10.7959,11.0002,10.5773,10.7198,56139.0
2020-10-01,10.7578,10.9194,10.5203,10.9099,39610.0
2020-10-02,10.5298,11.1285,10.5203,11.081,32381.0
2020-10-03,10.5298,11.1285,10.5203,11.081,32381.0
2020-10-04,10.5298,11.1285,10.5203,11.081,32381.0
2020-10-05,11.214,11.7272,11.1665,11.6131,55428.0
2020-10-06,11.8222,12.2974,11.6607,11.7272,41044.0
2020-10-07,11.9363,12.2404,11.7557,12.0693,46278.0
2020-10-08,12.1548,12.4209,11.9458,12.2879,45331.0
2020-10-09,12.3354,12.3354,12.0123,12.0598,22723.0
2020-10-10,12.3354,12.3354,12.0123,12.0598,22723.0
2020-10-11,12.3354,12.3354,12.0123,12.0598,22723.0
2020-10-12,12.0218,12.4019,11.9553,12.3449,34108.0
2020-10-13,12.2214,12.2689,11.8887,12.2309,29610.0
2020-10-14,11.5181,12.3497,11.5181,12.0598,48923.0
2020-10-15,11.9077,12.4589,11.8222,12.4114,27199.0
2020-10-16,12.3639,12.7726,12.1833,12.3924,34243.0
2020-10-17,12.3639,12.7726,12.1833,12.3924,34243.0
2020-10-18,12.3639,12.7726,12.1833,12.3924,34243.0
2020-10-19,12.4494,12.7678,12.3354,12.6205,29974.0
2020-10-20,12.687,12.9911,12.687,12.7821,24250.0
2020-10-21,12.6965,13.1242,12.6965,12.8581,31346.0
2020-10-22,12.9246,13.2667,12.9246,13.1337,155639.0
2020-10-23,13.3047,13.7799,13.1406,13.3143,103284.0
2020-10-24,13.3047,13.7799,13.1406,13.3143,103284.0
2020-10-25,13.3047,13.7799,13.1406,13.3143,103284.0
2020-10-26,13.4473,13.5328,13.1147,13.2097,59888.0
2020-10-27,13.0672,13.0672,12.573,12.8486,62085.0
2020-10-28,12.5445,12.9246,12.0788,12.4684,46726.0
2020-10-29,12.3924,12.5255,11.8032,12.3354,60314.0
2020-10-30,12.4209,12.668,12.3474,12.4875,55238.0
2020-10-31,12.4209,12.668,12.3474,12.4875,55238.0
2020-11-01,12.4209,12.668,12.3474,12.4875,55238.0
2020-11-02,12.687,12.744,12.516,12.6965,71277.0
2020-11-03,12.9721,13.2952,12.9436,13.2287,51371.0
2020-11-04,12.7345,12.7345,12.3544,12.4684,180702.0
2020-11-05,12.4684,13.1907,12.4589,13.1052,24659.0
2020-11-06,13.2762,13.2762,12.3164,12.535,39173.0
2020-11-07,13.2762,13.2762,12.3164,12.535,39173.0
2020-11-08,13.2762,13.2762,12.3164,12.535,39173.0
2020-11-09,13.6469,15.1959,13.6469,14.7778,175423.0
2020-11-10,15.0629,15.5926,14.8538,15.0819,124525.0
2020-11-11,15.1294,15.2624,14.4166,14.6827,74524.0
2020-11-12,14.4071,14.4071,13.932,13.9605,45507.0
2020-11-13,14.1696,14.3121,14.008,14.065,58537.0
2020-11-14,14.1696,14.3121,14.008,14.065,58537.0
2020-11-15,14.1696,14.3121,14.008,14.065,58537.0
2020-11-16,14.4357,14.8918,14.3406,14.6352,83595.0
2020-11-17,14.4642,15.1864,14.4642,14.9108,81198.0
2020-11-18,14.9536,15.1959,14.5877,14.5877,48130.0
2020-11-19,14.5402,14.5782,14.3216,14.3786,35404.0
2020-11-20,14.084,14.2741,14.0365,14.2741,77513.0
2020-11-21,14.084,14.2741,14.0365,14.2741,77513.0
2020-11-22,14.084,14.2741,14.0365,14.2741,77513.0
2020-11-23,14.4927,14.4927,14.1696,14.3406,81243.0
2020-11-24,14.6827,15.7566,14.6352,15.4905,118782.0
2020-11-25,15.3765,15.462,14.9678,15.3195,38222.0
2020-11-26,15.3765,15.462,14.9678,15.3195,38222.0
2020-11-27,15.2054,15.3432,14.7303,15.1769,25608.0
2020-11-28,15.2054,15.3432,14.7303,15.1769,25608.0
2020-11-29,15.2054,15.3432,14.7303,15.1769,25608.0
2020-11-30,14.9773,15.0534,14.4166,14.5687,90702.0
2020-12-01,14.9108,15.0439,14.6067,14.7683,54623.0
2020-12-02,14.7588,15.1959,14.7588,15.1674,41534.0
2020-12-03,15.2244,15.2244,14.7017,14.8538,53040.0
2020-12-04,15.0439,15.4145,15.0154,15.367,60190.0
2020-12-05,15.0439,15.4145,15.0154,15.367,60190.0
2020-12-06,15.0439,15.4145,15.0154,15.367,60190.0
2020-12-07,15.3195,15.3195,14.9488,15.0154,66736.0
2020-12-08,14.8253,15.1342,14.8253,15.0439,50014.0
2020-12-09,15.272,15.272,14.9203,14.9964,80389.0
2020-12-10,14.9203,15.1674,14.7493,15.0059,46205.0
2020-12-11,15.1389,15.2815,14.9773,15.1864,56136.0
2020-12-12,15.1389,15.2815,14.9773,15.1864,56136.0
2020-12-13,15.1389,15.2815,14.9773,15.1864,56136.0
2020-12-14,15.348,15.348,14.9678,15.0724,57108.0
2020-12-15,15.2434,15.5666,15.0344,15.424,47494.0
2020-12-16,15.424,15.6331,15.3955,15.4525,82100.0
2020-12-17,15.519,15.5666,15.0866,15.5666,87258.0
2020-12-18,15.6236,15.7091,15.3575,15.3575,196336.0
2020-12-19,15.6236,15.7091,15.3575,15.3575,196336.0
2020-12-20,15.6236,15.7091,15.3575,15.3575,196336.0
2020-12-21,15.5098,15.5098,14.8529,14.9862,136239.0
2020-12-22,14.9862,15.1671,14.7196,14.7576,79646.0
2020-12-23,14.9195,14.9862,14.71,14.8148,100683.0
2020-12-24,14.7957,14.8814,14.5482,14.691,55402.0
2020-12-25,14.7957,14.8814,14.5482,14.691,55402.0
2020-12-26,14.7957,14.8814,14.5482,14.691,55402.0
2020-12-27,14.7957,14.8814,14.5482,14.691,55402.0
2020-12-28,14.8624,14.8909,14.5482,14.7386,52096.0
2020-12-29,14.7862,14.91,14.4054,14.5101,35452.0
2020-12-30,14.4625,14.8338,14.4625,14.71,40829.0
2020-12-31,14.7196,14.8243,14.6244,14.71,35162.0
2021-01-01,14.7196,14.8243,14.6244,14.71,35162.0
2021-01-02,14.7196,14.8243,14.6244,14.71,35162.0
2021-01-03,14.7196,14.8243,14.6244,14.71,35162.0
2021-01-04,14.7862,14.9576,14.4244,14.8529,58722.0
2021-01-05,14.9195,15.6003,14.7577,15.2337,106149.0
2021-01-06,15.6621,16.2334,15.4717,15.8145,131674.0
2021-01-07,16.0716,16.0811,15.7002,15.7859,54435.0
2021-01-08,15.8907,15.8907,14.9052,15.2147,86387.0
2021-01-09,15.8907,15.8907,14.9052,15.2147,86387.0
2021-01-10,15.8907,15.8907,14.9052,15.2147,86387.0
2021-01-11,15.0242,15.2527,14.8243,15.1004,85743.0
2021-01-12,15.1004,15.4717,15.0909,15.4146,57155.0
2021-01-13,15.4241,15.7098,15.1861,15.4146,38155.0
2021-01-14,15.586,16.0906,15.5669,15.805,52516.0
2021-01-15,15.4622,15.7002,15.1861,15.4622,81822.0
2021-01-16,15.4622,15.7002,15.1861,15.4622,81822.0
2021-01-17,15.4622,15.7002,15.1861,15.4622,81822.0
2021-01-18,15.4622,15.7002,15.1861,15.4622,81822.0
2021-01-19,15.7002,15.9668,15.5354,15.7859,84158.0
2021-01-20,15.8526,16.0335,15.5193,15.7002,34082.0
2021-01-21,15.5098,15.7002,15.4051,15.605,56265.0
2021-01-22,15.3575,15.9383,15.3575,15.8907,58533.0
2021-01-23,15.3575,15.9383,15.3575,15.8907,58533.0
2021-01-24,15.3575,15.9383,15.3575,15.8907,58533.0
2021-01-25,15.6431,15.6431,15.1766,15.4336,37977.0
2021-01-26,15.4527,15.4527,14.9195,14.9862,42491.0
2021-01-27,14.5482,14.5482,13.9008,13.996,146154.0
2021-01-28,14.2435,14.3578,13.8912,14.2626,71312.0
2021-01-29,15.148,15.4336,14.8053,15.3003,1632177.0
2021-01-30,15.148,15.4336,14.8053,15.3003,1632177.0
2021-01-31,15.148,15.4336,14.8053,15.3003,1632177.0
2021-02-01,15.3003,15.7764,15.2432,15.7478,75080.0
2021-02-02,15.9954,16.1668,15.9573,16.0525,59590.0
2021-02-03,15.9287,16.1763,15.7669,16.1001,62402.0
2021-02-04,16.1001,16.6619,16.1001,16.6619,115411.0
2021-02-05,16.6714,16.8237,16.3572,16.7761,219770.0
2021-02-06,16.6714,16.8237,16.3572,16.7761,219770.0
2021-02-07,16.6714,16.8237,16.3572,16.7761,219770.0
2021-02-08,16.9958,17.4544,16.7952,17.4449,58692.0
2021-02-09,17.5691,17.9608,17.4449,17.8461,81459.0
2021-02-10,17.8748,18.1423,17.7601,17.913,226089.0
2021-02-11,17.913,18.0372,17.7641,17.9894,557926.0
2021-02-12,18.1614,19.0976,18.1518,18.6295,100951.0
2021-02-13,18.1614,19.0976,18.1518,18.6295,100951.0
2021-02-14,18.1614,19.0976,18.1518,18.6295,100951.0
2021-02-15,18.1614,19.0976,18.1518,18.6295,100951.0
2021-02-16,18.8492,18.9304,18.1709,18.3333,57663.0
2021-02-17,18.1232,18.295,17.655,17.9416,86894.0
2021-02-18,17.8748,18.0611,17.6264,17.655,68573.0
2021-02-19,17.6455,18.0467,17.6264,17.999,119592.0
2021-02-20,17.6455,18.0467,17.6264,17.999,119592.0
2021-02-21,17.6455,18.0467,17.6264,17.999,119592.0
2021-02-22,17.9894,18.5435,17.9894,18.5053,76269.0
2021-02-23,18.5053,18.9925,18.5053,18.8779,161494.0
2021-02-24,18.7824,19.432,18.7824,19.3747,195299.0
2021-02-25,19.4033,19.4033,18.9639,19.1263,103770.0
2021-02-26,19.069,19.3317,18.6629,19.0308,174155.0
2021-02-27,19.069,19.3317,18.6629,19.0308,174155.0
2021-02-28,19.069,19.3317,18.6629,19.0308,174155.0
2021-03-01,19.4702,20.053,19.2887,19.6708,177979.0
2021-03-02,19.6231,19.7186,19.1072,19.5467,112086.0
2021-03-03,19.4607,20.5569,19.4607,20.139,70898.0
2021-03-04,20.2058,20.5975,19.3842,19.7759,123866.0
2021-03-05,20.2441,20.2727,19.4607,20.2058,139464.0
2021-03-06,20.2441,20.2727,19.4607,20.2058,139464.0
2021-03-07,20.2441,20.2727,19.4607,20.2058,139464.0
2021-03-08,20.3014,21.1039,20.3014,20.6931,147448.0
2021-03-09,20.4351,20.4351,19.795,20.1867,91431.0
2021-03-10,20.1867,20.7026,20.0625,20.674,84189.0
2021-03-11,20.674,20.8555,20.4925,20.8555,67759.0
2021-03-12,21.0179,21.1652,20.8173,20.9319,75620.0
2021-03-13,21.0179,21.1652,20.8173,20.9319,75620.0
