,GVA US Equity,GVA US Equity,GVA US Equity,GVA US Equity,GVA US Equity
2020-03-03,18.5961,19.6921,18.0295,18.2059,1564124.0
2020-03-04,18.4753,18.5311,17.9737,18.401,806436.0
2020-03-05,17.7508,17.8065,16.7105,16.7197,1033025.0
2020-03-06,15.9766,16.7569,15.9302,16.2553,1678183.0
2020-03-07,15.9766,16.7569,15.9302,16.2553,1678183.0
2020-03-08,15.9766,16.7569,15.9302,16.2553,1678183.0
2020-03-09,15.3729,17.1842,14.6669,14.7041,1355031.0
2020-03-10,15.2614,15.3695,13.7752,14.1189,2058087.0
2020-03-11,13.7009,14.5648,13.5848,13.8774,1602046.0
2020-03-12,12.577,13.0878,9.5581,10.8493,1552626.0
2020-03-13,11.7781,11.8617,10.0318,11.8153,1593826.0
2020-03-14,11.7781,11.8617,10.0318,11.8153,1593826.0
2020-03-15,11.7781,11.8617,10.0318,11.8153,1593826.0
2020-03-16,10.7192,11.1279,9.6603,10.3941,1251452.0
2020-03-17,10.5149,11.0072,9.2237,9.3816,1215250.0
2020-03-18,8.9079,11.2487,8.267,10.4127,1342865.0
2020-03-19,10.6078,13.4222,10.5242,13.2365,1410702.0
2020-03-20,13.3386,13.9891,10.8957,11.2765,1759859.0
2020-03-21,13.3386,13.9891,10.8957,11.2765,1759859.0
2020-03-22,13.3386,13.9891,10.8957,11.2765,1759859.0
2020-03-23,11.4252,12.4283,10.487,11.7874,1027340.0
2020-03-24,12.4005,13.4966,12.2426,12.8556,1238867.0
2020-03-25,12.9485,14.7134,12.577,12.6884,1298674.0
2020-03-26,12.8649,13.3758,12.5027,13.3294,906022.0
2020-03-27,12.9392,12.9392,12.0847,12.5027,835496.0
2020-03-28,12.9392,12.9392,12.0847,12.5027,835496.0
2020-03-29,12.9392,12.9392,12.0847,12.5027,835496.0
2020-03-30,12.6433,12.9107,11.9868,12.7184,734940.0
2020-03-31,12.8872,14.7725,12.7465,14.2378,1377186.0
2020-04-01,13.8814,14.9507,13.6,14.4536,1095707.0
2020-04-02,14.341,15.3446,13.9096,14.5286,731510.0
2020-04-03,14.4817,14.5849,12.981,13.2249,860326.0
2020-04-04,14.4817,14.5849,12.981,13.2249,860326.0
2020-04-05,14.4817,14.5849,12.981,13.2249,860326.0
2020-04-06,13.7782,14.6411,13.6938,14.4536,728777.0
2020-04-07,14.9976,15.9542,14.538,14.8006,820286.0
2020-04-08,15.0632,15.6354,14.4629,15.5416,815436.0
2020-04-09,15.7104,16.1887,15.354,15.7104,771866.0
2020-04-10,15.7104,16.1887,15.354,15.7104,771866.0
2020-04-11,15.7104,16.1887,15.354,15.7104,771866.0
2020-04-12,15.7104,16.1887,15.354,15.7104,771866.0
2020-04-13,15.6354,15.926,15.2214,15.5322,630736.0
2020-04-14,15.9449,16.1887,15.3258,15.4571,565639.0
2020-04-15,14.9131,15.1054,14.4817,14.5473,452282.0
2020-04-16,14.4067,14.9788,13.6001,13.797,1038755.0
2020-04-17,14.4254,15.4102,14.4161,15.3165,635196.0
2020-04-18,14.4254,15.4102,14.4161,15.3165,635196.0
2020-04-19,14.4254,15.4102,14.4161,15.3165,635196.0
2020-04-20,15.0538,15.5697,13.8439,13.8908,1439042.0
2020-04-21,13.797,14.6411,13.4124,14.4067,860309.0
2020-04-22,14.8569,15.1945,14.1253,14.3035,726919.0
2020-04-23,14.4629,14.8381,14.2847,14.6599,980831.0
2020-04-24,14.7443,14.8756,14.1534,14.6693,925523.0
2020-04-25,14.7443,14.8756,14.1534,14.6693,925523.0
2020-04-26,14.7443,14.8756,14.1534,14.6693,925523.0
2020-04-27,14.7162,15.8511,14.5755,15.6541,713955.0
2020-04-28,16.32,16.6389,15.4853,15.9542,630747.0
2020-04-29,16.6952,17.0235,16.2904,16.9016,1266576.0
2020-04-30,16.5639,16.5639,15.0163,15.4196,891084.0
2020-05-01,15.1382,15.2086,14.1816,14.5005,580527.0
2020-05-02,15.1382,15.2086,14.1816,14.5005,580527.0
2020-05-03,15.1382,15.2086,14.1816,14.5005,580527.0
2020-05-04,14.2191,14.7536,13.9283,14.538,377575.0
2020-05-05,14.8944,15.504,14.2941,14.3973,456256.0
2020-05-06,14.4442,14.4958,13.7693,13.797,371386.0
2020-05-07,14.069,14.5567,14.069,14.2003,464966.0
2020-05-08,14.5942,14.9225,14.1159,14.9225,682581.0
2020-05-09,14.5942,14.9225,14.1159,14.9225,682581.0
2020-05-10,14.5942,14.9225,14.1159,14.9225,682581.0
2020-05-11,14.7443,15.0163,14.0033,14.3129,447930.0
2020-05-12,14.3785,14.6401,13.5625,13.5719,447280.0
2020-05-13,13.4218,13.4218,12.5877,12.8497,431526.0
2020-05-14,12.4839,12.8966,11.7992,12.8778,457812.0
2020-05-15,12.7934,13.328,12.3643,13.2718,469795.0
2020-05-16,12.7934,13.328,12.3643,13.2718,469795.0
2020-05-17,12.7934,13.328,12.3643,13.2718,469795.0
2020-05-18,14.0409,14.8475,14.0315,14.688,620041.0
2020-05-19,14.6224,15.5228,14.416,14.7818,512890.0
2020-05-20,15.232,15.504,14.9694,15.0726,404106.0
2020-05-21,15.2039,15.8229,15.1289,15.4759,352835.0
2020-05-22,15.5416,15.5416,14.8803,15.3821,286334.0
2020-05-23,15.5416,15.5416,14.8803,15.3821,286334.0
2020-05-24,15.5416,15.5416,14.8803,15.3821,286334.0
2020-05-25,15.5416,15.5416,14.8803,15.3821,286334.0
2020-05-26,16.0762,16.6952,15.8698,16.3763,562317.0
2020-05-27,16.9203,17.1829,16.2638,17.0985,442429.0
2020-05-28,17.3799,17.7176,16.1981,16.2731,410200.0
2020-05-29,15.9824,16.6703,15.7104,16.5076,475621.0
2020-05-30,15.9824,16.6703,15.7104,16.5076,475621.0
2020-05-31,15.9824,16.6703,15.7104,16.5076,475621.0
2020-06-01,16.6296,17.1454,16.4701,16.714,460327.0
2020-06-02,17.0047,17.6238,16.8265,17.3049,382033.0
2020-06-03,17.6332,18.3178,17.6332,17.8114,317590.0
2020-06-04,17.7082,18.8056,17.4127,18.7587,587903.0
2020-06-05,19.6028,20.4376,19.6028,20.1093,738067.0
2020-06-06,19.6028,20.4376,19.6028,20.1093,738067.0
2020-06-07,19.6028,20.4376,19.6028,20.1093,738067.0
2020-06-08,20.447,20.8503,19.8748,20.2594,722750.0
2020-06-09,19.7529,19.9217,19.2276,19.2558,337187.0
2020-06-10,19.3496,19.3496,17.7457,17.7551,434769.0
2020-06-11,16.7327,17.0601,15.7385,15.7667,485975.0
2020-06-12,16.5076,16.9109,15.7104,16.3107,464906.0
2020-06-13,16.5076,16.9109,15.7104,16.3107,464906.0
2020-06-14,16.5076,16.9109,15.7104,16.3107,464906.0
2020-06-15,15.6166,17.0516,15.5698,16.8453,504105.0
2020-06-16,18.5336,20.2218,18.5336,19.4809,1138906.0
2020-06-17,19.4715,19.6403,18.1021,18.1584,626461.0
2020-06-18,17.8207,18.7493,17.7832,18.1772,399426.0
2020-06-19,18.6274,18.8689,17.7832,17.9708,687242.0
2020-06-20,18.6274,18.8689,17.7832,17.9708,687242.0
2020-06-21,18.6274,18.8689,17.7832,17.9708,687242.0
2020-06-22,17.6144,17.741,17.0798,17.5769,382420.0
2020-06-23,17.952,17.952,17.408,17.6613,360604.0
2020-06-24,17.3611,17.605,16.6671,16.7046,522942.0
2020-06-25,16.3482,17.4174,16.1512,17.3987,422291.0
2020-06-26,17.3049,17.3143,16.3669,17.2955,722868.0
2020-06-27,17.3049,17.3143,16.3669,17.2955,722868.0
2020-06-28,17.3049,17.3143,16.3669,17.2955,722868.0
2020-06-29,17.8623,18.2779,17.475,18.1551,531224.0
2020-06-30,17.9095,18.2873,17.7772,18.0795,551620.0
2020-07-01,18.1362,18.4762,16.9082,16.946,336574.0
2020-07-02,17.4561,18.0323,17.116,17.1916,320987.0
2020-07-03,17.4561,18.0323,17.116,17.1916,320987.0
2020-07-04,17.4561,18.0323,17.116,17.1916,320987.0
2020-07-05,17.4561,18.0323,17.116,17.1916,320987.0
2020-07-06,17.7017,18.0323,17.116,17.3805,390729.0
2020-07-07,17.1349,17.3333,16.691,16.7571,291379.0
2020-07-08,16.8893,17.2294,16.5304,16.9366,572582.0
2020-07-09,16.8138,16.9135,15.8503,16.0203,304696.0
2020-07-10,16.0014,16.691,16.0014,16.6626,181408.0
2020-07-11,16.0014,16.691,16.0014,16.6626,181408.0
2020-07-12,16.0014,16.691,16.0014,16.6626,181408.0
2020-07-13,17.031,17.1066,16.3792,16.5682,253334.0
2020-07-14,16.6248,16.9932,16.5587,16.8704,260677.0
2020-07-15,17.4372,18.0323,17.1255,17.8811,395765.0
2020-07-16,17.7961,18.1551,17.5103,17.8245,267102.0
2020-07-17,17.8528,18.3525,17.7678,18.1267,419674.0
2020-07-18,17.8528,18.3525,17.7678,18.1267,419674.0
2020-07-19,17.8528,18.3525,17.7678,18.1267,419674.0
2020-07-20,18.0323,18.089,17.5309,17.9189,275150.0
2020-07-21,18.3157,18.5424,17.9662,18.1645,318995.0
2020-07-22,17.9567,18.2023,17.6733,17.8528,293745.0
2020-07-23,17.815,18.3723,17.56,18.0795,398055.0
2020-07-24,18.0606,18.0606,17.3852,17.4466,256775.0
2020-07-25,18.0606,18.0606,17.3852,17.4466,256775.0
2020-07-26,18.0606,18.0606,17.3852,17.4466,256775.0
2020-07-27,17.475,17.5316,16.9271,17.5128,379977.0
2020-07-28,17.2861,17.4561,16.4926,16.502,414611.0
2020-07-29,16.6343,16.9743,16.3226,16.9271,295364.0
2020-07-30,16.5587,16.7098,16.2187,16.4359,278370.0
2020-07-31,16.247,16.6437,15.5952,16.0203,386242.0
2020-08-01,16.247,16.6437,15.5952,16.0203,386242.0
2020-08-02,16.247,16.6437,15.5952,16.0203,386242.0
2020-08-03,16.1525,16.7949,16.0014,16.6437,287777.0
2020-08-04,16.6248,16.946,16.4643,16.7571,207069.0
2020-08-05,16.9366,17.3522,16.8893,17.3144,408891.0
2020-08-06,17.4561,17.6639,16.9838,17.1255,244674.0
2020-08-07,17.1255,17.985,16.7854,17.9473,342590.0
2020-08-08,17.1255,17.985,16.7854,17.9473,342590.0
2020-08-09,17.1255,17.985,16.7854,17.9473,342590.0
2020-08-10,17.9473,19.0052,17.9473,18.599,648284.0
2020-08-11,18.958,19.5153,18.8163,19.1186,791126.0
2020-08-12,19.5058,19.5058,17.9284,18.4951,393899.0
2020-08-13,18.2306,18.4951,17.8906,18.1645,329029.0
2020-08-14,17.9567,18.6463,17.8906,18.4385,268359.0
2020-08-15,17.9567,18.6463,17.8906,18.4385,268359.0
2020-08-16,17.9567,18.6463,17.8906,18.4385,268359.0
2020-08-17,18.4385,18.6085,17.8442,18.1173,237897.0
2020-08-18,18.2684,18.2684,17.7111,17.73,233335.0
2020-08-19,17.9284,18.0701,17.4372,17.6544,272608.0
2020-08-20,17.4466,17.6167,17.3522,17.5222,214603.0
2020-08-21,17.3333,17.3333,16.8704,16.9838,290480.0
2020-08-22,17.3333,17.3333,16.8704,16.9838,290480.0
2020-08-23,17.3333,17.3333,16.8704,16.9838,290480.0
2020-08-24,17.1066,17.6828,16.7618,17.6167,439966.0
2020-08-25,17.7678,17.9095,17.0405,17.4088,297237.0
2020-08-26,17.2294,17.4844,16.9177,17.2955,191327.0
2020-08-27,17.475,17.909,17.3333,17.7678,215516.0
2020-08-28,16.8232,18.1267,16.7264,17.8339,395762.0
2020-08-29,16.8232,18.1267,16.7264,17.8339,395762.0
2020-08-30,16.8232,18.1267,16.7264,17.8339,395762.0
2020-08-31,17.8339,17.9114,17.3427,17.56,343994.0
2020-09-01,17.4655,18.0984,17.201,17.9945,281138.0
2020-09-02,18.0323,18.089,17.3805,17.7867,271491.0
2020-09-03,17.8623,18.1315,17.1444,17.2199,322605.0
2020-09-04,17.6167,17.9473,17.3334,17.7583,369385.0
2020-09-05,17.6167,17.9473,17.3334,17.7583,369385.0
2020-09-06,17.6167,17.9473,17.3334,17.7583,369385.0
2020-09-07,17.6167,17.9473,17.3334,17.7583,369385.0
2020-09-08,17.5694,17.5694,16.8232,16.8421,367064.0
2020-09-09,17.0405,17.05,16.6532,16.9649,361996.0
2020-09-10,17.0593,17.0593,16.3603,16.3887,445461.0
2020-09-11,16.3792,16.8704,16.3226,16.4643,282134.0
2020-09-12,16.3792,16.8704,16.3226,16.4643,282134.0
2020-09-13,16.3792,16.8704,16.3226,16.4643,282134.0
2020-09-14,16.691,16.8232,16.2281,16.7098,272629.0
2020-09-15,16.7854,16.9554,16.4606,16.4926,179587.0
2020-09-16,16.7098,17.4561,16.6248,17.1633,287695.0
2020-09-17,16.9366,17.7961,16.7287,17.5033,338742.0
2020-09-18,17.6544,18.0304,17.1464,17.3994,847513.0
2020-09-19,17.6544,18.0304,17.1464,17.3994,847513.0
2020-09-20,17.6544,18.0304,17.1464,17.3994,847513.0
2020-09-21,16.9271,17.1349,16.4076,16.4926,589124.0
2020-09-22,16.6626,16.861,15.992,16.4265,448592.0
2020-09-23,16.3981,17.2199,16.3037,16.6248,326953.0
2020-09-24,16.7098,16.8893,16.2659,16.5587,211885.0
2020-09-25,16.3509,16.7193,16.2564,16.6532,199376.0
2020-09-26,16.3509,16.7193,16.2564,16.6532,199376.0
2020-09-27,16.3509,16.7193,16.2564,16.6532,199376.0
2020-09-28,16.946,17.3805,16.946,17.1444,300116.0
2020-09-29,17.1253,17.1967,16.5355,16.878,322611.0
2020-09-30,17.0207,17.4488,16.7448,16.7543,315080.0
2020-10-01,16.6972,17.0873,16.5925,16.8589,310313.0
2020-10-02,16.4118,17.6201,16.2881,17.4773,619911.0
2020-10-03,16.4118,17.6201,16.2881,17.4773,619911.0
2020-10-04,16.4118,17.6201,16.2881,17.4773,619911.0
2020-10-05,17.582,18.3812,17.4488,17.6867,588526.0
2020-10-06,17.953,18.1053,17.211,17.23,556179.0
2020-10-07,17.3727,17.9768,17.3727,17.8579,517100.0
2020-10-08,18.0672,18.6761,18.0162,18.6476,428425.0
2020-10-09,18.7903,19.0281,18.2194,18.7998,397135.0
2020-10-10,18.7903,19.0281,18.2194,18.7998,397135.0
2020-10-11,18.7903,19.0281,18.2194,18.7998,397135.0
2020-10-12,18.7998,19.3897,18.4585,19.3136,616745.0
2020-10-13,19.0567,19.1613,18.248,18.4954,333498.0
2020-10-14,18.4288,18.6285,18.2194,18.2575,225593.0
2020-10-15,18.2004,18.4858,18.0006,18.3336,247937.0
2020-10-16,18.3146,18.8759,18.2194,18.7142,307234.0
2020-10-17,18.3146,18.8759,18.2194,18.7142,307234.0
2020-10-18,18.3146,18.8759,18.2194,18.7142,307234.0
2020-10-19,18.8474,19.266,18.4668,18.5239,240911.0
2020-10-20,18.7427,19.3136,18.7427,19.0947,310068.0
2020-10-21,19.0281,19.247,18.7332,18.7998,168106.0
2020-10-22,18.8379,19.2374,18.6381,19.1328,210995.0
2020-10-23,19.3897,19.4277,19.0377,19.2945,190663.0
2020-10-24,19.3897,19.4277,19.0377,19.2945,190663.0
2020-10-25,19.3897,19.4277,19.0377,19.2945,190663.0
2020-10-26,18.9806,19.1708,18.5334,18.6476,245544.0
2020-10-27,18.5524,18.5524,17.9721,18.0006,249947.0
2020-10-28,17.563,17.9055,17.1967,17.5915,404284.0
2020-10-29,17.6105,18.3622,17.4869,18.2004,260702.0
2020-10-30,18.1053,18.5429,18.0101,18.3717,299145.0
2020-10-31,18.1053,18.5429,18.0101,18.3717,299145.0
2020-11-01,18.1053,18.5429,18.0101,18.3717,299145.0
2020-11-02,18.6476,19.951,18.5524,19.8844,538737.0
2020-11-03,20.1793,20.2459,18.9901,19.4182,704326.0
2020-11-04,18.8379,18.914,17.7333,17.9911,583215.0
2020-11-05,18.2099,19.5419,18.2014,18.8188,373771.0
2020-11-06,19.0757,19.2565,18.6381,18.8664,166350.0
2020-11-07,19.0757,19.2565,18.6381,18.8664,166350.0
2020-11-08,19.0757,19.2565,18.6381,18.8664,166350.0
2020-11-09,21.4352,21.9204,19.1233,19.1233,666273.0
2020-11-10,19.4753,22.6149,19.3136,22.5198,1620224.0
2020-11-11,22.4532,22.4532,20.8548,22.1202,784726.0
2020-11-12,21.6921,21.9014,20.4838,20.969,425649.0
2020-11-13,21.2449,21.7967,21.1174,21.6635,247794.0
2020-11-14,21.2449,21.7967,21.1174,21.6635,247794.0
2020-11-15,21.2449,21.7967,21.1174,21.6635,247794.0
2020-11-16,22.3581,22.5293,21.7872,22.2629,1234245.0
2020-11-17,21.7587,22.7767,21.4257,22.7672,370015.0
2020-11-18,22.8338,24.2038,22.8338,23.6805,556852.0
2020-11-19,23.5473,23.7757,23.1953,23.652,348843.0
2020-11-20,23.4522,23.6056,22.6911,22.8908,248880.0
2020-11-21,23.4522,23.6056,22.6911,22.8908,248880.0
2020-11-22,23.4522,23.6056,22.6911,22.8908,248880.0
2020-11-23,23.0621,24.3941,23.0621,24.2038,397706.0
2020-11-24,24.6795,25.6214,24.3084,25.3835,666938.0
2020-11-25,25.0886,25.1171,23.7281,24.0421,307867.0
2020-11-26,25.0886,25.1171,23.7281,24.0421,307867.0
2020-11-27,24.0991,24.4188,23.6234,24.2514,126341.0
2020-11-28,24.0991,24.4188,23.6234,24.2514,126341.0
2020-11-29,24.0991,24.4188,23.6234,24.2514,126341.0
2020-11-30,24.023,24.1562,23.0621,23.4236,311116.0
2020-12-01,23.9089,23.9945,23.4427,23.7091,273280.0
2020-12-02,23.7091,24.1467,23.4712,23.8613,578326.0
2020-12-03,23.9659,24.5463,23.671,24.2609,206703.0
2020-12-04,24.5748,25.8402,24.356,25.7451,449400.0
2020-12-05,24.5748,25.8402,24.356,25.7451,449400.0
2020-12-06,24.5748,25.8402,24.356,25.7451,449400.0
2020-12-07,25.4596,25.6594,24.5178,25.0505,391131.0
2020-12-08,24.8888,26.5252,24.8698,25.8783,822711.0
2020-12-09,26.2493,26.8011,25.355,25.7165,497412.0
2020-12-10,25.336,25.9734,25.0981,25.9068,335783.0
2020-12-11,25.6594,26.6109,25.5928,25.707,323668.0
2020-12-12,25.6594,26.6109,25.5928,25.707,323668.0
2020-12-13,25.6594,26.6109,25.5928,25.707,323668.0
2020-12-14,26.1351,26.2874,24.7651,24.7937,346860.0
2020-12-15,25.1552,25.5453,24.5939,25.4026,338892.0
2020-12-16,25.4216,25.8497,25.0981,25.5548,345698.0
2020-12-17,25.6214,25.9829,25.2599,25.4977,369324.0
2020-12-18,25.4406,26.0685,25.4216,25.5548,581368.0
2020-12-19,25.4406,26.0685,25.4216,25.5548,581368.0
2020-12-20,25.4406,26.0685,25.4216,25.5548,581368.0
2020-12-21,24.7746,25.8307,24.6995,25.5643,258423.0
2020-12-22,25.669,25.7546,25.3645,25.5358,174394.0
2020-12-23,25.7831,26.2398,25.4501,26.002,210015.0
2020-12-24,26.1827,26.2398,25.707,25.7831,93443.0
2020-12-25,26.1827,26.2398,25.707,25.7831,93443.0
2020-12-26,26.1827,26.2398,25.707,25.7831,93443.0
2020-12-27,26.1827,26.2398,25.707,25.7831,93443.0
2020-12-28,25.9258,26.3859,25.8212,25.9449,260790.0
2020-12-29,26.0971,26.1447,25.2218,25.4977,277284.0
2020-12-30,25.6411,26.1861,25.6411,25.8993,206130.0
2020-12-31,25.9279,26.0809,25.536,25.536,258005.0
2021-01-01,25.9279,26.0809,25.536,25.536,258005.0
2021-01-02,25.9279,26.0809,25.536,25.536,258005.0
2021-01-03,25.9279,26.0809,25.536,25.536,258005.0
2021-01-04,25.7463,25.9853,24.7424,25.4499,664905.0
2021-01-05,25.2396,26.9318,25.2396,26.6354,325613.0
2021-01-06,27.448,30.8133,27.2807,30.756,1047923.0
2021-01-07,30.8802,32.1327,30.756,32.0657,507466.0
2021-01-08,32.4482,32.5055,31.6546,32.3143,728420.0
2021-01-09,32.4482,32.5055,31.6546,32.3143,728420.0
2021-01-10,32.4482,32.5055,31.6546,32.3143,728420.0
2021-01-11,31.7502,32.3143,29.8573,31.2722,536221.0
2021-01-12,31.3965,32.9262,31.234,32.8593,398774.0
2021-01-13,33.2321,33.366,31.559,31.8937,317459.0
2021-01-14,32.3143,33.0505,31.7024,32.3717,419195.0
2021-01-15,31.798,32.1996,30.6365,31.798,571160.0
2021-01-16,31.798,32.1996,30.6365,31.798,571160.0
2021-01-17,31.798,32.1996,30.6365,31.798,571160.0
2021-01-18,31.798,32.1996,30.6365,31.798,571160.0
2021-01-19,32.4673,33.2034,31.9032,33.1461,291634.0
2021-01-20,33.3755,33.5763,32.6585,32.9644,259797.0
2021-01-21,33.0313,33.4329,31.6546,31.7598,280050.0
2021-01-22,31.2531,32.1709,30.7233,32.0657,289184.0
2021-01-23,31.2531,32.1709,30.7233,32.0657,289184.0
2021-01-24,31.2531,32.1709,30.7233,32.0657,289184.0
2021-01-25,31.9893,32.0084,30.345,31.2913,292490.0
2021-01-26,31.6451,31.6833,30.5169,30.6508,142726.0
2021-01-27,29.7425,31.2627,28.9204,29.9911,656159.0
2021-01-28,30.4022,31.0715,29.1594,29.6087,367069.0
2021-01-29,29.4366,29.4821,28.1555,28.3085,272582.0
2021-01-30,29.4366,29.4821,28.1555,28.3085,272582.0
2021-01-31,29.4366,29.4821,28.1555,28.3085,272582.0
2021-02-01,28.4232,29.5896,27.8352,29.3793,338060.0
2021-02-02,29.9146,30.3114,28.7291,29.8764,244806.0
2021-02-03,29.9338,30.1632,29.4079,30.0294,185605.0
2021-02-04,30.1536,30.2875,29.7043,30.2015,225252.0
2021-02-05,30.5934,30.928,29.8095,30.3927,237755.0
2021-02-06,30.5934,30.928,29.8095,30.3927,237755.0
2021-02-07,30.5934,30.928,29.8095,30.3927,237755.0
2021-02-08,30.8038,30.8038,30.211,30.6604,173441.0
2021-02-09,30.6412,31.0141,30.0204,30.4118,404031.0
2021-02-10,30.6412,31.0428,30.1632,30.2971,589797.0
2021-02-11,30.4978,31.4443,30.1632,31.4443,373377.0
2021-02-12,31.3296,31.4634,30.7368,31.1097,253138.0
2021-02-13,31.3296,31.4634,30.7368,31.1097,253138.0
2021-02-14,31.3296,31.4634,30.7368,31.1097,253138.0
2021-02-15,31.3296,31.4634,30.7368,31.1097,253138.0
2021-02-16,31.5304,32.0086,31.2149,31.7216,175064.0
2021-02-17,31.5495,32.0849,31.0332,31.3391,234522.0
2021-02-18,31.234,31.234,29.9051,30.0294,282429.0
2021-02-19,30.5456,31.3774,30.0772,31.2627,334078.0
2021-02-20,30.5456,31.3774,30.0772,31.2627,334078.0
2021-02-21,30.5456,31.3774,30.0772,31.2627,334078.0
2021-02-22,31.3774,33.1269,31.3774,32.582,533573.0
2021-02-23,32.3908,33.2321,31.8745,32.4195,617954.0
2021-02-24,33.0409,34.8478,32.3812,34.6853,486729.0
2021-02-25,35.4406,35.4406,33.1174,33.7006,382604.0
2021-02-26,33.4233,33.5858,31.9988,32.8688,423716.0
2021-02-27,33.4233,33.5858,31.9988,32.8688,423716.0
2021-02-28,33.4233,33.5858,31.9988,32.8688,423716.0
2021-03-01,33.8249,35.1633,33.3946,34.6662,331075.0
2021-03-02,34.6853,35.1346,34.169,34.4941,233633.0
2021-03-03,34.322,35.7561,34.322,34.953,318371.0
2021-03-04,34.7905,35.1824,32.7923,33.8631,394974.0
2021-03-05,34.3124,35.4884,33.5667,35.3737,331390.0
2021-03-06,34.3124,35.4884,33.5667,35.3737,331390.0
2021-03-07,34.3124,35.4884,33.5667,35.3737,331390.0
2021-03-08,35.8517,37.3187,35.5457,36.4635,610953.0
2021-03-09,37.1041,37.1672,35.4979,36.5496,420488.0
2021-03-10,36.6548,38.0697,36.3775,37.9454,636655.0
2021-03-11,38.1462,38.7581,37.4578,38.2131,407229.0
2021-03-12,38.2418,38.9587,37.9263,38.7007,409802.0
