,FCN US Equity,FCN US Equity,FCN US Equity,FCN US Equity,FCN US Equity
2020-02-16,125.15,126.92,125.085,126.41,154510.0
2020-02-17,125.15,126.92,125.085,126.41,154510.0
2020-02-18,126.48,127.39,125.38,126.91,172351.0
2020-02-19,127.12,130.01,127.12,129.19,205197.0
2020-02-20,128.4,129.12,124.03,125.89,213242.0
2020-02-21,125.87,125.93,123.58,123.69,240742.0
2020-02-22,125.87,125.93,123.58,123.69,240742.0
2020-02-23,125.87,125.93,123.58,123.69,240742.0
2020-02-24,119.9,121.3489,117.4608,118.0,457020.0
2020-02-25,111.58,112.23,106.17,110.02,1006590.0
2020-02-26,110.42,116.0,109.98,115.4,524056.0
2020-02-27,113.22,114.395,110.93,111.11,465187.0
2020-02-28,107.97,114.89,107.0752,112.59,640763.0
2020-02-29,107.97,114.89,107.0752,112.59,640763.0
2020-03-01,107.97,114.89,107.0752,112.59,640763.0
2020-03-02,113.4,115.48,113.37,115.42,544257.0
2020-03-03,115.47,116.37,111.35,111.45,359077.0
2020-03-04,113.15,114.82,111.24,114.66,282559.0
2020-03-05,111.88,112.62,107.9,108.75,332585.0
2020-03-06,106.05,113.07,105.72,112.62,460086.0
2020-03-07,106.05,113.07,105.72,112.62,460086.0
2020-03-08,106.05,113.07,105.72,112.62,460086.0
2020-03-09,106.74,118.0,106.04,112.35,658851.0
2020-03-10,114.66,116.26,111.79,115.11,707700.0
2020-03-11,115.14,119.5,111.19,115.2,609814.0
2020-03-12,110.07,114.85,100.5661,110.38,596913.0
2020-03-13,114.42,120.42,111.47,120.4,630352.0
2020-03-14,114.42,120.42,111.47,120.4,630352.0
2020-03-15,114.42,120.42,111.47,120.4,630352.0
2020-03-16,104.73,115.27,104.73,114.81,677293.0
2020-03-17,116.55,118.85,106.52,118.47,1024829.0
2020-03-18,112.73,135.51,112.305,131.69,865655.0
2020-03-19,130.48,131.35,117.98,120.13,1105845.0
2020-03-20,120.16,126.99,114.07,114.62,1019884.0
2020-03-21,120.16,126.99,114.07,114.62,1019884.0
2020-03-22,120.16,126.99,114.07,114.62,1019884.0
2020-03-23,113.94,114.48,105.06,105.8,614518.0
2020-03-24,109.42,117.44,107.21,116.69,729319.0
2020-03-25,116.58,121.555,113.39,117.7,630638.0
2020-03-26,118.5,120.95,102.25,105.05,751204.0
2020-03-27,103.06,117.03,101.755,114.72,789415.0
2020-03-28,103.06,117.03,101.755,114.72,789415.0
2020-03-29,103.06,117.03,101.755,114.72,789415.0
2020-03-30,116.29,120.265,114.51,118.69,563455.0
2020-03-31,117.7,125.2,117.285,119.77,585915.0
2020-04-01,116.89,121.99,115.37,119.91,611301.0
2020-04-02,117.95,123.99,117.07,120.53,380400.0
2020-04-03,119.71,123.03,117.98,122.24,316666.0
2020-04-04,119.71,123.03,117.98,122.24,316666.0
2020-04-05,119.71,123.03,117.98,122.24,316666.0
2020-04-06,128.5,134.8,122.38,134.24,771081.0
2020-04-07,135.59,141.67,132.27,133.51,470301.0
2020-04-08,135.43,136.57,129.76,133.92,446990.0
2020-04-09,134.26,138.48,132.16,138.17,271741.0
2020-04-10,134.26,138.48,132.16,138.17,271741.0
2020-04-11,134.26,138.48,132.16,138.17,271741.0
2020-04-12,134.26,138.48,132.16,138.17,271741.0
2020-04-13,137.0,137.85,134.08,137.11,210243.0
2020-04-14,139.62,143.145,136.8,142.09,337302.0
2020-04-15,139.89,144.1,131.74,132.04,514079.0
2020-04-16,132.44,137.69,132.44,135.56,487326.0
2020-04-17,138.24,138.74,135.13,136.01,355162.0
2020-04-18,138.24,138.74,135.13,136.01,355162.0
2020-04-19,138.24,138.74,135.13,136.01,355162.0
2020-04-20,134.66,134.98,131.06,131.3,273694.0
2020-04-21,130.0,132.24,126.87,129.6,237218.0
2020-04-22,131.46,132.815,129.02,131.7,323964.0
2020-04-23,131.29,136.58,130.92,134.97,302016.0
2020-04-24,134.8,136.235,132.68,134.68,276226.0
2020-04-25,134.8,136.235,132.68,134.68,276226.0
2020-04-26,134.8,136.235,132.68,134.68,276226.0
2020-04-27,135.2,138.99,134.37,138.0,381215.0
2020-04-28,140.02,141.515,138.7,140.11,324857.0
2020-04-29,142.2,142.2,132.57,133.16,457511.0
2020-04-30,123.86,129.32,120.0,127.36,696669.0
2020-05-01,126.74,127.2,121.02,124.99,388367.0
2020-05-02,126.74,127.2,121.02,124.99,388367.0
2020-05-03,126.74,127.2,121.02,124.99,388367.0
2020-05-04,123.78,127.08,121.92,127.0,309830.0
2020-05-05,127.79,130.18,125.33,125.46,241129.0
2020-05-06,126.87,128.31,121.19,121.25,432503.0
2020-05-07,122.24,123.97,121.72,123.28,208454.0
2020-05-08,124.51,126.15,122.6,123.44,246512.0
2020-05-09,124.51,126.15,122.6,123.44,246512.0
2020-05-10,124.51,126.15,122.6,123.44,246512.0
2020-05-11,122.18,125.11,121.79,122.62,391131.0
2020-05-12,122.99,123.56,118.01,118.1,356264.0
2020-05-13,117.79,119.32,116.6457,117.3,389197.0
2020-05-14,116.19,116.8523,113.29,115.32,725631.0
2020-05-15,115.82,116.81,114.7,114.94,580778.0
2020-05-16,115.82,116.81,114.7,114.94,580778.0
2020-05-17,115.82,116.81,114.7,114.94,580778.0
2020-05-18,117.82,123.23,117.82,122.4,446753.0
2020-05-19,121.65,123.85,117.15,117.29,313878.0
2020-05-20,119.1,119.4395,114.88,115.34,302645.0
2020-05-21,115.07,116.05,114.59,115.22,262287.0
2020-05-22,115.17,116.0525,113.99,115.4,251552.0
2020-05-23,115.17,116.0525,113.99,115.4,251552.0
2020-05-24,115.17,116.0525,113.99,115.4,251552.0
2020-05-25,115.17,116.0525,113.99,115.4,251552.0
2020-05-26,118.15,121.305,117.42,119.76,387913.0
2020-05-27,120.96,121.56,116.15,121.12,568534.0
2020-05-28,122.0,123.39,119.785,122.09,331012.0
2020-05-29,121.54,123.82,118.485,120.46,423743.0
2020-05-30,121.54,123.82,118.485,120.46,423743.0
2020-05-31,121.54,123.82,118.485,120.46,423743.0
2020-06-01,120.78,121.4,118.615,119.6,442399.0
2020-06-02,120.0,121.38,118.51,120.72,432070.0
2020-06-03,121.67,125.75,119.63,125.32,657469.0
2020-06-04,124.28,125.81,119.47,120.38,502197.0
2020-06-05,121.84,122.59,113.41,113.82,712095.0
2020-06-06,121.84,122.59,113.41,113.82,712095.0
2020-06-07,121.84,122.59,113.41,113.82,712095.0
2020-06-08,113.16,117.22,112.24,115.2,414366.0
2020-06-09,114.65,114.65,110.82,112.33,506874.0
2020-06-10,112.42,113.71,109.61,111.16,462726.0
2020-06-11,109.19,111.44,108.55,109.12,637177.0
2020-06-12,111.63,111.63,103.23,105.84,805079.0
2020-06-13,111.63,111.63,103.23,105.84,805079.0
2020-06-14,111.63,111.63,103.23,105.84,805079.0
2020-06-15,104.31,106.01,102.76,104.33,593633.0
2020-06-16,106.8,107.49,103.37,104.25,431082.0
2020-06-17,104.78,107.0,103.585,106.38,810170.0
2020-06-18,105.76,107.27,105.76,106.88,716642.0
2020-06-19,107.82,108.4,103.86,104.11,803221.0
2020-06-20,107.82,108.4,103.86,104.11,803221.0
2020-06-21,107.82,108.4,103.86,104.11,803221.0
2020-06-22,103.69,106.17,102.94,106.0,453428.0
2020-06-23,105.58,107.46,104.27,104.78,477357.0
2020-06-24,104.24,105.125,101.78,101.93,577907.0
2020-06-25,101.77,105.36,101.42,105.04,807831.0
2020-06-26,105.38,113.39,104.27,112.46,4751289.0
2020-06-27,105.38,113.39,104.27,112.46,4751289.0
2020-06-28,105.38,113.39,104.27,112.46,4751289.0
2020-06-29,113.8,113.8,108.05,111.64,775116.0
2020-06-30,112.16,115.33,111.72,114.55,925606.0
2020-07-01,115.08,116.39,113.3,115.38,453057.0
2020-07-02,116.4,118.94,115.78,118.07,436866.0
2020-07-03,116.4,118.94,115.78,118.07,436866.0
2020-07-04,116.4,118.94,115.78,118.07,436866.0
2020-07-05,116.4,118.94,115.78,118.07,436866.0
2020-07-06,119.38,119.67,114.66,115.11,443753.0
2020-07-07,114.53,115.47,111.88,112.02,438869.0
2020-07-08,112.02,113.6,111.08,112.53,443244.0
2020-07-09,112.57,114.15,111.16,113.94,401388.0
2020-07-10,113.61,113.685,110.16,111.3,541757.0
2020-07-11,113.61,113.685,110.16,111.3,541757.0
2020-07-12,113.61,113.685,110.16,111.3,541757.0
2020-07-13,112.12,112.79,109.43,109.54,280085.0
2020-07-14,108.79,110.37,107.19,110.12,330529.0
2020-07-15,111.57,113.32,110.34,112.89,278331.0
2020-07-16,112.8,114.23,111.7812,113.6,319748.0
2020-07-17,114.09,114.12,112.645,114.06,244141.0
2020-07-18,114.09,114.12,112.645,114.06,244141.0
2020-07-19,114.09,114.12,112.645,114.06,244141.0
2020-07-20,114.51,116.8,114.51,116.0,371531.0
2020-07-21,116.78,117.15,114.69,114.98,239442.0
2020-07-22,114.7,115.65,113.28,114.13,238839.0
2020-07-23,114.59,115.275,111.75,112.21,331579.0
2020-07-24,112.28,114.26,111.17,112.77,401281.0
2020-07-25,112.28,114.26,111.17,112.77,401281.0
2020-07-26,112.28,114.26,111.17,112.77,401281.0
2020-07-27,112.9,114.5985,112.05,113.51,434069.0
2020-07-28,113.22,114.75,109.95,110.04,436479.0
2020-07-29,110.73,112.64,110.365,110.9,471601.0
2020-07-30,113.0,122.35,111.01,121.6,1050651.0
2020-07-31,121.26,121.44,117.14,119.44,516882.0
2020-08-01,121.26,121.44,117.14,119.44,516882.0
2020-08-02,121.26,121.44,117.14,119.44,516882.0
2020-08-03,120.23,122.56,118.49,121.34,495162.0
2020-08-04,120.99,122.98,120.7,122.37,342133.0
2020-08-05,123.8,123.8,119.58,120.68,347834.0
2020-08-06,121.01,121.22,117.38,117.62,255380.0
2020-08-07,117.74,118.395,115.28,116.96,374149.0
2020-08-08,117.74,118.395,115.28,116.96,374149.0
2020-08-09,117.74,118.395,115.28,116.96,374149.0
2020-08-10,116.96,119.5,116.68,117.88,439512.0
2020-08-11,118.97,122.21,117.31,120.81,429339.0
2020-08-12,121.31,122.81,120.0801,120.6,219257.0
2020-08-13,120.44,121.04,119.22,119.62,331869.0
2020-08-14,118.8,118.9757,116.305,118.56,543552.0
2020-08-15,118.8,118.9757,116.305,118.56,543552.0
2020-08-16,118.8,118.9757,116.305,118.56,543552.0
2020-08-17,119.24,119.46,116.7,117.09,203825.0
2020-08-18,117.04,118.2,116.89,117.07,250035.0
2020-08-19,116.96,119.28,116.96,117.28,217796.0
2020-08-20,117.0,118.745,116.7,117.95,263218.0
2020-08-21,118.38,118.83,115.45,116.07,290576.0
2020-08-22,118.38,118.83,115.45,116.07,290576.0
2020-08-23,118.38,118.83,115.45,116.07,290576.0
2020-08-24,116.94,117.2145,116.1,116.89,289868.0
2020-08-25,117.07,118.17,116.5,116.5,391895.0
2020-08-26,116.65,117.72,116.45,116.69,384112.0
2020-08-27,116.75,117.44,115.96,116.48,360090.0
2020-08-28,116.87,117.73,115.79,116.99,382391.0
2020-08-29,116.87,117.73,115.79,116.99,382391.0
2020-08-30,116.87,117.73,115.79,116.99,382391.0
2020-08-31,116.95,117.63,114.74,114.76,297194.0
2020-09-01,114.56,116.215,114.55,115.31,281057.0
2020-09-02,115.38,117.3099,114.84,116.33,295220.0
2020-09-03,116.5,116.5,113.92,114.85,375844.0
2020-09-04,115.56,115.91,111.98,112.93,321627.0
2020-09-05,115.56,115.91,111.98,112.93,321627.0
2020-09-06,115.56,115.91,111.98,112.93,321627.0
2020-09-07,115.56,115.91,111.98,112.93,321627.0
2020-09-08,112.45,112.45,109.83,110.03,577068.0
2020-09-09,110.89,113.1,110.6,111.67,421285.0
2020-09-10,111.6,111.85,108.41,108.94,359429.0
2020-09-11,109.74,110.71,108.39,108.83,235363.0
2020-09-12,109.74,110.71,108.39,108.83,235363.0
2020-09-13,109.74,110.71,108.39,108.83,235363.0
2020-09-14,109.0,109.54,107.44,107.9,439627.0
2020-09-15,109.15,109.26,106.59,106.71,289045.0
2020-09-16,107.51,107.85,106.39,106.67,313876.0
2020-09-17,105.61,106.85,105.26,105.99,418802.0
2020-09-18,106.74,107.61,105.85,106.26,858990.0
2020-09-19,106.74,107.61,105.85,106.26,858990.0
2020-09-20,106.74,107.61,105.85,106.26,858990.0
2020-09-21,105.24,108.66,105.0,108.19,547582.0
2020-09-22,108.32,108.53,107.1,107.83,408430.0
2020-09-23,107.71,108.98,104.82,104.9,378577.0
2020-09-24,104.37,107.69,104.195,106.52,357993.0
2020-09-25,106.83,107.7563,105.71,107.34,307040.0
2020-09-26,106.83,107.7563,105.71,107.34,307040.0
2020-09-27,106.83,107.7563,105.71,107.34,307040.0
2020-09-28,108.01,109.74,108.01,108.92,300260.0
2020-09-29,108.7,108.92,106.68,107.0,352333.0
2020-09-30,107.29,107.59,105.34,105.97,392818.0
2020-10-01,105.86,107.06,105.635,106.85,431287.0
2020-10-02,106.39,108.81,106.1582,108.0,348858.0
2020-10-03,106.39,108.81,106.1582,108.0,348858.0
2020-10-04,106.39,108.81,106.1582,108.0,348858.0
2020-10-05,108.68,110.53,108.37,110.53,395813.0
2020-10-06,110.34,112.43,109.48,111.26,316532.0
2020-10-07,111.47,112.29,110.835,111.76,228057.0
2020-10-08,112.54,112.97,111.54,111.75,314377.0
2020-10-09,112.11,113.145,112.11,112.17,254691.0
2020-10-10,112.11,113.145,112.11,112.17,254691.0
2020-10-11,112.11,113.145,112.11,112.17,254691.0
2020-10-12,112.6,114.8,111.82,114.75,211265.0
2020-10-13,114.55,116.18,113.715,114.28,220295.0
2020-10-14,113.85,115.12,112.905,113.44,247065.0
2020-10-15,112.32,114.375,112.1001,114.01,225050.0
2020-10-16,113.98,115.0,113.98,114.59,179430.0
2020-10-17,113.98,115.0,113.98,114.59,179430.0
2020-10-18,113.98,115.0,113.98,114.59,179430.0
2020-10-19,114.92,115.84,113.35,113.44,379004.0
2020-10-20,113.58,114.7,110.92,110.92,317650.0
2020-10-21,110.92,112.36,109.95,110.89,606781.0
2020-10-22,110.57,111.82,109.56,109.61,336118.0
2020-10-23,110.08,111.16,108.415,108.57,305454.0
2020-10-24,110.08,111.16,108.415,108.57,305454.0
2020-10-25,110.08,111.16,108.415,108.57,305454.0
2020-10-26,107.86,109.11,107.71,108.28,316005.0
2020-10-27,108.2,110.22,108.2,109.33,334529.0
2020-10-28,108.31,110.71,105.65,109.95,800134.0
2020-10-29,102.0,102.05,94.87,97.01,2430416.0
2020-10-30,95.96,99.415,95.79,98.46,1409352.0
2020-10-31,95.96,99.415,95.79,98.46,1409352.0
2020-11-01,95.96,99.415,95.79,98.46,1409352.0
2020-11-02,99.5,100.93,98.795,99.5,892536.0
2020-11-03,100.0,101.0,99.57,99.69,793755.0
2020-11-04,99.75,102.21,99.66,100.08,733206.0
2020-11-05,101.57,102.42,100.08,101.72,452902.0
2020-11-06,102.02,102.44,100.305,100.86,240395.0
2020-11-07,102.02,102.44,100.305,100.86,240395.0
2020-11-08,102.02,102.44,100.305,100.86,240395.0
2020-11-09,102.95,104.37,102.34,102.52,822336.0
2020-11-10,102.5,102.5,101.09,101.95,1376499.0
2020-11-11,102.86,105.47,102.7,103.55,852660.0
2020-11-12,103.89,104.68,103.19,104.49,508152.0
2020-11-13,104.73,106.5,104.73,105.75,536383.0
2020-11-14,104.73,106.5,104.73,105.75,536383.0
2020-11-15,104.73,106.5,104.73,105.75,536383.0
2020-11-16,106.45,107.08,104.81,106.17,513447.0
2020-11-17,105.97,106.555,105.0,105.72,563718.0
2020-11-18,105.74,106.433,105.01,105.23,364055.0
2020-11-19,105.03,105.82,104.2,105.4,262354.0
2020-11-20,104.97,105.95,104.91,105.12,379105.0
2020-11-21,104.97,105.95,104.91,105.12,379105.0
2020-11-22,104.97,105.95,104.91,105.12,379105.0
2020-11-23,105.25,106.42,105.25,105.66,231081.0
2020-11-24,105.8,106.3,104.07,104.22,577123.0
2020-11-25,103.89,105.065,102.945,103.65,370592.0
2020-11-26,103.89,105.065,102.945,103.65,370592.0
2020-11-27,103.68,105.21,103.68,104.84,165423.0
2020-11-28,103.68,105.21,103.68,104.84,165423.0
2020-11-29,103.68,105.21,103.68,104.84,165423.0
2020-11-30,105.0,106.48,104.31,105.02,474509.0
2020-12-01,105.0,106.64,104.66,105.34,738021.0
2020-12-02,105.32,105.57,103.88,104.47,375942.0
2020-12-03,104.56,105.33,102.9,103.05,841709.0
2020-12-04,103.97,109.98,103.44,109.75,923177.0
2020-12-05,103.97,109.98,103.44,109.75,923177.0
2020-12-06,103.97,109.98,103.44,109.75,923177.0
2020-12-07,109.27,110.55,106.95,106.96,485996.0
2020-12-08,106.76,108.497,106.57,107.9,441574.0
2020-12-09,108.15,108.7,107.15,108.34,269292.0
2020-12-10,108.28,108.7,106.825,107.94,147066.0
2020-12-11,107.42,110.0,107.42,109.97,272116.0
2020-12-12,107.42,110.0,107.42,109.97,272116.0
2020-12-13,107.42,110.0,107.42,109.97,272116.0
2020-12-14,110.05,110.86,109.295,109.7,320570.0
2020-12-15,109.88,111.32,109.41,110.81,339886.0
2020-12-16,111.26,111.93,108.88,109.22,253758.0
2020-12-17,109.28,109.51,107.35,109.12,295303.0
2020-12-18,109.62,111.62,108.45,111.25,634338.0
2020-12-19,109.62,111.62,108.45,111.25,634338.0
2020-12-20,109.62,111.62,108.45,111.25,634338.0
2020-12-21,110.22,111.0,109.42,110.15,302430.0
2020-12-22,109.68,111.05,108.87,110.81,257498.0
2020-12-23,110.99,111.42,109.9,109.97,265341.0
2020-12-24,110.21,111.7,110.2,111.05,61488.0
2020-12-25,110.21,111.7,110.2,111.05,61488.0
2020-12-26,110.21,111.7,110.2,111.05,61488.0
2020-12-27,110.21,111.7,110.2,111.05,61488.0
2020-12-28,111.48,112.07,110.22,111.5,118586.0
2020-12-29,112.13,112.46,110.065,110.67,194512.0
2020-12-30,110.54,111.98,110.4,110.67,171738.0
2020-12-31,111.0,112.19,110.155,111.72,200631.0
2021-01-01,111.0,112.19,110.155,111.72,200631.0
2021-01-02,111.0,112.19,110.155,111.72,200631.0
2021-01-03,111.0,112.19,110.155,111.72,200631.0
2021-01-04,111.5,111.63,109.38,110.76,325658.0
2021-01-05,110.99,111.94,110.81,111.57,242993.0
2021-01-06,112.0,113.26,111.48,112.89,443814.0
2021-01-07,113.37,113.71,111.535,112.82,226987.0
2021-01-08,112.92,113.25,111.55,112.13,226040.0
2021-01-09,112.92,113.25,111.55,112.13,226040.0
2021-01-10,112.92,113.25,111.55,112.13,226040.0
2021-01-11,111.71,112.72,110.72,111.95,313162.0
2021-01-12,111.95,114.69,111.64,114.16,289262.0
2021-01-13,114.1,114.98,112.85,113.69,383403.0
2021-01-14,114.29,115.35,113.975,114.4,171059.0
2021-01-15,114.45,115.53,113.48,114.94,512532.0
2021-01-16,114.45,115.53,113.48,114.94,512532.0
2021-01-17,114.45,115.53,113.48,114.94,512532.0
2021-01-18,114.45,115.53,113.48,114.94,512532.0
2021-01-19,115.41,116.955,115.21,115.74,348515.0
2021-01-20,115.69,117.16,115.63,116.69,342082.0
2021-01-21,116.73,116.74,115.73,115.74,216723.0
2021-01-22,115.57,116.85,115.57,116.42,306299.0
2021-01-23,115.57,116.85,115.57,116.42,306299.0
2021-01-24,115.57,116.85,115.57,116.42,306299.0
2021-01-25,116.92,118.84,116.14,118.66,253824.0
2021-01-26,118.87,120.02,118.075,119.92,186355.0
2021-01-27,119.1,119.93,111.54,113.01,499085.0
2021-01-28,112.96,117.2,112.22,114.38,412061.0
2021-01-29,113.97,115.26,109.8,109.97,633947.0
2021-01-30,113.97,115.26,109.8,109.97,633947.0
2021-01-31,113.97,115.26,109.8,109.97,633947.0
2021-02-01,109.73,111.26,109.11,110.86,423083.0
2021-02-02,111.5,112.775,109.275,110.1,422368.0
2021-02-03,110.03,110.805,109.72,110.41,269835.0
2021-02-04,110.11,111.36,109.9,111.28,300050.0
2021-02-05,111.8,112.01,107.89,108.44,633529.0
2021-02-06,111.8,112.01,107.89,108.44,633529.0
2021-02-07,111.8,112.01,107.89,108.44,633529.0
2021-02-08,108.67,109.02,105.58,105.74,570328.0
2021-02-09,106.02,106.37,105.1,106.15,522360.0
2021-02-10,106.64,107.49,105.45,106.91,624793.0
2021-02-11,107.01,107.84,105.07,105.38,351510.0
2021-02-12,105.66,106.51,105.4,106.49,518763.0
2021-02-13,105.66,106.51,105.4,106.49,518763.0
2021-02-14,105.66,106.51,105.4,106.49,518763.0
2021-02-15,105.66,106.51,105.4,106.49,518763.0
2021-02-16,106.95,107.24,105.6,107.02,803327.0
2021-02-17,106.7,108.26,106.28,107.57,798473.0
2021-02-18,107.62,109.625,107.555,109.36,780157.0
2021-02-19,109.88,109.97,108.52,109.15,412159.0
2021-02-20,109.88,109.97,108.52,109.15,412159.0
2021-02-21,109.88,109.97,108.52,109.15,412159.0
2021-02-22,108.78,109.42,107.17,109.1,344828.0
2021-02-23,109.53,110.765,108.95,110.36,629410.0
2021-02-24,110.8,110.8,109.37,109.95,525539.0
2021-02-25,110.12,118.4,110.12,116.58,873633.0
2021-02-26,116.49,117.89,114.54,114.55,509893.0
2021-02-27,116.49,117.89,114.54,114.55,509893.0
2021-02-28,116.49,117.89,114.54,114.55,509893.0
2021-03-01,116.05,116.05,114.02,115.3,543446.0
2021-03-02,115.37,117.72,115.16,116.39,596544.0
2021-03-03,116.8,120.47,116.23,119.94,410416.0
2021-03-04,119.56,121.49,118.16,119.18,463362.0
2021-03-05,119.42,122.13,118.91,121.36,344566.0
2021-03-06,119.42,122.13,118.91,121.36,344566.0
2021-03-07,119.42,122.13,118.91,121.36,344566.0
2021-03-08,121.71,124.71,120.62,123.37,568689.0
2021-03-09,123.13,125.44,122.57,124.0,934452.0
2021-03-10,124.45,126.49,123.17,125.75,506892.0
2021-03-11,126.5,127.0,125.43,126.12,519846.0
2021-03-12,126.16,127.61,125.17,125.78,381242.0
2021-03-13,126.16,127.61,125.17,125.78,381242.0
2021-03-14,126.16,127.61,125.17,125.78,381242.0
2021-03-15,124.87,126.72,123.97,126.62,256002.0
2021-03-16,126.42,129.17,125.8299,129.16,426273.0
2021-03-17,129.66,129.66,127.38,128.69,528180.0
2021-03-18,128.66,131.6,127.82,131.51,330383.0
2021-03-19,131.51,135.06,131.02,135.01,1027205.0
2021-03-20,131.51,135.06,131.02,135.01,1027205.0
2021-03-21,131.51,135.06,131.02,135.01,1027205.0
2021-03-22,135.4,137.22,134.49,137.15,985939.0
2021-03-23,137.56,139.135,136.63,138.25,940633.0
2021-03-24,138.24,138.905,136.53,137.97,484480.0
2021-03-25,138.1,138.4,136.37,137.99,479633.0
2021-03-26,137.07,139.65,136.625,139.63,294535.0
2021-03-27,137.07,139.65,136.625,139.63,294535.0
2021-03-28,137.07,139.65,136.625,139.63,294535.0
2021-03-29,139.74,142.13,139.39,140.39,488262.0
2021-03-30,140.44,140.92,139.45,140.18,498865.0
2021-03-31,140.11,141.92,139.33,140.11,511643.0
2021-04-01,140.12,142.28,139.53,142.17,326250.0
2021-04-02,140.12,142.28,139.53,142.17,326250.0
2021-04-03,140.12,142.28,139.53,142.17,326250.0
2021-04-04,140.12,142.28,139.53,142.17,326250.0
2021-04-05,142.62,145.45,142.0,145.43,468354.0
2021-04-06,144.99,146.52,144.54,144.57,906295.0
2021-04-07,144.78,144.78,141.04,142.0,634164.0
2021-04-08,141.58,143.43,141.07,142.6,374800.0
2021-04-09,143.16,144.455,142.77,144.02,393479.0
2021-04-10,143.16,144.455,142.77,144.02,393479.0
2021-04-11,143.16,144.455,142.77,144.02,393479.0
2021-04-12,144.25,146.58,143.81,145.64,420004.0
2021-04-13,145.62,146.395,145.12,145.53,232149.0
2021-04-14,145.49,147.38,145.068,146.14,367365.0
2021-04-15,146.1,146.915,145.605,146.5,288163.0
2021-04-16,147.27,147.38,145.83,145.96,352556.0
2021-04-17,147.27,147.38,145.83,145.96,352556.0
2021-04-18,147.27,147.38,145.83,145.96,352556.0
2021-04-19,145.9,146.2,144.94,145.38,238757.0
2021-04-20,145.78,147.095,145.27,145.75,207562.0
2021-04-21,146.4,146.72,145.05,145.15,151367.0
2021-04-22,145.04,145.52,143.86,143.95,187405.0
2021-04-23,144.98,144.98,143.07,144.12,238637.0
2021-04-24,144.98,144.98,143.07,144.12,238637.0
2021-04-25,144.98,144.98,143.07,144.12,238637.0
2021-04-26,143.82,143.82,141.05,141.43,283050.0
2021-04-27,141.56,143.17,140.095,142.41,394003.0
2021-04-28,142.52,143.04,140.66,141.6,174636.0
2021-04-29,143.56,144.04,137.865,140.06,436130.0
2021-04-30,139.52,140.0,138.155,138.85,357019.0
2021-05-01,139.52,140.0,138.155,138.85,357019.0
2021-05-02,139.52,140.0,138.155,138.85,357019.0
2021-05-03,138.99,141.85,138.99,141.03,259783.0
2021-05-04,140.37,142.27,139.64,142.25,250606.0
2021-05-05,142.31,144.615,141.475,144.25,439570.0
2021-05-06,144.88,145.135,142.85,144.49,164854.0
2021-05-07,144.39,145.41,143.4,143.79,163147.0
