,MOH US Equity,MOH US Equity,MOH US Equity,MOH US Equity,MOH US Equity
2019-05-30,131.55,138.75,131.475,134.77,1135425.0
2019-05-31,134.27,143.175,134.27,142.26,1362648.0
2019-06-01,134.27,143.175,134.27,142.26,1362648.0
2019-06-02,134.27,143.175,134.27,142.26,1362648.0
2019-06-03,145.01,149.42,143.55,145.13,1112453.0
2019-06-04,146.61,152.9512,145.66,152.56,938247.0
2019-06-05,152.98,155.62,151.32,153.34,614664.0
2019-06-06,153.11,156.25,149.5,155.28,704799.0
2019-06-07,156.64,159.0,153.43,153.73,706212.0
2019-06-08,156.64,159.0,153.43,153.73,706212.0
2019-06-09,156.64,159.0,153.43,153.73,706212.0
2019-06-10,154.68,155.77,152.1,152.55,803708.0
2019-06-11,152.99,155.48,150.98,152.06,616649.0
2019-06-12,151.46,151.855,147.02,147.91,624950.0
2019-06-13,148.29,148.81,145.79,148.08,459353.0
2019-06-14,147.91,148.01,144.57,144.93,520091.0
2019-06-15,147.91,148.01,144.57,144.93,520091.0
2019-06-16,147.91,148.01,144.57,144.93,520091.0
2019-06-17,145.0,147.63,145.0,146.59,391877.0
2019-06-18,146.89,148.23,145.28,145.85,512774.0
2019-06-19,145.85,146.99,143.29,146.37,474730.0
2019-06-20,147.58,148.105,145.13,146.44,647548.0
2019-06-21,146.0,150.82,145.62,150.8,811869.0
2019-06-22,146.0,150.82,145.62,150.8,811869.0
2019-06-23,146.0,150.82,145.62,150.8,811869.0
2019-06-24,150.52,151.22,146.15,147.33,582721.0
2019-06-25,147.5,149.16,144.655,145.35,410193.0
2019-06-26,145.86,146.12,135.76,137.79,917726.0
2019-06-27,138.28,142.44,138.02,141.34,589306.0
2019-06-28,141.14,143.66,139.66,143.14,796998.0
2019-06-29,141.14,143.66,139.66,143.14,796998.0
2019-06-30,141.14,143.66,139.66,143.14,796998.0
2019-07-01,144.23,144.755,138.285,140.31,551861.0
2019-07-02,140.2,142.085,137.55,140.86,520494.0
2019-07-03,141.21,142.91,140.2892,142.53,278441.0
2019-07-04,141.21,142.91,140.2892,142.53,278441.0
2019-07-05,141.94,144.25,141.0,143.57,390704.0
2019-07-06,141.94,144.25,141.0,143.57,390704.0
2019-07-07,141.94,144.25,141.0,143.57,390704.0
2019-07-08,142.86,143.3,138.79,139.85,394130.0
2019-07-09,138.45,139.27,136.15,136.78,492166.0
2019-07-10,137.26,139.98,136.46,137.87,453506.0
2019-07-11,140.63,143.93,139.925,143.33,532525.0
2019-07-12,143.3,145.79,141.8,144.87,370648.0
2019-07-13,143.3,145.79,141.8,144.87,370648.0
2019-07-14,143.3,145.79,141.8,144.87,370648.0
2019-07-15,145.23,145.6809,141.77,142.02,295638.0
2019-07-16,142.27,142.38,139.67,141.27,405924.0
2019-07-17,141.53,141.96,140.31,140.67,304090.0
2019-07-18,140.38,142.97,138.4,142.09,317476.0
2019-07-19,142.31,143.5,140.27,140.38,331196.0
2019-07-20,142.31,143.5,140.27,140.38,331196.0
2019-07-21,142.31,143.5,140.27,140.38,331196.0
2019-07-22,140.87,142.94,140.58,141.0,293702.0
2019-07-23,139.63,142.73,137.175,141.21,487522.0
2019-07-24,140.89,141.02,133.57,136.4,725367.0
2019-07-25,136.09,137.79,135.17,135.47,519803.0
2019-07-26,136.5,140.05,135.83,139.86,361642.0
2019-07-27,136.5,140.05,135.83,139.86,361642.0
2019-07-28,136.5,140.05,135.83,139.86,361642.0
2019-07-29,139.84,141.43,138.35,138.92,470432.0
2019-07-30,138.42,138.42,134.72,137.5,880663.0
2019-07-31,143.0,143.0,130.57,132.78,1085950.0
2019-08-01,132.29,134.34,128.47,130.24,735574.0
2019-08-02,129.6,131.27,127.5153,129.24,480916.0
2019-08-03,129.6,131.27,127.5153,129.24,480916.0
2019-08-04,129.6,131.27,127.5153,129.24,480916.0
2019-08-05,127.55,128.21,121.73,123.95,577149.0
2019-08-06,124.66,127.64,124.65,127.26,426638.0
2019-08-07,126.06,132.35,125.295,131.5,741418.0
2019-08-08,131.63,135.36,131.63,135.21,676702.0
2019-08-09,134.88,136.39,132.98,134.44,470933.0
2019-08-10,134.88,136.39,132.98,134.44,470933.0
2019-08-11,134.88,136.39,132.98,134.44,470933.0
2019-08-12,133.02,134.22,131.64,133.95,357435.0
2019-08-13,134.41,138.23,133.4634,137.28,461294.0
2019-08-14,134.42,135.1,132.705,134.32,571269.0
2019-08-15,135.09,135.97,133.28,133.94,504997.0
2019-08-16,134.95,138.48,134.5,136.68,617277.0
2019-08-17,134.95,138.48,134.5,136.68,617277.0
2019-08-18,134.95,138.48,134.5,136.68,617277.0
2019-08-19,138.46,139.66,137.225,138.92,430060.0
2019-08-20,138.66,138.66,131.5,131.53,607368.0
2019-08-21,132.68,134.77,131.79,133.26,328385.0
2019-08-22,133.69,134.39,129.52,129.59,331137.0
2019-08-23,128.98,130.58,126.82,127.33,589205.0
2019-08-24,128.98,130.58,126.82,127.33,589205.0
2019-08-25,128.98,130.58,126.82,127.33,589205.0
2019-08-26,128.76,130.56,126.58,127.63,377470.0
2019-08-27,128.1,128.63,124.61,125.9,485455.0
2019-08-28,125.0,128.45,124.07,126.92,412252.0
2019-08-29,128.44,129.95,127.6,129.9,277957.0
2019-08-30,130.63,130.95,128.7824,130.28,373496.0
2019-08-31,130.63,130.95,128.7824,130.28,373496.0
2019-09-01,130.63,130.95,128.7824,130.28,373496.0
2019-09-02,130.63,130.95,128.7824,130.28,373496.0
2019-09-03,128.85,129.32,126.215,127.34,317774.0
2019-09-04,128.28,128.88,122.77,122.84,454261.0
2019-09-05,124.49,124.68,120.25,122.98,646662.0
2019-09-06,123.77,123.77,119.49,119.68,698647.0
2019-09-07,123.77,123.77,119.49,119.68,698647.0
2019-09-08,123.77,123.77,119.49,119.68,698647.0
2019-09-09,120.2,120.2,115.6,118.59,1092949.0
2019-09-10,118.4,121.93,116.65,120.0,825561.0
2019-09-11,120.24,120.645,118.3,118.75,677648.0
2019-09-12,119.61,120.0947,113.87,113.94,792025.0
2019-09-13,115.0,117.93,114.6584,114.96,718890.0
2019-09-14,115.0,117.93,114.6584,114.96,718890.0
2019-09-15,115.0,117.93,114.6584,114.96,718890.0
2019-09-16,113.8,116.28,113.55,115.93,515351.0
2019-09-17,115.82,116.52,114.695,115.25,590497.0
2019-09-18,115.14,116.19,112.92,114.48,649573.0
2019-09-19,114.77,117.255,114.65,115.26,756305.0
2019-09-20,115.67,116.63,114.15,114.56,974562.0
2019-09-21,115.67,116.63,114.15,114.56,974562.0
2019-09-22,115.67,116.63,114.15,114.56,974562.0
2019-09-23,114.26,116.63,113.77,116.21,633165.0
2019-09-24,116.35,117.655,111.535,112.13,735206.0
2019-09-25,112.0,114.26,111.26,111.89,545226.0
2019-09-26,112.0,112.2833,107.43,109.24,627760.0
2019-09-27,109.84,110.34,106.5,107.47,579115.0
2019-09-28,109.84,110.34,106.5,107.47,579115.0
2019-09-29,109.84,110.34,106.5,107.47,579115.0
2019-09-30,107.08,111.14,106.79,109.72,575779.0
2019-10-01,110.19,110.19,107.08,109.48,901341.0
2019-10-02,108.97,110.6456,107.845,110.09,516928.0
2019-10-03,109.95,113.03,109.32,112.23,757523.0
2019-10-04,112.24,113.26,111.35,112.77,617171.0
2019-10-05,112.24,113.26,111.35,112.77,617171.0
2019-10-06,112.24,113.26,111.35,112.77,617171.0
2019-10-07,112.71,113.75,111.2,111.28,537009.0
2019-10-08,110.08,111.79,108.555,111.29,836136.0
2019-10-09,112.0,113.1594,110.26,112.83,467543.0
2019-10-10,112.84,113.96,111.32,113.05,639825.0
2019-10-11,115.0,116.1,113.24,113.39,331561.0
2019-10-12,115.0,116.1,113.24,113.39,331561.0
2019-10-13,115.0,116.1,113.24,113.39,331561.0
2019-10-14,113.12,113.65,112.33,112.52,212835.0
2019-10-15,115.18,119.725,113.52,117.47,624582.0
2019-10-16,117.25,118.19,115.98,118.0,312875.0
2019-10-17,118.38,121.7,117.9215,121.5,518558.0
2019-10-18,121.67,123.09,120.81,122.93,514641.0
2019-10-19,121.67,123.09,120.81,122.93,514641.0
2019-10-20,121.67,123.09,120.81,122.93,514641.0
2019-10-21,123.44,124.49,121.24,121.45,396914.0
2019-10-22,121.03,126.4,120.47,124.11,634978.0
2019-10-23,123.71,124.36,121.42,121.85,541257.0
2019-10-24,122.35,122.5932,119.08,120.46,431590.0
2019-10-25,120.95,123.31,119.435,121.89,391699.0
2019-10-26,120.95,123.31,119.435,121.89,391699.0
2019-10-27,120.95,123.31,119.435,121.89,391699.0
2019-10-28,122.48,125.84,122.19,124.27,470804.0
2019-10-29,124.48,127.02,124.43,124.68,787262.0
2019-10-30,113.61,124.12,111.01,123.88,2466202.0
2019-10-31,123.58,124.71,117.44,117.64,995727.0
2019-11-01,118.95,123.29,118.13,118.83,726985.0
2019-11-02,118.95,123.29,118.13,118.83,726985.0
2019-11-03,118.95,123.29,118.13,118.83,726985.0
2019-11-04,119.7,119.89,117.02,119.13,841795.0
2019-11-05,120.41,121.44,119.09,120.44,779059.0
2019-11-06,120.46,121.525,119.82,119.87,507344.0
2019-11-07,120.87,122.89,120.705,121.42,497565.0
2019-11-08,121.97,126.19,121.595,126.18,1028906.0
2019-11-09,121.97,126.19,121.595,126.18,1028906.0
2019-11-10,121.97,126.19,121.595,126.18,1028906.0
2019-11-11,125.21,125.78,121.14,121.91,547223.0
2019-11-12,121.5,123.36,120.625,122.6,453012.0
2019-11-13,121.68,123.47,121.44,121.6,356141.0
2019-11-14,121.82,123.15,121.82,122.2,326207.0
2019-11-15,123.07,129.82,122.83,129.7,652948.0
2019-11-16,123.07,129.82,122.83,129.7,652948.0
2019-11-17,123.07,129.82,122.83,129.7,652948.0
2019-11-18,129.76,135.26,129.49,134.48,827912.0
2019-11-19,135.33,136.4,134.18,135.46,449438.0
2019-11-20,134.51,135.78,133.46,135.53,503298.0
2019-11-21,135.77,136.94,134.8,135.7,410989.0
2019-11-22,136.24,137.11,134.33,134.53,321904.0
2019-11-23,136.24,137.11,134.33,134.53,321904.0
2019-11-24,136.24,137.11,134.33,134.53,321904.0
2019-11-25,135.0,137.33,134.11,135.9,660690.0
2019-11-26,135.62,136.47,133.53,133.63,456706.0
2019-11-27,134.41,139.96,134.01,137.92,666807.0
2019-11-28,134.41,139.96,134.01,137.92,666807.0
2019-11-29,138.2,138.47,135.23,135.5,199388.0
2019-11-30,138.2,138.47,135.23,135.5,199388.0
2019-12-01,138.2,138.47,135.23,135.5,199388.0
2019-12-02,136.05,136.62,134.35,135.11,397275.0
2019-12-03,133.54,134.13,131.24,133.19,379675.0
2019-12-04,133.79,135.3,133.07,133.36,481677.0
2019-12-05,133.27,134.5462,132.4,132.49,311384.0
2019-12-06,133.37,135.12,133.095,133.3,408700.0
2019-12-07,133.37,135.12,133.095,133.3,408700.0
2019-12-08,133.37,135.12,133.095,133.3,408700.0
2019-12-09,133.2,133.355,129.4,129.63,646498.0
2019-12-10,129.98,130.29,128.17,130.01,408894.0
2019-12-11,129.54,130.88,127.43,127.84,277698.0
2019-12-12,128.55,130.4,127.62,129.72,234771.0
2019-12-13,130.95,133.35,129.14,129.54,424505.0
2019-12-14,130.95,133.35,129.14,129.54,424505.0
2019-12-15,130.95,133.35,129.14,129.54,424505.0
2019-12-16,130.55,137.83,130.55,134.21,893418.0
2019-12-17,134.13,134.13,130.79,132.48,733135.0
2019-12-18,133.2,135.4802,132.82,133.39,460038.0
2019-12-19,136.82,138.835,134.91,135.04,681541.0
2019-12-20,135.89,136.12,133.38,133.54,1294312.0
2019-12-21,135.89,136.12,133.38,133.54,1294312.0
2019-12-22,135.89,136.12,133.38,133.54,1294312.0
2019-12-23,133.4,137.19,132.7,136.65,783717.0
2019-12-24,136.33,137.32,134.5633,136.24,146624.0
2019-12-25,136.33,137.32,134.5633,136.24,146624.0
2019-12-26,136.33,137.4409,136.1,136.38,228763.0
2019-12-27,136.76,136.93,135.17,136.1,398823.0
2019-12-28,136.76,136.93,135.17,136.1,398823.0
2019-12-29,136.76,136.93,135.17,136.1,398823.0
2019-12-30,135.91,137.4,133.86,135.84,350485.0
2019-12-31,135.35,137.01,134.8,135.69,355157.0
2020-01-01,135.35,137.01,134.8,135.69,355157.0
2020-01-02,136.0,136.0,130.78,133.37,523262.0
2020-01-03,131.25,133.72,130.645,132.54,356506.0
2020-01-04,131.25,133.72,130.645,132.54,356506.0
2020-01-05,131.25,133.72,130.645,132.54,356506.0
2020-01-06,132.75,137.47,131.78,137.35,678157.0
2020-01-07,135.79,139.77,135.79,139.26,417884.0
2020-01-08,138.93,144.8,138.55,143.78,661464.0
2020-01-09,144.23,146.28,143.37,143.43,464018.0
2020-01-10,143.78,144.42,141.57,143.35,412313.0
2020-01-11,143.78,144.42,141.57,143.35,412313.0
2020-01-12,143.78,144.42,141.57,143.35,412313.0
2020-01-13,143.59,144.56,139.27,139.77,525751.0
2020-01-14,134.45,135.38,130.0,131.85,1276829.0
2020-01-15,131.92,139.55,131.35,138.95,846121.0
2020-01-16,139.96,141.22,137.93,140.86,436178.0
2020-01-17,140.47,140.47,136.43,136.82,523892.0
2020-01-18,140.47,140.47,136.43,136.82,523892.0
2020-01-19,140.47,140.47,136.43,136.82,523892.0
2020-01-20,140.47,140.47,136.43,136.82,523892.0
2020-01-21,135.95,139.445,135.02,138.38,855885.0
2020-01-22,138.79,139.5,137.29,137.75,774546.0
2020-01-23,137.81,138.8818,136.27,137.97,606752.0
2020-01-24,138.26,138.26,134.02,134.57,250807.0
2020-01-25,138.26,138.26,134.02,134.57,250807.0
2020-01-26,138.26,138.26,134.02,134.57,250807.0
2020-01-27,131.69,131.69,128.03,128.45,731406.0
2020-01-28,129.31,133.8,129.13,131.37,648008.0
2020-01-29,131.11,131.595,128.3,129.24,886796.0
2020-01-30,128.1,128.6,124.44,126.75,692009.0
2020-01-31,126.0,126.44,122.825,122.97,1019675.0
2020-02-01,126.0,126.44,122.825,122.97,1019675.0
2020-02-02,126.0,126.44,122.825,122.97,1019675.0
2020-02-03,123.65,125.63,122.91,124.97,622500.0
2020-02-04,126.41,129.43,124.28,124.49,682630.0
2020-02-05,126.17,131.7,126.17,129.79,596171.0
2020-02-06,130.85,131.3042,127.43,128.03,675577.0
2020-02-07,128.0,128.5778,126.0,128.0,371625.0
2020-02-08,128.0,128.5778,126.0,128.0,371625.0
2020-02-09,128.0,128.5778,126.0,128.0,371625.0
2020-02-10,127.25,129.44,127.07,129.35,682761.0
2020-02-11,128.55,141.85,127.47,141.42,1233934.0
2020-02-12,142.0,145.83,142.0,145.73,718061.0
2020-02-13,144.56,146.874,144.56,145.58,525494.0
2020-02-14,145.78,146.81,144.34,144.99,433915.0
2020-02-15,145.78,146.81,144.34,144.99,433915.0
2020-02-16,145.78,146.81,144.34,144.99,433915.0
2020-02-17,145.78,146.81,144.34,144.99,433915.0
2020-02-18,145.76,149.87,145.03,149.21,537293.0
2020-02-19,149.34,154.89,149.02,153.84,776639.0
2020-02-20,151.73,152.98,148.11,150.49,520065.0
2020-02-21,149.69,150.82,148.335,149.8,248113.0
2020-02-22,149.69,150.82,148.335,149.8,248113.0
2020-02-23,149.69,150.82,148.335,149.8,248113.0
2020-02-24,142.58,142.58,137.44,138.21,735564.0
2020-02-25,139.67,139.67,128.7,129.04,787225.0
2020-02-26,130.34,131.08,127.09,128.73,596661.0
2020-02-27,125.72,128.81,123.84,124.18,791511.0
2020-02-28,119.97,125.273,119.21,122.55,860551.0
2020-02-29,119.97,125.273,119.21,122.55,860551.0
2020-03-01,119.97,125.273,119.21,122.55,860551.0
2020-03-02,123.48,127.63,119.92,127.32,850986.0
2020-03-03,127.35,130.53,120.94,122.43,917479.0
2020-03-04,131.85,142.49,131.85,142.35,1243310.0
2020-03-05,138.98,142.32,137.26,140.02,675114.0
2020-03-06,135.34,138.21,130.37,138.2,877785.0
2020-03-07,135.34,138.21,130.37,138.2,877785.0
2020-03-08,135.34,138.21,130.37,138.2,877785.0
2020-03-09,126.41,135.01,122.24,132.77,1204665.0
2020-03-10,136.14,139.36,128.72,136.38,921354.0
2020-03-11,132.19,137.19,130.06,131.92,965975.0
2020-03-12,120.53,136.37,120.01,130.04,2547945.0
2020-03-13,137.97,146.37,130.58,146.35,1380740.0
2020-03-14,137.97,146.37,130.58,146.35,1380740.0
2020-03-15,137.97,146.37,130.58,146.35,1380740.0
2020-03-16,136.66,140.26,121.37,121.69,1290083.0
2020-03-17,124.56,129.49,121.62,125.74,1126783.0
2020-03-18,119.06,123.27,102.85,120.05,983857.0
2020-03-19,118.39,129.02,117.0001,120.48,948891.0
2020-03-20,120.2,128.79,111.26,113.75,1366630.0
2020-03-21,120.2,128.79,111.26,113.75,1366630.0
2020-03-22,120.2,128.79,111.26,113.75,1366630.0
2020-03-23,113.66,114.24,104.02,107.79,885330.0
2020-03-24,112.92,121.36,111.0101,117.91,839901.0
2020-03-25,117.17,137.61,115.8,130.23,1213611.0
2020-03-26,130.94,142.02,130.94,139.98,766470.0
2020-03-27,135.35,137.2,130.0,135.17,595344.0
2020-03-28,135.35,137.2,130.0,135.17,595344.0
2020-03-29,135.35,137.2,130.0,135.17,595344.0
2020-03-30,136.34,141.58,134.655,139.35,493221.0
2020-03-31,140.78,140.78,135.68,139.71,468109.0
2020-04-01,134.15,136.64,127.795,131.16,484788.0
2020-04-02,129.67,135.01,127.56,133.48,952620.0
2020-04-03,131.9,135.23,129.05,132.13,381304.0
2020-04-04,131.9,135.23,129.05,132.13,381304.0
2020-04-05,131.9,135.23,129.05,132.13,381304.0
2020-04-06,137.98,142.69,136.7,141.0,782244.0
2020-04-07,145.0,146.32,137.17,140.11,621382.0
2020-04-08,146.71,158.78,142.43,157.56,616446.0
2020-04-09,157.84,161.01,152.57,153.28,547256.0
2020-04-10,157.84,161.01,152.57,153.28,547256.0
2020-04-11,157.84,161.01,152.57,153.28,547256.0
2020-04-12,157.84,161.01,152.57,153.28,547256.0
2020-04-13,154.41,157.41,151.11,156.71,862092.0
2020-04-14,162.09,165.0,160.65,163.29,2048351.0
2020-04-15,162.1,164.89,157.26,160.2,887182.0
2020-04-16,162.53,171.99,161.395,170.97,1100125.0
2020-04-17,174.0,175.0,165.69,169.82,582882.0
2020-04-18,174.0,175.0,165.69,169.82,582882.0
2020-04-19,174.0,175.0,165.69,169.82,582882.0
2020-04-20,168.1,170.94,163.88,164.3,885441.0
2020-04-21,160.96,165.96,159.5,160.43,388967.0
2020-04-22,164.29,168.0,163.05,163.37,425221.0
2020-04-23,165.27,169.28,163.5,167.22,519450.0
2020-04-24,170.0,170.0,165.49,168.28,480397.0
2020-04-25,170.0,170.0,165.49,168.28,480397.0
2020-04-26,170.0,170.0,165.49,168.28,480397.0
2020-04-27,170.25,172.5,168.5,170.87,659463.0
2020-04-28,170.79,173.99,162.73,166.35,390294.0
2020-04-29,168.87,168.87,163.0,164.76,517396.0
2020-04-30,163.34,169.24,161.0,163.97,618112.0
2020-05-01,169.99,174.95,165.8,173.25,1281627.0
2020-05-02,169.99,174.95,165.8,173.25,1281627.0
2020-05-03,169.99,174.95,165.8,173.25,1281627.0
2020-05-04,171.52,178.6,171.245,178.31,600427.0
2020-05-05,178.31,183.89,177.87,181.08,623213.0
