,MKL US Equity,MKL US Equity,MKL US Equity,MKL US Equity,MKL US Equity
2020-07-10,892.9,916.78,886.415,913.92,34364.0
2020-07-11,892.9,916.78,886.415,913.92,34364.0
2020-07-12,892.9,916.78,886.415,913.92,34364.0
2020-07-13,920.0,931.7,906.055,911.8,38149.0
2020-07-14,910.34,928.2,904.0,927.21,29885.0
2020-07-15,932.0,944.54,927.62,940.83,36529.0
2020-07-16,938.32,966.4,934.95,953.82,32695.0
2020-07-17,954.0,958.0,940.18,940.18,31447.0
2020-07-18,954.0,958.0,940.18,940.18,31447.0
2020-07-19,954.0,958.0,940.18,940.18,31447.0
2020-07-20,937.28,949.99,935.95,943.33,34342.0
2020-07-21,946.42,963.34,945.21,954.45,35012.0
2020-07-22,945.82,962.92,945.82,958.69,39778.0
2020-07-23,959.71,990.0,952.01,987.52,41353.0
2020-07-24,985.0,1021.17,984.99,1015.44,106777.0
2020-07-25,985.0,1021.17,984.99,1015.44,106777.0
2020-07-26,985.0,1021.17,984.99,1015.44,106777.0
2020-07-27,1012.81,1021.08,991.89,1014.91,63029.0
2020-07-28,1010.88,1025.0,990.72,992.48,58283.0
2020-07-29,1022.81,1060.0,1005.3,1011.7,85413.0
2020-07-30,998.0,1053.04,998.0,1045.37,70396.0
2020-07-31,1043.26,1051.08,1030.31,1044.54,55440.0
2020-08-01,1043.26,1051.08,1030.31,1044.54,55440.0
2020-08-02,1043.26,1051.08,1030.31,1044.54,55440.0
2020-08-03,1044.61,1054.48,1035.52,1048.34,42954.0
2020-08-04,1043.13,1047.45,1030.0,1042.67,41436.0
2020-08-05,1048.16,1068.62,1046.36,1063.0,48055.0
2020-08-06,1061.77,1081.77,1058.18,1077.98,42015.0
2020-08-07,1077.2,1094.71,1071.88,1090.03,42875.0
2020-08-08,1077.2,1094.71,1071.88,1090.03,42875.0
2020-08-09,1077.2,1094.71,1071.88,1090.03,42875.0
2020-08-10,1082.2,1100.0,1082.2,1099.15,36273.0
2020-08-11,1113.39,1124.0,1087.5,1093.68,36916.0
2020-08-12,1100.0,1106.015,1065.14,1072.66,28378.0
2020-08-13,1067.66,1091.95,1058.92,1083.91,31655.0
2020-08-14,1081.33,1099.585,1073.41,1097.18,34604.0
2020-08-15,1081.33,1099.585,1073.41,1097.18,34604.0
2020-08-16,1081.33,1099.585,1073.41,1097.18,34604.0
2020-08-17,1094.29,1094.29,1065.18,1073.5,20066.0
2020-08-18,1076.08,1100.0,1064.1,1072.25,26595.0
2020-08-19,1073.25,1081.01,1067.51,1074.43,28903.0
2020-08-20,1064.55,1076.81,1061.01,1068.84,24274.0
2020-08-21,1068.08,1074.8,1062.525,1069.22,21573.0
2020-08-22,1068.08,1074.8,1062.525,1069.22,21573.0
2020-08-23,1068.08,1074.8,1062.525,1069.22,21573.0
2020-08-24,1069.22,1091.7,1069.22,1089.07,29111.0
2020-08-25,1091.7,1100.0,1077.0,1095.77,33781.0
2020-08-26,1089.0,1089.98,1077.89,1085.42,30751.0
2020-08-27,1094.0,1124.0,1093.11,1111.62,27336.0
2020-08-28,1118.0,1118.0,1099.045,1103.37,37464.0
2020-08-29,1118.0,1118.0,1099.045,1103.37,37464.0
2020-08-30,1118.0,1118.0,1099.045,1103.37,37464.0
2020-08-31,1098.08,1102.0,1083.2,1086.83,52336.0
2020-09-01,1075.99,1089.99,1069.22,1087.82,30390.0
2020-09-02,1096.23,1114.13,1081.16,1102.72,33792.0
2020-09-03,1104.4,1119.6,1073.01,1091.74,42964.0
2020-09-04,1117.7,1117.7,1062.96,1068.62,35066.0
2020-09-05,1117.7,1117.7,1062.96,1068.62,35066.0
2020-09-06,1117.7,1117.7,1062.96,1068.62,35066.0
2020-09-07,1117.7,1117.7,1062.96,1068.62,35066.0
2020-09-08,1059.32,1059.32,1022.22,1029.84,43989.0
2020-09-09,1042.86,1059.76,1033.1,1049.65,56418.0
2020-09-10,1050.67,1056.446,1035.2,1044.97,39075.0
2020-09-11,1045.45,1057.99,1036.344,1052.22,40961.0
2020-09-12,1045.45,1057.99,1036.344,1052.22,40961.0
2020-09-13,1045.45,1057.99,1036.344,1052.22,40961.0
2020-09-14,1055.47,1062.35,1042.65,1046.4,26488.0
2020-09-15,1059.97,1059.97,1030.01,1030.23,46471.0
2020-09-16,1030.27,1046.62,1026.345,1027.66,33017.0
2020-09-17,1022.88,1022.88,999.16,1009.05,44773.0
2020-09-18,1013.87,1017.76,976.33,979.66,98081.0
2020-09-19,1013.87,1017.76,976.33,979.66,98081.0
2020-09-20,1013.87,1017.76,976.33,979.66,98081.0
2020-09-21,959.43,979.48,942.43,966.59,61689.0
2020-09-22,971.02,994.5,971.02,976.9,47233.0
2020-09-23,978.99,985.202,950.02,951.13,42490.0
2020-09-24,956.0,972.19,945.85,951.0,34172.0
2020-09-25,938.23,952.39,938.23,949.18,36031.0
2020-09-26,938.23,952.39,938.23,949.18,36031.0
2020-09-27,938.23,952.39,938.23,949.18,36031.0
2020-09-28,965.97,996.95,956.01,978.37,52500.0
2020-09-29,974.83,978.99,958.1,968.65,42830.0
2020-09-30,971.18,988.45,962.02,973.7,54976.0
2020-10-01,981.29,987.05,954.905,965.65,41536.0
2020-10-02,946.57,985.3,944.97,976.69,31140.0
2020-10-03,946.57,985.3,944.97,976.69,31140.0
2020-10-04,946.57,985.3,944.97,976.69,31140.0
2020-10-05,981.07,999.88,967.1,996.78,56671.0
2020-10-06,997.94,997.94,976.12,978.95,48007.0
2020-10-07,989.38,999.11,974.74,981.95,54883.0
2020-10-08,983.35,999.7,983.35,998.0,32983.0
2020-10-09,1000.0,1004.89,985.47,985.47,37248.0
2020-10-10,1000.0,1004.89,985.47,985.47,37248.0
2020-10-11,1000.0,1004.89,985.47,985.47,37248.0
2020-10-12,982.31,1028.0,982.31,1022.02,47970.0
2020-10-13,1015.3,1032.48,989.59,989.59,45236.0
2020-10-14,993.0,1010.0,986.72,989.37,32953.0
2020-10-15,973.33,994.77,971.0,983.54,38549.0
2020-10-16,987.54,991.74,970.0,971.62,44728.0
2020-10-17,987.54,991.74,970.0,971.62,44728.0
2020-10-18,987.54,991.74,970.0,971.62,44728.0
2020-10-19,971.62,979.72,948.0,954.22,51028.0
2020-10-20,960.07,974.08,956.43,958.8,53666.0
2020-10-21,956.25,1002.15,956.14,994.63,71491.0
2020-10-22,996.3,1024.09,990.17,1014.85,62363.0
2020-10-23,1024.15,1031.86,1011.86,1027.0,49601.0
2020-10-24,1024.15,1031.86,1011.86,1027.0,49601.0
2020-10-25,1024.15,1031.86,1011.86,1027.0,49601.0
2020-10-26,1013.16,1013.16,982.58,995.99,41958.0
2020-10-27,992.27,1006.03,967.48,969.65,51166.0
2020-10-28,946.5,976.33,931.92,936.63,58118.0
2020-10-29,939.99,961.57,923.0,952.6,49990.0
2020-10-30,948.99,963.0,913.04,932.8,69198.0
2020-10-31,948.99,963.0,913.04,932.8,69198.0
2020-11-01,948.99,963.0,913.04,932.8,69198.0
2020-11-02,947.78,966.15,938.1,960.03,65428.0
2020-11-03,960.0,986.02,960.0,975.66,92048.0
2020-11-04,965.58,991.0,951.15,975.77,70183.0
2020-11-05,987.04,1004.41,978.52,991.42,54241.0
2020-11-06,996.34,996.34,974.14,976.92,37236.0
2020-11-07,996.34,996.34,974.14,976.92,37236.0
2020-11-08,996.34,996.34,974.14,976.92,37236.0
2020-11-09,1024.0,1052.91,1014.56,1027.89,80447.0
2020-11-10,1029.91,1048.28,1016.717,1045.66,69140.0
2020-11-11,1054.0,1059.11,1025.655,1033.88,43358.0
2020-11-12,1027.02,1028.0,1003.47,1017.93,45913.0
2020-11-13,1029.28,1051.01,1020.88,1042.06,44748.0
2020-11-14,1029.28,1051.01,1020.88,1042.06,44748.0
2020-11-15,1029.28,1051.01,1020.88,1042.06,44748.0
2020-11-16,1063.61,1073.43,1050.61,1068.74,46400.0
2020-11-17,1059.0,1064.49,1046.4,1054.32,49821.0
2020-11-18,1060.81,1060.81,1030.25,1035.01,76378.0
2020-11-19,1026.08,1026.08,995.0,1008.32,76472.0
2020-11-20,1009.44,1013.79,989.1,997.35,62444.0
2020-11-21,1009.44,1013.79,989.1,997.35,62444.0
2020-11-22,1009.44,1013.79,989.1,997.35,62444.0
2020-11-23,1003.55,1005.321,990.19,998.89,53382.0
2020-11-24,1012.37,1028.5,1001.37,1027.49,78817.0
2020-11-25,1030.0,1030.0,1003.84,1007.0,59462.0
2020-11-26,1030.0,1030.0,1003.84,1007.0,59462.0
2020-11-27,1004.0,1011.685,991.19,1004.29,32257.0
2020-11-28,1004.0,1011.685,991.19,1004.29,32257.0
2020-11-29,1004.0,1011.685,991.19,1004.29,32257.0
2020-11-30,1003.45,1006.58,971.2,973.83,199251.0
2020-12-01,997.1,998.0,976.12,994.65,49459.0
2020-12-02,988.54,999.99,981.93,991.72,81851.0
2020-12-03,990.65,994.94,975.7,978.62,41890.0
2020-12-04,982.84,1002.16,982.84,999.89,45334.0
2020-12-05,982.84,1002.16,982.84,999.89,45334.0
2020-12-06,982.84,1002.16,982.84,999.89,45334.0
2020-12-07,993.88,998.0,980.68,982.14,51606.0
2020-12-08,979.19,1008.67,978.0,1000.03,68507.0
2020-12-09,1000.57,1010.99,990.0,1008.44,50715.0
2020-12-10,1006.99,1029.8,1000.01,1027.81,70164.0
2020-12-11,1016.28,1031.54,1008.145,1009.08,46325.0
2020-12-12,1016.28,1031.54,1008.145,1009.08,46325.0
2020-12-13,1016.28,1031.54,1008.145,1009.08,46325.0
2020-12-14,1015.37,1018.43,988.26,992.69,71221.0
2020-12-15,996.2,1018.71,993.58,1015.27,60897.0
2020-12-16,1015.82,1024.54,1005.791,1010.24,63313.0
2020-12-17,1011.0,1022.9,1005.8,1011.0,54212.0
2020-12-18,1012.27,1017.0,988.01,988.01,124218.0
2020-12-19,1012.27,1017.0,988.01,988.01,124218.0
2020-12-20,1012.27,1017.0,988.01,988.01,124218.0
2020-12-21,988.01,990.6,965.49,988.5,64204.0
2020-12-22,987.12,992.97,977.79,980.8,40159.0
2020-12-23,985.3,1000.0,984.455,989.62,37090.0
2020-12-24,984.2,991.1,975.56,990.9,18844.0
2020-12-25,984.2,991.1,975.56,990.9,18844.0
2020-12-26,984.2,991.1,975.56,990.9,18844.0
2020-12-27,984.2,991.1,975.56,990.9,18844.0
2020-12-28,992.0,1004.68,985.107,991.88,48172.0
2020-12-29,997.0,1000.62,986.51,992.79,46169.0
2020-12-30,994.38,1024.35,994.0,1019.69,54229.0
2020-12-31,1018.09,1035.59,1012.12,1033.3,30346.0
2021-01-01,1018.09,1035.59,1012.12,1033.3,30346.0
2021-01-02,1018.09,1035.59,1012.12,1033.3,30346.0
2021-01-03,1018.09,1035.59,1012.12,1033.3,30346.0
2021-01-04,1031.0,1031.0,1013.0,1021.01,49194.0
2021-01-05,1015.25,1023.82,1000.21,1018.06,48908.0
2021-01-06,1018.17,1068.0,1018.17,1059.5,82218.0
2021-01-07,1065.55,1067.72,1036.96,1055.48,68573.0
2021-01-08,1055.42,1060.59,1043.47,1051.49,53293.0
2021-01-09,1055.42,1060.59,1043.47,1051.49,53293.0
2021-01-10,1055.42,1060.59,1043.47,1051.49,53293.0
2021-01-11,1045.1,1045.1,1027.45,1032.61,45258.0
2021-01-12,1029.17,1035.141,1017.15,1027.19,39674.0
2021-01-13,1026.64,1030.0,1005.11,1015.52,51817.0
2021-01-14,1014.33,1026.07,1000.13,1015.52,73670.0
2021-01-15,1013.44,1015.687,1000.47,1005.44,47727.0
2021-01-16,1013.44,1015.687,1000.47,1005.44,47727.0
2021-01-17,1013.44,1015.687,1000.47,1005.44,47727.0
2021-01-18,1013.44,1015.687,1000.47,1005.44,47727.0
2021-01-19,1008.86,1010.083,1000.0,1002.1,59871.0
2021-01-20,1015.97,1036.91,1002.0,1031.94,80776.0
2021-01-21,1031.0,1038.14,999.01,1001.22,48925.0
2021-01-22,995.0,999.69,985.0,993.8,58776.0
2021-01-23,995.0,999.69,985.0,993.8,58776.0
2021-01-24,995.0,999.69,985.0,993.8,58776.0
2021-01-25,993.8,999.45,986.01,989.95,53441.0
2021-01-26,995.24,999.0,980.0,983.58,64629.0
2021-01-27,980.49,982.0,942.445,943.6,88064.0
2021-01-28,957.45,987.17,948.0,981.95,110963.0
2021-01-29,977.63,984.74,961.66,969.48,94572.0
2021-01-30,977.63,984.74,961.66,969.48,94572.0
2021-01-31,977.63,984.74,961.66,969.48,94572.0
2021-02-01,978.05,995.19,970.259,989.98,62920.0
2021-02-02,998.18,1011.9,988.61,1008.86,75828.0
2021-02-03,1030.0,1054.96,1020.0,1048.79,111248.0
2021-02-04,1055.0,1072.57,1050.02,1070.16,92911.0
2021-02-05,1076.67,1100.03,1073.0,1099.51,102918.0
2021-02-06,1076.67,1100.03,1073.0,1099.51,102918.0
2021-02-07,1076.67,1100.03,1073.0,1099.51,102918.0
2021-02-08,1099.7,1101.26,1063.22,1090.13,97148.0
2021-02-09,1087.0,1101.99,1080.13,1099.06,68689.0
2021-02-10,1100.0,1117.04,1097.205,1111.01,66574.0
2021-02-11,1111.0,1137.31,1103.82,1137.31,91857.0
2021-02-12,1133.96,1143.9,1099.09,1106.96,64505.0
2021-02-13,1133.96,1143.9,1099.09,1106.96,64505.0
2021-02-14,1133.96,1143.9,1099.09,1106.96,64505.0
2021-02-15,1133.96,1143.9,1099.09,1106.96,64505.0
2021-02-16,1110.77,1113.8,1078.0,1082.01,100510.0
2021-02-17,1080.0,1096.67,1062.11,1093.9,72451.0
2021-02-18,1086.25,1102.0,1080.38,1085.35,48292.0
2021-02-19,1089.48,1104.11,1083.42,1091.18,41867.0
2021-02-20,1089.48,1104.11,1083.42,1091.18,41867.0
2021-02-21,1089.48,1104.11,1083.42,1091.18,41867.0
2021-02-22,1086.09,1091.18,1078.29,1085.09,49772.0
2021-02-23,1092.11,1118.32,1080.02,1109.04,83813.0
2021-02-24,1117.87,1134.6,1110.11,1115.63,65089.0
2021-02-25,1115.63,1123.078,1086.27,1088.02,52580.0
2021-02-26,1090.03,1099.89,1077.41,1088.8,84385.0
2021-02-27,1090.03,1099.89,1077.41,1088.8,84385.0
2021-02-28,1090.03,1099.89,1077.41,1088.8,84385.0
2021-03-01,1102.37,1124.24,1100.61,1106.25,45792.0
2021-03-02,1105.39,1116.9,1096.87,1106.61,32876.0
2021-03-03,1106.6,1128.99,1100.0,1109.77,44973.0
2021-03-04,1105.42,1116.99,1085.0,1100.35,36165.0
2021-03-05,1110.48,1118.99,1086.6,1106.84,74018.0
2021-03-06,1110.48,1118.99,1086.6,1106.84,74018.0
2021-03-07,1110.48,1118.99,1086.6,1106.84,74018.0
2021-03-08,1116.09,1146.44,1109.41,1130.45,52982.0
2021-03-09,1132.8,1138.07,1107.28,1112.24,53377.0
2021-03-10,1115.81,1142.86,1110.9,1133.28,35380.0
2021-03-11,1130.52,1144.62,1125.0,1132.96,36875.0
2021-03-12,1141.59,1165.0,1135.0,1155.63,36431.0
2021-03-13,1141.59,1165.0,1135.0,1155.63,36431.0
2021-03-14,1141.59,1165.0,1135.0,1155.63,36431.0
2021-03-15,1154.88,1155.63,1130.0,1143.97,40826.0
2021-03-16,1146.29,1148.1,1129.13,1141.67,30961.0
2021-03-17,1149.14,1149.98,1132.725,1148.74,45368.0
2021-03-18,1154.78,1169.5,1138.0,1144.09,43161.0
2021-03-19,1134.08,1139.844,1112.62,1120.44,69428.0
2021-03-20,1134.08,1139.844,1112.62,1120.44,69428.0
2021-03-21,1134.08,1139.844,1112.62,1120.44,69428.0
2021-03-22,1112.7,1120.76,1103.38,1111.4,39102.0
2021-03-23,1112.57,1134.0,1109.82,1122.68,47448.0
2021-03-24,1129.13,1143.51,1122.1,1126.62,33193.0
2021-03-25,1128.95,1144.29,1120.76,1140.63,27952.0
2021-03-26,1143.24,1153.0,1130.61,1151.01,27487.0
2021-03-27,1143.24,1153.0,1130.61,1151.01,27487.0
2021-03-28,1143.24,1153.0,1130.61,1151.01,27487.0
2021-03-29,1149.49,1166.18,1140.3,1155.76,22486.0
2021-03-30,1162.0,1168.16,1155.04,1156.17,24602.0
2021-03-31,1154.52,1167.31,1139.62,1139.62,66661.0
2021-04-01,1138.0,1159.68,1138.0,1156.95,37944.0
2021-04-02,1138.0,1159.68,1138.0,1156.95,37944.0
2021-04-03,1138.0,1159.68,1138.0,1156.95,37944.0
