,NAVI US Equity,NAVI US Equity,NAVI US Equity,NAVI US Equity,NAVI US Equity
2019-04-26,10.473,10.6043,10.3736,10.4969,1709315.0
2019-04-27,10.473,10.6043,10.3736,10.4969,1709315.0
2019-04-28,10.473,10.6043,10.3736,10.4969,1709315.0
2019-04-29,10.5446,10.5844,10.4492,10.481,1586773.0
2019-04-30,10.4651,10.7673,10.4174,10.7434,2050075.0
2019-05-01,10.7673,10.9343,10.64,10.8388,2390173.0
2019-05-02,10.8548,11.0218,10.8548,11.0058,2074255.0
2019-05-03,11.0218,11.1172,10.9223,11.0695,1220734.0
2019-05-04,11.0218,11.1172,10.9223,11.0695,1220734.0
2019-05-05,11.0218,11.1172,10.9223,11.0695,1220734.0
2019-05-06,10.8786,11.141,10.7275,11.0774,1409446.0
2019-05-07,10.9184,11.0655,10.8786,10.9581,1039339.0
2019-05-08,10.9263,11.0615,10.8309,10.8548,1057154.0
2019-05-09,10.7593,10.8468,10.6082,10.8388,1276190.0
2019-05-10,10.815,11.0218,10.7235,10.9899,1104632.0
2019-05-11,10.815,11.0218,10.7235,10.9899,1104632.0
2019-05-12,10.815,11.0218,10.7235,10.9899,1104632.0
2019-05-13,10.7434,10.9661,10.5088,10.5208,1308785.0
2019-05-14,10.5923,10.7752,10.5168,10.6241,1618695.0
2019-05-15,10.5128,10.7752,10.4651,10.7752,1902381.0
2019-05-16,10.807,10.9661,10.7156,10.7673,1308385.0
2019-05-17,10.648,10.815,10.648,10.6957,938710.0
2019-05-18,10.648,10.815,10.648,10.6957,938710.0
2019-05-19,10.648,10.815,10.648,10.6957,938710.0
2019-05-20,10.6241,10.7434,10.5526,10.6162,1095397.0
2019-05-21,10.7037,10.8707,10.7037,10.7911,1191136.0
2019-05-22,10.7037,10.7752,10.481,10.5128,943688.0
2019-05-23,10.4571,10.4571,10.1947,10.3061,1253005.0
2019-05-24,10.3458,10.5406,10.3458,10.5128,778399.0
2019-05-25,10.3458,10.5406,10.3458,10.5128,778399.0
2019-05-26,10.3458,10.5406,10.3458,10.5128,778399.0
2019-05-27,10.3458,10.5406,10.3458,10.5128,778399.0
2019-05-28,10.5208,10.6878,10.4969,10.5049,1269159.0
2019-05-29,10.481,10.5446,10.4055,10.5208,1150634.0
2019-05-30,10.5923,10.7315,10.4253,10.489,1200262.0
2019-05-31,10.3458,10.4094,10.1868,10.3697,2349046.0
2019-06-01,10.3458,10.4094,10.1868,10.3697,2349046.0
2019-06-02,10.3458,10.4094,10.1868,10.3697,2349046.0
2019-06-03,10.3299,10.5208,10.2027,10.2265,2105658.0
2019-06-04,10.3061,10.7355,10.2862,10.6241,1446602.0
2019-06-05,10.648,10.6798,10.4492,10.5128,1151517.0
2019-06-06,10.545,10.6255,10.4001,10.5933,1009228.0
2019-06-07,10.6255,10.6255,10.4726,10.4967,892275.0
2019-06-08,10.6255,10.6255,10.4726,10.4967,892275.0
2019-06-09,10.6255,10.6255,10.4726,10.4967,892275.0
2019-06-10,10.5933,10.7945,10.5893,10.698,1242173.0
2019-06-11,10.8106,10.9435,10.6819,10.7302,1522527.0
2019-06-12,10.7543,10.7543,10.4927,10.6255,1220952.0
2019-06-13,10.7462,10.7664,10.5973,10.7543,1063304.0
2019-06-14,10.7382,10.7623,10.5168,10.7302,1062304.0
2019-06-15,10.7382,10.7623,10.5168,10.7302,1062304.0
2019-06-16,10.7382,10.7623,10.5168,10.7302,1062304.0
2019-06-17,10.7141,10.8267,10.5209,10.5611,1717706.0
2019-06-18,10.5933,10.8509,10.5531,10.6658,1411197.0
2019-06-19,10.6658,10.7825,10.5531,10.6416,1438149.0
2019-06-20,10.7623,10.8348,10.6617,10.8187,1452724.0
2019-06-21,10.7784,10.8911,10.6738,10.7543,3604094.0
2019-06-22,10.7784,10.8911,10.6738,10.7543,3604094.0
2019-06-23,10.7784,10.8911,10.6738,10.7543,3604094.0
2019-06-24,10.867,10.867,10.4001,10.4162,1274988.0
2019-06-25,10.4082,10.5128,10.2633,10.4404,1523222.0
2019-06-26,10.4967,10.5933,10.4404,10.4565,1277643.0
2019-06-27,10.5128,10.7664,10.5048,10.706,1367225.0
2019-06-28,10.7784,11.0199,10.6497,10.9877,3647069.0
2019-06-29,10.7784,11.0199,10.6497,10.9877,3647069.0
2019-06-30,10.7784,11.0199,10.6497,10.9877,3647069.0
2019-07-01,11.1246,11.2614,10.8911,10.9958,1475324.0
2019-07-02,10.9555,11.1447,10.9314,11.1165,1315483.0
2019-07-03,11.1165,11.2333,11.0843,11.2051,993617.0
2019-07-04,11.1165,11.2333,11.0843,11.2051,993617.0
2019-07-05,11.1648,11.3822,11.1407,11.35,1325615.0
2019-07-06,11.1648,11.3822,11.1407,11.35,1325615.0
2019-07-07,11.1648,11.3822,11.1407,11.35,1325615.0
2019-07-08,11.2775,11.3661,10.8348,10.8509,2076322.0
2019-07-09,10.8348,10.8348,10.6416,10.6577,3953193.0
2019-07-10,10.6819,10.8428,10.6336,10.6819,2684867.0
2019-07-11,10.7221,10.7583,10.6175,10.7141,1711986.0
2019-07-12,10.7462,11.0521,10.706,10.9716,1551439.0
2019-07-13,10.7462,11.0521,10.706,10.9716,1551439.0
2019-07-14,10.7462,11.0521,10.706,10.9716,1551439.0
2019-07-15,10.9877,10.9877,10.7382,10.7865,1297801.0
2019-07-16,10.8267,10.9958,10.8187,10.9072,1599341.0
2019-07-17,10.867,10.9757,10.7784,10.8911,1668900.0
2019-07-18,10.8831,11.1246,10.8831,11.036,1200861.0
2019-07-19,11.028,11.1407,10.8952,10.9072,1185177.0
2019-07-20,11.028,11.1407,10.8952,10.9072,1185177.0
2019-07-21,11.028,11.1407,10.8952,10.9072,1185177.0
2019-07-22,10.9394,11.0441,10.8026,10.8187,1384482.0
2019-07-23,10.8428,11.0723,10.8106,11.028,1944445.0
2019-07-24,11.2695,12.6138,11.2695,12.1469,6085489.0
2019-07-25,12.0181,12.1992,11.35,11.4144,6159010.0
2019-07-26,11.4949,11.5593,11.2695,11.3339,3141439.0
2019-07-27,11.4949,11.5593,11.2695,11.3339,3141439.0
2019-07-28,11.4949,11.5593,11.2695,11.3339,3141439.0
2019-07-29,11.3661,11.6317,11.3661,11.4627,1759965.0
2019-07-30,11.3741,11.5794,11.3178,11.5271,2047098.0
2019-07-31,11.5432,11.6478,11.3339,11.3902,2114281.0
2019-08-01,11.4224,11.4707,11.0521,11.2373,1791280.0
2019-08-02,11.2373,11.2614,10.9636,11.036,1174932.0
2019-08-03,11.2373,11.2614,10.9636,11.036,1174932.0
2019-08-04,11.2373,11.2614,10.9636,11.036,1174932.0
2019-08-05,10.8106,10.8348,10.3438,10.5048,4069503.0
2019-08-06,10.5933,10.9113,10.4323,10.706,2622269.0
2019-08-07,10.4484,10.8106,10.3978,10.7382,2070980.0
2019-08-08,10.7945,11.1085,10.7945,10.9877,2582659.0
2019-08-09,10.9314,11.0199,10.867,10.8992,2151947.0
2019-08-10,10.9314,11.0199,10.867,10.8992,2151947.0
2019-08-11,10.9314,11.0199,10.867,10.8992,2151947.0
2019-08-12,10.8106,10.8267,10.6255,10.6738,1918611.0
2019-08-13,10.6899,10.9394,10.6175,10.7865,2009430.0
2019-08-14,10.537,10.6819,10.376,10.3921,1558879.0
2019-08-15,10.3921,10.5128,10.2472,10.3035,841674.0
2019-08-16,10.3357,10.6175,10.3277,10.5692,1016459.0
2019-08-17,10.3357,10.6175,10.3277,10.5692,1016459.0
2019-08-18,10.3357,10.6175,10.3277,10.5692,1016459.0
2019-08-19,10.6738,10.7664,10.5732,10.7141,1110997.0
2019-08-20,10.6416,10.698,10.4565,10.4565,1378599.0
2019-08-21,10.5531,10.6336,10.4887,10.5289,1309384.0
2019-08-22,10.6416,10.6819,10.4323,10.4484,1374693.0
2019-08-23,10.384,10.5048,9.9815,10.0218,1200316.0
2019-08-24,10.384,10.5048,9.9815,10.0218,1200316.0
2019-08-25,10.384,10.5048,9.9815,10.0218,1200316.0
2019-08-26,10.1586,10.3317,10.0781,10.223,1587781.0
2019-08-27,10.2633,10.2633,9.901,9.9171,1156433.0
2019-08-28,9.901,10.1425,9.8527,10.0701,998954.0
2019-08-29,10.2552,10.3599,10.1506,10.2874,1093166.0
2019-08-30,10.376,10.4162,10.1264,10.2552,1235083.0
2019-08-31,10.376,10.4162,10.1264,10.2552,1235083.0
2019-09-01,10.376,10.4162,10.1264,10.2552,1235083.0
2019-09-02,10.376,10.4162,10.1264,10.2552,1235083.0
2019-09-03,10.1747,10.2874,9.9413,10.0862,1590414.0
2019-09-04,10.1908,10.2472,10.0379,10.1747,1568921.0
2019-09-05,10.3378,10.5579,10.3378,10.4275,1184739.0
2019-09-06,10.4764,10.5171,10.3541,10.4275,1110447.0
2019-09-07,10.4764,10.5171,10.3541,10.4275,1110447.0
2019-09-08,10.4764,10.5171,10.3541,10.4275,1110447.0
2019-09-09,10.5008,10.721,10.4764,10.6884,1562480.0
2019-09-10,10.6802,10.9044,10.6476,10.8188,2079245.0
2019-09-11,10.8351,10.9166,10.6598,10.9166,1630808.0
2019-09-12,10.9003,10.9411,10.7536,10.8188,1391250.0
2019-09-13,10.9492,11.0552,10.8106,10.8351,1545661.0
2019-09-14,10.9492,11.0552,10.8106,10.8351,1545661.0
2019-09-15,10.9492,11.0552,10.8106,10.8351,1545661.0
2019-09-16,10.778,10.9778,10.6965,10.9248,1594477.0
2019-09-17,10.8188,10.9003,10.6884,10.8025,1627474.0
2019-09-18,10.7536,10.9166,10.6394,10.8514,1465986.0
2019-09-19,10.8759,10.9982,10.6884,10.7373,1756071.0
2019-09-20,10.7373,10.9737,10.721,10.778,4851442.0
2019-09-21,10.7373,10.9737,10.721,10.778,4851442.0
2019-09-22,10.7373,10.9737,10.721,10.778,4851442.0
2019-09-23,10.721,11.0226,10.6557,10.9166,1585144.0
2019-09-24,10.8922,11.0308,10.6965,10.7047,1937073.0
2019-09-25,10.672,10.9003,10.6476,10.7943,1333118.0
2019-09-26,10.7536,10.884,10.5824,10.6557,2038575.0
2019-09-27,10.7047,10.7658,10.4112,10.4234,1212148.0
2019-09-28,10.7047,10.7658,10.4112,10.4234,1212148.0
2019-09-29,10.7047,10.7658,10.4112,10.4234,1212148.0
2019-09-30,10.4275,10.4723,10.3052,10.4356,1545809.0
2019-10-01,10.4764,10.5783,9.7997,9.7997,1924765.0
2019-10-02,9.7345,9.7671,9.4165,9.4532,3442230.0
2019-10-03,9.4165,9.5307,9.2779,9.5225,3102609.0
2019-10-04,9.5062,9.6203,9.3513,9.4899,2018817.0
2019-10-05,9.5062,9.6203,9.3513,9.4899,2018817.0
2019-10-06,9.5062,9.6203,9.3513,9.4899,2018817.0
2019-10-07,9.4084,9.6611,9.3757,9.5388,2394844.0
2019-10-08,9.4084,9.4777,9.3228,9.335,1736977.0
2019-10-09,9.335,9.4002,9.2208,9.2453,1653474.0
2019-10-10,9.2779,9.498,9.2249,9.3757,2037155.0
2019-10-11,9.498,9.8078,9.498,9.6815,1884456.0
2019-10-12,9.498,9.8078,9.498,9.6815,1884456.0
2019-10-13,9.498,9.8078,9.498,9.6815,1884456.0
2019-10-14,9.6203,9.71,9.4654,9.5633,1051578.0
2019-10-15,9.5633,9.8038,9.498,9.7915,1863534.0
2019-10-16,9.7182,9.8282,9.6,9.6244,1628943.0
2019-10-17,9.6285,9.7508,9.604,9.7019,1274679.0
2019-10-18,9.6937,9.7263,9.5755,9.6,1115391.0
2019-10-19,9.6937,9.7263,9.5755,9.6,1115391.0
2019-10-20,9.6937,9.7263,9.5755,9.6,1115391.0
2019-10-21,9.7019,9.8445,9.6856,9.7508,1266120.0
2019-10-22,9.8078,9.9546,9.71,9.9057,2330832.0
2019-10-23,10.2889,10.7128,9.9954,10.5498,2551513.0
2019-10-24,10.5498,10.6965,10.4927,10.6884,2145644.0
2019-10-25,10.6965,11.1612,10.6965,11.1449,1819796.0
2019-10-26,10.6965,11.1612,10.6965,11.1449,1819796.0
2019-10-27,10.6965,11.1612,10.6965,11.1449,1819796.0
2019-10-28,10.9737,11.4384,10.9655,11.365,1920838.0
2019-10-29,11.3487,11.6259,11.3161,11.4955,1782672.0
2019-10-30,11.4955,11.4955,11.2183,11.3487,1388823.0
2019-10-31,11.308,11.3487,10.9737,11.2264,3335288.0
2019-11-01,11.3487,11.4221,11.2183,11.3161,1487535.0
2019-11-02,11.3487,11.4221,11.2183,11.3161,1487535.0
2019-11-03,11.3487,11.4221,11.2183,11.3161,1487535.0
2019-11-04,11.4221,11.4588,11.3406,11.4343,1854502.0
2019-11-05,11.5526,11.8053,11.5444,11.6748,2039837.0
2019-11-06,11.5933,11.7238,11.5036,11.5526,1619693.0
2019-11-07,11.7075,11.8053,11.6015,11.6993,1180876.0
2019-11-08,11.6993,11.7482,11.6015,11.6585,1076785.0
2019-11-09,11.6993,11.7482,11.6015,11.6585,1076785.0
2019-11-10,11.6993,11.7482,11.6015,11.6585,1076785.0
2019-11-11,11.6259,11.9357,11.6015,11.8379,1515255.0
2019-11-12,11.8542,11.8542,11.7401,11.7808,1017734.0
2019-11-13,11.6259,11.7075,11.524,11.6585,893973.0
2019-11-14,11.6096,11.7441,11.5526,11.7075,873656.0
2019-11-15,11.789,11.789,11.6178,11.6259,729131.0
2019-11-16,11.789,11.789,11.6178,11.6259,729131.0
2019-11-17,11.789,11.789,11.6178,11.6259,729131.0
2019-11-18,11.6422,11.7075,11.5566,11.6015,1090402.0
2019-11-19,11.6259,11.7075,11.5607,11.6504,915393.0
2019-11-20,11.6178,11.7727,11.5933,11.6585,1268167.0
2019-11-21,11.7401,11.7523,11.5689,11.6504,928485.0
2019-11-22,11.7319,11.8094,11.6422,11.7482,700288.0
2019-11-23,11.7319,11.8094,11.6422,11.7482,700288.0
2019-11-24,11.7319,11.8094,11.6422,11.7482,700288.0
2019-11-25,11.7238,11.895,11.6667,11.6667,1662042.0
2019-11-26,11.6748,11.7319,11.5199,11.5362,1970716.0
2019-11-27,11.5526,11.7433,11.4629,11.6422,1669036.0
2019-11-28,11.5526,11.7433,11.4629,11.6422,1669036.0
2019-11-29,11.5444,11.7849,11.5444,11.6993,651368.0
2019-11-30,11.5444,11.7849,11.5444,11.6993,651368.0
2019-12-01,11.5444,11.7849,11.5444,11.6993,651368.0
2019-12-02,11.7238,11.7727,11.4303,11.4629,2121333.0
2019-12-03,11.3895,11.4058,11.1694,11.3324,1352211.0
2019-12-04,11.5281,11.5362,11.3813,11.471,1690433.0
2019-12-05,11.4875,11.5452,11.4051,11.438,1210941.0
2019-12-06,11.4875,11.6896,11.4875,11.5452,2471798.0
2019-12-07,11.4875,11.6896,11.4875,11.5452,2471798.0
2019-12-08,11.4875,11.6896,11.4875,11.5452,2471798.0
2019-12-09,11.5535,11.6112,11.3721,11.3721,1547132.0
2019-12-10,11.4051,11.4545,11.3473,11.3886,2916921.0
2019-12-11,11.4463,11.4463,11.2772,11.3391,1332247.0
2019-12-12,11.3308,11.4875,11.2978,11.4298,2776999.0
2019-12-13,11.5123,11.7514,11.4463,11.6525,1672378.0
2019-12-14,11.5123,11.7514,11.4463,11.6525,1672378.0
2019-12-15,11.5123,11.7514,11.4463,11.6525,1672378.0
2019-12-16,11.7184,11.7844,11.6195,11.6442,2209543.0
2019-12-17,11.6772,11.7926,11.6442,11.7349,1554076.0
2019-12-18,11.7597,11.7597,11.5947,11.6607,996074.0
2019-12-19,11.6277,11.6772,11.504,11.537,1408338.0
2019-12-20,11.504,11.6195,11.3143,11.3556,4699598.0
2019-12-21,11.504,11.6195,11.3143,11.3556,4699598.0
2019-12-22,11.504,11.6195,11.3143,11.3556,4699598.0
2019-12-23,11.3968,11.4999,11.3556,11.4628,1643428.0
2019-12-24,11.4793,11.5535,11.4422,11.4875,369238.0
2019-12-25,11.4793,11.5535,11.4422,11.4875,369238.0
2019-12-26,11.5205,11.5452,11.3721,11.4051,719654.0
2019-12-27,11.3803,11.4469,11.2978,11.3143,635728.0
2019-12-28,11.3803,11.4469,11.2978,11.3143,635728.0
2019-12-29,11.3803,11.4469,11.2978,11.3143,635728.0
2019-12-30,11.3143,11.3638,11.2525,11.2649,800103.0
2019-12-31,11.2566,11.3143,11.2113,11.2814,1799631.0
2020-01-01,11.2566,11.3143,11.2113,11.2814,1799631.0
2020-01-02,11.3556,11.3556,11.1989,11.2607,2167227.0
2020-01-03,11.1659,11.3226,11.0504,11.1906,1261215.0
2020-01-04,11.1659,11.3226,11.0504,11.1906,1261215.0
2020-01-05,11.1659,11.3226,11.0504,11.1906,1261215.0
2020-01-06,11.1164,11.2566,11.0958,11.2236,1727853.0
2020-01-07,11.1906,11.3556,11.1577,11.2154,1302510.0
2020-01-08,11.1741,11.3391,11.1339,11.2731,1180111.0
2020-01-09,11.2071,11.2566,11.1247,11.1906,1392280.0
2020-01-10,11.1494,11.1865,11.0504,11.0669,1555236.0
2020-01-11,11.1494,11.1865,11.0504,11.0669,1555236.0
2020-01-12,11.1494,11.1865,11.0504,11.0669,1555236.0
2020-01-13,11.0917,11.1494,10.9432,11.1412,1624328.0
2020-01-14,11.0834,11.2484,11.0834,11.1824,1481905.0
2020-01-15,11.1082,11.1906,11.0216,11.1329,1331015.0
2020-01-16,11.2071,11.2731,11.1494,11.2319,2006135.0
2020-01-17,11.2484,11.4793,11.2484,11.4298,1703413.0
2020-01-18,11.2484,11.4793,11.2484,11.4298,1703413.0
2020-01-19,11.2484,11.4793,11.2484,11.4298,1703413.0
2020-01-20,11.2484,11.4793,11.2484,11.4298,1703413.0
2020-01-21,11.3886,11.504,11.3308,11.4298,2331872.0
2020-01-22,11.6277,12.6462,11.6277,12.5183,4830196.0
2020-01-23,12.5596,12.7822,12.5101,12.741,2985396.0
2020-01-24,12.6998,12.708,12.3369,12.4565,1674468.0
2020-01-25,12.6998,12.708,12.3369,12.4565,1674468.0
2020-01-26,12.6998,12.708,12.3369,12.4565,1674468.0
2020-01-27,12.1967,12.2874,12.1146,12.1802,3458565.0
2020-01-28,12.3369,12.6173,12.0906,12.3864,2608222.0
2020-01-29,12.3452,12.5761,12.341,12.3699,1237093.0
2020-01-30,12.2957,12.4359,12.1308,12.2874,2449809.0
2020-01-31,12.1967,12.2132,11.8421,11.8586,1968238.0
2020-02-01,12.1967,12.2132,11.8421,11.8586,1968238.0
2020-02-02,12.1967,12.2132,11.8421,11.8586,1968238.0
2020-02-03,11.9493,12.0277,11.5205,11.5535,2328430.0
2020-02-04,11.636,11.7349,11.3679,11.3968,3126461.0
2020-02-05,11.5535,11.6772,11.4958,11.603,1246349.0
2020-02-06,11.6772,11.7679,11.537,11.6277,1279579.0
2020-02-07,11.5205,11.636,11.4463,11.5535,1204344.0
2020-02-08,11.5205,11.636,11.4463,11.5535,1204344.0
2020-02-09,11.5205,11.636,11.4463,11.5535,1204344.0
2020-02-10,11.4875,11.6607,11.4793,11.6112,914103.0
2020-02-11,11.6442,11.9823,11.5452,11.9576,1241489.0
2020-02-12,12.0071,12.2297,11.9741,12.172,1438052.0
2020-02-13,12.106,12.2627,12.0565,12.1555,1238853.0
2020-02-14,12.1637,12.238,11.9493,12.0153,1428256.0
2020-02-15,12.1637,12.238,11.9493,12.0153,1428256.0
2020-02-16,12.1637,12.238,11.9493,12.0153,1428256.0
2020-02-17,12.1637,12.238,11.9493,12.0153,1428256.0
2020-02-18,11.9658,12.0895,11.7432,11.7926,824203.0
2020-02-19,11.7926,11.8834,11.7061,11.8215,2379977.0
2020-02-20,11.8174,11.9906,11.7926,11.9163,1280450.0
2020-02-21,11.8256,11.9081,11.6195,11.6854,1292870.0
2020-02-22,11.8256,11.9081,11.6195,11.6854,1292870.0
2020-02-23,11.8256,11.9081,11.6195,11.6854,1292870.0
2020-02-24,11.3061,11.3556,10.9144,10.9185,1903739.0
2020-02-25,10.9268,10.935,10.1763,10.2588,2228386.0
2020-02-26,10.333,10.333,9.9124,9.9165,1883156.0
2020-02-27,9.6568,9.8547,9.1331,9.3063,2843090.0
2020-02-28,8.9063,9.2857,8.8651,9.2609,6210662.0
2020-02-29,8.9063,9.2857,8.8651,9.2609,6210662.0
2020-03-01,8.9063,9.2857,8.8651,9.2609,6210662.0
