,RUSHA US Equity,RUSHA US Equity,RUSHA US Equity,RUSHA US Equity,RUSHA US Equity
2020-02-15,17.1292,17.8539,17.0251,17.7622,584024.0
2020-02-16,17.1292,17.8539,17.0251,17.7622,584024.0
2020-02-17,17.1292,17.8539,17.0251,17.7622,584024.0
2020-02-18,17.6581,18.1995,17.5957,18.1829,605176.0
2020-02-19,18.2245,18.2245,17.8997,17.9746,900524.0
2020-02-20,18.0329,18.7743,18.0329,18.6118,590571.0
2020-02-21,18.5202,18.6618,18.2634,18.6285,533918.0
2020-02-22,18.5202,18.6618,18.2634,18.6285,533918.0
2020-02-23,18.5202,18.6618,18.2634,18.6285,533918.0
2020-02-24,17.9853,18.4823,17.6553,18.0396,402296.0
2020-02-25,18.0688,18.0688,17.6093,17.7848,1001180.0
2020-02-26,17.9017,17.9769,17.1833,17.5968,962494.0
2020-02-27,17.2669,18.4656,17.2167,17.8683,1344004.0
2020-02-28,17.3838,18.073,16.9005,17.5091,885434.0
2020-02-29,17.3838,18.073,16.9005,17.5091,885434.0
2020-03-01,17.3838,18.073,16.9005,17.5091,885434.0
2020-03-02,17.5592,18.1273,17.2042,18.0145,457540.0
2020-03-03,17.9853,18.0604,17.3128,17.4005,513047.0
2020-03-04,17.6636,17.9226,17.2501,17.5926,506723.0
2020-03-05,17.2293,17.6219,17.0622,17.2293,751192.0
2020-03-06,16.916,17.1395,16.538,16.9076,591476.0
2020-03-07,16.916,17.1395,16.538,16.9076,591476.0
2020-03-08,16.916,17.1395,16.538,16.9076,591476.0
2020-03-09,15.8843,16.0472,14.1823,14.2387,567630.0
2020-03-10,14.6814,15.074,14.577,14.9863,762273.0
2020-03-11,14.5728,14.9279,14.4517,14.7274,597589.0
2020-03-12,13.4743,14.1134,12.806,12.8938,1027730.0
2020-03-13,13.5453,13.9755,12.9522,13.9588,1159218.0
2020-03-14,13.5453,13.9755,12.9522,13.9588,1159218.0
2020-03-15,13.5453,13.9755,12.9522,13.9588,1159218.0
2020-03-16,12.5429,13.2028,12.1127,12.6264,834833.0
2020-03-17,13.0107,13.5036,12.2693,13.3824,919285.0
2020-03-18,12.5513,13.2488,12.0375,12.1043,736700.0
2020-03-19,11.9456,12.7058,11.3818,11.7577,805946.0
2020-03-20,11.7785,12.6895,11.686,12.0333,1305927.0
2020-03-21,11.7785,12.6895,11.686,12.0333,1305927.0
2020-03-22,11.7785,12.6895,11.686,12.0333,1305927.0
2020-03-23,12.2088,12.6682,11.7368,12.1837,920144.0
2020-03-24,12.7852,14.0507,12.4134,13.0901,516353.0
2020-03-25,13.1318,13.9296,12.7142,13.1569,608058.0
2020-03-26,13.4242,14.577,12.994,14.2345,1035275.0
2020-03-27,13.7416,14.2136,13.5412,13.5955,502673.0
2020-03-28,13.7416,14.2136,13.5412,13.5955,502673.0
2020-03-29,13.7416,14.2136,13.5412,13.5955,502673.0
2020-03-30,13.6999,13.892,13.0713,13.3073,452243.0
2020-03-31,13.1945,13.537,13.1527,13.3323,716004.0
2020-04-01,12.7893,13.2404,12.2798,12.3925,407828.0
2020-04-02,12.3633,12.7209,12.0709,12.497,429935.0
2020-04-03,12.3341,13.7625,11.812,12.0835,273123.0
2020-04-04,12.3341,13.7625,11.812,12.0835,273123.0
2020-04-05,12.3341,13.7625,11.812,12.0835,273123.0
2020-04-06,12.5972,13.0358,12.1127,12.8645,739238.0
2020-04-07,13.466,13.6247,13.0065,13.207,392387.0
2020-04-08,13.4284,13.9922,13.2446,13.6832,402444.0
2020-04-09,13.9839,14.7232,13.9735,14.6438,392821.0
2020-04-10,13.9839,14.7232,13.9735,14.6438,392821.0
2020-04-11,13.9839,14.7232,13.9735,14.6438,392821.0
2020-04-12,13.9839,14.7232,13.9735,14.6438,392821.0
2020-04-13,14.506,14.836,13.7416,13.963,327967.0
2020-04-14,14.3849,14.5311,13.6957,14.0633,285127.0
2020-04-15,13.4576,13.7959,12.9731,13.4618,342092.0
2020-04-16,13.4827,13.5537,12.9773,13.4785,383522.0
2020-04-17,13.9755,14.364,13.9087,14.2637,316078.0
2020-04-18,13.9755,14.364,13.9087,14.2637,316078.0
2020-04-19,13.9755,14.364,13.9087,14.2637,316078.0
2020-04-20,13.9463,14.0512,13.5913,13.7124,297317.0
2020-04-21,13.3908,13.5244,13.0671,13.2154,342549.0
2020-04-22,13.6205,13.7667,13.1193,13.3114,319484.0
2020-04-23,14.5937,14.7733,13.2046,14.2303,548354.0
2020-04-24,14.3974,14.7232,14.1927,14.5143,827350.0
2020-04-25,14.3974,14.7232,14.1927,14.5143,827350.0
2020-04-26,14.3974,14.7232,14.1927,14.5143,827350.0
2020-04-27,14.5352,15.0406,14.2094,14.9738,375748.0
2020-04-28,15.3873,15.8112,15.2077,15.262,424476.0
2020-04-29,15.8969,16.5276,15.7924,16.2143,439490.0
2020-04-30,15.8551,15.9846,15.4834,15.663,422165.0
2020-05-01,15.2954,15.734,14.8694,15.1826,813231.0
2020-05-02,15.2954,15.734,14.8694,15.1826,813231.0
2020-05-03,15.2954,15.734,14.8694,15.1826,813231.0
2020-05-04,14.9613,15.3622,14.6062,15.3163,392902.0
2020-05-05,15.5251,15.83,15.2286,15.3581,353525.0
2020-05-06,15.5425,15.6012,15.0353,15.0688,365780.0
2020-05-07,15.3119,15.6598,15.1988,15.4251,309992.0
2020-05-08,15.8191,16.1712,15.6179,16.0832,264665.0
2020-05-09,15.8191,16.1712,15.6179,16.0832,264665.0
2020-05-10,15.8191,16.1712,15.6179,16.0832,264665.0
2020-05-11,15.8904,16.1377,15.5341,15.8778,367522.0
2020-05-12,15.903,16.0036,14.9682,15.0101,984359.0
2020-05-13,14.9557,15.0479,14.57,14.7377,361618.0
2020-05-14,14.4569,14.7125,13.9203,14.6916,286641.0
2020-05-15,14.6245,15.0269,14.6245,14.985,282220.0
2020-05-16,14.6245,15.0269,14.6245,14.985,282220.0
2020-05-17,14.6245,15.0269,14.6245,14.985,282220.0
2020-05-18,15.597,16.297,15.597,16.2467,354238.0
2020-05-19,16.2592,16.385,15.9575,16.0036,414569.0
2020-05-20,16.3179,16.9131,16.1922,16.5946,446486.0
2020-05-21,16.4898,16.6868,16.2383,16.5988,326795.0
2020-05-22,16.7203,16.7203,15.7311,16.1083,1033378.0
2020-05-23,16.7203,16.7203,15.7311,16.1083,1033378.0
2020-05-24,16.7203,16.7203,15.7311,16.1083,1033378.0
2020-05-25,16.7203,16.7203,15.7311,16.1083,1033378.0
2020-05-26,16.3473,17.0808,16.3263,16.9341,499950.0
2020-05-27,17.2569,17.9296,17.1437,17.8101,403382.0
2020-05-28,18.0239,18.1874,17.3784,17.4706,456476.0
2020-05-29,17.2443,17.676,17.0934,17.4455,729450.0
2020-05-30,17.2443,17.676,17.0934,17.4455,729450.0
2020-05-31,17.2443,17.676,17.0934,17.4455,729450.0
2020-06-01,17.4958,17.6823,17.1101,17.1856,420066.0
2020-06-02,17.2736,17.6027,17.1604,17.3994,354800.0
2020-06-03,17.6844,18.0826,17.5796,17.9862,674701.0
2020-06-04,17.8898,18.5856,17.7682,18.4808,600125.0
2020-06-05,18.8622,19.4071,18.7407,18.9209,673187.0
2020-06-06,18.8622,19.4071,18.7407,18.9209,673187.0
2020-06-07,18.8622,19.4071,18.7407,18.9209,673187.0
2020-06-08,19.1305,19.6335,18.9377,19.3149,347150.0
2020-06-09,19.0006,19.0048,18.5772,18.7784,214076.0
2020-06-10,18.6988,18.8036,17.8982,17.9191,333761.0
2020-06-11,17.1982,17.632,16.1335,16.1796,422548.0
2020-06-12,16.4625,16.9886,15.7982,16.6281,416072.0
2020-06-13,16.4625,16.9886,15.7982,16.6281,416072.0
2020-06-14,16.4625,16.9886,15.7982,16.6281,416072.0
2020-06-15,16.0245,17.1018,16.0245,16.9131,314645.0
2020-06-16,17.697,17.8563,17.0137,17.2862,245221.0
2020-06-17,17.3365,17.3365,16.7874,16.8586,182626.0
2020-06-18,16.67,16.9048,16.3221,16.6323,430241.0
2020-06-19,16.8251,16.8251,15.9197,15.9952,711981.0
2020-06-20,16.8251,16.8251,15.9197,15.9952,711981.0
2020-06-21,16.8251,16.8251,15.9197,15.9952,711981.0
2020-06-22,15.9323,16.2928,15.6274,16.2215,377663.0
2020-06-23,16.5149,16.5149,16.1083,16.2341,382208.0
2020-06-24,16.0581,16.1042,15.5592,15.8694,354627.0
2020-06-25,15.8191,16.3724,15.6766,16.3557,466092.0
2020-06-26,16.2551,16.5673,16.0916,16.4311,686295.0
2020-06-27,16.2551,16.5673,16.0916,16.4311,686295.0
2020-06-28,16.2551,16.5673,16.0916,16.4311,686295.0
2020-06-29,16.7371,17.1604,16.385,16.9215,317585.0
2020-06-30,16.9006,17.4161,16.7788,17.3784,362945.0
2020-07-01,17.3952,17.5167,17.0347,17.0682,334631.0
2020-07-02,17.4413,17.808,17.1814,17.2191,179215.0
2020-07-03,17.4413,17.808,17.1814,17.2191,179215.0
2020-07-04,17.4413,17.808,17.1814,17.2191,179215.0
2020-07-05,17.4413,17.808,17.1814,17.2191,179215.0
2020-07-06,17.6215,17.873,17.3554,17.7557,312262.0
2020-07-07,17.5042,17.6509,16.6326,17.3197,392695.0
2020-07-08,17.3281,17.5503,17.1353,17.3407,279506.0
2020-07-09,17.3658,17.3658,16.9425,17.0431,406321.0
2020-07-10,17.1185,17.5628,16.9551,17.4748,483773.0
2020-07-11,17.1185,17.5628,16.9551,17.4748,483773.0
2020-07-12,17.1185,17.5628,16.9551,17.4748,483773.0
2020-07-13,17.4371,17.785,17.3742,17.5335,344754.0
2020-07-14,17.5503,18.0407,17.3197,18.0323,307285.0
2020-07-15,18.5143,18.9964,18.3215,18.9083,320632.0
2020-07-16,18.5898,18.9754,18.3551,18.7197,249354.0
2020-07-17,18.7281,19.0551,18.55,18.6988,322664.0
2020-07-18,18.7281,19.0551,18.55,18.6988,322664.0
2020-07-19,18.7281,19.0551,18.55,18.6988,322664.0
2020-07-20,18.6736,18.6736,18.2042,18.376,159201.0
2020-07-21,18.5814,18.9461,18.485,18.8413,401371.0
2020-07-22,18.7994,19.0299,18.5458,18.7323,531230.0
2020-07-23,19.2814,20.8679,19.1955,20.3503,702956.0
2020-07-24,20.1197,20.7065,19.9562,20.3293,773465.0
2020-07-25,20.1197,20.7065,19.9562,20.3293,773465.0
2020-07-26,20.1197,20.7065,19.9562,20.3293,773465.0
2020-07-27,20.2916,20.6059,19.6586,20.5724,423662.0
2020-07-28,20.3209,20.7652,20.2245,20.3,321968.0
2020-07-29,20.2916,20.6479,20.1616,20.3922,283291.0
2020-07-30,20.0778,20.4047,19.9604,20.3125,313702.0
2020-07-31,20.1113,20.1239,19.5748,19.9437,307328.0
2020-08-01,20.1113,20.1239,19.5748,19.9437,307328.0
2020-08-02,20.1113,20.1239,19.5748,19.9437,307328.0
2020-08-03,20.103,20.4676,20.103,20.3796,297999.0
2020-08-04,20.258,20.4802,19.9646,20.1826,154715.0
2020-08-05,20.4299,20.4425,19.9898,20.3377,282317.0
2020-08-06,20.2662,20.3335,20.077,20.1905,136663.0
2020-08-07,20.1947,20.5983,20.1569,20.5773,188566.0
2020-08-08,20.1947,20.5983,20.1569,20.5773,188566.0
2020-08-09,20.1947,20.5983,20.1569,20.5773,188566.0
2020-08-10,20.5983,21.376,20.3755,20.964,491837.0
2020-08-11,21.2541,21.4054,20.9472,21.1322,270230.0
2020-08-12,21.4391,21.5357,21.1511,21.2625,289973.0
2020-08-13,21.2667,21.3984,21.128,21.2205,226744.0
2020-08-14,21.0986,21.2982,21.0313,21.2036,123732.0
2020-08-15,21.0986,21.2982,21.0313,21.2036,123732.0
2020-08-16,21.0986,21.2982,21.0313,21.2036,123732.0
2020-08-17,21.2247,21.4348,21.1238,21.2331,146342.0
2020-08-18,21.1112,21.334,20.8589,20.8926,194137.0
2020-08-19,20.9136,21.2919,20.8547,20.9766,152201.0
2020-08-20,20.7118,20.9766,20.4133,20.7707,111625.0
2020-08-21,20.6908,21.1994,20.6193,21.1742,262082.0
2020-08-22,20.6908,21.1994,20.6193,21.1742,262082.0
2020-08-23,20.6908,21.1994,20.6193,21.1742,262082.0
2020-08-24,21.2793,21.4769,20.8295,21.0061,263959.0
2020-08-25,21.191,21.191,20.5899,20.716,185526.0
2020-08-26,20.7244,20.8316,20.5647,20.6824,384323.0
2020-08-27,20.7749,20.8064,20.531,20.5899,263376.0
2020-08-28,20.6656,20.9094,20.6403,20.758,204401.0
2020-08-29,20.6656,20.9094,20.6403,20.758,204401.0
2020-08-30,20.6656,20.9094,20.6403,20.758,204401.0
2020-08-31,20.7623,20.8968,20.3125,20.3125,306194.0
2020-09-01,20.2494,20.922,20.2494,20.8085,183060.0
2020-09-02,20.8253,20.9031,20.5647,20.8085,277106.0
2020-09-03,20.7665,20.8001,20.1905,20.283,189104.0
2020-09-04,20.5352,20.922,20.3587,20.7665,269453.0
2020-09-05,20.5352,20.922,20.3587,20.7665,269453.0
2020-09-06,20.5352,20.922,20.3587,20.7665,269453.0
2020-09-07,20.5352,20.922,20.3587,20.7665,269453.0
2020-09-08,20.6572,21.17,20.3944,20.716,315779.0
2020-09-09,20.8968,21.0061,20.5857,20.8421,242910.0
2020-09-10,20.8842,21.0229,20.2242,20.304,219650.0
2020-09-11,20.4596,20.6782,20.3082,20.4932,173552.0
2020-09-12,20.4596,20.6782,20.3082,20.4932,173552.0
2020-09-13,20.4596,20.6782,20.3082,20.4932,173552.0
2020-09-14,20.6277,20.9052,20.5857,20.8547,285410.0
2020-09-15,21.0103,21.149,20.6509,20.8043,242114.0
2020-09-16,21.0145,21.4348,20.8568,21.1448,240228.0
2020-09-17,20.9514,21.5021,20.8526,21.3802,239717.0
2020-09-18,21.5441,21.7711,21.2751,21.4264,505089.0
2020-09-19,21.5441,21.7711,21.2751,21.4264,505089.0
2020-09-20,21.5441,21.7711,21.2751,21.4264,505089.0
2020-09-21,21.0271,21.1742,20.0939,20.3923,394814.0
2020-09-22,20.4848,20.9304,20.3082,20.8842,352683.0
2020-09-23,20.9935,21.851,20.4806,20.5226,430848.0
2020-09-24,20.4386,20.88,20.0812,20.3629,184277.0
2020-09-25,20.22,20.4217,19.8744,20.3503,179620.0
2020-09-26,20.22,20.4217,19.8744,20.3503,179620.0
2020-09-27,20.22,20.4217,19.8744,20.3503,179620.0
2020-09-28,20.6193,21.2961,20.6193,21.1616,243153.0
2020-09-29,21.1616,21.4096,21.0775,21.1364,205704.0
2020-09-30,21.1406,21.6366,21.1112,21.2457,303579.0
2020-10-01,21.3466,21.4643,21.0397,21.4475,194774.0
2020-10-02,21.1196,22.0402,21.1196,21.9603,239639.0
2020-10-03,21.1196,22.0402,21.1196,21.9603,239639.0
2020-10-04,21.1196,22.0402,21.1196,21.9603,239639.0
2020-10-05,22.1621,23.0028,22.0696,22.9902,302983.0
2020-10-06,23.0827,23.7679,22.3008,23.2887,487375.0
2020-10-07,23.625,24.0244,23.3307,23.9613,365301.0
2020-10-08,24.2766,24.2766,23.5325,23.8478,279565.0
2020-10-09,24.0622,24.0727,23.3602,23.4568,202667.0
2020-10-10,24.0622,24.0727,23.3602,23.4568,202667.0
2020-10-11,24.0622,24.0727,23.3602,23.4568,202667.0
2020-10-12,23.44,23.8814,23.3875,23.7721,222680.0
2020-10-13,23.6902,24.1505,23.129,23.4316,214065.0
2020-10-14,23.3497,23.4505,22.8641,22.8767,124748.0
2020-10-15,22.6245,23.0974,22.1201,22.9965,184727.0
2020-10-16,22.9083,23.5798,22.738,23.3938,384806.0
2020-10-17,22.9083,23.5798,22.738,23.3938,384806.0
2020-10-18,22.9083,23.5798,22.738,23.3938,384806.0
2020-10-19,23.5451,23.5798,22.7758,22.9335,214205.0
2020-10-20,23.4379,23.4379,22.5804,22.8042,184118.0
2020-10-21,22.9083,23.2425,22.2966,22.6308,188243.0
2020-10-22,23.8163,23.9613,22.5678,23.4379,482015.0
2020-10-23,23.8793,24.5225,23.5956,24.3712,641496.0
2020-10-24,23.8793,24.5225,23.5956,24.3712,641496.0
2020-10-25,23.8793,24.5225,23.5956,24.3712,641496.0
2020-10-26,23.9298,24.1946,22.9524,23.5451,401084.0
2020-10-27,23.3875,23.5514,23.0091,23.0974,278595.0
2020-10-28,23.955,23.955,22.1074,22.9902,421284.0
2020-10-29,22.9398,23.0533,22.3471,22.8893,288021.0
2020-10-30,22.8389,23.1037,22.3912,22.5993,289187.0
2020-10-31,22.8389,23.1037,22.3912,22.5993,289187.0
2020-11-01,22.8389,23.1037,22.3912,22.5993,289187.0
2020-11-02,22.8326,23.5767,22.5299,23.501,298928.0
2020-11-03,23.9613,24.3207,23.5073,24.1063,286589.0
2020-11-04,23.6334,24.0244,23.1794,23.7784,230507.0
2020-11-05,23.8289,24.3712,23.7784,23.8919,221565.0
2020-11-06,24.0945,24.0945,22.8033,22.9995,237951.0
2020-11-07,24.0945,24.0945,22.8033,22.9995,237951.0
2020-11-08,24.0945,24.0945,22.8033,22.9995,237951.0
2020-11-09,23.778,24.8919,23.5628,23.797,407385.0
2020-11-10,23.9362,25.1324,23.9362,24.6894,432831.0
2020-11-11,24.797,24.9362,23.9932,24.354,463509.0
2020-11-12,24.1388,24.8413,23.4806,23.7084,394005.0
2020-11-13,23.9552,24.1736,23.5375,23.6008,373010.0
2020-11-14,23.9552,24.1736,23.5375,23.6008,373010.0
2020-11-15,23.9552,24.1736,23.5375,23.6008,373010.0
2020-11-16,24.0691,24.3508,23.8413,24.0881,359934.0
2020-11-17,23.7654,24.1894,23.335,23.8286,326562.0
2020-11-18,23.9932,24.4932,23.8856,24.1767,268044.0
2020-11-19,24.0691,24.2021,23.5881,24.1641,153846.0
2020-11-20,23.8856,24.3603,23.7084,24.3033,232359.0
2020-11-21,23.8856,24.3603,23.7084,24.3033,232359.0
2020-11-22,23.8856,24.3603,23.7084,24.3033,232359.0
2020-11-23,24.3476,24.6957,24.24,24.4299,213377.0
2020-11-24,24.5565,25.6071,24.278,25.1957,514446.0
2020-11-25,25.1957,25.566,24.6736,24.9489,561431.0
2020-11-26,25.1957,25.566,24.6736,24.9489,561431.0
2020-11-27,24.8729,25.2274,24.4805,24.5185,153237.0
2020-11-28,24.8729,25.2274,24.4805,24.5185,153237.0
2020-11-29,24.8729,25.2274,24.4805,24.5185,153237.0
2020-11-30,24.4299,24.6388,24.0802,24.259,479397.0
2020-12-01,24.5058,24.8603,24.2084,24.335,300072.0
2020-12-02,24.1767,24.778,23.8476,24.3413,259422.0
2020-12-03,24.3603,24.7305,24.1261,24.5565,262901.0
2020-12-04,24.7653,25.5248,24.7052,25.4172,388241.0
2020-12-05,24.7653,25.5248,24.7052,25.4172,388241.0
2020-12-06,24.7653,25.5248,24.7052,25.4172,388241.0
2020-12-07,25.316,25.316,24.7717,24.9425,224889.0
2020-12-08,24.4489,25.3539,24.3647,25.316,361335.0
2020-12-09,25.6577,26.0216,25.1862,25.7463,424482.0
2020-12-10,25.6451,25.9489,25.4109,25.8033,349613.0
2020-12-11,25.5375,26.297,25.5375,26.1197,310073.0
2020-12-12,25.5375,26.297,25.5375,26.1197,310073.0
2020-12-13,25.5375,26.297,25.5375,26.1197,310073.0
2020-12-14,26.4425,26.5628,26.0058,26.0058,356097.0
2020-12-15,26.1957,26.4931,25.8286,26.0311,645422.0
2020-12-16,26.0248,26.1767,25.5691,25.778,233208.0
2020-12-17,25.8033,26.1134,25.6387,25.9552,254340.0
2020-12-18,26.0754,26.2273,25.7622,26.0058,949284.0
2020-12-19,26.0754,26.2273,25.7622,26.0058,949284.0
2020-12-20,26.0754,26.2273,25.7622,26.0058,949284.0
2020-12-21,25.6514,26.0058,25.259,25.5944,311984.0
2020-12-22,25.5818,25.6451,25.1134,25.5438,194540.0
2020-12-23,25.7337,26.4742,25.5438,26.2273,336435.0
2020-12-24,26.4425,26.74,25.8539,26.0248,60842.0
2020-12-25,26.4425,26.74,25.8539,26.0248,60842.0
2020-12-26,26.4425,26.74,25.8539,26.0248,60842.0
2020-12-27,26.4425,26.74,25.8539,26.0248,60842.0
2020-12-28,26.1071,26.2463,25.8033,26.0375,182582.0
2020-12-29,26.1894,26.2906,25.4615,25.797,142094.0
2020-12-30,25.7716,26.2843,25.6324,26.0311,137288.0
2020-12-31,25.9742,27.2653,25.6957,26.2147,243879.0
2021-01-01,25.9742,27.2653,25.6957,26.2147,243879.0
2021-01-02,25.9742,27.2653,25.6957,26.2147,243879.0
2021-01-03,25.9742,27.2653,25.6957,26.2147,243879.0
2021-01-04,26.1451,26.4868,25.5438,25.6008,268007.0
2021-01-05,25.5122,26.3666,25.5058,26.1134,312185.0
2021-01-06,26.4678,27.9362,25.6641,27.6957,597296.0
2021-01-07,27.7589,28.183,27.5184,28.1577,144224.0
2021-01-08,28.1767,28.4456,27.4805,27.5817,240812.0
2021-01-09,28.1767,28.4456,27.4805,27.5817,240812.0
2021-01-10,28.1767,28.4456,27.4805,27.5817,240812.0
2021-01-11,27.2273,27.6893,27.221,27.683,286749.0
2021-01-12,27.6957,28.2716,26.8476,27.9551,225302.0
2021-01-13,27.8792,27.8792,27.1767,27.5501,421617.0
2021-01-14,27.5564,28.2779,27.5564,28.1703,249737.0
2021-01-15,27.8222,28.2589,27.24,28.2273,250061.0
2021-01-16,27.8222,28.2589,27.24,28.2273,250061.0
2021-01-17,27.8222,28.2589,27.24,28.2273,250061.0
2021-01-18,27.8222,28.2589,27.24,28.2273,250061.0
2021-01-19,28.3349,28.7336,28.202,28.4678,311444.0
2021-01-20,28.4551,29.1228,28.3475,28.7526,161957.0
2021-01-21,28.7526,29.4994,28.3982,28.4551,417240.0
2021-01-22,28.1134,29.2969,27.9108,29.2399,572064.0
2021-01-23,28.1134,29.2969,27.9108,29.2399,572064.0
2021-01-24,28.1134,29.2969,27.9108,29.2399,572064.0
2021-01-25,29.9678,29.9678,28.4108,28.588,233979.0
2021-01-26,28.8222,28.8222,28.164,28.4172,237921.0
2021-01-27,27.7906,28.145,26.9931,27.4805,251550.0
2021-01-28,27.6387,27.8982,27.3412,27.6957,200891.0
2021-01-29,27.6197,27.9045,26.4868,26.5754,371618.0
2021-01-30,27.6197,27.9045,26.4868,26.5754,371618.0
2021-01-31,27.6197,27.9045,26.4868,26.5754,371618.0
2021-02-01,26.9425,27.1704,26.3223,26.9615,213308.0
2021-02-02,27.2906,28.3349,27.259,27.2969,302087.0
2021-02-03,27.2147,27.8982,26.8824,27.1007,270465.0
2021-02-04,27.1134,27.4678,26.702,27.221,409829.0
2021-02-05,27.6007,27.9298,26.8349,27.145,211250.0
2021-02-06,27.6007,27.9298,26.8349,27.145,211250.0
2021-02-07,27.6007,27.9298,26.8349,27.145,211250.0
2021-02-08,27.3729,28.0008,27.3729,27.7716,199001.0
2021-02-09,27.6071,27.6672,27.1704,27.3286,450563.0
2021-02-10,27.3096,27.9235,26.6893,26.7083,217404.0
2021-02-11,26.9362,28.1197,25.5343,26.4488,512508.0
2021-02-12,26.3033,26.4868,25.8159,26.2526,378291.0
2021-02-13,26.3033,26.4868,25.8159,26.2526,378291.0
2021-02-14,26.3033,26.4868,25.8159,26.2526,378291.0
2021-02-15,26.3033,26.4868,25.8159,26.2526,378291.0
2021-02-16,26.2716,26.6261,25.6704,25.7273,314339.0
2021-02-17,25.5818,25.9235,25.1796,25.6957,247100.0
2021-02-18,25.6134,26.1451,24.816,25.0248,348447.0
2021-02-19,25.1071,26.3001,25.0312,26.0691,423605.0
2021-02-20,25.1071,26.3001,25.0312,26.0691,423605.0
2021-02-21,25.1071,26.3001,25.0312,26.0691,423605.0
2021-02-22,25.9868,26.9235,25.9678,26.4235,354722.0
2021-02-23,26.3539,26.9995,26.1411,26.9172,349733.0
2021-02-24,27.0888,28.1534,26.9744,27.9786,309555.0
2021-02-25,27.7053,28.2138,26.8028,26.9235,489849.0
2021-02-26,27.1269,27.4002,26.6248,26.968,250115.0
2021-02-27,27.1269,27.4002,26.6248,26.968,250115.0
2021-02-28,27.1269,27.4002,26.6248,26.968,250115.0
2021-03-01,27.5655,27.842,27.2922,27.4066,325995.0
2021-03-02,27.5083,27.5973,27.1524,27.2668,269727.0
2021-03-03,26.8473,28.0867,26.8473,27.5909,437553.0
2021-03-04,27.6481,27.9468,27.4479,27.718,471744.0
2021-03-05,28.0867,28.9066,27.6036,28.8875,368090.0
2021-03-06,28.0867,28.9066,27.6036,28.8875,368090.0
2021-03-07,28.0867,28.9066,27.6036,28.8875,368090.0
2021-03-08,29.1227,29.6629,28.5856,29.11,389318.0
2021-03-09,29.2307,29.8091,28.4045,29.3388,407690.0
2021-03-10,29.4341,30.1905,29.2434,29.9489,421707.0
2021-03-11,29.9553,31.1375,29.8886,30.9373,486740.0
2021-03-12,30.8451,32.0146,30.8277,31.8303,383792.0
2021-03-13,30.8451,32.0146,30.8277,31.8303,383792.0
