,MAR US Equity,MAR US Equity,MAR US Equity,MAR US Equity,MAR US Equity
2020-05-04,80.2692,84.0083,78.9148,81.0445,4087134.0
2020-05-05,83.5372,85.451,81.5253,82.1044,3458185.0
2020-05-06,82.7521,83.3508,79.3663,79.6018,3013128.0
2020-05-07,81.8001,85.3332,81.5057,84.3812,4036189.0
2020-05-08,86.4422,86.8544,84.0574,85.5491,4269552.0
2020-05-09,86.4422,86.8544,84.0574,85.5491,4269552.0
2020-05-10,86.4422,86.8544,84.0574,85.5491,4269552.0
2020-05-11,82.7325,83.1741,79.9944,80.7795,6832659.0
2020-05-12,81.4174,82.3203,77.796,77.8549,3605479.0
2020-05-13,77.5946,77.8419,73.1834,73.8606,4880565.0
2020-05-14,71.6426,77.8058,70.1901,77.7764,5425359.0
2020-05-15,77.0109,78.4221,75.9215,78.2769,6526946.0
2020-05-16,77.0109,78.4221,75.9215,78.2769,6526946.0
2020-05-17,77.0109,78.4221,75.9215,78.2769,6526946.0
2020-05-18,83.4783,92.154,83.287,91.8792,11012237.0
2020-05-19,90.5543,93.0765,87.5021,88.984,7090296.0
2020-05-20,90.6426,91.2511,88.5915,90.9567,4265676.0
2020-05-21,90.2599,91.3787,88.5915,89.6514,3009033.0
2020-05-22,90.466,90.5347,87.8554,89.357,2259710.0
2020-05-23,90.466,90.5347,87.8554,89.357,2259710.0
2020-05-24,90.466,90.5347,87.8554,89.357,2259710.0
2020-05-25,90.466,90.5347,87.8554,89.357,2259710.0
2020-05-26,96.0649,96.109,92.7919,93.155,6258418.0
2020-05-27,96.8058,97.1366,93.0078,96.1385,5392025.0
2020-05-28,95.795,96.0992,89.828,89.936,5203029.0
2020-05-29,89.514,90.0439,86.4618,86.8544,5874442.0
2020-05-30,89.514,90.0439,86.4618,86.8544,5874442.0
2020-05-31,89.514,90.0439,86.4618,86.8544,5874442.0
2020-06-01,88.0615,93.8616,87.6395,93.263,5084212.0
2020-06-02,95.4221,95.5398,92.2619,93.8322,5470735.0
2020-06-03,95.4907,98.6852,94.421,98.0424,6136335.0
2020-06-04,98.2779,103.0966,96.2568,102.8709,6777775.0
2020-06-05,112.2532,116.2082,104.7847,105.9525,10069842.0
2020-06-06,112.2532,116.2082,104.7847,105.9525,10069842.0
2020-06-07,112.2532,116.2082,104.7847,105.9525,10069842.0
2020-06-08,111.3503,112.3317,108.4551,111.0362,6056216.0
2020-06-09,107.7575,108.4453,104.3332,105.3244,4008725.0
2020-06-10,104.0584,104.6669,98.1896,100.7118,5641982.0
2020-06-11,93.2826,94.7056,88.9251,89.7397,7614102.0
2020-06-12,95.795,95.9422,88.3952,90.5445,7108265.0
2020-06-13,95.795,95.9422,88.3952,90.5445,7108265.0
2020-06-14,95.795,95.9422,88.3952,90.5445,7108265.0
2020-06-15,86.3637,90.6132,85.1762,89.1018,9052926.0
2020-06-16,94.5486,94.6075,89.0135,92.2423,6197188.0
2020-06-17,91.781,92.2521,89.1139,89.4355,4423063.0
2020-06-18,88.8172,92.4288,88.4933,91.0254,3746910.0
2020-06-19,92.1589,92.3797,87.0114,88.0124,4880572.0
2020-06-20,92.1589,92.3797,87.0114,88.0124,4880572.0
2020-06-21,92.1589,92.3797,87.0114,88.0124,4880572.0
2020-06-22,87.8358,89.3079,86.6385,88.5031,4588838.0
2020-06-23,89.3079,89.7888,87.1782,88.935,5829178.0
2020-06-24,87.6689,87.8554,82.3203,83.4195,6403929.0
2020-06-25,82.0357,82.9876,80.593,82.4773,5210944.0
2020-06-26,81.9964,82.389,78.9044,79.435,10150239.0
2020-06-27,81.9964,82.389,78.9044,79.435,10150239.0
2020-06-28,81.9964,82.389,78.9044,79.435,10150239.0
2020-06-29,80.014,84.9995,78.7676,84.9897,5132982.0
2020-06-30,83.8218,85.3037,82.4381,84.1359,4343105.0
2020-07-01,85.0584,88.8172,84.7247,85.0093,5708185.0
2020-07-02,88.0321,88.5522,84.656,86.1674,3877406.0
2020-07-03,88.0321,88.5522,84.656,86.1674,3877406.0
2020-07-04,88.0321,88.5522,84.656,86.1674,3877406.0
2020-07-05,88.0321,88.5522,84.656,86.1674,3877406.0
2020-07-06,87.9903,88.6602,85.5,88.1597,3138232.0
2020-07-07,86.982,87.325,85.4608,85.8043,2993873.0
2020-07-08,85.6669,88.3559,84.8818,88.3167,3407632.0
2020-07-09,88.5424,88.6013,84.4009,84.6462,5263545.0
2020-07-10,84.2635,86.9623,83.9102,86.8642,3246396.0
2020-07-11,84.2635,86.9623,83.9102,86.8642,3246396.0
2020-07-12,84.2635,86.9623,83.9102,86.8642,3246396.0
2020-07-13,87.4138,88.8564,85.6865,85.873,3955135.0
2020-07-14,85.3823,86.0987,84.4009,85.5,3063535.0
2020-07-15,88.5522,92.9882,88.4835,92.2816,6761443.0
2020-07-16,90.4169,91.6927,89.075,91.3787,2483978.0
2020-07-17,91.3001,91.3688,88.4246,89.779,2329687.0
2020-07-18,91.3001,91.3688,88.4246,89.779,2329687.0
2020-07-19,91.3001,91.3688,88.4246,89.779,2329687.0
2020-07-20,88.9546,89.9262,85.9417,86.8348,3052426.0
2020-07-21,88.0026,89.7986,86.8544,88.2872,2443338.0
2020-07-22,87.4138,89.2686,87.1586,89.1214,1741359.0
2020-07-23,88.2382,88.5228,86.2852,87.3156,2564106.0
2020-07-24,87.2371,87.2371,84.9603,85.873,2369546.0
2020-07-25,87.2371,87.2371,84.9603,85.873,2369546.0
2020-07-26,87.2371,87.2371,84.9603,85.873,2369546.0
2020-07-27,84.5088,85.5148,83.6157,84.6658,2675842.0
2020-07-28,84.7051,86.2459,84.3616,84.9406,2105019.0
2020-07-29,85.4608,86.5383,84.4009,85.5197,1653673.0
2020-07-30,83.8709,84.5063,82.968,83.92,2794673.0
2020-07-31,82.9582,83.0367,80.5341,82.2663,3922499.0
2020-08-01,82.9582,83.0367,80.5341,82.2663,3922499.0
2020-08-02,82.9582,83.0367,80.5341,82.2663,3922499.0
2020-08-03,81.7118,82.6245,79.7883,81.967,3361965.0
2020-08-04,81.8688,84.6658,81.0837,84.499,2981182.0
2020-08-05,86.0889,86.2957,84.2831,85.6473,2200758.0
2020-08-06,84.8523,89.5204,84.3528,88.7092,3763776.0
2020-08-07,88.5522,92.3012,86.9721,92.0362,4949803.0
2020-08-08,88.5522,92.3012,86.9721,92.0362,4949803.0
2020-08-09,88.5522,92.3012,86.9721,92.0362,4949803.0
2020-08-10,92.4975,96.3004,91.5609,95.3239,5863849.0
2020-08-11,99.2986,99.7304,95.0688,95.2061,5372175.0
2020-08-12,97.3652,97.7971,93.6163,94.2444,3831000.0
2020-08-13,94.1462,96.6684,93.7635,94.7007,2158738.0
2020-08-14,95.4417,95.8539,94.1757,94.2247,3407036.0
2020-08-15,95.4417,95.8539,94.1757,94.2247,3407036.0
2020-08-16,95.4417,95.8539,94.1757,94.2247,3407036.0
2020-08-17,95.4122,95.687,93.3906,93.9401,2095986.0
2020-08-18,93.7438,94.0579,91.6927,92.6839,1718129.0
2020-08-19,93.1452,94.0614,91.9282,92.2521,1536862.0
2020-08-20,90.7407,93.8518,90.358,92.2717,2240497.0
2020-08-21,92.0656,95.2258,91.7614,93.4985,2069222.0
2020-08-22,92.0656,95.2258,91.7614,93.4985,2069222.0
2020-08-23,92.0656,95.2258,91.7614,93.4985,2069222.0
2020-08-24,94.2247,96.7371,93.2335,96.0698,2791726.0
2020-08-25,96.9874,98.5135,95.7067,96.9334,2302662.0
2020-08-26,96.5114,96.7371,94.5388,95.5693,2158295.0
2020-08-27,97.4048,101.4029,97.1591,99.8973,3856863.0
2020-08-28,101.0455,104.6276,100.0543,104.2841,3660993.0
2020-08-29,101.0455,104.6276,100.0543,104.2841,3660993.0
2020-08-30,101.0455,104.6276,100.0543,104.2841,3660993.0
2020-08-31,103.2929,103.9897,100.9277,100.9964,2881353.0
2020-09-01,99.593,102.6354,98.8864,101.1731,1918168.0
2020-09-02,101.3596,102.8905,100.4997,102.4489,2101262.0
2020-09-03,103.0378,105.8936,100.3094,101.1731,2956161.0
2020-09-04,102.9396,105.0496,101.2909,102.8709,2856159.0
2020-09-05,102.9396,105.0496,101.2909,102.8709,2856159.0
2020-09-06,102.9396,105.0496,101.2909,102.8709,2856159.0
2020-09-07,102.9396,105.0496,101.2909,102.8709,2856159.0
2020-09-08,101.0848,105.1576,100.4665,102.0465,2745935.0
2020-09-09,101.8797,102.0073,98.9551,100.1132,2630087.0
2020-09-10,101.0259,103.4205,98.2485,98.5135,2263060.0
2020-09-11,99.0631,99.2299,95.5791,97.4143,2637962.0
2020-09-12,99.0631,99.2299,95.5791,97.4143,2637962.0
2020-09-13,99.0631,99.2299,95.5791,97.4143,2637962.0
2020-09-14,99.0042,102.9592,98.6803,102.7335,2729265.0
2020-09-15,103.0279,104.3823,101.3007,103.4303,1921960.0
2020-09-16,104.1369,106.8651,102.498,105.7562,3004530.0
2020-09-17,103.8033,105.138,101.7717,102.4685,2763129.0
2020-09-18,101.4479,102.0073,97.7284,98.0228,5327653.0
2020-09-19,101.4479,102.0073,97.7284,98.0228,5327653.0
2020-09-20,101.4479,102.0073,97.7284,98.0228,5327653.0
2020-09-21,94.1757,94.6075,89.7005,91.2903,4863196.0
2020-09-22,91.7712,93.7537,91.2707,93.7242,3605399.0
2020-09-23,94.5584,96.0403,90.8929,91.2118,2788335.0
2020-09-24,90.5494,91.8399,88.7976,89.6514,4025958.0
2020-09-25,88.6504,91.6927,88.5915,91.2609,2318070.0
2020-09-26,88.6504,91.6927,88.5915,91.2609,2318070.0
2020-09-27,88.6504,91.6927,88.5915,91.2609,2318070.0
2020-09-28,93.2826,95.5791,92.1932,94.2149,2965384.0
2020-09-29,94.4014,94.4014,91.0842,91.4817,2217894.0
2020-09-30,92.6545,94.2345,90.4365,90.8585,2921840.0
2020-10-01,91.4866,93.1844,90.7898,92.5956,2182134.0
2020-10-02,89.9949,93.842,89.7397,93.4789,2198953.0
2020-10-03,89.9949,93.842,89.7397,93.4789,2198953.0
2020-10-04,89.9949,93.842,89.7397,93.4789,2198953.0
2020-10-05,93.999,95.4319,93.3611,94.9804,2153125.0
2020-10-06,96.3053,98.4742,94.7253,95.1178,3023232.0
2020-10-07,96.4133,98.0817,96.1875,97.169,1845529.0
2020-10-08,97.9541,98.5724,96.3789,98.4448,1799171.0
2020-10-09,99.4066,100.1917,97.4143,97.4928,1673778.0
2020-10-10,99.4066,100.1917,97.4143,97.4928,1673778.0
2020-10-11,99.4066,100.1917,97.4143,97.4928,1673778.0
2020-10-12,97.6106,99.2299,97.0021,98.8373,2318741.0
2020-10-13,97.3947,97.6793,95.108,96.4133,2738986.0
2020-10-14,96.7077,97.3554,94.7645,95.265,2448558.0
2020-10-15,94.4995,95.4809,93.0078,95.265,1886712.0
2020-10-16,95.5202,97.1493,95.0,95.9422,1707504.0
2020-10-17,95.5202,97.1493,95.0,95.9422,1707504.0
2020-10-18,95.5202,97.1493,95.0,95.9422,1707504.0
2020-10-19,96.6832,96.6832,91.8988,92.1932,2073616.0
2020-10-20,93.5279,95.2847,92.4484,94.3032,1783088.0
2020-10-21,93.7537,94.2345,92.5563,93.3807,1512178.0
2020-10-22,94.3131,99.328,93.8616,98.9453,3033640.0
2020-10-23,99.8187,100.3683,98.3172,99.8678,2032637.0
2020-10-24,99.8187,100.3683,98.3172,99.8678,2032637.0
2020-10-25,99.8187,100.3683,98.3172,99.8678,2032637.0
2020-10-26,97.6498,97.6597,92.6643,94.2345,2912893.0
2020-10-27,94.6762,95.0687,91.6142,91.7222,2512042.0
2020-10-28,89.8673,90.7996,87.2666,88.297,4302436.0
2020-10-29,88.3167,92.0264,87.3549,91.5946,2728970.0
2020-10-30,90.3384,92.2816,88.8663,91.1529,2732358.0
2020-10-31,90.3384,92.2816,88.8663,91.1529,2732358.0
2020-11-01,90.3384,92.2816,88.8663,91.1529,2732358.0
2020-11-02,91.2707,91.6535,89.8967,91.1726,2320087.0
2020-11-03,92.5073,95.3828,92.1442,94.3032,2658398.0
2020-11-04,95.6085,98.6901,93.3611,96.217,3274487.0
2020-11-05,96.8942,100.9768,96.3053,99.0336,3572771.0
2020-11-06,100.1034,102.7041,99.6127,101.9582,4167957.0
2020-11-07,100.1034,102.7041,99.6127,101.9582,4167957.0
2020-11-08,100.1034,102.7041,99.6127,101.9582,4167957.0
2020-11-09,120.7619,129.4474,111.4877,116.1003,14217328.0
2020-11-10,115.0207,117.5724,113.7645,116.2769,4883897.0
2020-11-11,115.3544,116.0021,112.9303,114.2258,3846817.0
2020-11-12,112.4691,114.1473,109.7898,113.1953,3115329.0
2020-11-13,114.1473,117.8962,113.4995,117.7687,2806144.0
2020-11-14,114.1473,117.8962,113.4995,117.7687,2806144.0
2020-11-15,114.1473,117.8962,113.4995,117.7687,2806144.0
2020-11-16,123.3627,123.3627,119.3881,121.4587,4596254.0
2020-11-17,121.3312,121.3606,118.122,120.497,2924367.0
2020-11-18,119.9866,121.9102,117.9846,118.1023,2370148.0
2020-11-19,118.1121,119.4469,117.3074,118.858,2034789.0
2020-11-20,118.4091,119.6425,116.9933,117.062,5292167.0
2020-11-21,118.4091,119.6425,116.9933,117.062,5292167.0
2020-11-22,118.4091,119.6425,116.9933,117.062,5292167.0
2020-11-23,118.701,121.1251,118.3281,120.8012,2185388.0
2020-11-24,123.9417,128.9076,123.0328,128.4758,5307604.0
2020-11-25,127.4551,127.8281,125.3844,126.8172,2086576.0
2020-11-26,127.4551,127.8281,125.3844,126.8172,2086576.0
2020-11-27,125.6199,128.3089,124.8348,125.9634,1365789.0
2020-11-28,125.6199,128.3089,124.8348,125.9634,1365789.0
2020-11-29,125.6199,128.3089,124.8348,125.9634,1365789.0
2020-11-30,125.5414,125.9241,122.5579,124.5109,2094480.0
2020-12-01,127.092,127.2588,125.296,126.1302,1891690.0
2020-12-02,125.7279,128.2108,125.3058,126.3265,1955063.0
2020-12-03,127.5435,132.1659,126.6994,129.8596,2693953.0
2020-12-04,131.1529,133.3141,130.3012,133.0884,1923206.0
2020-12-05,131.1529,133.3141,130.3012,133.0884,1923206.0
2020-12-06,131.1529,133.3141,130.3012,133.0884,1923206.0
2020-12-07,132.372,132.7694,129.7025,130.4877,1766416.0
2020-12-08,129.0548,131.6752,128.6132,130.0853,1552763.0
2020-12-09,131.4396,131.842,126.9154,128.044,2787239.0
2020-12-10,127.4453,129.9479,126.4835,129.3198,1791266.0
2020-12-11,128.2304,129.3591,125.2667,126.1204,2171863.0
2020-12-12,128.2304,129.3591,125.2667,126.1204,2171863.0
2020-12-13,128.2304,129.3591,125.2667,126.1204,2171863.0
2020-12-14,128.8487,128.9861,124.0791,124.2656,1888963.0
2020-12-15,126.9448,128.0636,124.4815,127.936,1812403.0
2020-12-16,128.1715,128.4856,126.3413,128.0145,1752454.0
2020-12-17,128.3482,129.9381,126.2774,127.8673,1818381.0
2020-12-18,127.9164,128.4758,125.8849,126.4246,3376444.0
2020-12-19,127.9164,128.4758,125.8849,126.4246,3376444.0
2020-12-20,127.9164,128.4758,125.8849,126.4246,3376444.0
2020-12-21,123.451,125.7671,121.476,124.9525,2187192.0
2020-12-22,124.187,124.9133,122.1261,123.9123,1498541.0
2020-12-23,124.6974,126.6798,124.3833,126.2186,1624632.0
2020-12-24,126.2284,126.5817,125.1292,126.3559,592067.0
2020-12-25,126.2284,126.5817,125.1292,126.3559,592067.0
2020-12-26,126.2284,126.5817,125.1292,126.3559,592067.0
2020-12-27,126.2284,126.5817,125.1292,126.3559,592067.0
2020-12-28,127.8241,128.1421,125.7377,125.9339,1330284.0
2020-12-29,127.0822,128.888,126.0125,126.6013,1685107.0
2020-12-30,126.8074,128.9076,126.1106,128.044,1284661.0
2020-12-31,127.8673,130.0558,126.4345,129.467,1537281.0
2021-01-01,127.8673,130.0558,126.4345,129.467,1537281.0
2021-01-02,127.8673,130.0558,126.4345,129.467,1537281.0
2021-01-03,127.8673,130.0558,126.4345,129.467,1537281.0
2021-01-04,129.0646,129.6535,121.0662,122.45,3992316.0
2021-01-05,121.6286,124.9427,121.2821,123.7454,1428925.0
2021-01-06,122.5187,128.2991,122.5187,126.984,2280080.0
2021-01-07,126.8565,128.7506,126.7387,127.9262,1910032.0
2021-01-08,128.7604,129.732,126.5862,127.2785,1485477.0
2021-01-09,128.7604,129.732,126.5862,127.2785,1485477.0
2021-01-10,128.7604,129.732,126.5862,127.2785,1485477.0
2021-01-11,125.3745,126.8417,124.7072,126.2676,1692490.0
2021-01-12,125.5119,126.2087,123.7551,125.0212,2928158.0
2021-01-13,124.452,124.9525,122.077,124.1576,2715009.0
2021-01-14,125.9634,128.201,124.8937,126.5326,1886605.0
2021-01-15,125.8456,125.9928,123.4019,124.4422,1698367.0
2021-01-16,125.8456,125.9928,123.4019,124.4422,1698367.0
2021-01-17,125.8456,125.9928,123.4019,124.4422,1698367.0
2021-01-18,125.8456,125.9928,123.4019,124.4422,1698367.0
2021-01-19,124.9595,125.8456,123.1271,124.5011,1587263.0
2021-01-20,123.6865,125.2666,122.7051,124.3735,1990152.0
2021-01-21,123.6669,125.3157,122.2046,124.2656,1771945.0
2021-01-22,122.9407,123.9176,120.4921,120.6147,2155253.0
2021-01-23,122.9407,123.9176,120.4921,120.6147,2155253.0
2021-01-24,122.9407,123.9176,120.4921,120.6147,2155253.0
2021-01-25,120.1142,120.3105,114.7264,117.3957,4417475.0
2021-01-26,118.1416,119.1819,117.0817,118.2005,1966367.0
2021-01-27,116.483,118.1514,113.794,115.2857,3939606.0
2021-01-28,117.7785,121.1741,117.7785,118.4654,3559856.0
2021-01-29,117.5233,117.7392,113.3523,114.1473,4896777.0
2021-01-30,117.5233,117.7392,113.3523,114.1473,4896777.0
2021-01-31,117.5233,117.7392,113.3523,114.1473,4896777.0
2021-02-01,115.7568,117.5429,114.898,115.5605,2227410.0
2021-02-02,117.2485,120.2811,116.7774,119.8296,2591735.0
2021-02-03,119.7315,122.45,119.5843,121.0564,2256753.0
2021-02-04,121.7041,123.5099,121.0171,123.1173,1869230.0
2021-02-05,124.6287,127.1116,124.6189,127.0724,2807278.0
2021-02-06,124.6287,127.1116,124.6189,127.0724,2807278.0
2021-02-07,124.6287,127.1116,124.6189,127.0724,2807278.0
2021-02-08,127.7299,128.3875,124.3441,126.6896,2187988.0
2021-02-09,126.8859,126.8859,123.7552,124.6876,1404124.0
2021-02-10,124.7072,126.5326,123.8141,124.3931,1699892.0
2021-02-11,125.1881,126.3461,122.7051,124.295,1929388.0
2021-02-12,123.4019,127.3766,123.2254,127.0724,1741073.0
2021-02-13,123.4019,127.3766,123.2254,127.0724,1741073.0
2021-02-14,123.4019,127.3766,123.2254,127.0724,1741073.0
2021-02-15,123.4019,127.3766,123.2254,127.0724,1741073.0
2021-02-16,127.5925,128.6524,126.1891,127.9753,2443775.0
2021-02-17,126.0125,130.7821,125.1586,128.8978,2906528.0
2021-02-18,125.8751,130.3012,125.1684,129.5259,2625496.0
2021-02-19,128.8389,135.0218,128.8389,133.7459,2855958.0
2021-02-20,128.8389,135.0218,128.8389,133.7459,2855958.0
2021-02-21,128.8389,135.0218,128.8389,133.7459,2855958.0
2021-02-22,136.6116,142.7258,136.0915,139.9092,5314873.0
2021-02-23,142.3038,146.887,139.5068,146.7692,5632769.0
2021-02-24,146.7201,154.6695,146.6122,154.5714,5865841.0
2021-02-25,153.3544,157.0052,146.0331,147.2991,5147253.0
2021-02-26,147.4856,149.3993,143.0889,145.3167,4107630.0
2021-02-27,147.4856,149.3993,143.0889,145.3167,4107630.0
2021-02-28,147.4856,149.3993,143.0889,145.3167,4107630.0
