,PEP US Equity,PEP US Equity,PEP US Equity,PEP US Equity,PEP US Equity
2020-03-03,121.699,123.899,119.526,120.271,8728649.0
2020-03-04,120.812,126.596,120.652,126.312,7635948.0
2020-03-05,123.968,126.298,122.056,123.333,6579119.0
2020-03-06,117.493,123.396,117.397,122.583,6755028.0
2020-03-07,117.493,123.396,117.397,122.583,6755028.0
2020-03-08,117.493,123.396,117.397,122.583,6755028.0
2020-03-09,116.26,119.091,114.474,116.242,8716252.0
2020-03-10,117.93,120.181,113.295,119.797,8258624.0
2020-03-11,116.618,118.368,113.983,115.876,7468850.0
2020-03-12,109.044,111.634,101.444,103.007,12808252.0
2020-03-13,107.776,113.947,102.766,113.822,12007673.0
2020-03-14,107.776,113.947,102.766,113.822,12007673.0
2020-03-15,107.776,113.947,102.766,113.822,12007673.0
2020-03-16,102.427,110.58,100.024,100.998,10733314.0
2020-03-17,104.222,114.188,103.945,114.063,14242319.0
2020-03-18,107.919,114.063,101.605,107.99,15250774.0
2020-03-19,108.446,109.035,103.65,104.793,9393486.0
2020-03-20,105.597,105.785,90.576,92.817,13093153.0
2020-03-21,105.597,105.785,90.576,92.817,13093153.0
2020-03-22,105.597,105.785,90.576,92.817,13093153.0
2020-03-23,94.666,100.801,91.87,93.933,13926832.0
2020-03-24,98.176,102.194,97.671,101.667,11446957.0
2020-03-25,100.685,103.918,99.167,100.471,9485483.0
2020-03-26,100.658,108.776,100.542,107.401,10377946.0
2020-03-27,105.892,111.322,105.374,107.58,9852459.0
2020-03-28,105.892,111.322,105.374,107.58,9852459.0
2020-03-29,105.892,111.322,105.374,107.58,9852459.0
2020-03-30,108.607,112.384,108.517,112.063,6917153.0
2020-03-31,111.581,112.255,106.746,107.258,7093100.0
2020-04-01,104.731,109.223,103.297,105.49,6872957.0
2020-04-02,104.682,111.792,104.025,110.616,6181755.0
2020-04-03,110.018,111.965,109.348,111.268,5552050.0
2020-04-04,110.018,111.965,109.348,111.268,5552050.0
2020-04-05,110.018,111.965,109.348,111.268,5552050.0
2020-04-06,114.903,118.002,111.893,117.136,8242235.0
2020-04-07,118.52,120.636,116.359,116.528,6254249.0
2020-04-08,115.778,119.042,115.323,118.43,5241109.0
2020-04-09,117.966,120.636,117.448,119.341,5502555.0
2020-04-10,117.966,120.636,117.448,119.341,5502555.0
2020-04-11,117.966,120.636,117.448,119.341,5502555.0
2020-04-12,117.966,120.636,117.448,119.341,5502555.0
2020-04-13,117.609,119.091,115.591,116.894,3785013.0
2020-04-14,118.975,123.807,118.198,123.601,6278696.0
2020-04-15,122.476,122.851,119.404,120.592,5773136.0
2020-04-16,122.321,122.321,119.538,121.136,4563973.0
2020-04-17,123.003,123.244,120.485,122.842,4866512.0
2020-04-18,123.003,123.244,120.485,122.842,4866512.0
2020-04-19,123.003,123.244,120.485,122.842,4866512.0
2020-04-20,122.293,122.69,120.127,120.163,3995378.0
2020-04-21,118.011,118.725,116.626,116.939,4359534.0
2020-04-22,118.279,119.377,117.189,118.439,4085122.0
2020-04-23,118.332,119.797,116.126,116.332,5527717.0
2020-04-24,116.877,120.404,116.68,119.993,4065533.0
2020-04-25,116.877,120.404,116.68,119.993,4065533.0
2020-04-26,116.877,120.404,116.68,119.993,4065533.0
2020-04-27,120.047,120.752,119.574,120.083,4009205.0
2020-04-28,122.155,122.958,120.261,121.744,6674220.0
2020-04-29,122.146,122.333,118.689,119.1,6706841.0
2020-04-30,118.252,118.931,116.475,118.145,6782989.0
2020-05-01,117.1,118.087,115.671,116.225,4488160.0
2020-05-02,117.1,118.087,115.671,116.225,4488160.0
2020-05-03,117.1,118.087,115.671,116.225,4488160.0
2020-05-04,116.251,117.305,115.497,116.921,5245315.0
2020-05-05,117.564,119.073,116.787,117.591,3580084.0
2020-05-06,117.511,118.091,116.716,116.796,4192492.0
2020-05-07,117.484,117.886,116.207,117.484,5529573.0
2020-05-08,118.841,120.708,118.297,119.877,4209378.0
2020-05-09,118.841,120.708,118.297,119.877,4209378.0
2020-05-10,118.841,120.708,118.297,119.877,4209378.0
2020-05-11,119.163,121.637,118.931,120.011,3591078.0
2020-05-12,120.346,121.797,118.654,118.725,3914614.0
2020-05-13,118.94,120.092,117.395,118.743,5168826.0
2020-05-14,118.52,119.279,116.234,118.85,5522343.0
2020-05-15,119.466,122.941,118.589,121.413,20338620.0
2020-05-16,119.466,122.941,118.589,121.413,20338620.0
2020-05-17,119.466,122.941,118.589,121.413,20338620.0
2020-05-18,122.217,123.235,120.619,121.029,8480600.0
2020-05-19,120.056,120.351,117.35,117.645,6640343.0
2020-05-20,118.368,118.497,116.403,117.225,8213135.0
2020-05-21,116.975,117.386,115.751,116.287,4886277.0
2020-05-22,115.751,116.662,115.358,116.528,3429228.0
2020-05-23,115.751,116.662,115.358,116.528,3429228.0
2020-05-24,115.751,116.662,115.358,116.528,3429228.0
2020-05-25,115.751,116.662,115.358,116.528,3429228.0
2020-05-26,117.832,117.93,115.564,115.876,5579269.0
2020-05-27,115.85,116.85,114.831,116.823,5686547.0
2020-05-28,117.18,118.538,116.198,118.145,4976408.0
2020-05-29,117.895,118.1,116.385,117.484,13338796.0
2020-05-30,117.895,118.1,116.385,117.484,13338796.0
2020-05-31,117.895,118.1,116.385,117.484,13338796.0
2020-06-01,117.528,119.624,117.162,118.77,4050410.0
2020-06-02,118.823,119.502,117.1,118.448,5327465.0
2020-06-03,118.993,119.917,118.422,118.618,5421190.0
2020-06-04,118.431,120.204,117.162,117.513,5229737.0
2020-06-05,117.9,120.168,117.693,119.196,7075650.0
2020-06-06,117.9,120.168,117.693,119.196,7075650.0
2020-06-07,117.9,120.168,117.693,119.196,7075650.0
2020-06-08,118.242,119.219,118.112,118.989,5613020.0
2020-06-09,118.647,119.835,117.945,119.673,6447278.0
2020-06-10,119.952,121.644,119.853,120.717,7069852.0
2020-06-11,120.798,121.626,114.714,115.056,8540975.0
2020-06-12,116.235,116.937,114.687,116.1,7039513.0
2020-06-13,116.235,116.937,114.687,116.1,7039513.0
2020-06-14,116.235,116.937,114.687,116.1,7039513.0
2020-06-15,115.461,117.864,113.877,117.432,5482111.0
2020-06-16,119.412,119.754,117.108,118.503,5198806.0
2020-06-17,118.701,119.736,118.341,118.584,3309878.0
2020-06-18,118.278,119.817,117.567,119.502,3417168.0
2020-06-19,120.969,121.338,118.098,118.152,8296892.0
2020-06-20,120.969,121.338,118.098,118.152,8296892.0
2020-06-21,120.969,121.338,118.098,118.152,8296892.0
2020-06-22,117.495,118.584,116.955,117.945,3379894.0
2020-06-23,118.458,119.412,117.882,118.224,3625580.0
2020-06-24,117.468,117.963,115.812,116.604,4853490.0
2020-06-25,116.226,118.557,115.245,118.269,4442112.0
2020-06-26,118.512,119.133,115.254,116.037,7372682.0
2020-06-27,118.512,119.133,115.254,116.037,7372682.0
2020-06-28,118.512,119.133,115.254,116.037,7372682.0
2020-06-29,117.162,118.26,116.487,117.972,4173863.0
2020-06-30,118.647,119.538,117.77,119.034,4626817.0
2020-07-01,119.277,120.258,118.746,119.124,3633043.0
2020-07-02,120.186,120.753,119.286,119.565,2769248.0
2020-07-03,120.186,120.753,119.286,119.565,2769248.0
2020-07-04,120.186,120.753,119.286,119.565,2769248.0
2020-07-05,120.186,120.753,119.286,119.565,2769248.0
2020-07-06,119.772,120.555,119.079,119.97,4221605.0
2020-07-07,119.043,121.158,118.953,120.213,4424469.0
2020-07-08,120.744,121.221,119.844,120.798,3798259.0
2020-07-09,119.61,120.546,118.555,119.439,4005220.0
2020-07-10,119.133,121.401,118.155,121.014,5932824.0
2020-07-11,119.133,121.401,118.155,121.014,5932824.0
2020-07-12,119.133,121.401,118.155,121.014,5932824.0
2020-07-13,123.093,124.263,121.023,121.419,8960022.0
2020-07-14,121.131,123.257,120.825,121.968,6766836.0
2020-07-15,121.815,122.571,119.925,120.321,5561264.0
2020-07-16,120.65,120.924,119.745,120.492,3788127.0
2020-07-17,121.185,121.554,120.195,121.194,3229486.0
2020-07-18,121.185,121.554,120.195,121.194,3229486.0
2020-07-19,121.185,121.554,120.195,121.194,3229486.0
2020-07-20,121.152,121.152,118.962,119.799,3620256.0
2020-07-21,120.604,122.769,120.411,120.987,5435487.0
2020-07-22,122.004,122.625,120.312,122.409,3522313.0
2020-07-23,122.931,123.525,121.941,123.372,5011384.0
2020-07-24,123.291,124.776,121.851,122.454,3300145.0
2020-07-25,123.291,124.776,121.851,122.454,3300145.0
2020-07-26,123.291,124.776,121.851,122.454,3300145.0
2020-07-27,121.977,123.984,121.365,123.903,3607669.0
2020-07-28,124.182,124.731,123.381,123.642,3787724.0
2020-07-29,123.642,125.1,123.336,124.137,3179281.0
2020-07-30,123.516,124.398,122.832,123.921,2817632.0
2020-07-31,123.534,123.93,121.68,123.894,4304080.0
2020-08-01,123.534,123.93,121.68,123.894,4304080.0
2020-08-02,123.534,123.93,121.68,123.894,4304080.0
2020-08-03,123.399,123.75,122.4,123.03,2819273.0
2020-08-04,123.768,123.831,122.418,123.723,2553613.0
2020-08-05,124.335,124.335,122.193,122.625,2924634.0
2020-08-06,121.746,122.661,121.746,122.274,2693058.0
2020-08-07,122.346,123.084,121.833,123.066,3692151.0
2020-08-08,122.346,123.084,121.833,123.066,3692151.0
2020-08-09,122.346,123.084,121.833,123.066,3692151.0
2020-08-10,122.688,123.192,121.842,122.382,3052091.0
2020-08-11,123.273,123.705,121.158,121.608,3301552.0
2020-08-12,121.806,124.812,121.725,124.02,4425182.0
2020-08-13,123.39,124.749,123.39,124.29,2393520.0
2020-08-14,124.299,124.355,123.48,123.804,2461687.0
2020-08-15,124.299,124.355,123.48,123.804,2461687.0
2020-08-16,124.299,124.355,123.48,123.804,2461687.0
2020-08-17,123.75,125.001,123.345,124.128,2862635.0
2020-08-18,124.749,124.749,123.336,124.299,2638555.0
2020-08-19,124.821,124.916,122.49,122.805,3682226.0
2020-08-20,122.094,123.435,122.067,123.048,2263090.0
2020-08-21,122.733,122.994,121.725,122.814,4295630.0
2020-08-22,122.733,122.994,121.725,122.814,4295630.0
2020-08-23,122.733,122.994,121.725,122.814,4295630.0
2020-08-24,122.814,123.912,122.499,123.876,3177925.0
2020-08-25,124.434,124.542,123.03,123.57,2597448.0
2020-08-26,122.918,124.794,122.742,124.623,6019737.0
2020-08-27,124.839,125.936,124.119,124.56,4159270.0
2020-08-28,124.668,125.964,123.516,125.946,3355482.0
2020-08-29,124.668,125.964,123.516,125.946,3355482.0
2020-08-30,124.668,125.964,123.516,125.946,3355482.0
2020-08-31,125.388,126.918,125.1,126.054,3828697.0
2020-09-01,126.225,126.432,124.655,125.271,3422807.0
2020-09-02,125.568,129.438,125.415,128.961,4918523.0
2020-09-03,129.413,130.563,125.202,126.335,6642417.0
2020-09-04,126.598,127.187,124.132,125.782,4836833.0
2020-09-05,126.598,127.187,124.132,125.782,4836833.0
2020-09-06,126.598,127.187,124.132,125.782,4836833.0
2020-09-07,126.598,127.187,124.132,125.782,4836833.0
2020-09-08,125.374,125.664,121.839,122.872,4901536.0
2020-09-09,122.827,125.51,122.736,124.286,4282289.0
2020-09-10,123.824,124.685,121.358,122.156,6050544.0
2020-09-11,122.573,123.624,121.676,123.108,3411914.0
2020-09-12,122.573,123.624,121.676,123.108,3411914.0
2020-09-13,122.573,123.624,121.676,123.108,3411914.0
2020-09-14,123.758,124.64,123.099,123.887,2779316.0
2020-09-15,123.715,124.404,122.745,122.936,4080783.0
2020-09-16,123.534,123.824,122.174,122.355,3353726.0
2020-09-17,120.914,121.966,119.373,120.742,5186417.0
2020-09-18,121.204,122.183,117.85,119.174,8472958.0
2020-09-19,121.204,122.183,117.85,119.174,8472958.0
2020-09-20,121.204,122.183,117.85,119.174,8472958.0
2020-09-21,118.177,119.029,117.261,118.965,4402723.0
2020-09-22,118.748,120.461,118.245,119.79,3950959.0
2020-09-23,120.289,120.397,117.705,118.748,5909940.0
2020-09-24,119.144,119.935,117.769,119.273,4316594.0
2020-09-25,118.648,121.313,118.308,121.059,4575979.0
2020-09-26,118.648,121.313,118.308,121.059,4575979.0
2020-09-27,118.648,121.313,118.308,121.059,4575979.0
2020-09-28,123.316,125.619,122.981,125.066,7487509.0
2020-09-29,125.691,126.489,124.304,124.331,4333805.0
2020-09-30,125.084,126.172,124.096,125.637,7060713.0
2020-10-01,126.398,127.676,124.628,127.631,6483894.0
2020-10-02,126.253,126.824,123.461,125.147,5130582.0
2020-10-03,126.253,126.824,123.461,125.147,5130582.0
2020-10-04,126.253,126.824,123.461,125.147,5130582.0
2020-10-05,125.193,125.437,124.168,125.029,4519821.0
2020-10-06,125.093,125.836,122.509,123.008,5031019.0
2020-10-07,123.226,124.658,123.062,124.196,4347287.0
2020-10-08,124.44,125.211,123.969,124.957,2977598.0
2020-10-09,125.727,126.235,124.998,125.492,3194022.0
2020-10-10,125.727,126.235,124.998,125.492,3194022.0
2020-10-11,125.727,126.235,124.998,125.492,3194022.0
2020-10-12,127.921,130.069,126.706,128.837,6167150.0
2020-10-13,128.918,130.532,128.637,130.115,4293198.0
2020-10-14,130.124,130.631,128.379,129.19,3641327.0
2020-10-15,127.957,128.692,127.468,128.202,3307718.0
2020-10-16,128.492,129.462,127.93,128.474,5076139.0
2020-10-17,128.492,129.462,127.93,128.474,5076139.0
2020-10-18,128.492,129.462,127.93,128.474,5076139.0
2020-10-19,128.121,129.199,126.226,126.616,3223384.0
2020-10-20,127.812,128.007,126.368,126.643,2751622.0
2020-10-21,126.618,127.341,126.09,126.543,2560061.0
2020-10-22,126.725,127.087,126.008,126.552,2909227.0
2020-10-23,127.105,127.386,126.036,126.507,2758507.0
2020-10-24,127.105,127.386,126.036,126.507,2758507.0
2020-10-25,127.105,127.386,126.036,126.507,2758507.0
2020-10-26,125.764,126.072,123.652,125.147,3431215.0
2020-10-27,125.611,126.806,125.365,126.108,3390825.0
2020-10-28,124.323,124.83,121.413,121.621,5196038.0
2020-10-29,121.245,122.945,119.892,121.458,3856469.0
2020-10-30,120.497,121.322,119.391,120.823,4303971.0
2020-10-31,120.497,121.322,119.391,120.823,4303971.0
2020-11-01,120.497,121.322,119.391,120.823,4303971.0
2020-11-02,122.926,123.488,121.268,122.509,3126408.0
2020-11-03,123.842,125.637,123.534,124.223,3293928.0
2020-11-04,125.999,128.447,124.785,124.966,4576320.0
2020-11-05,126.321,127.151,124.612,125.138,3667806.0
2020-11-06,125.601,126.697,124.486,125.437,2867077.0
2020-11-07,125.601,126.697,124.486,125.437,2867077.0
2020-11-08,125.601,126.697,124.486,125.437,2867077.0
2020-11-09,128.719,130.214,125.247,125.501,6111302.0
2020-11-10,124.177,129.118,123.455,128.465,5284513.0
2020-11-11,129.494,130.749,128.365,130.441,4389762.0
2020-11-12,130.758,131.203,129.408,130.387,2570479.0
2020-11-13,130.323,131.338,129.87,131.175,2580479.0
2020-11-14,130.323,131.338,129.87,131.175,2580479.0
2020-11-15,130.323,131.338,129.87,131.175,2580479.0
2020-11-16,131.438,132.58,131.157,132.127,3398971.0
2020-11-17,130.776,132.435,130.631,131.656,2924071.0
2020-11-18,131.882,132.857,129.897,129.97,4335257.0
2020-11-19,129.516,130.26,129.027,129.915,4263568.0
2020-11-20,130.214,131.109,129.625,130.006,3469179.0
2020-11-21,130.214,131.109,129.625,130.006,3469179.0
2020-11-22,130.214,131.109,129.625,130.006,3469179.0
2020-11-23,129.906,130.214,128.61,129.643,3443855.0
2020-11-24,129.797,130.858,129.462,130.559,4473522.0
2020-11-25,130.94,131.368,130.26,130.677,2278398.0
2020-11-26,130.94,131.368,130.26,130.677,2278398.0
2020-11-27,131.094,131.692,130.695,131.076,1595978.0
2020-11-28,131.094,131.692,130.695,131.076,1595978.0
2020-11-29,131.094,131.692,130.695,131.076,1595978.0
2020-11-30,130.949,131.103,129.516,130.74,4906898.0
2020-12-01,131.465,132.916,130.985,132.408,3999578.0
2020-12-02,132.236,133.197,130.432,131.094,4433005.0
2020-12-03,130.566,132.338,130.566,131.872,4758137.0
2020-12-04,131.342,133.269,131.329,133.15,3592561.0
2020-12-05,131.342,133.269,131.329,133.15,3592561.0
2020-12-06,131.342,133.269,131.329,133.15,3592561.0
2020-12-07,132.995,133.798,132.027,132.712,4217416.0
2020-12-08,132.675,133.433,131.726,132.849,3623756.0
2020-12-09,132.885,133.378,131.712,133.004,3841971.0
2020-12-10,133.324,133.552,131.845,132.073,3985022.0
2020-12-11,131.123,132.465,130.923,132.347,2975473.0
2020-12-12,131.123,132.465,130.923,132.347,2975473.0
2020-12-13,131.123,132.465,130.923,132.347,2975473.0
2020-12-14,132.602,133.716,131.507,131.671,3952380.0
2020-12-15,131.972,132.621,131.361,132.164,3183783.0
2020-12-16,131.443,132.803,131.37,132.274,4915809.0
2020-12-17,132.602,133.47,132.538,133.022,3312453.0
2020-12-18,133.588,134.291,132.826,134.136,8980403.0
2020-12-19,133.588,134.291,132.826,134.136,8980403.0
2020-12-20,133.588,134.291,132.826,134.136,8980403.0
2020-12-21,132.374,132.977,130.977,132.739,3946888.0
2020-12-22,132.009,132.374,130.982,131.479,2653806.0
2020-12-23,131.908,132.922,131.529,131.835,2645127.0
2020-12-24,132.219,132.475,131.589,132.429,883285.0
2020-12-25,132.219,132.475,131.589,132.429,883285.0
2020-12-26,132.219,132.475,131.589,132.429,883285.0
2020-12-27,132.219,132.475,131.589,132.429,883285.0
2020-12-28,133.083,134.748,132.867,134.118,2493497.0
2020-12-29,134.821,135.816,134.054,134.583,3186688.0
2020-12-30,134.629,135.104,134.209,134.483,2224859.0
2020-12-31,134.638,135.533,133.871,135.387,2076825.0
2021-01-01,134.638,135.533,133.871,135.387,2076825.0
2021-01-02,134.638,135.533,133.871,135.387,2076825.0
2021-01-03,134.638,135.533,133.871,135.387,2076825.0
2021-01-04,134.209,134.912,129.581,131.708,7486940.0
2021-01-05,131.525,132.538,130.457,132.1,4126000.0
2021-01-06,129.334,131.096,129.261,130.484,4843265.0
2021-01-07,130.375,130.681,128.855,130.064,4473376.0
2021-01-08,130.064,131.826,129.325,131.625,4312289.0
2021-01-09,130.064,131.826,129.325,131.625,4312289.0
2021-01-10,130.064,131.826,129.325,131.625,4312289.0
2021-01-11,131.489,131.744,129.352,129.717,3902743.0
2021-01-12,129.298,129.631,127.303,129.115,5149996.0
2021-01-13,128.832,130.767,128.722,130.174,4361696.0
2021-01-14,129.161,130.037,128.786,129.416,4724886.0
2021-01-15,129.133,130.183,128.293,129.078,4309077.0
2021-01-16,129.133,130.183,128.293,129.078,4309077.0
2021-01-17,129.133,130.183,128.293,129.078,4309077.0
2021-01-18,129.133,130.183,128.293,129.078,4309077.0
2021-01-19,129.978,130.165,129.124,129.69,5158614.0
2021-01-20,128.759,129.434,127.736,129.024,5019321.0
2021-01-21,128.074,128.531,126.659,127.453,5684273.0
2021-01-22,127.353,127.39,126.194,126.522,4014925.0
2021-01-23,127.353,127.39,126.194,126.522,4014925.0
2021-01-24,127.353,127.39,126.194,126.522,4014925.0
2021-01-25,126.042,128.111,125.6,127.974,3829014.0
2021-01-26,129.005,129.713,127.581,129.453,4242522.0
2021-01-27,128.27,129.937,125.573,126.02,6659804.0
2021-01-28,126.741,128.531,125.765,127.07,5513965.0
2021-01-29,126.087,126.404,124.171,124.678,6778137.0
2021-01-30,126.087,126.404,124.171,124.678,6778137.0
2021-01-31,126.087,126.404,124.171,124.678,6778137.0
2021-02-01,125.052,125.947,124.067,125.052,4185689.0
2021-02-02,125.482,127.376,124.706,126.331,3581697.0
2021-02-03,125.755,126.851,125.135,126.002,3609640.0
2021-02-04,125.755,127.59,125.755,127.517,3860314.0
2021-02-05,128.257,129.745,127.563,128.686,4437864.0
2021-02-06,128.257,129.745,127.563,128.686,4437864.0
2021-02-07,128.257,129.745,127.563,128.686,4437864.0
2021-02-08,128.896,129.462,127.353,128.175,4112165.0
2021-02-09,128.841,128.859,127.344,127.444,3179260.0
2021-02-10,128.832,128.832,124.852,125.71,6966613.0
2021-02-11,125.847,126.171,122.642,123.217,7527981.0
2021-02-12,123.482,123.793,121.83,122.213,5659348.0
2021-02-13,123.482,123.793,121.83,122.213,5659348.0
2021-02-14,123.482,123.793,121.83,122.213,5659348.0
2021-02-15,123.482,123.793,121.83,122.213,5659348.0
2021-02-16,122.844,123.071,121.784,122.679,5180052.0
2021-02-17,122.387,123.309,122.204,122.752,3354067.0
2021-02-18,122.396,123.884,122.25,123.583,3943138.0
2021-02-19,123.254,123.354,120.766,120.972,5414944.0
2021-02-20,123.254,123.354,120.766,120.972,5414944.0
2021-02-21,123.254,123.354,120.766,120.972,5414944.0
2021-02-22,120.543,121.049,119.374,120.497,5792943.0
2021-02-23,121.099,122.642,119.867,121.218,6264268.0
2021-02-24,120.369,120.771,119.776,120.588,4944008.0
2021-02-25,119.913,120.588,118.498,118.68,5702339.0
2021-02-26,119.201,119.474,117.375,117.941,8329044.0
2021-02-27,119.201,119.474,117.375,117.941,8329044.0
2021-02-28,119.201,119.474,117.375,117.941,8329044.0
2021-03-01,119.237,120.479,118.991,119.246,5287738.0
2021-03-02,119.137,120.533,119.027,119.657,5613974.0
2021-03-03,118.499,119.164,117.749,117.895,7505755.0
2021-03-04,118.937,121.238,118.081,118.551,9102794.0
2021-03-05,119.296,122.765,118.882,122.416,10186542.0
2021-03-06,119.296,122.765,118.882,122.416,10186542.0
2021-03-07,119.296,122.765,118.882,122.416,10186542.0
2021-03-08,122.6,123.474,121.459,121.587,8634912.0
2021-03-09,122.333,123.225,121.468,121.698,8930215.0
2021-03-10,121.949,123.741,120.124,122.922,7791665.0
2021-03-11,122.706,123.842,122.48,122.591,4459150.0
2021-03-12,122.498,123.115,122.057,122.425,5275179.0
2021-03-13,122.498,123.115,122.057,122.425,5275179.0
2021-03-14,122.498,123.115,122.057,122.425,5275179.0
2021-03-15,122.903,122.968,121.44,122.416,5389458.0
2021-03-16,122.462,123.842,122.158,123.317,5544740.0
2021-03-17,123.64,123.824,122.738,122.959,6199529.0
2021-03-18,121.799,122.462,120.925,121.956,6476677.0
2021-03-19,121.753,124.238,121.633,123.768,16114414.0
2021-03-20,121.753,124.238,121.633,123.768,16114414.0
2021-03-21,121.753,124.238,121.633,123.768,16114414.0
2021-03-22,124.808,127.173,124.311,126.805,7813395.0
2021-03-23,127.403,128.986,127.155,128.333,6978365.0
2021-03-24,127.919,128.931,127.707,127.734,5082339.0
2021-03-25,128.075,129.06,127.302,128.489,5827777.0
2021-03-26,128.48,131.59,128.029,131.314,6785599.0
2021-03-27,128.48,131.59,128.029,131.314,6785599.0
2021-03-28,128.48,131.59,128.029,131.314,6785599.0
2021-03-29,131.471,133.394,131.052,133.256,6105770.0
2021-03-30,132.216,133.201,130.78,131.167,4372866.0
2021-03-31,131.885,131.894,129.906,130.164,6257943.0
2021-04-01,129.925,130.946,128.931,130.007,4823383.0
2021-04-02,129.925,130.946,128.931,130.007,4823383.0
2021-04-03,129.925,130.946,128.931,130.007,4823383.0
2021-04-04,129.925,130.946,128.931,130.007,4823383.0
2021-04-05,130.532,132.823,130.044,131.737,5980728.0
2021-04-06,131.627,132.694,131.185,132.207,4751927.0
2021-04-07,132.51,132.602,131.609,131.967,4849222.0
2021-04-08,132.216,132.658,130.716,131.167,6725340.0
2021-04-09,130.886,131.719,130.311,131.194,4950949.0
2021-04-10,130.886,131.719,130.311,131.194,4950949.0
2021-04-11,130.886,131.719,130.311,131.194,4950949.0
2021-04-12,130.854,132.023,130.716,131.609,4386781.0
2021-04-13,130.734,132.483,130.55,131.636,5283265.0
2021-04-14,131.194,131.333,129.971,130.771,4685255.0
2021-04-15,130.366,131.682,130.136,130.955,4777098.0
2021-04-16,132.013,132.805,131.093,132.658,6481399.0
2021-04-17,132.013,132.805,131.093,132.658,6481399.0
2021-04-18,132.013,132.805,131.093,132.658,6481399.0
2021-04-19,132.961,133.983,131.829,133.201,6621282.0
2021-04-20,132.63,134.949,132.446,134.084,4999846.0
2021-04-21,135.588,136.007,134.544,135.253,6316148.0
2021-04-22,134.572,134.95,133.78,134.415,4904476.0
