,NKE US Equity,NKE US Equity,NKE US Equity,NKE US Equity,NKE US Equity
2020-03-08,84.7851,85.7734,82.4054,84.7851,12336707.0
2020-03-09,78.5768,83.2306,77.6461,80.707,13272738.0
2020-03-10,83.1826,84.8234,79.5268,84.7275,12755879.0
2020-03-11,80.6015,81.2012,78.7495,80.6015,16172670.0
2020-03-12,75.0649,75.3144,70.0465,71.198,21534806.0
2020-03-13,75.0361,75.0361,68.8567,72.5221,21859583.0
2020-03-14,75.0361,75.0361,68.8567,72.5221,21859583.0
2020-03-15,75.0361,75.0361,68.8567,72.5221,21859583.0
2020-03-16,62.6388,70.0177,60.8061,64.0878,17976683.0
2020-03-17,64.7786,70.3631,59.8754,67.0144,17122099.0
2020-03-18,62.1687,65.5654,57.5725,65.2872,19498805.0
2020-03-19,64.3276,69.7682,61.5546,67.4941,16177152.0
2020-03-20,68.6168,71.0636,64.4812,64.721,15761860.0
2020-03-21,68.6168,71.0636,64.4812,64.721,15761860.0
2020-03-22,68.6168,71.0636,64.4812,64.721,15761860.0
2020-03-23,62.3702,64.1741,58.129,60.2592,17689998.0
2020-03-24,63.0419,69.7203,61.4106,69.4036,18849461.0
2020-03-25,76.8688,80.112,73.117,75.8133,27053246.0
2020-03-26,76.9264,83.3457,76.7729,80.8893,17204691.0
2020-03-27,78.3945,82.2711,76.2931,79.8626,14183379.0
2020-03-28,78.3945,82.2711,76.2931,79.8626,14183379.0
2020-03-29,78.3945,82.2711,76.2931,79.8626,14183379.0
2020-03-30,80.6015,82.4822,78.2026,81.9256,10960126.0
2020-03-31,81.6857,82.2615,79.0662,79.3924,9618581.0
2020-04-01,76.2739,77.8955,75.3528,76.0244,9771306.0
2020-04-02,75.8037,78.2986,74.0382,76.8976,12731460.0
2020-04-03,76.1492,76.5618,74.7531,75.6694,8476870.0
2020-04-04,76.1492,76.5618,74.7531,75.6694,8476870.0
2020-04-05,76.1492,76.5618,74.7531,75.6694,8476870.0
2020-04-06,78.596,81.5994,77.9243,81.206,11266497.0
2020-04-07,85.1113,85.2744,80.6302,80.755,10468058.0
2020-04-08,81.2731,82.2998,80.2272,81.8489,6642735.0
2020-04-09,83.1826,83.8539,81.7145,83.2786,7773978.0
2020-04-10,83.1826,83.8539,81.7145,83.2786,7773978.0
2020-04-11,83.1826,83.8539,81.7145,83.2786,7773978.0
2020-04-12,83.1826,83.8539,81.7145,83.2786,7773978.0
2020-04-13,82.3286,82.5109,80.7358,81.0428,5077961.0
2020-04-14,82.4726,84.2189,82.0216,83.9311,6397244.0
2020-04-15,81.4363,82.4006,80.3232,81.5994,8053875.0
2020-04-16,81.9736,83.0291,81.1292,82.8084,9373831.0
2020-04-17,85.3992,86.5986,84.7851,86.2723,8111384.0
2020-04-18,85.3992,86.5986,84.7851,86.2723,8111384.0
2020-04-19,85.3992,86.5986,84.7851,86.2723,8111384.0
2020-04-20,84.8522,85.8214,83.979,84.3437,7244372.0
2020-04-21,82.5109,83.3841,81.6474,81.7529,6596992.0
2020-04-22,83.4609,85.8214,82.9235,85.1785,6463929.0
2020-04-23,85.3416,85.9077,83.7296,83.8159,5343535.0
2020-04-24,85.2936,85.5143,84.099,84.7946,4450191.0
2020-04-25,85.2936,85.5143,84.099,84.7946,4450191.0
2020-04-26,85.2936,85.5143,84.099,84.7946,4450191.0
2020-04-27,84.8042,86.234,83.7775,85.7542,6875240.0
2020-04-28,86.8864,87.04,85.0441,85.2073,5145355.0
2020-04-29,86.3587,87.6925,84.2765,84.5068,9461406.0
2020-04-30,83.4801,84.4396,83.0051,83.6528,9371430.0
2020-05-01,82.2039,82.6213,81.3787,82.0791,6151242.0
2020-05-02,82.2039,82.6213,81.3787,82.0791,6151242.0
2020-05-03,82.2039,82.6213,81.3787,82.0791,6151242.0
2020-05-04,81.2539,82.3286,80.8989,82.2807,6349037.0
2020-05-05,83.0387,84.9434,82.5493,83.672,6321466.0
2020-05-06,84.4876,85.1017,83.8927,84.8618,7342304.0
2020-05-07,85.783,86.589,84.7994,84.977,4566317.0
2020-05-08,86.4642,86.9728,85.9628,86.8001,5489391.0
2020-05-09,86.4642,86.9728,85.9628,86.8001,5489391.0
2020-05-10,86.4642,86.9728,85.9628,86.8001,5489391.0
2020-05-11,85.831,87.7212,85.5335,87.2511,4937550.0
2020-05-12,87.8268,87.9611,84.5835,84.6891,5622578.0
2020-05-13,83.8447,84.1901,81.7529,82.5397,6739827.0
2020-05-14,81.561,83.0771,80.707,83.0483,7431774.0
2020-05-15,81.8009,83.7008,81.4458,83.4705,9164990.0
2020-05-16,81.8009,83.7008,81.4458,83.4705,9164990.0
2020-05-17,81.8009,83.7008,81.4458,83.4705,9164990.0
2020-05-18,86.8289,87.894,86.2436,87.3566,8519615.0
2020-05-19,87.1743,90.0241,87.1455,87.8076,6514141.0
2020-05-20,89.4292,90.0625,88.9495,89.1893,6346990.0
2020-05-21,89.1222,90.5615,88.6328,90.4463,7504258.0
2020-05-22,90.5999,90.8206,89.5732,89.957,4049578.0
2020-05-23,90.5999,90.8206,89.5732,89.957,4049578.0
2020-05-24,90.5999,90.8206,89.5732,89.957,4049578.0
2020-05-25,90.5999,90.8206,89.5732,89.957,4049578.0
2020-05-26,92.0968,93.4881,91.4251,92.7109,7185192.0
2020-05-27,94.1502,95.9445,93.6704,95.8294,7915885.0
2020-05-28,96.0405,96.6162,94.2749,94.4764,7262328.0
2020-05-29,94.4523,95.472,93.2403,94.8275,10333350.0
2020-05-30,94.4523,95.472,93.2403,94.8275,10333350.0
2020-05-31,94.4523,95.472,93.2403,94.8275,10333350.0
2020-06-01,94.6543,95.9818,94.1638,95.751,4299739.0
2020-06-02,95.6355,97.0399,95.0584,96.9053,10798734.0
2020-06-03,97.4055,100.5702,97.2708,100.147,5867680.0
2020-06-04,99.7141,99.9482,96.6455,97.4247,8775038.0
2020-06-05,100.0412,100.7049,98.2376,98.8003,8363601.0
2020-06-06,100.0412,100.7049,98.2376,98.8003,8363601.0
2020-06-07,100.0412,100.7049,98.2376,98.8003,8363601.0
2020-06-08,99.1273,100.3298,98.8003,100.3201,6165363.0
2020-06-09,98.9061,99.8199,98.5309,98.7233,5385911.0
2020-06-10,99.0792,99.2235,97.8409,98.2327,5194156.0
2020-06-11,94.6351,95.2219,91.2683,91.5473,10976922.0
2020-06-12,94.0772,94.0772,91.1338,92.7593,7416393.0
2020-06-13,94.0772,94.0772,91.1338,92.7593,7416393.0
2020-06-14,94.0772,94.0772,91.1338,92.7593,7416393.0
2020-06-15,90.3256,94.3465,89.8832,94.1157,8647885.0
2020-06-16,97.3959,97.4824,94.0002,95.27,6056391.0
2020-06-17,95.2315,96.4243,95.1257,95.4335,3405545.0
2020-06-18,94.9333,95.6355,94.1253,94.7024,4392371.0
2020-06-19,96.1646,96.1742,92.1341,92.1341,10302896.0
2020-06-20,96.1646,96.1742,92.1341,92.1341,10302896.0
2020-06-21,96.1646,96.1742,92.1341,92.1341,10302896.0
2020-06-22,93.1633,95.751,92.3613,95.7221,6918184.0
2020-06-23,97.2997,98.3289,96.8764,98.0404,6498975.0
2020-06-24,97.0977,97.973,94.3561,96.2704,8611585.0
2020-06-25,95.4528,97.8095,95.0391,97.5401,11531396.0
2020-06-26,94.7505,95.0199,90.0082,90.1044,24918523.0
2020-06-27,94.7505,95.0199,90.0082,90.1044,24918523.0
2020-06-28,94.7505,95.0199,90.0082,90.1044,24918523.0
2020-06-29,90.1333,92.3457,90.1333,92.2207,9624172.0
2020-06-30,92.3457,94.5582,91.9994,94.3177,9065532.0
2020-07-01,94.7505,94.9575,93.4135,93.6924,5733768.0
2020-07-02,95.0199,95.8664,94.2888,94.6832,5355296.0
2020-07-03,95.0199,95.8664,94.2888,94.6832,5355296.0
2020-07-04,95.0199,95.8664,94.2888,94.6832,5355296.0
2020-07-05,95.0199,95.8664,94.2888,94.6832,5355296.0
2020-07-06,95.8279,96.2223,95.27,96.1453,4995015.0
2020-07-07,95.4431,95.7606,93.2307,93.375,6352887.0
2020-07-08,93.7886,95.2123,93.2692,95.0776,5634590.0
2020-07-09,94.7986,95.1449,92.7016,93.298,6282261.0
2020-07-10,93.3076,94.3177,92.0764,94.26,3967111.0
2020-07-11,93.3076,94.3177,92.0764,94.26,3967111.0
2020-07-12,93.3076,94.3177,92.0764,94.26,3967111.0
2020-07-13,94.5101,95.1738,92.5958,92.7882,4845621.0
2020-07-14,92.6631,93.5481,91.8744,93.0768,4850623.0
2020-07-15,94.664,95.27,93.6058,94.789,5343651.0
2020-07-16,93.7886,94.4908,93.3461,93.5577,3595025.0
2020-07-17,93.2595,93.5289,92.3842,92.615,7406714.0
2020-07-18,93.2595,93.5289,92.3842,92.615,7406714.0
2020-07-19,93.2595,93.5289,92.3842,92.615,7406714.0
2020-07-20,91.8647,92.6824,91.4896,92.009,5822281.0
2020-07-21,93.2307,95.2315,92.4419,94.6159,5857099.0
2020-07-22,94.4235,95.2219,94.183,95.1449,4097303.0
2020-07-23,94.6062,96.3666,94.0002,94.5582,4530464.0
2020-07-24,94.4042,95.5778,93.9817,94.6832,5638435.0
2020-07-25,94.4042,95.5778,93.9817,94.6832,5638435.0
2020-07-26,94.4042,95.5778,93.9817,94.6832,5638435.0
2020-07-27,93.2692,94.6543,93.2018,93.5096,4273442.0
2020-07-28,93.2595,93.7597,92.4996,92.6054,3822584.0
2020-07-29,92.7593,93.8367,92.6295,93.2788,6872745.0
2020-07-30,92.7978,93.5289,92.1499,93.1345,4018367.0
2020-07-31,93.2018,93.9329,92.6343,93.8944,5510394.0
2020-08-01,93.2018,93.9329,92.6343,93.8944,5510394.0
2020-08-02,93.2018,93.9329,92.6343,93.8944,5510394.0
2020-08-03,94.2984,95.5105,94.0964,94.587,5474074.0
2020-08-04,94.0676,94.2215,92.8748,93.6251,7539319.0
2020-08-05,93.4231,97.3959,93.3846,97.0977,7227111.0
2020-08-06,96.8091,97.3285,96.2223,96.6263,4061160.0
2020-08-07,97.1554,98.0307,96.0876,97.9826,5545605.0
2020-08-08,97.1554,98.0307,96.0876,97.9826,5545605.0
2020-08-09,97.1554,98.0307,96.0876,97.9826,5545605.0
2020-08-10,98.5694,102.7635,98.5021,101.3975,12677962.0
2020-08-11,102.7827,103.2443,100.8684,101.1185,5400716.0
2020-08-12,101.6957,101.8592,99.4448,101.2147,4715042.0
2020-08-13,101.2917,102.9174,101.1955,102.4653,4281727.0
2020-08-14,102.0805,102.7154,101.4456,102.3787,2985847.0
2020-08-15,102.0805,102.7154,101.4456,102.3787,2985847.0
2020-08-16,102.0805,102.7154,101.4456,102.3787,2985847.0
2020-08-17,102.446,102.446,101.1137,101.638,3017135.0
2020-08-18,102.4075,102.927,101.4552,102.8981,5023006.0
2020-08-19,103.5907,105.5146,103.2637,104.2641,9508077.0
2020-08-20,103.4657,104.6007,103.2637,103.8985,4304290.0
2020-08-21,103.8889,105.5915,103.6484,105.5723,5563994.0
2020-08-22,103.8889,105.5915,103.6484,105.5723,5563994.0
2020-08-23,103.8889,105.5915,103.6484,105.5723,5563994.0
2020-08-24,105.8128,107.7367,105.7166,107.5731,8173259.0
2020-08-25,107.7367,108.006,106.8613,107.2653,4380921.0
2020-08-26,107.6597,107.8232,107.0537,107.2845,4477854.0
2020-08-27,107.727,108.4966,106.2938,106.6208,4391019.0
2020-08-28,107.0209,108.6212,106.5967,108.2549,3731407.0
2020-08-29,107.0209,108.6212,106.5967,108.2549,3731407.0
2020-08-30,107.0209,108.6212,106.5967,108.2549,3731407.0
2020-08-31,108.1102,108.4766,107.1462,107.8692,3519833.0
2020-09-01,107.9753,110.7711,107.8114,110.7132,4913969.0
2020-09-02,110.9253,113.1909,110.3854,112.6028,6775355.0
2020-09-03,112.6028,112.6992,107.9753,108.7947,7264372.0
2020-09-04,108.9008,109.6624,106.2496,108.3609,5157736.0
2020-09-05,108.9008,109.6624,106.2496,108.3609,5157736.0
2020-09-06,108.9008,109.6624,106.2496,108.3609,5157736.0
2020-09-07,108.9008,109.6624,106.2496,108.3609,5157736.0
2020-09-08,107.2908,109.7492,106.5677,108.6694,5300108.0
2020-09-09,108.9586,112.034,108.7755,110.7711,5997890.0
2020-09-10,111.7351,113.9785,109.901,110.665,5033067.0
2020-09-11,112.5642,114.9647,112.2364,113.7597,8565234.0
2020-09-12,112.5642,114.9647,112.2364,113.7597,8565234.0
2020-09-13,112.5642,114.9647,112.2364,113.7597,8565234.0
2020-09-14,114.2417,115.6203,113.9236,114.9937,4990315.0
2020-09-15,115.3986,116.1505,114.8973,114.984,5934181.0
2020-09-16,114.0585,115.3889,113.9139,114.3285,7027588.0
2020-09-17,113.1234,114.2899,111.6387,112.1786,7376390.0
2020-09-18,111.282,113.6729,110.3758,110.5397,12876565.0
2020-09-19,111.282,113.6729,110.3758,110.5397,12876565.0
2020-09-20,111.282,113.6729,110.3758,110.5397,12876565.0
2020-09-21,108.8911,109.9613,107.7246,109.296,8486367.0
2020-09-22,109.0358,112.9884,108.7947,112.6703,13007208.0
2020-09-23,125.5405,125.6948,120.7588,122.5423,37822653.0
2020-09-24,121.8964,122.9568,118.8692,120.2671,13485768.0
2020-09-25,119.2066,120.2671,117.8762,119.7658,9182784.0
2020-09-26,119.2066,120.2671,117.8762,119.7658,9182784.0
2020-09-27,119.2066,120.2671,117.8762,119.7658,9182784.0
2020-09-28,120.6624,121.6554,119.4332,119.8526,7524978.0
2020-09-29,119.8718,122.5327,119.5055,121.8096,7799668.0
2020-09-30,121.5686,122.7062,120.6669,121.0287,8699679.0
2020-10-01,123.14,123.14,120.807,122.0892,5637175.0
2020-10-02,119.8815,122.2434,119.1488,122.0892,7491067.0
2020-10-03,119.8815,122.2434,119.1488,122.0892,7491067.0
2020-10-04,119.8815,122.2434,119.1488,122.0892,7491067.0
2020-10-05,122.5037,123.8824,121.906,123.3136,8270269.0
2020-10-06,124.2101,125.7526,122.6921,123.0629,5978001.0
2020-10-07,123.7859,125.7237,123.6413,125.3863,4390483.0
2020-10-08,125.7141,126.224,124.8561,125.0489,3595578.0
2020-10-09,125.3188,126.4757,124.6781,126.2732,4293374.0
2020-10-10,125.3188,126.4757,124.6781,126.2732,4293374.0
2020-10-11,125.3188,126.4757,124.6781,126.2732,4293374.0
2020-10-12,126.4757,126.6203,124.615,124.8079,5136511.0
2020-10-13,123.4485,125.2031,123.3618,124.5572,4245130.0
2020-10-14,124.8753,124.9428,122.4459,123.0725,3587295.0
2020-10-15,121.9349,124.4607,121.5782,124.3644,4236054.0
2020-10-16,124.8561,125.5116,122.9665,123.4003,6011173.0
2020-10-17,124.8561,125.5116,122.9665,123.4003,6011173.0
2020-10-18,124.8561,125.5116,122.9665,123.4003,6011173.0
2020-10-19,124.4608,125.1164,122.4845,122.8508,5160899.0
2020-10-20,123.4003,125.232,123.1304,123.8727,3800038.0
2020-10-21,123.8824,126.6589,123.8341,124.7789,4916342.0
2020-10-22,124.9428,125.5791,124.2295,125.3477,2870984.0
2020-10-23,125.3284,125.9069,124.027,125.3188,4046580.0
2020-10-24,125.3284,125.9069,124.027,125.3188,4046580.0
2020-10-25,125.3284,125.9069,124.027,125.3188,4046580.0
2020-10-26,124.4222,124.9621,122.1278,123.757,5422455.0
2020-10-27,124.1523,124.8368,123.3039,123.3907,2985686.0
2020-10-28,120.7781,121.8578,116.6904,117.6931,8618312.0
2020-10-29,117.8859,119.7272,116.7965,118.445,4947049.0
2020-10-30,119.2163,119.2163,114.5309,115.7649,7792405.0
2020-10-31,119.2163,119.2163,114.5309,115.7649,7792405.0
2020-11-01,119.2163,119.2163,114.5309,115.7649,7792405.0
2020-11-02,117.9726,119.6405,116.7483,117.9919,4740373.0
2020-11-03,119.5537,120.9902,118.7632,120.1129,3490891.0
2020-11-04,120.8263,124.2969,120.7588,122.764,5061798.0
2020-11-05,124.5476,125.7237,123.8438,125.0392,3940003.0
2020-11-06,125.2417,125.2417,123.7355,124.268,2954049.0
2020-11-07,125.2417,125.2417,123.7355,124.268,2954049.0
2020-11-08,125.2417,125.2417,123.7355,124.268,2954049.0
2020-11-09,130.2066,131.4503,124.138,124.3162,7491728.0
2020-11-10,125.3767,125.4393,121.7132,123.1207,8014744.0
2020-11-11,124.0655,125.1342,122.6098,123.0725,6058668.0
2020-11-12,122.0699,123.2447,121.1107,122.0892,4797416.0
2020-11-13,123.3136,123.9788,122.2724,123.6703,3986719.0
2020-11-14,123.3136,123.9788,122.2724,123.6703,3986719.0
2020-11-15,123.3136,123.9788,122.2724,123.6703,3986719.0
2020-11-16,124.8079,125.6369,122.793,125.4345,6116435.0
2020-11-17,125.7912,127.835,124.4704,127.459,7002945.0
2020-11-18,128.2881,129.1654,126.8035,126.8999,5573008.0
2020-11-19,127.1795,127.3626,125.261,127.1698,4642765.0
2020-11-20,128.5099,128.7316,127.1698,128.2014,4320046.0
2020-11-21,128.5099,128.7316,127.1698,128.2014,4320046.0
2020-11-22,128.5099,128.7316,127.1698,128.2014,4320046.0
2020-11-23,129.5511,130.0427,128.3074,129.31,6119342.0
2020-11-24,130.1488,131.1032,129.3872,129.8596,7205789.0
2020-11-25,129.4257,130.9199,128.8184,130.6694,4484836.0
2020-11-26,129.4257,130.9199,128.8184,130.6694,4484836.0
2020-11-27,131.1128,131.2382,128.5484,129.4257,3506832.0
2020-11-28,131.1128,131.2382,128.5484,129.4257,3506832.0
2020-11-29,131.1128,131.2382,128.5484,129.4257,3506832.0
2020-11-30,129.0979,130.4284,127.9218,129.8596,9652509.0
2020-12-01,131.537,131.5949,129.9078,130.573,3834460.0
2020-12-02,130.303,131.4213,129.8306,130.7079,4132965.0
2020-12-03,130.2452,132.9928,130.1488,132.0383,4930860.0
2020-12-04,132.4199,132.729,131.0289,132.5262,4344036.0
2020-12-05,132.4199,132.729,131.0289,132.5262,4344036.0
2020-12-06,132.4199,132.729,131.0289,132.5262,4344036.0
2020-12-07,132.3426,134.1394,132.1494,134.0332,4590776.0
2020-12-08,133.5405,135.6631,132.9706,134.3906,6953582.0
2020-12-09,135.7913,135.7913,133.5695,134.0718,4341305.0
2020-12-10,133.5791,134.4099,132.5745,132.9029,4511003.0
2020-12-11,132.7194,133.4439,131.5988,132.7387,4172439.0
2020-12-12,132.7194,133.4439,131.5988,132.7387,4172439.0
2020-12-13,132.7194,133.4439,131.5988,132.7387,4172439.0
2020-12-14,134.1974,134.2747,131.5698,131.6471,7598952.0
2020-12-15,132.758,134.6997,132.5833,134.6514,7642595.0
2020-12-16,134.3423,135.714,132.787,133.6371,6573449.0
2020-12-17,135.1634,135.9555,134.0332,135.7237,8726997.0
2020-12-18,136.2936,136.3419,132.5069,132.6131,17970788.0
2020-12-19,136.2936,136.3419,132.5069,132.6131,17970788.0
2020-12-20,136.2936,136.3419,132.5069,132.6131,17970788.0
2020-12-21,139.8968,142.9204,137.6653,139.124,16111271.0
2020-12-22,138.187,138.5927,136.2936,137.6074,6341604.0
2020-12-23,137.7136,138.7183,136.8829,136.9408,3388279.0
2020-12-24,136.3033,137.3562,136.3033,136.7863,1821900.0
2020-12-25,136.3033,137.3562,136.3033,136.7863,1821900.0
2020-12-26,136.3033,137.3562,136.3033,136.7863,1821900.0
2020-12-27,136.3033,137.3562,136.3033,136.7863,1821900.0
2020-12-28,137.6943,138.0614,136.249,137.5881,4081534.0
2020-12-29,137.9745,138.1966,135.656,136.7573,3232430.0
2020-12-30,137.3272,137.7619,135.8782,136.7669,3052122.0
2020-12-31,136.8829,136.9698,135.5981,136.6607,2949915.0
2021-01-01,136.8829,136.9698,135.5981,136.6607,2949915.0
2021-01-02,136.8829,136.9698,135.5981,136.6607,2949915.0
2021-01-03,136.8829,136.9698,135.5981,136.6607,2949915.0
2021-01-04,137.9938,138.1097,133.6178,135.3373,6178517.0
2021-01-05,133.8883,136.8442,133.8883,136.4288,4163149.0
2021-01-06,136.4482,138.6892,134.7866,137.5108,6072939.0
2021-01-07,138.3319,140.6889,138.1387,140.0224,5256940.0
2021-01-08,140.602,141.8288,139.9742,141.3748,3950741.0
2021-01-09,140.602,141.8288,139.9742,141.3748,3950741.0
2021-01-10,140.602,141.8288,139.9742,141.3748,3950741.0
2021-01-11,141.0367,142.0993,139.8781,142.051,4254143.0
2021-01-12,141.5197,141.8578,139.4718,140.119,3678834.0
2021-01-13,139.9065,140.1929,137.5881,138.1773,3330127.0
2021-01-14,138.7762,139.9741,136.139,136.4965,4104024.0
2021-01-15,135.7816,137.5398,135.1247,135.9362,6412351.0
2021-01-16,135.7816,137.5398,135.1247,135.9362,6412351.0
2021-01-17,135.7816,137.5398,135.1247,135.9362,6412351.0
2021-01-18,135.7816,137.5398,135.1247,135.9362,6412351.0
2021-01-19,136.197,136.4159,133.7047,134.5355,6537800.0
2021-01-20,135.6077,138.3415,135.2503,137.9455,4654404.0
2021-01-21,137.5687,138.924,136.3274,136.7959,4013667.0
2021-01-22,136.2936,137.0568,134.5741,134.6128,4150453.0
2021-01-23,136.2936,137.0568,134.5741,134.6128,4150453.0
2021-01-24,136.2936,137.0568,134.5741,134.6128,4150453.0
2021-01-25,134.265,134.4485,130.1595,132.874,5998739.0
2021-01-26,133.0768,133.1589,130.1342,130.5072,5312341.0
2021-01-27,127.7251,128.3434,125.8383,126.5659,7815862.0
2021-01-28,127.8604,131.7341,127.0296,130.1402,6244598.0
2021-01-29,129.3963,130.4348,127.6575,129.0486,7166051.0
2021-01-30,129.3963,130.4348,127.6575,129.0486,7166051.0
2021-01-31,129.3963,130.4348,127.6575,129.0486,7166051.0
2021-02-01,130.7681,131.4249,128.7684,131.0965,4366833.0
2021-02-02,132.4006,135.1054,132.1011,134.8446,7132823.0
2021-02-03,134.9509,135.2986,133.3183,133.9172,4678553.0
2021-02-04,134.806,136.255,134.1974,135.8492,4533707.0
2021-02-05,136.5351,140.623,136.4868,140.1769,6151478.0
2021-02-06,136.5351,140.623,136.4868,140.1769,6151478.0
2021-02-07,136.5351,140.623,136.4868,140.1769,6151478.0
2021-02-08,140.2156,140.9208,137.9455,138.5347,6304300.0
2021-02-09,138.7183,139.3172,136.8829,136.9698,3436347.0
2021-02-10,137.6074,137.7523,136.1101,137.617,4125714.0
2021-02-11,138.1387,139.4428,137.5687,138.6603,3828731.0
2021-02-12,138.2449,138.5734,136.5931,137.2886,3636966.0
2021-02-13,138.2449,138.5734,136.5931,137.2886,3636966.0
2021-02-14,138.2449,138.5734,136.5931,137.2886,3636966.0
2021-02-15,138.2449,138.5734,136.5931,137.2886,3636966.0
2021-02-16,138.4961,138.4961,136.2356,136.8925,4873364.0
2021-02-17,136.4965,139.6456,135.4435,139.095,6438432.0
2021-02-18,138.1194,140.4474,136.4095,140.1576,4487139.0
2021-02-19,140.4861,140.5537,136.6897,137.192,7485950.0
2021-02-20,140.4861,140.5537,136.6897,137.192,7485950.0
2021-02-21,140.4861,140.5537,136.6897,137.192,7485950.0
2021-02-22,136.7283,137.617,131.6278,132.0239,8985889.0
2021-02-23,131.4056,132.1784,127.1069,131.5022,10364140.0
2021-02-24,130.4686,131.338,129.3963,131.0385,6360911.0
2021-02-25,132.9223,134.4485,129.9566,130.9323,5674302.0
2021-02-26,131.547,132.4665,129.0883,130.4628,6650210.0
2021-02-27,131.547,132.4665,129.0883,130.4628,6650210.0
2021-02-28,131.547,132.4665,129.0883,130.4628,6650210.0
