,AAWW US Equity,AAWW US Equity,AAWW US Equity,AAWW US Equity,AAWW US Equity
2019-04-01,51.21,51.7962,51.015,51.36,206172.0
2019-04-02,51.6,51.64,50.1,50.55,326362.0
2019-04-03,51.04,51.97,50.3,50.45,282578.0
2019-04-04,50.54,51.46,50.03,50.89,284913.0
2019-04-05,50.88,51.115,50.14,50.49,281802.0
2019-04-06,50.88,51.115,50.14,50.49,281802.0
2019-04-07,50.88,51.115,50.14,50.49,281802.0
2019-04-08,50.39,50.73,50.13,50.49,184769.0
2019-04-09,50.2,50.21,48.64,49.11,295576.0
2019-04-10,49.4,49.72,48.37,49.49,188865.0
2019-04-11,49.69,50.42,49.52,50.21,188405.0
2019-04-12,50.66,51.86,50.35,51.6,616673.0
2019-04-13,50.66,51.86,50.35,51.6,616673.0
2019-04-14,50.66,51.86,50.35,51.6,616673.0
2019-04-15,51.56,51.99,49.58,49.73,195075.0
2019-04-16,49.69,50.29,48.72,50.1,258096.0
2019-04-17,50.51,50.6453,49.56,49.92,150470.0
2019-04-18,50.13,50.55,49.655,50.06,93671.0
2019-04-19,50.13,50.55,49.655,50.06,93671.0
2019-04-20,50.13,50.55,49.655,50.06,93671.0
2019-04-21,50.13,50.55,49.655,50.06,93671.0
2019-04-22,49.79,49.89,48.65,49.07,178328.0
2019-04-23,49.06,50.06,48.6005,49.69,88907.0
2019-04-24,49.69,50.1462,49.17,49.61,198204.0
2019-04-25,49.41,49.52,47.64,47.79,252619.0
2019-04-26,47.71,48.22,47.0,48.15,167694.0
2019-04-27,47.71,48.22,47.0,48.15,167694.0
2019-04-28,47.71,48.22,47.0,48.15,167694.0
2019-04-29,48.31,49.1,47.81,48.92,297923.0
2019-04-30,48.74,49.085,48.0,48.29,204027.0
2019-05-01,47.5,49.66,46.31,47.59,762544.0
2019-05-02,47.08,47.67,44.91,45.91,628975.0
2019-05-03,45.9,47.03,44.95,46.85,494351.0
2019-05-04,45.9,47.03,44.95,46.85,494351.0
2019-05-05,45.9,47.03,44.95,46.85,494351.0
2019-05-06,45.52,45.98,44.82,44.95,316902.0
2019-05-07,44.43,44.61,43.04,43.66,377403.0
2019-05-08,43.41,43.965,43.12,43.13,268075.0
2019-05-09,42.54,42.97,42.06,42.21,204841.0
2019-05-10,41.91,42.65,40.85,41.75,230644.0
2019-05-11,41.91,42.65,40.85,41.75,230644.0
2019-05-12,41.91,42.65,40.85,41.75,230644.0
2019-05-13,40.68,41.51,40.1097,40.48,356860.0
2019-05-14,40.61,41.31,40.57,40.73,240428.0
2019-05-15,40.34,40.3495,39.61,40.26,241181.0
2019-05-16,40.47,41.38,40.3098,41.26,213342.0
2019-05-17,40.72,41.35,39.89,39.9,150261.0
2019-05-18,40.72,41.35,39.89,39.9,150261.0
2019-05-19,40.72,41.35,39.89,39.9,150261.0
2019-05-20,39.54,39.8,38.8844,38.98,177154.0
2019-05-21,39.33,40.48,39.065,40.35,243001.0
2019-05-22,39.95,40.1041,38.8,38.92,237148.0
2019-05-23,38.45,38.4596,37.79,38.06,218527.0
2019-05-24,38.73,39.14,38.59,39.0,215829.0
2019-05-25,38.73,39.14,38.59,39.0,215829.0
2019-05-26,38.73,39.14,38.59,39.0,215829.0
2019-05-27,38.73,39.14,38.59,39.0,215829.0
2019-05-28,39.07,39.455,38.7,38.87,267942.0
2019-05-29,38.54,38.76,37.38,37.51,461155.0
2019-05-30,37.6,38.055,37.04,37.78,351539.0
2019-05-31,37.15,37.2695,35.04,35.39,713334.0
2019-06-01,37.15,37.2695,35.04,35.39,713334.0
2019-06-02,37.15,37.2695,35.04,35.39,713334.0
2019-06-03,35.42,37.09,35.345,37.01,329949.0
2019-06-04,37.6,39.82,37.6,39.7,330502.0
2019-06-05,39.7,39.91,38.42,38.62,338606.0
2019-06-06,38.69,38.82,37.55,37.99,252165.0
2019-06-07,38.19,39.99,38.03,39.88,313232.0
2019-06-08,38.19,39.99,38.03,39.88,313232.0
2019-06-09,38.19,39.99,38.03,39.88,313232.0
2019-06-10,40.27,41.42,40.11,40.3,262625.0
2019-06-11,40.91,41.51,40.42,41.43,450130.0
2019-06-12,41.26,41.43,40.47,40.58,340300.0
2019-06-13,40.92,42.11,40.81,42.1,218426.0
2019-06-14,42.07,42.43,40.3915,40.83,160888.0
2019-06-15,42.07,42.43,40.3915,40.83,160888.0
2019-06-16,42.07,42.43,40.3915,40.83,160888.0
2019-06-17,40.99,41.14,40.17,40.27,246597.0
2019-06-18,40.73,42.22,40.63,41.43,269943.0
2019-06-19,41.43,41.95,40.87,41.77,346793.0
2019-06-20,42.67,42.87,41.63,41.93,220745.0
2019-06-21,41.75,41.82,40.36,40.62,256374.0
2019-06-22,41.75,41.82,40.36,40.62,256374.0
2019-06-23,41.75,41.82,40.36,40.62,256374.0
2019-06-24,40.65,41.41,39.27,39.52,218671.0
2019-06-25,39.5,40.91,38.72,40.41,342886.0
2019-06-26,40.73,42.38,40.73,41.97,246016.0
2019-06-27,42.06,43.62,42.06,43.6,229999.0
2019-06-28,43.98,44.69,43.0,44.64,365259.0
2019-06-29,43.98,44.69,43.0,44.64,365259.0
2019-06-30,43.98,44.69,43.0,44.64,365259.0
2019-07-01,45.27,45.985,43.81,44.03,348971.0
2019-07-02,44.05,44.05,41.31,41.79,326063.0
2019-07-03,41.93,42.4496,41.48,41.63,113021.0
2019-07-04,41.93,42.4496,41.48,41.63,113021.0
2019-07-05,41.43,42.54,41.35,42.32,162558.0
2019-07-06,41.43,42.54,41.35,42.32,162558.0
2019-07-07,41.43,42.54,41.35,42.32,162558.0
2019-07-08,42.17,42.3882,41.16,42.27,231454.0
2019-07-09,42.08,42.43,41.145,41.67,245862.0
2019-07-10,41.85,42.6238,41.0,41.34,137448.0
2019-07-11,41.47,41.47,40.31,41.03,157940.0
2019-07-12,41.1,43.33,41.1,42.88,176770.0
2019-07-13,41.1,43.33,41.1,42.88,176770.0
2019-07-14,41.1,43.33,41.1,42.88,176770.0
2019-07-15,42.81,42.88,41.73,42.34,125246.0
2019-07-16,42.49,43.65,42.32,42.4,183420.0
2019-07-17,42.14,42.22,41.12,41.77,166672.0
2019-07-18,41.63,42.6,41.37,42.55,117136.0
2019-07-19,42.56,43.1,42.49,42.74,171427.0
2019-07-20,42.56,43.1,42.49,42.74,171427.0
2019-07-21,42.56,43.1,42.49,42.74,171427.0
2019-07-22,42.9,43.0,42.16,42.44,134141.0
2019-07-23,42.73,44.12,41.94,43.93,149297.0
2019-07-24,43.83,45.4566,43.83,45.34,146712.0
2019-07-25,45.25,45.3,43.35,43.58,166077.0
2019-07-26,43.8,45.77,43.2547,45.68,210400.0
2019-07-27,43.8,45.77,43.2547,45.68,210400.0
2019-07-28,43.8,45.77,43.2547,45.68,210400.0
2019-07-29,45.56,45.56,43.58,45.02,165352.0
2019-07-30,44.99,46.84,44.48,46.6,244680.0
2019-07-31,46.39,46.84,45.22,45.65,406732.0
2019-08-01,40.69,40.7,33.725,34.41,2439935.0
2019-08-02,34.61,35.1324,32.13,32.75,961256.0
2019-08-03,34.61,35.1324,32.13,32.75,961256.0
2019-08-04,34.61,35.1324,32.13,32.75,961256.0
2019-08-05,32.07,32.72,30.82,31.02,630497.0
2019-08-06,31.63,32.38,29.95,30.48,589666.0
2019-08-07,30.31,30.31,29.18,29.6,506218.0
2019-08-08,29.57,30.92,29.37,30.88,445702.0
2019-08-09,30.79,30.89,29.0,29.08,286445.0
2019-08-10,30.79,30.89,29.0,29.08,286445.0
2019-08-11,30.79,30.89,29.0,29.08,286445.0
2019-08-12,28.97,29.0,27.98,28.0,372655.0
2019-08-13,27.63,29.63,27.38,28.45,407221.0
2019-08-14,27.59,27.86,26.12,26.34,440291.0
2019-08-15,26.35,26.64,26.12,26.37,482384.0
2019-08-16,26.69,27.05,26.41,26.94,233998.0
2019-08-17,26.69,27.05,26.41,26.94,233998.0
2019-08-18,26.69,27.05,26.41,26.94,233998.0
2019-08-19,27.69,27.8495,27.0866,27.45,514340.0
2019-08-20,27.36,27.61,26.46,26.6,366861.0
2019-08-21,26.83,27.27,26.645,26.7,256960.0
2019-08-22,26.78,27.045,26.435,26.63,204682.0
2019-08-23,26.35,26.72,25.34,25.75,699559.0
2019-08-24,26.35,26.72,25.34,25.75,699559.0
2019-08-25,26.35,26.72,25.34,25.75,699559.0
2019-08-26,25.96,26.47,24.78,24.97,476573.0
2019-08-27,25.3,25.39,24.57,24.63,410020.0
2019-08-28,24.53,26.035,24.46,25.65,508988.0
2019-08-29,25.87,26.89,25.87,25.95,309053.0
2019-08-30,26.31,26.64,25.75,25.85,219170.0
2019-08-31,26.31,26.64,25.75,25.85,219170.0
2019-09-01,26.31,26.64,25.75,25.85,219170.0
2019-09-02,26.31,26.64,25.75,25.85,219170.0
2019-09-03,25.4,25.4761,24.7,24.97,381411.0
2019-09-04,25.32,25.52,24.79,25.3,309297.0
2019-09-05,25.67,27.67,25.65,27.33,467832.0
2019-09-06,27.33,27.71,26.8,27.55,195896.0
2019-09-07,27.33,27.71,26.8,27.55,195896.0
2019-09-08,27.33,27.71,26.8,27.55,195896.0
2019-09-09,27.71,29.38,27.71,29.2,504343.0
2019-09-10,29.2,29.75,29.05,29.17,371830.0
2019-09-11,29.39,29.5299,28.3714,29.5,389017.0
2019-09-12,29.45,29.68,28.23,29.34,391559.0
2019-09-13,29.88,30.48,27.01,27.12,1785274.0
2019-09-14,29.88,30.48,27.01,27.12,1785274.0
2019-09-15,29.88,30.48,27.01,27.12,1785274.0
2019-09-16,26.85,28.5,26.75,27.75,408759.0
2019-09-17,26.34,26.8038,25.17,25.73,826551.0
2019-09-18,25.45,25.8,24.73,25.78,745923.0
2019-09-19,25.91,25.923,24.45,24.58,704449.0
2019-09-20,24.52,24.85,23.6,24.53,884826.0
2019-09-21,24.52,24.85,23.6,24.53,884826.0
2019-09-22,24.52,24.85,23.6,24.53,884826.0
2019-09-23,24.65,24.99,24.12,24.8,467188.0
2019-09-24,24.6,25.15,23.73,23.88,493302.0
2019-09-25,23.85,24.9344,23.76,24.74,585804.0
2019-09-26,24.75,24.85,23.94,24.61,387667.0
2019-09-27,24.71,25.64,24.47,24.87,287161.0
2019-09-28,24.71,25.64,24.47,24.87,287161.0
2019-09-29,24.71,25.64,24.47,24.87,287161.0
2019-09-30,24.84,25.53,24.67,25.23,381884.0
2019-10-01,25.4,26.06,23.52,23.59,656820.0
2019-10-02,23.56,23.585,22.81,22.96,453293.0
2019-10-03,22.82,23.26,22.25,22.61,380154.0
2019-10-04,23.05,23.36,22.57,22.945,354851.0
2019-10-05,23.05,23.36,22.57,22.945,354851.0
2019-10-06,23.05,23.36,22.57,22.945,354851.0
2019-10-07,22.73,22.85,21.77,21.91,551321.0
2019-10-08,21.77,21.88,20.8,20.955,677761.0
2019-10-09,21.13,21.35,20.61,21.22,572138.0
2019-10-10,21.44,21.5,20.99,21.27,298454.0
2019-10-11,21.76,22.3,21.05,21.8,846215.0
2019-10-12,21.76,22.3,21.05,21.8,846215.0
2019-10-13,21.76,22.3,21.05,21.8,846215.0
2019-10-14,21.59,22.13,21.24,21.7,508206.0
2019-10-15,21.62,22.34,21.48,22.32,1119910.0
2019-10-16,22.38,22.91,22.185,22.24,486123.0
2019-10-17,22.4,23.12,22.06,22.55,436807.0
2019-10-18,22.41,22.89,22.4,22.64,238223.0
2019-10-19,22.41,22.89,22.4,22.64,238223.0
2019-10-20,22.41,22.89,22.4,22.64,238223.0
2019-10-21,22.97,23.87,22.45,22.56,972524.0
2019-10-22,22.49,23.9238,22.35,23.81,449474.0
2019-10-23,23.88,24.38,23.36,24.26,570869.0
2019-10-24,24.41,24.41,23.27,23.98,429794.0
2019-10-25,23.79,25.6023,23.61,25.52,771134.0
2019-10-26,23.79,25.6023,23.61,25.52,771134.0
2019-10-27,23.79,25.6023,23.61,25.52,771134.0
2019-10-28,25.72,26.33,25.58,25.7,734040.0
2019-10-29,25.42,25.68,23.89,24.02,761427.0
2019-10-30,23.24,23.81,20.84,21.31,1396806.0
2019-10-31,21.35,22.26,21.35,21.93,984235.0
2019-11-01,22.35,23.19,20.93,23.1,918477.0
2019-11-02,22.35,23.19,20.93,23.1,918477.0
2019-11-03,22.35,23.19,20.93,23.1,918477.0
2019-11-04,23.31,25.145,23.27,25.135,994609.0
2019-11-05,25.26,26.86,25.2214,26.25,797580.0
2019-11-06,26.14,26.39,25.6,26.01,435104.0
2019-11-07,26.5,27.06,26.22,26.46,431034.0
2019-11-08,26.2,26.907,26.02,26.69,297292.0
2019-11-09,26.2,26.907,26.02,26.69,297292.0
2019-11-10,26.2,26.907,26.02,26.69,297292.0
2019-11-11,26.22,26.69,25.965,26.3,325163.0
2019-11-12,26.29,26.88,25.86,26.27,289352.0
2019-11-13,25.89,26.15,25.24,25.31,323140.0
2019-11-14,25.29,25.56,24.95,25.115,267201.0
2019-11-15,25.34,25.6119,25.11,25.25,215792.0
2019-11-16,25.34,25.6119,25.11,25.25,215792.0
2019-11-17,25.34,25.6119,25.11,25.25,215792.0
2019-11-18,25.01,25.3,24.59,25.05,394523.0
2019-11-19,25.2,25.33,24.4,25.3,271026.0
2019-11-20,24.93,25.05,24.2,24.39,329754.0
2019-11-21,24.55,24.815,24.06,24.41,245776.0
2019-11-22,24.5,25.15,24.2,25.01,237041.0
2019-11-23,24.5,25.15,24.2,25.01,237041.0
2019-11-24,24.5,25.15,24.2,25.01,237041.0
2019-11-25,25.04,26.23,25.0,26.18,266360.0
2019-11-26,26.17,26.52,25.86,26.23,366164.0
2019-11-27,26.42,26.82,26.245,26.57,233997.0
2019-11-28,26.42,26.82,26.245,26.57,233997.0
2019-11-29,26.42,26.51,25.9,26.09,142006.0
2019-11-30,26.42,26.51,25.9,26.09,142006.0
2019-12-01,26.42,26.51,25.9,26.09,142006.0
2019-12-02,26.06,26.77,24.95,25.07,311527.0
2019-12-03,24.77,24.92,24.15,24.675,304401.0
2019-12-04,25.0,25.7786,24.53,24.77,277581.0
2019-12-05,24.9,25.15,24.3,24.65,230217.0
2019-12-06,25.02,26.1,25.02,26.06,467577.0
2019-12-07,25.02,26.1,25.02,26.06,467577.0
2019-12-08,25.02,26.1,25.02,26.06,467577.0
2019-12-09,25.89,26.6,25.86,26.52,262389.0
2019-12-10,26.6,26.72,26.22,26.3,252794.0
2019-12-11,26.35,26.8,26.12,26.65,219242.0
2019-12-12,26.69,28.47,26.55,28.25,350868.0
2019-12-13,28.2,28.2724,27.365,27.65,269351.0
2019-12-14,28.2,28.2724,27.365,27.65,269351.0
2019-12-15,28.2,28.2724,27.365,27.65,269351.0
2019-12-16,28.0,28.545,27.65,27.78,385124.0
2019-12-17,27.94,28.59,27.88,28.53,332760.0
2019-12-18,28.52,28.52,27.22,27.26,649906.0
2019-12-19,27.34,28.34,27.0675,27.9,255590.0
2019-12-20,28.07,28.075,26.65,27.65,674465.0
2019-12-21,28.07,28.075,26.65,27.65,674465.0
2019-12-22,28.07,28.075,26.65,27.65,674465.0
2019-12-23,27.66,27.885,27.15,27.33,251899.0
2019-12-24,27.4,27.55,27.21,27.42,73585.0
2019-12-25,27.4,27.55,27.21,27.42,73585.0
2019-12-26,27.37,27.8,27.16,27.68,142689.0
2019-12-27,27.87,27.87,26.8,26.87,177791.0
2019-12-28,27.87,27.87,26.8,26.87,177791.0
2019-12-29,27.87,27.87,26.8,26.87,177791.0
2019-12-30,26.94,27.2266,26.42,26.58,242642.0
2019-12-31,26.45,27.68,26.45,27.57,210121.0
2020-01-01,26.45,27.68,26.45,27.57,210121.0
2020-01-02,27.87,28.3,27.05,27.73,226199.0
2020-01-03,27.09,27.765,26.82,27.45,305142.0
2020-01-04,27.09,27.765,26.82,27.45,305142.0
2020-01-05,27.09,27.765,26.82,27.45,305142.0
2020-01-06,27.07,27.57,26.825,27.43,258568.0
2020-01-07,27.07,27.56,26.29,26.37,232318.0
2020-01-08,26.44,27.34,26.44,27.16,228972.0
2020-01-09,27.32,27.38,26.6,26.88,176469.0
2020-01-10,26.9,26.97,26.205,26.5,246954.0
2020-01-11,26.9,26.97,26.205,26.5,246954.0
2020-01-12,26.9,26.97,26.205,26.5,246954.0
2020-01-13,26.59,27.4307,26.31,27.09,202849.0
2020-01-14,27.07,28.47,27.01,27.885,308430.0
2020-01-15,28.17,28.275,27.26,27.52,234682.0
2020-01-16,27.86,28.7,27.7525,27.88,419797.0
2020-01-17,27.98,28.0812,27.18,27.85,220686.0
2020-01-18,27.98,28.0812,27.18,27.85,220686.0
2020-01-19,27.98,28.0812,27.18,27.85,220686.0
2020-01-20,27.98,28.0812,27.18,27.85,220686.0
2020-01-21,27.83,27.95,26.69,27.18,246272.0
2020-01-22,27.36,27.36,25.98,26.305,380860.0
2020-01-23,26.02,26.02,25.2,25.62,406698.0
2020-01-24,25.72,25.74,24.27,24.74,382704.0
2020-01-25,25.72,25.74,24.27,24.74,382704.0
2020-01-26,25.72,25.74,24.27,24.74,382704.0
2020-01-27,23.89,24.63,23.27,23.82,474884.0
2020-01-28,24.04,24.05,23.52,23.69,221608.0
2020-01-29,23.67,24.02,23.12,23.37,414057.0
2020-01-30,23.06,23.4,22.77,22.98,572268.0
2020-01-31,22.77,22.86,22.02,22.35,476477.0
2020-02-01,22.77,22.86,22.02,22.35,476477.0
2020-02-02,22.77,22.86,22.02,22.35,476477.0
2020-02-03,22.65,22.81,21.79,21.92,344196.0
2020-02-04,22.48,22.72,21.78,22.71,435924.0
2020-02-05,23.15,24.89,23.15,24.81,877066.0
2020-02-06,25.01,25.56,24.5,24.65,461165.0
2020-02-07,24.9,27.7143,24.85,27.24,1132104.0
2020-02-08,24.9,27.7143,24.85,27.24,1132104.0
2020-02-09,24.9,27.7143,24.85,27.24,1132104.0
2020-02-10,27.3,27.4754,26.63,26.93,494733.0
2020-02-11,27.27,27.7,26.91,27.08,344446.0
2020-02-12,27.1,27.86,27.03,27.47,330298.0
2020-02-13,27.22,27.6,26.22,26.43,361259.0
2020-02-14,26.39,27.41,26.39,27.31,441144.0
2020-02-15,26.39,27.41,26.39,27.31,441144.0
2020-02-16,26.39,27.41,26.39,27.31,441144.0
2020-02-17,26.39,27.41,26.39,27.31,441144.0
2020-02-18,27.1,27.79,26.93,27.59,426783.0
2020-02-19,27.66,29.79,27.61,29.68,945061.0
2020-02-20,32.04,33.85,31.51,33.22,1195055.0
2020-02-21,32.84,32.96,31.48,31.76,675746.0
2020-02-22,32.84,32.96,31.48,31.76,675746.0
2020-02-23,32.84,32.96,31.48,31.76,675746.0
2020-02-24,30.0,30.17,28.53,28.68,931556.0
2020-02-25,29.01,29.06,25.5,26.26,773169.0
2020-02-26,26.49,26.81,24.28,24.41,871045.0
2020-02-27,24.23,26.28,22.91,25.48,1341390.0
2020-02-28,24.77,26.85,24.77,26.72,1269660.0
2020-02-29,24.77,26.85,24.77,26.72,1269660.0
2020-03-01,24.77,26.85,24.77,26.72,1269660.0
2020-03-02,26.97,27.17,25.41,26.58,781599.0
2020-03-03,26.63,27.635,25.74,25.86,692266.0
2020-03-04,26.22,26.79,25.31,26.3,823192.0
2020-03-05,25.55,25.87,23.77,23.89,651275.0
2020-03-06,23.77,23.895,22.23,22.86,1030548.0
2020-03-07,23.77,23.895,22.23,22.86,1030548.0
2020-03-08,23.77,23.895,22.23,22.86,1030548.0
2020-03-09,21.77,22.56,20.26,20.83,1148463.0
2020-03-10,21.33,21.79,20.0,21.25,829850.0
2020-03-11,20.31,20.6,17.25,17.98,1937745.0
2020-03-12,17.27,17.4,15.37,16.415,1523043.0
2020-03-13,17.65,18.17,14.97,17.9,1518773.0
2020-03-14,17.65,18.17,14.97,17.9,1518773.0
2020-03-15,17.65,18.17,14.97,17.9,1518773.0
2020-03-16,16.0,19.23,15.19,18.71,1220469.0
2020-03-17,19.23,23.95,19.01,23.69,2583017.0
2020-03-18,21.94,23.95,16.415,19.61,1391747.0
2020-03-19,19.55,22.41,18.01,21.89,1168440.0
2020-03-20,22.38,23.86,20.88,22.93,1228824.0
2020-03-21,22.38,23.86,20.88,22.93,1228824.0
2020-03-22,22.38,23.86,20.88,22.93,1228824.0
2020-03-23,23.5,24.52,22.37,24.4,1023305.0
2020-03-24,25.0,26.87,22.98,23.68,1119750.0
2020-03-25,23.74,25.6899,22.61,22.75,682382.0
2020-03-26,23.01,26.17,22.09,24.21,634037.0
2020-03-27,23.06,23.73,21.99,22.17,769739.0
2020-03-28,23.06,23.73,21.99,22.17,769739.0
2020-03-29,23.06,23.73,21.99,22.17,769739.0
2020-03-30,22.59,23.28,21.42,22.19,534036.0
2020-03-31,22.39,26.21,22.35,25.67,793724.0
2020-04-01,24.56,25.7,23.55,23.95,579490.0
2020-04-02,24.51,25.08,23.05,23.5,475485.0
2020-04-03,23.59,24.28,20.0,20.17,792265.0
2020-04-04,23.59,24.28,20.0,20.17,792265.0
2020-04-05,23.59,24.28,20.0,20.17,792265.0
2020-04-06,21.26,22.245,20.75,21.97,618163.0
2020-04-07,22.94,23.6,22.26,23.14,849995.0
2020-04-08,23.55,24.91,23.22,24.47,798984.0
2020-04-09,24.8,26.65,24.32,25.34,792100.0
2020-04-10,24.8,26.65,24.32,25.34,792100.0
2020-04-11,24.8,26.65,24.32,25.34,792100.0
2020-04-12,24.8,26.65,24.32,25.34,792100.0
2020-04-13,25.32,25.48,23.11,24.16,366095.0
2020-04-14,24.84,25.82,24.3453,25.68,475512.0
2020-04-15,24.47,24.8091,23.11,23.89,535816.0
2020-04-16,23.8,24.57,23.36,23.96,437862.0
2020-04-17,24.83,25.91,24.26,24.72,549071.0
2020-04-18,24.83,25.91,24.26,24.72,549071.0
2020-04-19,24.83,25.91,24.26,24.72,549071.0
2020-04-20,24.1,24.83,23.55,24.63,546205.0
2020-04-21,25.12,27.15,24.13,26.93,800571.0
2020-04-22,27.12,28.8,27.12,27.75,743780.0
2020-04-23,28.05,28.46,27.18,27.92,612064.0
2020-04-24,27.99,29.75,27.33,29.72,493879.0
2020-04-25,27.99,29.75,27.33,29.72,493879.0
2020-04-26,27.99,29.75,27.33,29.72,493879.0
2020-04-27,29.94,32.44,29.88,31.44,1258664.0
2020-04-28,32.25,33.0,30.72,31.92,692722.0
2020-04-29,33.0,35.64,32.13,35.1,1271958.0
2020-04-30,34.18,34.38,32.55,32.85,1124290.0
2020-05-01,31.68,31.98,31.0,31.95,552389.0
2020-05-02,31.68,31.98,31.0,31.95,552389.0
2020-05-03,31.68,31.98,31.0,31.95,552389.0
2020-05-04,31.67,33.09,30.53,32.89,848826.0
2020-05-05,33.35,34.14,32.16,33.39,879870.0
