,VRTS US Equity,VRTS US Equity,VRTS US Equity,VRTS US Equity,VRTS US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-09-08,96.5047,98.3343,95.7746,97.2347,55091.0
2019-09-09,97.7273,102.5038,97.3403,102.02,80669.0
2019-09-10,101.8352,106.3741,101.0172,105.1163,82190.0
2019-09-11,105.0371,108.3093,104.8524,108.0191,82907.0
2019-09-12,108.1774,109.2681,105.9079,108.063,85803.0
2019-09-13,108.3797,108.6172,104.1663,104.5181,110763.0
2019-09-14,108.3797,108.6172,104.1663,104.5181,110763.0
2019-09-15,108.3797,108.6172,104.1663,104.5181,110763.0
2019-09-16,103.9639,105.0195,101.8073,104.6765,64532.0
2019-09-17,104.3774,105.301,102.1783,105.1954,95569.0
2019-09-18,105.0547,106.7348,103.744,105.213,71815.0
2019-09-19,105.3098,106.5941,103.1019,104.4565,97196.0
2019-09-20,104.5621,105.1207,101.369,102.0551,172985.0
2019-09-21,104.5621,105.1207,101.369,102.0551,172985.0
2019-09-22,104.5621,105.1207,101.369,102.0551,172985.0
2019-09-23,101.7297,102.2223,98.1144,100.5334,65233.0
2019-09-24,101.026,101.026,96.575,97.4986,91039.0
2019-09-25,97.8681,101.026,96.7597,100.9908,57123.0
2019-09-26,100.2255,100.4494,98.95,99.4954,40916.0
2019-09-27,99.6098,100.2827,98.1056,98.4398,44543.0
2019-09-28,99.6098,100.2827,98.1056,98.4398,44543.0
2019-09-29,99.6098,100.2827,98.1056,98.4398,44543.0
2019-09-30,98.2815,98.7917,96.3198,97.2611,60277.0
2019-10-01,97.2963,97.8329,92.8014,93.0125,72066.0
2019-10-02,91.913,92.6167,89.4588,90.0569,41099.0
2019-10-03,89.7315,89.7315,87.1717,88.3504,33892.0
2019-10-04,88.0602,89.2829,87.075,88.8958,38995.0
2019-10-05,88.0602,89.2829,87.075,88.8958,38995.0
2019-10-06,88.0602,89.2829,87.075,88.8958,38995.0
2019-10-07,88.069,88.6055,86.9254,87.3916,55801.0
2019-10-08,85.4477,85.4477,81.9643,82.0083,59627.0
2019-10-09,82.4217,82.6856,78.4809,78.7009,63131.0
2019-10-10,79.211,79.8004,77.3022,77.6805,79595.0
2019-10-11,79.1583,81.3574,78.7624,79.9587,151619.0
2019-10-12,79.1583,81.3574,78.7624,79.9587,151619.0
2019-10-13,79.1583,81.3574,78.7624,79.9587,151619.0
2019-10-14,80.9439,86.7495,80.9439,84.5768,111794.0
2019-10-15,85.1486,89.1553,85.1486,86.4504,106107.0
2019-10-16,86.1602,89.2477,84.6849,87.3125,87401.0
2019-10-17,87.981,88.931,85.3333,86.0018,66006.0
2019-10-18,85.3685,86.9342,84.8055,86.7671,66074.0
2019-10-19,85.3685,86.9342,84.8055,86.7671,66074.0
2019-10-20,85.3685,86.9342,84.8055,86.7671,66074.0
2019-10-21,87.3565,88.7815,87.3565,87.9986,49628.0
2019-10-22,87.6819,88.843,86.5267,87.4444,28721.0
2019-10-23,87.075,88.6319,85.3333,88.2185,40442.0
2019-10-24,88.3944,88.3944,86.4328,87.1278,47037.0
2019-10-25,94.0681,94.0681,87.7612,89.8634,35108.0
2019-10-26,94.0681,94.0681,87.7612,89.8634,35108.0
2019-10-27,94.0681,94.0681,87.7612,89.8634,35108.0
2019-10-28,91.6227,95.0269,90.7255,94.8246,59483.0
