,ALGT US Equity,ALGT US Equity,ALGT US Equity,ALGT US Equity,ALGT US Equity
2019-02-10,127.823,128.371,126.229,128.069,92456.0
2019-02-11,128.484,130.823,127.823,129.437,102984.0
2019-02-12,130.012,130.29,127.559,128.229,125336.0
2019-02-13,128.531,131.38,128.418,130.323,112417.0
2019-02-14,129.729,131.946,129.729,131.823,154020.0
2019-02-15,132.135,133.71,131.125,131.323,102028.0
2019-02-16,132.135,133.71,131.125,131.323,102028.0
2019-02-17,132.135,133.71,131.125,131.323,102028.0
2019-02-18,132.135,133.71,131.125,131.323,102028.0
2019-02-19,131.097,134.87,130.852,133.38,307254.0
2019-02-20,132.795,133.304,128.493,128.701,181904.0
2019-02-21,129.182,131.352,128.493,129.257,109356.0
2019-02-22,129.691,132.917,125.776,132.804,102810.0
2019-02-23,129.691,132.917,125.776,132.804,102810.0
2019-02-24,129.691,132.917,125.776,132.804,102810.0
2019-02-25,133.446,134.483,132.597,132.927,73434.0
2019-02-26,133.012,134.653,132.559,133.257,97583.0
2019-02-27,131.465,131.927,124.692,125.173,222374.0
2019-02-28,125.267,126.576,123.741,125.277,102655.0
2019-03-01,125.884,125.884,123.285,124.49,191804.0
2019-03-02,125.884,125.884,123.285,124.49,191804.0
2019-03-03,125.884,125.884,123.285,124.49,191804.0
2019-03-04,125.154,125.154,121.697,123.494,184605.0
2019-03-05,124.31,126.13,123.2,123.219,170516.0
2019-03-06,121.436,124.091,121.436,122.925,198066.0
2019-03-07,122.441,122.972,119.539,120.45,248440.0
2019-03-08,119.786,121.242,119.302,120.27,169331.0
2019-03-09,119.786,121.242,119.302,120.27,169331.0
2019-03-10,119.786,121.242,119.302,120.27,169331.0
2019-03-11,119.995,122.081,119.606,121.607,236824.0
2019-03-12,121.882,122.157,119.018,120.175,230385.0
2019-03-13,120.459,121.593,118.439,121.095,308451.0
2019-03-14,121.768,122.925,119.961,120.782,212315.0
2019-03-15,120.905,122.318,118.999,119.388,233403.0
2019-03-16,120.905,122.318,118.999,119.388,233403.0
2019-03-17,120.905,122.318,118.999,119.388,233403.0
2019-03-18,119.539,120.412,117.899,119.596,214567.0
2019-03-19,119.919,122.233,119.056,119.729,101409.0
2019-03-20,119.596,120.734,117.274,119.16,143835.0
2019-03-21,118.876,121.465,118.003,120.507,111792.0
2019-03-22,119.805,119.89,115.234,115.841,158689.0
2019-03-23,119.805,119.89,115.234,115.841,158689.0
2019-03-24,119.805,119.89,115.234,115.841,158689.0
2019-03-25,115.699,117.055,114.665,115.67,92157.0
2019-03-26,117.51,119.274,116.201,117.605,161134.0
2019-03-27,117.5,121.849,116.879,119.852,175978.0
2019-03-28,120.061,121.943,118.814,120.232,89350.0
2019-03-29,120.507,123.001,120.507,122.783,186120.0
2019-03-30,120.507,123.001,120.507,122.783,186120.0
2019-03-31,120.507,123.001,120.507,122.783,186120.0
2019-04-01,123.456,125.846,122.939,123.181,204878.0
2019-04-02,123.56,127.155,123.191,126.396,228194.0
2019-04-03,126.851,129.288,124.943,127.363,148584.0
2019-04-04,127.373,128.994,125.973,128.928,91128.0
2019-04-05,128.406,130.398,128.212,129.914,181903.0
2019-04-06,128.406,130.398,128.212,129.914,181903.0
2019-04-07,128.406,130.398,128.212,129.914,181903.0
2019-04-08,128.862,131.09,123.772,130.796,216531.0
2019-04-09,130.142,130.265,126.614,126.955,168229.0
2019-04-10,127.923,130.109,126.984,129.687,98254.0
2019-04-11,129.895,131.96,129.08,129.345,149484.0
2019-04-12,129.895,131.574,126.827,127.24,216755.0
2019-04-13,129.895,131.574,126.827,127.24,216755.0
2019-04-14,129.895,131.574,126.827,127.24,216755.0
2019-04-15,127.449,128.354,125.334,126.064,174362.0
2019-04-16,126.699,128.71,125.846,127.562,148910.0
2019-04-17,128.283,129.687,126.424,126.747,123077.0
2019-04-18,126.055,126.908,123.712,124.376,104198.0
2019-04-19,126.055,126.908,123.712,124.376,104198.0
2019-04-20,126.055,126.908,123.712,124.376,104198.0
2019-04-21,126.055,126.908,123.712,124.376,104198.0
2019-04-22,123.655,124.499,121.996,123.617,129268.0
2019-04-23,123.551,126.415,123.191,125.305,133352.0
2019-04-24,125.106,127.221,123.783,126.254,213327.0
2019-04-25,127.505,136.458,126.557,132.75,391448.0
2019-04-26,132.864,135.737,132.864,133.689,181854.0
2019-04-27,132.864,135.737,132.864,133.689,181854.0
2019-04-28,132.864,135.737,132.864,133.689,181854.0
2019-04-29,133.423,137.425,132.446,136.733,243160.0
2019-04-30,136.742,139.597,135.851,139.293,190348.0
2019-05-01,139.578,140.042,137.643,138.042,186848.0
2019-05-02,138.231,140.166,138.184,138.962,82714.0
2019-05-03,139.407,141.114,139.246,139.654,159634.0
2019-05-04,139.407,141.114,139.246,139.654,159634.0
2019-05-05,139.407,141.114,139.246,139.654,159634.0
2019-05-06,137.729,139.881,135.319,139.493,85984.0
2019-05-07,138.326,138.525,135.282,137.198,91966.0
2019-05-08,136.78,138.032,133.897,134.789,118476.0
2019-05-09,133.727,135.007,132.361,135.007,110810.0
2019-05-10,134.409,136.37,132.095,135.879,112053.0
2019-05-11,134.409,136.37,132.095,135.879,112053.0
2019-05-12,134.409,136.37,132.095,135.879,112053.0
2019-05-13,133.366,134.258,130.483,132.921,213016.0
2019-05-14,133.471,137.871,132.02,137.036,222445.0
2019-05-15,136.069,137.928,132.28,137.046,172142.0
2019-05-16,136.885,138.336,135.159,136.809,182688.0
2019-05-17,136.031,137.634,135.253,136.135,151578.0
2019-05-18,136.031,137.634,135.253,136.135,151578.0
2019-05-19,136.031,137.634,135.253,136.135,151578.0
2019-05-20,134.675,137.43,132.627,134.628,187823.0
2019-05-21,135.396,139.056,134.391,138.724,132906.0
2019-05-22,137.985,138.004,135.396,135.614,117326.0
2019-05-23,134.713,136.116,131.764,135.339,67900.0
2019-05-24,136.287,136.287,133.461,134.628,55857.0
2019-05-25,136.287,136.287,133.461,134.628,55857.0
2019-05-26,136.287,136.287,133.461,134.628,55857.0
2019-05-27,136.287,136.287,133.461,134.628,55857.0
2019-05-28,134.628,135.984,134.419,135.178,59323.0
2019-05-29,135.206,135.927,133.034,135.576,223247.0
2019-05-30,135.595,136.951,133.869,135.064,99416.0
2019-05-31,133.85,136.154,132.56,132.873,78588.0
2019-06-01,133.85,136.154,132.56,132.873,78588.0
2019-06-02,133.85,136.154,132.56,132.873,78588.0
2019-06-03,132.465,135.073,130.445,131.858,169794.0
2019-06-04,132.996,136.867,132.996,135.547,74697.0
2019-06-05,135.984,137.795,135.178,136.657,84875.0
2019-06-06,136.629,136.629,133.072,135.007,102844.0
2019-06-07,135.405,137.425,134.4,134.997,73948.0
2019-06-08,135.405,137.425,134.4,134.997,73948.0
2019-06-09,135.405,137.425,134.4,134.997,73948.0
2019-06-10,135.386,137.387,134.438,135.035,113524.0
2019-06-11,135.86,137.416,134.258,135.291,91992.0
2019-06-12,135.32,137.036,133.736,136.458,93661.0
2019-06-13,136.934,141.699,136.715,139.107,168548.0
2019-06-14,138.945,140.365,134.566,135.314,95924.0
2019-06-15,138.945,140.365,134.566,135.314,95924.0
2019-06-16,138.945,140.365,134.566,135.314,95924.0
2019-06-17,135.171,136.706,133.952,134.943,131657.0
2019-06-18,135.762,138.254,135.305,135.696,253157.0
2019-06-19,135.724,136.191,133.628,135.981,71016.0
2019-06-20,136.668,137.23,132.57,132.951,99274.0
2019-06-21,131.569,131.852,128.52,128.758,177968.0
2019-06-22,131.569,131.852,128.52,128.758,177968.0
2019-06-23,131.569,131.852,128.52,128.758,177968.0
2019-06-24,128.882,129.817,127.338,128.491,88810.0
2019-06-25,128.967,130.187,127.528,128.186,153350.0
2019-06-26,128.643,131.35,127.519,130.94,126284.0
2019-06-27,131.521,134.371,131.15,133.694,135676.0
2019-06-28,134.371,138.326,133.673,136.753,164907.0
2019-06-29,134.371,138.326,133.673,136.753,164907.0
2019-06-30,134.371,138.326,133.673,136.753,164907.0
2019-07-01,138.278,138.407,136.234,136.353,109768.0
2019-07-02,136.668,136.915,133.694,134.781,145802.0
2019-07-03,134.981,137.802,134.981,136.448,71917.0
2019-07-04,134.981,137.802,134.981,136.448,71917.0
2019-07-05,136.029,139.069,134.847,137.926,91078.0
2019-07-06,136.029,139.069,134.847,137.926,91078.0
2019-07-07,136.029,139.069,134.847,137.926,91078.0
2019-07-08,138.078,139.431,137.439,139.422,107971.0
2019-07-09,139.384,139.717,135.981,137.325,103415.0
2019-07-10,138.678,139.041,136.696,138.755,93691.0
2019-07-11,139.412,139.479,137.173,137.706,66081.0
2019-07-12,138.078,142.605,137.802,141.68,130119.0
2019-07-13,138.078,142.605,137.802,141.68,130119.0
2019-07-14,138.078,142.605,137.802,141.68,130119.0
2019-07-15,141.823,142.614,140.27,141.261,136789.0
2019-07-16,141.528,144.854,141.499,141.566,163998.0
2019-07-17,142.004,142.004,139.927,140.899,120862.0
2019-07-18,140.746,141.547,139.479,140.413,181364.0
2019-07-19,139.784,142.519,137.049,137.125,180785.0
2019-07-20,139.784,142.519,137.049,137.125,180785.0
2019-07-21,139.784,142.519,137.049,137.125,180785.0
2019-07-22,138.011,139.932,137.382,138.526,217483.0
2019-07-23,139.689,141.699,139.231,140.718,162932.0
2019-07-24,140.489,143.653,140.489,141.776,337839.0
2019-07-25,144.854,150.095,140.213,144.863,515366.0
2019-07-26,144.816,147.112,144.816,145.454,264758.0
2019-07-27,144.816,147.112,144.816,145.454,264758.0
2019-07-28,144.816,147.112,144.816,145.454,264758.0
2019-07-29,145.149,146.521,144.113,145.006,192608.0
2019-07-30,144.015,145.592,143.491,144.149,123396.0
2019-07-31,144.492,145.597,142.433,142.805,272027.0
2019-08-01,142.7,144.726,140.818,141.166,172409.0
2019-08-02,140.222,142.452,139.288,140.708,159660.0
2019-08-03,140.222,142.452,139.288,140.708,159660.0
2019-08-04,140.222,142.452,139.288,140.708,159660.0
2019-08-05,138.478,139.403,136.162,138.859,180532.0
2019-08-06,140.908,141.537,138.083,139.898,258509.0
2019-08-07,138.574,141.518,136.877,140.146,131198.0
2019-08-08,141.023,142.357,140.48,141.747,263894.0
2019-08-09,139.993,141.68,137.849,139.279,115290.0
2019-08-10,139.993,141.68,137.849,139.279,115290.0
2019-08-11,139.993,141.68,137.849,139.279,115290.0
2019-08-12,138.459,138.459,135.543,137.325,272050.0
2019-08-13,137.115,138.459,135.81,135.943,112748.0
2019-08-14,134.581,136.096,133.961,135.324,340216.0
2019-08-15,135.915,135.915,133.904,134.266,150555.0
2019-08-16,135.152,137.621,135.152,136.096,307696.0
2019-08-17,135.152,137.621,135.152,136.096,307696.0
2019-08-18,135.152,137.621,135.152,136.096,307696.0
2019-08-19,137.563,138.145,135.229,135.362,148098.0
2019-08-20,134.771,135.61,133.885,134.828,412020.0
2019-08-21,135.981,137.678,134.985,136.572,106853.0
2019-08-22,136.839,137.716,135.0,135.438,348476.0
2019-08-23,135.343,137.897,133.923,134.085,175873.0
2019-08-24,135.343,137.897,133.923,134.085,175873.0
2019-08-25,135.343,137.897,133.923,134.085,175873.0
2019-08-26,134.781,134.8,132.908,133.818,293581.0
2019-08-27,134.847,135.824,131.798,132.293,113987.0
2019-08-28,131.95,135.086,130.43,133.17,398776.0
2019-08-29,134.257,134.933,132.598,134.847,191882.0
2019-08-30,135.362,136.677,134.466,135.314,137894.0
2019-08-31,135.362,136.677,134.466,135.314,137894.0
2019-09-01,135.362,136.677,134.466,135.314,137894.0
2019-09-02,135.362,136.677,134.466,135.314,137894.0
2019-09-03,135.295,136.248,133.408,134.905,211140.0
2019-09-04,135.772,137.487,134.704,136.534,205518.0
2019-09-05,138.049,141.995,137.706,140.499,237674.0
2019-09-06,137.973,142.509,137.973,140.518,144760.0
2019-09-07,137.973,142.509,137.973,140.518,144760.0
2019-09-08,137.973,142.509,137.973,140.518,144760.0
2019-09-09,140.804,143.272,140.327,141.947,496791.0
2019-09-10,142.357,142.357,139.241,140.279,175579.0
2019-09-11,140.27,144.73,139.974,144.101,214893.0
2019-09-12,144.311,146.093,143.767,144.596,141084.0
2019-09-13,145.788,146.922,142.633,143.786,142106.0
2019-09-14,145.788,146.922,142.633,143.786,142106.0
2019-09-15,145.788,146.922,142.633,143.786,142106.0
2019-09-16,142.481,144.034,141.533,143.596,139694.0
2019-09-17,143.291,145.302,142.719,144.396,110714.0
2019-09-18,144.244,145.159,143.215,145.063,131079.0
2019-09-19,145.159,146.997,144.508,144.977,136348.0
2019-09-20,145.351,145.968,143.704,143.876,151690.0
2019-09-21,145.351,145.968,143.704,143.876,151690.0
2019-09-22,145.351,145.968,143.704,143.876,151690.0
2019-09-23,143.627,144.757,142.488,143.694,91120.0
2019-09-24,144.393,145.37,141.148,143.015,358957.0
2019-09-25,143.302,144.073,141.234,142.172,119259.0
2019-09-26,142.641,143.512,140.774,143.11,311374.0
2019-09-27,144.058,145.647,142.22,142.67,127184.0
2019-09-28,144.058,145.647,142.22,142.67,127184.0
2019-09-29,144.058,145.647,142.22,142.67,127184.0
2019-09-30,143.761,144.154,142.22,143.283,226419.0
2019-10-01,144.01,147.055,143.062,143.637,123869.0
2019-10-02,143.378,143.809,140.037,142.852,174364.0
2019-10-03,142.641,142.641,138.659,140.545,147089.0
2019-10-04,140.602,142.793,137.494,141.32,75482.0
2019-10-05,140.602,142.793,137.494,141.32,75482.0
2019-10-06,140.602,142.793,137.494,141.32,75482.0
2019-10-07,141.253,144.546,141.038,142.383,101586.0
2019-10-08,141.856,144.004,141.483,141.483,119900.0
2019-10-09,142.593,145.154,141.703,142.249,128670.0
2019-10-10,141.894,144.183,141.176,142.967,153324.0
2019-10-11,144.499,146.174,143.398,143.627,113451.0
2019-10-12,144.499,146.174,143.398,143.627,113451.0
2019-10-13,144.499,146.174,143.398,143.627,113451.0
2019-10-14,143.426,145.657,142.842,143.532,56663.0
2019-10-15,143.465,146.126,142.751,144.901,143237.0
2019-10-16,145.13,146.073,144.144,144.671,108773.0
2019-10-17,145.054,146.815,145.044,145.925,107692.0
2019-10-18,145.303,147.227,145.303,145.523,105258.0
2019-10-19,145.303,147.227,145.303,145.523,105258.0
2019-10-20,145.303,147.227,145.303,145.523,105258.0
2019-10-21,146.806,148.079,146.251,146.433,98292.0
2019-10-22,146.538,147.646,145.446,146.509,89404.0
2019-10-23,146.251,147.131,145.542,146.203,74784.0
2019-10-24,146.949,150.492,146.806,147.802,390650.0
2019-10-25,157.969,161.109,151.382,159.099,668053.0
2019-10-26,157.969,161.109,151.382,159.099,668053.0
2019-10-27,157.969,161.109,151.382,159.099,668053.0
2019-10-28,160.142,164.862,160.094,163.474,296405.0
2019-10-29,164.058,165.628,160.42,160.573,131990.0
2019-10-30,159.855,160.755,158.026,160.439,206943.0
2019-10-31,160.391,162.105,159.032,160.2,172736.0
2019-11-01,160.362,162.66,160.181,160.621,92621.0
2019-11-02,160.362,162.66,160.181,160.621,92621.0
2019-11-03,160.362,162.66,160.181,160.621,92621.0
2019-11-04,161.215,161.933,159.817,160.726,139094.0
2019-11-05,160.659,162.756,159.817,160.047,138114.0
2019-11-06,159.989,161.31,158.898,160.994,101416.0
2019-11-07,161.32,162.981,160.621,160.956,114356.0
2019-11-08,160.918,161.703,158.706,161.148,95894.0
2019-11-09,160.918,161.703,158.706,161.148,95894.0
2019-11-10,160.918,161.703,158.706,161.148,95894.0
2019-11-11,160.257,163.895,159.846,162.804,198667.0
2019-11-12,163.56,163.833,160.793,161.042,100323.0
2019-11-13,162.766,167.466,162.766,164.747,476861.0
2019-11-14,165.36,165.36,161.368,162.833,109821.0
2019-11-15,163.809,165.149,162.641,163.043,132352.0
2019-11-16,163.809,165.149,162.641,163.043,132352.0
2019-11-17,163.809,165.149,162.641,163.043,132352.0
2019-11-18,162.967,163.984,162.258,162.813,124853.0
2019-11-19,164.077,165.291,162.335,163.914,65350.0
2019-11-20,162.823,164.671,161.071,161.693,91736.0
2019-11-21,162.212,162.645,160.463,160.828,120759.0
2019-11-22,161.501,163.933,160.943,162.684,112499.0
2019-11-23,161.501,163.933,160.943,162.684,112499.0
2019-11-24,161.501,163.933,160.943,162.684,112499.0
2019-11-25,163.433,165.125,162.347,162.876,131969.0
2019-11-26,163.347,163.433,161.972,163.097,343718.0
2019-11-27,163.953,166.101,162.78,165.5,132428.0
2019-11-28,163.953,166.101,162.78,165.5,132428.0
2019-11-29,165.212,166.048,162.789,163.174,60244.0
2019-11-30,165.212,166.048,162.789,163.174,60244.0
2019-12-01,165.212,166.048,162.789,163.174,60244.0
2019-12-02,162.52,164.491,159.876,162.972,170727.0
2019-12-03,161.491,162.684,160.213,162.299,141682.0
2019-12-04,163.645,164.356,161.559,162.011,99422.0
2019-12-05,161.962,163.212,161.588,162.991,94459.0
2019-12-06,163.818,165.029,162.784,164.577,120809.0
2019-12-07,163.818,165.029,162.784,164.577,120809.0
2019-12-08,163.818,165.029,162.784,164.577,120809.0
2019-12-09,164.116,165.616,157.319,165.145,155030.0
2019-12-10,165.077,167.308,163.135,165.539,175628.0
2019-12-11,165.625,166.577,164.549,164.741,135940.0
2019-12-12,164.568,167.635,164.424,165.077,106342.0
2019-12-13,165.27,167.824,163.904,167.404,150972.0
2019-12-14,165.27,167.824,163.904,167.404,150972.0
2019-12-15,165.27,167.824,163.904,167.404,150972.0
2019-12-16,168.711,171.576,167.961,168.384,194592.0
2019-12-17,168.923,172.143,168.923,171.374,156192.0
2019-12-18,171.663,172.24,169.158,169.375,90953.0
2019-12-19,169.192,171.865,168.327,171.422,107691.0
2019-12-20,172.095,173.47,171.125,172.538,195984.0
2019-12-21,172.095,173.47,171.125,172.538,195984.0
2019-12-22,172.095,173.47,171.125,172.538,195984.0
2019-12-23,173.047,176.181,172.538,173.105,88664.0
2019-12-24,173.528,173.73,171.365,173.191,37986.0
2019-12-25,173.528,173.73,171.365,173.191,37986.0
2019-12-26,173.355,174.168,171.749,172.018,60488.0
2019-12-27,172.23,172.389,169.279,170.519,60779.0
2019-12-28,172.23,172.389,169.279,170.519,60779.0
2019-12-29,172.23,172.389,169.279,170.519,60779.0
2019-12-30,170.586,171.682,168.135,168.548,146800.0
2019-12-31,168.375,169.029,167.058,167.317,83020.0
2020-01-01,168.375,169.029,167.058,167.317,83020.0
2020-01-02,168.375,170.125,167.683,169.25,101155.0
2020-01-03,167.24,167.606,164.424,166.827,123251.0
2020-01-04,167.24,167.606,164.424,166.827,123251.0
2020-01-05,167.24,167.606,164.424,166.827,123251.0
2020-01-06,165.952,165.952,163.659,164.395,149650.0
2020-01-07,164.606,165.241,163.645,164.491,62307.0
2020-01-08,164.299,168.034,164.299,167.029,91628.0
2020-01-09,167.904,170.538,167.904,168.375,128387.0
2020-01-10,168.884,168.884,166.424,167.923,77797.0
2020-01-11,168.884,168.884,166.424,167.923,77797.0
2020-01-12,168.884,168.884,166.424,167.923,77797.0
2020-01-13,167.952,169.115,166.457,167.952,100480.0
2020-01-14,168.452,172.941,167.365,167.375,129267.0
2020-01-15,167.115,170.471,166.606,169.23,115771.0
2020-01-16,170.105,173.239,170.105,170.74,99556.0
2020-01-17,171.461,171.648,169.375,170.922,637063.0
2020-01-18,171.461,171.648,169.375,170.922,637063.0
2020-01-19,171.461,171.648,169.375,170.922,637063.0
2020-01-20,171.461,171.648,169.375,170.922,637063.0
2020-01-21,170.067,171.432,162.28,163.491,187024.0
2020-01-22,164.75,166.99,163.914,163.962,210493.0
2020-01-23,163.616,168.731,162.193,168.048,210858.0
2020-01-24,168.558,170.067,163.52,166.318,127704.0
2020-01-25,168.558,170.067,163.52,166.318,127704.0
2020-01-26,168.558,170.067,163.52,166.318,127704.0
2020-01-27,163.52,163.52,160.251,160.251,260170.0
2020-01-28,161.222,165.347,161.222,164.164,164467.0
2020-01-29,164.26,164.26,156.242,156.858,321384.0
2020-01-30,160.549,166.193,157.987,163.174,244101.0
2020-01-31,162.126,162.828,159.674,161.549,224665.0
2020-02-01,162.126,162.828,159.674,161.549,224665.0
2020-02-02,162.126,162.828,159.674,161.549,224665.0
2020-02-03,160.626,163.241,158.405,159.338,202694.0
2020-02-04,161.876,165.01,161.732,164.404,141291.0
2020-02-05,166.077,167.51,163.731,165.106,170497.0
2020-02-06,166.087,167.76,161.193,161.299,115790.0
2020-02-07,160.597,160.597,156.089,156.3,230067.0
2020-02-08,160.597,160.597,156.089,156.3,230067.0
2020-02-09,160.597,160.597,156.089,156.3,230067.0
2020-02-10,156.473,156.492,152.839,153.724,193012.0
2020-02-11,154.339,157.886,154.339,157.684,102922.0
2020-02-12,158.175,160.482,157.012,159.953,116095.0
2020-02-13,158.896,161.511,158.069,160.645,87346.0
2020-02-14,160.146,161.472,158.502,159.059,74282.0
2020-02-15,160.146,161.472,158.502,159.059,74282.0
2020-02-16,160.146,161.472,158.502,159.059,74282.0
2020-02-17,160.146,161.472,158.502,159.059,74282.0
2020-02-18,158.444,159.819,156.175,159.136,206759.0
2020-02-19,157.771,159.492,154.925,158.502,204609.0
2020-02-20,158.386,159.213,156.829,157.309,191256.0
2020-02-21,156.867,157.329,152.137,156.569,305941.0
2020-02-22,156.867,157.329,152.137,156.569,305941.0
2020-02-23,156.867,157.329,152.137,156.569,305941.0
2020-02-24,151.435,153.512,145.398,148.744,183021.0
2020-02-25,149.013,150.714,142.033,142.35,256118.0
2020-02-26,143.437,145.827,138.832,139.14,153847.0
2020-02-27,133.179,137.784,125.901,125.901,395506.0
2020-02-28,122.006,131.643,122.006,131.005,559274.0
2020-02-29,122.006,131.643,122.006,131.005,559274.0
2020-03-01,122.006,131.643,122.006,131.005,559274.0
2020-03-02,134.272,134.6,122.779,132.831,524490.0
2020-03-03,134.504,137.196,125.828,127.516,363404.0
2020-03-04,129.11,131.72,126.327,131.72,410854.0
2020-03-05,127.371,127.844,118.623,119.368,326544.0
2020-03-06,115.936,123.437,113.578,117.686,282921.0
2020-03-07,115.936,123.437,113.578,117.686,282921.0
2020-03-08,115.936,123.437,113.578,117.686,282921.0
2020-03-09,111.974,116.197,111.152,114.438,376648.0
2020-03-10,118.44,122.973,112.235,122.75,498902.0
2020-03-11,118.768,119.126,114.052,115.956,368622.0
2020-03-12,108.252,108.252,95.427,99.119,747069.0
2020-03-13,105.159,109.635,98.655,109.519,372743.0
2020-03-14,105.159,109.635,98.655,109.519,372743.0
2020-03-15,105.159,109.635,98.655,109.519,372743.0
2020-03-16,95.794,96.528,82.861,85.075,451299.0
2020-03-17,86.95,101.456,81.18,100.066,390538.0
2020-03-18,90.69,96.267,65.212,71.717,554553.0
2020-03-19,70.683,78.763,58.05,70.074,341010.0
2020-03-20,71.495,73.79,65.29,66.517,335859.0
2020-03-21,71.495,73.79,65.29,66.517,335859.0
2020-03-22,71.495,73.79,65.29,66.517,335859.0
2020-03-23,67.387,74.211,65.928,69.311,303127.0
2020-03-24,75.825,93.745,75.003,89.579,357991.0
2020-03-25,102.047,102.047,82.156,89.444,474185.0
2020-03-26,92.788,100.085,90.11,93.957,254102.0
2020-03-27,89.492,91.357,80.609,87.868,283829.0
2020-03-28,89.492,91.357,80.609,87.868,283829.0
2020-03-29,89.492,91.357,80.609,87.868,283829.0
2020-03-30,83.867,89.366,77.614,82.146,184352.0
2020-03-31,82.668,84.273,77.468,79.063,189112.0
2020-04-01,75.071,76.173,67.348,68.905,223505.0
2020-04-02,68.296,71.93,65.754,67.174,249232.0
2020-04-03,70.287,70.287,61.81,67.029,331011.0
2020-04-04,70.287,70.287,61.81,67.029,331011.0
2020-04-05,70.287,70.287,61.81,67.029,331011.0
2020-04-06,71.427,74.694,67.851,72.355,376331.0
2020-04-07,77.855,85.21,77.323,78.899,374588.0
2020-04-08,79.092,81.093,76.028,76.569,277666.0
2020-04-09,79.991,86.003,79.45,80.542,376934.0
2020-04-10,79.991,86.003,79.45,80.542,376934.0
2020-04-11,79.991,86.003,79.45,80.542,376934.0
2020-04-12,79.991,86.003,79.45,80.542,376934.0
2020-04-13,81.286,82.011,71.244,73.341,264455.0
2020-04-14,75.583,79.754,75.4,76.434,211376.0
2020-04-15,77.41,80.203,72.703,75.119,233242.0
2020-04-16,73.515,74.887,67.677,70.122,246903.0
2020-04-17,74.8,75.313,71.195,72.481,195661.0
2020-04-18,74.8,75.313,71.195,72.481,195661.0
2020-04-19,74.8,75.313,71.195,72.481,195661.0
2020-04-20,70.316,71.244,67.706,69.581,169886.0
2020-04-21,67.658,70.316,66.782,70.287,185668.0
2020-04-22,71.041,72.751,67.832,68.702,331280.0
2020-04-23,69.591,72.471,67.203,67.696,261030.0
2020-04-24,68.624,68.721,65.889,67.252,144208.0
2020-04-25,68.624,68.721,65.889,67.252,144208.0
2020-04-26,68.624,68.721,65.889,67.252,144208.0
2020-04-27,68.518,70.157,66.769,67.242,242615.0
2020-04-28,68.46,75.496,68.257,74.395,346028.0
2020-04-29,78.203,82.04,77.516,80.377,416011.0
2020-04-30,78.831,80.377,74.839,75.854,245682.0
2020-05-01,73.177,73.723,69.185,71.36,182488.0
2020-05-02,73.177,73.723,69.185,71.36,182488.0
2020-05-03,73.177,73.723,69.185,71.36,182488.0
2020-05-04,67.136,68.793,65.125,67.696,350219.0
2020-05-05,68.721,70.838,65.241,66.653,348121.0
2020-05-06,66.691,67.783,61.375,64.072,322294.0
2020-05-07,64.227,65.261,62.587,64.014,607041.0
2020-05-08,66.189,73.602,65.812,72.887,356825.0
2020-05-09,66.189,73.602,65.812,72.887,356825.0
