,GWW US Equity,GWW US Equity,GWW US Equity,GWW US Equity,GWW US Equity
2019-10-17,289.198,292.506,288.936,291.166,222206.0
2019-10-18,290.903,294.15,290.238,290.547,486917.0
2019-10-19,290.903,294.15,290.238,290.547,486917.0
2019-10-20,290.903,294.15,290.238,290.547,486917.0
2019-10-21,293.715,297.5,292.515,296.825,561968.0
2019-10-22,294.361,300.316,293.105,299.074,566912.0
2019-10-23,288.036,295.158,279.463,292.759,1019799.0
2019-10-24,294.117,296.563,290.932,295.354,440655.0
2019-10-25,297.032,299.796,294.97,297.35,328259.0
2019-10-26,297.032,299.796,294.97,297.35,328259.0
2019-10-27,297.032,299.796,294.97,297.35,328259.0
2019-10-28,298.906,299.796,295.495,296.46,414663.0
2019-10-29,296.141,296.451,292.084,293.227,428531.0
2019-10-30,292.927,293.255,287.788,290.829,290842.0
2019-10-31,290.351,291.269,286.256,289.386,428850.0
2019-11-01,292.478,297.805,290.365,297.659,405107.0
2019-11-02,292.478,297.805,290.365,297.659,405107.0
2019-11-03,292.478,297.805,290.365,297.659,405107.0
2019-11-04,299.205,302.007,297.135,299.252,324058.0
2019-11-05,300.705,304.453,298.709,302.157,296324.0
2019-11-06,302.401,303.375,297.969,301.023,294815.0
2019-11-07,303.018,304.016,299.814,301.88,392799.0
2019-11-08,301.861,305.993,299.545,305.823,322351.0
2019-11-09,301.861,305.993,299.545,305.823,322351.0
2019-11-10,301.861,305.993,299.545,305.823,322351.0
2019-11-11,303.517,308.454,303.197,307.922,254140.0
2019-11-12,307.743,308.492,304.223,306.313,278015.0
2019-11-13,304.873,306.492,302.482,303.564,186797.0
2019-11-14,303.47,305.87,301.814,303.461,258388.0
2019-11-15,305.776,306.002,302.538,304.459,267021.0
2019-11-16,305.776,306.002,302.538,304.459,267021.0
2019-11-17,305.776,306.002,302.538,304.459,267021.0
2019-11-18,303.188,303.734,297.428,298.83,363985.0
2019-11-19,299.771,301.569,296.938,297.333,300677.0
2019-11-20,295.818,296.416,292.717,293.992,333852.0
2019-11-21,290.99,295.376,290.99,294.256,283606.0
2019-11-22,297.249,301.494,296.298,300.251,371049.0
2019-11-23,297.249,301.494,296.298,300.251,371049.0
2019-11-24,297.249,301.494,296.298,300.251,371049.0
2019-11-25,301.447,304.327,300.669,301.654,309212.0
2019-11-26,302.858,303.075,300.096,301.833,335016.0
2019-11-27,302.727,302.727,299.028,300.477,323734.0
2019-11-28,302.727,302.727,299.028,300.477,323734.0
2019-11-29,300.712,301.522,297.926,298.322,125720.0
2019-11-30,300.712,301.522,297.926,298.322,125720.0
2019-12-01,300.712,301.522,297.926,298.322,125720.0
2019-12-02,297.569,301.673,296.251,296.515,252135.0
2019-12-03,291.799,295.187,291.084,294.209,241657.0
2019-12-04,295.225,300.091,295.131,298.246,346817.0
2019-12-05,299.282,305.108,297.301,299.583,470929.0
2019-12-06,302.586,304.167,300.016,302.595,276039.0
2019-12-07,302.586,304.167,300.016,302.595,276039.0
2019-12-08,302.586,304.167,300.016,302.595,276039.0
2019-12-09,301.936,308.073,301.936,305.249,359379.0
2019-12-10,305.475,307.169,303.979,304.553,224950.0
2019-12-11,308.393,310.586,306.03,310.153,340668.0
2019-12-12,309.118,319.078,308.355,318.888,475203.0
2019-12-13,317.918,319.038,312.271,312.779,551299.0
2019-12-14,317.918,319.038,312.271,312.779,551299.0
2019-12-15,317.918,319.038,312.271,312.779,551299.0
2019-12-16,314.859,317.57,313.248,317.4,531127.0
2019-12-17,315.998,316.534,311.028,311.998,304020.0
2019-12-18,312.073,313.231,309.889,312.986,345860.0
2019-12-19,312.958,315.264,311.433,315.16,231555.0
2019-12-20,317.617,318.69,314.723,317.749,773842.0
2019-12-21,317.617,318.69,314.723,317.749,773842.0
2019-12-22,317.617,318.69,314.723,317.749,773842.0
2019-12-23,318.765,318.765,316.054,317.871,325020.0
2019-12-24,318.935,318.935,316.52,317.551,70593.0
2019-12-25,318.935,318.935,316.52,317.551,70593.0
2019-12-26,317.956,319.838,314.85,318.991,257180.0
2019-12-27,320.488,320.554,317.005,317.636,176520.0
2019-12-28,320.488,320.554,317.005,317.636,176520.0
2019-12-29,320.488,320.554,317.005,317.636,176520.0
2019-12-30,317.617,319.273,316.685,318.37,173154.0
2019-12-31,316.967,319.782,316.873,318.624,212411.0
2020-01-01,316.967,319.782,316.873,318.624,212411.0
2020-01-02,319.782,324.45,317.391,324.45,357736.0
2020-01-03,319.584,322.144,315.32,320.638,355322.0
2020-01-04,319.584,322.144,315.32,320.638,355322.0
2020-01-05,319.584,322.144,315.32,320.638,355322.0
2020-01-06,318.059,319.876,315.546,317.655,316667.0
2020-01-07,315.443,319.358,313.899,317.984,324957.0
2020-01-08,318.238,322.944,318.238,321.344,321199.0
2020-01-09,321.843,323.481,320.45,323.001,261470.0
2020-01-10,324.121,326.229,320.921,321.25,225399.0
2020-01-11,324.121,326.229,320.921,321.25,225399.0
2020-01-12,324.121,326.229,320.921,321.25,225399.0
2020-01-13,322.107,325.006,321.382,324.196,203801.0
2020-01-14,323.415,325.457,319.876,320.281,289678.0
2020-01-15,321.89,321.89,317.993,319.33,227563.0
2020-01-16,320.638,322.577,318.248,321.09,256662.0
2020-01-17,320.215,322.116,318.276,320.158,483115.0
2020-01-18,320.215,322.116,318.276,320.158,483115.0
2020-01-19,320.215,322.116,318.276,320.158,483115.0
2020-01-20,320.215,322.116,318.276,320.158,483115.0
2020-01-21,318.991,318.991,310.953,314.793,399404.0
2020-01-22,317.419,317.73,310.897,311.612,260879.0
2020-01-23,309.249,313.363,305.729,312.995,261722.0
2020-01-24,314.247,315.203,307.198,309.664,229622.0
2020-01-25,314.247,315.203,307.198,309.664,229622.0
2020-01-26,314.247,315.203,307.198,309.664,229622.0
2020-01-27,304.91,306.812,301.334,303.188,233172.0
2020-01-28,305.55,306.915,302.774,304.44,483158.0
2020-01-29,306.04,310.699,306.04,308.242,531623.0
2020-01-30,297.908,302.661,288.891,294.18,800360.0
2020-01-31,291.272,292.571,281.126,284.881,807812.0
2020-02-01,291.272,292.571,281.126,284.881,807812.0
2020-02-02,291.272,292.571,281.126,284.881,807812.0
2020-02-03,287.733,290.368,283.686,285.408,507444.0
2020-02-04,289.917,294.83,289.512,290.03,376648.0
2020-02-05,294.867,296.74,292.674,296.543,350356.0
2020-02-06,298.134,298.134,289.945,291.761,373419.0
2020-02-07,289.946,290.939,283.166,283.402,578499.0
2020-02-08,289.946,290.939,283.166,283.402,578499.0
2020-02-09,289.946,290.939,283.166,283.402,578499.0
2020-02-10,283.638,283.638,278.333,281.955,271418.0
2020-02-11,283.014,286.617,283.014,284.508,221963.0
2020-02-12,289.653,295.288,289.582,294.05,316505.0
2020-02-13,292.149,293.123,288.641,288.754,245187.0
2020-02-14,288.764,291.184,287.638,290.92,185094.0
2020-02-15,288.764,291.184,287.638,290.92,185094.0
2020-02-16,288.764,291.184,287.638,290.92,185094.0
2020-02-17,288.764,291.184,287.638,290.92,185094.0
2020-02-18,289.662,292.386,288.371,291.421,175320.0
2020-02-19,292.31,294.031,289.534,290.437,181833.0
2020-02-20,289.435,295.383,289.435,293.416,160005.0
2020-02-21,290.957,291.61,286.504,286.825,200180.0
2020-02-22,290.957,291.61,286.504,286.825,200180.0
2020-02-23,290.957,291.61,286.504,286.825,200180.0
2020-02-24,278.239,283.724,276.66,279.941,255326.0
2020-02-25,280.206,280.206,268.225,269.303,291629.0
2020-02-26,272.423,274.849,268.092,269.36,443795.0
2020-02-27,264.584,272.575,259.005,264.575,704919.0
2020-02-28,256.234,262.646,254.315,262.447,713467.0
2020-02-29,256.234,262.646,254.315,262.447,713467.0
2020-03-01,256.234,262.646,254.315,262.447,713467.0
2020-03-02,264.168,273.208,257.327,273.17,523360.0
2020-03-03,272.631,277.057,267.057,270.315,560163.0
2020-03-04,276.111,280.329,272.386,278.646,484430.0
2020-03-05,269.558,277.662,269.558,274.551,447015.0
2020-03-06,265.369,269.927,262.892,269.152,485407.0
2020-03-07,265.369,269.927,262.892,269.152,485407.0
2020-03-08,265.369,269.927,262.892,269.152,485407.0
2020-03-09,254.286,267.724,237.946,241.918,949112.0
2020-03-10,250.088,264.452,242.457,264.414,486893.0
2020-03-11,257.814,266.182,254.059,259.676,597656.0
2020-03-12,241.133,242.854,229.057,232.802,701204.0
2020-03-13,244.783,251.648,232.972,251.554,543283.0
2020-03-14,244.783,251.648,232.972,251.554,543283.0
2020-03-15,244.783,251.648,232.972,251.554,543283.0
2020-03-16,227.894,242.908,211.819,217.048,602820.0
2020-03-17,220.594,233.53,213.691,233.029,599298.0
2020-03-18,217.492,232.509,213.804,223.062,534899.0
2020-03-19,220.802,235.081,214.291,222.202,413168.0
2020-03-20,222.608,223.733,200.481,202.154,474206.0
2020-03-21,222.608,223.733,200.481,202.154,474206.0
2020-03-22,222.608,223.733,200.481,202.154,474206.0
2020-03-23,201.076,206.296,189.701,198.098,473231.0
2020-03-24,209.152,226.92,209.152,225.71,711394.0
2020-03-25,225.653,241.511,218.021,224.386,465657.0
2020-03-26,226.684,235.478,215.667,235.478,429566.0
2020-03-27,227.819,239.989,225.719,233.71,316295.0
2020-03-28,227.819,239.989,225.719,233.71,316295.0
2020-03-29,227.819,239.989,225.719,233.71,316295.0
2020-03-30,233.435,242.353,228.745,241.265,330645.0
2020-03-31,237.993,243.062,234.523,234.986,383233.0
2020-04-01,226.949,231.951,221.133,223.658,412439.0
2020-04-02,221.937,231.44,221.171,226.655,460354.0
2020-04-03,223.743,229.724,221.284,225.776,332878.0
2020-04-04,223.743,229.724,221.284,225.776,332878.0
2020-04-05,223.743,229.724,221.284,225.776,332878.0
2020-04-06,234.863,240.896,231.837,237.521,414475.0
2020-04-07,239.487,257.71,239.487,243.903,600899.0
2020-04-08,247.535,258.854,242.939,255.695,325914.0
2020-04-09,259.988,266.863,258.494,264.65,447024.0
2020-04-10,259.988,266.863,258.494,264.65,447024.0
2020-04-11,259.988,266.863,258.494,264.65,447024.0
2020-04-12,259.988,266.863,258.494,264.65,447024.0
2020-04-13,263.156,263.156,257.208,259.44,271043.0
2020-04-14,267.903,272.877,264.773,271.988,457566.0
2020-04-15,266.078,267.43,261.511,264.234,282059.0
2020-04-16,264.386,267.724,260.452,264.698,291266.0
2020-04-17,271.847,276.045,261.123,264.981,364019.0
2020-04-18,271.847,276.045,261.123,264.981,364019.0
2020-04-19,271.847,276.045,261.123,264.981,364019.0
2020-04-20,261.275,262.163,256.991,259.582,299196.0
2020-04-21,255.317,257.955,253.908,255.402,230332.0
2020-04-22,261.322,262.882,256.764,261.114,364054.0
2020-04-23,249.833,257.508,242.258,244.376,858688.0
2020-04-24,245.908,256.728,245.095,254.948,435595.0
2020-04-25,245.908,256.728,245.095,254.948,435595.0
2020-04-26,245.908,256.728,245.095,254.948,435595.0
2020-04-27,257.52,264.012,255.771,262.05,340342.0
2020-04-28,268.66,272.244,267.298,270.466,406399.0
2020-04-29,275.884,276.783,263.431,265.379,471868.0
2020-04-30,261.322,262.141,256.934,260.594,371115.0
2020-05-01,256.31,257.619,251.402,253.104,253214.0
2020-05-02,256.31,257.619,251.402,253.104,253214.0
2020-05-03,256.31,257.619,251.402,253.104,253214.0
2020-05-04,251.582,257.558,248.953,257.322,280204.0
2020-05-05,260.688,266.646,259.61,264.026,286857.0
2020-05-06,268.064,270.4,263.809,265.246,295527.0
2020-05-07,268.386,272.291,264.66,265.823,284396.0
2020-05-08,270.338,271.317,267.344,271.317,200672.0
2020-05-09,270.338,271.317,267.344,271.317,200672.0
