,UNP US Equity,UNP US Equity,UNP US Equity,UNP US Equity,UNP US Equity
2019-02-12,147.1117,149.8311,147.0048,148.9395,3781764.0
2019-02-13,148.7701,150.8297,148.5383,150.5711,3886900.0
2019-02-14,149.519,152.0333,149.3585,151.2398,4157496.0
2019-02-15,152.3454,152.7733,151.3245,151.7837,3270904.0
2019-02-16,152.3454,152.7733,151.3245,151.7837,3270904.0
2019-02-17,152.3454,152.7733,151.3245,151.7837,3270904.0
2019-02-18,152.3454,152.7733,151.3245,151.7837,3270904.0
2019-02-19,150.9634,153.7451,150.7227,152.7555,3889680.0
2019-02-20,152.8803,153.2934,152.2473,152.4523,3063643.0
2019-02-21,152.6842,153.2013,151.1506,151.7212,3056690.0
2019-02-22,151.4805,151.8817,149.8757,151.6232,4345646.0
2019-02-23,151.4805,151.8817,149.8757,151.6232,4345646.0
2019-02-24,151.4805,151.8817,149.8757,151.6232,4345646.0
2019-02-25,152.2294,152.2294,150.2858,151.1685,4804208.0
2019-02-26,151.1595,152.6619,150.4284,151.7034,3635210.0
2019-02-27,151.4435,152.8506,150.3949,151.5152,2543977.0
2019-02-28,151.6138,151.6317,150.144,150.2964,3650702.0
2019-03-01,151.7124,151.9409,149.4808,150.0633,3116144.0
2019-03-02,151.7124,151.9409,149.4808,150.0633,3116144.0
2019-03-03,151.7124,151.9409,149.4808,150.0633,3116144.0
2019-03-04,149.9737,152.4563,148.7728,150.0006,4341010.0
2019-03-05,150.3053,151.6317,149.4718,149.4718,2794898.0
2019-03-06,149.5883,149.8572,148.3067,148.6921,3067864.0
2019-03-07,148.5487,148.8669,147.1237,147.8228,4141521.0
2019-03-08,146.6846,147.4105,145.0176,147.2492,2884723.0
2019-03-09,146.6846,147.4105,145.0176,147.2492,2884723.0
2019-03-10,146.6846,147.4105,145.0176,147.2492,2884723.0
2019-03-11,147.07,149.6197,146.6935,148.4143,4051724.0
2019-03-12,148.7638,149.4539,147.4553,147.7242,4723509.0
2019-03-13,148.8624,151.3853,148.0468,149.5166,3855069.0
2019-03-14,149.8303,149.9681,147.5181,148.0289,3762115.0
2019-03-15,147.4195,149.3181,147.1685,147.8766,9732434.0
2019-03-16,147.4195,149.3181,147.1685,147.8766,9732434.0
2019-03-17,147.4195,149.3181,147.1685,147.8766,9732434.0
2019-03-18,147.8766,150.1799,147.536,148.9879,4071698.0
2019-03-19,148.6563,148.71,143.6733,144.0676,5727994.0
2019-03-20,144.3903,145.5733,143.5365,144.2917,3802445.0
2019-03-21,143.3238,146.3261,142.9473,145.7346,3316650.0
2019-03-22,145.2686,145.5822,143.4447,143.9511,3556674.0
2019-03-23,145.2686,145.5822,143.4447,143.9511,3556674.0
2019-03-24,145.2686,145.5822,143.4447,143.9511,3556674.0
2019-03-25,144.0318,146.7115,143.9332,144.7398,3137226.0
2019-03-26,146.1379,146.1379,143.6285,145.0176,2628207.0
2019-03-27,144.9101,146.6174,144.7398,146.0931,2871853.0
2019-03-28,146.7652,148.3067,146.7652,148.0558,2829645.0
2019-03-29,148.9341,150.6907,148.6004,149.8482,3646922.0
2019-03-30,148.9341,150.6907,148.6004,149.8482,3646922.0
2019-03-31,148.9341,150.6907,148.6004,149.8482,3646922.0
2019-04-01,151.4077,153.4959,151.0402,153.1822,3371953.0
2019-04-02,152.9581,153.5138,151.578,152.1605,2260052.0
2019-04-03,152.6803,153.2718,151.4077,152.0081,2669126.0
2019-04-04,151.7124,152.51,150.8431,151.2732,2788629.0
2019-04-05,151.6048,152.3487,151.0223,151.2105,2214433.0
2019-04-06,151.6048,152.3487,151.0223,151.2105,2214433.0
2019-04-07,151.6048,152.3487,151.0223,151.2105,2214433.0
2019-04-08,150.9416,151.2912,150.0096,151.1836,2580757.0
2019-04-09,150.1709,150.1709,148.5667,148.8534,3025048.0
2019-04-10,149.5435,149.9289,147.8497,149.0865,3551540.0
2019-04-11,149.3105,149.6959,148.1096,149.3733,2378425.0
2019-04-12,150.377,152.0305,149.669,151.9096,3091793.0
2019-04-13,150.377,152.0305,149.669,151.9096,3091793.0
2019-04-14,150.377,152.0305,149.669,151.9096,3091793.0
2019-04-15,151.9096,152.5728,149.678,150.2336,3052574.0
2019-04-16,150.3681,150.8789,149.6107,150.5473,2361354.0
2019-04-17,153.3525,154.41,151.1657,151.7124,5437155.0
2019-04-18,157.018,159.3213,156.4803,158.3265,8684655.0
2019-04-19,157.018,159.3213,156.4803,158.3265,8684655.0
2019-04-20,157.018,159.3213,156.4803,158.3265,8684655.0
2019-04-21,157.018,159.3213,156.4803,158.3265,8684655.0
2019-04-22,158.3713,160.9166,157.8425,159.2765,4969735.0
2019-04-23,158.8553,159.0614,157.1435,158.3892,3284861.0
2019-04-24,159.1152,160.5133,158.3892,158.4878,2859045.0
2019-04-25,156.9642,158.7567,156.068,157.2779,2199918.0
2019-04-26,157.3407,158.8642,156.9553,158.8284,2234054.0
2019-04-27,157.3407,158.8642,156.9553,158.8284,2234054.0
2019-04-28,157.3407,158.8642,156.9553,158.8284,2234054.0
2019-04-29,158.694,159.3034,158.0218,158.1024,1836407.0
2019-04-30,157.8067,159.2227,156.7133,158.6671,2444055.0
2019-05-01,158.6402,159.5454,156.8836,157.1614,2601323.0
2019-05-02,156.4444,157.7036,155.7723,157.6364,2313295.0
2019-05-03,159.4289,161.3378,159.1152,160.6029,2729465.0
2019-05-04,159.4289,161.3378,159.1152,160.6029,2729465.0
2019-05-05,159.4289,161.3378,159.1152,160.6029,2729465.0
2019-05-06,157.9591,160.9883,157.4482,158.7746,2705968.0
2019-05-07,156.6954,157.4841,154.4459,156.6147,4547325.0
2019-05-08,156.7312,158.7836,156.4265,157.3586,2314524.0
2019-05-09,155.9426,157.7798,154.7864,157.4034,2138414.0
2019-05-10,156.2383,157.968,153.9798,157.6633,2659624.0
2019-05-11,156.2383,157.968,153.9798,157.6633,2659624.0
2019-05-12,156.2383,157.968,153.9798,157.6633,2659624.0
2019-05-13,154.4907,155.3779,152.4742,153.9619,3649453.0
2019-05-14,154.5893,157.9053,154.5534,156.3817,2560625.0
2019-05-15,155.4944,156.6954,154.4907,155.7364,4089183.0
2019-05-16,156.0143,158.21,155.826,157.4034,5131258.0
2019-05-17,155.5393,157.8246,155.3062,156.4982,4596293.0
2019-05-18,155.5393,157.8246,155.3062,156.4982,4596293.0
2019-05-19,155.5393,157.8246,155.3062,156.4982,4596293.0
2019-05-20,155.9963,157.4482,155.2166,156.6058,3065379.0
2019-05-21,157.735,158.0308,156.3548,156.8746,2519447.0
2019-05-22,156.5072,157.0001,155.0643,156.3548,1995260.0
2019-05-23,154.4996,154.9657,152.1515,154.7327,3573605.0
2019-05-24,155.6558,155.9246,153.227,154.3025,1815932.0
2019-05-25,155.6558,155.9246,153.227,154.3025,1815932.0
2019-05-26,155.6558,155.9246,153.227,154.3025,1815932.0
2019-05-27,155.6558,155.9246,153.227,154.3025,1815932.0
2019-05-28,155.0463,155.9515,152.1247,152.1874,3819298.0
2019-05-29,151.8558,152.1605,150.6817,151.4614,3116726.0
2019-05-30,152.1912,153.038,151.3443,152.6867,2160528.0
2019-05-31,150.6776,151.2903,148.101,150.2542,4215953.0
2019-06-01,150.6776,151.2903,148.101,150.2542,4215953.0
2019-06-02,150.6776,151.2903,148.101,150.2542,4215953.0
2019-06-03,150.1281,151.9119,149.1731,149.8578,2788465.0
2019-06-04,151.3353,153.6867,150.4884,153.5245,3287969.0
2019-06-05,154.0561,155.9029,153.7948,155.3894,3068632.0
2019-06-06,155.1191,155.1822,152.8218,153.7588,2276297.0
2019-06-07,154.011,155.4345,153.6326,154.9299,2221174.0
2019-06-08,154.011,155.4345,153.6326,154.9299,2221174.0
2019-06-09,154.011,155.4345,153.6326,154.9299,2221174.0
2019-06-10,156.3354,157.5921,155.02,155.3083,2182810.0
2019-06-11,155.984,156.5426,152.1912,154.0651,1989920.0
2019-06-12,153.8849,154.9828,152.8308,154.2633,2239241.0
2019-06-13,152.6687,153.3624,149.9029,150.5875,4219737.0
2019-06-14,150.9029,151.047,148.4884,150.4434,3579612.0
2019-06-15,150.9029,151.047,148.4884,150.4434,3579612.0
2019-06-16,150.9029,151.047,148.4884,150.4434,3579612.0
2019-06-17,149.3443,149.3443,147.8938,148.4163,4444106.0
2019-06-18,149.4794,150.8668,148.7947,149.1371,4132029.0
2019-06-19,149.3983,150.02,147.2992,149.4884,3778216.0
2019-06-20,151.538,151.8578,150.1371,150.8398,3405264.0
2019-06-21,151.02,153.5335,150.4542,152.1371,5885177.0
2019-06-22,151.02,153.5335,150.4542,152.1371,5885177.0
2019-06-23,151.02,153.5335,150.4542,152.1371,5885177.0
2019-06-24,152.2272,152.4705,150.3623,150.6776,2542468.0
2019-06-25,150.6957,151.1371,147.7046,149.8758,2586556.0
2019-06-26,150.2272,150.6506,149.11,149.3983,2423072.0
2019-06-27,149.9209,151.2002,149.5515,149.5605,3226516.0
2019-06-28,150.1461,152.6056,150.038,152.3533,4759327.0
2019-06-29,150.1461,152.6056,150.038,152.3533,4759327.0
2019-06-30,150.1461,152.6056,150.038,152.3533,4759327.0
2019-07-01,154.1462,156.2453,153.8669,154.5065,3223435.0
2019-07-02,154.7678,154.9385,152.9479,154.2633,2267651.0
2019-07-03,154.2993,154.9615,153.6326,154.7768,1172288.0
2019-07-04,154.2993,154.9615,153.6326,154.7768,1172288.0
2019-07-05,154.3083,154.4074,150.3893,153.1822,2605475.0
2019-07-06,154.3083,154.4074,150.3893,153.1822,2605475.0
2019-07-07,154.3083,154.4074,150.3893,153.1822,2605475.0
2019-07-08,152.5245,153.2182,151.9209,152.7858,2200703.0
2019-07-09,152.1822,153.1551,151.8488,152.7948,2057498.0
2019-07-10,154.0471,154.0921,152.1551,152.7678,1703058.0
2019-07-11,152.975,155.1822,152.3623,154.7317,2341013.0
2019-07-12,155.2993,157.0741,155.0651,156.8038,2036418.0
2019-07-13,155.2993,157.0741,155.0651,156.8038,2036418.0
2019-07-14,155.2993,157.0741,155.0651,156.8038,2036418.0
2019-07-15,156.3624,156.7318,155.3444,155.5786,1994445.0
2019-07-16,156.2363,159.2093,155.8669,157.7948,2958291.0
2019-07-17,154.0561,154.5155,147.5695,148.2452,10726079.0
2019-07-18,156.6327,157.5696,153.6056,156.984,7477178.0
2019-07-19,157.1192,159.9931,156.8038,157.93,4732560.0
2019-07-20,157.1192,159.9931,156.8038,157.93,4732560.0
2019-07-21,157.1192,159.9931,156.8038,157.93,4732560.0
2019-07-22,157.921,158.6868,155.3083,156.3804,3757070.0
2019-07-23,156.8489,156.9885,154.4615,156.0561,2599028.0
2019-07-24,154.7498,157.939,154.1822,157.0921,3149018.0
2019-07-25,156.8129,157.7543,155.7318,156.0471,1943384.0
2019-07-26,157.2723,158.3084,156.1732,156.966,1627793.0
2019-07-27,157.2723,158.3084,156.1732,156.966,1627793.0
2019-07-28,157.2723,158.3084,156.1732,156.966,1627793.0
2019-07-29,156.8669,160.1282,156.7408,159.912,3386123.0
2019-07-30,159.3174,161.6958,159.0561,161.5336,2824972.0
2019-07-31,160.4976,162.4345,159.7318,162.1192,4508414.0
2019-08-01,159.7769,162.6508,157.2723,157.6687,4428009.0
2019-08-02,156.8309,157.4885,155.0471,156.3264,2329851.0
2019-08-03,156.8309,157.4885,155.0471,156.3264,2329851.0
2019-08-04,156.8309,157.4885,155.0471,156.3264,2329851.0
2019-08-05,153.7678,154.4254,149.11,150.3083,4051403.0
2019-08-06,151.4614,152.6596,149.8848,151.6506,2055303.0
2019-08-07,149.9299,150.6686,147.5695,150.3803,2152486.0
2019-08-08,151.4885,153.7047,150.6056,152.8849,2395575.0
2019-08-09,151.8939,152.8578,149.5155,151.3623,2325919.0
2019-08-10,151.8939,152.8578,149.5155,151.3623,2325919.0
2019-08-11,151.8939,152.8578,149.5155,151.3623,2325919.0
2019-08-12,150.6326,151.993,148.9569,149.2542,2861774.0
2019-08-13,148.7767,152.8398,147.9929,152.056,2281014.0
2019-08-14,149.5875,150.3083,146.9028,147.4794,3113777.0
2019-08-15,147.4253,147.7136,144.7226,146.3533,2873603.0
2019-08-16,147.8488,150.3533,147.2542,149.7767,2171455.0
2019-08-17,147.8488,150.3533,147.2542,149.7767,2171455.0
2019-08-18,147.8488,150.3533,147.2542,149.7767,2171455.0
2019-08-19,152.2092,153.4074,151.5876,152.038,2630058.0
2019-08-20,151.984,152.0921,150.8668,150.9569,2362047.0
2019-08-21,151.8128,152.7317,151.1596,151.8308,1724094.0
2019-08-22,152.3263,153.2362,149.5065,149.6146,4017740.0
2019-08-23,148.7497,149.065,143.2902,144.128,3590019.0
2019-08-24,148.7497,149.065,143.2902,144.128,3590019.0
2019-08-25,148.7497,149.065,143.2902,144.128,3590019.0
2019-08-26,145.4614,146.3262,142.6055,143.3442,3299368.0
2019-08-27,144.7857,144.7857,141.6955,141.8667,3994922.0
2019-08-28,141.8667,143.8983,141.0919,142.7046,5841067.0
2019-08-29,144.5266,147.5542,143.4116,146.6024,4395025.0
2019-08-30,147.2188,148.7326,146.3576,146.8109,2987240.0
2019-08-31,147.2188,148.7326,146.3576,146.8109,2987240.0
2019-09-01,147.2188,148.7326,146.3576,146.8109,2987240.0
2019-09-02,147.2188,148.7326,146.3576,146.8109,2987240.0
2019-09-03,145.986,146.9378,143.8558,144.4269,2682414.0
2019-09-04,145.2518,145.85,143.7833,145.1067,3890373.0
2019-09-05,147.255,151.0713,146.9378,150.5908,3802856.0
2019-09-06,150.8446,151.5697,148.787,149.2039,2055672.0
2019-09-07,150.8446,151.5697,148.787,149.2039,2055672.0
2019-09-08,150.8446,151.5697,148.787,149.2039,2055672.0
2019-09-09,149.6753,150.89,148.6691,150.5818,3297628.0
2019-09-10,149.8838,152.0412,149.4306,151.8961,3006673.0
2019-09-11,152.15,152.2769,150.2192,151.6514,2617925.0
2019-09-12,152.023,152.8117,150.609,152.023,2357484.0
2019-09-13,153.4915,156.1021,153.2105,155.4132,3159977.0
2019-09-14,153.4915,156.1021,153.2105,155.4132,3159977.0
2019-09-15,153.4915,156.1021,153.2105,155.4132,3159977.0
2019-09-16,153.0202,154.9056,151.3795,153.1471,2652477.0
2019-09-17,153.0927,153.8088,150.7812,151.2888,3144721.0
2019-09-18,150.6271,152.3494,149.6195,152.1681,1613530.0
2019-09-19,152.1681,152.3675,150.9262,151.4792,2470414.0
2019-09-20,152.4853,152.8031,150.1195,150.8174,3638196.0
2019-09-21,152.4853,152.8031,150.1195,150.8174,3638196.0
2019-09-22,152.4853,152.8031,150.1195,150.8174,3638196.0
2019-09-23,150.473,151.5517,149.8747,150.5183,2287679.0
2019-09-24,151.461,153.5096,148.7416,149.639,3767865.0
2019-09-25,149.8294,150.1648,148.2522,148.2975,4860746.0
2019-09-26,148.5332,150.1013,148.2975,148.4153,4227965.0
2019-09-27,148.9592,149.3943,146.7202,147.4726,3212576.0
2019-09-28,148.9592,149.3943,146.7202,147.4726,3212576.0
2019-09-29,148.9592,149.3943,146.7202,147.4726,3212576.0
2019-09-30,148.6782,149.4849,146.7202,146.829,3399297.0
2019-10-01,147.6358,147.9213,140.9642,141.363,6045097.0
2019-10-02,140.0487,140.239,136.2778,137.8006,5447479.0
2019-10-03,138.1904,139.3688,135.1447,139.2963,3366117.0
2019-10-04,139.5954,141.78,139.0878,141.6984,3544455.0
2019-10-05,139.5954,141.78,139.0878,141.6984,3544455.0
2019-10-06,139.5954,141.78,139.0878,141.6984,3544455.0
2019-10-07,140.9098,142.2292,140.3841,141.3268,3285330.0
2019-10-08,139.9127,140.3251,137.1298,137.3021,4320455.0
2019-10-09,138.6346,140.094,138.2176,138.8975,3948881.0
2019-10-10,138.5802,141.363,138.2901,141.1999,3591660.0
2019-10-11,143.1306,147.0647,142.6774,146.2942,4858016.0
2019-10-12,143.1306,147.0647,142.6774,146.2942,4858016.0
2019-10-13,143.1306,147.0647,142.6774,146.2942,4858016.0
2019-10-14,145.5056,145.704,144.0008,144.6263,2351239.0
2019-10-15,145.4059,148.3519,144.581,147.8805,3846960.0
2019-10-16,147.6992,149.4849,147.3004,148.0346,3808233.0
2019-10-17,146.9468,150.5727,144.6807,148.37,6321197.0
2019-10-18,147.9168,148.5966,144.9073,146.3939,5176687.0
2019-10-19,147.9168,148.5966,144.9073,146.3939,5176687.0
2019-10-20,147.9168,148.5966,144.9073,146.3939,5176687.0
2019-10-21,147.0284,151.742,146.6205,151.4429,3172472.0
2019-10-22,151.4067,154.9509,150.2373,154.7968,4167605.0
2019-10-23,154.0445,155.0053,152.6258,154.126,3324291.0
2019-10-24,154.8784,155.8665,153.8994,154.4524,2096628.0
2019-10-25,154.4524,156.5282,153.555,156.2109,1868354.0
2019-10-26,154.4524,156.5282,153.555,156.2109,1868354.0
2019-10-27,154.4524,156.5282,153.555,156.2109,1868354.0
2019-10-28,156.7004,156.8726,154.6155,154.7787,2185210.0
2019-10-29,153.845,154.6155,153.2862,154.2711,2112284.0
2019-10-30,153.3918,153.7798,150.7993,152.2406,2891616.0
2019-10-31,151.6967,152.2406,148.3201,149.9835,3909500.0
2019-11-01,151.5608,156.4103,151.0985,156.3922,3548341.0
2019-11-02,151.5608,156.4103,151.0985,156.3922,3548341.0
2019-11-03,151.5608,156.4103,151.0985,156.3922,3548341.0
2019-11-04,157.0449,160.1722,156.9361,160.1087,3683176.0
2019-11-05,160.1087,162.6921,159.9455,161.1421,5011395.0
2019-11-06,161.0696,161.3415,158.885,159.8458,2855925.0
2019-11-07,161.0605,163.1635,160.145,160.4532,2628128.0
2019-11-08,159.9093,160.145,158.7671,159.6283,1441810.0
2019-11-09,159.9093,160.145,158.7671,159.6283,1441810.0
2019-11-10,159.9093,160.145,158.7671,159.6283,1441810.0
2019-11-11,158.5496,160.5438,158.1189,160.2628,1252110.0
2019-11-12,159.8912,160.29,158.5496,159.0572,1775461.0
2019-11-13,158.0057,159.9002,157.4165,159.1207,2281782.0
2019-11-14,159.1207,159.7189,157.8063,158.4227,2151997.0
2019-11-15,158.7943,160.5347,158.4227,159.7824,2160266.0
2019-11-16,158.7943,160.5347,158.4227,159.7824,2160266.0
2019-11-17,158.7943,160.5347,158.4227,159.7824,2160266.0
2019-11-18,159.3745,159.9637,158.2427,159.7642,2930130.0
2019-11-19,159.6011,160.707,159.0255,160.5982,3593968.0
2019-11-20,160.1359,161.0832,157.5253,157.8063,2915101.0
2019-11-21,157.5797,158.4771,156.1837,157.8788,1704353.0
2019-11-22,158.3411,159.5286,157.5434,159.4832,1934984.0
2019-11-23,158.3411,159.5286,157.5434,159.4832,1934984.0
2019-11-24,158.3411,159.5286,157.5434,159.4832,1934984.0
2019-11-25,159.7008,163.1544,159.2385,163.0728,2655969.0
2019-11-26,162.4927,163.1182,161.4049,161.4321,2947850.0
2019-11-27,161.7603,162.052,160.3476,161.496,2114135.0
2019-11-28,161.7603,162.052,160.3476,161.496,2114135.0
2019-11-29,160.9127,161.3137,159.901,160.4023,975642.0
2019-11-30,160.9127,161.3137,159.901,160.4023,975642.0
2019-12-01,160.9127,161.3137,159.901,160.4023,975642.0
2019-12-02,160.2838,160.9309,157.4857,157.6771,2099671.0
2019-12-03,155.7631,155.9181,152.3453,153.12,4273096.0
2019-12-04,154.1863,157.5769,153.9858,156.2735,3623012.0
2019-12-05,156.4102,156.6654,154.3595,155.3894,2647600.0
2019-12-06,157.0482,158.7025,156.5697,156.7657,2123929.0
2019-12-07,157.0482,158.7025,156.5697,156.7657,2123929.0
2019-12-08,157.0482,158.7025,156.5697,156.7657,2123929.0
2019-12-09,156.1186,157.2943,155.4168,156.1824,2087118.0
2019-12-10,155.6993,157.2214,155.0613,156.629,1811612.0
2019-12-11,157.4766,159.2083,156.7748,158.9987,2015840.0
2019-12-12,158.6706,160.703,157.8321,159.7005,3378740.0
2019-12-13,160.2564,161.8059,158.7344,161.3502,2842405.0
2019-12-14,160.2564,161.8059,158.7344,161.3502,2842405.0
2019-12-15,160.2564,161.8059,158.7344,161.3502,2842405.0
2019-12-16,162.4986,164.8227,162.2525,164.1391,3625750.0
2019-12-17,163.8201,164.6557,161.3866,161.6783,3516788.0
2019-12-18,162.0064,163.4191,160.9036,162.4348,3786044.0
2019-12-19,162.0975,163.3302,161.3502,161.7512,2479216.0
2019-12-20,162.9725,164.5675,161.0676,164.4217,6140374.0
2019-12-21,162.9725,164.5675,161.0676,164.4217,6140374.0
2019-12-22,162.9725,164.5675,161.0676,164.4217,6140374.0
2019-12-23,164.4217,164.6769,163.1457,163.5285,1888071.0
2019-12-24,163.8384,164.49,163.472,163.9568,666016.0
2019-12-25,163.8384,164.49,163.472,163.9568,666016.0
2019-12-26,164.3852,164.8956,163.6014,164.7954,1171702.0
2019-12-27,164.9685,165.5063,164.6586,165.3422,1363023.0
2019-12-28,164.9685,165.5063,164.6586,165.3422,1363023.0
2019-12-29,164.9685,165.5063,164.6586,165.3422,1363023.0
2019-12-30,165.1052,165.3149,163.6925,164.1938,1493040.0
2019-12-31,164.0206,165.2055,163.6378,164.7771,1588754.0
2020-01-01,164.0206,165.2055,163.6378,164.7771,1588754.0
2020-01-02,164.923,166.2263,164.0298,166.126,2320912.0
2020-01-03,163.6378,165.1417,162.4986,164.9503,2344175.0
2020-01-04,163.6378,165.1417,162.4986,164.9503,2344175.0
2020-01-05,163.6378,165.1417,162.4986,164.9503,2344175.0
2020-01-06,163.7837,164.13,162.175,163.5376,3142472.0
2020-01-07,163.3553,163.6743,161.8788,162.298,4100252.0
2020-01-08,162.134,165.0141,161.7603,164.0753,2817514.0
2020-01-09,164.5219,164.8136,162.7538,163.2368,3311081.0
2020-01-10,163.2368,163.9933,162.0702,162.1796,2944343.0
2020-01-11,163.2368,163.9933,162.0702,162.1796,2944343.0
2020-01-12,163.2368,163.9933,162.0702,162.1796,2944343.0
2020-01-13,162.2251,164.048,161.9061,163.966,2035298.0
2020-01-14,164.5128,166.5453,164.1938,164.7862,2806034.0
2020-01-15,165.5427,166.2628,164.6313,164.7862,3450735.0
2020-01-16,165.4789,167.8578,164.8865,167.6117,3227407.0
2020-01-17,167.4112,169.2067,166.7914,168.9059,4008603.0
2020-01-18,167.4112,169.2067,166.7914,168.9059,4008603.0
2020-01-19,167.4112,169.2067,166.7914,168.9059,4008603.0
2020-01-20,167.4112,169.2067,166.7914,168.9059,4008603.0
2020-01-21,167.8486,168.1859,165.0779,166.2992,3441029.0
2020-01-22,167.0375,167.1633,164.4581,164.9047,2993865.0
2020-01-23,167.2471,171.0569,164.9047,170.6103,4950550.0
2020-01-24,169.6533,172.2235,168.1859,169.234,2733964.0
2020-01-25,169.6533,172.2235,168.1859,169.234,2733964.0
2020-01-26,169.6533,172.2235,168.1859,169.234,2733964.0
2020-01-27,165.9073,167.6664,162.5077,162.6626,4184125.0
2020-01-28,164.3032,165.5883,163.5558,163.729,3264475.0
2020-01-29,165.5154,167.9489,164.4581,165.6794,2270818.0
2020-01-30,163.7563,167.2471,163.1548,166.8552,2994370.0
2020-01-31,165.5974,166.3083,162.69,163.5285,3653671.0
2020-02-01,165.5974,166.3083,162.69,163.5285,3653671.0
2020-02-02,165.5974,166.3083,162.69,163.5285,3653671.0
2020-02-03,164.85,165.9255,163.5102,164.3214,2493200.0
2020-02-04,166.518,168.6325,166.518,167.0101,1858155.0
2020-02-05,169.389,169.389,168.04,168.6963,2133502.0
2020-02-06,170.2639,171.0432,168.4685,169.6259,2932442.0
2020-02-07,168.3955,169.2067,167.001,167.5479,2221484.0
2020-02-08,168.3955,169.2067,167.001,167.5479,2221484.0
2020-02-09,168.3955,169.2067,167.001,167.5479,2221484.0
2020-02-10,165.8708,168.4502,165.4972,168.3135,1782836.0
2020-02-11,169.2249,169.234,166.8825,167.0648,1521667.0
2020-02-12,168.4502,169.4892,167.4157,168.4866,2612632.0
2020-02-13,167.6664,169.1155,167.0739,168.2861,1861505.0
2020-02-14,168.2132,169.0972,166.4744,167.7028,2134822.0
2020-02-15,168.2132,169.0972,166.4744,167.7028,2134822.0
2020-02-16,168.2132,169.0972,166.4744,167.7028,2134822.0
2020-02-17,168.2132,169.0972,166.4744,167.7028,2134822.0
2020-02-18,167.2106,168.1532,165.5701,165.9711,3164393.0
2020-02-19,166.7732,169.07,166.4997,167.2471,2807221.0
2020-02-20,167.0922,168.1768,165.5701,167.156,2190872.0
2020-02-21,165.9893,166.6319,164.768,165.6248,2890700.0
2020-02-22,165.9893,166.6319,164.768,165.6248,2890700.0
2020-02-23,165.9893,166.6319,164.768,165.6248,2890700.0
2020-02-24,160.5846,162.0565,158.9531,161.1405,6785258.0
2020-02-25,161.733,162.3436,154.9519,155.754,7631678.0
2020-02-26,154.6056,157.5085,150.8779,151.0693,4921386.0
2020-02-27,147.1087,151.3993,143.3132,146.3386,7914686.0
2020-02-28,142.1122,146.6686,140.0769,146.5128,7060262.0
2020-02-29,142.1122,146.6686,140.0769,146.5128,7060262.0
2020-03-01,142.1122,146.6686,140.0769,146.5128,7060262.0
