,VRTX US Equity,VRTX US Equity,VRTX US Equity,VRTX US Equity,VRTX US Equity
2020-03-24,207.84,224.98,207.84,223.13,2830846.0
2020-03-25,219.88,224.0,209.51,210.09,2066918.0
2020-03-26,209.8,225.62,209.43,224.49,1752736.0
2020-03-27,219.43,224.18,215.5688,217.24,1712723.0
2020-03-28,219.43,224.18,215.5688,217.24,1712723.0
2020-03-29,219.43,224.18,215.5688,217.24,1712723.0
2020-03-30,221.34,233.77,220.0,231.92,2138951.0
2020-03-31,228.95,240.0,228.02,237.95,3300687.0
2020-04-01,232.12,234.98,223.45,225.48,1482254.0
2020-04-02,222.77,242.96,222.39,242.16,2503957.0
2020-04-03,241.38,247.45,234.35,238.31,1989809.0
2020-04-04,241.38,247.45,234.35,238.31,1989809.0
2020-04-05,241.38,247.45,234.35,238.31,1989809.0
2020-04-06,248.61,256.65,241.94,255.3,3046253.0
2020-04-07,263.15,267.45,245.38,247.67,3551363.0
2020-04-08,249.43,251.68,240.5,249.66,2737502.0
2020-04-09,251.9969,251.9969,243.0,246.61,2491827.0
2020-04-10,251.9969,251.9969,243.0,246.61,2491827.0
2020-04-11,251.9969,251.9969,243.0,246.61,2491827.0
2020-04-12,251.9969,251.9969,243.0,246.61,2491827.0
2020-04-13,244.66,253.83,243.805,252.28,1831345.0
2020-04-14,257.44,265.66,253.51,262.41,2180477.0
2020-04-15,260.9,262.82,254.31,255.23,2686489.0
2020-04-16,259.67,265.28,258.609,264.76,2172764.0
2020-04-17,272.34,272.67,265.15,270.46,2166774.0
2020-04-18,272.34,272.67,265.15,270.46,2166774.0
2020-04-19,272.34,272.67,265.15,270.46,2166774.0
2020-04-20,271.97,276.2599,269.05,273.26,1967867.0
2020-04-21,273.0,277.22,262.55,262.8,1602834.0
2020-04-22,267.15,271.2532,264.0027,269.37,1546047.0
2020-04-23,270.03,277.7999,266.92,267.91,2770594.0
2020-04-24,270.12,271.345,266.43,269.86,1805896.0
2020-04-25,270.12,271.345,266.43,269.86,1805896.0
2020-04-26,270.12,271.345,266.43,269.86,1805896.0
2020-04-27,275.0,275.26,267.16,268.51,2181623.0
2020-04-28,268.0,269.95,250.43,256.96,2338277.0
2020-04-29,260.97,262.0,250.52,251.05,2401696.0
2020-04-30,257.75,258.5,245.06,251.2,2825201.0
2020-05-01,249.26,256.0,248.0,254.9,1940527.0
2020-05-02,249.26,256.0,248.0,254.9,1940527.0
2020-05-03,249.26,256.0,248.0,254.9,1940527.0
2020-05-04,257.4,265.0,256.01,264.69,2650479.0
2020-05-05,266.97,274.06,264.8,272.33,1934615.0
2020-05-06,272.33,275.55,268.0,270.06,1290338.0
2020-05-07,272.69,273.72,266.83,270.01,1622385.0
2020-05-08,269.5,274.41,268.29,271.63,1084271.0
2020-05-09,269.5,274.41,268.29,271.63,1084271.0
2020-05-10,269.5,274.41,268.29,271.63,1084271.0
2020-05-11,271.45,286.82,270.44,285.28,2068457.0
2020-05-12,287.33,288.515,276.41,276.47,1727937.0
2020-05-13,276.6,284.8561,272.19,277.03,1645070.0
2020-05-14,277.56,282.48,272.21,277.0,3076324.0
2020-05-15,275.63,288.73,273.51,288.69,1740143.0
2020-05-16,275.63,288.73,273.51,288.69,1740143.0
2020-05-17,275.63,288.73,273.51,288.69,1740143.0
2020-05-18,293.78,295.5525,283.1,284.13,1727055.0
2020-05-19,285.3,288.41,281.14,282.28,1267158.0
2020-05-20,284.81,285.99,282.13,284.62,1436482.0
2020-05-21,285.26,285.4,281.25,284.63,1315089.0
2020-05-22,284.18,286.0,281.5175,284.96,1066589.0
2020-05-23,284.18,286.0,281.5175,284.96,1066589.0
2020-05-24,284.18,286.0,281.5175,284.96,1066589.0
2020-05-25,284.18,286.0,281.5175,284.96,1066589.0
2020-05-26,287.95,288.5,264.41,266.5,3486950.0
2020-05-27,264.38,278.69,254.41,278.51,3189591.0
2020-05-28,276.27,283.73,276.0675,277.38,1922230.0
2020-05-29,281.35,289.44,276.04,287.96,5408867.0
2020-05-30,281.35,289.44,276.04,287.96,5408867.0
2020-05-31,281.35,289.44,276.04,287.96,5408867.0
2020-06-01,285.42,288.73,283.8238,286.64,1819617.0
2020-06-02,283.92,286.176,278.66,284.27,1600761.0
2020-06-03,283.72,283.8,274.06,277.01,1783009.0
2020-06-04,274.27,279.285,270.76,272.82,1603933.0
2020-06-05,270.82,271.68,262.55,265.69,2753400.0
2020-06-06,270.82,271.68,262.55,265.69,2753400.0
2020-06-07,270.82,271.68,262.55,265.69,2753400.0
2020-06-08,264.05,265.84,261.28,265.01,2088686.0
2020-06-09,267.28,275.1399,265.09,270.85,2687854.0
2020-06-10,275.76,277.9,271.81,274.34,1600242.0
2020-06-11,275.56,276.36,263.67,263.89,1831276.0
2020-06-12,268.12,271.39,262.3,268.56,1530170.0
2020-06-13,268.12,271.39,262.3,268.56,1530170.0
2020-06-14,268.12,271.39,262.3,268.56,1530170.0
2020-06-15,264.77,268.52,262.24,267.77,1385514.0
2020-06-16,270.43,275.69,268.22,273.77,1557610.0
2020-06-17,273.88,282.76,273.77,280.09,1645370.0
2020-06-18,279.4,282.2163,275.93,279.19,1371969.0
2020-06-19,280.3,295.54,280.3,293.27,4085277.0
2020-06-20,280.3,295.54,280.3,293.27,4085277.0
2020-06-21,280.3,295.54,280.3,293.27,4085277.0
2020-06-22,294.0,295.0,287.8001,293.2,1592292.0
2020-06-23,294.06,299.21,293.31,295.8,1571831.0
2020-06-24,294.93,297.71,288.9,291.18,1622162.0
2020-06-25,292.38,295.36,288.8315,295.15,1188827.0
2020-06-26,292.68,293.0,284.74,286.14,1895477.0
2020-06-27,292.68,293.0,284.74,286.14,1895477.0
2020-06-28,292.68,293.0,284.74,286.14,1895477.0
2020-06-29,286.95,287.65,280.89,285.18,1452670.0
2020-06-30,287.68,292.37,283.0,290.31,2171974.0
2020-07-01,290.5,291.66,283.7911,286.28,1752378.0
2020-07-02,288.52,293.95,287.45,291.1,1101751.0
2020-07-03,288.52,293.95,287.45,291.1,1101751.0
2020-07-04,288.52,293.95,287.45,291.1,1101751.0
2020-07-05,288.52,293.95,287.45,291.1,1101751.0
2020-07-06,294.36,295.0,289.63,291.31,1342103.0
2020-07-07,292.3,306.08,291.45,299.06,1624913.0
2020-07-08,300.05,301.65,292.13,295.92,1500327.0
2020-07-09,295.52,297.79,290.05,295.4,1107003.0
2020-07-10,293.95,295.0,290.86,294.45,911425.0
2020-07-11,293.95,295.0,290.86,294.45,911425.0
2020-07-12,293.95,295.0,290.86,294.45,911425.0
2020-07-13,293.05,296.85,283.85,284.82,1667442.0
2020-07-14,283.14,294.72,279.117,293.83,1738338.0
2020-07-15,292.76,295.346,290.2,295.11,1127012.0
2020-07-16,292.01,293.33,284.69,290.56,903486.0
2020-07-17,291.528,294.67,289.28,294.53,1072168.0
2020-07-18,291.528,294.67,289.28,294.53,1072168.0
2020-07-19,291.528,294.67,289.28,294.53,1072168.0
2020-07-20,292.69,304.0,292.69,303.1,1256143.0
2020-07-21,300.65,301.14,290.96,291.4,1515381.0
2020-07-22,293.56,293.56,286.46,291.23,846262.0
2020-07-23,291.33,291.99,283.32,284.46,1310213.0
2020-07-24,281.78,282.64,276.5001,278.49,1837754.0
2020-07-25,281.78,282.64,276.5001,278.49,1837754.0
2020-07-26,281.78,282.64,276.5001,278.49,1837754.0
2020-07-27,280.8395,285.57,277.68,284.21,1485115.0
2020-07-28,283.83,284.59,278.14,278.52,1098626.0
2020-07-29,280.28,281.59,278.09,278.72,1091182.0
2020-07-30,275.0753,282.28,274.662,279.4,1538387.0
2020-07-31,278.8772,283.0,268.25,272.0,2983981.0
2020-08-01,278.8772,283.0,268.25,272.0,2983981.0
2020-08-02,278.8772,283.0,268.25,272.0,2983981.0
2020-08-03,274.2,280.59,274.0,279.52,1716272.0
2020-08-04,279.23,280.57,274.03,275.71,1286550.0
2020-08-05,275.41,275.75,271.16,273.23,1329929.0
2020-08-06,269.3,273.88,268.58,273.34,1142341.0
2020-08-07,273.48,277.2,269.95,272.99,1005983.0
2020-08-08,273.48,277.2,269.95,272.99,1005983.0
2020-08-09,273.48,277.2,269.95,272.99,1005983.0
2020-08-10,271.58,272.29,265.09,268.73,1186829.0
2020-08-11,266.0,267.99,261.3,261.86,1370330.0
2020-08-12,263.08,271.35,262.87,270.85,1262792.0
2020-08-13,270.06,272.73,266.87,267.15,979231.0
2020-08-14,268.29,269.95,265.8,267.29,1008402.0
2020-08-15,268.29,269.95,265.8,267.29,1008402.0
2020-08-16,268.29,269.95,265.8,267.29,1008402.0
2020-08-17,267.9,274.17,267.84,273.84,985031.0
2020-08-18,275.0,275.0,269.26,271.31,887147.0
2020-08-19,270.85,273.99,269.53,270.07,996791.0
2020-08-20,270.67,272.09,268.6,271.43,1117743.0
2020-08-21,271.73,273.11,267.99,271.28,1064119.0
2020-08-22,271.73,273.11,267.99,271.28,1064119.0
2020-08-23,271.73,273.11,267.99,271.28,1064119.0
2020-08-24,269.9,271.94,263.47,267.43,1037528.0
2020-08-25,268.17,273.32,266.225,272.35,1316199.0
2020-08-26,272.86,272.86,268.82,271.29,857565.0
2020-08-27,272.95,275.625,269.72,274.34,961049.0
2020-08-28,272.94,275.26,268.1,269.96,813757.0
2020-08-29,272.94,275.26,268.1,269.96,813757.0
2020-08-30,272.94,275.26,268.1,269.96,813757.0
2020-08-31,270.35,279.74,270.0,279.12,1311319.0
2020-09-01,277.87,279.96,271.77,275.49,1252788.0
2020-09-02,275.64,283.45,273.72,281.89,1352375.0
2020-09-03,281.86,281.86,265.25,267.42,1619607.0
2020-09-04,267.84,269.91,263.01,266.5,1514846.0
2020-09-05,267.84,269.91,263.01,266.5,1514846.0
2020-09-06,267.84,269.91,263.01,266.5,1514846.0
2020-09-07,267.84,269.91,263.01,266.5,1514846.0
2020-09-08,261.78,264.84,258.0,258.61,1264731.0
2020-09-09,261.11,264.36,259.04,263.04,1829238.0
2020-09-10,262.95,263.5816,253.97,255.65,1231917.0
2020-09-11,257.84,262.08,255.765,257.96,1169728.0
2020-09-12,257.84,262.08,255.765,257.96,1169728.0
2020-09-13,257.84,262.08,255.765,257.96,1169728.0
2020-09-14,261.24,268.4,260.87,264.8,1200487.0
2020-09-15,266.77,267.88,264.2375,266.85,1217533.0
2020-09-16,271.0,273.55,267.31,267.55,1387524.0
2020-09-17,258.98,273.244,258.82,271.46,1763634.0
2020-09-18,273.3,273.59,257.415,265.39,2179548.0
2020-09-19,273.3,273.59,257.415,265.39,2179548.0
2020-09-20,273.3,273.59,257.415,265.39,2179548.0
2020-09-21,264.14,264.94,259.27,264.0,1150781.0
2020-09-22,263.66,268.0,260.38,267.58,817683.0
2020-09-23,267.87,270.085,262.75,263.82,864429.0
2020-09-24,262.14,263.9,257.5,263.13,1422617.0
2020-09-25,264.1,268.91,260.52,268.18,1345847.0
2020-09-26,264.1,268.91,260.52,268.18,1345847.0
2020-09-27,264.1,268.91,260.52,268.18,1345847.0
2020-09-28,269.9,270.585,264.23,267.73,1103301.0
2020-09-29,267.82,271.68,266.38,270.31,891669.0
2020-09-30,271.33,274.66,269.465,272.12,1382840.0
2020-10-01,272.9,275.4,270.65,273.51,932574.0
2020-10-02,269.34,272.79,260.13,260.8,1339385.0
2020-10-03,269.34,272.79,260.13,260.8,1339385.0
2020-10-04,269.34,272.79,260.13,260.8,1339385.0
2020-10-05,262.86,269.07,261.7,268.98,1303341.0
2020-10-06,269.89,270.5,260.26,260.98,1023100.0
2020-10-07,263.18,266.5,262.1,265.82,764284.0
2020-10-08,267.16,268.92,264.91,268.53,777761.0
2020-10-09,268.865,270.075,266.2401,269.95,877773.0
2020-10-10,268.865,270.075,266.2401,269.95,877773.0
2020-10-11,268.865,270.075,266.2401,269.95,877773.0
2020-10-12,273.14,277.33,269.575,274.6,1331313.0
2020-10-13,275.88,280.99,274.48,276.09,1087986.0
2020-10-14,275.19,275.75,269.789,271.46,1046518.0
2020-10-15,227.55,232.46,213.1701,215.28,17492971.0
2020-10-16,217.79,225.0,217.19,218.08,5957623.0
2020-10-17,217.79,225.0,217.19,218.08,5957623.0
2020-10-18,217.79,225.0,217.19,218.08,5957623.0
2020-10-19,219.0782,225.97,217.25,220.51,3789629.0
2020-10-20,222.0,222.62,214.48,214.54,2924795.0
2020-10-21,215.885,217.93,209.16,211.38,2775667.0
2020-10-22,210.37,214.74,208.23,210.08,2380567.0
2020-10-23,212.19,213.51,209.07,211.58,1715758.0
2020-10-24,212.19,213.51,209.07,211.58,1715758.0
2020-10-25,212.19,213.51,209.07,211.58,1715758.0
2020-10-26,209.75,210.54,204.845,207.15,2087483.0
2020-10-27,208.35,213.58,206.7889,212.19,2756330.0
2020-10-28,212.0,214.24,208.25,208.34,2221370.0
2020-10-29,209.01,210.375,205.0,207.01,1931045.0
2020-10-30,205.93,211.64,203.51,208.36,2829604.0
2020-10-31,205.93,211.64,203.51,208.36,2829604.0
2020-11-01,205.93,211.64,203.51,208.36,2829604.0
2020-11-02,211.14,211.448,202.565,207.42,1877706.0
2020-11-03,208.92,214.88,208.0,211.14,1892048.0
2020-11-04,218.27,223.7683,214.22,215.09,3778577.0
2020-11-05,220.08,220.92,216.2209,219.48,2347518.0
2020-11-06,219.12,221.72,216.36,220.28,1707943.0
2020-11-07,219.12,221.72,216.36,220.28,1707943.0
2020-11-08,219.12,221.72,216.36,220.28,1707943.0
2020-11-09,224.41,229.08,221.5,222.85,2478342.0
2020-11-10,223.77,224.74,215.06,215.35,1917814.0
2020-11-11,217.12,218.8,213.65,216.72,1647432.0
2020-11-12,217.05,221.315,216.9,218.31,2144061.0
2020-11-13,222.28,227.2683,219.64,225.52,1695453.0
2020-11-14,222.28,227.2683,219.64,225.52,1695453.0
2020-11-15,222.28,227.2683,219.64,225.52,1695453.0
2020-11-16,225.99,227.355,221.79,224.27,1706781.0
2020-11-17,222.72,223.43,218.23,222.96,1750676.0
2020-11-18,222.71,223.77,216.34,216.35,2500645.0
2020-11-19,216.42,218.141,211.395,211.97,2604055.0
2020-11-20,212.3511,217.23,210.04,215.21,2239270.0
2020-11-21,212.3511,217.23,210.04,215.21,2239270.0
2020-11-22,212.3511,217.23,210.04,215.21,2239270.0
2020-11-23,216.78,218.29,214.14,217.87,1852049.0
2020-11-24,215.53,219.47,215.13,216.5,2179767.0
2020-11-25,217.87,220.54,215.84,218.1,2033279.0
2020-11-26,217.87,220.54,215.84,218.1,2033279.0
2020-11-27,219.61,226.72,219.61,226.71,1052834.0
2020-11-28,219.61,226.72,219.61,226.71,1052834.0
2020-11-29,219.61,226.72,219.61,226.71,1052834.0
2020-11-30,231.0,232.17,224.3,227.75,4585577.0
2020-12-01,227.47,230.56,226.02,230.3,1762018.0
2020-12-02,230.3,232.45,226.32,226.7,1864363.0
2020-12-03,226.0,229.05,224.71,226.87,1291766.0
2020-12-04,227.3,230.21,225.59,228.32,948938.0
2020-12-05,227.3,230.21,225.59,228.32,948938.0
2020-12-06,227.3,230.21,225.59,228.32,948938.0
2020-12-07,231.0,231.42,225.12,227.06,1219745.0
2020-12-08,228.8083,230.2,225.4,229.83,1329922.0
2020-12-09,230.0,231.0,221.31,224.38,1992308.0
2020-12-10,224.81,224.89,221.7,224.04,1462606.0
2020-12-11,224.1,224.5593,220.93,224.17,1476048.0
2020-12-12,224.1,224.5593,220.93,224.17,1476048.0
2020-12-13,224.1,224.5593,220.93,224.17,1476048.0
2020-12-14,226.79,233.47,226.425,228.13,2220204.0
2020-12-15,229.7,230.6,226.0,228.81,1189846.0
2020-12-16,229.66,232.75,228.55,232.11,1708917.0
2020-12-17,233.0,237.35,232.32,236.92,1992842.0
2020-12-18,238.54,239.71,234.47,236.72,2929448.0
2020-12-19,238.54,239.71,234.47,236.72,2929448.0
2020-12-20,238.54,239.71,234.47,236.72,2929448.0
2020-12-21,233.02,235.58,228.8,234.55,1567185.0
2020-12-22,235.01,235.795,232.35,234.9,1128635.0
2020-12-23,235.4,238.57,234.08,235.84,1013122.0
2020-12-24,237.17,237.5,233.48,234.46,451669.0
2020-12-25,237.17,237.5,233.48,234.46,451669.0
2020-12-26,237.17,237.5,233.48,234.46,451669.0
2020-12-27,237.17,237.5,233.48,234.46,451669.0
2020-12-28,235.4,236.48,232.2,232.47,903252.0
2020-12-29,233.94,236.56,232.96,233.49,656798.0
2020-12-30,235.0,237.01,232.07,232.68,819113.0
2020-12-31,232.35,237.5,230.325,236.34,1161200.0
2021-01-01,232.35,237.5,230.325,236.34,1161200.0
2021-01-02,232.35,237.5,230.325,236.34,1161200.0
2021-01-03,232.35,237.5,230.325,236.34,1161200.0
2021-01-04,237.91,238.08,226.27,229.43,2117690.0
2021-01-05,228.84,229.92,225.09,228.58,1730541.0
2021-01-06,225.1,227.51,222.31,226.65,2306943.0
2021-01-07,227.9,233.97,227.2,232.9,1503978.0
2021-01-08,233.86,237.76,233.01,237.0,1231193.0
2021-01-09,233.86,237.76,233.01,237.0,1231193.0
2021-01-10,233.86,237.76,233.01,237.0,1231193.0
2021-01-11,235.58,236.47,227.38,234.64,2263226.0
2021-01-12,234.8,238.26,228.74,229.38,1816945.0
2021-01-13,230.2,231.055,226.94,227.1,1809591.0
2021-01-14,228.22,228.395,224.7,226.12,1728068.0
2021-01-15,226.59,227.6,224.39,225.55,2242187.0
2021-01-16,226.59,227.6,224.39,225.55,2242187.0
2021-01-17,226.59,227.6,224.39,225.55,2242187.0
2021-01-18,226.59,227.6,224.39,225.55,2242187.0
2021-01-19,227.0,233.88,223.31,231.91,2044843.0
2021-01-20,233.29,239.3608,231.18,236.7,1608815.0
2021-01-21,237.06,239.75,232.78,238.64,1624536.0
2021-01-22,237.25,241.83,236.99,237.59,1258224.0
2021-01-23,237.25,241.83,236.99,237.59,1258224.0
2021-01-24,237.25,241.83,236.99,237.59,1258224.0
2021-01-25,240.99,242.99,239.0453,241.31,1828574.0
2021-01-26,240.43,241.98,236.24,237.64,1629293.0
2021-01-27,234.0,234.0,224.7,225.25,2546174.0
2021-01-28,226.8,234.96,226.57,230.04,1593618.0
2021-01-29,229.45,232.92,227.56,229.08,2029485.0
2021-01-30,229.45,232.92,227.56,229.08,2029485.0
2021-01-31,229.45,232.92,227.56,229.08,2029485.0
2021-02-01,231.0,232.38,226.18,231.77,1927931.0
2021-02-02,225.802,227.9,216.14,217.33,6292896.0
2021-02-03,218.42,219.085,210.99,211.0,3830177.0
2021-02-04,213.35,214.79,211.6475,213.71,2908053.0
2021-02-05,214.5,217.55,212.26,215.26,2740472.0
2021-02-06,214.5,217.55,212.26,215.26,2740472.0
2021-02-07,214.5,217.55,212.26,215.26,2740472.0
2021-02-08,217.13,218.22,213.54,214.37,2141468.0
2021-02-09,214.45,215.59,212.57,213.82,1624895.0
2021-02-10,215.98,216.3,212.02,212.53,1862967.0
2021-02-11,212.48,212.89,209.72,210.495,1893699.0
2021-02-12,210.82,214.36,210.22,213.98,1798495.0
2021-02-13,210.82,214.36,210.22,213.98,1798495.0
2021-02-14,210.82,214.36,210.22,213.98,1798495.0
2021-02-15,210.82,214.36,210.22,213.98,1798495.0
2021-02-16,213.8,214.41,208.61,210.27,2509723.0
2021-02-17,209.58,215.0,208.5,214.85,2087066.0
2021-02-18,213.56,213.76,209.58,209.83,2127296.0
2021-02-19,210.0,211.73,206.79,207.02,2231212.0
2021-02-20,210.0,211.73,206.79,207.02,2231212.0
2021-02-21,210.0,211.73,206.79,207.02,2231212.0
2021-02-22,206.72,216.215,204.62,214.96,3671871.0
2021-02-23,215.2,217.69,211.67,216.44,2600916.0
2021-02-24,215.82,220.415,214.72,217.04,1775785.0
2021-02-25,215.8,217.4,210.5,212.98,1830557.0
2021-02-26,214.67,215.5,209.34,212.55,3083421.0
2021-02-27,214.67,215.5,209.34,212.55,3083421.0
2021-02-28,214.67,215.5,209.34,212.55,3083421.0
2021-03-01,212.68,213.69,209.38,210.38,1845531.0
2021-03-02,211.81,214.13,211.45,212.06,2491514.0
2021-03-03,212.0,213.275,208.06,208.44,2478417.0
2021-03-04,207.3,213.1,205.8501,207.79,2273296.0
2021-03-05,208.23,212.6,206.39,211.98,1704848.0
2021-03-06,208.23,212.6,206.39,211.98,1704848.0
2021-03-07,208.23,212.6,206.39,211.98,1704848.0
2021-03-08,212.27,219.3,211.76,213.58,3426563.0
2021-03-09,217.29,219.13,213.86,214.04,2276742.0
2021-03-10,217.3,217.72,211.56,214.29,1938935.0
2021-03-11,214.71,217.68,214.31,215.15,1625655.0
2021-03-12,214.34,214.9,211.26,214.33,1162690.0
2021-03-13,214.34,214.9,211.26,214.33,1162690.0
2021-03-14,214.34,214.9,211.26,214.33,1162690.0
2021-03-15,213.71,219.85,213.4784,219.65,1577824.0
2021-03-16,220.6318,220.6318,216.715,218.99,1367475.0
2021-03-17,217.16,217.88,214.15,217.08,1195494.0
2021-03-18,214.13,216.25,212.65,213.36,1620825.0
2021-03-19,214.44,216.93,213.28,216.11,2098616.0
2021-03-20,214.44,216.93,213.28,216.11,2098616.0
2021-03-21,214.44,216.93,213.28,216.11,2098616.0
2021-03-22,215.84,220.33,215.25,218.82,1934448.0
2021-03-23,219.83,219.85,212.11,213.59,1620721.0
2021-03-24,213.61,214.51,209.41,211.54,1522197.0
2021-03-25,213.1606,213.6,209.71,212.36,2292300.0
2021-03-26,212.5,214.96,209.22,214.64,2848429.0
2021-03-27,212.5,214.96,209.22,214.64,2848429.0
2021-03-28,212.5,214.96,209.22,214.64,2848429.0
2021-03-29,213.93,218.46,212.21,216.71,1531539.0
2021-03-30,214.75,215.495,212.37,212.99,1272545.0
2021-03-31,213.38,216.06,212.87,214.89,1523314.0
2021-04-01,215.89,216.02,212.3,213.04,2071471.0
2021-04-02,215.89,216.02,212.3,213.04,2071471.0
2021-04-03,215.89,216.02,212.3,213.04,2071471.0
2021-04-04,215.89,216.02,212.3,213.04,2071471.0
2021-04-05,214.38,215.61,213.18,215.32,2050057.0
2021-04-06,215.5,216.46,213.15,215.3,1925989.0
2021-04-07,215.71,218.47,211.7,212.72,1515559.0
2021-04-08,214.18,216.05,209.95,210.28,2259364.0
2021-04-09,210.5,213.82,209.53,213.35,1533672.0
2021-04-10,210.5,213.82,209.53,213.35,1533672.0
2021-04-11,210.5,213.82,209.53,213.35,1533672.0
2021-04-12,212.68,214.45,211.21,213.6,1467994.0
2021-04-13,214.61,218.7,214.455,215.94,1628857.0
2021-04-14,216.16,220.25,216.16,217.13,1564724.0
2021-04-15,218.52,222.35,218.0,221.1,1686741.0
2021-04-16,222.34,222.78,219.24,219.39,1917605.0
2021-04-17,222.34,222.78,219.24,219.39,1917605.0
2021-04-18,222.34,222.78,219.24,219.39,1917605.0
2021-04-19,220.86,222.5899,218.15,219.18,1510927.0
2021-04-20,218.84,222.0,218.15,220.16,1370655.0
2021-04-21,220.79,221.48,217.82,219.76,1173375.0
