,LE US Equity,LE US Equity,LE US Equity,LE US Equity,LE US Equity
2020-03-27,6.37,6.88,6.13,6.18,266741.0
2020-03-28,6.37,6.88,6.13,6.18,266741.0
2020-03-29,6.37,6.88,6.13,6.18,266741.0
2020-03-30,6.21,6.32,5.09,5.13,338512.0
2020-03-31,5.08,5.48,5.07,5.34,426667.0
2020-04-01,5.1,5.11,4.76,4.77,275943.0
2020-04-02,4.73,4.96,4.495,4.5,353817.0
2020-04-03,4.45,4.48,4.05,4.16,206801.0
2020-04-04,4.45,4.48,4.05,4.16,206801.0
2020-04-05,4.45,4.48,4.05,4.16,206801.0
2020-04-06,4.38,5.43,4.37,5.32,306044.0
2020-04-07,5.5,5.84,5.07,5.3,244652.0
2020-04-08,5.44,5.76,5.33,5.57,222767.0
2020-04-09,5.5,6.26,5.48,6.24,255087.0
2020-04-10,5.5,6.26,5.48,6.24,255087.0
2020-04-11,5.5,6.26,5.48,6.24,255087.0
2020-04-12,5.5,6.26,5.48,6.24,255087.0
2020-04-13,6.24,6.84,5.87,6.66,252278.0
2020-04-14,6.93,7.2,6.44,6.6,339078.0
2020-04-15,6.28,6.9,6.11,6.8,191488.0
2020-04-16,6.86,6.92,6.46,6.74,177569.0
2020-04-17,7.06,8.2,7.04,8.01,470915.0
2020-04-18,7.06,8.2,7.04,8.01,470915.0
2020-04-19,7.06,8.2,7.04,8.01,470915.0
2020-04-20,7.75,8.48,7.12,8.0,364032.0
2020-04-21,7.77,7.93,6.91,7.37,286891.0
2020-04-22,7.7,7.7,6.39,6.55,242530.0
2020-04-23,6.62,7.1,6.51,6.75,201205.0
2020-04-24,6.82,6.89,6.5,6.8,130816.0
2020-04-25,6.82,6.89,6.5,6.8,130816.0
2020-04-26,6.82,6.89,6.5,6.8,130816.0
2020-04-27,6.91,8.3,6.91,7.82,291705.0
2020-04-28,8.13,8.6,7.975,8.08,400674.0
2020-04-29,8.16,8.98,8.16,8.88,249351.0
2020-04-30,8.53,8.84,8.32,8.51,176521.0
2020-05-01,8.21,8.21,7.65,7.87,169212.0
2020-05-02,8.21,8.21,7.65,7.87,169212.0
2020-05-03,8.21,8.21,7.65,7.87,169212.0
2020-05-04,7.65,8.06,7.3,7.59,125516.0
2020-05-05,7.76,8.06,6.42,6.475,376777.0
2020-05-06,6.68,6.82,6.15,6.29,329159.0
2020-05-07,6.52,7.1199,6.28,6.9,256574.0
2020-05-08,7.12,7.89,6.93,7.73,265867.0
2020-05-09,7.12,7.89,6.93,7.73,265867.0
2020-05-10,7.12,7.89,6.93,7.73,265867.0
2020-05-11,7.53,7.53,7.04,7.44,205042.0
2020-05-12,7.45,7.64,6.59,6.61,236958.0
2020-05-13,6.57,6.57,5.685,5.85,1557936.0
2020-05-14,5.65,6.31,5.53,6.19,333687.0
2020-05-15,6.03,6.35,5.92,6.07,192997.0
2020-05-16,6.03,6.35,5.92,6.07,192997.0
2020-05-17,6.03,6.35,5.92,6.07,192997.0
2020-05-18,6.47,6.67,5.92,6.15,363568.0
2020-05-19,6.22,6.45,6.0,6.16,376723.0
2020-05-20,6.33,6.46,6.095,6.25,212153.0
2020-05-21,6.25,6.48,6.1201,6.4,239055.0
2020-05-22,6.4,6.4,6.125,6.34,122508.0
2020-05-23,6.4,6.4,6.125,6.34,122508.0
2020-05-24,6.4,6.4,6.125,6.34,122508.0
2020-05-25,6.4,6.4,6.125,6.34,122508.0
2020-05-26,6.62,7.15,6.34,6.47,394423.0
2020-05-27,6.73,7.38,6.48,7.055,469205.0
2020-05-28,7.13,7.13,6.1901,6.31,448524.0
2020-05-29,6.39,6.54,5.92,6.28,335580.0
2020-05-30,6.39,6.54,5.92,6.28,335580.0
2020-05-31,6.39,6.54,5.92,6.28,335580.0
2020-06-01,6.37,7.44,6.37,7.22,554809.0
2020-06-02,6.5,6.99,6.25,6.42,1193866.0
2020-06-03,6.69,7.17,6.6,6.84,859258.0
2020-06-04,6.7,8.2,6.7,8.17,768510.0
2020-06-05,8.72,9.8,8.62,8.745,626632.0
2020-06-06,8.72,9.8,8.62,8.745,626632.0
2020-06-07,8.72,9.8,8.62,8.745,626632.0
2020-06-08,9.0,9.8,9.0,9.72,305750.0
2020-06-09,9.38,10.075,8.9,9.8,379435.0
2020-06-10,9.68,9.7167,8.23,8.455,534269.0
2020-06-11,7.62,8.06,7.5,7.79,341545.0
2020-06-12,8.37,8.3703,7.74,8.12,223534.0
2020-06-13,8.37,8.3703,7.74,8.12,223534.0
2020-06-14,8.37,8.3703,7.74,8.12,223534.0
2020-06-15,7.8,8.29,7.54,8.25,344462.0
2020-06-16,8.59,8.83,8.19,8.63,231048.0
2020-06-17,8.81,9.2054,8.36,8.8,369935.0
2020-06-18,8.7,9.0,8.41,8.56,195323.0
2020-06-19,8.64,8.765,8.29,8.335,376318.0
2020-06-20,8.64,8.765,8.29,8.335,376318.0
2020-06-21,8.64,8.765,8.29,8.335,376318.0
2020-06-22,8.31,8.3582,7.63,8.07,243945.0
2020-06-23,8.29,9.475,8.1,9.4,1073183.0
2020-06-24,8.91,9.175,7.75,7.88,864297.0
2020-06-25,7.77,8.29,7.55,8.105,373728.0
2020-06-26,8.01,8.12,7.6499,7.81,500543.0
2020-06-27,8.01,8.12,7.6499,7.81,500543.0
2020-06-28,8.01,8.12,7.6499,7.81,500543.0
2020-06-29,7.93,8.34,7.6993,7.99,371113.0
2020-06-30,7.93,8.22,7.8101,8.04,284015.0
2020-07-01,8.0,8.4,7.85,7.97,349796.0
2020-07-02,8.25,8.43,8.02,8.26,266260.0
2020-07-03,8.25,8.43,8.02,8.26,266260.0
2020-07-04,8.25,8.43,8.02,8.26,266260.0
2020-07-05,8.25,8.43,8.02,8.26,266260.0
2020-07-06,8.56,8.65,8.03,8.36,286167.0
2020-07-07,8.2,8.2287,7.88,8.01,439607.0
2020-07-08,7.94,8.23,7.7925,8.205,310148.0
2020-07-09,8.21,8.345,7.9,8.21,255100.0
2020-07-10,8.19,8.72,7.96,8.57,167383.0
2020-07-11,8.19,8.72,7.96,8.57,167383.0
2020-07-12,8.19,8.72,7.96,8.57,167383.0
2020-07-13,8.72,8.87,8.18,8.33,392267.0
2020-07-14,8.26,8.42,8.08,8.38,232618.0
2020-07-15,8.67,9.0,8.39,8.65,240554.0
2020-07-16,8.52,8.63,8.23,8.585,191289.0
2020-07-17,8.66,8.84,8.46,8.65,247538.0
2020-07-18,8.66,8.84,8.46,8.65,247538.0
2020-07-19,8.66,8.84,8.46,8.65,247538.0
2020-07-20,8.61,8.7,7.67,7.79,358315.0
2020-07-21,7.86,8.35,7.86,8.22,210775.0
2020-07-22,8.19,8.38,8.01,8.27,142516.0
2020-07-23,8.22,8.62,8.01,8.42,239413.0
2020-07-24,8.36,8.47,8.17,8.21,214539.0
2020-07-25,8.36,8.47,8.17,8.21,214539.0
2020-07-26,8.36,8.47,8.17,8.21,214539.0
2020-07-27,8.14,8.24,7.85,8.215,218138.0
2020-07-28,7.93,8.36,7.93,8.24,194018.0
2020-07-29,8.32,8.65,8.23,8.61,260418.0
2020-07-30,8.44,8.64,8.25,8.53,192513.0
2020-07-31,8.53,8.93,8.48,8.62,276666.0
2020-08-01,8.53,8.93,8.48,8.62,276666.0
2020-08-02,8.53,8.93,8.48,8.62,276666.0
2020-08-03,8.64,8.75,8.39,8.67,171391.0
2020-08-04,8.62,8.96,8.62,8.82,144591.0
2020-08-05,8.95,9.505,8.89,9.47,271299.0
2020-08-06,9.47,9.47,9.08,9.37,187282.0
2020-08-07,9.25,9.93,9.249,9.84,219685.0
2020-08-08,9.25,9.93,9.249,9.84,219685.0
2020-08-09,9.25,9.93,9.249,9.84,219685.0
2020-08-10,9.94,10.56,9.94,10.35,182505.0
2020-08-11,10.55,10.72,10.22,10.4,276462.0
2020-08-12,10.64,10.85,10.3,10.85,335923.0
2020-08-13,10.79,11.455,10.5072,11.38,169389.0
2020-08-14,11.43,11.57,11.04,11.51,269984.0
2020-08-15,11.43,11.57,11.04,11.51,269984.0
2020-08-16,11.43,11.57,11.04,11.51,269984.0
2020-08-17,11.6,11.6,11.3,11.56,126933.0
2020-08-18,11.52,11.53,11.01,11.47,200331.0
2020-08-19,10.93,11.56,10.48,11.41,200241.0
2020-08-20,11.23,11.78,11.0,11.63,237030.0
2020-08-21,11.59,11.94,11.24,11.56,180992.0
2020-08-22,11.59,11.94,11.24,11.56,180992.0
2020-08-23,11.59,11.94,11.24,11.56,180992.0
2020-08-24,11.46,13.17,11.46,13.1,325874.0
2020-08-25,13.19,13.24,12.815,12.97,203718.0
2020-08-26,12.97,13.11,12.2865,12.54,255533.0
2020-08-27,12.7,13.165,12.42,12.54,244186.0
2020-08-28,12.77,13.075,12.41,13.06,257999.0
2020-08-29,12.77,13.075,12.41,13.06,257999.0
2020-08-30,12.77,13.075,12.41,13.06,257999.0
2020-08-31,13.0,13.86,12.77,13.38,311896.0
2020-09-01,13.41,14.88,13.2505,14.77,459608.0
2020-09-02,15.29,15.505,14.09,14.42,497401.0
2020-09-03,14.5,14.62,13.13,13.5,403663.0
2020-09-04,13.74,13.85,12.79,13.06,384778.0
2020-09-05,13.74,13.85,12.79,13.06,384778.0
2020-09-06,13.74,13.85,12.79,13.06,384778.0
2020-09-07,13.74,13.85,12.79,13.06,384778.0
2020-09-08,12.73,13.68,12.5,13.42,261586.0
2020-09-09,13.71,14.385,13.3063,14.16,316509.0
2020-09-10,14.33,14.3899,13.65,13.86,463689.0
2020-09-11,14.09,14.09,13.4296,13.82,161329.0
2020-09-12,14.09,14.09,13.4296,13.82,161329.0
2020-09-13,14.09,14.09,13.4296,13.82,161329.0
2020-09-14,14.0,14.0,13.43,13.88,164911.0
2020-09-15,14.11,14.49,13.7588,14.44,188924.0
2020-09-16,14.47,15.12,14.18,14.91,311052.0
2020-09-17,14.62,15.34,14.305,15.25,237199.0
2020-09-18,15.43,15.52,15.06,15.48,286634.0
2020-09-19,15.43,15.52,15.06,15.48,286634.0
2020-09-20,15.43,15.52,15.06,15.48,286634.0
2020-09-21,14.97,15.65,14.26,14.84,349851.0
2020-09-22,15.01,15.49,14.69,15.42,160786.0
2020-09-23,15.53,15.99,14.77,14.79,183695.0
2020-09-24,14.67,14.96,14.3102,14.54,246324.0
2020-09-25,14.53,15.11,14.43,14.46,150051.0
2020-09-26,14.53,15.11,14.43,14.46,150051.0
2020-09-27,14.53,15.11,14.43,14.46,150051.0
2020-09-28,14.73,14.89,14.31,14.47,179752.0
2020-09-29,14.44,14.53,13.12,13.29,210006.0
2020-09-30,13.43,13.9,12.91,13.03,284319.0
2020-10-01,13.07,13.34,12.22,12.75,261883.0
2020-10-02,12.37,13.11,12.2004,12.54,168811.0
2020-10-03,12.37,13.11,12.2004,12.54,168811.0
2020-10-04,12.37,13.11,12.2004,12.54,168811.0
2020-10-05,12.65,13.25,12.6432,12.87,128076.0
2020-10-06,12.99,13.4,12.46,12.51,174126.0
2020-10-07,12.66,13.84,12.66,13.73,233031.0
2020-10-08,13.88,14.36,13.55,13.98,278761.0
2020-10-09,14.05,14.78,13.51,13.74,221945.0
2020-10-10,14.05,14.78,13.51,13.74,221945.0
2020-10-11,14.05,14.78,13.51,13.74,221945.0
2020-10-12,13.8,14.25,13.53,13.66,99923.0
2020-10-13,13.6,13.95,13.35,13.755,105701.0
2020-10-14,13.9,14.37,13.62,13.69,101104.0
2020-10-15,13.36,14.28,13.05,14.16,166288.0
2020-10-16,14.4,14.53,14.02,14.11,113520.0
2020-10-17,14.4,14.53,14.02,14.11,113520.0
2020-10-18,14.4,14.53,14.02,14.11,113520.0
2020-10-19,14.2,14.4399,14.01,14.255,161048.0
2020-10-20,14.38,14.65,14.3,14.36,178896.0
2020-10-21,14.34,14.54,13.65,13.98,128002.0
2020-10-22,14.03,14.64,13.765,14.47,190303.0
2020-10-23,14.6,15.69,14.24,15.52,200167.0
2020-10-24,14.6,15.69,14.24,15.52,200167.0
2020-10-25,14.6,15.69,14.24,15.52,200167.0
2020-10-26,15.2,15.4645,14.58,15.13,163261.0
2020-10-27,15.01,15.9,14.8159,15.85,103869.0
2020-10-28,15.44,15.74,15.27,15.5,93696.0
2020-10-29,15.43,16.41,15.28,16.27,141400.0
2020-10-30,16.19,16.615,15.55,16.05,153438.0
2020-10-31,16.19,16.615,15.55,16.05,153438.0
2020-11-01,16.19,16.615,15.55,16.05,153438.0
2020-11-02,16.33,16.69,15.73,15.95,79143.0
2020-11-03,16.23,17.1,15.99,17.03,106049.0
2020-11-04,16.74,17.405,16.19,16.68,107076.0
2020-11-05,16.71,17.69,16.2501,16.85,144207.0
2020-11-06,16.93,17.26,15.65,15.82,106656.0
2020-11-07,16.93,17.26,15.65,15.82,106656.0
2020-11-08,16.93,17.26,15.65,15.82,106656.0
2020-11-09,17.0,18.22,16.61,18.06,204127.0
2020-11-10,18.25,19.1,18.165,18.84,201837.0
2020-11-11,18.81,22.43,18.81,22.02,2273945.0
2020-11-12,21.56,22.02,20.78,21.99,549555.0
2020-11-13,22.3,23.05,22.18,22.61,342207.0
2020-11-14,22.3,23.05,22.18,22.61,342207.0
2020-11-15,22.3,23.05,22.18,22.61,342207.0
2020-11-16,23.0,23.15,22.02,22.35,196715.0
2020-11-17,21.9,22.74,21.9,22.27,205761.0
2020-11-18,22.17,22.645,20.89,21.03,223848.0
2020-11-19,20.94,22.37,20.75,22.2,162936.0
2020-11-20,21.96,22.5,21.57,22.21,168451.0
2020-11-21,21.96,22.5,21.57,22.21,168451.0
2020-11-22,21.96,22.5,21.57,22.21,168451.0
2020-11-23,22.31,22.67,21.88,22.5,187498.0
2020-11-24,22.77,23.15,22.39,22.7,201746.0
2020-11-25,22.79,25.5,22.4,25.34,569059.0
2020-11-26,22.79,25.5,22.4,25.34,569059.0
2020-11-27,25.39,25.58,23.0,23.76,222583.0
2020-11-28,25.39,25.58,23.0,23.76,222583.0
2020-11-29,25.39,25.58,23.0,23.76,222583.0
2020-11-30,23.54,25.34,23.44,24.94,217492.0
2020-12-01,24.87,25.325,24.4,24.7,200351.0
2020-12-02,24.68,25.9,23.75,25.06,280837.0
2020-12-03,22.01,22.35,19.51,20.68,1768569.0
2020-12-04,21.11,21.59,20.21,21.45,384895.0
2020-12-05,21.11,21.59,20.21,21.45,384895.0
2020-12-06,21.11,21.59,20.21,21.45,384895.0
2020-12-07,21.2,21.84,20.41,20.46,259023.0
2020-12-08,20.5,20.85,20.01,20.59,213571.0
2020-12-09,20.85,20.88,19.76,20.03,298099.0
2020-12-10,19.84,19.865,18.2,18.42,453755.0
2020-12-11,18.39,18.52,17.64,18.2,218532.0
2020-12-12,18.39,18.52,17.64,18.2,218532.0
2020-12-13,18.39,18.52,17.64,18.2,218532.0
2020-12-14,18.59,18.86,17.81,18.4,201708.0
2020-12-15,18.45,19.5,18.17,19.02,224426.0
2020-12-16,18.96,19.385,18.5,18.99,242118.0
2020-12-17,19.0,19.94,18.6,19.85,252286.0
2020-12-18,19.94,20.08,19.22,19.34,378049.0
2020-12-19,19.94,20.08,19.22,19.34,378049.0
2020-12-20,19.94,20.08,19.22,19.34,378049.0
2020-12-21,18.88,20.9903,18.21,20.48,349210.0
2020-12-22,20.5,21.0,18.86,19.15,514877.0
2020-12-23,19.38,19.38,18.73,19.19,238571.0
2020-12-24,19.25,19.8,18.87,19.77,167882.0
2020-12-25,19.25,19.8,18.87,19.77,167882.0
2020-12-26,19.25,19.8,18.87,19.77,167882.0
2020-12-27,19.25,19.8,18.87,19.77,167882.0
2020-12-28,20.12,20.12,19.16,19.86,199765.0
2020-12-29,20.08,21.38,19.69,21.34,225753.0
2020-12-30,20.99,21.66,20.18,21.39,176787.0
2020-12-31,21.4,21.93,21.2745,21.57,191080.0
2021-01-01,21.4,21.93,21.2745,21.57,191080.0
2021-01-02,21.4,21.93,21.2745,21.57,191080.0
2021-01-03,21.4,21.93,21.2745,21.57,191080.0
2021-01-04,21.32,22.58,20.75,20.99,172445.0
2021-01-05,21.0,22.03,20.84,21.8,187353.0
2021-01-06,21.99,23.31,21.51,22.94,199643.0
2021-01-07,23.32,23.32,21.69,22.26,109168.0
2021-01-08,22.5,22.79,22.0,22.44,117656.0
2021-01-09,22.5,22.79,22.0,22.44,117656.0
2021-01-10,22.5,22.79,22.0,22.44,117656.0
2021-01-11,22.16,23.89,21.2103,23.85,174092.0
2021-01-12,25.01,27.76,24.8,26.49,338798.0
2021-01-13,26.43,27.49,25.52,25.93,167589.0
2021-01-14,26.34,29.03,26.11,28.76,332224.0
2021-01-15,28.14,28.85,26.63,28.03,147011.0
2021-01-16,28.14,28.85,26.63,28.03,147011.0
2021-01-17,28.14,28.85,26.63,28.03,147011.0
2021-01-18,28.14,28.85,26.63,28.03,147011.0
2021-01-19,28.99,29.91,28.64,29.64,172715.0
2021-01-20,29.71,30.49,28.07,28.96,196489.0
2021-01-21,28.72,29.48,28.09,28.81,157448.0
2021-01-22,28.35,30.1,28.1,29.99,152887.0
2021-01-23,28.35,30.1,28.1,29.99,152887.0
2021-01-24,28.35,30.1,28.1,29.99,152887.0
2021-01-25,30.38,31.63,29.74,30.71,220169.0
2021-01-26,31.24,31.4699,29.6,29.99,176077.0
2021-01-27,29.11,29.22,26.745,27.95,375358.0
2021-01-28,27.82,28.94,26.36,28.51,279704.0
2021-01-29,28.84,29.5,27.43,27.61,242695.0
2021-01-30,28.84,29.5,27.43,27.61,242695.0
2021-01-31,28.84,29.5,27.43,27.61,242695.0
2021-02-01,27.97,28.31,26.6,26.64,146319.0
2021-02-02,27.27,28.81,26.74,28.02,199793.0
2021-02-03,28.27,31.9,28.27,31.38,232146.0
2021-02-04,31.59,33.4,31.19,32.42,216056.0
2021-02-05,33.02,33.28,30.83,31.2,164814.0
2021-02-06,33.02,33.28,30.83,31.2,164814.0
2021-02-07,33.02,33.28,30.83,31.2,164814.0
2021-02-08,31.4,32.0,30.58,30.8,117164.0
2021-02-09,30.63,30.63,29.1675,29.46,138667.0
2021-02-10,29.47,31.32,27.87,30.39,215343.0
2021-02-11,30.62,31.34,30.43,31.0,144216.0
2021-02-12,31.07,31.29,30.3472,31.07,117099.0
2021-02-13,31.07,31.29,30.3472,31.07,117099.0
2021-02-14,31.07,31.29,30.3472,31.07,117099.0
2021-02-15,31.07,31.29,30.3472,31.07,117099.0
2021-02-16,31.38,31.93,30.2,31.06,104578.0
2021-02-17,30.78,31.31,30.0669,31.15,109186.0
2021-02-18,31.05,31.61,30.03,31.31,79863.0
2021-02-19,31.53,32.395,31.35,31.88,117728.0
2021-02-20,31.53,32.395,31.35,31.88,117728.0
2021-02-21,31.53,32.395,31.35,31.88,117728.0
2021-02-22,31.45,32.17,30.599,31.29,74673.0
2021-02-23,31.19,31.19,28.55,29.62,161358.0
2021-02-24,29.35,32.38,27.79,31.45,178462.0
2021-02-25,31.67,33.49,30.4059,30.65,125484.0
2021-02-26,30.94,33.34,30.63,33.04,198532.0
2021-02-27,30.94,33.34,30.63,33.04,198532.0
2021-02-28,30.94,33.34,30.63,33.04,198532.0
2021-03-01,33.2,33.925,32.4499,33.48,152866.0
2021-03-02,33.31,33.725,31.9,32.51,93320.0
2021-03-03,32.74,34.09,31.56,33.19,211969.0
2021-03-04,33.11,33.65,30.2175,30.87,182172.0
2021-03-05,31.23,31.295,27.88,30.0,222003.0
2021-03-06,31.23,31.295,27.88,30.0,222003.0
2021-03-07,31.23,31.295,27.88,30.0,222003.0
2021-03-08,30.45,31.54,29.15,29.87,310661.0
2021-03-09,30.73,32.06,29.2747,31.78,129637.0
2021-03-10,31.98,34.27,31.63,33.71,132769.0
2021-03-11,34.46,35.89,33.78,35.79,200050.0
2021-03-12,35.57,36.5,33.128,35.49,107659.0
2021-03-13,35.57,36.5,33.128,35.49,107659.0
2021-03-14,35.57,36.5,33.128,35.49,107659.0
2021-03-15,35.42,36.16,33.06,35.91,107017.0
2021-03-16,35.35,36.58,34.13,35.2,198809.0
2021-03-17,36.24,39.0,34.28,38.62,653939.0
2021-03-18,38.91,39.79,31.1,31.53,356717.0
2021-03-19,31.6,32.69,29.7601,29.95,447519.0
2021-03-20,31.6,32.69,29.7601,29.95,447519.0
2021-03-21,31.6,32.69,29.7601,29.95,447519.0
2021-03-22,29.95,30.9199,27.03,27.34,297372.0
2021-03-23,26.69,27.17,24.85,25.54,465026.0
2021-03-24,26.06,26.72,24.74,24.84,299113.0
2021-03-25,24.55,26.3489,24.35,25.47,230855.0
2021-03-26,25.48,25.845,24.085,25.24,241234.0
2021-03-27,25.48,25.845,24.085,25.24,241234.0
2021-03-28,25.48,25.845,24.085,25.24,241234.0
2021-03-29,25.02,25.47,23.53,23.56,213858.0
2021-03-30,23.75,24.97,23.01,24.88,297182.0
2021-03-31,25.0,25.5,24.265,24.81,264155.0
2021-04-01,25.31,25.41,24.24,24.62,151881.0
2021-04-02,25.31,25.41,24.24,24.62,151881.0
2021-04-03,25.31,25.41,24.24,24.62,151881.0
2021-04-04,25.31,25.41,24.24,24.62,151881.0
2021-04-05,24.82,24.98,23.604,24.15,122293.0
2021-04-06,24.34,25.77,24.34,24.6,117713.0
2021-04-07,24.65,25.39,23.95,24.27,134617.0
2021-04-08,24.27,24.5592,23.77,24.38,146235.0
2021-04-09,24.46,25.35,24.125,25.2,169266.0
2021-04-10,24.46,25.35,24.125,25.2,169266.0
2021-04-11,24.46,25.35,24.125,25.2,169266.0
2021-04-12,25.11,25.73,23.98,24.3,127387.0
2021-04-13,24.16,24.63,23.124,23.55,102349.0
2021-04-14,23.57,24.9,23.57,24.17,110477.0
2021-04-15,24.38,24.67,23.386,23.99,97901.0
2021-04-16,24.2,24.2,23.365,23.6,69572.0
2021-04-17,24.2,24.2,23.365,23.6,69572.0
2021-04-18,24.2,24.2,23.365,23.6,69572.0
2021-04-19,23.44,24.49,22.7601,23.9,144980.0
2021-04-20,23.87,23.87,22.05,22.58,179306.0
2021-04-21,22.41,24.0,22.41,23.78,132742.0
2021-04-22,24.01,24.97,23.46,24.0,117775.0
2021-04-23,24.15,25.76,24.01,25.53,127824.0
2021-04-24,24.15,25.76,24.01,25.53,127824.0
2021-04-25,24.15,25.76,24.01,25.53,127824.0
2021-04-26,25.66,25.89,23.7,23.88,234777.0
2021-04-27,23.75,23.885,22.9,23.26,214928.0
2021-04-28,23.19,24.45,22.85,23.89,254697.0
2021-04-29,24.15,24.36,22.89,23.16,125851.0
2021-04-30,22.76,23.37,22.5,23.04,124154.0
2021-05-01,22.76,23.37,22.5,23.04,124154.0
2021-05-02,22.76,23.37,22.5,23.04,124154.0
2021-05-03,23.28,24.58,23.13,24.11,98112.0
2021-05-04,24.0,24.22,22.8901,23.42,106391.0
2021-05-05,23.68,24.34,23.15,23.48,131325.0
2021-05-06,23.59,24.62,23.25,24.35,147574.0
2021-05-07,24.36,24.83,23.75,24.27,208949.0
