,HD US Equity,HD US Equity,HD US Equity,HD US Equity,HD US Equity
2019-04-09,179.083,179.482,177.49,177.879,3721698.0
2019-04-10,178.198,178.499,175.329,176.578,3587644.0
2019-04-11,176.994,178.41,176.223,178.393,2465415.0
2019-04-12,178.968,180.854,178.968,180.491,3097939.0
2019-04-13,178.968,180.854,178.968,180.491,3097939.0
2019-04-14,178.968,180.854,178.968,180.491,3097939.0
2019-04-15,180.766,181.633,180.096,181.385,3049880.0
2019-04-16,181.731,182.386,180.881,181.04,3271592.0
2019-04-17,181.81,183.138,181.793,182.882,3271891.0
2019-04-18,182.412,183.966,181.598,182.094,3162460.0
2019-04-19,182.412,183.966,181.598,182.094,3162460.0
2019-04-20,182.412,183.966,181.598,182.094,3162460.0
2019-04-21,182.412,183.966,181.598,182.094,3162460.0
2019-04-22,180.721,182.616,180.624,181.315,2594207.0
2019-04-23,181.633,183.572,180.119,182.439,3702592.0
2019-04-24,182.536,184.427,181.987,183.032,2750949.0
2019-04-25,182.404,183.918,181.562,182.837,3292133.0
2019-04-26,182.288,182.519,180.04,180.279,3560313.0
2019-04-27,182.288,182.519,180.04,180.279,3560313.0
2019-04-28,182.288,182.519,180.04,180.279,3560313.0
2019-04-29,180.013,180.447,177.383,178.995,3785216.0
2019-04-30,178.455,180.403,177.782,180.358,3415616.0
2019-05-01,179.916,180.199,175.896,176.02,4644666.0
2019-05-02,176.462,178.021,176.02,177.977,2810109.0
2019-05-03,178.853,179.128,177.366,177.578,3583835.0
2019-05-04,178.853,179.128,177.366,177.578,3583835.0
2019-05-05,178.853,179.128,177.366,177.578,3583835.0
2019-05-06,175.967,177.02,175.586,176.755,2619675.0
2019-05-07,174.205,175.002,170.849,172.452,4622108.0
2019-05-08,172.204,174.081,171.486,172.806,3122569.0
2019-05-09,171.159,172.723,169.636,172.283,2917943.0
2019-05-10,171.07,173.089,168.237,172.283,3863576.0
2019-05-11,171.07,173.089,168.237,172.283,3863576.0
2019-05-12,171.07,173.089,168.237,172.283,3863576.0
2019-05-13,169.114,169.698,167.467,168.529,3326028.0
2019-05-14,168.671,170.672,168.237,169.663,3663632.0
2019-05-15,168.945,170.716,168.467,169.786,3355797.0
2019-05-16,170.415,172.62,170.176,170.335,3853985.0
2019-05-17,168.99,172.208,168.892,170.512,5223777.0
2019-05-18,168.99,172.208,168.892,170.512,5223777.0
2019-05-19,168.99,172.208,168.892,170.512,5223777.0
2019-05-20,169.229,170.76,168.768,169.069,4782752.0
2019-05-21,165.687,170.459,164.988,169.512,8555840.0
2019-05-22,168.662,170.194,166.502,167.263,5706339.0
2019-05-23,166.856,170.477,164.926,169.999,7754163.0
2019-05-24,170.477,171.646,168.591,171.407,3799486.0
2019-05-25,170.477,171.646,168.591,171.407,3799486.0
2019-05-26,170.477,171.646,168.591,171.407,3799486.0
2019-05-27,170.477,171.646,168.591,171.407,3799486.0
2019-05-28,172.106,173.957,169.423,169.601,5165764.0
2019-05-29,168.476,169.893,166.484,168.219,4569945.0
2019-05-30,168.343,170.442,168.308,169.184,3029849.0
2019-05-31,167.909,168.485,167.042,168.095,3681598.0
2019-06-01,167.909,168.485,167.042,168.095,3681598.0
2019-06-02,167.909,168.485,167.042,168.095,3681598.0
2019-06-03,167.803,169.884,167.121,167.847,4620379.0
2019-06-04,169.627,173.098,169.485,172.877,5118128.0
2019-06-05,172.983,175.4,172.154,175.373,3704587.0
2019-06-06,175.337,176.229,173.831,175.801,3732940.0
2019-06-07,175.828,177.45,174.945,175.917,3522396.0
2019-06-08,175.828,177.45,174.945,175.917,3522396.0
2019-06-09,175.828,177.45,174.945,175.917,3522396.0
2019-06-10,177.04,178.191,175.935,176.586,3154460.0
2019-06-11,177.45,179.073,174.615,176.55,3708474.0
2019-06-12,177.263,178.489,176.523,177.379,2551590.0
2019-06-13,178.28,180.714,177.834,180.42,3631270.0
2019-06-14,179.492,184.12,179.492,183.469,4898440.0
2019-06-15,179.492,184.12,179.492,183.469,4898440.0
2019-06-16,179.492,184.12,179.492,183.469,4898440.0
2019-06-17,184.566,186.162,183.674,184.548,4620500.0
2019-06-18,185.546,187.392,184.664,184.994,3891295.0
2019-06-19,185.368,185.885,183.585,185.404,3648435.0
2019-06-20,186.857,188.721,186.625,188.355,5171454.0
2019-06-21,188.364,189.015,186.42,186.697,9854979.0
2019-06-22,188.364,189.015,186.42,186.697,9854979.0
2019-06-23,188.364,189.015,186.42,186.697,9854979.0
2019-06-24,185.591,186.581,182.889,183.228,4943452.0
2019-06-25,183.941,184.655,182.069,182.551,3588178.0
2019-06-26,183.086,184.851,182.47,184.048,3071224.0
2019-06-27,185.11,185.457,183.683,184.583,2286764.0
2019-06-28,185.252,186.349,184.913,185.43,11068972.0
2019-06-29,185.252,186.349,184.913,185.43,11068972.0
2019-06-30,185.252,186.349,184.913,185.43,11068972.0
2019-07-01,186.973,189.3,185.609,187.49,4100105.0
2019-07-02,187.454,187.472,185.867,187.365,3160610.0
2019-07-03,187.08,189.692,186.973,189.113,2183742.0
2019-07-04,187.08,189.692,186.973,189.113,2183742.0
2019-07-05,187.214,189.175,186.996,188.542,2547864.0
2019-07-06,187.214,189.175,186.996,188.542,2547864.0
2019-07-07,187.214,189.175,186.996,188.542,2547864.0
2019-07-08,188.114,190.308,187.767,189.835,2705327.0
2019-07-09,188.961,190.21,188.31,189.024,2397527.0
2019-07-10,187.882,188.417,186.194,187.909,3457376.0
2019-07-11,189.247,190.878,188.15,190.843,3450056.0
2019-07-12,191.699,194.596,191.351,194.579,4429826.0
2019-07-13,191.699,194.596,191.351,194.579,4429826.0
2019-07-14,191.699,194.596,191.351,194.579,4429826.0
2019-07-15,195.22,195.528,193.312,194.998,3141289.0
2019-07-16,193.749,194.686,193.241,193.714,2657421.0
2019-07-17,193.241,193.999,192.242,192.242,3037577.0
2019-07-18,192.144,192.795,189.924,191.199,3069619.0
2019-07-19,191.404,191.904,189.853,189.951,3255033.0
2019-07-20,191.404,191.904,189.853,189.951,3255033.0
2019-07-21,191.404,191.904,189.853,189.951,3255033.0
2019-07-22,189.915,190.147,187.579,188.373,2765719.0
2019-07-23,189.532,190.923,188.779,189.987,2590137.0
2019-07-24,190.085,191.511,189.978,191.44,2207164.0
2019-07-25,191.057,192.519,190.477,192.189,2335396.0
2019-07-26,192.171,193.669,190.896,193.402,2675559.0
2019-07-27,192.171,193.669,190.896,193.402,2675559.0
2019-07-28,192.171,193.669,190.896,193.402,2675559.0
2019-07-29,193.295,194.614,192.902,194.409,2407248.0
2019-07-30,193.945,194.9,193.357,193.803,2172571.0
2019-07-31,192.902,194.195,189.171,190.531,3426412.0
2019-08-01,190.932,194.026,189.042,189.764,3431473.0
2019-08-02,188.899,190.04,188.205,189.157,2884886.0
2019-08-03,188.899,190.04,188.205,189.157,2884886.0
2019-08-04,188.899,190.04,188.205,189.157,2884886.0
2019-08-05,186.821,187.232,181.962,182.729,4553198.0
2019-08-06,182.791,186.429,182.337,186.171,3646800.0
2019-08-07,183.71,185.903,181.115,185.377,3901105.0
2019-08-08,186.973,188.747,186.099,188.64,2968173.0
2019-08-09,188.533,189.391,185.413,187.258,2912078.0
2019-08-10,188.533,189.391,185.413,187.258,2912078.0
2019-08-11,188.533,189.391,185.413,187.258,2912078.0
2019-08-12,185.546,186.92,183.808,184.575,1951683.0
2019-08-13,183.95,188.685,182.586,185.751,3906289.0
2019-08-14,182.301,183.103,179.671,179.742,4582123.0
2019-08-15,180.999,181.677,177.477,179.92,4199748.0
2019-08-16,181.668,182.274,179.813,181.579,4093594.0
2019-08-17,181.668,182.274,179.813,181.579,4093594.0
2019-08-18,181.668,182.274,179.813,181.579,4093594.0
2019-08-19,184.548,186.188,183.05,185.413,6413591.0
2019-08-20,190.361,194.24,189.175,193.562,12455056.0
2019-08-21,195.024,196.941,193.268,196.513,7940577.0
2019-08-22,196.201,198.524,196.05,197.066,4545216.0
2019-08-23,196.068,196.932,192.599,193.901,5770379.0
2019-08-24,196.068,196.932,192.599,193.901,5770379.0
2019-08-25,196.068,196.932,192.599,193.901,5770379.0
2019-08-26,194.784,195.711,192.751,194.953,3680273.0
2019-08-27,195.755,196.522,194.293,194.561,4313269.0
2019-08-28,194.266,198.02,193.58,197.895,3072754.0
2019-08-29,199.634,203.022,199.509,202.683,4184912.0
2019-08-30,203.673,204.422,202.122,203.209,3769326.0
2019-08-31,203.673,204.422,202.122,203.209,3769326.0
2019-09-01,203.673,204.422,202.122,203.209,3769326.0
2019-09-02,203.673,204.422,202.122,203.209,3769326.0
2019-09-03,201.908,202.96,199.17,199.786,4139414.0
2019-09-04,200.898,201.077,197.955,201.077,3146989.0
2019-09-05,203.006,205.231,202.961,204.666,3373539.0
2019-09-06,205.159,207.554,204.423,207.339,3237893.0
2019-09-07,205.159,207.554,204.423,207.339,3237893.0
2019-09-08,205.159,207.554,204.423,207.339,3237893.0
2019-09-09,207.671,209.797,206.392,208.9,4449066.0
2019-09-10,208.344,209.034,206.066,209.016,4210672.0
2019-09-11,208.954,209.626,207.24,208.711,2978346.0
2019-09-12,209.393,211.25,209.115,209.734,3366138.0
2019-09-13,210.209,210.784,208.415,209.895,3805519.0
2019-09-14,210.209,210.784,208.415,209.895,3805519.0
2019-09-15,210.209,210.784,208.415,209.895,3805519.0
2019-09-16,208.774,209.564,206.872,207.213,3120219.0
2019-09-17,203.446,206.621,203.158,206.513,3806137.0
2019-09-18,206.657,207.698,205.437,207.07,3423131.0
2019-09-19,207.357,207.581,204.486,204.639,3254884.0
2019-09-20,204.522,206.37,201.149,201.544,7797035.0
2019-09-21,204.522,206.37,201.149,201.544,7797035.0
2019-09-22,204.522,206.37,201.149,201.544,7797035.0
2019-09-23,201.086,203.759,200.898,202.961,2955323.0
2019-09-24,204.657,206.539,201.642,202.208,4518353.0
2019-09-25,203.266,204.935,201.391,204.621,3969380.0
2019-09-26,206.038,207.33,205.428,206.137,4383280.0
2019-09-27,207.769,207.895,205.545,206.2,3152242.0
2019-09-28,207.769,207.895,205.545,206.2,3152242.0
2019-09-29,207.769,207.895,205.545,206.2,3152242.0
2019-09-30,206.496,208.649,206.433,208.137,3258468.0
2019-10-01,209.025,210.371,206.971,207.294,3530209.0
2019-10-02,206.863,206.863,201.248,202.333,4371896.0
2019-10-03,201.84,203.463,199.256,203.463,2972928.0
2019-10-04,203.786,205.616,203.652,204.468,3188709.0
2019-10-05,203.786,205.616,203.652,204.468,3188709.0
2019-10-06,203.786,205.616,203.652,204.468,3188709.0
2019-10-07,204.091,204.648,202.782,203.401,2967658.0
2019-10-08,202.163,205.231,201.929,203.338,3567904.0
2019-10-09,204.98,205.93,203.284,205.374,2675389.0
2019-10-10,205.733,208.335,205.5,207.769,3052401.0
2019-10-11,210.2,212.335,209.698,210.505,3479059.0
2019-10-12,210.2,212.335,209.698,210.505,3479059.0
2019-10-13,210.2,212.335,209.698,210.505,3479059.0
2019-10-14,210.111,211.246,209.967,210.075,2538129.0
2019-10-15,210.532,212.479,210.452,211.367,2667156.0
2019-10-16,211.187,211.86,209.77,211.618,2389282.0
2019-10-17,212.03,213.657,211.268,212.398,2296853.0
2019-10-18,212.596,214.156,211.385,213.439,3663925.0
2019-10-19,212.596,214.156,211.385,213.439,3663925.0
2019-10-20,212.596,214.156,211.385,213.439,3663925.0
2019-10-21,213.735,214.39,211.358,212.335,2079644.0
2019-10-22,212.874,213.771,212.17,212.784,2022890.0
2019-10-23,212.3,212.972,210.236,210.514,2138451.0
2019-10-24,210.64,212.039,209.079,209.815,2184113.0
2019-10-25,209.456,211.187,208.613,210.254,2210872.0
2019-10-26,209.456,211.187,208.613,210.254,2210872.0
2019-10-27,209.456,211.187,208.613,210.254,2210872.0
2019-10-28,210.766,212.569,210.416,212.425,2705001.0
2019-10-29,212.461,213.053,209.842,210.039,2558004.0
2019-10-30,209.474,212.246,208.909,211.923,1956669.0
2019-10-31,212.479,212.954,209.214,210.434,2824072.0
2019-11-01,211.77,213.004,210.865,212.91,2197403.0
2019-11-02,211.77,213.004,210.865,212.91,2197403.0
2019-11-03,211.77,213.004,210.865,212.91,2197403.0
2019-11-04,213.744,213.851,209.806,210.739,2542426.0
2019-11-05,210.577,210.739,206.567,208.299,3624629.0
2019-11-06,208.864,209.949,208.021,209.922,2631943.0
2019-11-07,209.913,211.519,207.904,208.962,2832865.0
2019-11-08,208.837,209.25,207.788,208.873,2088455.0
2019-11-09,208.837,209.25,207.788,208.873,2088455.0
2019-11-10,208.837,209.25,207.788,208.873,2088455.0
2019-11-11,206.774,208.37,206.487,207.94,2310669.0
2019-11-12,208.254,210.479,208.119,209.124,2991171.0
2019-11-13,208.2,210.721,207.088,210.631,2625015.0
2019-11-14,210.81,212.551,209.949,212.201,2283848.0
2019-11-15,213.224,213.546,212.03,212.865,3526672.0
2019-11-16,213.224,213.546,212.03,212.865,3526672.0
2019-11-17,213.224,213.546,212.03,212.865,3526672.0
2019-11-18,213.896,214.676,212.389,214.264,5766962.0
2019-11-19,206.863,209.124,202.199,202.611,14984830.0
2019-11-20,201.436,201.84,197.866,198.162,10228810.0
2019-11-21,199.095,199.427,196.009,196.045,7823720.0
2019-11-22,196.009,196.574,195.39,195.587,5786478.0
2019-11-23,196.009,196.574,195.39,195.587,5786478.0
2019-11-24,196.009,196.574,195.39,195.587,5786478.0
2019-11-25,195.56,196.036,194.556,195.919,8869811.0
2019-11-26,196.242,198.216,195.91,198.036,9988417.0
2019-11-27,198.862,200.449,197.95,200.046,6691487.0
2019-11-28,198.862,200.449,197.95,200.046,6691487.0
2019-11-29,200.315,200.342,197.615,197.812,2952948.0
2019-11-30,200.315,200.342,197.615,197.812,2952948.0
2019-12-01,200.315,200.342,197.615,197.812,2952948.0
2019-12-02,198.162,198.422,195.076,195.219,4428499.0
2019-12-03,194.17,194.17,191.013,191.972,6734092.0
2019-12-04,192.748,194.067,192.469,193.29,4256397.0
2019-12-05,193.525,193.651,191.187,192.297,4581409.0
2019-12-06,193.389,194.427,193.11,193.453,4194211.0
2019-12-07,193.389,194.427,193.11,193.453,4194211.0
2019-12-08,193.389,194.427,193.11,193.453,4194211.0
2019-12-09,193.462,196.703,193.362,195.484,5149564.0
2019-12-10,195.475,195.628,194.193,194.915,4664413.0
2019-12-11,190.519,192.884,190.139,191.394,8286340.0
2019-12-12,191.846,193.317,190.248,191.43,9916525.0
2019-12-13,191.503,193.407,190.194,193.272,6870348.0
2019-12-14,191.503,193.407,190.194,193.272,6870348.0
2019-12-15,191.503,193.407,190.194,193.272,6870348.0
2019-12-16,193.588,195.651,193.471,194.581,5851489.0
2019-12-17,195.023,198.12,194.888,196.558,7578895.0
2019-12-18,197.001,198.247,196.486,196.811,6678292.0
2019-12-19,197.244,199.312,197.064,198.815,5765685.0
2019-12-20,199.149,200.033,198.436,199.691,7778259.0
2019-12-21,199.149,200.033,198.436,199.691,7778259.0
2019-12-22,199.149,200.033,198.436,199.691,7778259.0
2019-12-23,200.422,200.422,197.84,197.903,3945353.0
2019-12-24,198.165,199.556,197.912,199.222,2260656.0
2019-12-25,198.165,199.556,197.912,199.222,2260656.0
2019-12-26,199.285,199.658,198.247,199.357,2650339.0
2019-12-27,199.7,200.233,198.418,198.59,3082875.0
2019-12-28,199.7,200.233,198.418,198.59,3082875.0
2019-12-29,199.7,200.233,198.418,198.59,3082875.0
2019-12-30,198.951,199.059,195.5,196.188,3952771.0
2019-12-31,195.999,197.271,195.403,197.154,3790250.0
2020-01-01,195.999,197.271,195.403,197.154,3790250.0
2020-01-02,197.786,198.4,196.667,198.31,3936097.0
2020-01-03,196.035,198.328,195.683,197.651,3425706.0
2020-01-04,196.035,198.328,195.683,197.651,3425706.0
2020-01-05,196.035,198.328,195.683,197.651,3425706.0
2020-01-06,195.448,198.617,195.367,198.581,5683576.0
2020-01-07,198.165,199.122,195.818,197.281,5696660.0
2020-01-08,197.533,201.298,197.411,200.233,4916829.0
2020-01-09,201.0,203.627,200.287,203.302,4844154.0
2020-01-10,202.905,203.573,201.352,202.426,4226760.0
2020-01-11,202.905,203.573,201.352,202.426,4226760.0
2020-01-12,202.905,203.573,201.352,202.426,4226760.0
2020-01-13,202.679,202.688,201.036,201.632,6061943.0
2020-01-14,200.856,203.082,200.702,201.154,3916025.0
2020-01-15,200.675,203.113,200.54,202.761,3444310.0
2020-01-16,203.97,206.615,203.492,206.579,5390755.0
2020-01-17,207.293,209.992,206.661,209.369,7979597.0
2020-01-18,207.293,209.992,206.661,209.369,7979597.0
2020-01-19,207.293,209.992,206.661,209.369,7979597.0
2020-01-20,207.293,209.992,206.661,209.369,7979597.0
2020-01-21,209.026,210.949,208.602,210.308,4873853.0
2020-01-22,211.066,213.54,210.241,210.263,4030827.0
2020-01-23,209.568,211.993,208.222,210.94,4617883.0
2020-01-24,211.671,212.547,208.15,209.45,4467501.0
2020-01-25,211.671,212.547,208.15,209.45,4467501.0
2020-01-26,211.671,212.547,208.15,209.45,4467501.0
2020-01-27,206.02,209.875,206.02,208.719,3595928.0
2020-01-28,209.288,212.384,208.863,211.13,3622093.0
2020-01-29,212.068,212.953,210.714,211.274,2564540.0
2020-01-30,209.45,210.619,209.062,210.164,4685674.0
2020-01-31,210.317,210.563,205.74,205.929,5304743.0
2020-02-01,210.317,210.563,205.74,205.929,5304743.0
2020-02-02,210.317,210.563,205.74,205.929,5304743.0
2020-02-03,207.916,210.832,207.058,209.035,5101207.0
2020-02-04,211.283,213.387,211.283,212.159,3505081.0
2020-02-05,214.055,215.156,212.935,214.966,3868791.0
2020-02-06,214.867,216.136,214.398,215.625,3930383.0
2020-02-07,215.625,216.248,213.531,214.235,2456067.0
2020-02-08,215.625,216.248,213.531,214.235,2456067.0
2020-02-09,215.625,216.248,213.531,214.235,2456067.0
2020-02-10,213.603,217.223,213.224,217.223,2568037.0
2020-02-11,217.223,218.885,216.856,218.153,2692405.0
2020-02-12,218.596,218.749,215.625,218.108,3592140.0
2020-02-13,217.548,219.923,217.034,218.803,2468189.0
2020-02-14,219.778,221.367,219.047,221.214,2841585.0
2020-02-15,219.778,221.367,219.047,221.214,2841585.0
2020-02-16,219.778,221.367,219.047,221.214,2841585.0
2020-02-17,219.778,221.367,219.047,221.214,2841585.0
2020-02-18,221.042,222.189,219.526,220.23,2893400.0
2020-02-19,221.105,221.638,219.39,219.959,2713341.0
2020-02-20,220.004,223.101,218.614,223.01,3701834.0
2020-02-21,222.541,223.317,220.284,221.494,3881083.0
2020-02-22,222.541,223.317,220.284,221.494,3881083.0
2020-02-23,222.541,223.317,220.284,221.494,3881083.0
2020-02-24,215.3,219.48,214.596,216.402,5350146.0
2020-02-25,222.18,222.965,213.495,214.307,8061529.0
2020-02-26,215.86,217.612,211.545,212.411,6965709.0
2020-02-27,208.611,211.996,202.742,202.887,7612793.0
2020-02-28,197.38,199.574,191.692,196.667,11814663.0
2020-02-29,197.38,199.574,191.692,196.667,11814663.0
2020-03-01,197.38,199.574,191.692,196.667,11814663.0
2020-03-02,198.599,207.645,197.253,207.591,7150821.0
2020-03-03,207.672,212.899,203.646,205.785,8432488.0
2020-03-04,210.362,217.864,209.27,217.648,6769978.0
2020-03-05,213.603,216.321,210.489,211.987,6473854.0
2020-03-06,205.451,207.906,200.648,206.3,7400162.0
2020-03-07,205.451,207.906,200.648,206.3,7400162.0
2020-03-08,205.451,207.906,200.648,206.3,7400162.0
2020-03-09,193.082,195.168,187.106,190.004,10120507.0
2020-03-10,196.098,203.88,190.491,203.763,7206600.0
2020-03-11,197.492,199.173,191.311,193.484,7261975.0
2020-03-12,177.597,187.749,167.991,173.216,10928673.0
2020-03-13,182.178,187.058,172.68,186.922,10292304.0
2020-03-14,182.178,187.058,172.68,186.922,10292304.0
2020-03-15,182.178,187.058,172.68,186.922,10292304.0
2020-03-16,165.382,169.136,148.241,149.923,12536627.0
2020-03-17,152.877,158.848,141.143,157.812,16234413.0
2020-03-18,145.233,147.533,127.811,141.443,14681865.0
2020-03-19,139.198,148.06,129.056,146.442,13499063.0
2020-03-20,147.941,154.703,137.971,138.28,12602415.0
2020-03-21,147.941,154.703,137.971,138.28,12602415.0
2020-03-22,147.941,154.703,137.971,138.28,12602415.0
2020-03-23,136.381,149.896,133.0,147.587,12241617.0
2020-03-24,157.584,168.745,156.33,167.882,14676623.0
2020-03-25,167.609,174.084,163.592,165.191,11497377.0
2020-03-26,166.764,180.133,165.864,177.415,10174075.0
2020-03-27,171.308,178.481,169.499,173.18,7121658.0
2020-03-28,171.308,178.481,169.499,173.18,7121658.0
2020-03-29,171.308,178.481,169.499,173.18,7121658.0
2020-03-30,173.198,180.133,170.508,178.224,6936746.0
2020-03-31,177.043,177.67,168.545,169.69,7341134.0
2020-04-01,159.875,166.1,159.048,162.347,7858183.0
2020-04-02,159.002,166.064,158.139,164.782,6353948.0
2020-04-03,163.192,164.819,158.993,162.41,7299814.0
2020-04-04,163.192,164.819,158.993,162.41,7299814.0
2020-04-05,163.192,164.819,158.993,162.41,7299814.0
2020-04-06,170.863,174.871,168.252,173.889,7454001.0
2020-04-07,184.422,185.504,174.362,174.761,6438763.0
2020-04-08,176.506,178.833,174.08,177.061,6094736.0
2020-04-09,181.587,187.213,178.588,183.159,7125726.0
2020-04-10,181.587,187.213,178.588,183.159,7125726.0
2020-04-11,181.587,187.213,178.588,183.159,7125726.0
2020-04-12,181.587,187.213,178.588,183.159,7125726.0
2020-04-13,182.178,182.178,177.561,180.669,4415560.0
2020-04-14,183.477,190.607,181.887,188.285,5655443.0
2020-04-15,180.56,183.8,178.691,180.387,5693945.0
2020-04-16,180.969,183.777,178.879,181.632,7262770.0
2020-04-17,188.285,191.084,187.37,190.33,6717580.0
2020-04-18,188.285,191.084,187.37,190.33,6717580.0
2020-04-19,188.285,191.084,187.37,190.33,6717580.0
2020-04-20,187.34,191.793,186.64,187.267,4753058.0
2020-04-21,182.45,185.713,181.323,182.323,4844962.0
2020-04-22,183.486,186.958,182.805,185.559,4071352.0
