,NVR US Equity,NVR US Equity,NVR US Equity,NVR US Equity,NVR US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-07-15,3366.99,3366.99,3260.0,3337.32,21919.0
2020-07-16,3329.47,3365.98,3302.775,3345.05,15139.0
2020-07-17,3399.45,3460.57,3330.98,3342.8,18405.0
2020-07-18,3399.45,3460.57,3330.98,3342.8,18405.0
2020-07-19,3399.45,3460.57,3330.98,3342.8,18405.0
2020-07-20,3359.97,3417.53,3277.85,3397.12,16180.0
2020-07-21,3460.1,3470.0,3350.0,3373.46,23512.0
2020-07-22,3510.25,3770.0,3500.0,3733.8,51561.0
2020-07-23,3757.86,3899.99,3682.0,3726.19,25104.0
2020-07-24,3712.0,3837.87,3658.0,3810.39,27234.0
2020-07-25,3712.0,3837.87,3658.0,3810.39,27234.0
2020-07-26,3712.0,3837.87,3658.0,3810.39,27234.0
2020-07-27,3817.67,3961.24,3760.25,3912.0,31040.0
2020-07-28,3931.5,3936.96,3778.08,3787.8,27774.0
2020-07-29,3817.0,3937.36,3807.01,3934.0,19511.0
2020-07-30,3872.0,4000.0,3872.0,3943.55,23071.0
2020-07-31,3945.0,3979.495,3850.11,3930.15,14211.0
2020-08-01,3945.0,3979.495,3850.11,3930.15,14211.0
2020-08-02,3945.0,3979.495,3850.11,3930.15,14211.0
2020-08-03,3935.0,3988.55,3867.56,3874.2,18736.0
2020-08-04,3858.0,3869.85,3820.0,3867.47,11689.0
2020-08-05,3874.56,3874.56,3803.53,3831.69,23582.0
2020-08-06,3818.44,3877.52,3770.02,3873.98,17916.0
2020-08-07,3895.0,3942.55,3796.87,3875.01,22550.0
2020-08-08,3895.0,3942.55,3796.87,3875.01,22550.0
2020-08-09,3895.0,3942.55,3796.87,3875.01,22550.0
2020-08-10,3865.0,4001.32,3858.04,3910.01,23826.0
2020-08-11,3935.51,3983.62,3859.935,3934.4,36221.0
2020-08-12,3946.58,4059.5,3920.0,4035.47,31441.0
2020-08-13,3992.99,4074.17,3980.0,4050.0,14372.0
2020-08-14,4049.0,4051.08,3990.18,4044.81,17132.0
2020-08-15,4049.0,4051.08,3990.18,4044.81,17132.0
2020-08-16,4049.0,4051.08,3990.18,4044.81,17132.0
2020-08-17,4045.0,4185.24,4045.0,4145.39,18340.0
2020-08-18,4181.26,4222.244,4125.02,4197.05,29047.0
2020-08-19,4167.7,4197.0,4104.552,4151.03,17923.0
2020-08-20,4147.88,4196.99,4115.0,4155.62,13118.0
2020-08-21,4137.78,4247.97,4117.0,4223.76,20859.0
2020-08-22,4137.78,4247.97,4117.0,4223.76,20859.0
2020-08-23,4137.78,4247.97,4117.0,4223.76,20859.0
2020-08-24,4245.01,4317.58,4198.0,4310.09,31207.0
2020-08-25,4295.11,4295.11,4189.31,4224.28,17382.0
2020-08-26,4200.01,4242.87,4100.0,4220.0,23888.0
2020-08-27,4261.03,4318.0,4191.927,4218.28,21746.0
2020-08-28,4164.22,4260.02,4164.22,4207.18,14188.0
2020-08-29,4164.22,4260.02,4164.22,4207.18,14188.0
2020-08-30,4164.22,4260.02,4164.22,4207.18,14188.0
2020-08-31,4185.2,4218.0,4116.55,4168.34,22961.0
2020-09-01,4140.0,4199.87,4138.085,4186.88,16240.0
2020-09-02,4187.0,4247.425,4111.55,4219.21,12725.0
2020-09-03,4209.39,4209.39,4007.2,4030.8,24255.0
2020-09-04,4062.62,4080.745,3861.97,3931.93,22144.0
2020-09-05,4062.62,4080.745,3861.97,3931.93,22144.0
2020-09-06,4062.62,4080.745,3861.97,3931.93,22144.0
2020-09-07,4062.62,4080.745,3861.97,3931.93,22144.0
2020-09-08,3845.97,3998.1,3845.97,3915.61,16372.0
2020-09-09,3951.0,4040.0,3936.545,4012.24,11442.0
2020-09-10,4015.0,4059.0,3921.01,3953.96,14145.0
2020-09-11,3975.61,4068.0,3954.13,4047.27,15415.0
2020-09-12,3975.61,4068.0,3954.13,4047.27,15415.0
2020-09-13,3975.61,4068.0,3954.13,4047.27,15415.0
2020-09-14,4098.48,4146.38,4040.0,4142.22,25428.0
2020-09-15,4148.0,4242.41,4013.44,4020.99,20481.0
2020-09-16,4057.76,4239.55,4042.13,4219.53,25589.0
2020-09-17,4166.62,4182.2,4100.0,4147.88,30762.0
2020-09-18,4197.0,4197.2,4030.01,4033.3,54362.0
2020-09-19,4197.0,4197.2,4030.01,4033.3,54362.0
2020-09-20,4197.0,4197.2,4030.01,4033.3,54362.0
2020-09-21,3962.12,4017.57,3890.01,3931.29,23118.0
2020-09-22,3962.09,4052.94,3930.01,4044.52,17798.0
2020-09-23,4014.85,4032.02,3831.25,3853.15,19998.0
2020-09-24,3858.34,3977.53,3823.31,3909.0,14581.0
2020-09-25,3918.0,3963.05,3848.0,3930.51,12333.0
2020-09-26,3918.0,3963.05,3848.0,3930.51,12333.0
2020-09-27,3918.0,3963.05,3848.0,3930.51,12333.0
2020-09-28,3971.0,4104.1,3971.0,4078.55,14126.0
2020-09-29,4060.01,4065.66,3983.485,4001.56,11104.0
2020-09-30,4035.17,4152.15,4018.995,4083.12,22352.0
2020-10-01,4117.34,4240.0,4070.01,4228.31,19101.0
2020-10-02,4188.0,4250.0,4120.0,4194.98,13452.0
2020-10-03,4188.0,4250.0,4120.0,4194.98,13452.0
2020-10-04,4188.0,4250.0,4120.0,4194.98,13452.0
2020-10-05,4242.7,4265.26,4133.015,4215.58,16990.0
2020-10-06,4228.6,4268.0,4085.1,4145.26,24337.0
2020-10-07,4188.0,4252.699,4105.88,4208.82,17262.0
2020-10-08,4243.81,4376.78,4208.82,4348.4,14944.0
2020-10-09,4392.7,4428.1,4327.19,4399.01,18128.0
2020-10-10,4392.7,4428.1,4327.19,4399.01,18128.0
2020-10-11,4392.7,4428.1,4327.19,4399.01,18128.0
2020-10-12,4410.0,4457.5,4375.0,4429.24,12089.0
2020-10-13,4407.0,4490.0,4360.0,4446.88,27625.0
2020-10-14,4433.01,4466.0,4350.38,4360.77,18330.0
2020-10-15,4300.0,4480.0,4295.98,4446.65,14841.0
2020-10-16,4450.1,4530.0,4355.0,4372.19,17451.0
2020-10-17,4450.1,4530.0,4355.0,4372.19,17451.0
2020-10-18,4450.1,4530.0,4355.0,4372.19,17451.0
2020-10-19,4384.67,4413.71,4251.18,4251.18,17193.0
2020-10-20,4450.0,4501.0,4345.0,4399.77,45262.0
2020-10-21,4385.0,4423.2,4207.73,4244.75,21682.0
2020-10-22,4281.42,4289.95,4102.0,4135.03,24930.0
2020-10-23,4167.23,4220.86,4130.0,4205.99,21698.0
2020-10-24,4167.23,4220.86,4130.0,4205.99,21698.0
2020-10-25,4167.23,4220.86,4130.0,4205.99,21698.0
2020-10-26,4144.92,4150.01,4014.745,4037.52,15643.0
2020-10-27,4040.0,4080.0,3947.54,4000.66,25625.0
2020-10-28,3911.93,4071.12,3868.009,3983.38,19906.0
2020-10-29,4020.16,4052.8,3897.93,3996.27,20610.0
2020-10-30,3992.56,4049.075,3936.36,3953.09,21041.0
2020-10-31,3992.56,4049.075,3936.36,3953.09,21041.0
2020-11-01,3992.56,4049.075,3936.36,3953.09,21041.0
2020-11-02,4032.0,4094.975,3939.97,4029.27,20502.0
2020-11-03,3997.99,4156.025,3980.01,4118.98,20621.0
2020-11-04,4160.0,4314.98,4140.0,4218.06,29556.0
2020-11-05,4250.0,4371.0,4249.98,4261.9,17292.0
2020-11-06,4232.33,4232.33,4123.07,4146.33,19316.0
2020-11-07,4232.33,4232.33,4123.07,4146.33,19316.0
2020-11-08,4232.33,4232.33,4123.07,4146.33,19316.0
2020-11-09,4248.42,4248.42,3961.23,3974.91,48037.0
2020-11-10,4025.0,4188.58,3975.47,4139.0,32067.0
2020-11-11,4150.0,4317.82,4101.63,4240.49,26853.0
2020-11-12,4280.0,4280.0,4090.4,4149.71,24798.0
2020-11-13,4180.0,4311.0,4112.02,4247.94,17786.0
2020-11-14,4180.0,4311.0,4112.02,4247.94,17786.0
2020-11-15,4180.0,4311.0,4112.02,4247.94,17786.0
2020-11-16,4290.0,4372.0,4190.48,4318.03,25939.0
2020-11-17,4286.26,4424.95,4254.57,4277.26,17283.0
2020-11-18,4253.52,4358.12,4253.52,4290.27,15458.0
2020-11-19,4300.0,4308.0,4182.2,4215.53,21922.0
2020-11-20,4235.2,4239.48,4150.0,4160.1,17835.0
2020-11-21,4235.2,4239.48,4150.0,4160.1,17835.0
2020-11-22,4235.2,4239.48,4150.0,4160.1,17835.0
2020-11-23,4180.0,4205.0,4125.66,4194.58,13586.0
2020-11-24,4229.0,4229.0,4127.4,4162.03,18087.0
2020-11-25,4166.1,4207.5,4095.86,4110.76,23263.0
2020-11-26,4166.1,4207.5,4095.86,4110.76,23263.0
2020-11-27,4130.6,4161.268,4070.02,4120.22,6872.0
2020-11-28,4130.6,4161.268,4070.02,4120.22,6872.0
2020-11-29,4130.6,4161.268,4070.02,4120.22,6872.0
2020-11-30,4097.93,4100.0,3950.01,3997.18,38855.0
2020-12-01,4016.0,4047.67,3978.8,3994.22,27938.0
2020-12-02,3980.58,3999.34,3893.0,3899.1,30337.0
2020-12-03,3900.0,4050.0,3875.2,4000.0,30588.0
2020-12-04,3998.4,4029.53,3943.025,3999.99,30768.0
2020-12-05,3998.4,4029.53,3943.025,3999.99,30768.0
2020-12-06,3998.4,4029.53,3943.025,3999.99,30768.0
2020-12-07,3989.19,4059.59,3955.54,4000.0,21439.0
2020-12-08,3960.0,3999.9,3925.56,3929.78,36933.0
2020-12-09,3964.52,4034.34,3962.475,4034.32,28391.0
2020-12-10,3994.13,4038.47,3978.695,3991.18,11204.0
2020-12-11,3980.97,4026.78,3980.97,4003.66,17037.0
2020-12-12,3980.97,4026.78,3980.97,4003.66,17037.0
2020-12-13,3980.97,4026.78,3980.97,4003.66,17037.0
2020-12-14,4021.18,4078.87,4012.005,4022.0,22334.0
2020-12-15,4039.0,4074.93,4007.07,4025.0,17465.0
2020-12-16,4057.32,4085.0,4016.85,4061.54,20681.0
2020-12-17,4102.0,4316.86,4102.0,4219.8,26037.0
2020-12-18,4234.63,4315.0,4205.03,4226.87,58930.0
2020-12-19,4234.63,4315.0,4205.03,4226.87,58930.0
2020-12-20,4234.63,4315.0,4205.03,4226.87,58930.0
2020-12-21,4155.63,4268.015,4123.6,4224.64,20467.0
2020-12-22,4225.28,4260.0,4170.0,4202.3,13174.0
2020-12-23,4210.0,4210.0,4137.49,4141.57,12507.0
2020-12-24,4128.0,4220.0,4119.86,4216.39,4269.0
2020-12-25,4128.0,4220.0,4119.86,4216.39,4269.0
2020-12-26,4128.0,4220.0,4119.86,4216.39,4269.0
2020-12-27,4128.0,4220.0,4119.86,4216.39,4269.0
2020-12-28,4262.92,4274.99,4144.0,4156.6,13698.0
2020-12-29,4169.93,4180.0,4101.0,4126.82,11529.0
2020-12-30,4130.02,4187.89,4121.89,4127.66,9354.0
2020-12-31,4140.86,4140.86,4071.84,4079.86,12398.0
2021-01-01,4140.86,4140.86,4071.84,4079.86,12398.0
2021-01-02,4140.86,4140.86,4071.84,4079.86,12398.0
2021-01-03,4140.86,4140.86,4071.84,4079.86,12398.0
2021-01-04,4089.98,4106.79,3988.0,4040.65,23709.0
2021-01-05,4025.2,4049.99,3965.0,4008.91,26792.0
2021-01-06,3970.0,4021.49,3892.0,3966.49,29433.0
2021-01-07,3997.48,4080.73,3977.03,4025.93,29572.0
2021-01-08,4040.69,4077.0,3892.67,3930.0,44634.0
2021-01-09,4040.69,4077.0,3892.67,3930.0,44634.0
2021-01-10,4040.69,4077.0,3892.67,3930.0,44634.0
2021-01-11,3900.0,4016.1,3885.0,3986.87,34259.0
2021-01-12,3982.01,4006.32,3936.43,3963.19,30736.0
2021-01-13,3985.0,4088.516,3971.39,3971.4,22184.0
2021-01-14,3976.0,4013.72,3955.86,3975.05,20821.0
2021-01-15,3964.65,4030.0,3950.62,4009.95,18583.0
2021-01-16,3964.65,4030.0,3950.62,4009.95,18583.0
2021-01-17,3964.65,4030.0,3950.62,4009.95,18583.0
2021-01-18,3964.65,4030.0,3950.62,4009.95,18583.0
2021-01-19,4021.0,4168.0,4017.95,4160.0,31919.0
2021-01-20,4160.0,4364.75,4140.03,4278.82,37009.0
