,SCS US Equity,SCS US Equity,SCS US Equity,SCS US Equity,SCS US Equity
2020-07-12,8.8455,8.9646,8.6839,8.9306,874547.0
2020-07-13,8.9816,9.1432,8.7775,8.9561,742284.0
2020-07-14,8.9306,9.0666,8.7945,9.0496,574146.0
2020-07-15,9.3133,9.7386,9.3133,9.645,1010918.0
2020-07-16,9.577,9.6703,9.4324,9.6365,729945.0
2020-07-17,9.645,9.7641,9.4111,9.4834,546325.0
2020-07-18,9.645,9.7641,9.4111,9.4834,546325.0
2020-07-19,9.645,9.7641,9.4111,9.4834,546325.0
2020-07-20,9.4409,9.4579,9.2367,9.2793,565399.0
2020-07-21,9.4409,9.6748,9.4196,9.4664,895431.0
2020-07-22,9.3983,9.7215,9.3813,9.6875,908042.0
2020-07-23,9.7215,9.9639,9.6833,9.7981,982744.0
2020-07-24,9.7811,9.8831,9.4834,9.5004,761419.0
2020-07-25,9.7811,9.8831,9.4834,9.5004,761419.0
2020-07-26,9.7811,9.8831,9.4834,9.5004,761419.0
2020-07-27,9.4409,9.5004,9.2191,9.2963,447735.0
2020-07-28,9.2112,9.3643,9.1432,9.1687,459492.0
2020-07-29,9.2963,9.4621,9.0751,9.3898,777903.0
2020-07-30,9.1687,9.3048,8.9565,9.1517,462703.0
2020-07-31,9.0411,9.1432,8.905,9.1262,485212.0
2020-08-01,9.0411,9.1432,8.905,9.1262,485212.0
2020-08-02,9.0411,9.1432,8.905,9.1262,485212.0
2020-08-03,9.1517,9.2963,9.0751,9.2282,525920.0
2020-08-04,9.2282,9.3218,9.1134,9.1942,396998.0
2020-08-05,9.2963,9.3388,9.1517,9.2963,871806.0
2020-08-06,9.2708,9.4281,9.2197,9.3813,516394.0
2020-08-07,9.3133,9.7471,9.2963,9.7471,626662.0
2020-08-08,9.3133,9.7471,9.2963,9.7471,626662.0
2020-08-09,9.3133,9.7471,9.2963,9.7471,626662.0
2020-08-10,9.7726,10.1723,9.7726,9.9767,566475.0
2020-08-11,10.1213,10.3084,9.8746,9.9257,569191.0
2020-08-12,10.0873,10.0873,9.6195,9.7045,376177.0
2020-08-13,9.594,9.7045,9.5089,9.6025,219238.0
2020-08-14,9.5089,9.7471,9.4706,9.696,419865.0
2020-08-15,9.5089,9.7471,9.4706,9.696,419865.0
2020-08-16,9.5089,9.7471,9.4706,9.696,419865.0
2020-08-17,9.645,9.696,9.4494,9.5344,315283.0
2020-08-18,9.5004,9.5089,9.0411,9.0581,505990.0
2020-08-19,9.0581,9.4579,8.9986,9.2623,499947.0
2020-08-20,9.1007,9.4113,9.0922,9.3133,543530.0
2020-08-21,9.2282,9.3983,9.1092,9.1432,465335.0
2020-08-22,9.2282,9.3983,9.1092,9.1432,465335.0
2020-08-23,9.2282,9.3983,9.1092,9.1432,465335.0
2020-08-24,8.9986,9.2112,8.82,9.1772,451922.0
2020-08-25,9.1942,9.3728,8.9646,9.0241,493999.0
2020-08-26,9.0156,9.1772,8.8115,8.854,521298.0
2020-08-27,8.8965,9.1602,8.8625,9.0411,459190.0
2020-08-28,9.1262,9.1517,8.9306,9.1517,442751.0
2020-08-29,9.1262,9.1517,8.9306,9.1517,442751.0
2020-08-30,9.1262,9.1517,8.9306,9.1517,442751.0
2020-08-31,9.1007,9.1092,8.871,8.888,407001.0
2020-09-01,8.803,8.9306,8.6839,8.837,437752.0
2020-09-02,8.837,9.1687,8.837,9.0922,457193.0
2020-09-03,9.1092,9.2623,8.803,8.854,529002.0
2020-09-04,9.0241,9.0496,8.5903,8.6159,619646.0
2020-09-05,9.0241,9.0496,8.5903,8.6159,619646.0
2020-09-06,9.0241,9.0496,8.5903,8.6159,619646.0
2020-09-07,9.0241,9.0496,8.5903,8.6159,619646.0
2020-09-08,8.5903,8.7945,8.4287,8.6074,769279.0
2020-09-09,8.6414,8.786,8.3182,8.3692,752072.0
2020-09-10,8.3862,8.4543,8.1225,8.2076,594865.0
2020-09-11,8.2076,8.2756,8.0545,8.2671,463613.0
2020-09-12,8.2076,8.2756,8.0545,8.2671,463613.0
2020-09-13,8.2076,8.2756,8.0545,8.2671,463613.0
2020-09-14,8.3352,8.7519,8.3182,8.6499,1398233.0
2020-09-15,8.6924,8.854,8.4755,8.5223,4160718.0
2020-09-16,8.6754,9.3643,8.5903,9.1772,2515841.0
2020-09-17,9.4409,10.5957,9.2963,10.2404,3220992.0
2020-09-18,10.3339,10.5381,10.0362,10.4955,2348523.0
2020-09-19,10.3339,10.5381,10.0362,10.4955,2348523.0
2020-09-20,10.3339,10.5381,10.0362,10.4955,2348523.0
2020-09-21,10.2999,10.3509,9.9087,10.0618,1483425.0
2020-09-22,10.0788,10.1043,9.4579,9.6535,2492457.0
2020-09-23,9.2282,9.3388,8.1311,8.3692,4566620.0
2020-09-24,8.3522,8.5393,8.2331,8.2416,1823552.0
2020-09-25,8.2416,8.4458,8.2161,8.2586,1940231.0
2020-09-26,8.2416,8.4458,8.2161,8.2586,1940231.0
2020-09-27,8.2416,8.4458,8.2161,8.2586,1940231.0
2020-09-28,8.5053,8.6244,8.3267,8.4202,1376279.0
2020-09-29,8.4032,8.5903,8.2671,8.5393,1039215.0
2020-09-30,8.5223,8.7977,8.5223,8.5988,1392512.0
2020-10-01,8.994,9.5266,8.9596,9.1744,1283624.0
2020-10-02,8.848,9.9303,8.7535,9.8702,1269246.0
2020-10-03,8.848,9.9303,8.7535,9.8702,1269246.0
2020-10-04,8.848,9.9303,8.7535,9.8702,1269246.0
2020-10-05,9.9561,9.9733,9.6168,9.7499,869897.0
2020-10-06,9.9046,10.0764,9.7413,9.8015,862801.0
2020-10-07,10.0334,10.3384,9.7757,9.8015,819659.0
2020-10-08,9.9217,9.9475,9.6984,9.8272,557996.0
2020-10-09,9.9217,10.0076,9.7156,9.8616,513906.0
2020-10-10,9.9217,10.0076,9.7156,9.8616,513906.0
2020-10-11,9.9217,10.0076,9.7156,9.8616,513906.0
2020-10-12,9.9046,10.2052,9.8702,10.1451,640607.0
2020-10-13,10.1365,10.2396,9.9819,10.1795,627690.0
2020-10-14,10.1709,10.4372,10.0935,10.1021,881679.0
2020-10-15,10.0076,10.304,9.8015,10.2825,601785.0
2020-10-16,10.2052,10.5188,10.188,10.4457,634727.0
2020-10-17,10.2052,10.5188,10.188,10.4457,634727.0
2020-10-18,10.2052,10.5188,10.188,10.4457,634727.0
2020-10-19,10.4286,10.6691,10.1623,10.1966,758124.0
2020-10-20,10.3083,10.566,10.231,10.377,477424.0
2020-10-21,10.377,10.3942,10.1107,10.1279,565396.0
2020-10-22,10.2224,10.3169,9.9905,10.1365,592594.0
2020-10-23,10.2052,10.3942,10.085,10.3598,521210.0
2020-10-24,10.2052,10.3942,10.085,10.3598,521210.0
2020-10-25,10.2052,10.3942,10.085,10.3598,521210.0
2020-10-26,10.1795,10.188,9.7371,9.7929,518611.0
2020-10-27,9.7671,9.853,9.5008,9.5352,639092.0
2020-10-28,9.2517,9.5094,9.1658,9.2861,755873.0
2020-10-29,9.2088,9.372,9.0412,9.1572,502847.0
2020-10-30,9.1143,9.3462,8.9038,8.9682,687564.0
2020-10-31,9.1143,9.3462,8.9038,8.9682,687564.0
2020-11-01,9.1143,9.3462,8.9038,8.9682,687564.0
2020-11-02,9.1572,9.3849,9.0455,9.2259,428896.0
2020-11-03,9.4493,9.6554,9.4039,9.5695,413630.0
2020-11-04,9.3376,9.3806,8.9897,9.0541,388149.0
2020-11-05,9.1057,9.4149,9.1057,9.2775,341680.0
2020-11-06,9.3204,9.4407,8.9854,9.0369,345749.0
2020-11-07,9.3204,9.4407,8.9854,9.0369,345749.0
2020-11-08,9.3204,9.4407,8.9854,9.0369,345749.0
2020-11-09,10.0076,10.8151,10.0076,10.6605,1011877.0
2020-11-10,10.8409,11.0299,10.6605,10.8581,708156.0
2020-11-11,10.8753,10.8753,10.2568,10.6347,520181.0
2020-11-12,10.5231,10.5231,10.0248,10.188,653108.0
2020-11-13,10.2911,10.5832,10.2739,10.4973,443837.0
2020-11-14,10.2911,10.5832,10.2739,10.4973,443837.0
2020-11-15,10.2911,10.5832,10.2739,10.4973,443837.0
2020-11-16,10.9698,11.2704,10.7979,11.1501,961605.0
2020-11-17,10.9783,11.0299,10.6691,10.9612,401946.0
2020-11-18,10.9096,11.279,10.6863,10.6863,526637.0
2020-11-19,10.609,10.6949,10.3856,10.6433,376054.0
2020-11-20,10.4973,10.7636,10.4286,10.7636,505763.0
2020-11-21,10.4973,10.7636,10.4286,10.7636,505763.0
2020-11-22,10.4973,10.7636,10.4286,10.7636,505763.0
2020-11-23,10.7636,11.0041,10.6519,10.8323,577546.0
2020-11-24,11.0814,11.4336,10.9354,11.3907,719232.0
2020-11-25,11.2275,11.3134,11.0385,11.0814,394139.0
2020-11-26,11.2275,11.3134,11.0385,11.0814,394139.0
2020-11-27,11.1501,11.1845,10.9182,11.0299,173197.0
2020-11-28,11.1501,11.1845,10.9182,11.0299,173197.0
2020-11-29,11.1501,11.1845,10.9182,11.0299,173197.0
2020-11-30,10.9869,10.9869,10.42,10.4372,578561.0
2020-12-01,10.6347,10.9139,10.4457,10.7378,633519.0
2020-12-02,10.7292,10.7979,10.5317,10.6777,360077.0
2020-12-03,10.7464,10.9698,10.6176,10.8323,359290.0
2020-12-04,10.944,11.4594,10.8967,11.4594,808346.0
2020-12-05,10.944,11.4594,10.8967,11.4594,808346.0
2020-12-06,10.944,11.4594,10.8967,11.4594,808346.0
2020-12-07,11.3821,11.571,11.1501,11.5195,807260.0
2020-12-08,11.3907,11.6484,11.263,11.4079,1047229.0
2020-12-09,11.5023,11.7171,11.425,11.6656,725165.0
2020-12-10,11.5367,11.657,11.3391,11.468,537284.0
2020-12-11,11.3391,11.5109,10.7206,10.7378,502410.0
2020-12-12,11.3391,11.5109,10.7206,10.7378,502410.0
2020-12-13,11.3391,11.5109,10.7206,10.7378,502410.0
2020-12-14,10.9869,11.2017,10.7035,11.0299,741670.0
2020-12-15,11.0986,11.8116,11.0642,11.7944,783772.0
2020-12-16,11.7944,12.0779,11.5238,11.7343,817493.0
2020-12-17,11.7429,11.8116,11.0471,11.3048,1468806.0
2020-12-18,10.6261,11.7772,10.5232,11.6827,2780291.0
2020-12-19,10.6261,11.7772,10.5232,11.6827,2780291.0
2020-12-20,10.6261,11.7772,10.5232,11.6827,2780291.0
2020-12-21,11.2876,11.3606,10.5063,10.712,1323093.0
2020-12-22,10.6777,11.0471,10.5875,10.8151,1071096.0
2020-12-23,10.901,11.2876,10.8323,11.2275,1118721.0
2020-12-24,11.2015,11.7382,11.0197,11.6776,572901.0
2020-12-25,11.2015,11.7382,11.0197,11.6776,572901.0
2020-12-26,11.2015,11.7382,11.0197,11.6776,572901.0
2020-12-27,11.2015,11.7382,11.0197,11.6776,572901.0
2020-12-28,11.7815,12.0239,11.2837,11.4439,1110504.0
2020-12-29,11.4698,11.591,11.0716,11.3054,830026.0
2020-12-30,11.2881,11.6257,11.2768,11.6257,598863.0
2020-12-31,11.6257,11.8248,11.4785,11.7295,816665.0
2021-01-01,11.6257,11.8248,11.4785,11.7295,816665.0
2021-01-02,11.6257,11.8248,11.4785,11.7295,816665.0
2021-01-03,11.6257,11.8248,11.4785,11.7295,816665.0
2021-01-04,11.8248,11.8507,10.9505,11.0284,1355604.0
2021-01-05,11.0803,11.4569,11.0803,11.2881,770325.0
2021-01-06,11.5824,11.868,11.3834,11.617,1254141.0
2021-01-07,11.6603,11.7642,11.3054,11.5131,703687.0
2021-01-08,11.5651,11.5651,11.1063,11.5045,1047358.0
2021-01-09,11.5651,11.5651,11.1063,11.5045,1047358.0
2021-01-10,11.5651,11.5651,11.1063,11.5045,1047358.0
2021-01-11,11.3227,11.4352,11.011,11.089,706146.0
2021-01-12,11.1582,11.8204,11.0284,11.7036,825158.0
2021-01-13,11.6603,11.7815,11.468,11.6343,572014.0
2021-01-14,11.7295,11.894,11.5651,11.5737,628055.0
2021-01-15,11.4439,11.6776,11.3746,11.4266,837750.0
2021-01-16,11.4439,11.6776,11.3746,11.4266,837750.0
2021-01-17,11.4439,11.6776,11.3746,11.4266,837750.0
2021-01-18,11.4439,11.6776,11.3746,11.4266,837750.0
2021-01-19,11.5391,11.6949,11.3833,11.5564,759126.0
2021-01-20,11.5997,11.7382,11.5131,11.6603,582136.0
2021-01-21,11.6603,11.7901,11.5131,11.6516,475898.0
2021-01-22,11.4439,11.9806,11.3184,11.9546,829161.0
2021-01-23,11.4439,11.9806,11.3184,11.9546,829161.0
2021-01-24,11.4439,11.9806,11.3184,11.9546,829161.0
2021-01-25,11.894,11.9545,11.5304,11.6516,517787.0
2021-01-26,11.6863,11.7901,11.5045,11.7209,397708.0
2021-01-27,11.4525,11.6603,11.3487,11.4439,697871.0
2021-01-28,11.5477,11.6776,11.4266,11.4958,451457.0
2021-01-29,11.5218,11.5997,11.1842,11.1928,643183.0
2021-01-30,11.5218,11.5997,11.1842,11.1928,643183.0
2021-01-31,11.5218,11.5997,11.1842,11.1928,643183.0
2021-02-01,11.2794,11.5997,11.1755,11.5477,522910.0
2021-02-02,11.7728,11.8507,11.4785,11.6949,407560.0
2021-02-03,11.6343,11.7209,11.4006,11.6343,526974.0
2021-02-04,11.6603,12.3701,11.591,12.2056,734044.0
2021-02-05,12.3615,12.3788,11.8767,11.9459,572336.0
2021-02-06,12.3615,12.3788,11.8767,11.9459,572336.0
2021-02-07,12.3615,12.3788,11.8767,11.9459,572336.0
2021-02-08,12.0152,12.145,11.8334,12.0671,402392.0
2021-02-09,12.0065,12.1624,11.9027,12.0152,332768.0
2021-02-10,12.0758,12.0758,11.7988,11.8074,476276.0
2021-02-11,11.9373,12.197,11.63,11.7382,756174.0
2021-02-12,11.7036,12.2056,11.7036,11.9373,561099.0
2021-02-13,11.7036,12.2056,11.7036,11.9373,561099.0
2021-02-14,11.7036,12.2056,11.7036,11.9373,561099.0
2021-02-15,11.7036,12.2056,11.7036,11.9373,561099.0
2021-02-16,12.0758,12.1018,11.6603,11.7209,416333.0
2021-02-17,11.5218,11.6386,11.4006,11.4698,673839.0
2021-02-18,11.366,11.4222,11.1669,11.2275,592113.0
2021-02-19,11.2534,11.5564,11.1409,11.4872,677056.0
2021-02-20,11.2534,11.5564,11.1409,11.4872,677056.0
2021-02-21,11.2534,11.5564,11.1409,11.4872,677056.0
2021-02-22,11.4352,12.3788,11.4179,12.3095,906120.0
2021-02-23,12.223,12.5173,12.145,12.3441,524886.0
2021-02-24,12.4653,12.7943,12.4221,12.751,438492.0
2021-02-25,12.7683,12.8376,12.3095,12.3095,493293.0
2021-02-26,12.2836,12.5259,12.0671,12.0671,460677.0
2021-02-27,12.2836,12.5259,12.0671,12.0671,460677.0
2021-02-28,12.2836,12.5259,12.0671,12.0671,460677.0
2021-03-01,12.3355,12.6038,12.3182,12.3961,501451.0
2021-03-02,12.3182,12.4307,12.1883,12.2749,822372.0
2021-03-03,12.3788,12.8376,12.3268,12.6125,683652.0
2021-03-04,12.6558,12.9847,12.4567,12.5606,648000.0
2021-03-05,12.8116,12.9414,12.448,12.8895,632603.0
2021-03-06,12.8116,12.9414,12.448,12.8895,632603.0
2021-03-07,12.8116,12.9414,12.448,12.8895,632603.0
2021-03-08,12.9847,13.8244,12.9588,13.8071,1068987.0
2021-03-09,13.8157,13.8937,13.0886,13.357,720011.0
2021-03-10,13.3743,14.0408,13.2531,14.0062,758839.0
