,CHRW US Equity,CHRW US Equity,CHRW US Equity,CHRW US Equity,CHRW US Equity
2019-02-03,76.3797,77.5077,75.9919,77.305,1279313.0
2019-02-04,77.2522,78.0982,76.5912,78.0982,1194754.0
2019-02-05,78.1158,79.0764,77.8779,79.0676,1279796.0
2019-02-06,78.9706,80.3674,78.9706,80.0105,1627797.0
2019-02-07,79.4465,80.2925,79.2526,79.6316,1419466.0
2019-02-08,79.2791,79.7461,78.3273,79.6316,836787.0
2019-02-09,79.2791,79.7461,78.3273,79.6316,836787.0
2019-02-10,79.2791,79.7461,78.3273,79.6316,836787.0
2019-02-11,79.4994,80.3013,79.2703,79.3936,792842.0
2019-02-12,79.94,80.8037,79.7109,80.2044,913371.0
2019-02-13,80.081,80.2661,79.2174,80.1075,758860.0
2019-02-14,79.6756,80.6142,79.4906,79.9312,751555.0
2019-02-15,80.2749,81.0108,79.4641,80.5922,1202096.0
2019-02-16,80.2749,81.0108,79.4641,80.5922,1202096.0
2019-02-17,80.2749,81.0108,79.4641,80.5922,1202096.0
2019-02-18,80.2749,81.0108,79.4641,80.5922,1202096.0
2019-02-19,80.3102,81.4646,80.1427,81.0328,1020388.0
2019-02-20,80.8389,81.2884,80.5217,81.0945,792034.0
2019-02-21,80.9447,81.5087,80.6979,81.2355,1035363.0
2019-02-22,81.306,81.6056,80.5481,81.024,711606.0
2019-02-23,81.306,81.6056,80.5481,81.024,711606.0
2019-02-24,81.306,81.6056,80.5481,81.024,711606.0
2019-02-25,81.4206,81.7114,80.1603,80.222,992972.0
2019-02-26,80.2044,80.7067,80.1075,80.2925,1771868.0
2019-02-27,79.7021,80.1215,78.9089,79.376,960406.0
2019-02-28,79.3228,80.1248,78.9861,80.0938,949299.0
2019-03-01,80.7141,81.5206,79.5399,79.9343,1424029.0
2019-03-02,80.7141,81.5206,79.5399,79.9343,1424029.0
2019-03-03,80.7141,81.5206,79.5399,79.9343,1424029.0
2019-03-04,80.1115,80.7585,78.4544,78.6405,1416354.0
2019-03-05,78.7822,78.9772,77.9492,78.7202,903098.0
2019-03-06,78.862,79.1412,77.5593,77.9758,893634.0
2019-03-07,77.7011,78.1619,76.9833,77.515,960202.0
2019-03-08,77.0453,77.6213,76.3452,77.4884,563817.0
2019-03-09,77.0453,77.6213,76.3452,77.4884,563817.0
2019-03-10,77.0453,77.6213,76.3452,77.4884,563817.0
2019-03-11,77.3909,78.7911,77.2491,78.7557,777039.0
2019-03-12,78.9418,79.4912,78.1796,78.6493,592309.0
2019-03-13,78.8709,79.5887,78.2948,78.9418,735238.0
2019-03-14,79.2253,79.6241,78.6493,79.1722,750463.0
2019-03-15,79.1722,79.8723,78.5961,78.8709,1288817.0
2019-03-16,79.1722,79.8723,78.5961,78.8709,1288817.0
2019-03-17,79.1722,79.8723,78.5961,78.8709,1288817.0
2019-03-18,78.8709,79.8368,78.7246,79.8368,732396.0
2019-03-19,79.8811,79.9432,78.029,78.2594,961137.0
2019-03-20,77.8961,78.543,76.6147,76.7795,756064.0
2019-03-21,76.6288,77.5416,76.2477,77.3466,763518.0
2019-03-22,77.0542,77.0542,75.0071,75.0425,1094915.0
2019-03-23,77.0542,77.0542,75.0071,75.0425,1094915.0
2019-03-24,77.0542,77.0542,75.0071,75.0425,1094915.0
2019-03-25,74.945,75.1932,73.5094,73.9348,1619071.0
2019-03-26,74.3602,75.8933,73.6955,75.8047,1645512.0
2019-03-27,75.8578,76.5756,75.3704,76.0528,1027307.0
2019-03-28,76.1237,76.9656,75.973,76.4604,910341.0
2019-03-29,76.6997,77.1428,76.5225,77.0896,1273399.0
2019-03-30,76.6997,77.1428,76.5225,77.0896,1273399.0
2019-03-31,76.6997,77.1428,76.5225,77.0896,1273399.0
2019-04-01,77.6479,78.4012,77.2757,78.2505,695490.0
2019-04-02,78.5075,78.8088,77.9581,78.4189,1268563.0
2019-04-03,78.8266,80.0495,78.4278,78.605,1178133.0
2019-04-04,78.8354,80.0495,78.8,79.0747,659287.0
2019-04-05,79.1544,79.6862,78.8886,79.2785,476196.0
2019-04-06,79.1544,79.6862,78.8886,79.2785,476196.0
2019-04-07,79.1544,79.6862,78.8886,79.2785,476196.0
2019-04-08,79.1899,79.7571,78.9152,79.4203,624157.0
2019-04-09,79.0127,79.2519,78.3835,79.0747,673104.0
2019-04-10,78.9595,78.9595,77.7986,78.2771,760635.0
2019-04-11,78.8266,79.6419,78.6582,79.4646,871345.0
2019-04-12,79.7571,80.6167,79.4912,80.4571,813281.0
2019-04-13,79.7571,80.6167,79.4912,80.4571,813281.0
2019-04-14,79.7571,80.6167,79.4912,80.4571,813281.0
2019-04-15,80.5901,81.0775,79.9343,80.5369,946228.0
2019-04-16,77.7365,79.6463,77.5416,79.3317,1869164.0
2019-04-17,79.8457,79.8811,79.1633,79.2874,872758.0
2019-04-18,79.5532,80.5447,79.1367,79.7482,760754.0
2019-04-19,79.5532,80.5447,79.1367,79.7482,760754.0
2019-04-20,79.5532,80.5447,79.1367,79.7482,760754.0
2019-04-21,79.5532,80.5447,79.1367,79.7482,760754.0
2019-04-22,79.3937,79.9609,79.1279,79.8988,641526.0
2019-04-23,80.2799,81.0243,79.952,80.404,932149.0
2019-04-24,80.3331,81.4984,80.3331,81.0154,910891.0
2019-04-25,80.8914,80.8914,77.8783,78.4987,1059894.0
2019-04-26,78.605,78.8177,77.5327,77.772,1893041.0
2019-04-27,78.605,78.8177,77.5327,77.772,1893041.0
2019-04-28,78.605,78.8177,77.5327,77.772,1893041.0
2019-04-29,77.4884,77.4884,71.7548,71.8788,3803250.0
2019-04-30,72.189,72.765,71.737,71.7814,2914618.0
2019-05-01,69.6722,73.0486,68.8746,71.5421,5235634.0
2019-05-02,71.8168,75.0247,71.5332,73.9259,3730664.0
2019-05-03,74.6615,75.2995,73.6955,74.3513,1673567.0
2019-05-04,74.6615,75.2995,73.6955,74.3513,1673567.0
2019-05-05,74.6615,75.2995,73.6955,74.3513,1673567.0
2019-05-06,73.3854,74.4133,72.8005,73.7398,1144924.0
2019-05-07,73.2613,73.6734,72.7384,73.1549,1769010.0
2019-05-08,73.2258,74.8476,72.6941,73.7841,2017834.0
2019-05-09,73.6246,74.3424,72.9511,73.2701,1783463.0
2019-05-10,73.1638,73.1638,71.3471,72.4283,1349264.0
2019-05-11,73.1638,73.1638,71.3471,72.4283,1349264.0
2019-05-12,73.1638,73.1638,71.3471,72.4283,1349264.0
2019-05-13,71.2674,72.0738,70.6736,70.9395,1388278.0
2019-05-14,71.2674,72.7827,71.1876,72.127,1057785.0
2019-05-15,71.7902,72.6805,71.4357,72.5435,915454.0
2019-05-16,72.8448,74.1298,72.4992,73.474,1631470.0
2019-05-17,72.8359,73.7664,72.4549,72.8625,808992.0
2019-05-18,72.8359,73.7664,72.4549,72.8625,808992.0
2019-05-19,72.8359,73.7664,72.4549,72.8625,808992.0
2019-05-20,72.5169,73.0486,72.2112,72.4814,1009238.0
2019-05-21,72.8271,73.3322,72.4726,72.5701,718696.0
2019-05-22,72.1092,72.3352,70.9572,71.9409,755551.0
2019-05-23,71.4712,72.3397,71.037,71.5509,1542841.0
2019-05-24,71.7814,72.0149,70.4255,70.647,1453495.0
2019-05-25,71.7814,72.0149,70.4255,70.647,1453495.0
2019-05-26,71.7814,72.0149,70.4255,70.647,1453495.0
2019-05-27,71.7814,72.0149,70.4255,70.647,1453495.0
2019-05-28,70.7356,70.7356,69.6013,70.0178,1994278.0
2019-05-29,69.9647,70.8952,69.1228,70.6204,1260212.0
2019-05-30,70.7534,71.099,69.0253,69.8229,1400625.0
2019-05-31,69.1316,70.7977,69.1316,70.5673,1919166.0
2019-06-01,69.1316,70.7977,69.1316,70.5673,1919166.0
2019-06-02,69.1316,70.7977,69.1316,70.5673,1919166.0
2019-06-03,70.3546,71.4446,70.0356,70.7179,1049689.0
2019-06-04,71.2053,71.356,70.4521,71.1078,2216364.0
2019-06-05,71.0635,71.9231,70.6293,71.7814,888744.0
2019-06-06,71.496,71.7011,70.2922,70.9432,1274871.0
2019-06-07,71.3088,72.2005,71.0323,71.0591,761858.0
2019-06-08,71.3088,72.2005,71.0323,71.0591,761858.0
2019-06-09,71.3088,72.2005,71.0323,71.0591,761858.0
2019-06-10,71.4604,72.4412,71.3177,71.5139,828262.0
2019-06-11,72.0221,72.5304,71.3979,71.7011,733131.0
2019-06-12,71.8884,73.3507,71.6833,73.3151,1074446.0
2019-06-13,73.4488,74.6794,73.3151,74.5189,1404667.0
2019-06-14,74.5902,74.7329,73.7342,74.6348,1365006.0
2019-06-15,74.5902,74.7329,73.7342,74.6348,1365006.0
2019-06-16,74.5902,74.7329,73.7342,74.6348,1365006.0
2019-06-17,74.6883,74.6883,73.324,73.3775,1074364.0
2019-06-18,74.0106,75.2556,73.8947,74.4564,1084361.0
2019-06-19,74.5189,74.6615,73.7788,74.3405,852315.0
2019-06-20,75.2055,75.3481,74.1354,74.9023,932054.0
2019-06-21,74.9201,74.9201,73.8858,74.0373,1626501.0
2019-06-22,74.9201,74.9201,73.8858,74.0373,1626501.0
2019-06-23,74.9201,74.9201,73.8858,74.0373,1626501.0
2019-06-24,73.966,74.4475,73.4488,73.8947,1076639.0
2019-06-25,73.9303,74.1845,72.6552,73.7788,965210.0
2019-06-26,73.6718,74.6259,73.2081,74.2959,1229252.0
2019-06-27,74.5724,75.6781,74.4386,75.0539,1074062.0
2019-06-28,75.1966,76.115,74.9023,75.2144,2101112.0
2019-06-29,75.1966,76.115,74.9023,75.2144,2101112.0
2019-06-30,75.1966,76.115,74.9023,75.2144,2101112.0
2019-07-01,76.0704,76.2933,74.6794,75.1787,933069.0
2019-07-02,75.0985,75.5889,74.073,74.5724,786204.0
2019-07-03,74.7953,75.9902,74.7899,75.8297,500541.0
2019-07-04,74.7953,75.9902,74.7899,75.8297,500541.0
2019-07-05,75.4106,75.7851,74.8488,75.7048,542345.0
2019-07-06,75.4106,75.7851,74.8488,75.7048,542345.0
2019-07-07,75.4106,75.7851,74.8488,75.7048,542345.0
2019-07-08,75.6781,75.8207,74.3405,74.831,790972.0
2019-07-09,74.3494,74.9469,73.3062,74.18,960981.0
2019-07-10,74.3494,74.8934,73.2437,73.2883,703148.0
2019-07-11,73.217,74.0552,72.7087,73.8679,880051.0
2019-07-12,73.7877,76.3914,73.7877,75.8475,1379878.0
2019-07-13,73.7877,76.3914,73.7877,75.8475,1379878.0
2019-07-14,73.7877,76.3914,73.7877,75.8475,1379878.0
2019-07-15,75.8742,76.008,75.143,75.3571,769843.0
2019-07-16,75.4462,76.6946,74.8042,75.7494,1698414.0
2019-07-17,75.4373,75.4373,73.1189,73.3418,2522403.0
2019-07-18,72.9762,73.7163,72.6017,73.5291,1641326.0
2019-07-19,73.6985,75.2144,73.4221,74.5902,875802.0
2019-07-20,73.6985,75.2144,73.4221,74.5902,875802.0
2019-07-21,73.6985,75.2144,73.4221,74.5902,875802.0
2019-07-22,74.8042,75.2501,74.1444,74.2068,1012682.0
2019-07-23,74.4475,74.4921,73.4711,74.3762,860970.0
2019-07-24,74.5902,77.4258,74.394,76.5876,2019744.0
2019-07-25,76.5341,77.0067,74.4119,74.9647,1855107.0
2019-07-26,74.5278,76.0347,74.4119,75.901,1344579.0
2019-07-27,74.5278,76.0347,74.4119,75.901,1344579.0
2019-07-28,74.5278,76.0347,74.4119,75.901,1344579.0
2019-07-29,75.6602,76.5163,75.4551,75.8475,1232616.0
2019-07-30,75.6602,76.5787,75.2144,75.5889,1437213.0
2019-07-31,72.9049,75.2679,70.9075,74.6615,3196583.0
2019-08-01,74.1265,74.2692,71.4782,72.2272,2330531.0
2019-08-02,72.3699,73.6807,72.254,72.8157,1308204.0
2019-08-03,72.3699,73.6807,72.254,72.8157,1308204.0
2019-08-04,72.3699,73.6807,72.254,72.8157,1308204.0
2019-08-05,72.2272,72.6641,71.8438,72.3699,2238568.0
2019-08-06,72.8692,73.2972,72.1113,72.5215,1005029.0
2019-08-07,72.147,74.608,71.8081,74.4564,2055812.0
2019-08-08,74.6794,77.1048,74.5456,76.7392,1820956.0
2019-08-09,76.7659,77.6309,75.259,75.3303,1800240.0
2019-08-10,76.7659,77.6309,75.259,75.3303,1800240.0
2019-08-11,76.7659,77.6309,75.259,75.3303,1800240.0
2019-08-12,75.1341,75.8921,74.5278,75.2857,1097474.0
2019-08-13,75.3749,76.3112,74.7329,75.4641,1105693.0
2019-08-14,74.5991,74.9112,73.2081,73.4667,1097304.0
2019-08-15,73.6896,74.1533,73.1189,73.9214,1032232.0
2019-08-16,74.4832,75.1966,73.8947,74.7418,1115624.0
2019-08-17,74.4832,75.1966,73.8947,74.7418,1115624.0
2019-08-18,74.4832,75.1966,73.8947,74.7418,1115624.0
2019-08-19,75.4551,76.5163,74.9915,75.1787,1474802.0
2019-08-20,75.2768,75.6513,74.6348,75.0539,1491213.0
2019-08-21,75.58,75.9367,75.0316,75.1341,1140727.0
2019-08-22,75.2857,75.5532,74.1444,74.6526,1237635.0
2019-08-23,74.5278,74.5278,73.0119,73.324,1170513.0
2019-08-24,74.5278,74.5278,73.0119,73.324,1170513.0
2019-08-25,74.5278,74.5278,73.0119,73.324,1170513.0
2019-08-26,73.7163,74.1979,73.2259,74.0908,892265.0
2019-08-27,74.6169,74.831,73.3062,73.4132,936019.0
2019-08-28,73.4221,74.4832,72.8425,74.1622,1004565.0
2019-08-29,74.9023,76.0704,74.6883,75.0093,883495.0
2019-08-30,75.4373,76.2398,75.0985,75.3392,820938.0
2019-08-31,75.4373,76.2398,75.0985,75.3392,820938.0
2019-09-01,75.4373,76.2398,75.0985,75.3392,820938.0
2019-09-02,75.4373,76.2398,75.0985,75.3392,820938.0
2019-09-03,74.6169,75.3481,73.0119,73.1635,1365396.0
2019-09-04,73.7163,74.2246,73.324,73.7966,917995.0
2019-09-05,74.5681,75.4608,74.4964,75.3038,853931.0
2019-09-06,75.5729,75.9318,74.5592,74.7117,1586230.0
2019-09-07,75.5729,75.9318,74.5592,74.7117,1586230.0
2019-09-08,75.5729,75.9318,74.5592,74.7117,1586230.0
2019-09-09,74.8373,75.1782,73.985,74.7207,1470665.0
2019-09-10,74.8552,78.3988,74.8283,77.7798,2586131.0
2019-09-11,77.6991,79.9957,76.9276,79.906,2301958.0
2019-09-12,79.906,79.906,77.0801,77.5555,1145697.0
2019-09-13,77.6004,78.4257,77.4838,78.1387,1040040.0
2019-09-14,77.6004,78.4257,77.4838,78.1387,1040040.0
2019-09-15,77.6004,78.4257,77.4838,78.1387,1040040.0
2019-09-16,77.4748,77.8976,76.0215,76.5149,982172.0
2019-09-17,76.7033,77.5107,75.9318,77.3761,1339816.0
2019-09-18,76.8558,77.9951,76.1829,77.8606,1213104.0
2019-09-19,77.4927,77.6901,76.6808,76.793,966645.0
2019-09-20,77.2415,77.4479,75.4069,75.8062,1636477.0
2019-09-21,77.2415,77.4479,75.4069,75.8062,1636477.0
2019-09-22,77.2415,77.4479,75.4069,75.8062,1636477.0
2019-09-23,75.5998,75.8465,75.0885,75.2589,960703.0
2019-09-24,75.5639,75.86,74.4695,74.622,1103374.0
2019-09-25,74.8732,76.2278,74.6399,76.1291,1077535.0
2019-09-26,75.7882,75.9407,75.3755,75.4383,628401.0
2019-09-27,75.8869,76.1471,74.7834,75.1692,701544.0
2019-09-28,75.8869,76.1471,74.7834,75.1692,701544.0
2019-09-29,75.8869,76.1471,74.7834,75.1692,701544.0
2019-09-30,75.5639,76.488,75.5056,76.0574,1073473.0
2019-10-01,76.4431,77.0442,74.4964,74.9718,1269310.0
2019-10-02,74.6937,75.4069,73.5634,73.7428,1859555.0
2019-10-03,73.5185,73.985,72.5586,73.6531,1262344.0
2019-10-04,73.8953,74.8821,73.8863,74.7207,761006.0
2019-10-05,73.8953,74.8821,73.8863,74.7207,761006.0
2019-10-06,73.8953,74.8821,73.8863,74.7207,761006.0
2019-10-07,74.3977,75.223,73.7428,74.8462,880481.0
2019-10-08,74.4156,74.4156,73.6621,73.6979,1046021.0
2019-10-09,74.308,74.7655,74.1286,74.4784,586429.0
2019-10-10,74.3439,75.6895,74.3394,75.6536,1119161.0
2019-10-11,76.2188,77.3043,76.2188,76.479,958513.0
2019-10-12,76.2188,77.3043,76.2188,76.479,958513.0
2019-10-13,76.2188,77.3043,76.2188,76.479,958513.0
2019-10-14,76.47,76.8558,75.9856,76.5418,802740.0
2019-10-15,76.0125,77.3761,75.6806,76.5149,1370646.0
2019-10-16,75.5819,77.7619,75.5011,77.1518,1655162.0
2019-10-17,77.4748,78.0534,77.3896,77.7439,1117151.0
2019-10-18,77.8157,78.3181,77.0442,77.6497,1043585.0
2019-10-19,77.8157,78.3181,77.0442,77.6497,1043585.0
2019-10-20,77.8157,78.3181,77.0442,77.6497,1043585.0
2019-10-21,78.0669,78.4975,77.3043,77.8785,886224.0
2019-10-22,77.6722,79.7624,77.2326,79.7086,1193792.0
2019-10-23,79.9329,80.7762,79.3856,79.8791,1597957.0
2019-10-24,79.4215,79.6368,78.2598,78.659,1577013.0
2019-10-25,78.3629,80.9107,78.3629,80.839,1468643.0
2019-10-26,78.3629,80.9107,78.3629,80.839,1468643.0
2019-10-27,78.3629,80.9107,78.3629,80.839,1468643.0
2019-10-28,81.6464,81.8437,80.821,81.0363,1597866.0
2019-10-29,80.5878,81.7899,80.2558,81.2068,2495669.0
2019-10-30,73.6531,74.4605,68.4328,69.1496,10663777.0
2019-10-31,69.1585,69.7955,67.2208,67.8577,4676750.0
2019-11-01,66.7184,68.1627,66.4941,67.0144,4238809.0
2019-11-02,66.7184,68.1627,66.4941,67.0144,4238809.0
2019-11-03,66.7184,68.1627,66.4941,67.0144,4238809.0
2019-11-04,66.5928,68.0013,66.5928,67.759,5828660.0
2019-11-05,68.082,68.692,67.472,68.4857,4358759.0
2019-11-06,68.8176,70.6388,68.3242,70.5222,2471424.0
2019-11-07,70.6029,71.3834,70.3024,70.9976,2064918.0
2019-11-08,70.9348,71.2135,69.957,70.0287,1650512.0
2019-11-09,70.9348,71.2135,69.957,70.0287,1650512.0
2019-11-10,70.9348,71.2135,69.957,70.0287,1650512.0
2019-11-11,69.5533,70.2889,68.9253,68.9522,1081761.0
2019-11-12,68.8535,68.9387,67.6962,67.7321,1734460.0
2019-11-13,67.3553,67.5348,66.835,66.9516,1694398.0
2019-11-14,66.9337,67.6693,66.7363,66.9875,1381791.0
2019-11-15,67.1849,67.5168,66.7274,67.0324,1071646.0
2019-11-16,67.1849,67.5168,66.7274,67.0324,1071646.0
2019-11-17,67.1849,67.5168,66.7274,67.0324,1071646.0
2019-11-18,66.844,67.5482,66.7453,67.463,1167596.0
2019-11-19,67.768,68.2211,67.2297,68.091,1285189.0
2019-11-20,67.7142,68.1717,67.3374,67.786,975495.0
2019-11-21,67.7411,68.0013,66.7543,66.9247,941423.0
2019-11-22,67.2746,67.9205,66.8171,67.8129,792181.0
2019-11-23,67.2746,67.9205,66.8171,67.8129,792181.0
2019-11-24,67.2746,67.9205,66.8171,67.8129,792181.0
2019-11-25,68.1089,68.692,67.7321,68.3691,842663.0
2019-11-26,68.2076,69.3559,68.2076,69.1227,2033564.0
2019-11-27,69.2483,70.0287,69.0935,69.7506,1527532.0
2019-11-28,69.2483,70.0287,69.0935,69.7506,1527532.0
2019-11-29,70.1005,70.1633,68.8984,68.9432,922587.0
2019-11-30,70.1005,70.1633,68.8984,68.9432,922587.0
2019-12-01,70.1005,70.1633,68.8984,68.9432,922587.0
2019-12-02,69.0329,70.3966,68.9432,69.7506,1674993.0
2019-12-03,69.7148,69.7148,67.8039,68.1986,1405241.0
2019-12-04,68.2166,69.1496,68.1986,68.5306,983712.0
2019-12-05,68.7459,68.9522,67.9295,68.4588,1101789.0
2019-12-06,69.2124,69.6071,68.0282,68.1986,1129570.0
2019-12-07,69.2124,69.6071,68.0282,68.1986,1129570.0
2019-12-08,69.2124,69.6071,68.0282,68.1986,1129570.0
2019-12-09,68.2525,68.71,67.9564,68.4229,830936.0
2019-12-10,68.2525,68.8804,67.6918,68.0013,1156185.0
2019-12-11,68.0641,68.4992,67.7052,68.082,872558.0
2019-12-12,68.0999,70.0557,68.0013,69.957,1229652.0
2019-12-13,69.9931,70.0924,68.7379,69.1262,1063859.0
2019-12-14,69.9931,70.0924,68.7379,69.1262,1063859.0
2019-12-15,69.9931,70.0924,68.7379,69.1262,1063859.0
2019-12-16,69.3068,69.8486,69.0178,69.5777,827940.0
2019-12-17,69.2165,70.3362,69.2165,70.2279,1091731.0
2019-12-18,70.0021,70.3453,69.8351,70.2098,1237803.0
2019-12-19,70.4175,70.4265,69.2075,69.2887,1616370.0
2019-12-20,69.5416,69.7177,68.178,69.3519,2522344.0
2019-12-21,69.5416,69.7177,68.178,69.3519,2522344.0
2019-12-22,69.5416,69.7177,68.178,69.3519,2522344.0
2019-12-23,69.5325,69.8305,69.0991,69.361,909734.0
2019-12-24,69.2797,70.0292,69.1262,70.0202,298542.0
2019-12-25,69.2797,70.0292,69.1262,70.0202,298542.0
2019-12-26,70.2098,70.4085,69.8396,70.3543,590746.0
2019-12-27,70.5168,70.8871,70.2459,70.3724,1076913.0
2019-12-28,70.5168,70.8871,70.2459,70.3724,1076913.0
2019-12-29,70.5168,70.8871,70.2459,70.3724,1076913.0
2019-12-30,70.6884,70.7959,69.9028,70.0202,588289.0
2019-12-31,70.0111,70.6749,69.6951,70.6162,882342.0
2020-01-01,70.0111,70.6749,69.6951,70.6162,882342.0
2020-01-02,70.8871,70.8871,69.4513,70.2821,1258782.0
2020-01-03,69.6319,70.255,69.3339,70.2008,891956.0
2020-01-04,69.6319,70.255,69.3339,70.2008,891956.0
2020-01-05,69.6319,70.255,69.3339,70.2008,891956.0
2020-01-06,69.5958,70.0924,68.5031,69.0901,1098863.0
2020-01-07,69.1804,70.8329,68.8192,70.7245,1147060.0
2020-01-08,70.7336,71.9617,70.6749,71.158,1132390.0
2020-01-09,71.5463,71.9075,70.711,71.7269,816366.0
2020-01-10,71.6276,72.6118,71.6276,72.35,1427079.0
2020-01-11,71.6276,72.6118,71.6276,72.35,1427079.0
2020-01-12,71.6276,72.6118,71.6276,72.35,1427079.0
2020-01-13,72.2416,72.8015,71.9436,72.657,938769.0
2020-01-14,72.5035,74.1199,72.5035,73.8219,1377883.0
2020-01-15,75.5015,75.6731,74.314,75.4022,2229506.0
2020-01-16,75.6911,76.689,75.4383,75.944,2758140.0
2020-01-17,74.0567,75.4744,72.6028,72.9098,2780349.0
2020-01-18,74.0567,75.4744,72.6028,72.9098,2780349.0
2020-01-19,74.0567,75.4744,72.6028,72.9098,2780349.0
2020-01-20,74.0567,75.4744,72.6028,72.9098,2780349.0
2020-01-21,72.6751,73.1898,72.1784,72.4222,1497484.0
2020-01-22,72.7021,72.9821,71.7179,72.5215,1045587.0
2020-01-23,72.4041,72.4403,71.2212,72.061,1078002.0
2020-01-24,71.9797,72.35,71.4108,71.8985,930219.0
2020-01-25,71.9797,72.35,71.4108,71.8985,930219.0
2020-01-26,71.9797,72.35,71.4108,71.8985,930219.0
2020-01-27,71.0225,71.8443,70.4446,70.86,1462152.0
2020-01-28,70.869,71.3296,70.3001,70.3272,2107412.0
2020-01-29,65.496,67.8981,64.8007,66.2907,4850524.0
2020-01-30,65.1529,66.3629,64.8368,65.5954,1931556.0
2020-01-31,65.5231,66.1823,64.8639,65.2161,2216489.0
2020-02-01,65.5231,66.1823,64.8639,65.2161,2216489.0
2020-02-02,65.5231,66.1823,64.8639,65.2161,2216489.0
2020-02-03,65.8573,66.0469,64.7736,65.0265,1542940.0
2020-02-04,65.6315,65.6947,64.7827,65.2251,1328895.0
2020-02-05,65.6947,66.3178,65.2793,65.6857,1106260.0
2020-02-06,66.0469,66.7783,65.3425,66.4442,1699747.0
2020-02-07,66.4713,68.3225,66.4713,67.1666,1656617.0
2020-02-08,66.4713,68.3225,66.4713,67.1666,1656617.0
2020-02-09,66.4713,68.3225,66.4713,67.1666,1656617.0
2020-02-10,66.8957,67.2479,65.6496,65.8482,1092013.0
2020-02-11,66.0108,66.5165,65.5954,65.6676,741485.0
2020-02-12,65.9205,66.3629,65.6134,66.2094,1240175.0
2020-02-13,66.0017,66.2456,65.0084,65.1348,965603.0
2020-02-14,65.0445,65.3787,64.7465,65.0265,904813.0
2020-02-15,65.0445,65.3787,64.7465,65.0265,904813.0
2020-02-16,65.0445,65.3787,64.7465,65.0265,904813.0
2020-02-17,65.0445,65.3787,64.7465,65.0265,904813.0
2020-02-18,64.891,65.4328,64.7917,65.4238,731804.0
2020-02-19,65.5593,66.7603,65.5502,66.3539,814557.0
2020-02-20,66.4894,67.6904,66.1552,67.564,1579119.0
2020-02-21,66.9048,68.2683,66.5526,67.3201,1497184.0
2020-02-22,66.9048,68.2683,66.5526,67.3201,1497184.0
2020-02-23,66.9048,68.2683,66.5526,67.3201,1497184.0
2020-02-24,66.1101,66.8235,64.6743,65.1439,1657926.0
2020-02-25,65.2974,65.8934,63.6449,64.882,2344924.0
2020-02-26,65.496,65.8573,64.295,64.7104,1107354.0
2020-02-27,63.4913,65.2342,63.094,63.094,2325614.0
2020-02-28,62.2542,63.0037,60.8184,62.2181,3375806.0
2020-02-29,62.2542,63.0037,60.8184,62.2181,3375806.0
2020-03-01,62.2542,63.0037,60.8184,62.2181,3375806.0
2020-03-02,62.3355,63.3198,61.7485,63.2927,1786155.0
2020-03-03,62.8773,63.8435,60.6288,61.6492,1442683.0
2020-03-04,62.4167,64.0061,61.0351,63.9248,1394055.0
