,MBUU US Equity,MBUU US Equity,MBUU US Equity,MBUU US Equity,MBUU US Equity
2019-03-11,43.76,45.16,43.4,45.09,215787.0
2019-03-12,45.1,45.19,44.29,44.45,119474.0
2019-03-13,44.68,44.97,44.39,44.39,86411.0
2019-03-14,44.36,44.47,43.62,43.64,113184.0
2019-03-15,43.46,43.63,41.74,41.98,412060.0
2019-03-16,43.46,43.63,41.74,41.98,412060.0
2019-03-17,43.46,43.63,41.74,41.98,412060.0
2019-03-18,41.96,42.27,41.47,41.98,194975.0
2019-03-19,41.95,42.3699,40.4102,40.66,219468.0
2019-03-20,40.32,40.7139,37.73,38.89,727433.0
2019-03-21,38.97,39.72,38.35,39.69,205197.0
2019-03-22,39.22,39.33,37.12,37.18,360128.0
2019-03-23,39.22,39.33,37.12,37.18,360128.0
2019-03-24,39.22,39.33,37.12,37.18,360128.0
2019-03-25,37.11,39.359,37.0308,38.99,350029.0
2019-03-26,39.51,39.9,38.59,39.09,188541.0
2019-03-27,39.23,40.19,38.75,39.89,138501.0
2019-03-28,40.1,41.02,40.0,40.26,90616.0
2019-03-29,40.26,40.4465,38.26,39.58,213109.0
2019-03-30,40.26,40.4465,38.26,39.58,213109.0
2019-03-31,40.26,40.4465,38.26,39.58,213109.0
2019-04-01,39.92,41.06,39.63,40.11,181990.0
2019-04-02,40.15,40.67,39.64,40.18,118050.0
2019-04-03,40.63,40.73,39.49,39.7,96365.0
2019-04-04,39.79,40.41,39.4102,40.41,68171.0
2019-04-05,40.41,40.96,39.91,40.86,121236.0
2019-04-06,40.41,40.96,39.91,40.86,121236.0
2019-04-07,40.41,40.96,39.91,40.86,121236.0
2019-04-08,40.8,41.39,40.47,40.84,103051.0
2019-04-09,40.63,40.63,38.97,39.34,106526.0
2019-04-10,39.52,40.25,39.42,39.98,87979.0
2019-04-11,39.99,40.59,39.65,40.13,148228.0
2019-04-12,40.33,40.45,39.51,40.03,123850.0
2019-04-13,40.33,40.45,39.51,40.03,123850.0
2019-04-14,40.33,40.45,39.51,40.03,123850.0
2019-04-15,40.09,40.86,39.8,40.31,94276.0
2019-04-16,40.48,41.87,40.37,41.4,119063.0
2019-04-17,41.53,41.58,40.7,40.78,82683.0
2019-04-18,40.71,41.27,39.94,40.74,85226.0
2019-04-19,40.71,41.27,39.94,40.74,85226.0
2019-04-20,40.71,41.27,39.94,40.74,85226.0
2019-04-21,40.71,41.27,39.94,40.74,85226.0
2019-04-22,40.66,41.17,40.485,40.96,93673.0
2019-04-23,40.87,42.58,40.4075,41.88,129365.0
2019-04-24,41.94,44.32,41.75,44.0,175961.0
2019-04-25,43.79,43.81,41.5,41.7,211395.0
2019-04-26,41.76,43.06,41.61,42.88,70721.0
2019-04-27,41.76,43.06,41.61,42.88,70721.0
2019-04-28,41.76,43.06,41.61,42.88,70721.0
2019-04-29,43.05,43.32,42.71,42.92,74223.0
2019-04-30,42.69,43.345,41.51,41.62,122690.0
2019-05-01,41.63,42.17,41.22,41.7,107120.0
2019-05-02,41.72,42.93,41.39,42.91,100268.0
2019-05-03,43.56,43.56,42.16,42.83,243179.0
2019-05-04,43.56,43.56,42.16,42.83,243179.0
2019-05-05,43.56,43.56,42.16,42.83,243179.0
2019-05-06,41.76,43.2,41.76,42.66,79345.0
2019-05-07,42.18,42.59,41.36,41.93,121808.0
2019-05-08,41.8,42.0222,40.93,41.46,148211.0
2019-05-09,43.72,44.125,37.56,41.93,280920.0
2019-05-10,42.42,43.93,41.77,43.3,238043.0
2019-05-11,42.42,43.93,41.77,43.3,238043.0
2019-05-12,42.42,43.93,41.77,43.3,238043.0
2019-05-13,42.24,43.15,41.26,41.79,221562.0
2019-05-14,42.11,42.39,41.55,42.26,270686.0
2019-05-15,41.79,42.27,40.78,41.52,260296.0
2019-05-16,41.27,41.93,41.14,41.28,153037.0
2019-05-17,41.05,41.11,39.87,39.95,165185.0
2019-05-18,41.05,41.11,39.87,39.95,165185.0
2019-05-19,41.05,41.11,39.87,39.95,165185.0
2019-05-20,39.66,40.84,39.26,40.71,106051.0
2019-05-21,41.12,42.17,41.03,41.73,230441.0
2019-05-22,41.5,42.465,40.66,40.91,207350.0
2019-05-23,40.37,40.72,38.49,38.9,144102.0
2019-05-24,39.17,39.17,36.78,37.63,436191.0
2019-05-25,39.17,39.17,36.78,37.63,436191.0
2019-05-26,39.17,39.17,36.78,37.63,436191.0
2019-05-27,39.17,39.17,36.78,37.63,436191.0
2019-05-28,37.85,38.76,37.79,38.63,348167.0
2019-05-29,38.4,38.42,36.175,36.76,265139.0
2019-05-30,36.89,37.46,36.74,37.15,128314.0
2019-05-31,36.53,36.73,35.76,35.9,170742.0
2019-06-01,36.53,36.73,35.76,35.9,170742.0
2019-06-02,36.53,36.73,35.76,35.9,170742.0
2019-06-03,35.69,36.95,35.29,36.56,181351.0
2019-06-04,37.11,38.105,36.74,38.02,130181.0
2019-06-05,38.12,38.4242,37.0,37.77,232807.0
2019-06-06,37.55,38.2542,36.24,36.56,239907.0
2019-06-07,36.6,38.0699,36.5,37.39,254550.0
2019-06-08,36.6,38.0699,36.5,37.39,254550.0
2019-06-09,36.6,38.0699,36.5,37.39,254550.0
2019-06-10,37.58,38.7,36.39,36.69,186475.0
2019-06-11,37.01,37.4,36.01,36.41,196266.0
2019-06-12,36.28,36.67,35.79,36.21,233577.0
2019-06-13,36.47,37.94,36.38,37.0,262465.0
2019-06-14,36.92,37.51,36.26,37.31,217602.0
2019-06-15,36.92,37.51,36.26,37.31,217602.0
2019-06-16,36.92,37.51,36.26,37.31,217602.0
2019-06-17,37.02,37.11,35.8,36.5,198288.0
2019-06-18,36.78,38.59,36.7098,38.5,214966.0
2019-06-19,38.5,39.61,38.29,38.96,422636.0
2019-06-20,39.8,40.98,37.92,37.95,143888.0
2019-06-21,37.95,38.526,37.34,37.8,222288.0
2019-06-22,37.95,38.526,37.34,37.8,222288.0
2019-06-23,37.95,38.526,37.34,37.8,222288.0
2019-06-24,37.99,38.92,37.15,38.35,292078.0
2019-06-25,38.36,38.51,36.22,36.42,205911.0
2019-06-26,36.56,37.44,36.325,36.76,180911.0
2019-06-27,36.97,37.76,36.62,37.69,165828.0
2019-06-28,37.84,39.1,37.84,38.85,294427.0
2019-06-29,37.84,39.1,37.84,38.85,294427.0
2019-06-30,37.84,39.1,37.84,38.85,294427.0
2019-07-01,39.6,39.88,38.66,39.22,179773.0
2019-07-02,39.38,39.38,38.35,39.05,179095.0
2019-07-03,39.07,40.14,38.79,40.0,75739.0
2019-07-04,39.07,40.14,38.79,40.0,75739.0
2019-07-05,40.0,40.1738,39.72,40.03,98445.0
2019-07-06,40.0,40.1738,39.72,40.03,98445.0
2019-07-07,40.0,40.1738,39.72,40.03,98445.0
2019-07-08,39.67,40.23,39.3,39.39,168762.0
2019-07-09,39.06,39.1,38.15,38.28,144231.0
2019-07-10,38.58,38.58,36.85,36.85,364947.0
2019-07-11,36.82,36.82,35.76,36.51,152311.0
2019-07-12,36.7,37.52,36.342,37.04,197664.0
2019-07-13,36.7,37.52,36.342,37.04,197664.0
2019-07-14,36.7,37.52,36.342,37.04,197664.0
2019-07-15,37.21,37.2852,36.3603,36.71,171520.0
2019-07-16,36.84,39.17,36.84,38.69,169077.0
2019-07-17,38.66,38.66,36.63,36.67,207442.0
2019-07-18,36.67,36.92,35.6,36.27,190870.0
2019-07-19,36.26,36.475,35.065,35.21,184458.0
2019-07-20,36.26,36.475,35.065,35.21,184458.0
2019-07-21,36.26,36.475,35.065,35.21,184458.0
2019-07-22,33.06,33.31,30.6401,32.04,928540.0
2019-07-23,32.25,33.0876,31.75,31.98,276455.0
2019-07-24,31.8,32.59,31.5331,32.34,381089.0
2019-07-25,32.34,32.34,29.62,30.29,262229.0
2019-07-26,30.58,30.86,30.28,30.47,251888.0
2019-07-27,30.58,30.86,30.28,30.47,251888.0
2019-07-28,30.58,30.86,30.28,30.47,251888.0
2019-07-29,30.42,30.615,30.1,30.51,243075.0
2019-07-30,30.37,30.74,29.89,30.38,233691.0
2019-07-31,30.3,31.04,29.96,30.13,327396.0
2019-08-01,30.14,30.41,27.9,28.28,273605.0
2019-08-02,28.18,28.3,27.7,28.06,251031.0
2019-08-03,28.18,28.3,27.7,28.06,251031.0
2019-08-04,28.18,28.3,27.7,28.06,251031.0
2019-08-05,27.4,27.76,27.05,27.46,155279.0
2019-08-06,27.56,28.0,27.38,27.72,318195.0
2019-08-07,27.46,28.03,27.335,27.72,225132.0
2019-08-08,27.93,28.75,27.93,28.31,176591.0
2019-08-09,28.25,28.48,27.14,27.16,195985.0
2019-08-10,28.25,28.48,27.14,27.16,195985.0
2019-08-11,28.25,28.48,27.14,27.16,195985.0
2019-08-12,26.78,27.16,26.455,26.64,197789.0
2019-08-13,26.42,27.45,26.0,26.18,377576.0
2019-08-14,25.65,26.14,25.22,25.85,323120.0
2019-08-15,25.89,26.15,25.18,25.25,215084.0
2019-08-16,25.45,25.92,25.26,25.86,213905.0
2019-08-17,25.45,25.92,25.26,25.86,213905.0
2019-08-18,25.45,25.92,25.26,25.86,213905.0
2019-08-19,26.18,26.36,25.57,25.6,125792.0
2019-08-20,25.5,26.68,24.79,26.64,451169.0
2019-08-21,26.74,28.17,26.63,27.99,405909.0
2019-08-22,28.21,28.3516,27.8205,27.89,243768.0
2019-08-23,27.58,27.78,25.85,26.1,255363.0
2019-08-24,27.58,27.78,25.85,26.1,255363.0
2019-08-25,27.58,27.78,25.85,26.1,255363.0
2019-08-26,26.45,26.61,25.55,26.18,173391.0
2019-08-27,26.16,26.5308,25.22,25.56,178183.0
2019-08-28,25.67,26.36,25.45,25.88,231882.0
2019-08-29,28.0,30.41,27.5,28.45,896120.0
2019-08-30,28.94,28.95,27.5,27.82,417321.0
2019-08-31,28.94,28.95,27.5,27.82,417321.0
2019-09-01,28.94,28.95,27.5,27.82,417321.0
2019-09-02,28.94,28.95,27.5,27.82,417321.0
2019-09-03,27.76,29.16,27.655,28.22,307676.0
2019-09-04,28.73,28.7339,27.498,27.77,359049.0
2019-09-05,28.03,29.61,28.0,28.88,568239.0
2019-09-06,28.82,29.305,28.63,28.78,350237.0
2019-09-07,28.82,29.305,28.63,28.78,350237.0
2019-09-08,28.82,29.305,28.63,28.78,350237.0
2019-09-09,29.02,30.085,28.83,29.89,306645.0
2019-09-10,29.76,30.9,29.76,30.45,180066.0
2019-09-11,30.22,31.59,29.68,31.47,280686.0
2019-09-12,30.96,30.96,29.67,30.35,467713.0
2019-09-13,30.75,31.62,30.0748,31.05,310887.0
2019-09-14,30.75,31.62,30.0748,31.05,310887.0
2019-09-15,30.75,31.62,30.0748,31.05,310887.0
2019-09-16,30.99,31.52,30.3838,31.03,119906.0
2019-09-17,30.76,31.21,30.39,31.06,190575.0
2019-09-18,30.91,31.11,30.58,30.9,174598.0
2019-09-19,31.2,31.8848,30.87,30.92,192445.0
2019-09-20,31.02,31.55,30.65,30.79,297478.0
2019-09-21,31.02,31.55,30.65,30.79,297478.0
2019-09-22,31.02,31.55,30.65,30.79,297478.0
2019-09-23,30.64,31.64,30.64,31.3,117110.0
2019-09-24,31.34,31.525,29.58,29.74,380677.0
2019-09-25,29.82,30.83,29.74,30.46,183216.0
2019-09-26,30.51,30.51,29.48,29.54,136951.0
2019-09-27,29.75,30.27,29.715,30.02,263247.0
2019-09-28,29.75,30.27,29.715,30.02,263247.0
2019-09-29,29.75,30.27,29.715,30.02,263247.0
2019-09-30,30.3,31.02,30.03,30.68,230239.0
2019-10-01,30.99,31.98,30.41,30.69,398115.0
2019-10-02,30.5,30.745,29.64,29.875,359636.0
2019-10-03,29.78,29.92,28.83,29.86,455202.0
2019-10-04,30.02,31.64,29.92,31.63,187061.0
2019-10-05,30.02,31.64,29.92,31.63,187061.0
2019-10-06,30.02,31.64,29.92,31.63,187061.0
2019-10-07,31.45,31.78,30.8,31.01,268288.0
2019-10-08,30.59,30.81,30.06,30.17,251232.0
2019-10-09,30.63,30.63,29.72,29.79,199801.0
2019-10-10,29.97,30.88,29.43,29.48,127547.0
2019-10-11,29.99,31.18,29.99,31.0,188851.0
2019-10-12,29.99,31.18,29.99,31.0,188851.0
2019-10-13,29.99,31.18,29.99,31.0,188851.0
2019-10-14,30.7,31.26,29.99,31.14,197708.0
2019-10-15,31.27,32.34,31.01,31.6,396595.0
2019-10-16,31.44,31.92,31.19,31.65,116948.0
2019-10-17,31.87,32.26,31.5,31.97,134450.0
2019-10-18,31.73,32.86,31.68,32.64,163614.0
2019-10-19,31.73,32.86,31.68,32.64,163614.0
2019-10-20,31.73,32.86,31.68,32.64,163614.0
2019-10-21,33.02,33.64,32.24,32.31,188906.0
2019-10-22,32.59,32.87,32.25,32.75,106675.0
2019-10-23,32.75,32.9675,32.43,32.63,152020.0
2019-10-24,32.78,32.78,32.095,32.68,144037.0
2019-10-25,32.56,33.58,32.56,33.36,153304.0
2019-10-26,32.56,33.58,32.56,33.36,153304.0
2019-10-27,32.56,33.58,32.56,33.36,153304.0
2019-10-28,33.54,34.75,33.54,34.58,256009.0
2019-10-29,34.42,35.24,34.3996,34.73,245681.0
2019-10-30,34.92,35.23,33.75,34.36,234739.0
2019-10-31,34.35,34.505,32.33,32.62,131962.0
2019-11-01,32.82,33.25,32.29,32.3,201830.0
2019-11-02,32.82,33.25,32.29,32.3,201830.0
2019-11-03,32.82,33.25,32.29,32.3,201830.0
2019-11-04,32.49,33.32,31.86,32.945,476507.0
2019-11-05,33.02,34.33,33.02,33.99,340127.0
2019-11-06,33.91,33.971,33.19,33.72,280891.0
2019-11-07,35.16,39.68,35.16,38.01,844824.0
2019-11-08,38.06,39.0,37.65,37.83,212029.0
2019-11-09,38.06,39.0,37.65,37.83,212029.0
2019-11-10,38.06,39.0,37.65,37.83,212029.0
2019-11-11,37.85,38.32,37.171,38.315,267749.0
2019-11-12,38.35,38.64,37.78,38.31,126816.0
2019-11-13,38.13,38.47,37.76,38.05,165198.0
2019-11-14,38.02,38.3495,37.5202,37.98,195061.0
2019-11-15,38.3,38.91,37.9,38.03,208977.0
2019-11-16,38.3,38.91,37.9,38.03,208977.0
2019-11-17,38.3,38.91,37.9,38.03,208977.0
2019-11-18,38.13,38.32,37.87,38.07,158580.0
2019-11-19,38.08,38.63,37.86,38.12,359090.0
2019-11-20,37.82,38.34,37.66,37.99,249079.0
2019-11-21,38.24,38.24,37.3,38.11,131531.0
2019-11-22,38.3,38.72,37.8,38.05,202379.0
2019-11-23,38.3,38.72,37.8,38.05,202379.0
2019-11-24,38.3,38.72,37.8,38.05,202379.0
2019-11-25,38.12,39.56,37.97,39.46,97634.0
2019-11-26,39.54,40.0,38.56,38.74,207725.0
2019-11-27,39.13,39.76,39.0,39.72,114300.0
2019-11-28,39.13,39.76,39.0,39.72,114300.0
2019-11-29,39.5,39.92,39.29,39.54,48707.0
2019-11-30,39.5,39.92,39.29,39.54,48707.0
2019-12-01,39.5,39.92,39.29,39.54,48707.0
2019-12-02,39.72,39.82,38.82,38.89,113993.0
2019-12-03,38.38,38.91,37.99,38.83,126067.0
2019-12-04,38.97,39.23,38.51,38.73,176790.0
2019-12-05,38.99,38.99,37.96,38.37,158906.0
2019-12-06,38.74,39.29,38.4,38.58,127498.0
2019-12-07,38.74,39.29,38.4,38.58,127498.0
2019-12-08,38.74,39.29,38.4,38.58,127498.0
2019-12-09,38.36,38.77,37.5,37.95,195333.0
2019-12-10,38.06,38.085,37.24,38.04,128376.0
2019-12-11,38.05,38.25,37.21,38.04,121869.0
2019-12-12,38.03,39.43,37.59,39.37,104241.0
2019-12-13,39.34,39.3499,38.35,39.07,144522.0
2019-12-14,39.34,39.3499,38.35,39.07,144522.0
2019-12-15,39.34,39.3499,38.35,39.07,144522.0
2019-12-16,39.32,40.48,39.22,39.9,120772.0
2019-12-17,39.7,40.83,39.5,40.56,157831.0
2019-12-18,40.51,40.81,40.13,40.17,131927.0
2019-12-19,40.24,40.24,39.37,40.17,135615.0
2019-12-20,40.09,42.0,40.02,40.79,303591.0
2019-12-21,40.09,42.0,40.02,40.79,303591.0
2019-12-22,40.09,42.0,40.02,40.79,303591.0
2019-12-23,40.75,41.13,40.39,41.03,192806.0
2019-12-24,41.13,41.33,40.8763,40.95,24466.0
2019-12-25,41.13,41.33,40.8763,40.95,24466.0
2019-12-26,40.85,41.36,40.85,41.24,77775.0
2019-12-27,41.24,41.24,40.51,40.84,86252.0
2019-12-28,41.24,41.24,40.51,40.84,86252.0
2019-12-29,41.24,41.24,40.51,40.84,86252.0
2019-12-30,41.02,41.27,40.84,41.04,169449.0
2019-12-31,41.0,41.53,40.87,40.95,133333.0
2020-01-01,41.0,41.53,40.87,40.95,133333.0
2020-01-02,41.41,41.49,40.23,40.95,111055.0
2020-01-03,40.3,41.14,40.18,40.84,112220.0
2020-01-04,40.3,41.14,40.18,40.84,112220.0
2020-01-05,40.3,41.14,40.18,40.84,112220.0
2020-01-06,40.33,41.34,40.32,41.02,136410.0
2020-01-07,40.85,41.19,40.6,40.62,104250.0
2020-01-08,40.63,41.095,40.18,40.8,121705.0
2020-01-09,41.12,41.12,39.81,40.0,75983.0
2020-01-10,39.85,40.205,39.0,39.26,142105.0
2020-01-11,39.85,40.205,39.0,39.26,142105.0
2020-01-12,39.85,40.205,39.0,39.26,142105.0
2020-01-13,39.4,40.67,38.94,40.03,179791.0
2020-01-14,40.11,40.77,39.77,40.07,129672.0
2020-01-15,40.44,40.85,40.27,40.83,102781.0
2020-01-16,41.1,42.25,41.1,41.74,98831.0
2020-01-17,42.14,43.0,42.0587,42.62,131433.0
2020-01-18,42.14,43.0,42.0587,42.62,131433.0
2020-01-19,42.14,43.0,42.0587,42.62,131433.0
2020-01-20,42.14,43.0,42.0587,42.62,131433.0
2020-01-21,42.38,43.25,42.239,42.68,154107.0
2020-01-22,42.8,43.12,41.54,41.6,85319.0
2020-01-23,42.07,44.165,41.96,43.99,199448.0
2020-01-24,44.18,44.19,43.3361,44.05,129540.0
2020-01-25,44.18,44.19,43.3361,44.05,129540.0
2020-01-26,44.18,44.19,43.3361,44.05,129540.0
2020-01-27,43.26,44.09,42.63,43.95,162895.0
2020-01-28,44.49,45.42,44.23,45.23,234789.0
2020-01-29,45.29,45.52,44.19,44.66,135329.0
2020-01-30,44.34,44.96,43.93,44.06,101747.0
2020-01-31,43.91,44.23,43.2217,43.79,150740.0
2020-02-01,43.91,44.23,43.2217,43.79,150740.0
2020-02-02,43.91,44.23,43.2217,43.79,150740.0
2020-02-03,44.12,44.69,43.78,43.88,142440.0
2020-02-04,44.2,44.6,43.26,43.83,215815.0
2020-02-05,44.39,46.81,43.69,46.66,310527.0
2020-02-06,50.72,51.45,47.72,48.07,401052.0
2020-02-07,48.75,48.99,47.02,47.56,173578.0
2020-02-08,48.75,48.99,47.02,47.56,173578.0
2020-02-09,48.75,48.99,47.02,47.56,173578.0
2020-02-10,47.59,48.115,46.93,47.34,120689.0
2020-02-11,47.84,47.84,46.63,47.47,152618.0
2020-02-12,47.89,49.29,47.51,49.15,177826.0
2020-02-13,49.04,51.44,49.04,51.17,293915.0
2020-02-14,51.15,51.15,49.67,49.86,186297.0
2020-02-15,51.15,51.15,49.67,49.86,186297.0
2020-02-16,51.15,51.15,49.67,49.86,186297.0
2020-02-17,51.15,51.15,49.67,49.86,186297.0
2020-02-18,51.25,51.25,50.06,50.31,192924.0
2020-02-19,50.51,52.13,50.3384,51.2,222746.0
2020-02-20,50.94,51.38,49.48,51.31,254797.0
2020-02-21,51.46,51.46,49.6,49.68,228493.0
2020-02-22,51.46,51.46,49.6,49.68,228493.0
2020-02-23,51.46,51.46,49.6,49.68,228493.0
2020-02-24,47.62,48.33,47.0204,47.43,117571.0
2020-02-25,47.45,47.45,44.87,45.25,113711.0
2020-02-26,45.65,46.98,45.25,46.7,203772.0
2020-02-27,45.41,45.65,43.53,43.6,194260.0
2020-02-28,41.25,44.13,40.91,43.94,274822.0
2020-02-29,41.25,44.13,40.91,43.94,274822.0
2020-03-01,41.25,44.13,40.91,43.94,274822.0
2020-03-02,44.12,44.12,41.645,42.52,240906.0
2020-03-03,42.65,43.34,41.55,42.12,256006.0
2020-03-04,42.63,42.83,41.115,42.79,283872.0
2020-03-05,41.58,42.58,37.4191,38.14,275310.0
2020-03-06,37.29,37.48,36.03,37.26,264640.0
2020-03-07,37.29,37.48,36.03,37.26,264640.0
2020-03-08,37.29,37.48,36.03,37.26,264640.0
2020-03-09,35.14,35.29,31.88,32.87,221895.0
2020-03-10,34.0,34.99,30.82,32.1,279102.0
2020-03-11,31.51,32.37,29.38,30.07,198406.0
2020-03-12,27.85,27.85,24.6778,26.59,432373.0
2020-03-13,27.93,29.24,26.4601,29.24,291538.0
2020-03-14,27.93,29.24,26.4601,29.24,291538.0
2020-03-15,27.93,29.24,26.4601,29.24,291538.0
2020-03-16,26.33,30.18,25.79,27.63,519078.0
2020-03-17,28.63,30.38,27.01,27.85,387562.0
2020-03-18,26.16,27.25,23.72,24.88,370768.0
2020-03-19,24.75,28.16,22.84,26.11,346815.0
2020-03-20,26.11,27.38,23.63,24.1,439956.0
2020-03-21,26.11,27.38,23.63,24.1,439956.0
2020-03-22,26.11,27.38,23.63,24.1,439956.0
2020-03-23,23.92,24.63,22.3,23.1,360143.0
2020-03-24,23.4,25.13,23.11,24.88,196338.0
2020-03-25,24.9,28.26,23.57,26.55,241243.0
2020-03-26,26.84,28.68,26.67,28.6,192661.0
2020-03-27,27.51,28.73,27.05,28.13,189686.0
2020-03-28,27.51,28.73,27.05,28.13,189686.0
2020-03-29,27.51,28.73,27.05,28.13,189686.0
2020-03-30,28.16,29.17,27.5,28.82,192936.0
2020-03-31,28.55,29.3453,27.95,28.79,274203.0
2020-04-01,27.53,28.19,24.39,24.6,256253.0
2020-04-02,23.37,23.98,19.17,19.4,593011.0
2020-04-03,19.76,20.46,18.02,18.73,489987.0
2020-04-04,19.76,20.46,18.02,18.73,489987.0
2020-04-05,19.76,20.46,18.02,18.73,489987.0
2020-04-06,18.84,20.87,18.81,20.26,512770.0
2020-04-07,21.49,23.68,20.86,21.2,650555.0
2020-04-08,21.68,23.45,20.55,23.18,362785.0
2020-04-09,24.3,27.74,23.97,27.12,393359.0
2020-04-10,24.3,27.74,23.97,27.12,393359.0
2020-04-11,24.3,27.74,23.97,27.12,393359.0
2020-04-12,24.3,27.74,23.97,27.12,393359.0
2020-04-13,26.91,27.17,23.935,24.64,321841.0
2020-04-14,25.39,26.4299,25.0,25.69,249940.0
2020-04-15,24.85,25.04,23.08,24.85,637238.0
2020-04-16,24.61,25.99,24.5,24.78,296514.0
2020-04-17,26.61,27.09,25.945,26.75,248723.0
2020-04-18,26.61,27.09,25.945,26.75,248723.0
2020-04-19,26.61,27.09,25.945,26.75,248723.0
2020-04-20,26.52,26.5302,25.21,25.58,168327.0
2020-04-21,24.74,25.6,24.51,25.6,193769.0
2020-04-22,25.91,26.35,25.45,26.19,137183.0
2020-04-23,26.63,28.41,26.46,27.91,222033.0
2020-04-24,28.12,29.8,27.65,29.75,243605.0
2020-04-25,28.12,29.8,27.65,29.75,243605.0
2020-04-26,28.12,29.8,27.65,29.75,243605.0
2020-04-27,30.21,32.6,29.64,32.4,404318.0
2020-04-28,33.58,35.25,33.13,34.89,464590.0
2020-04-29,35.74,36.78,33.66,35.89,580347.0
2020-04-30,35.17,35.22,33.39,34.38,312899.0
2020-05-01,33.53,34.26,32.3408,33.04,381069.0
2020-05-02,33.53,34.26,32.3408,33.04,381069.0
2020-05-03,33.53,34.26,32.3408,33.04,381069.0
2020-05-04,32.46,33.22,31.66,32.98,255734.0
2020-05-05,33.31,35.1065,33.25,33.62,214775.0
2020-05-06,33.69,34.52,33.46,34.12,220925.0
