,TJX US Equity,TJX US Equity,TJX US Equity,TJX US Equity,TJX US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-05-12,46.2489,46.3724,43.6178,43.6558,6713668.0
2020-05-13,43.4753,43.6653,41.5186,41.8226,14312373.0
2020-05-14,41.1577,42.516,40.3883,42.497,11424755.0
2020-05-15,41.5376,44.8051,41.3476,44.8051,20593591.0
2020-05-16,41.5376,44.8051,41.3476,44.8051,20593591.0
2020-05-17,41.5376,44.8051,41.3476,44.8051,20593591.0
2020-05-18,47.2938,48.5096,46.7904,47.2653,13388892.0
2020-05-19,47.3793,48.7441,46.04,47.7402,11220256.0
2020-05-20,48.1962,49.0444,47.8732,48.3006,9771564.0
2020-05-21,50.9128,52.518,50.0959,51.5777,23101459.0
2020-05-22,51.1407,52.0906,50.3903,50.7323,13446850.0
2020-05-23,51.1407,52.0906,50.3903,50.7323,13446850.0
2020-05-24,51.1407,52.0906,50.3903,50.7323,13446850.0
2020-05-25,51.1407,52.0906,50.3903,50.7323,13446850.0
2020-05-26,52.2426,52.8885,51.7772,52.5275,12240622.0
2020-05-27,53.5059,53.8384,52.0146,52.518,10792951.0
2020-05-28,52.7365,53.05,51.2215,51.3687,10448075.0
2020-05-29,50.6753,51.3877,49.8252,50.1149,13084508.0
2020-05-30,50.6753,51.3877,49.8252,50.1149,13084508.0
2020-05-31,50.6753,51.3877,49.8252,50.1149,13084508.0
2020-06-01,50.3334,50.9032,49.7349,50.6563,6907802.0
2020-06-02,51.0078,51.6822,50.4378,51.6157,9785468.0
2020-06-03,51.9196,53.0215,51.7677,52.4706,7034131.0
2020-06-04,51.7012,53.0702,51.7012,52.0811,14901685.0
2020-06-05,53.6484,55.4341,53.4204,54.3893,11740007.0
2020-06-06,53.6484,55.4341,53.4204,54.3893,11740007.0
2020-06-07,53.6484,55.4341,53.4204,54.3893,11740007.0
2020-06-08,54.9782,55.6014,53.4299,54.5413,8700205.0
2020-06-09,53.6674,54.1613,53.088,53.4204,7887947.0
2020-06-10,53.4679,53.5202,51.7961,52.0621,10910254.0
2020-06-11,50.1149,50.8558,49.7634,50.0199,10704842.0
2020-06-12,51.4922,51.5017,48.6901,49.8299,7368380.0
2020-06-13,51.4922,51.5017,48.6901,49.8299,7368380.0
2020-06-14,51.4922,51.5017,48.6901,49.8299,7368380.0
2020-06-15,47.8067,50.0294,47.5977,49.9629,8300987.0
2020-06-16,53.6674,54.0093,51.6252,52.765,12471788.0
2020-06-17,52.86,53.183,51.4922,51.8056,6118473.0
2020-06-18,50.9888,51.89,50.5376,50.7703,9619273.0
2020-06-19,52.2426,52.4421,49.9914,50.0009,13537489.0
2020-06-20,52.2426,52.4421,49.9914,50.0009,13537489.0
2020-06-21,52.2426,52.4421,49.9914,50.0009,13537489.0
2020-06-22,49.6874,50.5898,49.222,50.1719,8051356.0
2020-06-23,50.6753,51.0505,50.3049,50.5803,5141561.0
2020-06-24,49.8679,50.2289,48.1107,48.9466,7230703.0
2020-06-25,48.4716,48.6236,47.1703,48.3196,7174295.0
2020-06-26,48.1867,48.8991,46.9186,47.0563,8297968.0
2020-06-27,48.1867,48.8991,46.9186,47.0563,8297968.0
2020-06-28,48.1867,48.8991,46.9186,47.0563,8297968.0
2020-06-29,47.1988,48.2247,46.2869,48.2247,6555287.0
2020-06-30,47.7972,48.2579,47.2748,48.0252,6909163.0
2020-07-01,47.9967,49.6684,47.9017,48.6141,8206124.0
2020-07-02,49.355,49.9439,48.7946,49.1555,6770754.0
2020-07-03,49.355,49.9439,48.7946,49.1555,6770754.0
2020-07-04,49.355,49.9439,48.7946,49.1555,6770754.0
2020-07-05,49.355,49.9439,48.7946,49.1555,6770754.0
2020-07-06,49.7919,50.3334,49.5117,50.0009,7239128.0
2020-07-07,49.3265,49.469,48.1297,48.2532,6414647.0
2020-07-08,48.2721,48.5286,47.5218,48.3196,6327271.0
2020-07-09,48.1582,48.3766,46.7144,47.4838,6078698.0
2020-07-10,47.6547,48.6901,47.1893,48.5096,5058116.0
2020-07-11,47.6547,48.6901,47.1893,48.5096,5058116.0
2020-07-12,47.6547,48.6901,47.1893,48.5096,5058116.0
2020-07-13,48.7376,49.3407,47.6072,47.8447,6180870.0
2020-07-14,47.3698,47.8637,46.7429,47.3603,7368858.0
2020-07-15,49.1175,50.1291,48.8658,49.9914,7332446.0
2020-07-16,49.5735,50.9603,49.45,50.8273,7335719.0
2020-07-17,51.0363,51.0553,50.0864,50.2574,4899674.0
2020-07-18,51.0363,51.0553,50.0864,50.2574,4899674.0
2020-07-19,51.0363,51.0553,50.0864,50.2574,4899674.0
2020-07-20,49.9819,50.2384,48.8611,49.146,5158155.0
2020-07-21,49.203,50.8083,49.1211,50.4093,5112435.0
2020-07-22,49.9344,50.8653,49.621,50.7608,5132289.0
2020-07-23,50.9603,51.2357,50.2479,50.7133,4905083.0
2020-07-24,50.5803,50.9888,50.0389,50.2384,3482128.0
2020-07-25,50.5803,50.9888,50.0389,50.2384,3482128.0
2020-07-26,50.5803,50.9888,50.0389,50.2384,3482128.0
2020-07-27,49.9629,50.0294,49.0938,49.469,3439576.0
2020-07-28,49.393,49.8489,49.146,49.184,3837309.0
2020-07-29,49.3265,50.3239,49.203,49.9629,3927707.0
2020-07-30,49.2885,49.4025,48.4574,49.013,4473157.0
2020-07-31,48.9561,49.431,48.3671,49.3835,5125616.0
2020-08-01,48.9561,49.431,48.3671,49.3835,5125616.0
2020-08-02,48.9561,49.431,48.3671,49.3835,5125616.0
2020-08-03,49.412,49.5545,48.4811,49.2885,5617297.0
2020-08-04,49.165,50.6088,49.1555,50.6088,6781992.0
2020-08-05,50.7988,50.9793,50.1814,50.8558,7323666.0
2020-08-06,50.5423,51.2832,50.4188,50.7323,6582587.0
2020-08-07,50.8938,52.9607,50.6278,52.67,7407298.0
2020-08-08,50.8938,52.9607,50.6278,52.67,7407298.0
2020-08-09,50.8938,52.9607,50.6278,52.67,7407298.0
2020-08-10,52.9455,53.7339,52.765,53.6864,5072344.0
2020-08-11,54.4463,55.5101,53.8289,54.6267,7566688.0
2020-08-12,54.8832,55.1777,53.7434,54.8357,5133273.0
2020-08-13,54.4938,54.7217,53.8241,54.2468,4584278.0
2020-08-14,54.1898,55.4246,53.8384,54.9687,4927025.0
2020-08-15,54.1898,55.4246,53.8384,54.9687,4927025.0
2020-08-16,54.1898,55.4246,53.8384,54.9687,4927025.0
2020-08-17,56.042,56.555,54.8167,56.4315,8039411.0
2020-08-18,56.0515,56.0515,54.4938,54.5698,7840979.0
2020-08-19,51.3022,52.0621,49.621,51.6347,31931958.0
2020-08-20,50.6943,50.9698,48.9466,49.0605,17300438.0
2020-08-21,49.374,50.5708,49.0618,49.089,13732829.0
2020-08-22,49.374,50.5708,49.0618,49.089,13732829.0
2020-08-23,49.374,50.5708,49.0618,49.089,13732829.0
2020-08-24,48.9371,50.8083,48.9371,50.7323,11757014.0
2020-08-25,50.5138,51.2547,50.3903,50.4948,7907172.0
2020-08-26,50.3619,51.098,50.1719,50.5898,8857537.0
2020-08-27,51.0173,51.7297,50.8083,50.9793,7639767.0
2020-08-28,51.0932,52.4611,50.8368,52.3281,6161967.0
2020-08-29,51.0932,52.4611,50.8368,52.3281,6161967.0
2020-08-30,51.0932,52.4611,50.8368,52.3281,6161967.0
2020-08-31,52.3756,53.031,52.0099,52.0431,7453764.0
2020-09-01,51.8531,52.5085,51.2072,52.499,5863433.0
2020-09-02,52.6225,54.0568,52.4895,53.8859,9768958.0
2020-09-03,54.1518,54.1898,52.4136,52.7365,7709005.0
2020-09-04,53.088,53.2589,51.4922,52.4136,6807138.0
2020-09-05,53.088,53.2589,51.4922,52.4136,6807138.0
2020-09-06,53.088,53.2589,51.4922,52.4136,6807138.0
2020-09-07,53.088,53.2589,51.4922,52.4136,6807138.0
2020-09-08,51.9101,52.9075,51.6632,52.5275,7827423.0
2020-09-09,52.3186,52.5465,51.7297,52.0146,6996124.0
2020-09-10,52.2806,52.784,51.2167,51.3972,9039987.0
2020-09-11,51.7866,52.0146,50.8653,51.4352,4841058.0
2020-09-12,51.7866,52.0146,50.8653,51.4352,4841058.0
2020-09-13,51.7866,52.0146,50.8653,51.4352,4841058.0
2020-09-14,51.9671,52.879,51.7961,52.689,4484074.0
2020-09-15,53.4394,54.375,53.0215,54.0093,7179602.0
2020-09-16,54.3608,55.2347,54.0663,54.4463,5704055.0
2020-09-17,53.7529,54.3228,52.7223,53.1355,4683812.0
2020-09-18,52.9265,53.8953,52.689,53.2114,6571839.0
2020-09-19,52.9265,53.8953,52.689,53.2114,6571839.0
2020-09-20,52.9265,53.8953,52.689,53.2114,6571839.0
2020-09-21,52.3946,52.3946,50.6753,51.4542,7933035.0
2020-09-22,51.4542,51.8721,50.5727,51.1787,5915087.0
2020-09-23,51.7107,52.1571,50.0674,50.2194,5962162.0
2020-09-24,49.9344,50.8558,49.203,50.1814,4563397.0
2020-09-25,49.8299,50.7228,49.4975,50.5138,5954364.0
2020-09-26,49.8299,50.7228,49.4975,50.5138,5954364.0
2020-09-27,49.8299,50.7228,49.4975,50.5138,5954364.0
2020-09-28,51.3497,53.0785,51.3022,52.8125,7808529.0
2020-09-29,52.2521,52.4231,50.9318,51.4447,6444548.0
2020-09-30,51.8816,53.7386,51.8435,52.86,6344762.0
2020-10-01,53.2114,54.508,53.088,54.2183,6197328.0
2020-10-02,52.8315,54.9117,52.7935,54.7407,4566361.0
2020-10-03,52.8315,54.9117,52.7935,54.7407,4566361.0
2020-10-04,52.8315,54.9117,52.7935,54.7407,4566361.0
2020-10-05,55.1302,55.5291,54.2088,54.6362,3485907.0
2020-10-06,54.9022,55.5291,53.6674,53.7719,5522154.0
2020-10-07,54.5983,55.8806,54.4843,55.4341,4602810.0
2020-10-08,55.3296,55.6621,54.736,55.3771,4445754.0
2020-10-09,55.8996,56.194,54.9972,55.2727,5708841.0
2020-10-10,55.8996,56.194,54.9972,55.2727,5708841.0
2020-10-11,55.8996,56.194,54.9972,55.2727,5708841.0
2020-10-12,55.4151,55.5481,54.9307,55.0637,5535690.0
2020-10-13,55.0637,55.2537,54.3275,54.5128,3970883.0
2020-10-14,54.7407,55.4151,54.4938,54.5318,3427096.0
2020-10-15,54.1043,54.6837,53.8384,54.5318,4833888.0
2020-10-16,54.5413,54.9402,53.7624,53.8099,6839281.0
2020-10-17,54.5413,54.9402,53.7624,53.8099,6839281.0
2020-10-18,54.5413,54.9402,53.7624,53.8099,6839281.0
2020-10-19,54.1328,54.4178,52.1856,52.3661,4883545.0
2020-10-20,52.67,53.1355,52.1191,52.1761,5672338.0
2020-10-21,52.1951,52.613,51.8341,52.2236,4170986.0
2020-10-22,52.4041,53.4204,52.2996,53.2114,3190828.0
2020-10-23,53.5819,54.1708,52.9835,54.1613,4750262.0
2020-10-24,53.5819,54.1708,52.9835,54.1613,4750262.0
2020-10-25,53.5819,54.1708,52.9835,54.1613,4750262.0
2020-10-26,53.4299,53.5818,51.6822,52.2426,4156655.0
2020-10-27,52.3946,52.3946,51.2452,51.4162,3621483.0
2020-10-28,50.2479,50.5328,48.6711,48.7756,9431660.0
2020-10-29,48.7376,49.6969,48.5761,49.1365,5040628.0
2020-10-30,48.8231,48.9561,47.5503,48.2532,8293726.0
2020-10-31,48.8231,48.9561,47.5503,48.2532,8293726.0
2020-11-01,48.8231,48.9561,47.5503,48.2532,8293726.0
2020-11-02,49.013,49.659,48.5476,49.146,6244516.0
2020-11-03,49.8679,51.5872,49.4975,51.2832,6085652.0
2020-11-04,51.2072,51.7866,50.5328,50.5803,5937229.0
2020-11-05,51.1502,52.1571,50.927,51.8721,5886612.0
2020-11-06,51.9006,52.0051,50.8463,51.2357,4544341.0
2020-11-07,51.9006,52.0051,50.8463,51.2357,4544341.0
2020-11-08,51.9006,52.0051,50.8463,51.2357,4544341.0
2020-11-09,57.7708,59.794,56.7782,57.8468,17552705.0
2020-11-10,58.7112,59.6325,57.6188,59.1386,11527876.0
