,AMP US Equity,AMP US Equity,AMP US Equity,AMP US Equity,AMP US Equity
2019-06-14,137.922,139.627,136.561,139.282,681454.0
2019-06-15,137.922,139.627,136.561,139.282,681454.0
2019-06-16,137.922,139.627,136.561,139.282,681454.0
2019-06-17,138.783,139.137,133.839,134.075,1402289.0
2019-06-18,134.447,138.43,133.803,136.116,1027654.0
2019-06-19,136.434,136.987,134.12,134.347,800719.0
2019-06-20,135.699,136.053,132.288,135.436,1083736.0
2019-06-21,135.581,136.098,133.041,133.15,1360545.0
2019-06-22,135.581,136.098,133.041,133.15,1360545.0
2019-06-23,135.581,136.098,133.041,133.15,1360545.0
2019-06-24,133.086,135.245,132.506,134.011,741959.0
2019-06-25,133.903,134.002,129.947,130.365,1096054.0
2019-06-26,130.963,133.213,129.993,132.56,1221749.0
2019-06-27,131.843,132.315,130.492,130.664,1208966.0
2019-06-28,132.288,133.295,131.272,131.689,1383464.0
2019-06-29,132.288,133.295,131.272,131.689,1383464.0
2019-06-30,132.288,133.295,131.272,131.689,1383464.0
2019-07-01,133.866,134.71,130.904,132.224,1594025.0
2019-07-02,132.007,133.095,131.553,132.469,947095.0
2019-07-03,133.494,134.492,132.837,134.102,633689.0
2019-07-04,133.494,134.492,132.837,134.102,633689.0
2019-07-05,134.547,136.198,133.839,136.189,724239.0
2019-07-06,134.547,136.198,133.839,136.189,724239.0
2019-07-07,134.547,136.198,133.839,136.189,724239.0
2019-07-08,135.046,136.089,134.347,135.118,841201.0
2019-07-09,133.903,136.534,133.649,136.261,748326.0
2019-07-10,136.524,137.577,134.256,134.556,523808.0
2019-07-11,135.3,136.633,133.884,136.461,573502.0
2019-07-12,136.506,137.286,135.876,137.114,403381.0
2019-07-13,136.506,137.286,135.876,137.114,403381.0
2019-07-14,136.506,137.286,135.876,137.114,403381.0
2019-07-15,137.84,137.84,135.781,136.343,512476.0
2019-07-16,136.697,137.563,136.057,136.887,635748.0
2019-07-17,136.425,136.769,134.329,134.692,653267.0
2019-07-18,134.102,136.661,133.703,136.152,697984.0
2019-07-19,136.769,137.191,134.837,134.864,711266.0
2019-07-20,136.769,137.191,134.837,134.864,711266.0
2019-07-21,136.769,137.191,134.837,134.864,711266.0
2019-07-22,134.991,135.2,132.687,134.111,738418.0
2019-07-23,134.91,135.735,134.656,135.254,594821.0
2019-07-24,134.411,137.831,134.411,137.413,809721.0
2019-07-25,137.196,137.45,131.444,133.331,1549212.0
2019-07-26,133.975,136.379,132.653,136.016,1020327.0
2019-07-27,133.975,136.379,132.653,136.016,1020327.0
2019-07-28,133.975,136.379,132.653,136.016,1020327.0
2019-07-29,135.88,137.241,135.155,135.844,803023.0
2019-07-30,134.501,134.901,133.249,134.746,533619.0
2019-07-31,134.61,134.955,130.7,132.007,795821.0
2019-08-01,131.426,132.084,126.817,127.516,1042292.0
2019-08-02,127.333,127.461,123.442,123.597,1948174.0
2019-08-03,127.333,127.461,123.442,123.597,1948174.0
2019-08-04,127.333,127.461,123.442,123.597,1948174.0
2019-08-05,121.414,122.008,118.235,119.167,1728336.0
2019-08-06,121.094,122.09,118.956,121.743,1313319.0
2019-08-07,119.413,119.916,116.572,119.715,1395516.0
2019-08-08,120.4,123.323,120.29,123.268,1074488.0
2019-08-09,122.428,123.314,120.308,120.418,983230.0
2019-08-10,122.428,123.314,120.308,120.418,983230.0
2019-08-11,122.428,123.314,120.308,120.418,983230.0
2019-08-12,118.116,118.253,114.355,114.626,1621024.0
2019-08-13,114.352,118.491,114.325,117.586,2163347.0
2019-08-14,114.398,115.052,111.639,111.813,1534264.0
2019-08-15,112.836,113.823,111.055,112.133,1351510.0
2019-08-16,113.256,116.015,113.256,115.412,935747.0
2019-08-17,113.256,116.015,113.256,115.412,935747.0
2019-08-18,113.256,116.015,113.256,115.412,935747.0
2019-08-19,117.678,117.988,116.7,116.956,1051372.0
2019-08-20,115.933,116.901,114.005,115.421,698121.0
2019-08-21,116.965,117.55,116.216,116.883,760598.0
2019-08-22,117.833,118.326,116.563,117.458,729913.0
2019-08-23,116.399,117.997,113.11,113.722,1136163.0
2019-08-24,116.399,117.997,113.11,113.722,1136163.0
2019-08-25,116.399,117.997,113.11,113.722,1136163.0
2019-08-26,115.366,115.704,113.996,115.238,1272011.0
2019-08-27,116.207,116.545,113.366,114.407,1356518.0
2019-08-28,113.256,115.385,113.229,114.964,839483.0
2019-08-29,116.481,118.052,116.481,117.321,804995.0
2019-08-30,118.582,118.783,116.727,117.824,668362.0
2019-08-31,118.582,118.783,116.727,117.824,668362.0
2019-09-01,118.582,118.783,116.727,117.824,668362.0
2019-09-02,118.582,118.783,116.727,117.824,668362.0
2019-09-03,116.298,117.604,114.974,116.198,1010981.0
2019-09-04,117.732,118.408,117.102,118.089,948807.0
2019-09-05,119.651,123.204,119.523,121.87,1046642.0
2019-09-06,121.743,123.597,120.902,123.095,1060844.0
2019-09-07,121.743,123.597,120.902,123.095,1060844.0
2019-09-08,121.743,123.597,120.902,123.095,1060844.0
2019-09-09,124.602,126.858,123.908,125.945,1406256.0
2019-09-10,127.114,132.12,127.004,132.12,1937347.0
2019-09-11,132.147,133.134,129.827,132.979,1214306.0
2019-09-12,132.01,134.413,131.462,133.719,969681.0
2019-09-13,135.418,136.398,134.385,134.678,1099555.0
2019-09-14,135.418,136.398,134.385,134.678,1099555.0
2019-09-15,135.418,136.398,134.385,134.678,1099555.0
2019-09-16,133.463,135.372,132.376,134.678,1206230.0
2019-09-17,133.719,134.513,132.147,133.454,845845.0
2019-09-18,132.54,135.098,131.599,134.778,1246807.0
2019-09-19,134.596,136.587,134.121,134.55,1221159.0
2019-09-20,134.797,135.747,132.741,133.171,1561824.0
2019-09-21,134.797,135.747,132.741,133.171,1561824.0
2019-09-22,134.797,135.747,132.741,133.171,1561824.0
2019-09-23,131.398,134.961,130.878,134.55,1393399.0
2019-09-24,135.052,135.518,131.024,132.367,1230592.0
2019-09-25,131.956,133.271,130.695,132.887,825682.0
2019-09-26,132.613,134.212,132.111,133.481,635364.0
2019-09-27,134.924,135.573,134.102,134.778,907031.0
2019-09-28,134.924,135.573,134.102,134.778,907031.0
2019-09-29,134.924,135.573,134.102,134.778,907031.0
2019-09-30,135.728,135.728,133.609,134.376,924067.0
2019-10-01,135.052,135.052,127.808,128.566,1397321.0
2019-10-02,126.813,126.813,123.451,123.634,1072246.0
2019-10-03,122.775,123.716,119.934,123.478,1224684.0
2019-10-04,123.725,124.803,123.177,124.41,1049899.0
2019-10-05,123.725,124.803,123.177,124.41,1049899.0
2019-10-06,123.725,124.803,123.177,124.41,1049899.0
2019-10-07,123.478,124.711,123.04,123.076,727870.0
2019-10-08,120.637,120.93,117.851,118.034,1666295.0
2019-10-09,119.66,121.423,118.783,120.756,741654.0
2019-10-10,121.797,124.013,121.569,122.419,740193.0
2019-10-11,125.762,127.699,125.269,126.31,904664.0
2019-10-12,125.762,127.699,125.269,126.31,904664.0
2019-10-13,125.762,127.699,125.269,126.31,904664.0
2019-10-14,125.324,126.968,124.986,126.813,536767.0
2019-10-15,127.443,129.562,126.52,128.091,848854.0
2019-10-16,127.662,129.042,127.552,127.68,564671.0
2019-10-17,128.777,129.882,128.279,128.338,663157.0
2019-10-18,127.772,130.302,127.772,129.717,721787.0
2019-10-19,127.772,130.302,127.772,129.717,721787.0
2019-10-20,127.772,130.302,127.772,129.717,721787.0
2019-10-21,131.334,132.732,131.143,131.819,568081.0
2019-10-22,131.645,132.444,129.982,130.129,937161.0
2019-10-23,129.708,132.02,129.708,131.06,791601.0
2019-10-24,137.464,139.309,134.495,136.688,1256287.0
2019-10-25,136.669,137.062,134.294,136.523,623964.0
2019-10-26,136.669,137.062,134.294,136.523,623964.0
2019-10-27,136.669,137.062,134.294,136.523,623964.0
2019-10-28,137.829,140.031,137.665,139.592,777672.0
2019-10-29,138.487,141.145,137.026,140.405,639121.0
2019-10-30,139.465,139.533,137.135,138.853,876649.0
2019-10-31,138.314,138.853,134.988,137.839,737033.0
2019-11-01,138.51,140.841,138.335,140.569,757939.0
2019-11-02,138.51,140.841,138.335,140.569,757939.0
2019-11-03,138.51,140.841,138.335,140.569,757939.0
2019-11-04,141.985,142.941,140.937,142.822,650433.0
2019-11-05,143.594,146.053,143.594,145.534,730281.0
2019-11-06,145.12,146.076,144.196,145.148,812268.0
2019-11-07,146.371,147.685,145.001,145.028,1726500.0
2019-11-08,145.074,146.012,143.943,145.764,860144.0
2019-11-09,145.074,146.012,143.943,145.764,860144.0
2019-11-10,145.074,146.012,143.943,145.764,860144.0
2019-11-11,144.054,146.545,144.054,145.617,597596.0
2019-11-12,145.552,147.023,145.341,146.095,1085599.0
2019-11-13,144.081,146.306,143.272,145.626,1360057.0
2019-11-14,145.111,146.954,144.9,146.481,799052.0
2019-11-15,147.612,147.989,146.628,147.262,784968.0
2019-11-16,147.612,147.989,146.628,147.262,784968.0
2019-11-17,147.612,147.989,146.628,147.262,784968.0
2019-11-18,146.417,146.711,144.946,145.506,655723.0
2019-11-19,146.122,146.987,144.858,146.196,791474.0
2019-11-20,145.828,146.467,143.695,145.617,709039.0
2019-11-21,145.984,145.984,143.658,145.313,694185.0
2019-11-22,146.058,147.492,145.451,146.895,695235.0
2019-11-23,146.058,147.492,145.451,146.895,695235.0
2019-11-24,146.058,147.492,145.451,146.895,695235.0
2019-11-25,147.244,149.166,146.288,148.743,764427.0
2019-11-26,148.393,148.545,147.042,148.044,957156.0
2019-11-27,149.037,150.453,148.485,150.223,597531.0
2019-11-28,149.037,150.453,148.485,150.223,597531.0
2019-11-29,150.324,151.685,149.892,150.664,404660.0
2019-11-30,150.324,151.685,149.892,150.664,404660.0
2019-12-01,150.324,151.685,149.892,150.664,404660.0
2019-12-02,151.427,152.42,149.368,149.46,1254736.0
2019-12-03,147.134,147.593,145.443,147.088,898979.0
2019-12-04,147.722,149.589,147.722,148.982,687661.0
2019-12-05,149.772,150.039,148.807,149.662,755203.0
2019-12-06,151.731,152.521,151.225,151.611,795092.0
2019-12-07,151.731,152.521,151.225,151.611,795092.0
2019-12-08,151.731,152.521,151.225,151.611,795092.0
2019-12-09,151.372,152.053,150.839,151.538,763082.0
2019-12-10,150.664,152.089,150.526,151.896,938126.0
2019-12-11,151.703,152.356,150.425,151.253,662955.0
2019-12-12,151.17,155.464,151.004,154.857,773617.0
2019-12-13,154.811,155.569,152.88,153.947,974603.0
2019-12-14,154.811,155.569,152.88,153.947,974603.0
2019-12-15,154.811,155.569,152.88,153.947,974603.0
2019-12-16,155.721,156.061,153.891,153.947,928414.0
2019-12-17,153.754,154.186,152.632,153.855,902320.0
2019-12-18,154.002,154.71,153.404,153.781,894815.0
2019-12-19,154.075,154.489,152.761,153.799,782150.0
2019-12-20,155.114,155.133,154.112,154.544,1779842.0
2019-12-21,155.114,155.133,154.112,154.544,1779842.0
2019-12-22,155.114,155.133,154.112,154.544,1779842.0
2019-12-23,154.701,154.884,153.56,153.799,672557.0
2019-12-24,153.818,154.314,153.468,154.204,226183.0
2019-12-25,153.818,154.314,153.468,154.204,226183.0
2019-12-26,153.983,154.875,153.855,154.167,442966.0
2019-12-27,154.333,154.333,153.156,153.275,566608.0
2019-12-28,154.333,154.333,153.156,153.275,566608.0
2019-12-29,154.333,154.333,153.156,153.275,566608.0
2019-12-30,154.066,154.296,152.549,152.687,417510.0
2019-12-31,152.531,154.048,152.411,153.156,603466.0
2020-01-01,152.531,154.048,152.411,153.156,603466.0
2020-01-02,154.039,155.602,153.257,155.592,775406.0
2020-01-03,154.443,154.655,152.43,153.652,581317.0
2020-01-04,154.443,154.655,152.43,153.652,581317.0
2020-01-05,154.443,154.655,152.43,153.652,581317.0
2020-01-06,152.089,154.278,151.901,154.158,748741.0
2020-01-07,153.073,153.827,152.227,152.301,1009165.0
2020-01-08,152.54,155.105,152.54,153.671,657733.0
2020-01-09,155.473,155.978,154.305,155.261,594405.0
2020-01-10,155.307,156.238,154.002,155.528,749010.0
2020-01-11,155.307,156.238,154.002,155.528,749010.0
2020-01-12,155.307,156.238,154.002,155.528,749010.0
2020-01-13,156.135,157.036,155.289,156.052,692645.0
2020-01-14,156.052,156.585,154.379,154.848,588198.0
2020-01-15,153.965,155.818,153.56,154.728,581862.0
2020-01-16,155.693,158.093,155.693,158.093,748478.0
2020-01-17,158.59,159.748,157.808,158.534,777068.0
2020-01-18,158.59,159.748,157.808,158.534,777068.0
2020-01-19,158.59,159.748,157.808,158.534,777068.0
2020-01-20,158.59,159.748,157.808,158.534,777068.0
2020-01-21,157.45,158.222,156.447,156.53,540328.0
2020-01-22,157.643,158.443,157.22,157.348,526053.0
2020-01-23,156.273,157.652,154.48,157.569,751311.0
2020-01-24,157.587,157.661,153.083,154.066,558929.0
2020-01-25,157.587,157.661,153.083,154.066,558929.0
2020-01-26,157.587,157.661,153.083,154.066,558929.0
2020-01-27,150.379,151.501,148.986,149.313,754502.0
2020-01-28,150.811,152.402,150.297,151.814,619737.0
2020-01-29,152.797,154.342,152.043,152.659,711092.0
2020-01-30,153.763,157.008,152.301,156.769,886951.0
2020-01-31,155.344,155.344,151.446,152.08,932875.0
2020-02-01,155.344,155.344,151.446,152.08,932875.0
2020-02-02,155.344,155.344,151.446,152.08,932875.0
2020-02-03,153.524,156.043,153.042,153.965,864943.0
2020-02-04,157.587,160.39,157.587,159.316,681168.0
2020-02-05,160.897,162.359,159.684,161.872,649827.0
2020-02-06,163.205,163.205,161.054,161.734,521896.0
2020-02-07,160.456,162.102,160.116,161.192,461208.0
2020-02-08,160.456,162.102,160.116,161.192,461208.0
2020-02-09,160.456,162.102,160.116,161.192,461208.0
2020-02-10,160.401,161.701,159.941,161.605,454523.0
2020-02-11,162.414,164.897,162.028,163.315,462473.0
2020-02-12,164.198,165.099,163.683,164.244,409294.0
2020-02-13,163.19,165.122,162.571,164.919,514128.0
2020-02-14,164.66,165.484,164.133,165.307,525122.0
2020-02-15,164.66,165.484,164.133,165.307,525122.0
2020-02-16,164.66,165.484,164.133,165.307,525122.0
2020-02-17,164.66,165.484,164.133,165.307,525122.0
2020-02-18,164.457,165.917,162.469,163.893,994914.0
2020-02-19,165.058,165.862,164.383,165.511,559064.0
2020-02-20,164.789,167.187,164.531,166.139,654863.0
2020-02-21,165.141,165.427,161.471,162.173,595324.0
2020-02-22,165.141,165.427,161.471,162.173,595324.0
2020-02-23,165.141,165.427,161.471,162.173,595324.0
2020-02-24,155.785,156.58,150.951,152.042,846823.0
2020-02-25,152.43,152.846,143.31,144.424,1085821.0
2020-02-26,144.572,148.242,144.212,144.212,1031948.0
2020-02-27,140.126,142.298,135.075,135.134,1487175.0
2020-02-28,128.783,132.041,126.176,130.622,2050441.0
2020-02-29,128.783,132.041,126.176,130.622,2050441.0
2020-03-01,128.783,132.041,126.176,130.622,2050441.0
2020-03-02,131.39,139.488,128.949,139.46,1482611.0
2020-03-03,138.175,138.982,128.903,129.938,1433545.0
2020-03-04,132.573,134.376,128.7,133.544,1243531.0
2020-03-05,127.905,128.875,122.612,124.346,1455991.0
2020-03-06,118.568,121.406,114.412,117.033,1588889.0
2020-03-07,118.568,121.406,114.412,117.033,1588889.0
2020-03-08,118.568,121.406,114.412,117.033,1588889.0
2020-03-09,105.533,109.448,99.499,100.883,1498380.0
2020-03-10,106.171,110.507,102.15,110.266,1738693.0
2020-03-11,106.106,107.29,100.227,102.409,1535612.0
2020-03-12,93.534,96.77,85.066,85.436,1968258.0
2020-03-13,91.685,104.96,90.765,104.775,1810507.0
2020-03-14,91.685,104.96,90.765,104.775,1810507.0
2020-03-15,91.685,104.96,90.765,104.775,1810507.0
2020-03-16,83.92,92.402,79.455,79.816,1888742.0
2020-03-17,82.718,90.567,75.905,90.539,1930512.0
2020-03-18,82.764,86.934,73.964,86.814,1803305.0
2020-03-19,84.881,91.667,80.037,88.219,1601830.0
2020-03-20,89.929,90.594,79.968,83.042,1608746.0
2020-03-21,89.929,90.594,79.968,83.042,1608746.0
2020-03-22,89.929,90.594,79.968,83.042,1608746.0
2020-03-23,81.313,82.469,75.831,76.617,1449741.0
2020-03-24,82.792,93.146,80.416,92.499,1485930.0
2020-03-25,95.115,102.991,90.151,95.771,1375756.0
2020-03-26,97.555,103.426,93.021,102.492,1298054.0
2020-03-27,97.065,100.375,95.106,95.522,1152707.0
2020-03-28,97.065,100.375,95.106,95.522,1152707.0
2020-03-29,97.065,100.375,95.106,95.522,1152707.0
2020-03-30,95.041,101.549,92.469,100.902,992198.0
2020-03-31,100.264,100.856,92.443,94.736,1281352.0
2020-04-01,88.644,91.963,86.12,87.183,1205914.0
2020-04-02,86.481,92.841,85.039,86.943,922510.0
2020-04-03,86.481,87.322,81.859,83.495,937906.0
2020-04-04,86.481,87.322,81.859,83.495,937906.0
2020-04-05,86.481,87.322,81.859,83.495,937906.0
2020-04-06,89.004,96.012,86.749,94.828,1064944.0
2020-04-07,100.92,103.749,94.671,95.66,1302911.0
2020-04-08,96.585,103.98,94.551,103.25,996338.0
2020-04-09,105.053,115.194,105.053,111.366,1608619.0
2020-04-10,105.053,115.194,105.053,111.366,1608619.0
2020-04-11,105.053,115.194,105.053,111.366,1608619.0
2020-04-12,105.053,115.194,105.053,111.366,1608619.0
2020-04-13,108.048,108.935,104.563,106.236,827085.0
2020-04-14,109.425,109.518,103.282,105.663,1049181.0
2020-04-15,100.523,101.392,95.868,96.28,728672.0
2020-04-16,95.771,96.459,92.545,94.006,861521.0
2020-04-17,98.951,103.185,98.748,102.566,1077257.0
2020-04-18,98.951,103.185,98.748,102.566,1077257.0
2020-04-19,98.951,103.185,98.748,102.566,1077257.0
2020-04-20,99.164,102.045,97.629,101.789,1097575.0
2020-04-21,97.99,99.46,94.292,95.633,1239445.0
2020-04-22,98.508,99.419,96.326,96.982,626493.0
2020-04-23,97.611,99.626,95.854,96.465,504966.0
2020-04-24,97.777,100.209,95.901,99.358,730824.0
2020-04-25,97.777,100.209,95.901,99.358,730824.0
2020-04-26,97.777,100.209,95.901,99.358,730824.0
2020-04-27,100.643,104.47,100.102,103.953,771276.0
2020-04-28,108.112,109.342,103.823,104.905,1003984.0
2020-04-29,110.128,110.405,107.271,109.102,933812.0
2020-04-30,106.245,107.77,104.479,106.254,810802.0
2020-05-01,102.834,103.758,100.772,102.852,644446.0
2020-05-02,102.834,103.758,100.772,102.852,644446.0
2020-05-03,102.834,103.758,100.772,102.852,644446.0
