,KRO US Equity,KRO US Equity,KRO US Equity,KRO US Equity,KRO US Equity
2020-03-09,6.6143,6.6143,5.8419,5.8458,336553.0
2020-03-10,6.1175,6.5212,5.7759,6.3426,347327.0
2020-03-11,6.0243,6.3193,5.9777,6.1175,492135.0
2020-03-12,5.8768,5.9777,5.2829,5.543,1225787.0
2020-03-13,5.8613,6.0132,5.3987,5.9777,607417.0
2020-03-14,5.8613,6.0132,5.3987,5.9777,607417.0
2020-03-15,5.8613,6.0132,5.3987,5.9777,607417.0
2020-03-16,5.2946,6.5212,5.2946,5.8613,650562.0
2020-03-17,6.0942,6.9675,5.7836,6.8627,585870.0
2020-03-18,6.3892,7.2664,6.3892,6.9559,530394.0
2020-03-19,6.9559,7.4372,6.4202,6.7541,409808.0
2020-03-20,6.8162,7.0025,6.0709,6.3659,372376.0
2020-03-21,6.8162,7.0025,6.0709,6.3659,372376.0
2020-03-22,6.8162,7.0025,6.0709,6.3659,372376.0
2020-03-23,6.2883,6.5056,5.7526,5.9855,314315.0
2020-03-24,6.3271,6.591,6.0631,6.3892,994384.0
2020-03-25,6.296,7.0995,6.164,6.6919,1401115.0
2020-03-26,6.7851,7.2509,6.5988,6.9404,1226955.0
2020-03-27,6.7075,7.0491,6.2339,6.3892,1297548.0
2020-03-28,6.7075,7.0491,6.2339,6.3892,1297548.0
2020-03-29,6.7075,7.0491,6.2339,6.3892,1297548.0
2020-03-30,6.4979,6.9093,6.164,6.6687,626538.0
2020-03-31,6.7075,6.8692,6.3426,6.5522,767714.0
2020-04-01,6.2184,6.6221,6.0864,6.5367,299642.0
2020-04-02,6.5522,6.7851,6.2766,6.3659,316296.0
2020-04-03,6.3038,6.4823,6.0321,6.0709,398756.0
2020-04-04,6.3038,6.4823,6.0321,6.0709,398756.0
2020-04-05,6.3038,6.4823,6.0321,6.0709,398756.0
2020-04-06,6.2883,6.5988,6.2417,6.3814,249549.0
2020-04-07,6.5755,6.6687,6.3271,6.4591,747688.0
2020-04-08,6.4668,6.987,6.4202,6.9248,309512.0
2020-04-09,7.0491,7.476,6.9326,7.3596,425629.0
2020-04-10,7.0491,7.476,6.9326,7.3596,425629.0
2020-04-11,7.0491,7.476,6.9326,7.3596,425629.0
2020-04-12,7.0491,7.476,6.9326,7.3596,425629.0
2020-04-13,7.282,7.3441,6.9248,7.15,189140.0
2020-04-14,7.3751,7.4993,7.0723,7.15,334429.0
2020-04-15,6.855,7.0879,6.5833,6.6221,258047.0
2020-04-16,6.591,6.7773,6.1485,6.3969,517505.0
2020-04-17,6.5988,7.1034,6.5988,7.0413,403474.0
2020-04-18,6.5988,7.1034,6.5988,7.0413,403474.0
2020-04-19,6.5988,7.1034,6.5988,7.0413,403474.0
2020-04-20,6.8627,7.0956,6.7385,6.9016,249432.0
2020-04-21,6.6842,6.8783,6.5444,6.8395,379868.0
2020-04-22,7.0491,7.1112,6.8084,6.9171,155712.0
2020-04-23,7.0646,7.313,7.0646,7.15,196569.0
2020-04-24,7.2354,7.3363,7.0102,7.1577,225394.0
2020-04-25,7.2354,7.3363,7.0102,7.1577,225394.0
2020-04-26,7.2354,7.3363,7.0102,7.1577,225394.0
2020-04-27,7.1733,7.3635,7.091,7.2043,207205.0
2020-04-28,7.3674,7.5537,7.2975,7.3984,218133.0
2020-04-29,7.608,8.0078,7.608,7.8099,356972.0
2020-04-30,7.577,7.5925,7.3441,7.3674,199826.0
2020-05-01,7.1422,7.2121,7.0363,7.15,173581.0
2020-05-02,7.1422,7.2121,7.0363,7.15,173581.0
2020-05-03,7.1422,7.2121,7.0363,7.15,173581.0
2020-05-04,6.9947,7.0491,6.8084,6.9559,359023.0
2020-05-05,7.1034,7.3363,7.0258,7.1189,380710.0
2020-05-06,7.2509,7.4217,7.0568,7.1345,371059.0
2020-05-07,7.3906,7.6468,6.6221,6.723,488675.0
2020-05-08,6.9016,7.4295,6.8239,7.3285,359070.0
2020-05-09,6.9016,7.4295,6.8239,7.3285,359070.0
2020-05-10,6.9016,7.4295,6.8239,7.3285,359070.0
2020-05-11,7.3518,7.3906,7.0219,7.2897,398976.0
2020-05-12,7.313,7.4062,7.1966,7.1966,276243.0
2020-05-13,7.181,7.3208,6.6919,6.855,233774.0
2020-05-14,6.6376,6.8317,6.3932,6.6609,257242.0
2020-05-15,6.6143,6.7308,6.3504,6.3892,182929.0
2020-05-16,6.6143,6.7308,6.3504,6.3892,182929.0
2020-05-17,6.6143,6.7308,6.3504,6.3892,182929.0
2020-05-18,6.6376,7.018,6.6376,6.8006,666923.0
2020-05-19,6.8006,6.9093,6.6066,6.6764,219191.0
2020-05-20,6.8084,7.0568,6.8084,6.9714,228524.0
2020-05-21,6.9248,7.0491,6.8162,6.8783,257483.0
2020-05-22,6.9248,7.0025,6.7385,6.8705,93679.0
2020-05-23,6.9248,7.0025,6.7385,6.8705,93679.0
2020-05-24,6.9248,7.0025,6.7385,6.8705,93679.0
2020-05-25,6.9248,7.0025,6.7385,6.8705,93679.0
2020-05-26,7.1655,7.2975,7.0258,7.2121,148101.0
2020-05-27,7.3441,7.7322,7.313,7.7167,274156.0
2020-05-28,7.7788,7.8914,7.6003,7.771,316914.0
2020-05-29,7.7167,7.8487,7.4333,7.577,240774.0
2020-05-30,7.7167,7.8487,7.4333,7.577,240774.0
2020-05-31,7.7167,7.8487,7.4333,7.577,240774.0
2020-06-01,7.5304,7.7245,7.4993,7.6546,248088.0
2020-06-02,7.7478,7.8953,7.74,7.8021,157882.0
2020-06-03,7.903,8.066,7.8021,7.9496,218420.0
2020-06-04,7.8176,8.2446,7.8176,8.2213,207985.0
2020-06-05,8.5318,8.8346,8.4232,8.5784,390043.0
2020-06-06,8.5318,8.8346,8.4232,8.5784,390043.0
2020-06-07,8.5318,8.8346,8.4232,8.5784,390043.0
2020-06-08,8.5942,8.7678,8.4443,8.7521,313957.0
2020-06-09,8.6179,8.6258,8.3811,8.4837,195750.0
2020-06-10,8.4443,8.5311,8.1444,8.2075,200152.0
2020-06-11,7.7892,7.9155,7.4183,7.4341,229506.0
2020-06-12,7.7656,7.8248,7.4736,7.6235,614941.0
2020-06-13,7.7656,7.8248,7.4736,7.6235,614941.0
2020-06-14,7.7656,7.8248,7.4736,7.6235,614941.0
2020-06-15,7.3552,8.2391,7.3,8.026,351329.0
2020-06-16,8.4206,8.5065,8.0023,8.2233,513011.0
2020-06-17,8.1996,8.2592,7.8603,7.9234,173753.0
2020-06-18,7.8366,8.0812,7.7261,7.7656,305533.0
2020-06-19,7.8918,7.9431,7.6314,7.7182,248897.0
2020-06-20,7.8918,7.9431,7.6314,7.7182,248897.0
2020-06-21,7.8918,7.9431,7.6314,7.7182,248897.0
2020-06-22,7.6551,7.7695,7.513,7.7419,135414.0
2020-06-23,7.8682,7.9076,7.5525,7.5525,356397.0
2020-06-24,7.5051,7.5209,7.3552,7.4104,138523.0
2020-06-25,7.3868,7.5762,7.2526,7.5604,327961.0
2020-06-26,7.4972,7.5919,7.2526,7.5762,719482.0
2020-06-27,7.4972,7.5919,7.2526,7.5762,719482.0
2020-06-28,7.4972,7.5919,7.2526,7.5762,719482.0
2020-06-29,7.6393,8.4443,7.6235,8.0418,1074540.0
2020-06-30,7.9392,8.4758,7.9392,8.2154,1089469.0
2020-07-01,8.2233,8.3811,7.6945,7.7577,207873.0
2020-07-02,7.9865,8.1932,7.9076,8.0339,208299.0
2020-07-03,7.9865,8.1932,7.9076,8.0339,208299.0
2020-07-04,7.9865,8.1932,7.9076,8.0339,208299.0
2020-07-05,7.9865,8.1932,7.9076,8.0339,208299.0
2020-07-06,8.1996,8.2628,7.9944,8.1444,255151.0
2020-07-07,8.0576,8.1207,7.9392,7.9865,198883.0
2020-07-08,8.026,8.0655,7.8208,7.8839,238103.0
2020-07-09,7.8918,7.8918,7.4894,7.7577,280575.0
2020-07-10,7.7656,8.0891,7.7656,8.0418,267585.0
2020-07-11,7.7656,8.0891,7.7656,8.0418,267585.0
2020-07-12,7.7656,8.0891,7.7656,8.0418,267585.0
2020-07-13,8.1602,8.2943,8.1049,8.1996,212757.0
2020-07-14,8.2391,8.3654,8.1207,8.3496,287479.0
2020-07-15,8.5863,8.7757,8.5863,8.7521,321999.0
2020-07-16,8.7284,8.8389,8.5705,8.7521,165524.0
2020-07-17,8.8152,8.8862,8.5942,8.681,180915.0
2020-07-18,8.8152,8.8862,8.5942,8.681,180915.0
2020-07-19,8.8152,8.8862,8.5942,8.681,180915.0
2020-07-20,8.6731,8.7442,8.389,8.3969,272752.0
2020-07-21,8.4995,8.7363,8.4208,8.6021,251746.0
2020-07-22,8.5311,8.5942,8.3969,8.5626,196670.0
2020-07-23,8.4995,8.6968,8.4837,8.5705,157831.0
2020-07-24,8.61,8.681,8.4679,8.5153,92932.0
2020-07-25,8.61,8.681,8.4679,8.5153,92932.0
2020-07-26,8.61,8.681,8.4679,8.5153,92932.0
2020-07-27,8.5232,9.0519,8.4758,8.9967,241287.0
2020-07-28,8.9572,8.9888,8.7678,8.7757,181913.0
2020-07-29,8.8625,9.0835,8.8389,9.0756,200909.0
2020-07-30,8.9099,8.9967,8.7678,8.8468,222988.0
2020-07-31,8.8231,8.8941,8.7599,8.8704,200821.0
2020-08-01,8.8231,8.8941,8.7599,8.8704,200821.0
2020-08-02,8.8231,8.8941,8.7599,8.8704,200821.0
2020-08-03,8.9415,9.0283,8.8546,8.9415,197579.0
2020-08-04,8.8941,9.0047,8.8152,8.9415,117137.0
2020-08-05,9.0756,9.3518,9.0756,9.3203,232387.0
2020-08-06,9.6754,9.7859,9.2335,9.4229,198347.0
2020-08-07,9.3518,9.4544,9.2492,9.3992,182763.0
2020-08-08,9.3518,9.4544,9.2492,9.3992,182763.0
2020-08-09,9.3518,9.4544,9.2492,9.3992,182763.0
2020-08-10,9.5097,9.9832,9.5097,9.9043,203403.0
2020-08-11,10.0779,10.3462,9.9713,9.9911,258119.0
2020-08-12,10.0779,10.1844,10.0069,10.1726,111310.0
2020-08-13,10.1252,10.1647,10.0542,10.0937,141888.0
2020-08-14,10.0384,10.2515,10.0226,10.1647,145124.0
2020-08-15,10.0384,10.2515,10.0226,10.1647,145124.0
2020-08-16,10.0384,10.2515,10.0226,10.1647,145124.0
2020-08-17,10.2752,10.4567,10.2515,10.2752,184408.0
2020-08-18,10.2594,10.2831,9.9437,9.9753,148544.0
2020-08-19,9.9753,10.1016,9.9122,9.9437,109085.0
2020-08-20,9.8096,9.9516,9.7701,9.9043,300595.0
2020-08-21,9.7859,9.8648,9.6123,9.6754,136603.0
2020-08-22,9.7859,9.8648,9.6123,9.6754,136603.0
2020-08-23,9.7859,9.8648,9.6123,9.6754,136603.0
2020-08-24,9.8017,10.2041,9.5807,10.1963,256341.0
2020-08-25,10.291,10.579,10.2041,10.3778,302730.0
2020-08-26,10.4409,10.6461,10.3541,10.5277,198553.0
2020-08-27,10.5119,10.5356,10.145,10.2515,183886.0
2020-08-28,10.3778,10.4093,10.1331,10.3857,173563.0
2020-08-29,10.3778,10.4093,10.1331,10.3857,173563.0
2020-08-30,10.3778,10.4093,10.1331,10.3857,173563.0
2020-08-31,10.4337,10.4337,9.9856,9.9936,178216.0
2020-09-01,9.9696,10.3937,9.8768,10.3697,586874.0
2020-09-02,10.3297,10.3697,9.9856,10.2096,205260.0
2020-09-03,10.1856,10.1936,9.6495,9.8336,227464.0
2020-09-04,10.0496,10.3337,10.0096,10.1456,342422.0
2020-09-05,10.0496,10.3337,10.0096,10.1456,342422.0
2020-09-06,10.0496,10.3337,10.0096,10.1456,342422.0
2020-09-07,10.0496,10.3337,10.0096,10.1456,342422.0
2020-09-08,10.0096,10.0691,9.9456,9.9696,241316.0
2020-09-09,10.0736,10.2376,9.9656,10.2256,217719.0
2020-09-10,10.2176,10.3057,10.0576,10.0896,189759.0
2020-09-11,10.1456,10.3057,10.0936,10.2336,137769.0
2020-09-12,10.1456,10.3057,10.0936,10.2336,137769.0
2020-09-13,10.1456,10.3057,10.0936,10.2336,137769.0
2020-09-14,10.3137,10.6257,10.2936,10.5937,265610.0
2020-09-15,10.6257,10.6737,10.4737,10.4977,145044.0
2020-09-16,10.5777,10.7777,10.4497,10.4817,133072.0
2020-09-17,10.4977,10.7777,10.3057,10.7377,147340.0
2020-09-18,10.7937,11.0658,10.4257,10.5297,385406.0
2020-09-19,10.7937,11.0658,10.4257,10.5297,385406.0
2020-09-20,10.7937,11.0658,10.4257,10.5297,385406.0
2020-09-21,10.2656,10.3617,9.9976,10.1776,320587.0
2020-09-22,10.1776,10.2736,10.0576,10.0896,164366.0
2020-09-23,10.0496,10.1656,9.8096,9.8176,236054.0
2020-09-24,9.8016,10.1056,9.7616,9.9936,206921.0
2020-09-25,9.8576,10.0816,9.8416,9.9056,183948.0
2020-09-26,9.8576,10.0816,9.8416,9.9056,183948.0
2020-09-27,9.8576,10.0816,9.8416,9.9056,183948.0
2020-09-28,10.0336,10.2816,10.0336,10.1616,166842.0
2020-09-29,10.1296,10.3057,10.0163,10.2576,326953.0
2020-09-30,10.2096,10.4737,10.1536,10.2896,458324.0
2020-10-01,10.3377,10.4337,10.0896,10.2096,132172.0
2020-10-02,10.0736,10.4737,9.9456,10.4497,102240.0
2020-10-03,10.0736,10.4737,9.9456,10.4497,102240.0
2020-10-04,10.0736,10.4737,9.9456,10.4497,102240.0
2020-10-05,10.5777,10.8297,10.4777,10.5777,144133.0
2020-10-06,10.7377,10.8817,10.5777,10.5937,139265.0
2020-10-07,10.7857,11.0858,10.7457,10.8897,156672.0
2020-10-08,11.0578,11.1578,10.9458,11.0338,140856.0
2020-10-09,11.1698,11.1938,10.9618,10.9698,174276.0
2020-10-10,11.1698,11.1938,10.9618,10.9698,174276.0
2020-10-11,11.1698,11.1938,10.9618,10.9698,174276.0
2020-10-12,10.9618,11.2738,10.9618,11.2258,104297.0
2020-10-13,11.2018,11.2018,10.9298,10.9698,95656.0
2020-10-14,10.9618,11.2538,10.8977,11.1938,88450.0
2020-10-15,11.0178,11.1778,10.9858,11.1458,76380.0
2020-10-16,11.1058,11.4258,11.1058,11.3298,160432.0
2020-10-17,11.1058,11.4258,11.1058,11.3298,160432.0
2020-10-18,11.1058,11.4258,11.1058,11.3298,160432.0
2020-10-19,11.3538,11.6978,11.2978,11.4018,180212.0
2020-10-20,11.4818,11.6259,11.2418,11.2978,110459.0
2020-10-21,11.2738,11.3138,10.9538,10.9618,123177.0
2020-10-22,11.0098,11.1378,10.8497,11.0978,116517.0
2020-10-23,11.1538,11.2258,11.0098,11.1538,106796.0
2020-10-24,11.1538,11.2258,11.0098,11.1538,106796.0
2020-10-25,11.1538,11.2258,11.0098,11.1538,106796.0
2020-10-26,11.0418,11.0418,10.6737,10.8657,128457.0
2020-10-27,10.8497,10.8577,10.5617,10.6097,105338.0
2020-10-28,10.3777,10.6057,10.2416,10.3297,143425.0
2020-10-29,10.2576,10.7697,10.0896,10.7377,162253.0
2020-10-30,10.6577,10.8337,10.5217,10.6577,119517.0
2020-10-31,10.6577,10.8337,10.5217,10.6577,119517.0
2020-11-01,10.6577,10.8337,10.5217,10.6577,119517.0
2020-11-02,10.7857,10.9698,10.6657,10.8977,125730.0
2020-11-03,11.0978,11.189,10.9698,11.1298,140575.0
2020-11-04,11.0898,11.0898,10.5777,10.8177,139125.0
2020-11-05,10.9057,11.2338,10.7057,11.0818,189862.0
2020-11-06,11.1298,11.2658,10.9538,11.1618,135929.0
2020-11-07,11.1298,11.2658,10.9538,11.1618,135929.0
2020-11-08,11.1298,11.2658,10.9538,11.1618,135929.0
2020-11-09,11.4018,11.8019,11.2338,11.2498,277567.0
2020-11-10,11.4098,11.7379,11.2738,11.6179,260022.0
2020-11-11,11.5939,11.6179,10.9858,11.1138,162961.0
2020-11-12,11.0418,11.1218,10.7617,10.8817,230855.0
2020-11-13,10.9538,11.2064,10.9378,11.0578,100274.0
2020-11-14,10.9538,11.2064,10.9378,11.0578,100274.0
2020-11-15,10.9538,11.2064,10.9378,11.0578,100274.0
2020-11-16,11.3058,11.493,11.1458,11.3378,147554.0
2020-11-17,11.1858,11.2338,10.8897,11.1538,165073.0
2020-11-18,11.2178,11.4258,11.0738,11.1138,162040.0
2020-11-19,10.9938,11.1458,10.8577,11.1378,213157.0
2020-11-20,11.0738,11.1218,10.9057,10.9538,132527.0
2020-11-21,11.0738,11.1218,10.9057,10.9538,132527.0
2020-11-22,11.0738,11.1218,10.9057,10.9538,132527.0
2020-11-23,11.1058,11.3458,10.9826,11.2338,122841.0
2020-11-24,11.3698,11.6179,11.285,11.5619,169048.0
2020-11-25,11.5779,11.5779,11.2418,11.2818,106348.0
2020-11-26,11.5779,11.5779,11.2418,11.2818,106348.0
2020-11-27,11.3378,11.4498,11.1698,11.3378,112027.0
2020-11-28,11.3378,11.4498,11.1698,11.3378,112027.0
2020-11-29,11.3378,11.4498,11.1698,11.3378,112027.0
2020-11-30,11.2244,11.2649,10.9164,11.1433,206033.0
2020-12-01,11.3378,11.5972,11.1514,11.2973,151791.0
2020-12-02,11.2081,11.5776,11.2,11.5242,520864.0
2020-12-03,11.5323,11.7268,11.3621,11.7187,615476.0
2020-12-04,11.7835,12.3671,11.7795,12.1807,413422.0
2020-12-05,11.7835,12.3671,11.7795,12.1807,413422.0
2020-12-06,11.7835,12.3671,11.7795,12.1807,413422.0
2020-12-07,12.1807,12.2009,11.9456,12.0996,434850.0
2020-12-08,12.0996,12.2779,12.0348,12.1969,212924.0
2020-12-09,12.2698,12.2698,11.8403,11.9781,300133.0
2020-12-10,11.9781,11.9781,11.7511,11.897,163124.0
2020-12-11,11.7592,11.8727,11.589,11.6134,201867.0
2020-12-12,11.7592,11.8727,11.589,11.6134,201867.0
2020-12-13,11.7592,11.8727,11.589,11.6134,201867.0
2020-12-14,11.7673,12.0834,11.5728,11.589,331281.0
2020-12-15,11.5809,11.816,11.4351,11.7673,160900.0
2020-12-16,11.8079,11.9294,11.7268,11.8322,97136.0
2020-12-17,11.8484,12.3184,11.8119,12.3103,336279.0
2020-12-18,12.3508,12.4724,12.1888,12.3671,593076.0
2020-12-19,12.3508,12.4724,12.1888,12.3671,593076.0
2020-12-20,12.3508,12.4724,12.1888,12.3671,593076.0
2020-12-21,12.0834,12.3103,11.9537,12.3022,165490.0
2020-12-22,12.3103,12.3589,12.1726,12.1888,147966.0
2020-12-23,12.3265,12.3427,12.1726,12.1969,137223.0
2020-12-24,12.1726,12.286,12.0834,12.1888,81416.0
2020-12-25,12.1726,12.286,12.0834,12.1888,81416.0
2020-12-26,12.1726,12.286,12.0834,12.1888,81416.0
2020-12-27,12.1726,12.286,12.0834,12.1888,81416.0
2020-12-28,12.3508,12.4643,12.0996,12.205,397926.0
2020-12-29,12.2131,12.3508,11.8322,11.9862,210215.0
2020-12-30,12.0348,12.2779,11.987,12.1888,91468.0
2020-12-31,12.132,12.1969,12.0429,12.0834,137957.0
2021-01-01,12.132,12.1969,12.0429,12.0834,137957.0
2021-01-02,12.132,12.1969,12.0429,12.0834,137957.0
2021-01-03,12.132,12.1969,12.0429,12.0834,137957.0
2021-01-04,12.2131,12.4319,11.8646,11.9618,151906.0
2021-01-05,11.9699,12.4805,11.9699,12.3427,153451.0
2021-01-06,12.521,13.1775,12.4481,13.0316,194909.0
2021-01-07,13.1451,13.2423,12.748,12.8209,163417.0
2021-01-08,12.8371,12.8695,12.2374,12.4886,182984.0
2021-01-09,12.8371,12.8695,12.2374,12.4886,182984.0
2021-01-10,12.8371,12.8695,12.2374,12.4886,182984.0
2021-01-11,12.44,12.7236,12.44,12.6831,91075.0
2021-01-12,12.7317,13.0316,12.6912,12.9262,119626.0
2021-01-13,12.9506,12.9749,12.4076,12.4724,128008.0
2021-01-14,12.5859,12.693,12.3103,12.3427,93378.0
2021-01-15,12.1726,12.3589,11.9962,12.1726,137750.0
2021-01-16,12.1726,12.3589,11.9962,12.1726,137750.0
2021-01-17,12.1726,12.3589,11.9962,12.1726,137750.0
2021-01-18,12.1726,12.3589,11.9962,12.1726,137750.0
2021-01-19,12.3589,12.4319,12.1833,12.3671,115863.0
2021-01-20,12.4805,12.6831,12.3833,12.4481,95657.0
2021-01-21,12.5291,12.5453,12.2455,12.2698,92788.0
2021-01-22,12.1563,12.4805,12.0591,12.4562,100660.0
2021-01-23,12.1563,12.4805,12.0591,12.4562,100660.0
2021-01-24,12.1563,12.4805,12.0591,12.4562,100660.0
2021-01-25,12.4157,12.4886,11.9213,12.1969,116396.0
2021-01-26,12.286,12.3184,12.0267,12.1158,87737.0
2021-01-27,11.8484,12.0753,11.4918,11.816,176450.0
2021-01-28,11.7917,12.0429,11.7349,11.9781,147292.0
2021-01-29,11.9537,12.0915,11.4756,11.4756,164569.0
2021-01-30,11.9537,12.0915,11.4756,11.4756,164569.0
2021-01-31,11.9537,12.0915,11.4756,11.4756,164569.0
2021-02-01,11.508,11.8889,11.4999,11.7835,90638.0
2021-02-02,11.8241,11.8605,11.5809,11.7592,117333.0
2021-02-03,11.7268,11.8484,11.6944,11.8322,94143.0
2021-02-04,11.7511,11.9213,11.6458,11.9051,98116.0
2021-02-05,12.0348,12.1401,11.8918,12.132,129040.0
2021-02-06,12.0348,12.1401,11.8918,12.132,129040.0
2021-02-07,12.0348,12.1401,11.8918,12.132,129040.0
2021-02-08,12.205,12.3022,12.0267,12.0915,163630.0
2021-02-09,12.0267,12.2212,11.9461,12.0915,195248.0
2021-02-10,12.2212,12.2941,12.0682,12.1158,134139.0
2021-02-11,12.132,12.286,12.051,12.1239,143998.0
2021-02-12,12.1401,12.1726,11.9456,11.9781,94877.0
2021-02-13,12.1401,12.1726,11.9456,11.9781,94877.0
2021-02-14,12.1401,12.1726,11.9456,11.9781,94877.0
2021-02-15,12.1401,12.1726,11.9456,11.9781,94877.0
2021-02-16,11.9537,12.0834,11.7511,11.9294,190326.0
2021-02-17,11.7754,11.9132,11.4918,11.5323,150820.0
2021-02-18,11.508,11.5404,11.3216,11.3297,195084.0
2021-02-19,11.3297,11.7917,11.3054,11.7268,113754.0
2021-02-20,11.3297,11.7917,11.3054,11.7268,113754.0
2021-02-21,11.3297,11.7917,11.3054,11.7268,113754.0
2021-02-22,11.6782,11.9862,11.6782,11.8484,165766.0
2021-02-23,11.7673,11.9699,11.6539,11.7835,161194.0
2021-02-24,11.8241,12.1401,11.7998,12.1158,172777.0
2021-02-25,12.0753,12.2374,11.8565,11.8565,152996.0
2021-02-26,11.8079,12.0672,11.6782,11.7106,128812.0
2021-02-27,11.8079,12.0672,11.6782,11.7106,128812.0
2021-02-28,11.8079,12.0672,11.6782,11.7106,128812.0
2021-03-01,11.8808,12.1726,11.7917,12.0996,220294.0
2021-03-02,12.0915,12.1888,11.6782,12.1077,291474.0
2021-03-03,12.1563,12.1969,11.8484,12.0591,249511.0
2021-03-04,12.0834,12.0834,11.691,11.8889,252589.0
2021-03-05,12.0024,12.5697,11.9699,12.5535,228995.0
2021-03-06,12.0024,12.5697,11.9699,12.5535,228995.0
2021-03-07,12.0024,12.5697,11.9699,12.5535,228995.0
2021-03-08,12.5042,12.537,12.1189,12.4059,299744.0
2021-03-09,12.6108,12.6108,12.2091,12.2993,304221.0
2021-03-10,12.4223,12.865,12.3567,12.8076,233239.0
2021-03-11,13.1192,13.2668,12.2993,12.4305,192352.0
2021-03-12,12.4469,12.5042,12.1763,12.3731,162695.0
