,CB US Equity,CB US Equity,CB US Equity,CB US Equity,CB US Equity
2019-03-12,121.171,121.958,121.044,121.406,1128081.0
2019-03-13,121.633,122.42,121.225,121.786,1501214.0
2019-03-14,122.167,123.081,121.669,122.583,1408079.0
2019-03-15,122.257,123.959,122.257,123.443,2307679.0
2019-03-16,122.257,123.959,122.257,123.443,2307679.0
2019-03-17,122.257,123.959,122.257,123.443,2307679.0
2019-03-18,123.751,124.828,123.47,124.376,1679417.0
2019-03-19,123.95,124.969,122.819,122.855,1679878.0
2019-03-20,123.099,123.66,121.94,121.967,1451017.0
2019-03-21,121.476,124.18,121.385,123.952,1154937.0
2019-03-22,123.206,125.67,122.887,124.362,1558524.0
2019-03-23,123.206,125.67,122.887,124.362,1558524.0
2019-03-24,123.206,125.67,122.887,124.362,1558524.0
2019-03-25,124.535,124.962,123.879,124.407,1159861.0
2019-03-26,124.871,125.39,124.425,125.008,1369944.0
2019-03-27,125.245,127.284,125.122,126.382,1818559.0
2019-03-28,126.437,127.024,125.427,126.601,1325866.0
2019-03-29,127.074,127.602,126.683,127.511,2007514.0
2019-03-30,127.074,127.602,126.683,127.511,2007514.0
2019-03-31,127.074,127.602,126.683,127.511,2007514.0
2019-04-01,127.994,128.886,127.748,128.767,1445734.0
2019-04-02,128.767,128.858,127.183,127.356,1372145.0
2019-04-03,127.247,127.429,124.871,125.472,1936981.0
2019-04-04,125.254,125.272,123.961,124.498,2271712.0
2019-04-05,124.707,125.438,124.377,125.245,1391165.0
2019-04-06,124.707,125.438,124.377,125.245,1391165.0
2019-04-07,124.707,125.438,124.377,125.245,1391165.0
2019-04-08,124.999,125.163,124.227,124.853,1065866.0
2019-04-09,124.252,124.316,123.542,124.316,1099204.0
2019-04-10,124.343,125.213,124.198,125.081,1003400.0
2019-04-11,125.354,125.964,125.072,125.609,1110971.0
2019-04-12,126.055,126.901,125.509,126.683,1543994.0
2019-04-13,126.055,126.901,125.509,126.683,1543994.0
2019-04-14,126.055,126.901,125.509,126.683,1543994.0
2019-04-15,126.601,126.915,126.209,126.492,1155805.0
2019-04-16,126.901,127.693,126.865,127.629,1172421.0
2019-04-17,126.209,127.074,125.026,125.427,1417083.0
2019-04-18,125.436,127.857,125.436,126.219,1302187.0
2019-04-19,125.436,127.857,125.436,126.219,1302187.0
2019-04-20,125.436,127.857,125.436,126.219,1302187.0
2019-04-21,125.436,127.857,125.436,126.219,1302187.0
2019-04-22,125.636,125.745,124.849,125.654,854981.0
2019-04-23,125.854,126.546,125.499,126.164,993210.0
2019-04-24,126.528,128.722,126.027,127.939,1882658.0
2019-04-25,127.429,129.263,126.783,128.995,1314850.0
2019-04-26,129.15,130.224,128.991,130.151,1207765.0
2019-04-27,129.15,130.224,128.991,130.151,1207765.0
2019-04-28,129.15,130.224,128.991,130.151,1207765.0
2019-04-29,130.142,131.443,129.841,130.743,1162831.0
2019-04-30,131.134,132.208,130.351,132.172,2025899.0
2019-05-01,129.596,132.54,129.259,131.289,1930768.0
2019-05-02,131.525,132.299,130.451,131.38,1327690.0
2019-05-03,131.78,132.681,131.05,132.035,1196931.0
2019-05-04,131.78,132.681,131.05,132.035,1196931.0
2019-05-05,131.78,132.681,131.05,132.035,1196931.0
2019-05-06,130.861,132.299,130.629,131.835,936508.0
2019-05-07,132.681,132.681,129.441,129.978,1524599.0
2019-05-08,130.033,130.988,129.414,129.969,1041229.0
2019-05-09,129.031,130.424,128.722,129.851,1112499.0
2019-05-10,129.341,131.953,129.077,131.744,1161995.0
2019-05-11,129.341,131.953,129.077,131.744,1161995.0
2019-05-12,129.341,131.953,129.077,131.744,1161995.0
2019-05-13,130.206,131.407,129.614,130.488,1314681.0
2019-05-14,130.278,132.354,130.278,130.97,1213114.0
2019-05-15,130.014,131.735,130.014,130.779,967865.0
2019-05-16,131.025,132.945,130.451,132.554,957390.0
2019-05-17,131.535,133.073,131.462,131.981,1440756.0
2019-05-18,131.535,133.073,131.462,131.981,1440756.0
2019-05-19,131.535,133.073,131.462,131.981,1440756.0
2019-05-20,131.981,133.182,131.544,132.672,1306411.0
2019-05-21,132.782,133.492,132.691,133.091,1249040.0
2019-05-22,133.091,135.075,132.672,134.739,1155603.0
2019-05-23,133.847,134.165,132.718,133.874,1305713.0
2019-05-24,134.238,135.066,133.655,134.875,939465.0
2019-05-25,134.238,135.066,133.655,134.875,939465.0
2019-05-26,134.238,135.066,133.655,134.875,939465.0
2019-05-27,134.238,135.066,133.655,134.875,939465.0
2019-05-28,134.848,135.358,133.282,133.319,1106135.0
2019-05-29,132.572,132.955,131.494,132.864,1414358.0
2019-05-30,133.355,133.765,131.798,132.7,1187058.0
2019-05-31,132.09,133.141,131.771,132.964,1265716.0
2019-06-01,132.09,133.141,131.771,132.964,1265716.0
2019-06-02,132.09,133.141,131.771,132.964,1265716.0
2019-06-03,131.962,134.661,131.962,134.548,1393140.0
2019-06-04,135.239,135.526,133.965,134.129,2150957.0
2019-06-05,134.174,136.209,133.938,136.013,1459250.0
2019-06-06,136.432,136.496,135.112,135.321,1459391.0
2019-06-07,135.385,136.832,135.13,136.031,1795924.0
2019-06-08,135.385,136.832,135.13,136.031,1795924.0
2019-06-09,135.385,136.832,135.13,136.031,1795924.0
2019-06-10,136.541,136.623,135.23,135.622,1397167.0
2019-06-11,136.022,136.213,135.03,135.276,1028728.0
2019-06-12,135.576,136.341,135.194,135.421,1157956.0
2019-06-13,135.585,135.622,134.648,135.485,1190682.0
2019-06-14,135.785,137.023,135.218,136.778,1161255.0
2019-06-15,135.785,137.023,135.218,136.778,1161255.0
2019-06-16,135.785,137.023,135.218,136.778,1161255.0
2019-06-17,137.233,138.362,134.857,135.075,1198066.0
2019-06-18,135.285,136.104,134.629,134.83,1608348.0
2019-06-19,135.185,136.25,134.994,136.04,1768523.0
2019-06-20,134.988,136.845,134.988,136.644,1835963.0
2019-06-21,135.4,137.65,135.4,136.9,2185420.0
2019-06-22,135.4,137.65,135.4,136.9,2185420.0
2019-06-23,135.4,137.65,135.4,136.9,2185420.0
2019-06-24,135.876,138.273,135.876,137.303,1371705.0
2019-06-25,137.687,138.456,137.184,138.09,1637279.0
2019-06-26,138.044,138.044,134.43,134.485,1453733.0
2019-06-27,134.467,135.039,134.0,134.631,1521110.0
2019-06-28,135.272,135.336,134.334,134.75,2769667.0
2019-06-29,135.272,135.336,134.334,134.75,2769667.0
2019-06-30,135.272,135.336,134.334,134.75,2769667.0
2019-07-01,135.775,135.839,134.558,135.254,2119970.0
2019-07-02,134.942,136.077,134.586,135.784,2103680.0
2019-07-03,136.315,137.819,136.205,137.458,1287067.0
2019-07-04,136.315,137.819,136.205,137.458,1287067.0
2019-07-05,137.413,137.504,136.223,136.882,1051023.0
2019-07-06,137.413,137.504,136.223,136.882,1051023.0
2019-07-07,137.413,137.504,136.223,136.882,1051023.0
2019-07-08,136.772,137.166,136.333,136.708,1173151.0
2019-07-09,135.638,137.121,135.382,136.543,1117835.0
2019-07-10,136.672,137.197,136.159,136.452,1161580.0
2019-07-11,136.525,136.681,135.583,136.132,1039518.0
2019-07-12,136.406,136.708,135.528,136.653,979887.0
2019-07-13,136.406,136.708,135.528,136.653,979887.0
2019-07-14,136.406,136.708,135.528,136.653,979887.0
2019-07-15,136.864,138.483,136.324,138.474,1240946.0
2019-07-16,138.703,139.325,137.824,138.547,1484151.0
2019-07-17,138.419,138.785,137.55,137.641,1271826.0
2019-07-18,137.724,137.962,136.681,137.806,820063.0
2019-07-19,137.989,137.989,135.61,135.656,1235791.0
2019-07-20,137.989,137.989,135.61,135.656,1235791.0
2019-07-21,137.989,137.989,135.61,135.656,1235791.0
2019-07-22,135.574,136.063,134.595,135.208,1096425.0
2019-07-23,135.08,135.368,132.994,134.247,2007344.0
2019-07-24,134.037,138.721,133.739,138.675,2302892.0
2019-07-25,139.206,139.297,137.779,138.154,1521459.0
2019-07-26,137.943,140.029,137.202,139.947,1639644.0
2019-07-27,137.943,140.029,137.202,139.947,1639644.0
2019-07-28,137.943,140.029,137.202,139.947,1639644.0
2019-07-29,139.928,140.935,139.567,140.23,1987131.0
2019-07-30,139.81,140.615,139.535,140.258,1523507.0
2019-07-31,140.66,141.127,139.105,139.828,2501800.0
2019-08-01,139.416,139.91,137.806,138.291,1814000.0
2019-08-02,138.867,140.011,137.477,139.306,1815216.0
2019-08-03,138.867,140.011,137.477,139.306,1815216.0
2019-08-04,138.867,140.011,137.477,139.306,1815216.0
2019-08-05,138.318,138.982,135.299,135.848,2077111.0
2019-08-06,135.455,139.453,134.924,139.142,2039421.0
2019-08-07,137.934,141.996,136.379,141.026,2415122.0
2019-08-08,141.392,144.521,141.383,144.347,2250125.0
2019-08-09,144.137,146.589,143.634,146.031,2115497.0
2019-08-10,144.137,146.589,143.634,146.031,2115497.0
2019-08-11,144.137,146.589,143.634,146.031,2115497.0
2019-08-12,144.082,146.268,142.545,143.67,1575127.0
2019-08-13,143.506,146.113,142.883,145.308,1783621.0
2019-08-14,143.652,144.85,139.407,139.691,2624664.0
2019-08-15,139.746,141.328,139.224,140.825,1325475.0
2019-08-16,141.081,142.673,140.505,142.17,1285850.0
2019-08-17,141.081,142.673,140.505,142.17,1285850.0
2019-08-18,141.081,142.673,140.505,142.17,1285850.0
2019-08-19,143.313,143.343,142.271,142.481,1413783.0
2019-08-20,142.609,143.185,141.347,141.511,983658.0
2019-08-21,141.621,142.188,141.054,141.758,1033311.0
2019-08-22,142.216,142.719,141.049,142.005,1367727.0
2019-08-23,141.804,143.158,139.535,140.175,1334344.0
2019-08-24,141.804,143.158,139.535,140.175,1334344.0
2019-08-25,141.804,143.158,139.535,140.175,1334344.0
2019-08-26,140.889,142.069,140.221,141.996,889994.0
2019-08-27,142.618,143.149,141.575,142.289,1721891.0
2019-08-28,141.941,144.0,141.644,143.634,1605167.0
2019-08-29,144.512,144.759,142.746,143.972,1413807.0
2019-08-30,144.549,144.549,142.042,142.975,1931647.0
2019-08-31,144.549,144.549,142.042,142.975,1931647.0
2019-09-01,144.549,144.549,142.042,142.975,1931647.0
2019-09-02,144.549,144.549,142.042,142.975,1931647.0
2019-09-03,142.289,145.226,142.289,145.061,1472577.0
2019-09-04,145.61,146.997,145.125,146.241,1399141.0
2019-09-05,147.604,148.382,146.232,146.955,1016306.0
2019-09-06,146.881,148.135,146.662,147.321,856864.0
2019-09-07,146.881,148.135,146.662,147.321,856864.0
2019-09-08,146.881,148.135,146.662,147.321,856864.0
2019-09-09,148.318,148.318,145.912,146.616,1025327.0
2019-09-10,146.772,146.772,144.439,145.756,1286103.0
2019-09-11,145.527,146.451,144.727,146.14,1455225.0
2019-09-12,147.055,147.412,144.704,146.47,2226078.0
2019-09-13,146.68,146.836,144.969,145.436,1864175.0
2019-09-14,146.68,146.836,144.969,145.436,1864175.0
2019-09-15,146.68,146.836,144.969,145.436,1864175.0
2019-09-16,145.171,145.463,144.256,145.052,1281811.0
2019-09-17,145.198,146.159,144.43,146.122,1588739.0
2019-09-18,146.104,147.037,144.969,145.912,1343649.0
2019-09-19,146.16,147.024,145.465,145.691,1434257.0
2019-09-20,145.167,145.921,144.257,144.937,2150147.0
2019-09-21,145.167,145.921,144.257,144.937,2150147.0
2019-09-22,145.167,145.921,144.257,144.937,2150147.0
2019-09-23,144.542,146.05,144.367,144.965,1457450.0
2019-09-24,145.378,147.346,145.185,146.004,1719423.0
2019-09-25,146.132,146.371,145.176,145.958,1073101.0
2019-09-26,145.535,148.118,145.535,147.493,1084359.0
2019-09-27,147.888,147.989,146.629,147.539,842926.0
2019-09-28,147.888,147.989,146.629,147.539,842926.0
2019-09-29,147.888,147.989,146.629,147.539,842926.0
2019-09-30,147.879,148.982,147.364,148.393,1222577.0
2019-10-01,148.752,148.899,145.746,145.811,1029680.0
2019-10-02,145.094,145.654,143.375,144.138,1414726.0
2019-10-03,144.073,144.588,142.86,143.807,1171590.0
2019-10-04,143.981,149.313,143.935,148.963,2508727.0
2019-10-05,143.981,149.313,143.935,148.963,2508727.0
2019-10-06,143.981,149.313,143.935,148.963,2508727.0
2019-10-07,148.531,148.899,146.601,146.757,1595558.0
2019-10-08,145.847,146.187,142.906,142.915,1869993.0
2019-10-09,143.733,144.799,143.237,144.128,1094918.0
2019-10-10,144.0,144.735,142.492,142.832,2217616.0
2019-10-11,144.303,144.303,142.501,142.566,2544928.0
2019-10-12,144.303,144.303,142.501,142.566,2544928.0
2019-10-13,144.303,144.303,142.501,142.566,2544928.0
2019-10-14,142.52,143.444,141.895,142.878,1068897.0
2019-10-15,143.31,143.991,142.584,142.667,1145504.0
2019-10-16,142.639,143.041,141.215,142.152,1482631.0
2019-10-17,142.272,142.474,140.599,140.654,1254817.0
2019-10-18,141.012,141.242,140.259,140.351,1607650.0
2019-10-19,141.012,141.242,140.259,140.351,1607650.0
2019-10-20,141.012,141.242,140.259,140.351,1607650.0
2019-10-21,141.012,141.269,140.318,140.911,1291379.0
2019-10-22,139.817,139.817,136.086,136.499,2681745.0
2019-10-23,136.518,138.204,136.518,138.025,1448342.0
2019-10-24,138.062,139.165,137.446,138.907,1405847.0
2019-10-25,138.613,138.613,135.617,137.087,2201833.0
2019-10-26,138.613,138.613,135.617,137.087,2201833.0
2019-10-27,138.613,138.613,135.617,137.087,2201833.0
2019-10-28,137.354,137.832,136.233,136.26,2020865.0
2019-10-29,135.801,137.189,135.47,136.619,2590251.0
2019-10-30,137.299,141.628,136.821,140.976,2710826.0
2019-10-31,140.433,140.976,138.54,140.102,1638038.0
2019-11-01,140.599,140.806,137.942,138.282,1634140.0
2019-11-02,140.599,140.806,137.942,138.282,1634140.0
2019-11-03,140.599,140.806,137.942,138.282,1634140.0
2019-11-04,139.275,139.275,135.433,135.782,1946100.0
2019-11-05,136.113,137.639,135.562,136.802,3638150.0
2019-11-06,136.996,139.928,136.729,139.882,2324224.0
2019-11-07,140.213,141.683,139.974,140.562,2360171.0
2019-11-08,140.305,140.783,138.99,139.266,1161832.0
2019-11-09,140.305,140.783,138.99,139.266,1161832.0
2019-11-10,140.305,140.783,138.99,139.266,1161832.0
2019-11-11,138.466,139.468,138.18,139.091,940746.0
2019-11-12,138.852,140.029,138.48,139.165,1117368.0
2019-11-13,138.696,140.403,138.622,140.001,1015502.0
2019-11-14,139.735,140.286,138.871,139.119,1468969.0
2019-11-15,139.477,139.615,138.292,139.064,1710672.0
2019-11-16,139.477,139.615,138.292,139.064,1710672.0
2019-11-17,139.477,139.615,138.292,139.064,1710672.0
2019-11-18,139.183,140.773,138.843,140.47,1243905.0
2019-11-19,140.121,141.224,139.56,140.479,1142064.0
2019-11-20,140.121,140.755,138.919,140.185,1206611.0
2019-11-21,140.764,140.769,137.538,137.85,1631314.0
2019-11-22,137.924,139.487,137.924,138.917,1183911.0
2019-11-23,137.924,139.487,137.924,138.917,1183911.0
2019-11-24,137.924,139.487,137.924,138.917,1183911.0
2019-11-25,139.1,140.01,137.391,137.85,1437573.0
2019-11-26,138.227,139.67,137.804,139.505,1426334.0
2019-11-27,139.542,140.199,139.17,139.79,845747.0
2019-11-28,139.542,140.199,139.17,139.79,845747.0
2019-11-29,139.983,140.335,138.861,139.238,678419.0
2019-11-30,139.983,140.335,138.861,139.238,678419.0
2019-12-01,139.983,140.335,138.861,139.238,678419.0
2019-12-02,139.578,139.946,137.593,137.676,1091181.0
2019-12-03,136.848,138.558,135.966,137.308,1504424.0
2019-12-04,137.345,139.275,136.968,138.852,1438700.0
2019-12-05,138.733,138.944,137.345,138.145,1266750.0
2019-12-06,139.211,140.174,138.145,139.9,1200846.0
2019-12-07,139.211,140.174,138.145,139.9,1200846.0
2019-12-08,139.211,140.174,138.145,139.9,1200846.0
2019-12-09,139.955,141.119,139.404,140.635,1798437.0
2019-12-10,140.617,140.893,140.084,140.599,1270256.0
2019-12-11,140.001,140.718,139.413,139.689,1200505.0
2019-12-12,139.56,141.524,139.009,141.261,1131451.0
2019-12-13,140.847,142.4,140.7,142.143,1107939.0
2019-12-14,140.847,142.4,140.7,142.143,1107939.0
2019-12-15,140.847,142.4,140.7,142.143,1107939.0
2019-12-16,142.694,143.246,142.455,142.961,1530983.0
2019-12-17,142.832,143.834,142.75,143.577,1703840.0
2019-12-18,143.393,143.729,141.261,142.115,1922698.0
2019-12-19,141.958,142.753,141.395,142.707,2717412.0
2019-12-20,143.796,144.997,142.993,143.667,2553631.0
2019-12-21,143.796,144.997,142.993,143.667,2553631.0
2019-12-22,143.796,144.997,142.993,143.667,2553631.0
2019-12-23,143.686,143.88,141.658,142.429,1367442.0
2019-12-24,142.411,142.688,142.032,142.189,567721.0
2019-12-25,142.411,142.688,142.032,142.189,567721.0
2019-12-26,142.503,143.233,142.365,142.937,1044768.0
2019-12-27,143.141,144.027,143.011,143.926,903401.0
2019-12-28,143.141,144.027,143.011,143.926,903401.0
2019-12-29,143.141,144.027,143.011,143.926,903401.0
2019-12-30,144.092,144.092,143.021,143.455,677320.0
2019-12-31,143.288,143.972,143.076,143.778,1115869.0
2020-01-01,143.288,143.972,143.076,143.778,1115869.0
2020-01-02,143.953,144.111,142.577,144.111,1883122.0
2020-01-03,142.947,144.092,142.365,143.889,1175954.0
2020-01-04,142.947,144.092,142.365,143.889,1175954.0
2020-01-05,142.947,144.092,142.365,143.889,1175954.0
2020-01-06,143.473,145.099,143.178,145.071,1281765.0
2020-01-07,142.356,143.501,141.912,142.171,1507012.0
2020-01-08,141.968,142.984,141.016,141.201,2106261.0
2020-01-09,141.792,142.291,140.863,142.199,1796871.0
2020-01-10,141.838,142.66,138.652,139.464,2362965.0
2020-01-11,141.838,142.66,138.652,139.464,2362965.0
2020-01-12,141.838,142.66,138.652,139.464,2362965.0
2020-01-13,139.271,139.672,138.116,139.381,1672608.0
2020-01-14,138.901,140.222,138.809,139.252,1410594.0
2020-01-15,138.772,139.908,138.042,139.742,1367888.0
2020-01-16,140.046,141.432,139.815,141.007,1101849.0
2020-01-17,140.998,142.374,140.952,141.958,2009271.0
2020-01-18,140.998,142.374,140.952,141.958,2009271.0
2020-01-19,140.998,142.374,140.952,141.958,2009271.0
2020-01-20,140.998,142.374,140.952,141.958,2009271.0
2020-01-21,141.321,141.903,140.471,141.081,1426977.0
2020-01-22,141.367,142.152,141.053,142.088,1098038.0
2020-01-23,140.591,141.268,137.71,140.481,2514027.0
2020-01-24,140.342,141.45,140.028,140.407,1476408.0
2020-01-25,140.342,141.45,140.028,140.407,1476408.0
2020-01-26,140.342,141.45,140.028,140.407,1476408.0
2020-01-27,139.464,140.287,138.901,138.901,1163104.0
2020-01-28,139.354,140.822,139.238,139.437,1716461.0
2020-01-29,139.991,140.638,139.28,139.372,1266223.0
2020-01-30,138.652,142.494,138.605,142.374,1267132.0
2020-01-31,141.866,142.716,139.705,140.388,2336261.0
2020-02-01,141.866,142.716,139.705,140.388,2336261.0
2020-02-02,141.866,142.716,139.705,140.388,2336261.0
2020-02-03,140.915,143.03,140.665,141.533,1831906.0
2020-02-04,142.808,143.833,142.383,142.522,1880786.0
2020-02-05,148.045,152.775,145.339,152.71,3119425.0
2020-02-06,153.329,154.936,150.364,150.761,3035639.0
2020-02-07,150.197,151.969,149.856,150.308,1908196.0
2020-02-08,150.197,151.969,149.856,150.308,1908196.0
2020-02-09,150.197,151.969,149.856,150.308,1908196.0
2020-02-10,150.336,150.89,149.629,150.881,1511040.0
2020-02-11,150.733,151.814,149.93,151.611,1718570.0
2020-02-12,152.193,153.116,151.223,151.38,1174581.0
2020-02-13,151.241,152.617,150.779,152.248,1612687.0
2020-02-14,152.091,152.627,150.604,151.999,1246348.0
2020-02-15,152.091,152.627,150.604,151.999,1246348.0
2020-02-16,152.091,152.627,150.604,151.999,1246348.0
2020-02-17,152.091,152.627,150.604,151.999,1246348.0
2020-02-18,151.869,152.183,150.632,151.02,1366057.0
2020-02-19,151.426,151.842,150.17,151.675,1451074.0
2020-02-20,151.241,151.477,150.262,150.696,2265556.0
2020-02-21,150.234,151.523,150.234,151.25,1267980.0
2020-02-22,150.234,151.523,150.234,151.25,1267980.0
2020-02-23,150.234,151.523,150.234,151.25,1267980.0
2020-02-24,148.581,150.244,147.537,148.239,1919168.0
2020-02-25,148.027,148.461,144.6,145.21,2502152.0
2020-02-26,146.152,147.914,144.905,145.967,2354731.0
2020-02-27,144.314,146.023,138.596,138.652,3119006.0
2020-02-28,135.761,136.518,131.382,133.959,3792933.0
2020-02-29,135.761,136.518,131.382,133.959,3792933.0
2020-03-01,135.761,136.518,131.382,133.959,3792933.0
2020-03-02,134.052,140.527,133.941,140.222,3069488.0
2020-03-03,140.508,141.838,134.153,135.022,2838270.0
2020-03-04,136.61,140.647,135.447,140.342,2147928.0
2020-03-05,136.869,136.869,132.204,133.83,2569453.0
2020-03-06,129.193,134.347,128.63,133.765,3488926.0
2020-03-07,129.193,134.347,128.63,133.765,3488926.0
2020-03-08,129.193,134.347,128.63,133.765,3488926.0
2020-03-09,125.295,131.161,121.887,124.667,3246591.0
2020-03-10,128.454,128.685,123.661,128.482,2602207.0
2020-03-11,124.741,126.219,119.772,121.268,2664207.0
2020-03-12,114.535,116.867,107.653,107.829,3339938.0
2020-03-13,113.343,113.999,104.421,112.558,5280191.0
2020-03-14,113.343,113.999,104.421,112.558,5280191.0
2020-03-15,113.343,113.999,104.421,112.558,5280191.0
2020-03-16,99.525,105.557,93.004,93.678,4112695.0
2020-03-17,95.72,101.917,90.321,101.677,4513359.0
2020-03-18,95.128,100.042,80.682,92.191,4346701.0
2020-03-19,90.702,93.894,87.333,91.698,3600927.0
2020-03-20,92.135,96.77,86.644,94.518,4849674.0
2020-03-21,92.135,96.77,86.644,94.518,4849674.0
2020-03-22,92.135,96.77,86.644,94.518,4849674.0
2020-03-23,90.563,94.509,85.658,87.668,3960999.0
2020-03-24,91.921,95.793,89.688,95.448,3525120.0
2020-03-25,94.639,100.832,90.302,94.741,4168068.0
2020-03-26,95.69,102.698,93.531,101.647,4073861.0
2020-03-27,97.542,105.611,96.863,100.893,3714833.0
2020-03-28,97.542,105.611,96.863,100.893,3714833.0
2020-03-29,97.542,105.611,96.863,100.893,3714833.0
2020-03-30,101.107,106.756,98.306,106.132,2792713.0
2020-03-31,104.811,106.067,102.707,103.945,3075452.0
2020-04-01,98.603,100.502,95.495,96.947,2313187.0
2020-04-02,96.491,100.86,96.249,98.585,2256586.0
2020-04-03,97.515,99.246,94.294,95.69,1868118.0
2020-04-04,97.515,99.246,94.294,95.69,1868118.0
2020-04-05,97.515,99.246,94.294,95.69,1868118.0
2020-04-06,99.86,103.722,99.515,103.08,3005304.0
2020-04-07,109.213,110.749,104.029,104.262,2396216.0
2020-04-08,104.857,107.538,103.378,106.663,2374534.0
2020-04-09,108.627,114.834,108.054,113.792,2719212.0
2020-04-10,108.627,114.834,108.054,113.792,2719212.0
2020-04-11,108.627,114.834,108.054,113.792,2719212.0
2020-04-12,108.627,114.834,108.054,113.792,2719212.0
2020-04-13,112.833,114.434,110.339,111.316,3400159.0
2020-04-14,113.606,116.153,111.921,114.006,2229553.0
2020-04-15,111.679,112.005,108.21,108.422,2919639.0
2020-04-16,108.133,109.353,103.359,104.187,2634335.0
2020-04-17,107.491,111.679,106.142,110.553,3542397.0
2020-04-18,107.491,111.679,106.142,110.553,3542397.0
2020-04-19,107.491,111.679,106.142,110.553,3542397.0
2020-04-20,108.831,108.99,105.537,106.691,3123771.0
2020-04-21,102.466,106.495,101.786,104.597,3098742.0
2020-04-22,106.393,106.515,98.771,98.855,4866257.0
2020-04-23,99.888,100.828,96.835,96.863,3403378.0
2020-04-24,97.561,97.924,95.03,96.807,3894906.0
