,KRNY US Equity,KRNY US Equity,KRNY US Equity,KRNY US Equity,KRNY US Equity
2020-02-23,10.1806,10.1806,10.063,10.1134,392695.0
2020-02-24,9.9286,9.9622,9.769,9.8278,343910.0
2020-02-25,9.8026,9.8362,9.5338,9.6934,478084.0
2020-02-26,9.7186,9.8362,9.5674,9.5842,295978.0
2020-02-27,9.4834,9.6262,9.3658,9.3658,416760.0
2020-02-28,9.1978,9.3322,8.8198,9.1642,689991.0
2020-02-29,9.1978,9.3322,8.8198,9.1642,689991.0
2020-03-01,9.1978,9.3322,8.8198,9.1642,689991.0
2020-03-02,9.1642,9.4834,9.097,9.4834,339184.0
2020-03-03,9.4665,9.6357,9.2465,9.2592,463900.0
2020-03-04,9.255,9.3396,9.1196,9.3311,465900.0
2020-03-05,9.1873,9.3057,9.1112,9.3057,526537.0
2020-03-06,9.0942,9.2211,8.887,9.0773,632028.0
2020-03-07,9.0942,9.2211,8.887,9.0773,632028.0
2020-03-08,9.0942,9.2211,8.887,9.0773,632028.0
2020-03-09,8.6205,8.6374,8.2083,8.3498,652990.0
2020-03-10,8.5443,8.942,8.4344,8.8997,1130125.0
2020-03-11,8.7897,8.9843,8.4767,8.5528,658190.0
2020-03-12,8.1637,8.4344,7.5715,7.9775,540236.0
2020-03-13,8.4259,8.6374,7.8633,8.206,1045226.0
2020-03-14,8.4259,8.6374,7.8633,8.206,1045226.0
2020-03-15,8.4259,8.6374,7.8633,8.206,1045226.0
2020-03-16,6.8947,8.1975,6.8947,7.9606,493171.0
2020-03-17,8.0283,8.3159,7.8337,8.1552,758779.0
2020-03-18,7.8422,8.0198,7.3854,7.5376,678943.0
2020-03-19,7.4784,8.2144,7.3262,7.6984,792412.0
2020-03-20,7.5715,8.206,7.2162,7.2923,1093689.0
2020-03-21,7.5715,8.206,7.2162,7.2923,1093689.0
2020-03-22,7.5715,8.206,7.2162,7.2923,1093689.0
2020-03-23,7.3431,7.3515,6.1672,6.5394,1022947.0
2020-03-24,6.7509,7.2246,6.5055,7.2162,466321.0
2020-03-25,7.2838,7.3346,6.7932,7.0385,322790.0
2020-03-26,7.0301,7.7364,7.0301,7.5715,580295.0
2020-03-27,7.36,7.4869,7.096,7.1316,444856.0
2020-03-28,7.36,7.4869,7.096,7.1316,444856.0
2020-03-29,7.36,7.4869,7.096,7.1316,444856.0
2020-03-30,7.1485,7.2796,6.9116,7.25,298676.0
2020-03-31,7.2162,7.2669,6.9455,7.2669,485356.0
2020-04-01,7.0808,7.0808,6.6747,6.734,643488.0
2020-04-02,6.6832,6.8101,6.5732,6.7086,440010.0
2020-04-03,6.6155,6.717,6.3617,6.4548,384309.0
2020-04-04,6.6155,6.717,6.3617,6.4548,384309.0
2020-04-05,6.6155,6.717,6.3617,6.4548,384309.0
2020-04-06,6.8186,7.0724,6.6832,6.7847,681364.0
2020-04-07,6.9539,7.1146,6.7932,6.8524,559077.0
2020-04-08,6.937,7.1316,6.7763,6.9962,384631.0
2020-04-09,7.1062,7.6222,7.1062,7.6222,531487.0
2020-04-10,7.1062,7.6222,7.1062,7.6222,531487.0
2020-04-11,7.1062,7.6222,7.1062,7.6222,531487.0
2020-04-12,7.1062,7.6222,7.1062,7.6222,531487.0
2020-04-13,7.5884,7.766,7.2965,7.4107,322245.0
2020-04-14,7.5376,7.563,7.1569,7.3008,297125.0
2020-04-15,7.0554,7.0554,6.7509,6.7678,323890.0
2020-04-16,6.7678,6.8693,6.5563,6.6917,479292.0
2020-04-17,6.8439,7.0385,6.8439,6.9878,326284.0
2020-04-18,6.8439,7.0385,6.8439,6.9878,326284.0
2020-04-19,6.8439,7.0385,6.8439,6.9878,326284.0
2020-04-20,6.7678,7.0108,6.7424,6.8609,214152.0
2020-04-21,6.6578,6.8101,6.5394,6.7509,234999.0
2020-04-22,6.8609,6.8693,6.7001,6.7255,227752.0
2020-04-23,6.734,6.8609,6.6071,6.7001,269811.0
2020-04-24,6.7086,6.7678,6.6409,6.717,238337.0
2020-04-25,6.7086,6.7678,6.6409,6.717,238337.0
2020-04-26,6.7086,6.7678,6.6409,6.717,238337.0
2020-04-27,6.7678,6.9666,6.6071,6.9116,641838.0
2020-04-28,7.0893,7.1654,6.8862,7.0385,577341.0
2020-04-29,7.2754,7.8083,7.1823,7.6307,453274.0
2020-04-30,7.5715,7.9268,7.5461,7.8676,459310.0
2020-05-01,7.673,7.673,7.4869,7.5461,388284.0
2020-05-02,7.673,7.673,7.4869,7.5461,388284.0
2020-05-03,7.673,7.673,7.4869,7.5461,388284.0
2020-05-04,7.5123,7.6307,7.3769,7.5038,281742.0
2020-05-05,7.6222,7.7068,7.2077,7.2246,509946.0
2020-05-06,7.25,7.3177,6.9666,7.0512,478937.0
2020-05-07,7.2331,7.3938,7.1569,7.1908,296253.0
2020-05-08,7.3431,7.5123,7.3135,7.4107,405570.0
2020-05-09,7.3431,7.5123,7.3135,7.4107,405570.0
2020-05-10,7.3431,7.5123,7.3135,7.4107,405570.0
2020-05-11,7.2754,7.3684,7.0724,7.1231,391668.0
2020-05-12,7.1316,7.1569,6.8778,6.8778,296937.0
2020-05-13,6.7932,6.8651,6.5478,6.6071,323877.0
2020-05-14,6.4632,6.6917,6.3364,6.6324,283374.0
2020-05-15,6.6494,6.7086,6.5478,6.6578,238684.0
2020-05-16,6.6494,6.7086,6.5478,6.6578,238684.0
2020-05-17,6.6494,6.7086,6.5478,6.6578,238684.0
2020-05-18,6.8524,7.1654,6.8524,7.1231,243276.0
2020-05-19,7.0554,7.0639,6.7678,6.8016,263959.0
2020-05-20,6.8947,7.1485,6.8947,7.0554,232496.0
2020-05-21,7.1485,7.1485,6.9624,7.0131,129675.0
2020-05-22,7.0216,7.0216,6.8355,6.9539,102980.0
2020-05-23,7.0216,7.0216,6.8355,6.9539,102980.0
2020-05-24,7.0216,7.0216,6.8355,6.9539,102980.0
2020-05-25,7.0216,7.0216,6.8355,6.9539,102980.0
2020-05-26,7.2331,7.4234,7.0301,7.3515,188481.0
2020-05-27,7.7407,8.0579,7.5757,8.0283,422586.0
2020-05-28,8.1552,8.3075,7.7068,7.7491,411048.0
2020-05-29,7.5376,7.6222,7.2331,7.25,250001.0
2020-05-30,7.5376,7.6222,7.2331,7.25,250001.0
2020-05-31,7.5376,7.6222,7.2331,7.25,250001.0
2020-06-01,7.3938,7.4023,7.1739,7.1739,274636.0
2020-06-02,7.2422,7.3703,7.1269,7.1568,241178.0
2020-06-03,7.4386,7.6948,7.3361,7.5069,317809.0
2020-06-04,7.4386,7.6692,7.4045,7.6607,240490.0
2020-06-05,8.1218,8.3012,8.0706,8.1218,279750.0
2020-06-06,8.1218,8.3012,8.0706,8.1218,279750.0
2020-06-07,8.1218,8.3012,8.0706,8.1218,279750.0
2020-06-08,8.2756,8.3951,8.1475,8.2499,246806.0
2020-06-09,8.1218,8.1902,7.8315,8.0364,131701.0
2020-06-10,8.0364,8.1218,7.5326,7.5411,164163.0
2020-06-11,7.1739,7.2593,6.8408,6.875,234736.0
2020-06-12,7.1739,7.2336,6.7981,7.0458,256523.0
2020-06-13,7.1739,7.2336,6.7981,7.0458,256523.0
2020-06-14,7.1739,7.2336,6.7981,7.0458,256523.0
2020-06-15,6.8323,7.1653,6.6956,7.0671,237763.0
2020-06-16,7.413,7.6184,7.1141,7.4642,319230.0
2020-06-17,7.4728,7.5789,6.986,7.0372,427627.0
2020-06-18,6.986,7.1653,6.9347,7.0628,275441.0
2020-06-19,7.1397,7.2678,6.7938,6.9091,591921.0
2020-06-20,7.1397,7.2678,6.7938,6.9091,591921.0
2020-06-21,7.1397,7.2678,6.7938,6.9091,591921.0
2020-06-22,6.8408,6.9518,6.7639,6.8835,262845.0
2020-06-23,6.9774,7.0372,6.7639,6.7682,273671.0
2020-06-24,6.6956,6.6956,6.4138,6.5077,260186.0
2020-06-25,6.4565,6.7127,6.4479,6.6871,260113.0
2020-06-26,6.6187,6.6187,6.2344,6.4394,727413.0
2020-06-27,6.6187,6.6187,6.2344,6.4394,727413.0
2020-06-28,6.6187,6.6187,6.2344,6.4394,727413.0
2020-06-29,6.5675,6.8963,6.5419,6.8707,228731.0
2020-06-30,6.8152,7.0372,6.8152,6.986,383504.0
2020-07-01,7.0116,7.0287,6.781,6.8323,301229.0
2020-07-02,6.986,7.0799,6.8237,6.8408,395188.0
2020-07-03,6.986,7.0799,6.8237,6.8408,395188.0
2020-07-04,6.986,7.0799,6.8237,6.8408,395188.0
2020-07-05,6.986,7.0799,6.8237,6.8408,395188.0
2020-07-06,6.9774,7.033,6.7938,6.8493,317638.0
2020-07-07,6.781,6.781,6.6102,6.6102,322389.0
2020-07-08,6.5846,6.7383,6.4906,6.6316,342509.0
2020-07-09,6.6444,6.7725,6.3455,6.3882,502511.0
2020-07-10,6.4052,6.6785,6.3967,6.5846,1187889.0
2020-07-11,6.4052,6.6785,6.3967,6.5846,1187889.0
2020-07-12,6.4052,6.6785,6.3967,6.5846,1187889.0
2020-07-13,6.6444,6.7298,6.4479,6.559,573090.0
2020-07-14,6.5504,6.5931,6.354,6.4266,470415.0
2020-07-15,6.6187,6.7383,6.5333,6.7042,453533.0
2020-07-16,6.6529,6.9347,6.6358,6.7255,343908.0
2020-07-17,6.6785,6.7639,6.4052,6.4223,362005.0
2020-07-18,6.6785,6.7639,6.4052,6.4223,362005.0
2020-07-19,6.6785,6.7639,6.4052,6.4223,362005.0
2020-07-20,6.3967,6.5931,6.1704,6.1747,368560.0
2020-07-21,6.1917,6.512,6.1917,6.4821,363560.0
2020-07-22,6.4223,6.4565,6.2857,6.3711,217731.0
2020-07-23,6.3028,6.576,6.3028,6.5504,223779.0
2020-07-24,6.5248,6.6444,6.4479,6.465,180435.0
2020-07-25,6.5248,6.6444,6.4479,6.465,180435.0
2020-07-26,6.5248,6.6444,6.4479,6.465,180435.0
2020-07-27,6.4138,6.4223,6.2088,6.2985,275055.0
2020-07-28,6.2515,6.5163,6.2515,6.4906,485779.0
2020-07-29,6.5248,6.6956,6.3284,6.67,328450.0
2020-07-30,6.5504,6.7383,6.5333,6.6956,352560.0
2020-07-31,7.0201,7.2422,6.7639,6.8664,383803.0
2020-08-01,7.0201,7.2422,6.7639,6.8664,383803.0
2020-08-02,7.0201,7.2422,6.7639,6.8664,383803.0
2020-08-03,6.8835,6.8835,6.5248,6.5419,278501.0
2020-08-04,6.5248,6.5248,6.354,6.4608,323396.0
2020-08-05,6.5333,6.5675,6.4223,6.559,285704.0
2020-08-06,6.5163,6.67,6.4565,6.576,225610.0
2020-08-07,6.559,6.875,6.4906,6.8664,212114.0
2020-08-08,6.559,6.875,6.4906,6.8664,212114.0
2020-08-09,6.559,6.875,6.4906,6.8664,212114.0
2020-08-10,6.892,7.0799,6.8323,7.0116,350644.0
2020-08-11,7.1312,7.2593,6.9347,6.9604,312055.0
2020-08-12,7.097,7.097,6.781,6.9475,210600.0
2020-08-13,6.8835,6.9177,6.7426,6.7639,148926.0
2020-08-14,6.7042,6.8835,6.6273,6.8579,244524.0
2020-08-15,6.7042,6.8835,6.6273,6.8579,244524.0
2020-08-16,6.7042,6.8835,6.6273,6.8579,244524.0
2020-08-17,6.8323,6.8664,6.6614,6.7981,168473.0
2020-08-18,6.7896,6.7896,6.67,6.6871,145402.0
2020-08-19,6.67,6.7981,6.6614,6.6999,197109.0
2020-08-20,6.7639,6.7639,6.559,6.6102,139604.0
2020-08-21,6.6017,6.6443,6.4906,6.5333,189963.0
2020-08-22,6.6017,6.6443,6.4906,6.5333,189963.0
2020-08-23,6.6017,6.6443,6.4906,6.5333,189963.0
2020-08-24,6.6444,6.7042,6.4736,6.7042,168153.0
2020-08-25,6.7896,6.8493,6.7042,6.8237,235137.0
2020-08-26,6.7896,6.9091,6.5846,6.6017,181906.0
2020-08-27,6.6187,6.8323,6.6102,6.7298,160209.0
2020-08-28,6.7554,6.7725,6.6486,6.7383,156618.0
2020-08-29,6.7554,6.7725,6.6486,6.7383,156618.0
2020-08-30,6.7554,6.7725,6.6486,6.7383,156618.0
2020-08-31,6.67,6.781,6.6187,6.6273,393937.0
2020-09-01,6.6359,6.7481,6.5841,6.6532,232663.0
2020-09-02,6.6618,6.8258,6.6359,6.8171,485834.0
2020-09-03,6.8344,7.0501,6.8258,6.9121,401333.0
2020-09-04,7.0674,7.1097,6.843,6.9552,318072.0
2020-09-05,7.0674,7.1097,6.843,6.9552,318072.0
2020-09-06,7.0674,7.1097,6.843,6.9552,318072.0
2020-09-07,7.0674,7.1097,6.843,6.9552,318072.0
2020-09-08,6.9293,6.9293,6.7049,6.8818,438603.0
2020-09-09,6.8862,6.9379,6.4633,6.4978,652954.0
2020-09-10,6.4978,6.6014,6.308,6.3382,338437.0
2020-09-11,6.3598,6.4116,6.2562,6.2994,228660.0
2020-09-12,6.3598,6.4116,6.2562,6.2994,228660.0
2020-09-13,6.3598,6.4116,6.2562,6.2994,228660.0
2020-09-14,6.308,6.5324,6.2735,6.5151,239035.0
2020-09-15,6.5237,6.5237,6.377,6.3857,153991.0
2020-09-16,6.4029,6.5755,6.3339,6.4806,372291.0
2020-09-17,6.3857,6.5669,6.3857,6.5151,216399.0
2020-09-18,6.5669,6.61,6.472,6.5971,1039745.0
2020-09-19,6.5669,6.61,6.472,6.5971,1039745.0
2020-09-20,6.5669,6.61,6.472,6.5971,1039745.0
2020-09-21,6.4633,6.5065,6.239,6.2994,467426.0
2020-09-22,6.3166,6.3943,6.0923,6.1182,313478.0
2020-09-23,6.1268,6.2835,5.9628,5.9715,514909.0
2020-09-24,6.0319,6.2045,5.9715,6.1268,308164.0
2020-09-25,6.0836,6.2045,6.0836,6.1613,311445.0
2020-09-26,6.0836,6.2045,6.0836,6.1613,311445.0
2020-09-27,6.0836,6.2045,6.0836,6.1613,311445.0
2020-09-28,6.2131,6.3943,6.2131,6.377,276039.0
2020-09-29,6.3511,6.4374,6.2045,6.2649,177584.0
2020-09-30,6.308,6.3598,6.1786,6.2217,331704.0
2020-10-01,6.2217,6.3468,6.144,6.2735,230697.0
2020-10-02,6.1699,6.472,6.1699,6.4374,197485.0
2020-10-03,6.1699,6.472,6.1699,6.4374,197485.0
2020-10-04,6.1699,6.472,6.1699,6.4374,197485.0
2020-10-05,6.472,6.6014,6.4633,6.5928,150415.0
2020-10-06,6.6791,6.8646,6.6314,6.6618,264979.0
2020-10-07,6.7222,6.8862,6.6704,6.7826,235541.0
2020-10-08,6.8516,7.007,6.8516,6.9725,318064.0
2020-10-09,7.007,7.0329,6.8516,6.8603,210024.0
2020-10-10,7.007,7.0329,6.8516,6.8603,210024.0
2020-10-11,7.007,7.0329,6.8516,6.8603,210024.0
2020-10-12,6.8516,7.0674,6.8171,7.0329,199348.0
2020-10-13,6.9811,6.9811,6.7778,6.8171,174921.0
2020-10-14,6.774,6.8862,6.7308,6.7352,173104.0
2020-10-15,6.6704,6.9121,6.6618,6.8603,180418.0
2020-10-16,6.8344,6.9552,6.7395,6.9293,260598.0
2020-10-17,6.8344,6.9552,6.7395,6.9293,260598.0
2020-10-18,6.8344,6.9552,6.7395,6.9293,260598.0
2020-10-19,6.9897,7.2572,6.9874,7.1537,593099.0
2020-10-20,7.1882,7.378,7.1882,7.3694,368721.0
2020-10-21,7.4125,7.6887,7.4125,7.4902,375998.0
2020-10-22,7.5506,8.0209,7.4384,8.0037,553746.0
2020-10-23,8.0339,8.1892,7.9562,8.077,279330.0
2020-10-24,8.0339,8.1892,7.9562,8.077,279330.0
2020-10-25,8.0339,8.1892,7.9562,8.077,279330.0
2020-10-26,8.0166,8.0209,7.8354,7.913,478858.0
2020-10-27,7.9476,7.9476,7.529,7.542,446883.0
2020-10-28,7.3867,7.5032,7.3392,7.3737,291935.0
2020-10-29,7.3435,7.4557,7.1709,7.4212,294826.0
2020-10-30,7.7491,7.9303,7.2054,7.2486,340711.0
2020-10-31,7.7491,7.9303,7.2054,7.2486,340711.0
2020-11-01,7.7491,7.9303,7.2054,7.2486,340711.0
2020-11-02,7.309,7.6973,7.309,7.5506,646106.0
2020-11-03,7.6455,7.8354,7.5679,7.7318,809294.0
2020-11-04,7.5247,7.6283,7.1364,7.1623,311915.0
2020-11-05,7.1278,7.4988,7.1278,7.4169,389912.0
2020-11-06,7.4557,7.5506,7.1278,7.3953,332656.0
2020-11-07,7.4557,7.5506,7.1278,7.3953,332656.0
2020-11-08,7.4557,7.5506,7.1278,7.3953,332656.0
2020-11-09,7.8958,8.3963,7.8958,8.0123,773263.0
2020-11-10,8.0943,8.3445,8.0943,8.2323,566522.0
2020-11-11,8.2496,8.2755,8.008,8.2496,373543.0
2020-11-12,8.077,8.2151,7.9648,8.2151,384307.0
2020-11-13,8.2151,8.5689,8.2064,8.5085,429620.0
2020-11-14,8.2151,8.5689,8.2064,8.5085,429620.0
2020-11-15,8.2151,8.5689,8.2064,8.5085,429620.0
2020-11-16,8.6811,9.009,8.6724,8.8536,513064.0
2020-11-17,8.7156,9.0262,8.6379,8.9744,355605.0
2020-11-18,8.9486,9.1125,8.6293,8.6379,443177.0
2020-11-19,8.5602,8.6897,8.4481,8.5257,710525.0
2020-11-20,8.4135,8.6983,8.4135,8.625,365543.0
2020-11-21,8.4135,8.6983,8.4135,8.625,365543.0
2020-11-22,8.4135,8.6983,8.4135,8.625,365543.0
2020-11-23,8.7673,8.8709,8.6293,8.6897,394545.0
2020-11-24,8.8019,9.2074,8.7932,9.0003,818079.0
2020-11-25,8.9831,9.0694,8.845,8.9831,339085.0
2020-11-26,8.9831,9.0694,8.845,8.9831,339085.0
2020-11-27,8.9486,8.9486,8.7673,8.8191,153908.0
2020-11-28,8.9486,8.9486,8.7673,8.8191,153908.0
2020-11-29,8.9486,8.9486,8.7673,8.8191,153908.0
2020-11-30,8.7156,8.8191,8.5085,8.5344,406684.0
2020-12-01,8.6638,8.8536,8.6638,8.6983,341745.0
2020-12-02,8.7069,8.9399,8.6465,8.8623,370851.0
2020-12-03,8.9058,8.9623,8.7318,8.871,328468.0
2020-12-04,9.0362,9.1493,8.8884,9.1232,349857.0
2020-12-05,9.0362,9.1493,8.8884,9.1232,349857.0
2020-12-06,9.0362,9.1493,8.8884,9.1232,349857.0
2020-12-07,9.071,9.1493,8.9145,9.071,326502.0
2020-12-08,8.9753,9.2623,8.9579,9.2362,320699.0
2020-12-09,9.3058,9.3319,9.2275,9.2536,320715.0
2020-12-10,9.2449,9.2928,8.8797,9.2623,309532.0
2020-12-11,9.1406,9.2841,9.0449,9.071,654552.0
2020-12-12,9.1406,9.2841,9.0449,9.071,654552.0
2020-12-13,9.1406,9.2841,9.0449,9.071,654552.0
2020-12-14,9.2015,9.2015,9.0101,9.0623,343180.0
2020-12-15,9.1232,9.3754,9.0536,9.3232,299714.0
2020-12-16,9.5059,9.5059,9.2623,9.2797,499133.0
2020-12-17,9.2971,9.3232,8.8536,9.1319,405017.0
2020-12-18,9.1754,9.3754,9.0188,9.0971,1215872.0
2020-12-19,9.1754,9.3754,9.0188,9.0971,1215872.0
2020-12-20,9.1754,9.3754,9.0188,9.0971,1215872.0
2020-12-21,9.0536,9.3058,9.0101,9.1145,399211.0
2020-12-22,9.1058,9.2015,8.9753,9.0623,286013.0
2020-12-23,9.1232,9.3145,9.0884,9.2362,268744.0
2020-12-24,9.2971,9.3232,9.1232,9.1928,129116.0
2020-12-25,9.2971,9.3232,9.1232,9.1928,129116.0
2020-12-26,9.2971,9.3232,9.1232,9.1928,129116.0
2020-12-27,9.2971,9.3232,9.1232,9.1928,129116.0
2020-12-28,9.2362,9.358,9.1754,9.2623,419930.0
2020-12-29,9.2536,9.2623,9.0362,9.0971,270169.0
2020-12-30,9.0971,9.2623,9.0884,9.1841,256476.0
2020-12-31,9.1928,9.2362,9.1232,9.1841,221345.0
2021-01-01,9.1928,9.2362,9.1232,9.1841,221345.0
2021-01-02,9.1928,9.2362,9.1232,9.1841,221345.0
2021-01-03,9.1928,9.2362,9.1232,9.1841,221345.0
2021-01-04,9.2449,9.3058,8.9579,9.0797,323050.0
2021-01-05,9.0971,9.2841,8.9666,9.1754,329163.0
2021-01-06,9.3928,9.991,9.3406,9.9233,396814.0
2021-01-07,9.9929,10.0016,9.7407,9.7581,318024.0
2021-01-08,7.8795,9.7146,7.7778,9.445,580709.0
2021-01-09,7.8795,9.7146,7.7778,9.445,580709.0
2021-01-10,7.8795,9.7146,7.7778,9.445,580709.0
2021-01-11,9.3754,9.6798,9.3493,9.6711,216918.0
2021-01-12,9.6798,9.9407,9.5754,9.9146,465714.0
2021-01-13,9.8972,9.9233,9.7494,9.9146,327600.0
2021-01-14,9.9842,10.132,9.9581,10.0103,225386.0
2021-01-15,9.8798,9.9407,9.7233,9.7581,211156.0
2021-01-16,9.8798,9.9407,9.7233,9.7581,211156.0
2021-01-17,9.8798,9.9407,9.7233,9.7581,211156.0
2021-01-18,9.8798,9.9407,9.7233,9.7581,211156.0
2021-01-19,9.8624,9.8885,9.5667,9.6885,308487.0
2021-01-20,9.6711,9.6972,9.4885,9.6276,189253.0
2021-01-21,9.6624,9.6624,9.3493,9.3493,188147.0
2021-01-22,9.2971,9.5145,9.1754,9.3667,354145.0
2021-01-23,9.2971,9.5145,9.1754,9.3667,354145.0
2021-01-24,9.2971,9.5145,9.1754,9.3667,354145.0
2021-01-25,9.4189,9.5059,9.0797,9.4885,256581.0
2021-01-26,9.5145,9.5145,9.1493,9.1754,227681.0
2021-01-27,8.9405,9.0536,8.7579,8.784,274250.0
2021-01-28,8.8449,9.0188,8.6622,8.871,246846.0
2021-01-29,9.1319,9.2015,8.9666,9.0014,286596.0
2021-01-30,9.1319,9.2015,8.9666,9.0014,286596.0
2021-01-31,9.1319,9.2015,8.9666,9.0014,286596.0
2021-02-01,9.0884,9.0884,8.7405,8.8971,227861.0
2021-02-02,8.9753,9.1797,8.8797,9.0536,451304.0
2021-02-03,9.0362,9.2015,8.9232,9.1667,283749.0
2021-02-04,9.1667,9.4102,9.0188,9.3145,322853.0
2021-02-05,9.358,9.4015,9.158,9.2623,250359.0
2021-02-06,9.358,9.4015,9.158,9.2623,250359.0
2021-02-07,9.358,9.4015,9.158,9.2623,250359.0
2021-02-08,9.271,9.4972,9.1319,9.4972,295709.0
2021-02-09,9.4798,9.5667,9.3406,9.5319,316637.0
2021-02-10,9.5493,9.6102,9.4537,9.4885,278408.0
2021-02-11,9.5059,9.6537,9.2971,9.3667,285539.0
2021-02-12,9.3232,9.4624,9.3058,9.4363,243827.0
2021-02-13,9.3232,9.4624,9.3058,9.4363,243827.0
2021-02-14,9.3232,9.4624,9.3058,9.4363,243827.0
2021-02-15,9.3232,9.4624,9.3058,9.4363,243827.0
2021-02-16,9.4537,9.5667,9.3493,9.3667,312056.0
2021-02-17,9.3406,9.5406,9.3145,9.3319,301226.0
2021-02-18,9.3754,9.5059,9.2971,9.3058,385070.0
2021-02-19,9.3232,9.6015,9.3232,9.5841,353326.0
2021-02-20,9.3232,9.6015,9.3232,9.5841,353326.0
2021-02-21,9.3232,9.6015,9.3232,9.5841,353326.0
2021-02-22,9.5493,9.8146,9.5493,9.7668,415027.0
2021-02-23,9.8189,10.1494,9.7076,9.9059,437784.0
2021-02-24,10.0016,10.2973,10.0016,10.0886,271423.0
2021-02-25,10.1929,10.2277,9.9755,9.9929,321725.0
2021-02-26,9.9842,10.1277,9.8189,9.8711,394315.0
2021-02-27,9.9842,10.1277,9.8189,9.8711,394315.0
2021-02-28,9.9842,10.1277,9.8189,9.8711,394315.0
2021-03-01,10.0712,10.1233,9.9494,10.0451,300515.0
2021-03-02,9.9136,10.0757,9.7207,9.9574,324207.0
2021-03-03,10.0714,10.5184,10.067,10.2291,456899.0
2021-03-04,10.2204,10.5272,10.2116,10.4395,572583.0
2021-03-05,10.5885,10.9216,10.5272,10.8865,606133.0
2021-03-06,10.5885,10.9216,10.5272,10.8865,606133.0
2021-03-07,10.5885,10.9216,10.5272,10.8865,606133.0
2021-03-08,11.1144,11.5089,10.9567,11.43,432993.0
2021-03-09,11.3599,11.3599,11.0838,11.2196,331999.0
2021-03-10,11.316,11.465,11.1758,11.4212,362690.0
2021-03-11,11.4388,11.4388,11.1495,11.4037,282388.0
2021-03-12,11.5176,11.6929,11.43,11.5702,242426.0
