,EA US Equity,EA US Equity,EA US Equity,EA US Equity,EA US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2021-09-24,125.2105,128.1476,125.0331,128.0293,2327378.0
2021-09-25,125.2105,128.1476,125.0331,128.0293,2327378.0
2021-09-26,125.2105,128.1476,125.0331,128.0293,2327378.0
2021-09-27,127.4084,130.651,127.0831,130.0794,3326994.0
2021-09-28,129.9611,133.0559,129.626,131.8436,4349772.0
2021-09-29,131.9224,137.5798,131.883,135.9535,5656553.0
2021-09-30,137.3038,142.0495,136.8504,140.2015,5018452.0
2021-10-01,139.8565,142.0347,137.5305,141.5222,3196229.0
2021-10-02,139.8565,142.0347,137.5305,141.5222,3196229.0
2021-10-03,139.8565,142.0347,137.5305,141.5222,3196229.0
2021-10-04,141.2955,143.3652,138.0036,141.0984,3215830.0
2021-10-05,141.0688,142.6458,140.5464,142.015,2682152.0
2021-10-06,141.5123,141.5123,130.9467,132.1393,8344344.0
2021-10-07,132.8193,136.1309,132.4645,135.6086,3627336.0
2021-10-08,135.5002,138.5358,135.4312,137.974,2163164.0
2021-10-09,135.5002,138.5358,135.4312,137.974,2163164.0
2021-10-10,135.5002,138.5358,135.4312,137.974,2163164.0
2021-10-11,137.905,138.5851,135.5297,137.4615,1908240.0
2021-10-12,137.5206,137.8163,134.0415,134.7018,3092043.0
2021-10-13,134.9877,135.7761,131.0355,134.4751,3097484.0
2021-10-14,134.7511,135.6776,132.6814,133.7557,2434432.0
2021-10-15,133.8936,134.7215,131.3508,132.8095,3298904.0
2021-10-16,133.8936,134.7215,131.3508,132.8095,3298904.0
2021-10-17,133.8936,134.7215,131.3508,132.8095,3298904.0
2021-10-18,132.7109,133.7754,132.2674,132.7701,1755898.0
2021-10-19,133.529,134.8004,132.5631,134.7807,1614628.0
2021-10-20,135.4805,137.3137,135.2341,137.1954,1763163.0
2021-10-21,137.2053,138.8118,136.2788,138.6048,1853825.0
2021-10-22,138.9695,142.084,138.5752,139.0385,2495305.0
2021-10-23,138.9695,142.084,138.5752,139.0385,2495305.0
2021-10-24,138.9695,142.084,138.5752,139.0385,2495305.0
2021-10-25,139.0779,141.7193,138.4767,140.1423,2155559.0
2021-10-26,140.8618,142.0347,139.6791,140.3493,1542995.0
2021-10-27,140.6253,140.7041,138.2894,138.3485,1696972.0
2021-10-28,138.2303,139.1567,137.0968,138.2106,1372571.0
2021-10-29,138.3978,138.8118,136.9096,138.2303,1990465.0
2021-10-30,138.3978,138.8118,136.9096,138.2303,1990465.0
2021-10-31,138.3978,138.8118,136.9096,138.2303,1990465.0
2021-11-01,138.8808,141.3448,138.0036,139.7284,2068342.0
2021-11-02,139.5165,139.7087,136.742,138.1514,2514665.0
2021-11-03,135.717,138.6935,134.4554,137.4911,3562328.0
2021-11-04,141.3103,144.6071,139.9551,140.4282,3496280.0
2021-11-05,142.1135,142.6162,136.6139,137.5601,2757821.0
2021-11-06,142.1135,142.6162,136.6139,137.5601,2757821.0
2021-11-07,142.1135,142.6162,136.6139,137.5601,2757821.0
2021-11-08,137.974,138.2993,135.6579,136.1704,2538269.0
2021-11-09,137.3432,138.9695,136.673,137.7769,1796079.0
2021-11-10,137.6586,139.9157,136.5055,137.2742,2058869.0
2021-11-11,138.1317,143.7102,137.7375,142.3698,3109450.0
2021-11-12,141.7883,144.479,141.4729,143.3455,1613575.0
2021-11-13,141.7883,144.479,141.4729,143.3455,1613575.0
2021-11-14,141.7883,144.479,141.4729,143.3455,1613575.0
2021-11-15,141.5419,142.3107,135.6579,139.2454,3850868.0
2021-11-16,139.137,141.2955,136.5745,137.5502,2977490.0
2021-11-17,136.6237,138.6738,135.6204,136.1507,2245866.0
2021-11-18,135.303,135.8353,133.1643,135.3523,4120538.0
2021-11-19,135.2833,135.441,130.2863,130.4835,3972541.0
2021-11-20,135.2833,135.441,130.2863,130.4835,3972541.0
2021-11-21,135.2833,135.441,130.2863,130.4835,3972541.0
2021-11-22,129.8034,129.9315,123.5054,124.4615,5198570.0
2021-11-23,123.9391,127.3493,123.7814,126.5608,3765512.0
2021-11-24,126.4031,126.7185,123.0126,124.8261,2851123.0
2021-11-25,126.4031,126.7185,123.0126,124.8261,2851123.0
2021-11-26,128.9164,129.0051,123.6631,124.1559,2264114.0
