,HZNP US Equity,HZNP US Equity,HZNP US Equity,HZNP US Equity,HZNP US Equity
2020-02-08,35.07,35.525,34.82,35.34,788962.0
2020-02-09,35.07,35.525,34.82,35.34,788962.0
2020-02-10,35.09,36.27,35.09,36.17,998121.0
2020-02-11,36.2,36.91,36.2,36.3,1349467.0
2020-02-12,36.29,36.55,35.8,36.4,1192323.0
2020-02-13,36.24,36.4,35.73,35.84,610625.0
2020-02-14,35.96,36.0,35.51,35.93,595396.0
2020-02-15,35.96,36.0,35.51,35.93,595396.0
2020-02-16,35.96,36.0,35.51,35.93,595396.0
2020-02-17,35.96,36.0,35.51,35.93,595396.0
2020-02-18,35.89,36.19,35.24,35.69,640981.0
2020-02-19,35.64,36.22,35.61,36.06,976094.0
2020-02-20,36.02,36.42,35.1935,36.04,1078991.0
2020-02-21,35.99,36.0,34.7501,35.5,1580864.0
2020-02-22,35.99,36.0,34.7501,35.5,1580864.0
2020-02-23,35.99,36.0,34.7501,35.5,1580864.0
2020-02-24,34.16,34.915,33.77,34.5,1182700.0
2020-02-25,34.59,35.04,33.66,33.88,2070912.0
2020-02-26,36.17,36.98,33.92,35.13,3106574.0
2020-02-27,34.81,35.56,33.84,34.06,2499085.0
2020-02-28,32.91,34.415,32.51,34.22,2245988.0
2020-02-29,32.91,34.415,32.51,34.22,2245988.0
2020-03-01,32.91,34.415,32.51,34.22,2245988.0
2020-03-02,34.43,35.2,33.19,35.2,1903753.0
2020-03-03,35.31,35.48,33.71,34.39,2035847.0
2020-03-04,35.0,36.85,34.33,36.83,2162800.0
2020-03-05,35.81,36.89,35.28,36.05,1732449.0
2020-03-06,34.98,35.505,34.31,35.08,1779823.0
2020-03-07,34.98,35.505,34.31,35.08,1779823.0
2020-03-08,34.98,35.505,34.31,35.08,1779823.0
2020-03-09,33.11,33.38,32.07,32.22,1355187.0
2020-03-10,33.23,33.3843,30.93,32.23,1509042.0
2020-03-11,31.54,31.96,29.6,30.51,1649017.0
2020-03-12,28.23,29.36,25.58,26.94,2491276.0
2020-03-13,28.11,29.22,26.6,29.04,3139910.0
2020-03-14,28.11,29.22,26.6,29.04,3139910.0
2020-03-15,28.11,29.22,26.6,29.04,3139910.0
2020-03-16,24.7,27.1,24.5467,26.18,2275006.0
2020-03-17,26.5,27.91,26.16,27.36,1911772.0
2020-03-18,25.86,26.87,23.81,25.46,2503156.0
2020-03-19,25.37,26.84,25.0,26.28,1981468.0
2020-03-20,26.49,27.21,24.665,25.01,2917910.0
2020-03-21,26.49,27.21,24.665,25.01,2917910.0
2020-03-22,26.49,27.21,24.665,25.01,2917910.0
2020-03-23,24.92,26.36,24.0,24.87,1791735.0
2020-03-24,25.99,27.6,25.28,27.03,1910467.0
2020-03-25,26.77,29.26,26.26,28.26,2219717.0
2020-03-26,28.35,29.62,27.73,28.4,2404827.0
2020-03-27,27.24,28.13,26.68,27.53,1423714.0
2020-03-28,27.24,28.13,26.68,27.53,1423714.0
2020-03-29,27.24,28.13,26.68,27.53,1423714.0
2020-03-30,28.18,29.8,27.39,29.35,1723968.0
2020-03-31,29.3,30.09,28.9,29.62,1593664.0
2020-04-01,28.91,30.365,28.07,30.195,3127534.0
2020-04-02,30.06,31.97,29.45,31.85,2158835.0
2020-04-03,31.57,32.27,30.61,31.37,3768334.0
2020-04-04,31.57,32.27,30.61,31.37,3768334.0
2020-04-05,31.57,32.27,30.61,31.37,3768334.0
2020-04-06,32.31,32.63,30.51,31.96,4198097.0
2020-04-07,32.51,32.9,30.39,30.76,2547202.0
2020-04-08,31.0,31.38,30.1,31.22,1809116.0
2020-04-09,31.54,32.0,30.17,31.03,1997402.0
2020-04-10,31.54,32.0,30.17,31.03,1997402.0
2020-04-11,31.54,32.0,30.17,31.03,1997402.0
2020-04-12,31.54,32.0,30.17,31.03,1997402.0
2020-04-13,30.93,31.3,30.0,30.54,3312495.0
2020-04-14,31.15,31.93,30.84,31.56,2844185.0
2020-04-15,31.07,32.2612,30.4,31.95,1332666.0
2020-04-16,32.2,32.95,31.6,32.83,1409346.0
2020-04-17,33.48,33.96,33.25,33.81,2077190.0
2020-04-18,33.48,33.96,33.25,33.81,2077190.0
2020-04-19,33.48,33.96,33.25,33.81,2077190.0
2020-04-20,33.57,34.87,32.6021,34.01,1687927.0
2020-04-21,33.63,34.14,32.54,32.59,972588.0
2020-04-22,33.0,34.25,32.99,33.85,1693197.0
2020-04-23,33.94,34.3,33.38,33.52,1056145.0
2020-04-24,33.73,34.0,33.05,33.29,3276996.0
2020-04-25,33.73,34.0,33.05,33.29,3276996.0
2020-04-26,33.73,34.0,33.05,33.29,3276996.0
2020-04-27,33.56,34.79,33.33,34.68,1480973.0
2020-04-28,35.0,35.32,33.38,33.67,1809394.0
2020-04-29,34.04,35.4,33.51,35.25,1689109.0
2020-04-30,35.0,36.21,34.5,36.04,1976331.0
2020-05-01,35.27,35.91,34.83,35.62,1405721.0
2020-05-02,35.27,35.91,34.83,35.62,1405721.0
2020-05-03,35.27,35.91,34.83,35.62,1405721.0
2020-05-04,35.66,36.5,35.04,36.295,1925540.0
2020-05-05,36.42,38.1,36.27,37.38,2242096.0
2020-05-06,41.19,43.9,40.0,42.6,11526737.0
2020-05-07,43.01,43.11,41.23,42.03,4175329.0
2020-05-08,41.63,44.27,41.525,43.44,3725354.0
2020-05-09,41.63,44.27,41.525,43.44,3725354.0
2020-05-10,41.63,44.27,41.525,43.44,3725354.0
2020-05-11,43.99,45.9,43.15,45.5,3800179.0
2020-05-12,45.55,47.0543,45.0,46.18,3490235.0
2020-05-13,46.46,46.88,44.25,45.28,2101161.0
2020-05-14,45.17,45.17,43.81,44.8,1948177.0
2020-05-15,44.64,47.2,44.565,47.07,3167587.0
2020-05-16,44.64,47.2,44.565,47.07,3167587.0
2020-05-17,44.64,47.2,44.565,47.07,3167587.0
2020-05-18,47.64,47.94,46.13,46.185,1600854.0
2020-05-19,46.0,47.22,45.67,46.21,1615968.0
2020-05-20,46.9,47.68,46.9,47.45,1553353.0
2020-05-21,47.89,48.41,47.25,47.93,1852769.0
2020-05-22,47.82,49.81,47.73,49.56,2468571.0
2020-05-23,47.82,49.81,47.73,49.56,2468571.0
2020-05-24,47.82,49.81,47.73,49.56,2468571.0
2020-05-25,47.82,49.81,47.73,49.56,2468571.0
2020-05-26,49.85,50.32,49.02,49.32,2374291.0
2020-05-27,48.89,49.4014,46.51,49.1,3337295.0
2020-05-28,48.85,49.49,48.5,48.75,1789155.0
2020-05-29,49.43,50.9,48.95,50.73,3012586.0
2020-05-30,49.43,50.9,48.95,50.73,3012586.0
2020-05-31,49.43,50.9,48.95,50.73,3012586.0
2020-06-01,50.23,50.82,49.21,49.89,1824799.0
2020-06-02,49.31,50.4,48.09,50.35,2457080.0
2020-06-03,50.08,50.49,48.63,48.82,2491563.0
2020-06-04,48.34,48.818,46.79,47.58,3395483.0
2020-06-05,47.55,48.45,47.05,48.12,2773441.0
2020-06-06,47.55,48.45,47.05,48.12,2773441.0
2020-06-07,47.55,48.45,47.05,48.12,2773441.0
2020-06-08,47.99,49.08,47.835,49.01,1836328.0
2020-06-09,49.1,49.655,48.11,48.16,2147947.0
2020-06-10,48.5,49.49,48.04,48.595,1930692.0
2020-06-11,48.05,48.29,45.65,46.0,1740318.0
2020-06-12,46.91,47.74,45.01,46.07,2236613.0
2020-06-13,46.91,47.74,45.01,46.07,2236613.0
2020-06-14,46.91,47.74,45.01,46.07,2236613.0
2020-06-15,45.9,47.13,45.28,47.07,1737219.0
2020-06-16,47.99,48.33,47.275,47.82,1967454.0
2020-06-17,48.32,48.49,47.965,48.15,1618757.0
2020-06-18,48.23,48.5,47.97,48.43,1078451.0
2020-06-19,49.08,50.0,48.98,49.97,4514747.0
2020-06-20,49.08,50.0,48.98,49.97,4514747.0
2020-06-21,49.08,50.0,48.98,49.97,4514747.0
2020-06-22,50.0,53.0,49.97,52.52,2885860.0
2020-06-23,52.79,54.0783,52.73,53.39,3091970.0
2020-06-24,54.07,55.3,52.92,55.0,5398365.0
2020-06-25,55.0,57.34,54.68,56.98,4645157.0
2020-06-26,56.35,57.3,54.71,55.08,7953086.0
2020-06-27,56.35,57.3,54.71,55.08,7953086.0
2020-06-28,56.35,57.3,54.71,55.08,7953086.0
2020-06-29,55.16,56.595,54.79,55.28,2589697.0
2020-06-30,54.86,57.0,54.61,55.58,4050183.0
2020-07-01,55.48,55.78,54.14,55.23,2158398.0
2020-07-02,55.26,56.14,54.65,55.24,2088921.0
2020-07-03,55.26,56.14,54.65,55.24,2088921.0
2020-07-04,55.26,56.14,54.65,55.24,2088921.0
2020-07-05,55.26,56.14,54.65,55.24,2088921.0
2020-07-06,55.47,59.19,55.47,58.11,3585896.0
2020-07-07,58.07,58.7257,57.2,57.29,2930544.0
2020-07-08,57.84,58.78,57.63,58.76,1805975.0
2020-07-09,59.02,59.21,56.89,58.0,1905287.0
2020-07-10,57.74,57.98,56.34,57.23,2215730.0
2020-07-11,57.74,57.98,56.34,57.23,2215730.0
2020-07-12,57.74,57.98,56.34,57.23,2215730.0
2020-07-13,57.92,58.33,55.3,55.85,2391769.0
2020-07-14,56.31,56.33,54.2737,56.17,1871382.0
2020-07-15,56.36,57.09,55.88,56.92,1441150.0
2020-07-16,56.49,57.24,56.36,57.06,1017725.0
2020-07-17,57.3661,58.26,56.97,57.88,1335229.0
2020-07-18,57.3661,58.26,56.97,57.88,1335229.0
2020-07-19,57.3661,58.26,56.97,57.88,1335229.0
2020-07-20,58.47,58.94,57.83,58.81,1243945.0
2020-07-21,58.99,59.26,58.07,58.26,2286066.0
2020-07-22,59.17,61.6,59.1088,60.05,3025344.0
2020-07-23,60.73,61.15,58.36,58.76,1412583.0
2020-07-24,58.2,58.55,56.2,58.47,2071079.0
2020-07-25,58.2,58.55,56.2,58.47,2071079.0
2020-07-26,58.2,58.55,56.2,58.47,2071079.0
2020-07-27,59.23,59.9,58.06,58.9,1637489.0
2020-07-28,59.2,60.54,58.665,59.28,1742961.0
2020-07-29,59.52,60.63,59.33,60.39,1587537.0
2020-07-30,60.11,62.31,60.11,62.03,1736374.0
2020-07-31,63.72,63.72,60.3,61.19,1955728.0
2020-08-01,63.72,63.72,60.3,61.19,1955728.0
2020-08-02,63.72,63.72,60.3,61.19,1955728.0
2020-08-03,62.1,63.36,61.88,63.07,1775849.0
2020-08-04,62.59,63.72,60.82,61.79,2271128.0
2020-08-05,73.35,77.4499,70.0,76.38,7813740.0
2020-08-06,75.2,75.87,69.2017,72.22,5377577.0
2020-08-07,71.79,78.93,71.6,76.06,11514692.0
2020-08-08,71.79,78.93,71.6,76.06,11514692.0
2020-08-09,71.79,78.93,71.6,76.06,11514692.0
2020-08-10,76.4,77.79,75.42,75.84,3591663.0
2020-08-11,76.0,76.0,70.76,71.67,4491831.0
2020-08-12,72.09,73.33,71.79,72.65,1608949.0
2020-08-13,72.51,73.66,71.71,72.41,1329936.0
2020-08-14,72.78,73.83,72.0301,72.82,1102805.0
2020-08-15,72.78,73.83,72.0301,72.82,1102805.0
2020-08-16,72.78,73.83,72.0301,72.82,1102805.0
2020-08-17,72.5735,74.97,72.57,74.63,1791845.0
2020-08-18,74.53,75.0,71.4,73.17,1739310.0
2020-08-19,73.53,74.9,72.11,74.26,1520623.0
2020-08-20,74.06,75.65,73.61,75.12,1125474.0
2020-08-21,74.8,75.76,74.28,75.35,1186351.0
2020-08-22,74.8,75.76,74.28,75.35,1186351.0
2020-08-23,74.8,75.76,74.28,75.35,1186351.0
2020-08-24,75.86,76.53,73.05,73.29,2072210.0
2020-08-25,72.73,73.98,72.45,73.72,1000819.0
2020-08-26,73.67,73.94,72.21,73.07,1179782.0
2020-08-27,75.38,75.48,72.53,73.33,1929889.0
2020-08-28,73.2,73.82,72.16,72.44,1023385.0
2020-08-29,73.2,73.82,72.16,72.44,1023385.0
2020-08-30,73.2,73.82,72.16,72.44,1023385.0
2020-08-31,73.0,75.93,72.54,75.12,1907407.0
2020-09-01,75.77,77.36,75.04,75.47,1787371.0
2020-09-02,75.54,75.84,72.7839,75.38,1441987.0
2020-09-03,74.16,74.5,71.34,72.2,1390866.0
2020-09-04,71.85,73.05,66.5,71.53,2033947.0
2020-09-05,71.85,73.05,66.5,71.53,2033947.0
2020-09-06,71.85,73.05,66.5,71.53,2033947.0
2020-09-07,71.85,73.05,66.5,71.53,2033947.0
2020-09-08,71.27,71.62,69.42,69.7,1682669.0
2020-09-09,71.2513,73.08,70.85,72.51,1801289.0
2020-09-10,72.59,73.37,70.54,70.79,2549326.0
2020-09-11,70.94,71.79,69.88,70.54,1341720.0
2020-09-12,70.94,71.79,69.88,70.54,1341720.0
2020-09-13,70.94,71.79,69.88,70.54,1341720.0
2020-09-14,72.06,76.85,71.515,76.6,3119795.0
2020-09-15,78.13,79.87,76.96,78.97,3273159.0
2020-09-16,78.88,79.42,76.57,77.79,2313175.0
2020-09-17,76.32,78.455,75.73,77.96,1605236.0
2020-09-18,79.0,81.1799,78.14,79.93,4139770.0
2020-09-19,79.0,81.1799,78.14,79.93,4139770.0
2020-09-20,79.0,81.1799,78.14,79.93,4139770.0
2020-09-21,78.98,80.37,76.74,78.84,2262369.0
2020-09-22,79.2,79.2868,76.8926,78.16,1641273.0
2020-09-23,78.43,82.6,78.05,79.78,3586509.0
2020-09-24,79.0,79.21,73.88,75.33,2253678.0
2020-09-25,75.69,78.5,74.76,78.25,1498270.0
2020-09-26,75.69,78.5,74.76,78.25,1498270.0
2020-09-27,75.69,78.5,74.76,78.25,1498270.0
2020-09-28,80.5,80.54,78.01,79.67,2084588.0
2020-09-29,79.31,80.015,78.0242,78.16,1548771.0
2020-09-30,78.16,78.73,77.29,77.68,1867957.0
2020-10-01,79.1,81.21,78.32,80.42,3523750.0
2020-10-02,78.4,80.835,78.38,79.82,1498879.0
2020-10-03,78.4,80.835,78.38,79.82,1498879.0
2020-10-04,78.4,80.835,78.38,79.82,1498879.0
2020-10-05,80.48,82.79,80.24,81.56,1872025.0
2020-10-06,79.4,81.94,79.4,80.1,1566979.0
2020-10-07,81.08,81.25,79.0132,80.54,2125382.0
2020-10-08,81.67,84.17,80.18,83.45,1844269.0
2020-10-09,84.67,86.67,82.845,84.39,1958172.0
2020-10-10,84.67,86.67,82.845,84.39,1958172.0
2020-10-11,84.67,86.67,82.845,84.39,1958172.0
2020-10-12,85.4,85.42,80.83,81.36,2320248.0
2020-10-13,81.56,82.06,79.61,80.11,1947855.0
2020-10-14,80.35,81.02,78.395,80.31,1459999.0
2020-10-15,78.73,80.29,77.7,79.33,1251228.0
2020-10-16,79.62,81.4099,79.53,79.63,1254592.0
2020-10-17,79.62,81.4099,79.53,79.63,1254592.0
2020-10-18,79.62,81.4099,79.53,79.63,1254592.0
2020-10-19,80.13,80.36,77.505,78.46,2012789.0
2020-10-20,78.47,79.0,73.33,74.31,4245974.0
2020-10-21,76.0,77.6,73.675,74.27,2870807.0
2020-10-22,73.5,77.72,73.5,76.06,1985661.0
2020-10-23,75.94,78.04,75.94,77.44,2026062.0
2020-10-24,75.94,78.04,75.94,77.44,2026062.0
2020-10-25,75.94,78.04,75.94,77.44,2026062.0
2020-10-26,77.37,78.19,76.3,77.27,1800641.0
2020-10-27,77.8,78.9476,77.19,78.15,1521319.0
2020-10-28,77.18,77.91,74.79,77.26,1722361.0
2020-10-29,77.68,78.59,75.27,77.72,2294592.0
2020-10-30,76.81,77.94,73.75,74.93,2870404.0
2020-10-31,76.81,77.94,73.75,74.93,2870404.0
2020-11-01,76.81,77.94,73.75,74.93,2870404.0
2020-11-02,73.08,75.36,70.54,73.67,5480616.0
2020-11-03,74.24,74.665,72.02,73.45,2304496.0
2020-11-04,74.84,82.34,74.8,80.92,4559288.0
2020-11-05,81.67,82.0,77.69,78.82,2012725.0
2020-11-06,78.9,78.9,75.0,75.47,2671825.0
2020-11-07,78.9,78.9,75.0,75.47,2671825.0
2020-11-08,78.9,78.9,75.0,75.47,2671825.0
2020-11-09,75.68,76.0,70.07,71.32,2868014.0
2020-11-10,71.12,72.605,68.5,72.3,3029929.0
2020-11-11,73.88,76.53,73.605,76.19,2301764.0
2020-11-12,75.86,76.97,73.14,73.62,1508782.0
2020-11-13,74.11,75.22,72.18,72.35,1406830.0
2020-11-14,74.11,75.22,72.18,72.35,1406830.0
2020-11-15,74.11,75.22,72.18,72.35,1406830.0
2020-11-16,71.05,72.06,70.325,70.88,2303918.0
2020-11-17,71.08,72.44,69.8,71.47,2231782.0
2020-11-18,71.56,72.64,69.82,70.06,1594500.0
2020-11-19,70.83,71.75,70.16,71.09,2101285.0
2020-11-20,71.64,71.64,69.82,70.15,2432001.0
2020-11-21,71.64,71.64,69.82,70.15,2432001.0
2020-11-22,71.64,71.64,69.82,70.15,2432001.0
2020-11-23,70.05,70.82,68.98,70.05,2394405.0
2020-11-24,69.61,70.37,68.5,69.04,3154791.0
2020-11-25,69.425,70.31,67.77,68.9,2873637.0
2020-11-26,69.425,70.31,67.77,68.9,2873637.0
2020-11-27,69.74,70.98,69.74,70.55,2395740.0
2020-11-28,69.74,70.98,69.74,70.55,2395740.0
2020-11-29,69.74,70.98,69.74,70.55,2395740.0
2020-11-30,71.34,72.24,69.75,70.43,13459125.0
2020-12-01,71.52,71.66,68.04,68.52,3162869.0
2020-12-02,68.92,71.575,67.66,69.54,1946014.0
2020-12-03,70.0,71.32,68.43,71.22,3316150.0
2020-12-04,71.5135,73.8581,71.4,71.72,3015050.0
2020-12-05,71.5135,73.8581,71.4,71.72,3015050.0
2020-12-06,71.5135,73.8581,71.4,71.72,3015050.0
2020-12-07,72.51,72.67,69.58,69.87,1641563.0
2020-12-08,70.56,71.66,69.83,71.47,1077629.0
2020-12-09,71.57,72.73,69.45,70.1,1336793.0
2020-12-10,69.875,73.93,69.46,73.55,2396572.0
2020-12-11,73.2,75.77,73.2,75.57,1992435.0
2020-12-12,73.2,75.77,73.2,75.57,1992435.0
2020-12-13,73.2,75.77,73.2,75.57,1992435.0
2020-12-14,76.93,80.7,76.44,77.87,2696204.0
2020-12-15,78.0,78.352,75.88,77.1,1714585.0
2020-12-16,77.58,77.66,75.51,76.69,1783470.0
2020-12-17,71.0,71.277,68.5,69.31,10352639.0
2020-12-18,70.5,70.7,68.38,69.68,5793132.0
2020-12-19,70.5,70.7,68.38,69.68,5793132.0
2020-12-20,70.5,70.7,68.38,69.68,5793132.0
2020-12-21,69.0,69.54,66.41,67.0,4703030.0
2020-12-22,67.36,68.42,66.47,68.14,2143866.0
2020-12-23,67.35,68.25,66.91,67.67,4480517.0
2020-12-24,68.14,69.42,67.98,68.92,523185.0
2020-12-25,68.14,69.42,67.98,68.92,523185.0
2020-12-26,68.14,69.42,67.98,68.92,523185.0
2020-12-27,68.14,69.42,67.98,68.92,523185.0
2020-12-28,69.63,70.79,68.52,70.27,2189709.0
2020-12-29,70.94,72.12,69.2,69.86,2129179.0
2020-12-30,70.36,73.3,70.12,72.34,1428968.0
2020-12-31,72.35,73.31,71.18,73.15,1810766.0
2021-01-01,72.35,73.31,71.18,73.15,1810766.0
2021-01-02,72.35,73.31,71.18,73.15,1810766.0
2021-01-03,72.35,73.31,71.18,73.15,1810766.0
2021-01-04,72.93,73.0,70.88,72.54,1620981.0
2021-01-05,72.5,73.47,71.63,73.28,1520086.0
2021-01-06,71.51,75.84,71.32,75.21,1722544.0
2021-01-07,75.045,79.73,74.62,79.6,2032177.0
2021-01-08,79.31,80.58,78.0297,79.54,1795113.0
2021-01-09,79.31,80.58,78.0297,79.54,1795113.0
2021-01-10,79.31,80.58,78.0297,79.54,1795113.0
2021-01-11,78.42,78.93,76.67,78.69,1460767.0
2021-01-12,79.31,81.18,77.69,78.73,2241189.0
2021-01-13,78.99,79.06,77.0,77.1,1493734.0
2021-01-14,77.29,79.38,77.015,78.91,921049.0
2021-01-15,79.1,79.32,76.8,78.72,1414549.0
2021-01-16,79.1,79.32,76.8,78.72,1414549.0
2021-01-17,79.1,79.32,76.8,78.72,1414549.0
2021-01-18,79.1,79.32,76.8,78.72,1414549.0
2021-01-19,79.3,82.4,79.2,81.2,2326000.0
2021-01-20,82.17,82.58,78.75,80.43,4268906.0
2021-01-21,81.13,81.22,75.75,77.43,2005268.0
2021-01-22,76.81,78.22,75.75,77.73,1618435.0
2021-01-23,76.81,78.22,75.75,77.73,1618435.0
2021-01-24,76.81,78.22,75.75,77.73,1618435.0
2021-01-25,78.2,79.4,76.43,78.51,1571282.0
2021-01-26,79.02,79.02,74.75,74.97,3223565.0
2021-01-27,74.25,75.0,70.15,71.83,2536802.0
2021-01-28,71.83,74.01,70.87,73.13,1399616.0
2021-01-29,72.55,73.9999,71.53,72.48,1166327.0
2021-01-30,72.55,73.9999,71.53,72.48,1166327.0
2021-01-31,72.55,73.9999,71.53,72.48,1166327.0
2021-02-01,73.0,77.48,70.35,77.04,3247169.0
2021-02-02,82.67,85.57,81.63,84.49,5671663.0
2021-02-03,83.44,86.01,83.06,83.73,2044254.0
2021-02-04,85.74,87.49,84.27,85.87,1626615.0
2021-02-05,85.62,87.97,84.0015,85.22,1490667.0
2021-02-06,85.62,87.97,84.0015,85.22,1490667.0
2021-02-07,85.62,87.97,84.0015,85.22,1490667.0
2021-02-08,85.39,89.05,85.39,88.46,2668712.0
2021-02-09,88.9,89.0,86.3201,86.98,1391173.0
2021-02-10,87.98,88.1999,84.23,86.31,1511574.0
2021-02-11,87.36,91.38,87.22,91.15,2283824.0
2021-02-12,90.24,90.735,88.09,90.53,1302312.0
2021-02-13,90.24,90.735,88.09,90.53,1302312.0
2021-02-14,90.24,90.735,88.09,90.53,1302312.0
2021-02-15,90.24,90.735,88.09,90.53,1302312.0
2021-02-16,91.1,91.76,86.18,86.96,1599918.0
2021-02-17,86.57,87.8,85.7,87.17,1350806.0
2021-02-18,86.69,87.92,85.79,86.87,846208.0
2021-02-19,87.67,89.65,87.06,88.87,1568605.0
2021-02-20,87.67,89.65,87.06,88.87,1568605.0
2021-02-21,87.67,89.65,87.06,88.87,1568605.0
2021-02-22,88.6,88.6,83.64,83.76,1654904.0
2021-02-23,82.08,84.79,80.3,84.28,2195910.0
2021-02-24,87.2,96.54,85.72,95.48,4165437.0
2021-02-25,94.71,94.99,89.77,90.57,3547611.0
2021-02-26,91.83,93.3,89.77,90.91,3133976.0
2021-02-27,91.83,93.3,89.77,90.91,3133976.0
2021-02-28,91.83,93.3,89.77,90.91,3133976.0
2021-03-01,91.785,92.235,90.73,91.91,1476360.0
2021-03-02,92.61,95.49,90.8884,94.49,2443177.0
2021-03-03,95.0,95.2399,89.35,91.01,1727804.0
2021-03-04,90.17,91.0,85.59,86.19,2433145.0
2021-03-05,87.5,89.5,81.44,88.65,1868416.0
2021-03-06,87.5,89.5,81.44,88.65,1868416.0
2021-03-07,87.5,89.5,81.44,88.65,1868416.0
2021-03-08,88.49,88.84,86.1,86.77,1511815.0
2021-03-09,88.3,90.34,87.435,88.35,1120504.0
2021-03-10,89.78,90.93,88.01,89.24,1042375.0
2021-03-11,89.59,91.62,89.46,90.39,996837.0
2021-03-12,90.5,91.97,89.1,91.78,911235.0
2021-03-13,90.5,91.97,89.1,91.78,911235.0
2021-03-14,90.5,91.97,89.1,91.78,911235.0
2021-03-15,92.24,93.05,90.46,92.49,1401193.0
2021-03-16,92.5,93.07,87.9312,88.59,1226383.0
2021-03-17,87.29,92.34,86.59,91.13,2157236.0
2021-03-18,91.15,91.15,88.01,88.15,1960364.0
2021-03-19,89.1,90.65,88.4,89.58,4730247.0
2021-03-20,89.1,90.65,88.4,89.58,4730247.0
2021-03-21,89.1,90.65,88.4,89.58,4730247.0
2021-03-22,89.25,91.1,88.43,90.38,2310421.0
2021-03-23,90.01,90.505,85.65,86.19,2364654.0
2021-03-24,87.21,87.21,81.02,82.12,1980188.0
2021-03-25,81.595,84.0,80.12,83.2,1895569.0
2021-03-26,83.92,83.97,80.728,83.01,2067401.0
2021-03-27,83.92,83.97,80.728,83.01,2067401.0
2021-03-28,83.92,83.97,80.728,83.01,2067401.0
2021-03-29,83.3,83.64,79.805,80.18,1566118.0
2021-03-30,83.23,87.69,83.0,87.13,2992339.0
2021-03-31,88.25,92.93,88.13,92.04,3583587.0
2021-04-01,92.1,93.73,90.07,90.5,1781731.0
2021-04-02,92.1,93.73,90.07,90.5,1781731.0
2021-04-03,92.1,93.73,90.07,90.5,1781731.0
2021-04-04,92.1,93.73,90.07,90.5,1781731.0
2021-04-05,91.13,92.0,89.89,90.82,938102.0
2021-04-06,90.42,93.53,89.65,89.99,1293741.0
2021-04-07,89.6,90.05,88.57,88.69,1078310.0
2021-04-08,90.2,92.46,89.03,91.0,1621162.0
2021-04-09,90.6,92.425,90.6,91.48,1046042.0
2021-04-10,90.6,92.425,90.6,91.48,1046042.0
2021-04-11,90.6,92.425,90.6,91.48,1046042.0
2021-04-12,90.28,91.13,88.0301,89.79,1206919.0
2021-04-13,90.32,92.39,89.0502,91.62,1225328.0
2021-04-14,92.2,93.97,90.881,91.45,1558927.0
2021-04-15,92.64,95.88,92.53,93.51,1451233.0
2021-04-16,93.11,93.8,89.38,93.27,2197255.0
2021-04-17,93.11,93.8,89.38,93.27,2197255.0
2021-04-18,93.11,93.8,89.38,93.27,2197255.0
2021-04-19,93.11,93.96,90.09,90.26,1301546.0
2021-04-20,90.35,91.26,88.2,91.06,1250535.0
2021-04-21,91.84,93.74,91.07,93.55,1199892.0
