,ACN US Equity,ACN US Equity,ACN US Equity,ACN US Equity,ACN US Equity
2019-01-30,141.1365,142.9688,140.5027,142.5894,1679363.0
2019-01-31,142.0434,143.3412,141.6918,142.0897,2115623.0
2019-02-01,142.7374,143.635,142.1914,143.1908,1957430.0
2019-02-02,142.7374,143.635,142.1914,143.1908,1957430.0
2019-02-03,142.7374,143.635,142.1914,143.1908,1957430.0
2019-02-04,143.4314,144.949,142.7189,144.8658,1666079.0
2019-02-05,145.0508,145.6616,144.8658,145.5783,1985677.0
2019-02-06,145.421,146.2333,145.1804,145.4302,1375103.0
2019-02-07,144.218,144.3568,142.6819,143.598,2109947.0
2019-02-08,142.6449,144.3105,142.5246,143.9774,2300033.0
2019-02-09,142.6449,144.3105,142.5246,143.9774,2300033.0
2019-02-10,142.6449,144.3105,142.5246,143.9774,2300033.0
2019-02-11,144.3568,145.5598,143.4499,143.7276,1410528.0
2019-02-12,144.3846,145.3099,144.0237,144.9398,1861254.0
2019-02-13,145.2822,146.7072,145.1526,146.2353,1952140.0
2019-02-14,145.9484,146.9825,145.0416,146.0687,1552961.0
2019-02-15,147.2069,147.4383,146.4204,147.3457,2395244.0
2019-02-16,147.2069,147.4383,146.4204,147.3457,2395244.0
2019-02-17,147.2069,147.4383,146.4204,147.3457,2395244.0
2019-02-18,147.2069,147.4383,146.4204,147.3457,2395244.0
2019-02-19,146.772,148.1508,146.3833,147.5771,1656522.0
2019-02-20,147.8547,148.1693,146.6072,147.7899,1942259.0
2019-02-21,147.6696,148.1045,147.0219,147.6233,1835727.0
2019-02-22,148.2248,149.7517,148.0213,149.4463,1679308.0
2019-02-23,148.2248,149.7517,148.0213,149.4463,1679308.0
2019-02-24,148.2248,149.7517,148.0213,149.4463,1679308.0
2019-02-25,149.9645,150.2884,149.4741,149.6036,1368003.0
2019-02-26,149.5573,150.3717,149.016,149.2982,1526192.0
2019-02-27,148.8448,149.2242,148.1786,148.6412,1536250.0
2019-02-28,148.8911,149.909,148.4192,149.3353,2017270.0
2019-03-01,150.8344,152.5925,150.5374,151.9448,2227605.0
2019-03-02,150.8344,152.5925,150.5374,151.9448,2227605.0
2019-03-03,150.8344,152.5925,150.5374,151.9448,2227605.0
2019-03-04,152.4537,152.611,148.9003,150.6678,1896316.0
2019-03-05,150.8066,151.6764,150.3902,151.4543,1564943.0
2019-03-06,151.8152,151.8152,150.2236,150.2699,1733268.0
2019-03-07,150.1033,150.3254,148.78,149.7702,1654983.0
2019-03-08,148.9836,149.7332,148.5209,149.6221,1458083.0
2019-03-09,148.9836,149.7332,148.5209,149.6221,1458083.0
2019-03-10,148.9836,149.7332,148.5209,149.6221,1458083.0
2019-03-11,150.3532,151.8245,149.8998,151.7042,1240427.0
2019-03-12,152.2131,153.4439,151.5006,151.7505,2351166.0
2019-03-13,152.6573,152.9481,151.4451,151.8615,2095157.0
2019-03-14,152.1854,152.6203,151.8615,152.5185,2270066.0
2019-03-15,152.6851,154.5728,152.5925,153.9713,3737186.0
2019-03-16,152.6851,154.5728,152.5925,153.9713,3737186.0
2019-03-17,152.6851,154.5728,152.5925,153.9713,3737186.0
2019-03-18,154.3045,154.943,152.8146,154.0083,1592110.0
2019-03-19,154.6376,155.1187,153.1755,153.7955,1949569.0
2019-03-20,153.9806,154.7764,152.5093,153.8603,2128784.0
2019-03-21,152.8516,156.3125,152.8516,155.6833,1666372.0
2019-03-22,155.2761,155.8498,152.7869,152.9072,1602613.0
2019-03-23,155.2761,155.8498,152.7869,152.9072,1602613.0
2019-03-24,155.2761,155.8498,152.7869,152.9072,1602613.0
2019-03-25,152.6666,153.12,151.7597,152.7591,1769893.0
2019-03-26,154.0546,155.091,153.5549,154.4803,1777791.0
2019-03-27,154.5358,155.2761,153.0275,154.0454,2376173.0
2019-03-28,158.1632,164.2429,157.7561,162.0498,5398714.0
2019-03-29,162.2163,163.7617,161.8925,162.8826,2773014.0
2019-03-30,162.2163,163.7617,161.8925,162.8826,2773014.0
2019-03-31,162.2163,163.7617,161.8925,162.8826,2773014.0
2019-04-01,162.4014,163.3453,161.7398,163.1602,2977921.0
2019-04-02,162.7068,163.373,161.5269,162.2811,1923551.0
2019-04-03,162.7715,164.1503,162.3829,163.9653,2481837.0
2019-04-04,163.9653,164.1966,162.7345,163.9375,2270157.0
2019-04-05,164.1966,165.1035,163.8265,164.8536,1861494.0
2019-04-06,164.1966,165.1035,163.8265,164.8536,1861494.0
2019-04-07,164.1966,165.1035,163.8265,164.8536,1861494.0
2019-04-08,164.4094,165.7096,164.1318,165.5569,1373468.0
2019-04-09,164.4835,165.1497,164.0486,164.465,1813989.0
2019-04-10,164.9595,165.8459,164.3064,165.1461,1582598.0
2019-04-11,165.3141,166.5177,165.0528,166.415,1417211.0
2019-04-12,166.5457,167.3481,165.8925,166.6763,2663423.0
2019-04-13,166.5457,167.3481,165.8925,166.6763,2663423.0
2019-04-14,166.5457,167.3481,165.8925,166.6763,2663423.0
2019-04-15,166.4617,167.6047,166.0278,167.2921,1619779.0
2019-04-16,167.7586,167.8519,166.3217,167.0682,1618240.0
2019-04-17,167.5533,167.9452,166.9189,166.9655,1637446.0
2019-04-18,166.7509,167.0122,165.51,166.6483,1319677.0
2019-04-19,166.7509,167.0122,165.51,166.6483,1319677.0
2019-04-20,166.7509,167.0122,165.51,166.6483,1319677.0
2019-04-21,166.7509,167.0122,165.51,166.6483,1319677.0
2019-04-22,165.3794,166.3124,165.1648,166.1445,1393852.0
2019-04-23,166.2658,168.4584,166.0372,168.3931,1785525.0
2019-04-24,168.7476,169.2608,168.1971,168.701,1464283.0
2019-04-25,168.4864,168.4864,166.6483,167.8986,1035343.0
2019-04-26,168.0572,168.7383,167.0962,168.7196,1010262.0
2019-04-27,168.0572,168.7383,167.0962,168.7196,1010262.0
2019-04-28,168.0572,168.7383,167.0962,168.7196,1010262.0
2019-04-29,168.673,169.5538,168.5423,169.0742,1111861.0
2019-04-30,169.4194,170.5857,169.0369,170.4364,1535810.0
2019-05-01,170.9309,171.0709,169.1488,169.1675,1242440.0
2019-05-02,168.8782,170.1192,166.5363,167.3761,1889915.0
2019-05-03,165.1741,166.0418,164.6952,165.1275,2680151.0
2019-05-04,165.1741,166.0418,164.6952,165.1275,2680151.0
2019-05-05,165.1741,166.0418,164.6952,165.1275,2680151.0
2019-05-06,162.1884,165.0248,161.3114,164.4557,1630188.0
2019-05-07,163.2054,163.42,160.8169,162.2911,2308518.0
2019-05-08,162.4123,163.5133,161.5633,162.1791,1984874.0
2019-05-09,160.5743,162.8882,159.9118,162.7762,2044771.0
2019-05-10,162.0858,163.2567,159.2401,162.6269,2139599.0
2019-05-11,162.0858,163.2567,159.2401,162.6269,2139599.0
2019-05-12,162.0858,163.2567,159.2401,162.6269,2139599.0
2019-05-13,159.9118,160.481,158.9393,159.5666,1853848.0
2019-05-14,160.397,163.0655,160.397,161.9832,2181155.0
2019-05-15,160.6769,164.3437,160.6443,163.6533,2060834.0
2019-05-16,164.465,167.712,164.3157,166.2378,2232076.0
2019-05-17,164.577,167.1895,164.577,166.3871,1551054.0
2019-05-18,164.577,167.1895,164.577,166.3871,1551054.0
2019-05-19,164.577,167.1895,164.577,166.3871,1551054.0
2019-05-20,165.1275,167.4507,164.6275,166.583,1566035.0
2019-05-21,167.5813,167.9452,166.8349,167.544,1224851.0
2019-05-22,167.3108,169.2328,167.1895,168.3091,1212257.0
2019-05-23,166.9562,166.9562,164.6236,166.3311,1250242.0
2019-05-24,167.5347,168.2531,166.6763,166.8349,1288052.0
2019-05-25,167.5347,168.2531,166.6763,166.8349,1288052.0
2019-05-26,167.5347,168.2531,166.6763,166.8349,1288052.0
2019-05-27,167.5347,168.2531,166.6763,166.8349,1288052.0
2019-05-28,167.2548,168.0478,165.8925,166.443,2336466.0
2019-05-29,165.7433,166.7323,164.7822,165.7153,1547740.0
2019-05-30,165.7619,167.4414,165.7619,166.8442,1047890.0
2019-05-31,165.5846,166.667,164.6671,166.1445,1799587.0
2019-06-01,165.5846,166.667,164.6671,166.1445,1799587.0
2019-06-02,165.5846,166.667,164.6671,166.1445,1799587.0
2019-06-03,165.9579,166.415,162.5616,163.4294,1774584.0
2019-06-04,165.398,166.0978,163.9985,166.0512,2269684.0
2019-06-05,167.4041,168.2718,166.443,167.5347,1492153.0
2019-06-06,167.9452,168.8596,167.3201,168.3184,1737729.0
2019-06-07,169.466,171.8919,169.1302,170.6697,1965930.0
2019-06-08,169.466,171.8919,169.1302,170.6697,1965930.0
2019-06-09,169.466,171.8919,169.1302,170.6697,1965930.0
2019-06-10,171.9852,172.8623,171.4254,172.0879,1524978.0
2019-06-11,173.3195,174.1736,170.8096,171.0895,1423354.0
2019-06-12,171.3228,172.6757,170.9496,172.2278,1402136.0
2019-06-13,173.4221,173.6367,171.9013,172.5637,1323687.0
2019-06-14,172.2931,173.3848,171.808,172.5824,1864791.0
2019-06-15,172.2931,173.3848,171.808,172.5824,1864791.0
2019-06-16,172.2931,173.3848,171.808,172.5824,1864791.0
2019-06-17,172.6104,172.9183,171.4721,171.584,1177874.0
2019-06-18,172.601,173.2335,171.9479,172.1438,1972568.0
2019-06-19,172.3584,172.9649,171.2201,171.6307,2023532.0
2019-06-20,172.4144,174.4391,172.1252,174.0286,2121985.0
2019-06-21,174.5697,174.7647,172.7876,173.1329,3306585.0
2019-06-22,174.5697,174.7647,172.7876,173.1329,3306585.0
2019-06-23,174.5697,174.7647,172.7876,173.1329,3306585.0
2019-06-24,173.6087,174.6164,173.1515,173.646,1703151.0
2019-06-25,174.0286,174.1592,172.1252,172.5171,1863549.0
2019-06-26,173.1982,173.4781,171.0335,171.0335,2395277.0
2019-06-27,166.8256,170.8469,166.0698,170.7443,3434646.0
2019-06-28,171.8919,173.0769,170.623,172.3958,2937898.0
2019-06-29,171.8919,173.0769,170.623,172.3958,2937898.0
2019-06-30,171.8919,173.0769,170.623,172.3958,2937898.0
2019-07-01,172.4517,174.4405,172.0785,174.3551,2404744.0
2019-07-02,174.3924,176.0999,173.7673,175.9693,2123522.0
2019-07-03,176.6504,178.1805,175.5027,178.1805,1106937.0
2019-07-04,176.6504,178.1805,175.5027,178.1805,1106937.0
2019-07-05,177.2009,178.899,175.6427,178.5724,2111254.0
2019-07-06,177.2009,178.899,175.6427,178.5724,2111254.0
2019-07-07,177.2009,178.899,175.6427,178.5724,2111254.0
2019-07-08,178.2645,178.3392,177.1449,177.5647,1877198.0
2019-07-09,176.4078,178.3485,176.4078,178.2925,1732512.0
2019-07-10,178.6844,179.2255,178.1899,178.871,1584398.0
2019-07-11,179.5987,181.6327,179.3702,181.6327,1922228.0
2019-07-12,181.9406,183.0883,180.8377,183.0696,2059365.0
2019-07-13,181.9406,183.0883,180.8377,183.0696,2059365.0
2019-07-14,181.9406,183.0883,180.8377,183.0696,2059365.0
2019-07-15,183.0789,183.2096,182.0153,182.2392,1267005.0
2019-07-16,182.0806,182.5005,180.4291,181.2409,1460054.0
2019-07-17,181.7914,182.0433,180.5784,180.8303,1557712.0
2019-07-18,180.7184,182.5378,180.2519,181.7727,1562376.0
2019-07-19,181.782,182.8364,180.877,180.9423,1583180.0
2019-07-20,181.782,182.8364,180.877,180.9423,1583180.0
2019-07-21,181.782,182.8364,180.877,180.9423,1583180.0
2019-07-22,181.6141,182.3139,181.2969,181.4181,1090004.0
2019-07-23,182.2392,182.4025,180.0746,181.4368,1111757.0
2019-07-24,181.0076,181.5208,179.9626,181.4461,1250881.0
2019-07-25,181.95,182.5005,180.7184,181.9127,1531045.0
2019-07-26,182.0339,183.8347,181.5488,183.7414,1255354.0
2019-07-27,182.0339,183.8347,181.5488,183.7414,1255354.0
2019-07-28,182.0339,183.8347,181.5488,183.7414,1255354.0
2019-07-29,183.8067,184.2452,183.0603,184.1333,1319729.0
2019-07-30,183.2189,184.0213,182.2672,182.5471,1143875.0
2019-07-31,182.9297,183.2376,177.7513,179.6827,1566043.0
2019-08-01,180.3825,184.0073,180.2869,181.1569,1837094.0
2019-08-02,181.4461,181.4461,177.742,180.0839,1833142.0
2019-08-03,181.4461,181.4461,177.742,180.0839,1833142.0
2019-08-04,181.4461,181.4461,177.742,180.0839,1833142.0
2019-08-05,176.8836,178.2085,171.8919,173.1235,2422017.0
2019-08-06,174.1685,176.865,174.0192,176.1652,2055580.0
2019-08-07,174.6723,176.6784,172.0505,176.2212,2495136.0
2019-08-08,177.2755,181.2689,176.697,181.1756,1804069.0
2019-08-09,180.6437,180.7044,177.4714,178.6564,1831838.0
2019-08-10,180.6437,180.7044,177.4714,178.6564,1831838.0
2019-08-11,180.6437,180.7044,177.4714,178.6564,1831838.0
2019-08-12,178.6564,179.0343,176.641,177.2755,1597201.0
2019-08-13,176.1185,180.0932,176.1185,179.9626,2139683.0
2019-08-14,177.6487,178.5724,174.2991,174.4484,2316494.0
2019-08-15,174.803,177.4901,174.1965,176.865,1932571.0
2019-08-16,178.3205,180.6904,177.714,180.2799,2526872.0
2019-08-17,178.3205,180.6904,177.714,180.2799,2526872.0
2019-08-18,178.3205,180.6904,177.714,180.2799,2526872.0
2019-08-19,181.9406,183.1443,181.4928,182.1086,1891034.0
2019-08-20,182.0433,182.855,180.1866,181.1942,1423474.0
2019-08-21,182.5844,183.6574,182.006,182.6218,1044737.0
2019-08-22,183.3029,183.7787,181.2595,183.1909,1160851.0
2019-08-23,181.9406,184.6698,178.7404,179.8973,2290363.0
2019-08-24,181.9406,184.6698,178.7404,179.8973,2290363.0
2019-08-25,181.9406,184.6698,178.7404,179.8973,2290363.0
2019-08-26,181.3248,182.3792,180.5131,182.3792,1642518.0
2019-08-27,182.8923,184.1799,182.1646,183.956,1632696.0
2019-08-28,183.7041,184.3012,181.5394,183.6574,1326231.0
2019-08-29,184.7397,186.5218,184.2126,185.4302,1494242.0
2019-08-30,186.6058,187.2402,183.5921,184.8983,2176628.0
2019-08-31,186.6058,187.2402,183.5921,184.8983,2176628.0
2019-09-01,186.6058,187.2402,183.5921,184.8983,2176628.0
2019-09-02,186.6058,187.2402,183.5921,184.8983,2176628.0
2019-09-03,183.2096,184.5158,182.3512,182.6404,1696454.0
2019-09-04,184.5811,185.0756,184.1519,184.4692,1250656.0
2019-09-05,186.4192,186.4192,185.1596,186.1299,2216109.0
2019-09-06,186.6058,189.2183,185.7138,187.6508,2184065.0
2019-09-07,186.6058,189.2183,185.7138,187.6508,2184065.0
2019-09-08,186.6058,189.2183,185.7138,187.6508,2184065.0
2019-09-09,187.5108,187.6508,179.9253,181.782,2702837.0
2019-09-10,180.0559,180.5784,175.3068,176.9583,3630960.0
2019-09-11,177.2755,179.5801,176.5664,178.5537,2430280.0
2019-09-12,181.6607,183.0883,179.0762,182.4258,2122176.0
2019-09-13,182.8737,182.8737,180.9704,181.5861,1592554.0
2019-09-14,182.8737,182.8737,180.9704,181.5861,1592554.0
2019-09-15,182.8737,182.8737,180.9704,181.5861,1592554.0
2019-09-16,180.4198,182.1459,180.0839,181.1569,1359991.0
2019-09-17,180.4105,182.6777,180.4105,181.894,1465897.0
2019-09-18,181.1756,181.5534,178.7124,181.1289,1895580.0
2019-09-19,181.4555,182.995,181.2129,181.6327,1578574.0
2019-09-20,181.9873,183.0883,179.5614,180.1586,2654578.0
2019-09-21,181.9873,183.0883,179.5614,180.1586,2654578.0
2019-09-22,181.9873,183.0883,179.5614,180.1586,2654578.0
2019-09-23,179.4495,180.9516,179.1509,179.9253,1669831.0
2019-09-24,181.4181,182.7524,177.0702,177.4061,2964087.0
2019-09-25,178.7683,179.1416,176.0719,178.0872,2841660.0
2019-09-26,175.4654,180.3918,174.7409,179.2535,3729686.0
2019-09-27,180.5971,180.6157,177.6394,178.5631,2012577.0
2019-09-28,180.5971,180.6157,177.6394,178.5631,2012577.0
2019-09-29,180.5971,180.6157,177.6394,178.5631,2012577.0
2019-09-30,178.6657,180.4011,178.5911,179.4681,2027320.0
2019-10-01,179.7014,180.4151,176.7203,176.9209,2074618.0
2019-10-02,175.7267,176.0159,170.6417,172.4704,2945581.0
2019-10-03,172.9089,173.6274,170.6043,173.3661,2225685.0
2019-10-04,174.2991,177.1076,173.6367,176.9396,1582556.0
2019-10-05,174.2991,177.1076,173.6367,176.9396,1582556.0
2019-10-06,174.2991,177.1076,173.6367,176.9396,1582556.0
2019-10-07,175.68,176.0626,174.2805,174.2991,1651509.0
2019-10-08,172.9929,173.2821,169.8113,169.9979,2283676.0
2019-10-09,171.4814,172.8856,170.9496,171.9946,1795494.0
2019-10-10,171.5187,172.4891,170.3711,171.5187,2145784.0
2019-10-11,173.2728,175.1389,172.3678,172.5824,2385165.0
2019-10-12,173.2728,175.1389,172.3678,172.5824,2385165.0
2019-10-13,173.2728,175.1389,172.3678,172.5824,2385165.0
2019-10-14,172.9462,173.8513,171.8826,173.0769,1350313.0
2019-10-15,173.3754,174.831,173.1282,174.4764,1466912.0
2019-10-16,172.9678,175.212,172.5648,174.8231,1925404.0
2019-10-17,175.1885,175.5308,173.5019,174.3265,1491370.0
2019-10-18,175.1042,176.2849,174.8606,175.301,2896692.0
2019-10-19,175.1042,176.2849,174.8606,175.301,2896692.0
2019-10-20,175.1042,176.2849,174.8606,175.301,2896692.0
2019-10-21,175.1792,175.7273,173.7155,175.5446,1347967.0
2019-10-22,175.479,176.2661,170.8594,171.2155,1773966.0
2019-10-23,170.9063,173.202,170.508,172.4805,2276462.0
2019-10-24,173.3988,175.2401,173.024,173.352,2017655.0
2019-10-25,173.0427,173.1927,171.4966,171.5435,1389245.0
2019-10-26,173.0427,173.1927,171.4966,171.5435,1389245.0
2019-10-27,173.0427,173.1927,171.4966,171.5435,1389245.0
2019-10-28,172.7991,174.2234,171.0656,171.3561,1832708.0
2019-10-29,171.0562,174.0547,170.8875,173.1645,1553999.0
2019-10-30,173.4925,175.2635,172.6857,174.8325,1243282.0
2019-10-31,174.4389,176.2193,172.7335,173.7455,1574829.0
2019-11-01,174.9449,176.4863,174.3893,176.3692,1502137.0
2019-11-02,174.9449,176.4863,174.3893,176.3692,1502137.0
2019-11-03,174.9449,176.4863,174.3893,176.3692,1502137.0
2019-11-04,176.641,177.2594,175.5915,175.9757,1156782.0
2019-11-05,176.1631,176.1631,173.8017,175.1136,1536601.0
2019-11-06,175.2167,177.3508,175.1417,177.3156,1652201.0
2019-11-07,177.3906,178.2246,176.7862,177.1844,1676799.0
2019-11-08,176.7815,177.7654,176.4161,177.756,1282384.0
2019-11-09,176.7815,177.7654,176.4161,177.756,1282384.0
2019-11-10,176.7815,177.7654,176.4161,177.756,1282384.0
2019-11-11,176.8752,178.4682,176.6784,178.0934,1167010.0
2019-11-12,178.1964,179.5833,177.9153,179.3771,1522849.0
2019-11-13,179.1147,182.5068,178.4963,182.2538,1922750.0
2019-11-14,181.7853,184.0436,181.626,183.8936,1672930.0
2019-11-15,183.5657,185.1211,183.4813,184.4184,2426211.0
2019-11-16,183.5657,185.1211,183.4813,184.4184,2426211.0
2019-11-17,183.5657,185.1211,183.4813,184.4184,2426211.0
2019-11-18,184.9993,186.4236,184.3715,185.5522,1561030.0
2019-11-19,185.7209,186.2362,184.9619,185.852,1342180.0
2019-11-20,186.2175,187.1826,184.3809,185.2617,1477345.0
2019-11-21,184.99,185.4679,183.794,184.3903,1217370.0
2019-11-22,185.5803,185.927,182.816,184.2778,1117880.0
2019-11-23,185.5803,185.927,182.816,184.2778,1117880.0
2019-11-24,185.5803,185.927,182.816,184.2778,1117880.0
2019-11-25,185.1961,185.8895,184.9712,185.8708,1951868.0
2019-11-26,185.8708,188.3446,185.3179,188.2696,2325325.0
2019-11-27,187.9135,188.6819,186.6485,188.5788,1205044.0
2019-11-28,187.9135,188.6819,186.6485,188.5788,1205044.0
2019-11-29,188.5694,188.9583,187.4075,188.4945,750578.0
2019-11-30,188.5694,188.9583,187.4075,188.4945,750578.0
2019-12-01,188.5694,188.9583,187.4075,188.4945,750578.0
2019-12-02,188.7569,188.9911,185.5803,187.0233,1262291.0
2019-12-03,185.1024,186.7422,184.0998,186.2362,1539900.0
2019-12-04,187.1826,187.773,186.6954,187.014,1221849.0
2019-12-05,187.4075,187.4356,186.358,187.267,1816575.0
2019-12-06,188.7194,190.05,187.8667,189.797,1345728.0
2019-12-07,188.7194,190.05,187.8667,189.797,1345728.0
2019-12-08,188.7194,190.05,187.8667,189.797,1345728.0
2019-12-09,189.0661,190.1061,188.7569,189.3097,2001037.0
2019-12-10,189.3097,189.5252,188.2191,189.1691,1403363.0
2019-12-11,189.4034,189.8626,187.7261,189.5627,1669688.0
2019-12-12,189.4315,191.5586,188.5694,191.0807,1932584.0
2019-12-13,190.2749,193.7044,190.228,193.6482,1648289.0
2019-12-14,190.2749,193.7044,190.228,193.6482,1648289.0
2019-12-15,190.2749,193.7044,190.228,193.6482,1648289.0
2019-12-16,194.0792,195.5223,192.0646,192.0927,2702455.0
2019-12-17,192.0927,192.7674,190.1718,190.5934,2377398.0
2019-12-18,190.7809,193.189,190.6965,192.8049,3003776.0
2019-12-19,189.3378,195.1849,189.3378,195.1849,3944194.0
2019-12-20,197.818,199.8233,195.9064,197.8086,4148819.0
2019-12-21,197.818,199.8233,195.9064,197.8086,4148819.0
2019-12-22,197.818,199.8233,195.9064,197.8086,4148819.0
2019-12-23,197.6775,197.9867,195.691,197.5556,2220907.0
2019-12-24,197.4432,198.3427,197.3026,198.2865,998507.0
2019-12-25,197.4432,198.3427,197.3026,198.2865,998507.0
2019-12-26,198.2865,198.7644,197.9586,198.6988,1059826.0
2019-12-27,199.0736,199.2423,198.2865,198.8581,1292186.0
2019-12-28,199.0736,199.2423,198.2865,198.8581,1292186.0
2019-12-29,199.0736,199.2423,198.2865,198.8581,1292186.0
2019-12-30,198.8769,198.8769,195.8877,197.3776,1194083.0
2019-12-31,196.7592,197.7665,196.2532,197.312,1371627.0
2020-01-01,196.7592,197.7665,196.2532,197.312,1371627.0
2020-01-02,197.5837,198.577,195.6628,196.9185,2221991.0
2020-01-03,195.3723,197.3635,193.9668,196.5905,1802087.0
2020-01-04,195.3723,197.3635,193.9668,196.5905,1802087.0
2020-01-05,195.3723,197.3635,193.9668,196.5905,1802087.0
2020-01-06,195.1568,195.6441,193.7887,195.3067,2841444.0
2020-01-07,190.406,193.2734,190.3967,191.0901,3098925.0
2020-01-08,191.1557,192.5144,190.7153,191.4649,2271506.0
2020-01-09,192.5612,194.2292,192.2426,193.1703,2910619.0
2020-01-10,193.9012,195.1943,193.7091,194.5852,1573086.0
2020-01-11,193.9012,195.1943,193.7091,194.5852,1573086.0
2020-01-12,193.9012,195.1943,193.7091,194.5852,1573086.0
2020-01-13,194.4259,196.628,194.4259,196.3937,2202982.0
2020-01-14,196.3562,197.7149,193.9949,194.6508,2499150.0
2020-01-15,195.6573,196.0665,194.4627,194.9612,1985994.0
2020-01-16,195.789,196.6873,195.5632,196.5791,2691624.0
2020-01-17,197.5386,198.15,195.9865,196.7861,2584508.0
2020-01-18,197.5386,198.15,195.9865,196.7861,2584508.0
2020-01-19,197.5386,198.15,195.9865,196.7861,2584508.0
2020-01-20,197.5386,198.15,195.9865,196.7861,2584508.0
2020-01-21,195.187,197.6891,194.7166,196.7391,2687176.0
2020-01-22,197.7267,199.2882,196.9272,196.9836,1873641.0
2020-01-23,196.9742,198.3006,196.471,198.1783,2368512.0
2020-01-24,198.4793,199.0343,195.7043,196.1935,2348904.0
2020-01-25,198.4793,199.0343,195.7043,196.1935,2348904.0
2020-01-26,198.4793,199.0343,195.7043,196.1935,2348904.0
2020-01-27,193.0046,195.5068,192.6942,194.2933,1381344.0
2020-01-28,195.535,198.4405,194.9518,197.7644,1810188.0
2020-01-29,198.1783,198.6778,195.4598,195.6197,1491605.0
2020-01-30,195.187,196.5321,193.0234,196.0053,1579621.0
2020-01-31,196.1276,197.1882,191.8947,193.0329,1793599.0
2020-02-01,196.1276,197.1882,191.8947,193.0329,1793599.0
2020-02-02,196.1276,197.1882,191.8947,193.0329,1793599.0
2020-02-03,193.1551,196.0524,193.0705,195.4692,2345746.0
2020-02-04,197.5386,201.1037,197.2987,199.9185,2243007.0
2020-02-05,201.1978,201.734,197.9243,199.6269,2102667.0
2020-02-06,200.3606,201.6587,199.7115,201.4518,1611488.0
2020-02-07,200.6804,200.7275,198.5639,199.0249,1447728.0
2020-02-08,200.6804,200.7275,198.5639,199.0249,1447728.0
2020-02-09,200.6804,200.7275,198.5639,199.0249,1447728.0
2020-02-10,197.7173,200.3324,197.7173,199.9373,1421591.0
2020-02-11,200.718,201.2824,199.1942,199.5516,1321019.0
2020-02-12,199.6081,200.2383,198.9872,199.4105,1801311.0
2020-02-13,197.4163,200.8686,196.9143,199.7962,1721214.0
2020-02-14,200.5958,200.8638,198.8085,199.768,2096562.0
2020-02-15,200.5958,200.8638,198.8085,199.768,2096562.0
2020-02-16,200.5958,200.8638,198.8085,199.768,2096562.0
2020-02-17,200.5958,200.8638,198.8085,199.768,2096562.0
2020-02-18,199.8903,201.3577,198.6674,201.0755,1699427.0
2020-02-19,202.2419,203.5494,201.6547,203.1073,1806042.0
2020-02-20,203.0697,203.4836,199.0531,201.2072,1481699.0
2020-02-21,199.9749,200.878,197.9995,199.3165,2088815.0
2020-02-22,199.9749,200.878,197.9995,199.3165,2088815.0
2020-02-23,199.9749,200.878,197.9995,199.3165,2088815.0
2020-02-24,192.3368,195.5341,191.3773,192.2333,2600408.0
2020-02-25,192.6284,193.2868,184.2377,185.4041,2883563.0
2020-02-26,186.8809,189.4913,183.2336,184.059,2671071.0
2020-02-27,180.7949,182.8173,175.3108,175.3767,3040446.0
2020-02-28,169.5634,172.3289,164.8977,169.8738,5785220.0
2020-02-29,169.5634,172.3289,164.8977,169.8738,5785220.0
