,ADP US Equity,ADP US Equity,ADP US Equity,ADP US Equity,ADP US Equity
2019-02-07,128.9805,130.6552,128.8999,130.4671,2638193.0
2019-02-08,129.2492,131.515,128.9984,131.4791,1711997.0
2019-02-09,129.2492,131.515,128.9984,131.4791,1711997.0
2019-02-10,129.2492,131.515,128.9984,131.4791,1711997.0
2019-02-11,131.8195,132.312,131.4612,132.106,1949594.0
2019-02-12,133.1807,134.2705,132.7867,133.8882,2181755.0
2019-02-13,134.336,135.545,134.2375,134.748,2136727.0
2019-02-14,134.0002,134.336,132.6076,132.6792,2656935.0
2019-02-15,133.933,134.6226,132.9389,134.0405,2862880.0
2019-02-16,133.933,134.6226,132.9389,134.0405,2862880.0
2019-02-17,133.933,134.6226,132.9389,134.0405,2862880.0
2019-02-18,133.933,134.6226,132.9389,134.0405,2862880.0
2019-02-19,133.4584,134.8286,133.4584,134.6137,1354821.0
2019-02-20,134.9271,134.9719,133.8641,134.8375,1621981.0
2019-02-21,134.4614,135.6794,133.9867,135.2137,1309158.0
2019-02-22,135.7869,137.2108,135.4286,137.1839,1608761.0
2019-02-23,135.7869,137.2108,135.4286,137.1839,1608761.0
2019-02-24,135.7869,137.2108,135.4286,137.1839,1608761.0
2019-02-25,137.9721,138.4109,136.3332,136.566,1560872.0
2019-02-26,136.6108,137.3944,136.3511,136.9153,1400592.0
2019-02-27,136.1988,137.381,135.8227,137.0048,1479023.0
2019-02-28,136.7362,137.5243,136.3958,137.0496,2241544.0
2019-03-01,138.1422,138.2868,137.1573,137.8288,1773260.0
2019-03-02,138.1422,138.2868,137.1573,137.8288,1773260.0
2019-03-03,138.1422,138.2868,137.1573,137.8288,1773260.0
2019-03-04,137.8198,138.2049,135.5988,137.2556,3966832.0
2019-03-05,137.4258,137.5601,136.4406,136.7182,2914038.0
2019-03-06,136.5481,137.3093,136.2794,136.6018,1643040.0
2019-03-07,136.2507,136.8178,135.1434,135.4135,2915273.0
2019-03-08,134.1441,134.6573,133.3699,134.3512,1928067.0
2019-03-09,134.1441,134.6573,133.3699,134.3512,1928067.0
2019-03-10,134.1441,134.6573,133.3699,134.3512,1928067.0
2019-03-11,134.9273,136.1067,134.1621,136.0166,1817145.0
2019-03-12,136.6108,137.565,136.0256,136.8268,1796620.0
2019-03-13,137.475,138.6183,137.0249,137.592,1539349.0
2019-03-14,138.0422,138.3392,137.0789,138.1952,1840866.0
2019-03-15,137.7451,139.8606,137.4313,139.8156,5612259.0
2019-03-16,137.7451,139.8606,137.4313,139.8156,5612259.0
2019-03-17,137.7451,139.8606,137.4313,139.8156,5612259.0
2019-03-18,139.8156,140.2567,138.6723,139.2575,1716586.0
2019-03-19,139.5366,139.6986,138.4743,139.2035,1439817.0
2019-03-20,139.0234,139.5275,138.1839,138.6543,1974925.0
2019-03-21,138.1322,140.4728,138.1322,139.8426,1848253.0
2019-03-22,139.4735,139.8066,138.3212,138.4653,1659713.0
2019-03-23,139.4735,139.8066,138.3212,138.4653,1659713.0
2019-03-24,139.4735,139.8066,138.3212,138.4653,1659713.0
2019-03-25,138.1682,138.8254,137.52,138.4113,1235203.0
2019-03-26,139.6356,140.6799,138.8524,140.6168,1473928.0
2019-03-27,140.8149,141.5711,139.5275,141.148,1481359.0
2019-03-28,141.364,142.7144,141.229,142.5703,1412351.0
2019-03-29,143.5786,143.9567,142.7864,143.8037,2333920.0
2019-03-30,143.5786,143.9567,142.7864,143.8037,2333920.0
2019-03-31,143.5786,143.9567,142.7864,143.8037,2333920.0
2019-04-01,145.118,146.1263,144.0197,145.9012,2489476.0
2019-04-02,146.3243,146.4774,144.7849,145.3341,987838.0
2019-04-03,146.2433,146.2433,144.4788,145.028,1374701.0
2019-04-04,145.2711,145.2711,142.3993,143.4436,1682375.0
2019-04-05,144.1007,144.4158,143.2725,144.3438,1497777.0
2019-04-06,144.1007,144.4158,143.2725,144.3438,1497777.0
2019-04-07,144.1007,144.4158,143.2725,144.3438,1497777.0
2019-04-08,143.9927,144.5779,143.034,144.4518,952102.0
2019-04-09,143.8847,144.6319,143.2546,143.7497,1238609.0
2019-04-10,144.1548,144.7759,143.7407,144.4158,998916.0
2019-04-11,144.965,145.6221,144.4158,145.5411,1525973.0
2019-04-12,145.9822,147.0805,144.884,147.0175,1014253.0
2019-04-13,145.9822,147.0805,144.884,147.0175,1014253.0
2019-04-14,145.9822,147.0805,144.884,147.0175,1014253.0
2019-04-15,146.7654,147.5126,146.3873,147.3506,987124.0
2019-04-16,148.0078,148.0078,145.4151,145.9642,1080839.0
2019-04-17,146.3153,146.7114,145.4349,146.6034,1145442.0
2019-04-18,147.3956,147.3956,145.9102,146.2343,1423818.0
2019-04-19,147.3956,147.3956,145.9102,146.2343,1423818.0
2019-04-20,147.3956,147.3956,145.9102,146.2343,1423818.0
2019-04-21,147.3956,147.3956,145.9102,146.2343,1423818.0
2019-04-22,145.5231,146.2028,145.244,145.7572,813873.0
2019-04-23,145.8472,148.6559,145.6672,148.5749,1467296.0
2019-04-24,148.755,148.989,147.1706,147.1886,1771017.0
2019-04-25,146.4504,147.7917,145.3791,147.5126,1406373.0
2019-04-26,148.0258,148.0258,146.4594,147.3686,911945.0
2019-04-27,148.0258,148.0258,146.4594,147.3686,911945.0
2019-04-28,148.0258,148.0258,146.4594,147.3686,911945.0
2019-04-29,147.5126,147.8637,146.3603,146.7294,1270288.0
2019-04-30,146.9905,148.1428,144.947,147.9898,2007150.0
2019-05-01,144.938,145.1179,139.2755,141.7691,3333956.0
2019-05-02,141.7511,143.2995,140.2567,142.6154,2178135.0
2019-05-03,143.7587,144.6049,142.6919,144.2088,1431501.0
2019-05-04,143.7587,144.6049,142.6919,144.2088,1431501.0
2019-05-05,143.7587,144.6049,142.6919,144.2088,1431501.0
2019-05-06,141.6791,144.6589,141.6791,144.2628,1328166.0
2019-05-07,142.3813,144.893,141.6396,142.5523,2132267.0
2019-05-08,142.2373,144.0197,141.8502,143.3085,1410248.0
2019-05-09,142.2373,144.956,142.0392,144.5509,1604764.0
2019-05-10,143.9207,145.2981,142.1562,144.965,1661470.0
2019-05-11,143.9207,145.2981,142.1562,144.965,1661470.0
2019-05-12,143.9207,145.2981,142.1562,144.965,1661470.0
2019-05-13,142.6064,143.7947,141.337,141.5711,1898953.0
2019-05-14,141.8412,143.8667,141.6521,142.6964,1905006.0
2019-05-15,141.9402,143.8307,141.427,143.4706,2042157.0
2019-05-16,143.3626,146.2433,142.8944,145.4151,2243751.0
2019-05-17,144.3888,145.9102,143.9027,145.5861,2101107.0
2019-05-18,144.3888,145.9102,143.9027,145.5861,2101107.0
2019-05-19,144.3888,145.9102,143.9027,145.5861,2101107.0
2019-05-20,144.1278,146.5134,144.1278,145.244,1593457.0
2019-05-21,146.2343,147.2246,145.3881,146.7384,1171760.0
2019-05-22,146.4504,147.6657,146.0453,147.0715,1098334.0
2019-05-23,145.6041,146.1083,144.1458,145.055,1453811.0
2019-05-24,145.9462,146.7744,145.0821,145.7032,911864.0
2019-05-25,145.9462,146.7744,145.0821,145.7032,911864.0
2019-05-26,145.9462,146.7744,145.0821,145.7032,911864.0
2019-05-27,145.9462,146.7744,145.0821,145.7032,911864.0
2019-05-28,145.8112,147.4085,145.4511,145.5951,1425253.0
2019-05-29,145.019,145.109,143.0835,143.9207,1046128.0
2019-05-30,144.4608,145.3071,143.8037,144.8569,743903.0
2019-05-31,143.4256,145.01,143.4256,144.1458,1091948.0
2019-06-01,143.4256,145.01,143.4256,144.1458,1091948.0
2019-06-02,143.4256,145.01,143.4256,144.1458,1091948.0
2019-06-03,144.5329,145.3161,139.7691,140.4368,2066933.0
2019-06-04,141.8412,143.7316,140.4908,143.5426,1550830.0
2019-06-05,144.1368,146.5404,144.1278,146.4234,1451726.0
2019-06-06,146.4414,147.9538,145.5231,147.9087,1280762.0
2019-06-07,148.5479,151.1226,148.4849,150.2674,1419280.0
2019-06-08,148.5479,151.1226,148.4849,150.2674,1419280.0
2019-06-09,148.5479,151.1226,148.4849,150.2674,1419280.0
2019-06-10,150.6185,151.6267,150.0063,150.9605,1283152.0
2019-06-11,151.7167,152.0228,147.9628,148.6379,1361566.0
2019-06-12,148.818,149.5922,148.1518,148.737,1076065.0
2019-06-13,149.4424,149.8133,147.7419,148.755,1205166.0
2019-06-14,148.7731,150.4827,148.4022,149.7409,1458630.0
2019-06-15,148.7731,150.4827,148.4022,149.7409,1458630.0
2019-06-16,148.7731,150.4827,148.4022,149.7409,1458630.0
2019-06-17,150.2385,150.6003,149.5148,150.1028,1213153.0
2019-06-18,151.5772,153.0516,150.8716,152.1652,1716507.0
2019-06-19,152.2194,152.7531,150.7812,152.1923,1153127.0
2019-06-20,153.7482,153.8657,152.0928,153.4225,1192058.0
2019-06-21,153.2326,154.1823,151.9843,152.1109,2436980.0
2019-06-22,153.2326,154.1823,151.9843,152.1109,2436980.0
2019-06-23,153.2326,154.1823,151.9843,152.1109,2436980.0
2019-06-24,152.6536,153.0969,151.6948,151.7491,1514807.0
2019-06-25,152.0204,152.0204,149.3429,149.7229,1555836.0
2019-06-26,149.9219,150.347,147.181,147.2805,1271563.0
2019-06-27,148.0675,148.5469,146.6293,148.357,1417872.0
2019-06-28,148.6464,149.8947,147.9409,149.551,1947039.0
2019-06-29,148.6464,149.8947,147.9409,149.551,1947039.0
2019-06-30,148.6464,149.8947,147.9409,149.551,1947039.0
2019-07-01,151.6224,151.8033,149.7229,150.5098,1625876.0
2019-07-02,144.4402,146.575,143.7528,146.5026,17112083.0
2019-07-03,147.4434,148.5107,146.1137,148.4293,1938842.0
2019-07-04,147.4434,148.5107,146.1137,148.4293,1938842.0
2019-07-05,147.4343,149.3429,146.8644,149.1078,2001714.0
2019-07-06,147.4343,149.3429,146.8644,149.1078,2001714.0
2019-07-07,147.4343,149.3429,146.8644,149.1078,2001714.0
2019-07-08,148.8726,148.9811,148.0675,148.4112,1108771.0
2019-07-09,147.5881,148.1127,146.9911,147.9318,1703015.0
2019-07-10,148.6012,148.9811,147.1358,148.8364,1729982.0
2019-07-11,149.1439,149.7862,148.4474,149.4424,1958493.0
2019-07-12,149.2073,149.6595,148.3298,149.3701,2239518.0
2019-07-13,149.2073,149.6595,148.3298,149.3701,2239518.0
2019-07-14,149.2073,149.6595,148.3298,149.3701,2239518.0
2019-07-15,149.6867,150.3018,148.9721,149.2615,2064450.0
2019-07-16,149.2977,150.0214,148.3751,148.5288,1898719.0
2019-07-17,148.764,150.2927,148.6555,149.6053,1885096.0
2019-07-18,149.551,151.8938,148.9902,151.7581,1500655.0
2019-07-19,152.5722,152.8391,150.4917,150.5731,1434588.0
2019-07-20,152.5722,152.8391,150.4917,150.5731,1434588.0
2019-07-21,152.5722,152.8391,150.4917,150.5731,1434588.0
2019-07-22,151.0435,152.3009,150.3958,151.1882,1423056.0
2019-07-23,152.2194,152.8707,150.7993,151.8848,934624.0
2019-07-24,151.4867,151.4867,150.2196,151.2516,2063310.0
2019-07-25,151.0164,151.939,150.7179,151.1159,1305094.0
2019-07-26,151.6134,153.3954,151.342,153.115,1035464.0
2019-07-27,151.6134,153.3954,151.342,153.115,1035464.0
2019-07-28,151.6134,153.3954,151.342,153.115,1035464.0
2019-07-29,152.9883,152.9883,151.6631,151.8848,1065977.0
2019-07-30,151.3601,151.8214,149.162,149.2525,1937934.0
2019-07-31,155.5844,155.5844,149.2073,150.6274,4170902.0
2019-08-01,149.4786,150.7269,148.0766,148.6193,4099215.0
2019-08-02,148.3389,149.8043,146.3488,148.5922,2873735.0
2019-08-03,148.3389,149.8043,146.3488,148.5922,2873735.0
2019-08-04,148.3389,149.8043,146.3488,148.5922,2873735.0
2019-08-05,147.181,147.8323,143.5809,144.5035,4644804.0
2019-08-06,144.7568,148.2575,144.5578,147.7961,2113928.0
2019-08-07,146.4393,149.6776,145.2001,148.7731,2139052.0
2019-08-08,150.1661,154.1281,149.7409,154.0647,2306694.0
2019-08-09,153.7301,153.7301,150.537,151.7219,2105815.0
2019-08-10,153.7301,153.7301,150.537,151.7219,2105815.0
2019-08-11,153.7301,153.7301,150.537,151.7219,2105815.0
2019-08-12,151.4325,151.6043,149.361,150.0395,1633212.0
2019-08-13,149.551,153.0335,149.4804,152.6084,1386789.0
2019-08-14,150.5731,151.6134,148.1127,148.2032,2249316.0
2019-08-15,148.5107,150.4827,147.0001,149.3158,1675687.0
2019-08-16,150.8988,152.0204,150.537,151.0797,1459567.0
2019-08-17,150.8988,152.0204,150.537,151.0797,1459567.0
2019-08-18,150.8988,152.0204,150.537,151.0797,1459567.0
2019-08-19,152.8979,153.2145,151.5591,152.8345,1124955.0
2019-08-20,152.4999,153.5853,151.6405,151.8576,1143408.0
2019-08-21,152.7712,153.4949,152.3551,153.4949,1235084.0
2019-08-22,153.3682,154.413,151.3239,153.3501,1174367.0
2019-08-23,152.925,153.9291,148.5243,149.0716,1685091.0
2019-08-24,152.925,153.9291,148.5243,149.0716,1685091.0
2019-08-25,152.925,153.9291,148.5243,149.0716,1685091.0
2019-08-26,150.745,151.0406,149.2389,150.8897,1197450.0
2019-08-27,152.0928,152.0928,150.2294,150.9259,1595204.0
2019-08-28,150.1118,151.5048,148.9992,151.2606,1532148.0
2019-08-29,153.1511,154.51,152.6536,153.2687,1186790.0
2019-08-30,154.4175,154.6075,152.8979,153.6306,1586245.0
2019-08-31,154.4175,154.6075,152.8979,153.6306,1586245.0
2019-09-01,154.4175,154.6075,152.8979,153.6306,1586245.0
2019-09-02,154.4175,154.6075,152.8979,153.6306,1586245.0
2019-09-03,151.74,153.323,150.6998,151.2516,1528185.0
2019-09-04,152.4456,153.8567,152.4184,153.513,1359862.0
2019-09-05,154.8155,156.9774,154.4989,156.7332,1742662.0
2019-09-06,157.1583,157.8458,156.5071,156.7151,4866009.0
2019-09-07,157.1583,157.8458,156.5071,156.7151,4866009.0
2019-09-08,157.1583,157.8458,156.5071,156.7151,4866009.0
2019-09-09,156.9955,157.1131,151.1792,152.0114,1670167.0
2019-09-10,151.0073,151.9933,146.186,148.6464,2010177.0
2019-09-11,147.57,149.1775,145.0915,145.7609,2659359.0
2019-09-12,146.4971,147.9788,145.579,145.8153,2209223.0
2019-09-13,146.388,146.8946,144.4882,145.2063,1906949.0
2019-09-14,146.388,146.8946,144.4882,145.2063,1906949.0
2019-09-15,146.388,146.8946,144.4882,145.2063,1906949.0
2019-09-16,144.4427,145.2063,143.3974,143.7791,2427945.0
2019-09-17,143.9882,144.7518,143.261,144.3791,2629221.0
2019-09-18,143.9246,144.4034,141.8429,143.4155,1722531.0
2019-09-19,144.7791,145.4199,144.0882,144.8518,1856879.0
2019-09-20,144.7336,146.1789,144.3064,144.8063,2674919.0
2019-09-21,144.7336,146.1789,144.3064,144.8063,2674919.0
2019-09-22,144.7336,146.1789,144.3064,144.8063,2674919.0
2019-09-23,144.3246,146.023,144.0791,145.1699,1824880.0
2019-09-24,145.5517,147.6606,144.3246,145.4699,2829328.0
2019-09-25,145.5154,147.2152,144.37,146.9698,2371221.0
2019-09-26,147.4788,149.0333,146.988,148.4151,2111586.0
2019-09-27,148.8878,149.0514,144.4791,145.8335,2067422.0
2019-09-28,148.8878,149.0514,144.4791,145.8335,2067422.0
2019-09-29,148.8878,149.0514,144.4791,145.8335,2067422.0
2019-09-30,146.1971,147.3516,146.1244,146.7334,1511432.0
2019-10-01,147.5425,148.1152,145.5154,145.8335,1811805.0
2019-10-02,144.5064,144.7518,141.3339,142.3702,2755079.0
2019-10-03,142.1338,143.261,139.734,143.2065,1667880.0
2019-10-04,143.7428,144.9154,143.5292,144.6882,1363367.0
2019-10-05,143.7428,144.9154,143.5292,144.6882,1363367.0
2019-10-06,143.7428,144.9154,143.5292,144.6882,1363367.0
2019-10-07,144.4882,145.2699,143.6064,144.4336,1036318.0
2019-10-08,143.2156,143.9428,141.6611,142.0975,1531767.0
2019-10-09,143.2974,144.4791,142.352,144.0428,1658697.0
2019-10-10,143.561,146.3244,143.4973,146.0971,1597573.0
2019-10-11,147.6334,148.9333,146.3517,147.7334,1994228.0
2019-10-12,147.6334,148.9333,146.3517,147.7334,1994228.0
2019-10-13,147.6334,148.9333,146.3517,147.7334,1994228.0
2019-10-14,147.8515,148.906,147.3698,147.6788,1288020.0
2019-10-15,147.7515,149.4878,147.7061,149.1878,1355762.0
2019-10-16,148.8424,149.4878,147.3152,149.2242,1665162.0
2019-10-17,149.5696,150.1695,148.7242,148.9242,1091688.0
2019-10-18,149.3787,149.4832,148.097,148.6606,1661796.0
2019-10-19,149.3787,149.4832,148.097,148.6606,1661796.0
2019-10-20,149.3787,149.4832,148.097,148.6606,1661796.0
2019-10-21,149.1514,149.5241,146.6244,147.2879,1726695.0
2019-10-22,147.5788,148.4333,144.9518,144.979,1336003.0
2019-10-23,144.7791,146.1335,144.6154,145.479,1726606.0
2019-10-24,146.3062,147.8424,145.5335,147.7515,1100972.0
2019-10-25,147.2698,148.4969,146.8743,147.2243,2199993.0
2019-10-26,147.2698,148.4969,146.8743,147.2243,2199993.0
2019-10-27,147.2698,148.4969,146.8743,147.2243,2199993.0
2019-10-28,147.7879,148.097,146.288,147.697,1378516.0
2019-10-29,147.8334,149.4014,147.6788,148.0152,1557212.0
2019-10-30,144.3518,149.3787,143.861,149.2151,2878301.0
2019-10-31,148.5515,149.4514,146.0608,147.4697,6511280.0
2019-11-01,148.5333,148.8515,147.3788,148.1515,1375890.0
2019-11-02,148.5333,148.8515,147.3788,148.1515,1375890.0
2019-11-03,148.5333,148.8515,147.3788,148.1515,1375890.0
2019-11-04,149.2696,149.6332,146.9971,147.1516,2542856.0
2019-11-05,146.6698,147.0243,142.6156,142.7247,3924599.0
2019-11-06,143.5064,145.6063,143.0292,145.1336,2142857.0
2019-11-07,145.9335,148.6969,145.3336,147.3516,2166846.0
2019-11-08,147.0152,148.2424,146.5107,147.9243,1787538.0
2019-11-09,147.0152,148.2424,146.5107,147.9243,1787538.0
2019-11-10,147.0152,148.2424,146.5107,147.9243,1787538.0
2019-11-11,147.2607,149.006,146.9334,148.5515,1417883.0
2019-11-12,149.2151,151.3422,148.8605,151.224,1921680.0
2019-11-13,151.7876,154.0988,151.324,153.6056,2346840.0
2019-11-14,153.4147,154.9691,152.5239,154.6601,2367904.0
2019-11-15,155.6145,155.6145,153.6874,155.5964,1611220.0
2019-11-16,155.6145,155.6145,153.6874,155.5964,1611220.0
2019-11-17,155.6145,155.6145,153.6874,155.5964,1611220.0
2019-11-18,155.1146,155.7418,154.5328,155.1964,1444542.0
2019-11-19,155.8963,157.0144,155.36,155.5236,1284047.0
2019-11-20,155.0237,155.9691,153.6238,155.06,1286941.0
2019-11-21,154.7419,155.2055,153.7601,154.4055,1184828.0
2019-11-22,155.5509,155.8963,153.6874,154.2147,1279067.0
2019-11-23,155.5509,155.8963,153.6874,154.2147,1279067.0
2019-11-24,155.5509,155.8963,153.6874,154.2147,1279067.0
2019-11-25,154.7782,155.3878,154.3328,154.7146,1259539.0
2019-11-26,154.7237,156.2781,154.6692,156.0054,2021047.0
2019-11-27,156.169,156.2599,155.4055,155.8782,1093436.0
2019-11-28,156.169,156.2599,155.4055,155.8782,1093436.0
2019-11-29,155.2782,155.8963,154.751,155.2418,706162.0
2019-11-30,155.2782,155.8963,154.751,155.2418,706162.0
2019-12-01,155.2782,155.8963,154.751,155.2418,706162.0
2019-12-02,155.0146,155.3237,152.8511,153.2511,1342031.0
2019-12-03,151.5967,152.2057,151.0967,151.9239,2953108.0
2019-12-04,151.9148,153.5056,151.6603,153.2329,1863695.0
2019-12-05,153.5238,153.6329,152.2779,153.042,1748817.0
2019-12-06,154.1783,155.0691,154.0828,154.5146,1300116.0
2019-12-07,154.1783,155.0691,154.0828,154.5146,1300116.0
2019-12-08,154.1783,155.0691,154.0828,154.5146,1300116.0
2019-12-09,154.2419,154.6328,153.4507,153.6874,1508186.0
2019-12-10,153.6874,153.8283,152.8602,153.1057,1523413.0
2019-12-11,152.7693,152.9966,151.3603,152.0239,1245785.0
2019-12-12,151.9599,153.1389,151.0185,152.7825,1931103.0
2019-12-13,152.3529,153.9067,151.7314,153.7879,1308380.0
2019-12-14,152.3529,153.9067,151.7314,153.7879,1308380.0
2019-12-15,152.3529,153.9067,151.7314,153.7879,1308380.0
2019-12-16,154.6105,155.0675,153.989,154.0895,2404032.0
2019-12-17,154.2906,154.8664,153.5868,153.8427,1838805.0
2019-12-18,153.8976,155.1406,152.8647,153.1481,2069897.0
2019-12-19,152.8739,154.8207,152.3986,154.2266,1984839.0
2019-12-20,155.6341,156.5847,153.7605,156.3745,3947248.0
2019-12-21,155.6341,156.5847,153.7605,156.3745,3947248.0
2019-12-22,155.6341,156.5847,153.7605,156.3745,3947248.0
2019-12-23,156.539,156.6212,155.1406,155.3965,1139895.0
2019-12-24,155.3325,155.6616,154.7841,155.296,350248.0
2019-12-25,155.3325,155.6616,154.7841,155.296,350248.0
2019-12-26,155.6981,156.1277,154.9943,155.6981,1714090.0
2019-12-27,156.082,156.2465,155.1534,156.082,821431.0
2019-12-28,156.082,156.2465,155.1534,156.082,821431.0
2019-12-29,156.082,156.2465,155.1534,156.082,821431.0
2019-12-30,155.8444,156.1551,154.4917,155.0035,867072.0
2019-12-31,154.6653,155.9815,154.6653,155.8352,903032.0
2020-01-01,154.6653,155.9815,154.6653,155.8352,903032.0
2020-01-02,157.1696,157.2062,154.647,155.6707,1364626.0
2020-01-03,153.6051,155.7895,153.6051,155.3417,1000060.0
2020-01-04,153.6051,155.7895,153.6051,155.3417,1000060.0
2020-01-05,153.6051,155.7895,153.6051,155.3417,1000060.0
2020-01-06,154.5373,155.689,154.3043,155.5519,1205933.0
2020-01-07,154.7293,154.8801,153.5045,153.6691,1879115.0
2020-01-08,154.2723,155.8444,153.7056,155.1132,1675559.0
2020-01-09,155.7255,156.603,155.4879,156.4841,1189646.0
2020-01-10,157.2062,157.2062,155.9586,156.3745,968720.0
2020-01-11,157.2062,157.2062,155.9586,156.3745,968720.0
2020-01-12,157.2062,157.2062,155.9586,156.3745,968720.0
2020-01-13,156.7675,157.6358,156.3836,157.5352,926674.0
2020-01-14,157.3159,157.5261,155.8352,156.5024,1688109.0
2020-01-15,157.2702,159.482,157.0325,157.9465,2114613.0
2020-01-16,158.9062,159.8933,158.0608,159.8385,2281180.0
2020-01-17,160.8896,161.6939,160.0396,161.6573,2818213.0
2020-01-18,160.8896,161.6939,160.0396,161.6573,2818213.0
2020-01-19,160.8896,161.6939,160.0396,161.6573,2818213.0
2020-01-20,160.8896,161.6939,160.0396,161.6573,2818213.0
2020-01-21,159.9025,162.3245,159.9025,161.045,2016385.0
2020-01-22,162.9826,164.4176,161.9498,162.9918,2060125.0
2020-01-23,162.4799,163.1088,161.7853,162.5348,1520335.0
2020-01-24,163.4487,163.5401,161.0267,161.9681,1676654.0
2020-01-25,163.4487,163.5401,161.0267,161.9681,1676654.0
2020-01-26,163.4487,163.5401,161.0267,161.9681,1676654.0
2020-01-27,160.1218,161.438,159.482,160.6245,1622489.0
2020-01-28,160.8896,163.563,160.7708,162.9643,1641967.0
2020-01-29,157.0691,159.2901,156.2328,156.3288,3842815.0
2020-01-30,154.4277,160.0213,153.8612,159.9527,2731668.0
2020-01-31,159.4912,160.3503,156.146,156.6487,3316666.0
2020-02-01,159.4912,160.3503,156.146,156.6487,3316666.0
2020-02-02,159.4912,160.3503,156.146,156.6487,3316666.0
2020-02-03,158.9245,160.1035,158.1156,158.9793,2162833.0
2020-02-04,161.4745,162.7541,159.7654,160.789,3423514.0
2020-02-05,163.0283,163.6133,161.6025,163.2568,2675204.0
2020-02-06,164.2896,164.9477,163.4213,164.7558,1600799.0
2020-02-07,164.317,164.4267,163.1334,163.6955,2311532.0
2020-02-08,164.317,164.4267,163.1334,163.6955,2311532.0
2020-02-09,164.317,164.4267,163.1334,163.6955,2311532.0
2020-02-10,163.2934,164.349,162.9735,163.9332,2153756.0
2020-02-11,164.7466,164.7466,162.4982,162.6627,1584176.0
2020-02-12,163.3208,165.2955,161.6847,162.7176,2622477.0
2020-02-13,162.2057,165.423,161.8401,164.6187,1913906.0
2020-02-14,164.6644,165.688,163.9652,165.6606,1566513.0
2020-02-15,164.6644,165.688,163.9652,165.6606,1566513.0
2020-02-16,164.6644,165.688,163.9652,165.6606,1566513.0
2020-02-17,164.6644,165.688,163.9652,165.6606,1566513.0
2020-02-18,165.7611,166.6386,164.2805,164.4541,1512243.0
2020-02-19,164.9751,166.1085,164.6918,165.6606,1651517.0
2020-02-20,165.1305,166.1176,163.1471,165.2219,1501665.0
2020-02-21,164.3353,164.9111,162.096,163.2203,3538453.0
2020-02-22,164.3353,164.9111,162.096,163.2203,3538453.0
2020-02-23,164.3353,164.9111,162.096,163.2203,3538453.0
2020-02-24,160.6611,161.9407,158.9428,159.5277,2084064.0
2020-02-25,159.6283,160.396,152.5403,152.8008,2606831.0
2020-02-26,154.4642,156.1094,151.9325,152.0239,2319739.0
2020-02-27,149.9491,151.6948,143.9168,143.9808,2843642.0
2020-02-28,140.2151,145.7356,137.5828,141.4307,4585812.0
2020-02-29,140.2151,145.7356,137.5828,141.4307,4585812.0
2020-03-01,140.2151,145.7356,137.5828,141.4307,4585812.0
