,DECK US Equity,DECK US Equity,DECK US Equity,DECK US Equity,DECK US Equity
2019-02-14,142.82,144.16,139.41,142.66,500283.0
2019-02-15,143.55,146.33,143.0,146.29,584654.0
2019-02-16,143.55,146.33,143.0,146.29,584654.0
2019-02-17,143.55,146.33,143.0,146.29,584654.0
2019-02-18,143.55,146.33,143.0,146.29,584654.0
2019-02-19,146.22,146.56,145.11,145.61,527863.0
2019-02-20,145.19,145.19,142.48,143.77,464221.0
2019-02-21,143.23,144.16,141.46,143.26,312840.0
2019-02-22,143.91,145.34,143.01,144.91,312688.0
2019-02-23,143.91,145.34,143.01,144.91,312688.0
2019-02-24,143.91,145.34,143.01,144.91,312688.0
2019-02-25,145.29,149.7973,145.12,147.96,683676.0
2019-02-26,147.73,149.39,146.68,148.59,419800.0
2019-02-27,146.51,149.32,146.5,148.54,427000.0
2019-02-28,148.03,149.45,146.72,147.95,494200.0
2019-03-01,149.93,153.3,147.345,147.87,554184.0
2019-03-02,149.93,153.3,147.345,147.87,554184.0
2019-03-03,149.93,153.3,147.345,147.87,554184.0
2019-03-04,148.18,148.95,144.75,144.97,476103.0
2019-03-05,144.77,145.545,143.765,144.73,369663.0
2019-03-06,145.38,145.69,142.09,143.08,367449.0
2019-03-07,142.75,143.58,141.255,141.96,653449.0
2019-03-08,141.59,142.75,139.51,141.01,381411.0
2019-03-09,141.59,142.75,139.51,141.01,381411.0
2019-03-10,141.59,142.75,139.51,141.01,381411.0
2019-03-11,141.56,143.62,141.38,142.72,556008.0
2019-03-12,142.72,143.28,139.81,141.79,406919.0
2019-03-13,142.12,143.72,141.53,142.25,558103.0
2019-03-14,142.06,143.3,140.51,142.68,315743.0
2019-03-15,143.1,143.9462,141.64,141.77,518768.0
2019-03-16,143.1,143.9462,141.64,141.77,518768.0
2019-03-17,143.1,143.9462,141.64,141.77,518768.0
2019-03-18,141.8,145.1,140.89,144.6,404425.0
2019-03-19,144.64,147.525,144.53,145.7,496262.0
2019-03-20,145.4,146.1,142.88,144.41,277922.0
2019-03-21,144.34,146.52,142.94,146.21,296023.0
2019-03-22,144.96,146.09,139.9,140.51,382578.0
2019-03-23,144.96,146.09,139.9,140.51,382578.0
2019-03-24,144.96,146.09,139.9,140.51,382578.0
2019-03-25,140.51,144.06,138.98,143.1,293546.0
2019-03-26,144.0,144.59,142.49,143.36,259884.0
2019-03-27,143.53,145.11,142.69,144.48,336133.0
2019-03-28,146.5,148.4065,145.92,146.98,405596.0
2019-03-29,147.79,148.19,145.59,146.99,382447.0
2019-03-30,147.79,148.19,145.59,146.99,382447.0
2019-03-31,147.79,148.19,145.59,146.99,382447.0
2019-04-01,147.76,148.77,145.53,146.84,555847.0
2019-04-02,147.24,147.24,142.8,143.23,593926.0
2019-04-03,144.07,144.07,142.18,143.4,552619.0
2019-04-04,143.69,145.35,142.2762,145.13,314635.0
2019-04-05,145.91,148.53,145.55,146.92,468466.0
2019-04-06,145.91,148.53,145.55,146.92,468466.0
2019-04-07,145.91,148.53,145.55,146.92,468466.0
2019-04-08,146.28,147.36,144.98,145.03,344444.0
2019-04-09,144.28,146.13,143.62,145.85,454992.0
2019-04-10,146.09,148.39,146.09,148.22,282601.0
2019-04-11,148.65,150.81,148.09,149.95,481343.0
2019-04-12,150.92,152.14,149.36,151.62,339734.0
2019-04-13,150.92,152.14,149.36,151.62,339734.0
2019-04-14,150.92,152.14,149.36,151.62,339734.0
2019-04-15,151.59,153.0,151.41,152.45,511489.0
2019-04-16,152.42,154.64,150.995,151.28,458846.0
2019-04-17,152.23,154.08,150.83,152.72,460828.0
2019-04-18,152.34,154.59,151.41,153.4,364964.0
2019-04-19,152.34,154.59,151.41,153.4,364964.0
2019-04-20,152.34,154.59,151.41,153.4,364964.0
2019-04-21,152.34,154.59,151.41,153.4,364964.0
2019-04-22,152.59,153.15,149.76,149.87,320220.0
2019-04-23,150.23,151.97,149.58,151.97,356442.0
2019-04-24,152.04,155.4167,151.18,154.75,278234.0
2019-04-25,154.75,155.9074,153.17,154.6,321288.0
2019-04-26,154.75,155.55,153.3,155.17,208698.0
2019-04-27,154.75,155.55,153.3,155.17,208698.0
2019-04-28,154.75,155.55,153.3,155.17,208698.0
2019-04-29,155.35,157.85,154.64,157.63,441449.0
2019-04-30,157.85,159.19,156.25,158.21,577168.0
2019-05-01,158.15,158.42,156.25,156.56,434774.0
2019-05-02,157.18,159.11,156.44,158.22,336910.0
2019-05-03,158.41,159.75,156.77,158.9,445460.0
2019-05-04,158.41,159.75,156.77,158.9,445460.0
2019-05-05,158.41,159.75,156.77,158.9,445460.0
2019-05-06,156.67,158.71,155.6087,157.71,380091.0
2019-05-07,156.83,157.38,150.54,151.55,469668.0
2019-05-08,151.49,152.265,149.735,150.62,379038.0
2019-05-09,149.89,150.03,146.29,148.89,409938.0
2019-05-10,148.1,148.75,142.03,146.12,505557.0
2019-05-11,148.1,148.75,142.03,146.12,505557.0
2019-05-12,148.1,148.75,142.03,146.12,505557.0
2019-05-13,142.71,142.9,137.2,138.35,551262.0
2019-05-14,142.52,145.29,139.71,144.83,769758.0
2019-05-15,143.96,145.37,141.66,143.24,580685.0
2019-05-16,143.98,146.05,143.685,144.5,361156.0
2019-05-17,143.23,145.03,142.005,142.61,339961.0
2019-05-18,143.23,145.03,142.005,142.61,339961.0
2019-05-19,143.23,145.03,142.005,142.61,339961.0
2019-05-20,141.7,143.935,141.195,142.74,424428.0
2019-05-21,145.8,149.07,144.2,148.67,898266.0
2019-05-22,147.23,151.15,146.5,150.09,833182.0
2019-05-23,148.69,151.43,146.53,147.41,1430450.0
2019-05-24,158.88,159.0,152.021,153.46,1213745.0
2019-05-25,158.88,159.0,152.021,153.46,1213745.0
2019-05-26,158.88,159.0,152.021,153.46,1213745.0
2019-05-27,158.88,159.0,152.021,153.46,1213745.0
2019-05-28,152.96,153.965,150.62,150.86,747118.0
2019-05-29,149.5,152.0,146.65,151.25,921097.0
2019-05-30,151.02,154.49,149.645,151.73,509287.0
2019-05-31,150.02,152.63,149.1,152.1,481986.0
2019-06-01,150.02,152.63,149.1,152.1,481986.0
2019-06-02,150.02,152.63,149.1,152.1,481986.0
2019-06-03,151.1,155.86,150.89,154.22,776204.0
2019-06-04,156.11,159.705,154.67,155.18,780664.0
2019-06-05,156.57,157.0,154.7,155.79,508513.0
2019-06-06,155.56,156.41,152.81,155.63,431750.0
2019-06-07,156.61,160.86,156.61,160.33,442804.0
2019-06-08,156.61,160.86,156.61,160.33,442804.0
2019-06-09,156.61,160.86,156.61,160.33,442804.0
2019-06-10,160.5,164.885,160.5,164.09,453841.0
2019-06-11,165.91,168.51,164.8905,167.72,565967.0
2019-06-12,168.0,172.44,167.33,172.3,601109.0
2019-06-13,173.75,176.8,173.2797,176.19,628818.0
2019-06-14,176.49,176.73,173.7916,174.37,438880.0
2019-06-15,176.49,176.73,173.7916,174.37,438880.0
2019-06-16,176.49,176.73,173.7916,174.37,438880.0
2019-06-17,174.48,174.86,172.78,173.15,326908.0
2019-06-18,173.97,176.12,173.44,174.82,286721.0
2019-06-19,174.65,174.98,172.62,174.4,300102.0
2019-06-20,176.03,176.41,172.6975,174.05,405959.0
2019-06-21,172.92,175.825,172.61,175.5,508006.0
2019-06-22,172.92,175.825,172.61,175.5,508006.0
2019-06-23,172.92,175.825,172.61,175.5,508006.0
2019-06-24,175.62,176.65,173.02,173.4,371064.0
2019-06-25,174.14,175.0,171.77,171.93,382646.0
2019-06-26,172.78,175.61,172.78,173.69,354605.0
2019-06-27,173.83,175.38,173.24,175.24,346821.0
2019-06-28,175.56,176.6599,173.855,175.97,644294.0
2019-06-29,175.56,176.6599,173.855,175.97,644294.0
2019-06-30,175.56,176.6599,173.855,175.97,644294.0
2019-07-01,177.73,180.755,174.81,175.79,400524.0
2019-07-02,175.71,175.71,171.91,173.41,449493.0
2019-07-03,174.19,176.34,172.1,176.08,223152.0
2019-07-04,174.19,176.34,172.1,176.08,223152.0
2019-07-05,175.56,177.28,174.775,176.92,216227.0
2019-07-06,175.56,177.28,174.775,176.92,216227.0
2019-07-07,175.56,177.28,174.775,176.92,216227.0
2019-07-08,176.17,177.96,175.89,177.92,345286.0
2019-07-09,176.6,177.64,173.765,174.19,415367.0
2019-07-10,175.0,175.98,174.06,175.61,318461.0
2019-07-11,176.46,176.46,172.25,172.99,401809.0
2019-07-12,173.84,179.47,173.84,178.49,334713.0
2019-07-13,173.84,179.47,173.84,178.49,334713.0
2019-07-14,173.84,179.47,173.84,178.49,334713.0
2019-07-15,178.02,178.78,174.7456,176.36,269431.0
2019-07-16,176.35,177.47,174.87,176.4,315248.0
2019-07-17,176.57,176.57,172.01,175.14,348964.0
2019-07-18,175.17,176.95,174.44,176.38,277811.0
2019-07-19,177.26,177.51,174.01,174.24,294472.0
2019-07-20,177.26,177.51,174.01,174.24,294472.0
2019-07-21,177.26,177.51,174.01,174.24,294472.0
2019-07-22,175.32,177.65,174.23,175.54,485661.0
2019-07-23,176.2,178.69,175.08,178.14,321189.0
2019-07-24,178.5,179.66,176.71,179.06,296138.0
2019-07-25,178.98,179.65,176.6,177.58,391715.0
2019-07-26,174.7,177.5,152.73,159.52,1789571.0
2019-07-27,174.7,177.5,152.73,159.52,1789571.0
2019-07-28,174.7,177.5,152.73,159.52,1789571.0
2019-07-29,159.94,160.66,156.19,159.36,799183.0
2019-07-30,158.76,158.88,153.52,155.6,710703.0
2019-07-31,155.67,157.69,154.17,156.28,617517.0
2019-08-01,156.3,157.43,148.33,149.65,697998.0
2019-08-02,148.62,148.97,144.885,146.83,538030.0
2019-08-03,148.62,148.97,144.885,146.83,538030.0
2019-08-04,148.62,148.97,144.885,146.83,538030.0
2019-08-05,144.23,146.79,142.5,145.59,632324.0
2019-08-06,146.26,149.43,145.2379,149.09,569871.0
2019-08-07,147.88,149.8,146.6,148.1,592571.0
2019-08-08,148.82,150.495,148.07,149.08,865791.0
2019-08-09,148.64,149.1,144.54,144.93,497198.0
2019-08-10,148.64,149.1,144.54,144.93,497198.0
2019-08-11,148.64,149.1,144.54,144.93,497198.0
2019-08-12,143.45,143.98,140.33,143.07,601257.0
2019-08-13,142.23,149.14,141.43,146.14,663021.0
2019-08-14,142.19,142.32,137.27,137.39,602294.0
2019-08-15,137.5,137.805,132.86,132.94,726552.0
2019-08-16,133.54,135.45,132.5193,134.29,375371.0
2019-08-17,133.54,135.45,132.5193,134.29,375371.0
2019-08-18,133.54,135.45,132.5193,134.29,375371.0
2019-08-19,137.71,140.975,137.2,137.74,520288.0
2019-08-20,136.8,138.5,136.09,137.43,388269.0
2019-08-21,138.99,140.685,138.02,140.24,328085.0
2019-08-22,140.37,143.06,139.56,142.02,504300.0
2019-08-23,140.23,142.09,135.82,136.27,497847.0
2019-08-24,140.23,142.09,135.82,136.27,497847.0
2019-08-25,140.23,142.09,135.82,136.27,497847.0
2019-08-26,137.04,139.0,136.17,138.54,351072.0
2019-08-27,139.56,142.57,138.66,140.65,507920.0
2019-08-28,140.16,144.275,139.6,142.96,337754.0
2019-08-29,144.75,146.86,144.75,146.48,344771.0
2019-08-30,147.32,148.27,146.49,147.45,389021.0
2019-08-31,147.32,148.27,146.49,147.45,389021.0
2019-09-01,147.32,148.27,146.49,147.45,389021.0
2019-09-02,147.32,148.27,146.49,147.45,389021.0
2019-09-03,145.88,146.86,144.12,145.46,513987.0
2019-09-04,147.33,148.44,146.2,146.94,429427.0
2019-09-05,148.49,154.43,148.02,153.86,550189.0
2019-09-06,154.3,155.48,152.65,152.79,327613.0
2019-09-07,154.3,155.48,152.65,152.79,327613.0
2019-09-08,154.3,155.48,152.65,152.79,327613.0
2019-09-09,153.5,155.81,153.055,155.1,519323.0
2019-09-10,154.24,154.74,150.05,151.38,506766.0
2019-09-11,151.34,151.41,148.0892,149.74,383128.0
2019-09-12,150.23,152.74,148.58,150.73,369914.0
2019-09-13,151.1,152.93,147.23,147.9,359719.0
2019-09-14,151.1,152.93,147.23,147.9,359719.0
2019-09-15,151.1,152.93,147.23,147.9,359719.0
2019-09-16,146.69,149.16,144.49,145.04,347974.0
2019-09-17,144.61,145.37,142.53,143.01,399787.0
2019-09-18,142.9,143.015,137.765,139.81,455159.0
2019-09-19,139.13,140.09,136.3,138.06,520476.0
2019-09-20,137.94,141.37,136.21,136.25,619729.0
2019-09-21,137.94,141.37,136.21,136.25,619729.0
2019-09-22,137.94,141.37,136.21,136.25,619729.0
2019-09-23,136.87,139.23,135.74,135.88,461241.0
2019-09-24,135.85,136.24,130.1908,133.02,685352.0
2019-09-25,134.03,135.94,131.73,134.4,476418.0
2019-09-26,134.93,140.98,134.91,140.41,785793.0
2019-09-27,141.33,144.69,141.27,143.13,904424.0
2019-09-28,141.33,144.69,141.27,143.13,904424.0
2019-09-29,141.33,144.69,141.27,143.13,904424.0
2019-09-30,143.44,149.125,143.44,147.36,931246.0
2019-10-01,147.48,149.92,145.88,146.43,642157.0
2019-10-02,144.81,145.565,141.18,144.22,552567.0
2019-10-03,144.06,146.17,140.905,146.0,396915.0
2019-10-04,145.97,146.82,142.9,146.38,314669.0
2019-10-05,145.97,146.82,142.9,146.38,314669.0
2019-10-06,145.97,146.82,142.9,146.38,314669.0
2019-10-07,145.56,146.53,142.77,143.91,466144.0
2019-10-08,141.63,143.13,138.55,142.46,460519.0
2019-10-09,144.15,144.36,141.04,144.03,413583.0
2019-10-10,144.17,145.18,142.89,143.73,316136.0
2019-10-11,150.74,156.53,150.0,154.08,668818.0
2019-10-12,150.74,156.53,150.0,154.08,668818.0
2019-10-13,150.74,156.53,150.0,154.08,668818.0
2019-10-14,153.09,154.64,151.23,153.39,317713.0
2019-10-15,153.25,155.01,152.1223,153.56,348364.0
2019-10-16,153.3,155.17,152.15,153.68,300426.0
2019-10-17,155.43,158.27,154.745,158.09,419411.0
2019-10-18,156.16,157.88,154.19,156.91,360807.0
2019-10-19,156.16,157.88,154.19,156.91,360807.0
2019-10-20,156.16,157.88,154.19,156.91,360807.0
2019-10-21,158.04,159.72,157.51,158.33,285021.0
2019-10-22,158.79,159.16,156.47,158.03,320306.0
2019-10-23,157.07,157.36,153.7,154.29,331028.0
2019-10-24,155.31,156.02,153.04,156.02,525604.0
2019-10-25,155.14,155.14,145.31,150.88,994563.0
2019-10-26,155.14,155.14,145.31,150.88,994563.0
2019-10-27,155.14,155.14,145.31,150.88,994563.0
2019-10-28,151.95,151.95,148.09,148.13,558569.0
2019-10-29,148.44,150.3,147.1,149.83,505759.0
2019-10-30,149.01,151.26,148.69,151.17,452123.0
2019-10-31,151.66,153.26,149.93,152.9,603136.0
2019-11-01,154.17,157.87,152.91,155.15,752433.0
2019-11-02,154.17,157.87,152.91,155.15,752433.0
2019-11-03,154.17,157.87,152.91,155.15,752433.0
2019-11-04,156.56,160.51,155.42,160.06,541111.0
2019-11-05,161.65,164.84,160.83,162.82,619475.0
2019-11-06,163.04,164.7717,160.695,162.99,520103.0
2019-11-07,164.09,167.14,160.82,162.06,587054.0
2019-11-08,161.97,163.59,160.13,163.41,344376.0
2019-11-09,161.97,163.59,160.13,163.41,344376.0
2019-11-10,161.97,163.59,160.13,163.41,344376.0
2019-11-11,162.92,165.25,161.96,164.47,340993.0
2019-11-12,164.62,165.7,163.61,164.19,289609.0
2019-11-13,163.2,165.13,161.8,164.68,255669.0
2019-11-14,164.89,165.75,163.06,165.1,321037.0
2019-11-15,166.48,168.41,165.85,167.41,427450.0
2019-11-16,166.48,168.41,165.85,167.41,427450.0
2019-11-17,166.48,168.41,165.85,167.41,427450.0
2019-11-18,168.1,168.51,165.53,166.92,333316.0
2019-11-19,166.44,166.91,163.89,164.17,437659.0
2019-11-20,164.21,164.21,159.24,160.25,555646.0
2019-11-21,161.28,162.0,157.13,157.28,477654.0
2019-11-22,159.08,159.96,157.03,159.55,286107.0
2019-11-23,159.08,159.96,157.03,159.55,286107.0
2019-11-24,159.08,159.96,157.03,159.55,286107.0
2019-11-25,162.0,164.99,160.98,164.52,678135.0
2019-11-26,167.5,168.18,165.23,167.58,530700.0
2019-11-27,168.23,169.56,166.02,168.87,404191.0
2019-11-28,168.23,169.56,166.02,168.87,404191.0
2019-11-29,168.83,169.36,167.0686,168.18,212470.0
2019-11-30,168.83,169.36,167.0686,168.18,212470.0
2019-12-01,168.83,169.36,167.0686,168.18,212470.0
2019-12-02,168.39,168.99,162.32,162.76,571450.0
2019-12-03,160.41,162.14,158.88,158.92,470539.0
2019-12-04,160.01,162.56,158.96,161.56,374967.0
2019-12-05,162.51,164.84,162.05,164.4,346129.0
2019-12-06,166.76,167.37,161.66,162.38,538308.0
2019-12-07,166.76,167.37,161.66,162.38,538308.0
2019-12-08,166.76,167.37,161.66,162.38,538308.0
2019-12-09,162.31,165.42,162.12,163.33,387285.0
2019-12-10,163.61,165.28,161.45,161.71,290899.0
2019-12-11,161.9,162.42,160.4,161.05,293985.0
2019-12-12,161.54,163.4,159.81,161.79,389145.0
2019-12-13,161.66,164.05,160.21,162.53,299310.0
2019-12-14,161.66,164.05,160.21,162.53,299310.0
2019-12-15,161.66,164.05,160.21,162.53,299310.0
2019-12-16,163.2,165.24,162.465,163.6,282300.0
2019-12-17,163.56,164.25,163.1,163.74,298838.0
2019-12-18,164.36,166.925,163.93,166.25,361094.0
2019-12-19,166.16,166.88,163.11,163.59,385409.0
2019-12-20,164.27,167.98,163.965,167.44,782903.0
2019-12-21,164.27,167.98,163.965,167.44,782903.0
2019-12-22,164.27,167.98,163.965,167.44,782903.0
2019-12-23,167.82,167.94,163.95,164.47,389277.0
2019-12-24,164.66,165.67,164.18,164.5,139690.0
2019-12-25,164.66,165.67,164.18,164.5,139690.0
2019-12-26,165.02,167.22,164.72,167.2,253343.0
2019-12-27,167.36,168.27,165.9447,167.45,244391.0
2019-12-28,167.36,168.27,165.9447,167.45,244391.0
2019-12-29,167.36,168.27,165.9447,167.45,244391.0
2019-12-30,167.42,170.56,166.36,168.86,240728.0
2019-12-31,168.6,170.98,168.52,168.86,287058.0
2020-01-01,168.6,170.98,168.52,168.86,287058.0
2020-01-02,169.73,172.21,168.95,172.17,271168.0
2020-01-03,169.56,173.67,168.79,173.46,315105.0
2020-01-04,169.56,173.67,168.79,173.46,315105.0
2020-01-05,169.56,173.67,168.79,173.46,315105.0
2020-01-06,172.14,174.74,171.94,174.5,295818.0
2020-01-07,174.5,177.01,172.95,173.15,419998.0
2020-01-08,173.37,174.0,168.43,168.83,565361.0
2020-01-09,168.77,169.825,167.4,169.29,555255.0
2020-01-10,169.62,169.99,164.6,165.03,279048.0
2020-01-11,169.62,169.99,164.6,165.03,279048.0
2020-01-12,169.62,169.99,164.6,165.03,279048.0
2020-01-13,165.51,167.83,164.53,167.79,371126.0
2020-01-14,168.19,170.64,167.16,168.49,391183.0
2020-01-15,168.15,169.06,167.53,168.82,406815.0
2020-01-16,169.96,174.98,169.69,172.66,481487.0
2020-01-17,173.25,173.9575,171.0,173.52,513461.0
2020-01-18,173.25,173.9575,171.0,173.52,513461.0
2020-01-19,173.25,173.9575,171.0,173.52,513461.0
2020-01-20,173.25,173.9575,171.0,173.52,513461.0
2020-01-21,172.82,176.29,171.21,174.99,672494.0
2020-01-22,176.19,178.08,173.77,175.33,543728.0
2020-01-23,174.07,175.84,171.02,175.01,533691.0
2020-01-24,180.0,180.0,175.65,177.66,575510.0
2020-01-25,180.0,180.0,175.65,177.66,575510.0
2020-01-26,180.0,180.0,175.65,177.66,575510.0
2020-01-27,174.12,176.26,173.23,175.3,399901.0
2020-01-28,175.94,176.285,171.12,175.05,620298.0
2020-01-29,176.12,178.015,174.48,176.6,474770.0
2020-01-30,175.09,177.95,174.4,177.38,759469.0
2020-01-31,185.58,199.31,185.58,190.91,2520609.0
2020-02-01,185.58,199.31,185.58,190.91,2520609.0
2020-02-02,185.58,199.31,185.58,190.91,2520609.0
2020-02-03,192.06,193.78,186.73,187.61,948321.0
2020-02-04,188.79,191.67,188.51,189.68,498471.0
2020-02-05,190.11,193.26,187.67,192.84,623916.0
2020-02-06,193.58,193.64,190.48,192.05,518594.0
2020-02-07,191.62,193.71,190.38,191.38,435346.0
2020-02-08,191.62,193.71,190.38,191.38,435346.0
2020-02-09,191.62,193.71,190.38,191.38,435346.0
2020-02-10,191.36,193.6336,190.07,193.05,340069.0
2020-02-11,192.48,194.14,190.98,193.31,584017.0
2020-02-12,194.73,200.1,193.43,199.39,460978.0
2020-02-13,198.8,201.13,198.14,200.55,379243.0
2020-02-14,201.12,203.17,199.44,200.56,353495.0
2020-02-15,201.12,203.17,199.44,200.56,353495.0
2020-02-16,201.12,203.17,199.44,200.56,353495.0
2020-02-17,201.12,203.17,199.44,200.56,353495.0
2020-02-18,199.48,203.19,198.43,201.18,323527.0
2020-02-19,202.0,203.16,200.79,201.12,441306.0
2020-02-20,200.72,201.705,196.85,199.07,429783.0
2020-02-21,198.56,198.69,193.88,194.56,469814.0
2020-02-22,198.56,198.69,193.88,194.56,469814.0
2020-02-23,198.56,198.69,193.88,194.56,469814.0
2020-02-24,188.77,190.87,187.1,187.48,411920.0
2020-02-25,188.35,189.495,181.47,182.16,505204.0
2020-02-26,183.6,186.645,181.38,181.46,445381.0
2020-02-27,177.14,181.78,173.91,173.92,489182.0
2020-02-28,170.0,175.66,168.801,173.8,741082.0
2020-02-29,170.0,175.66,168.801,173.8,741082.0
2020-03-01,170.0,175.66,168.801,173.8,741082.0
2020-03-02,174.3,179.35,169.25,178.94,684758.0
2020-03-03,179.0,185.09,172.67,174.91,411094.0
2020-03-04,177.19,180.22,174.5,179.91,320438.0
2020-03-05,175.4,177.12,171.94,172.72,480123.0
2020-03-06,168.18,173.58,167.35,172.63,444496.0
2020-03-07,168.18,173.58,167.35,172.63,444496.0
2020-03-08,168.18,173.58,167.35,172.63,444496.0
2020-03-09,161.53,168.31,151.3583,162.01,577174.0
2020-03-10,166.98,168.8,157.33,166.85,624284.0
2020-03-11,162.75,165.34,152.84,153.37,693474.0
2020-03-12,142.71,142.77,130.73,131.1,758357.0
2020-03-13,138.04,139.78,121.14,129.63,1004531.0
2020-03-14,138.04,139.78,121.14,129.63,1004531.0
2020-03-15,138.04,139.78,121.14,129.63,1004531.0
2020-03-16,113.0,117.22,107.78,111.34,766380.0
2020-03-17,113.02,115.09,99.07,110.73,830861.0
2020-03-18,103.32,104.965,78.7,91.16,919451.0
2020-03-19,91.28,105.51,82.25,103.76,976106.0
2020-03-20,103.75,112.2,101.51,103.9,936883.0
2020-03-21,103.75,112.2,101.51,103.9,936883.0
2020-03-22,103.75,112.2,101.51,103.9,936883.0
2020-03-23,104.59,115.9,99.99,113.69,926253.0
2020-03-24,121.68,133.96,119.91,133.43,765304.0
2020-03-25,134.33,137.5748,127.5,129.55,912097.0
2020-03-26,131.87,140.76,127.76,140.57,582424.0
2020-03-27,136.36,136.48,129.4064,133.09,460732.0
2020-03-28,136.36,136.48,129.4064,133.09,460732.0
2020-03-29,136.36,136.48,129.4064,133.09,460732.0
2020-03-30,129.64,140.5,129.64,139.13,365851.0
2020-03-31,137.53,140.58,132.73,134.0,416555.0
2020-04-01,128.17,128.85,121.86,123.75,474286.0
2020-04-02,123.97,129.12,121.89,126.69,353904.0
2020-04-03,125.4,126.02,118.44,122.11,363322.0
2020-04-04,125.4,126.02,118.44,122.11,363322.0
2020-04-05,125.4,126.02,118.44,122.11,363322.0
2020-04-06,130.18,138.74,128.17,138.36,500466.0
2020-04-07,145.38,150.125,140.03,141.17,453360.0
2020-04-08,143.06,146.9,141.25,145.08,299049.0
2020-04-09,149.43,151.63,144.6273,148.88,423046.0
2020-04-10,149.43,151.63,144.6273,148.88,423046.0
2020-04-11,149.43,151.63,144.6273,148.88,423046.0
2020-04-12,149.43,151.63,144.6273,148.88,423046.0
2020-04-13,146.83,147.55,140.75,143.35,326702.0
2020-04-14,148.17,149.88,144.66,145.49,210546.0
2020-04-15,140.46,142.84,137.58,138.93,451577.0
2020-04-16,138.9,140.97,136.13,139.26,258095.0
2020-04-17,144.54,149.18,143.28,145.65,365456.0
2020-04-18,144.54,149.18,143.28,145.65,365456.0
2020-04-19,144.54,149.18,143.28,145.65,365456.0
2020-04-20,142.65,146.51,139.79,140.66,265618.0
2020-04-21,136.56,138.36,131.75,131.97,372259.0
2020-04-22,137.04,137.175,132.7,132.77,451658.0
2020-04-23,132.53,137.11,130.64,132.75,354080.0
2020-04-24,133.15,139.03,131.495,137.42,407609.0
2020-04-25,133.15,139.03,131.495,137.42,407609.0
2020-04-26,133.15,139.03,131.495,137.42,407609.0
2020-04-27,139.45,147.31,136.47,146.4,504223.0
2020-04-28,151.65,157.31,147.53,147.92,288402.0
2020-04-29,154.83,159.1,150.01,155.58,296774.0
2020-04-30,152.49,153.165,148.0,148.76,336116.0
2020-05-01,147.92,149.015,142.14,143.29,300368.0
2020-05-02,147.92,149.015,142.14,143.29,300368.0
2020-05-03,147.92,149.015,142.14,143.29,300368.0
2020-05-04,140.34,144.89,138.61,140.25,500279.0
2020-05-05,143.38,148.225,141.96,143.6,407230.0
2020-05-06,143.9,145.29,139.73,142.64,406484.0
