,BLK US Equity,BLK US Equity,BLK US Equity,BLK US Equity,BLK US Equity
2019-02-25,382.866,387.677,381.785,382.561,516304.0
2019-02-26,381.463,386.113,379.737,383.956,472041.0
2019-02-27,383.642,387.59,382.518,385.246,461092.0
2019-02-28,385.246,387.608,383.834,386.3,512124.0
2019-03-01,390.083,393.881,385.324,386.78,657238.0
2019-03-02,390.083,393.881,385.324,386.78,657238.0
2019-03-03,390.083,393.881,385.324,386.78,657238.0
2019-03-04,388.627,389.595,378.312,381.167,686154.0
2019-03-05,381.36,382.642,378.637,379.841,433502.0
2019-03-06,379.841,381.14,377.087,377.505,272773.0
2019-03-07,381.527,382.001,369.32,371.647,467435.0
2019-03-08,369.346,370.505,366.395,369.996,587066.0
2019-03-09,369.346,370.505,366.395,369.996,587066.0
2019-03-10,369.346,370.505,366.395,369.996,587066.0
2019-03-11,372.367,377.092,371.413,375.959,593087.0
2019-03-12,377.303,378.523,374.888,375.731,504680.0
2019-03-13,377.917,380.613,374.554,379.243,606702.0
2019-03-14,382.423,382.423,378.602,380.815,501687.0
2019-03-15,380.991,385.373,380.203,380.745,1756866.0
2019-03-16,380.991,385.373,380.203,380.745,1756866.0
2019-03-17,380.991,385.373,380.203,380.745,1756866.0
2019-03-18,382.897,387.068,382.844,386.831,550707.0
2019-03-19,388.649,389.36,380.833,381.641,948487.0
2019-03-20,381.316,381.755,375.485,377.557,881646.0
2019-03-21,376.389,380.877,372.534,377.944,472425.0
2019-03-22,374.563,376.249,364.569,366.527,585339.0
2019-03-23,374.563,376.249,364.569,366.527,585339.0
2019-03-24,374.563,376.249,364.569,366.527,585339.0
2019-03-25,367.089,368.406,362.957,364.815,411020.0
2019-03-26,369.346,371.752,367.915,371.19,494947.0
2019-03-27,372.007,373.702,366.834,368.529,425001.0
2019-03-28,370.075,373.799,369.047,373.21,342714.0
2019-03-29,377.373,379.384,374.282,375.318,455908.0
2019-03-30,377.373,379.384,374.282,375.318,455908.0
2019-03-31,377.373,379.384,374.282,375.318,455908.0
2019-04-01,379.024,386.093,377.101,384.996,498932.0
2019-04-02,384.996,386.497,382.431,383.292,423113.0
2019-04-03,385.725,388.869,384.047,385.593,337841.0
2019-04-04,385.681,388.781,385.458,388.025,375170.0
2019-04-05,389.193,392.408,386.945,390.888,458386.0
2019-04-06,389.193,392.408,386.945,390.888,458386.0
2019-04-07,389.193,392.408,386.945,390.888,458386.0
2019-04-08,390.397,393.154,389.132,391.802,398399.0
2019-04-09,391.161,391.626,385.11,386.243,460873.0
2019-04-10,387.815,388.992,385.681,388.833,402895.0
2019-04-11,390.801,394.094,388.93,391.775,412742.0
2019-04-12,394.041,401.629,394.041,399.012,628678.0
2019-04-13,394.041,401.629,394.041,399.012,628678.0
2019-04-14,394.041,401.629,394.041,399.012,628678.0
2019-04-15,400.777,401.427,394.99,396.825,591033.0
2019-04-16,397.914,410.024,397.826,409.717,1030704.0
2019-04-17,410.104,411.684,406.099,410.551,628250.0
2019-04-18,411.684,412.202,408.971,408.971,530369.0
2019-04-19,411.684,412.202,408.971,408.971,530369.0
2019-04-20,411.684,412.202,408.971,408.971,530369.0
2019-04-21,411.684,412.202,408.971,408.971,530369.0
2019-04-22,407.267,408.942,405.862,407.504,432873.0
2019-04-23,407.486,416.295,407.399,416.295,687385.0
2019-04-24,416.295,423.619,415.048,421.687,1008544.0
2019-04-25,419.685,421.959,415.048,416.664,598714.0
2019-04-26,417.243,421.063,414.382,420.642,469042.0
2019-04-27,417.243,421.063,414.382,420.642,469042.0
2019-04-28,417.243,421.063,414.382,420.642,469042.0
2019-04-29,421.538,422.925,420.317,421.397,366911.0
2019-04-30,421.309,426.675,419.404,426.14,567635.0
2019-05-01,427.545,428.08,420.4,420.774,488613.0
2019-05-02,421.107,421.687,414.047,418.385,436131.0
2019-05-03,418.473,424.085,418.385,423.733,403293.0
2019-05-04,418.473,424.085,418.385,423.733,403293.0
2019-05-05,418.473,424.085,418.385,423.733,403293.0
2019-05-06,415.32,420.326,412.642,418.35,434380.0
2019-05-07,415.926,416.207,403.148,407.284,709484.0
2019-05-08,405.888,412.281,403.64,408.777,454830.0
2019-05-09,402.858,407.89,398.845,407.68,435546.0
2019-05-10,405.598,408.927,398.046,406.608,484262.0
2019-05-11,405.598,408.927,398.046,406.608,484262.0
2019-05-12,405.598,408.927,398.046,406.608,484262.0
2019-05-13,397.932,399.047,386.576,388.851,703857.0
2019-05-14,390.239,396.123,390.239,391.556,426794.0
2019-05-15,387.718,392.021,385.909,390.239,424222.0
2019-05-16,392.127,395.789,391.472,392.768,449091.0
2019-05-17,388.017,392.873,386.62,387.78,496878.0
2019-05-18,388.017,392.873,386.62,387.78,496878.0
2019-05-19,388.017,392.873,386.62,387.78,496878.0
2019-05-20,386.058,386.653,381.562,384.732,465677.0
2019-05-21,387.13,390.203,386.576,387.867,306992.0
2019-05-22,386.55,388.236,383.23,385.654,331006.0
2019-05-23,381.896,381.896,376.839,381.044,577553.0
2019-05-24,383.775,384.859,381.843,382.686,277330.0
2019-05-25,383.775,384.859,381.843,382.686,277330.0
2019-05-26,383.775,384.859,381.843,382.686,277330.0
2019-05-27,383.775,384.859,381.843,382.686,277330.0
2019-05-28,383.046,383.512,377.022,377.022,462829.0
2019-05-29,374.457,376.266,371.155,375.81,390709.0
2019-05-30,376.293,378.927,372.195,374.633,412411.0
2019-05-31,369.504,369.504,364.472,364.946,534635.0
2019-06-01,369.504,369.504,364.472,364.946,534635.0
2019-06-02,369.504,369.504,364.472,364.946,534635.0
2019-06-03,365.078,370.497,364.621,368.758,581372.0
2019-06-04,380.618,381.843,371.612,381.606,558448.0
2019-06-05,383.756,389.8,378.579,387.729,605831.0
2019-06-06,387.862,390.791,386.048,388.685,675288.0
2019-06-07,389.358,393.262,388.067,393.003,503954.0
2019-06-08,389.358,393.262,388.067,393.003,503954.0
2019-06-09,389.358,393.262,388.067,393.003,503954.0
2019-06-10,395.472,397.331,392.437,392.738,525014.0
2019-06-11,396.517,396.747,389.287,392.127,536789.0
2019-06-12,392.411,396.41,390.304,394.897,430122.0
2019-06-13,395.437,397.685,394.402,396.694,325862.0
2019-06-14,397.455,397.455,393.464,395.534,343538.0
2019-06-15,397.455,397.455,393.464,395.534,343538.0
2019-06-16,397.455,397.455,393.464,395.534,343538.0
2019-06-17,395.269,396.269,389.021,389.473,346387.0
2019-06-18,392.304,403.618,391.49,397.605,535435.0
2019-06-19,399.278,403.72,397.579,402.596,544286.0
2019-06-20,403.968,413.122,403.968,412.003,729137.0
2019-06-21,411.596,417.843,410.352,414.357,1056899.0
2019-06-22,411.596,417.843,410.352,414.357,1056899.0
2019-06-23,411.596,417.843,410.352,414.357,1056899.0
2019-06-24,414.029,416.728,408.388,410.074,397571.0
2019-06-25,409.746,409.755,403.516,405.614,454082.0
2019-06-26,407.198,408.366,403.056,407.914,434348.0
2019-06-27,409.26,413.335,408.277,411.029,352878.0
2019-06-28,414.64,418.003,412.029,415.295,634256.0
2019-06-29,414.64,418.003,412.029,415.295,634256.0
2019-06-30,414.64,418.003,412.029,415.295,634256.0
2019-07-01,420.233,422.232,414.994,418.507,471628.0
2019-07-02,418.542,418.657,413.852,415.799,346991.0
2019-07-03,417.118,422.179,416.98,420.648,343881.0
2019-07-04,417.118,422.179,416.98,420.648,343881.0
2019-07-05,420.604,423.666,417.87,423.604,383113.0
2019-07-06,420.604,423.666,417.87,423.604,383113.0
2019-07-07,420.604,423.666,417.87,423.604,383113.0
2019-07-08,419.507,422.295,417.64,418.073,414631.0
2019-07-09,416.144,421.436,414.304,419.295,445512.0
2019-07-10,419.295,421.799,418.011,420.817,505079.0
2019-07-11,422.109,425.387,419.817,424.825,390571.0
2019-07-12,423.153,427.263,421.737,426.94,472362.0
2019-07-13,423.153,427.263,421.737,426.94,472362.0
2019-07-14,423.153,427.263,421.737,426.94,472362.0
2019-07-15,427.303,427.418,424.073,426.268,416403.0
2019-07-16,426.958,427.852,422.002,422.259,409740.0
2019-07-17,420.339,421.755,414.286,416.799,511158.0
2019-07-18,416.675,420.507,415.923,420.463,498472.0
2019-07-19,421.489,427.414,418.126,418.781,887366.0
2019-07-20,421.489,427.414,418.126,418.781,887366.0
2019-07-21,421.489,427.414,418.126,418.781,887366.0
2019-07-22,418.188,420.374,412.246,419.056,647810.0
2019-07-23,421.64,425.365,420.949,422.516,449207.0
2019-07-24,421.188,426.263,421.056,422.241,593392.0
2019-07-25,421.71,421.71,416.003,419.339,494858.0
2019-07-26,419.781,423.755,417.56,423.144,417965.0
2019-07-27,419.781,423.755,417.56,423.144,417965.0
2019-07-28,419.781,423.755,417.56,423.144,417965.0
2019-07-29,422.073,425.976,420.051,423.268,363347.0
2019-07-30,420.339,423.409,418.348,423.356,391655.0
2019-07-31,422.932,423.281,411.941,413.861,421092.0
2019-08-01,411.658,413.852,397.994,399.941,734629.0
2019-08-02,398.216,399.729,390.942,396.641,527693.0
2019-08-03,398.216,399.729,390.942,396.641,527693.0
2019-08-04,398.216,399.729,390.942,396.641,527693.0
2019-08-05,387.561,388.647,377.697,381.685,647585.0
2019-08-06,385.287,387.499,380.716,385.57,418125.0
2019-08-07,377.632,382.986,374.725,380.862,573953.0
2019-08-08,384.057,387.986,381.933,387.26,499922.0
2019-08-09,384.96,385.035,376.84,377.27,649988.0
2019-08-10,384.96,385.035,376.84,377.27,649988.0
2019-08-11,384.96,385.035,376.84,377.27,649988.0
2019-08-12,371.88,376.924,366.765,368.518,661186.0
2019-08-13,368.624,378.035,365.996,376.385,882887.0
2019-08-14,367.022,370.888,363.708,364.031,793669.0
2019-08-15,365.951,369.19,359.465,362.199,612719.0
2019-08-16,365.827,374.066,365.827,371.19,544256.0
2019-08-17,365.827,374.066,365.827,371.19,544256.0
2019-08-18,365.827,374.066,365.827,371.19,544256.0
2019-08-19,378.013,378.694,374.473,376.588,473009.0
2019-08-20,374.686,374.686,369.482,370.155,401659.0
2019-08-21,374.146,376.066,371.761,372.491,351198.0
2019-08-22,374.323,375.14,368.686,370.783,551900.0
2019-08-23,368.96,370.756,358.456,360.385,853346.0
2019-08-24,368.96,370.756,358.456,360.385,853346.0
2019-08-25,368.96,370.756,358.456,360.385,853346.0
2019-08-26,364.305,364.478,357.098,358.81,812336.0
2019-08-27,359.854,363.615,358.624,363.27,1068831.0
2019-08-28,361.058,366.332,359.62,366.217,590682.0
2019-08-29,370.783,375.942,369.004,373.473,699706.0
2019-08-30,376.057,376.84,372.491,373.933,466297.0
2019-08-31,376.057,376.84,372.491,373.933,466297.0
2019-09-01,376.057,376.84,372.491,373.933,466297.0
2019-09-02,376.057,376.84,372.491,373.933,466297.0
2019-09-03,372.544,372.544,365.199,367.969,540290.0
2019-09-04,371.323,373.455,367.612,370.752,525017.0
2019-09-05,376.265,383.543,375.381,378.851,888922.0
2019-09-06,378.994,380.109,375.694,378.057,467212.0
2019-09-07,378.994,380.109,375.694,378.057,467212.0
2019-09-08,378.994,380.109,375.694,378.057,467212.0
2019-09-09,380.849,386.121,378.976,384.319,724667.0
2019-09-10,385.345,387.223,375.921,382.08,734800.0
2019-09-11,382.91,387.25,378.084,386.086,605069.0
2019-09-12,386.157,390.028,382.437,387.798,602193.0
2019-09-13,390.831,396.754,389.868,395.121,586486.0
2019-09-14,390.831,396.754,389.868,395.121,586486.0
2019-09-15,390.831,396.754,389.868,395.121,586486.0
2019-09-16,391.741,394.827,385.747,388.654,697398.0
2019-09-17,389.761,392.071,387.745,391.75,677930.0
2019-09-18,394.756,396.897,391.527,395.3,645484.0
2019-09-19,395.648,400.465,394.35,396.031,521066.0
2019-09-20,397.976,398.841,394.1,396.397,1234461.0
2019-09-21,397.976,398.841,394.1,396.397,1234461.0
2019-09-22,397.976,398.841,394.1,396.397,1234461.0
2019-09-23,393.32,399.689,392.715,398.012,663140.0
2019-09-24,400.598,401.374,391.714,394.372,789066.0
2019-09-25,394.265,397.441,390.077,397.111,601458.0
2019-09-26,396.691,398.913,394.399,397.833,517325.0
2019-09-27,400.135,400.973,393.329,397.949,539203.0
2019-09-28,400.135,400.973,393.329,397.949,539203.0
2019-09-29,400.135,400.973,393.329,397.949,539203.0
2019-09-30,399.697,400.491,396.941,397.512,362872.0
2019-10-01,397.503,400.215,386.478,386.853,604343.0
2019-10-02,382.223,382.967,372.38,374.962,762354.0
2019-10-03,373.651,376.077,366.8,374.293,508320.0
2019-10-04,375.667,381.51,373.829,381.278,358260.0
2019-10-05,375.667,381.51,373.829,381.278,358260.0
2019-10-06,375.667,381.51,373.829,381.278,358260.0
2019-10-07,378.887,381.099,375.778,377.469,585555.0
2019-10-08,374.079,374.873,367.282,368.54,507535.0
2019-10-09,370.904,374.043,369.253,372.117,386543.0
2019-10-10,372.028,378.994,372.028,374.98,589763.0
2019-10-11,381.777,388.824,379.511,387.129,742922.0
2019-10-12,381.777,388.824,379.511,387.129,742922.0
2019-10-13,381.777,388.824,379.511,387.129,742922.0
2019-10-14,385.604,387.575,383.231,387.316,714328.0
2019-10-15,390.537,399.599,388.066,396.451,840300.0
2019-10-16,396.941,399.082,396.105,398.19,484655.0
2019-10-17,401.392,405.308,400.509,401.999,546587.0
2019-10-18,400.268,401.571,396.584,396.977,527955.0
2019-10-19,400.268,401.571,396.584,396.977,527955.0
2019-10-20,400.268,401.571,396.584,396.977,527955.0
2019-10-21,398.779,405.317,398.757,404.657,576621.0
2019-10-22,404.639,406.089,400.509,401.687,410487.0
2019-10-23,401.25,407.931,399.912,407.699,378296.0
2019-10-24,408.163,409.857,402.927,405.558,405179.0
2019-10-25,406.575,410.856,402.891,410.143,475355.0
2019-10-26,406.575,410.856,402.891,410.143,475355.0
2019-10-27,406.575,410.856,402.891,410.143,475355.0
2019-10-28,411.632,418.795,411.632,416.173,584098.0
2019-10-29,414.737,419.946,414.424,415.816,473729.0
2019-10-30,415.138,417.056,410.883,416.512,323587.0
2019-10-31,414.085,416.512,408.537,411.838,429503.0
2019-11-01,415.994,420.668,415.945,418.501,441463.0
2019-11-02,415.994,420.668,415.945,418.501,441463.0
2019-11-03,415.994,420.668,415.945,418.501,441463.0
2019-11-04,423.594,425.307,421.837,425.066,551836.0
2019-11-05,425.066,432.523,424.409,430.338,716771.0
2019-11-06,432.541,438.491,430.906,436.671,792764.0
2019-11-07,439.044,441.889,436.671,437.224,756488.0
2019-11-08,436.947,438.812,433.21,437.269,356214.0
2019-11-09,436.947,438.812,433.21,437.269,356214.0
2019-11-10,436.947,438.812,433.21,437.269,356214.0
2019-11-11,433.87,436.02,432.969,434.218,414091.0
2019-11-12,434.405,434.961,432.095,434.218,365285.0
2019-11-13,430.418,435.208,428.67,433.13,334796.0
2019-11-14,432.595,433.183,429.803,432.256,413321.0
2019-11-15,433.576,438.757,431.729,437.938,342074.0
2019-11-16,433.576,438.757,431.729,437.938,342074.0
2019-11-17,433.576,438.757,431.729,437.938,342074.0
2019-11-18,437.804,439.37,435.913,438.633,303683.0
2019-11-19,439.757,442.237,438.089,439.579,350598.0
2019-11-20,437.599,439.499,432.773,436.02,438802.0
2019-11-21,436.189,436.635,430.427,432.603,526929.0
2019-11-22,432.621,435.088,431.818,432.621,483119.0
2019-11-23,432.621,435.088,431.818,432.621,483119.0
2019-11-24,432.621,435.088,431.818,432.621,483119.0
2019-11-25,433.727,439.365,432.05,438.74,434720.0
2019-11-26,437.759,438.379,434.851,437.875,525631.0
2019-11-27,437.465,441.22,436.064,440.837,299709.0
2019-11-28,437.465,441.22,436.064,440.837,299709.0
2019-11-29,442.924,443.236,440.168,441.461,239594.0
2019-11-30,442.924,443.236,440.168,441.461,239594.0
2019-12-01,442.924,443.236,440.168,441.461,239594.0
2019-12-02,441.791,442.157,436.109,436.814,379788.0
2019-12-03,432.3,433.701,426.984,433.299,482263.0
2019-12-04,433.21,439.757,433.21,434.129,730794.0
2019-12-05,435.673,440.55,433.347,440.334,460598.0
2019-12-06,444.977,448.776,441.726,445.238,506997.0
2019-12-07,444.977,448.776,441.726,445.238,506997.0
2019-12-08,444.977,448.776,441.726,445.238,506997.0
2019-12-09,443.927,447.33,441.951,446.414,372962.0
2019-12-10,447.061,447.178,442.624,443.684,354071.0
2019-12-11,443.909,446.657,442.418,443.576,469584.0
2019-12-12,443.693,452.36,443.226,450.95,535815.0
2019-12-13,450.474,452.512,444.991,447.798,455646.0
2019-12-14,450.474,452.512,444.991,447.798,455646.0
2019-12-15,450.474,452.512,444.991,447.798,455646.0
2019-12-16,452.288,455.162,450.142,450.887,426876.0
2019-12-17,452.216,453.734,449.136,451.102,425123.0
2019-12-18,451.893,451.893,447.402,448.588,542930.0
2019-12-19,448.453,452.512,448.166,451.147,428327.0
2019-12-20,454.758,454.758,448.525,448.678,967572.0
2019-12-21,454.758,454.758,448.525,448.678,967572.0
2019-12-22,454.758,454.758,448.525,448.678,967572.0
2019-12-23,450.501,451.575,446.899,448.741,361212.0
2019-12-24,449.315,449.728,446.747,448.723,126394.0
2019-12-25,449.315,449.728,446.747,448.723,126394.0
2019-12-26,448.902,451.974,448.799,451.956,156971.0
2019-12-27,451.965,453.128,450.501,451.749,221678.0
2019-12-28,451.965,453.128,450.501,451.749,221678.0
2019-12-29,451.965,453.128,450.501,451.749,221678.0
2019-12-30,452.638,452.638,448.678,449.8,276150.0
2019-12-31,449.728,451.641,447.501,451.471,296863.0
2020-01-01,449.728,451.641,447.501,451.471,296863.0
2020-01-02,458.027,458.027,453.464,457.111,520448.0
2020-01-03,450.591,455.064,450.411,452.252,337321.0
2020-01-04,450.591,455.064,450.411,452.252,337321.0
2020-01-05,450.591,455.064,450.411,452.252,337321.0
2020-01-06,449.199,453.33,447.708,452.638,411307.0
2020-01-07,451.632,457.865,451.632,455.53,454223.0
2020-01-08,456.024,458.153,451.058,455.422,726510.0
2020-01-09,461.511,462.356,458.566,460.811,477148.0
2020-01-10,462.077,462.733,458.395,459.985,483959.0
2020-01-11,462.077,462.733,458.395,459.985,483959.0
2020-01-12,462.077,462.733,458.395,459.985,483959.0
2020-01-13,460.964,470.106,460.964,469.801,651831.0
2020-01-14,467.142,471.498,463.882,465.499,924358.0
2020-01-15,465.661,477.444,465.661,476.222,1005148.0
2020-01-16,482.194,482.194,476.213,480.479,778150.0
2020-01-17,482.329,484.247,478.889,480.695,669121.0
2020-01-18,482.329,484.247,478.889,480.695,669121.0
2020-01-19,482.329,484.247,478.889,480.695,669121.0
2020-01-20,482.329,484.247,478.889,480.695,669121.0
2020-01-21,477.794,479.716,473.977,475.216,775987.0
2020-01-22,478.261,484.637,477.188,482.15,778123.0
2020-01-23,479.222,488.562,478.575,486.712,804476.0
2020-01-24,488.939,491.57,478.467,482.132,751151.0
2020-01-25,488.939,491.57,478.467,482.132,751151.0
2020-01-26,488.939,491.57,478.467,482.132,751151.0
2020-01-27,468.804,476.285,466.657,470.429,516527.0
2020-01-28,474.156,479.374,471.633,475.962,496575.0
2020-01-29,479.985,486.918,478.117,481.817,434731.0
2020-01-30,476.923,485.203,475.01,484.691,510956.0
2020-01-31,483.119,484.152,471.66,473.609,646420.0
2020-02-01,483.119,484.152,471.66,473.609,646420.0
2020-02-02,483.119,484.152,471.66,473.609,646420.0
2020-02-03,476.195,482.41,475.809,476.06,503076.0
2020-02-04,483.326,485.257,477.291,480.695,851764.0
2020-02-05,488.418,490.97,482.697,488.095,942967.0
2020-02-06,492.217,498.652,486.164,498.145,824432.0
2020-02-07,493.95,499.348,493.497,499.105,712908.0
2020-02-08,493.95,499.348,493.497,499.105,712908.0
2020-02-09,493.95,499.348,493.497,499.105,712908.0
2020-02-10,497.04,504.054,496.917,503.919,744099.0
2020-02-11,506.569,513.089,506.411,512.307,598959.0
2020-02-12,516.259,518.028,511.921,514.14,426314.0
2020-02-13,510.736,514.382,509.55,510.61,479675.0
2020-02-14,508.086,510.942,505.365,508.266,472391.0
2020-02-15,508.086,510.942,505.365,508.266,472391.0
2020-02-16,508.086,510.942,505.365,508.266,472391.0
2020-02-17,508.086,510.942,505.365,508.266,472391.0
2020-02-18,507.422,507.615,505.006,507.251,403248.0
2020-02-19,510.098,514.607,508.491,513.771,383200.0
2020-02-20,511.912,514.562,503.487,509.146,475404.0
2020-02-21,505.994,507.287,498.441,500.237,494166.0
2020-02-22,505.994,507.287,498.441,500.237,494166.0
2020-02-23,505.994,507.287,498.441,500.237,494166.0
2020-02-24,481.422,486.146,473.878,474.192,1063898.0
2020-02-25,476.222,477.003,451.264,454.434,1064637.0
2020-02-26,456.383,465.176,453.976,456.653,959697.0
2020-02-27,445.13,449.818,427.294,427.33,1286083.0
2020-02-28,412.449,417.981,403.261,415.825,2039371.0
2020-02-29,412.449,417.981,403.261,415.825,2039371.0
2020-03-01,412.449,417.981,403.261,415.825,2039371.0
2020-03-02,419.535,438.43,414.532,438.215,1278217.0
2020-03-03,438.574,452.62,427.656,432.943,1589823.0
2020-03-04,441.675,450.435,433.717,448.209,1175004.0
2020-03-05,431.975,436.522,420.401,427.541,1022212.0
2020-03-06,409.054,415.315,398.629,407.579,1460371.0
2020-03-07,409.054,415.315,398.629,407.579,1460371.0
2020-03-08,409.054,415.315,398.629,407.579,1460371.0
2020-03-09,372.269,394.629,366.623,379.165,1478230.0
2020-03-10,399.362,415.37,392.937,415.352,1608337.0
2020-03-11,402.683,405.384,382.024,389.987,1263679.0
2020-03-12,360.496,380.06,346.968,349.493,1669907.0
2020-03-13,375.635,379.373,351.103,374.432,1579445.0
2020-03-14,375.635,379.373,351.103,374.432,1579445.0
2020-03-15,375.635,379.373,351.103,374.432,1579445.0
2020-03-16,333.403,340.76,320.346,323.305,1569371.0
2020-03-17,331.385,360.37,321.594,349.981,1609663.0
2020-03-18,323.205,338.951,293.171,337.856,1969554.0
2020-03-19,332.363,375.672,317.895,359.573,1593658.0
2020-03-20,362.876,364.13,317.586,320.988,1363213.0
2020-03-21,362.876,364.13,317.586,320.988,1363213.0
2020-03-22,362.876,364.13,317.586,320.988,1363213.0
2020-03-23,320.988,320.988,295.253,296.284,1422874.0
2020-03-24,316.084,337.584,313.358,336.353,1319554.0
2020-03-25,348.298,398.149,341.149,363.211,1950996.0
2020-03-26,369.256,411.28,367.003,408.927,1598329.0
2020-03-27,387.788,406.737,381.074,393.037,1044182.0
2020-03-28,387.788,406.737,381.074,393.037,1044182.0
2020-03-29,387.788,406.737,381.074,393.037,1044182.0
2020-03-30,396.349,412.863,393.191,412.049,1177358.0
2020-03-31,408.918,415.017,395.435,398.131,1390256.0
2020-04-01,378.35,384.132,363.682,370.595,1163679.0
2020-04-02,369.364,392.611,367.564,385.969,649308.0
2020-04-03,386.132,391.802,371.943,378.314,612653.0
2020-04-04,386.132,391.802,371.943,378.314,612653.0
2020-04-05,386.132,391.802,371.943,378.314,612653.0
2020-04-06,399.977,409.904,392.186,406.773,957936.0
2020-04-07,424.401,424.46,399.95,400.982,831225.0
2020-04-08,403.416,412.311,399.633,408.085,772259.0
2020-04-09,416.257,433.169,414.836,426.591,1154661.0
2020-04-10,416.257,433.169,414.836,426.591,1154661.0
2020-04-11,416.257,433.169,414.836,426.591,1154661.0
2020-04-12,416.257,433.169,414.836,426.591,1154661.0
2020-04-13,424.274,425.523,406.529,409.37,689115.0
2020-04-14,422.401,423.487,413.071,414.474,566294.0
2020-04-15,400.412,408.112,398.158,400.937,590579.0
2020-04-16,402.855,418.836,402.538,415.343,764913.0
2020-04-17,431.025,438.599,424.717,431.522,977286.0
2020-04-18,431.025,438.599,424.717,431.522,977286.0
2020-04-19,431.025,438.599,424.717,431.522,977286.0
2020-04-20,423.351,430.047,420.007,426.03,589552.0
2020-04-21,416.32,432.197,410.221,429.26,1200743.0
2020-04-22,438.264,441.485,430.319,435.26,842763.0
2020-04-23,435.549,438.662,424.681,426.392,512349.0
2020-04-24,430.762,430.762,424.98,429.957,517642.0
2020-04-25,430.762,430.762,424.98,429.957,517642.0
2020-04-26,430.762,430.762,424.98,429.957,517642.0
2020-04-27,435.323,450.779,431.694,449.421,613925.0
2020-04-28,459.755,462.217,447.711,450.435,655696.0
2020-04-29,462.108,466.931,452.982,462.76,637998.0
2020-04-30,453.575,459.638,450.471,454.299,580331.0
2020-05-01,444.689,445.639,437.205,438.119,526329.0
2020-05-02,444.689,445.639,437.205,438.119,526329.0
2020-05-03,444.689,445.639,437.205,438.119,526329.0
2020-05-04,433.45,437.712,428.12,435.721,634897.0
2020-05-05,441.693,446.779,438.768,439.323,525894.0
2020-05-06,443.159,444.938,431.341,437.431,520862.0
2020-05-07,447.811,454.996,446.417,450.091,537095.0
