,XEL US Equity,XEL US Equity,XEL US Equity,XEL US Equity,XEL US Equity
2020-02-20,62.4007,62.6212,61.9199,62.3389,2243974.0
2020-02-21,62.383,62.9961,62.136,62.4712,3563601.0
2020-02-22,62.383,62.9961,62.136,62.4712,3563601.0
2020-02-23,62.383,62.9961,62.136,62.4712,3563601.0
2020-02-24,63.2387,63.6356,61.942,62.0743,3530993.0
2020-02-25,62.1713,62.3213,60.6276,60.7246,3581915.0
2020-02-26,61.1481,61.298,60.266,60.2924,3060224.0
2020-02-27,60.2748,60.5747,57.1697,57.205,4225443.0
2020-02-28,56.5258,56.5258,54.0294,54.9733,7762127.0
2020-02-29,56.5258,56.5258,54.0294,54.9733,7762127.0
2020-03-01,56.5258,56.5258,54.0294,54.9733,7762127.0
2020-03-02,54.8851,58.2106,54.8233,58.1048,5117767.0
2020-03-03,57.7078,59.5073,57.5138,57.9636,5425310.0
2020-03-04,58.687,61.223,58.2724,61.0422,3454161.0
2020-03-05,59.8425,61.7655,59.4985,61.0863,5871755.0
2020-03-06,58.6693,61.889,58.4248,61.8802,6689606.0
2020-03-07,58.6693,61.889,58.4248,61.8802,6689606.0
2020-03-08,58.6693,61.889,58.4248,61.8802,6689606.0
2020-03-09,58.537,61.7391,57.6051,59.9749,9885410.0
2020-03-10,60.4688,62.3477,58.3077,60.4159,8897486.0
2020-03-11,59.128,60.1866,57.8931,58.9428,5927758.0
2020-03-12,55.9863,59.4666,52.8878,54.4149,7309089.0
2020-03-13,56.2615,59.3512,54.1574,59.3423,5724787.0
2020-03-14,56.2615,59.3512,54.1574,59.3423,5724787.0
2020-03-15,56.2615,59.3512,54.1574,59.3423,5724787.0
2020-03-16,54.0331,59.4843,50.9701,51.8135,7884297.0
2020-03-17,53.0387,59.7152,52.9505,57.6465,8959341.0
2020-03-18,54.5924,56.8209,51.1965,54.4859,6690296.0
2020-03-19,54.6279,55.4714,50.8193,51.485,6840674.0
2020-03-20,52.3817,52.5149,44.4179,44.9506,9148851.0
2020-03-21,52.3817,52.5149,44.4179,44.9506,9148851.0
2020-03-22,52.3817,52.5149,44.4179,44.9506,9148851.0
2020-03-23,44.8352,45.2791,41.3549,44.3913,6062677.0
2020-03-24,45.5277,48.2178,44.8974,47.987,5499253.0
2020-03-25,47.3566,50.6505,46.6809,49.3187,5942615.0
2020-03-26,49.665,52.0444,48.7772,51.414,5489857.0
2020-03-27,50.5084,53.8023,49.7094,52.1775,4399062.0
2020-03-28,50.5084,53.8023,49.7094,52.1775,4399062.0
2020-03-29,50.5084,53.8023,49.7094,52.1775,4399062.0
2020-03-30,53.1985,56.0307,52.4084,55.5424,7024863.0
2020-03-31,54.912,55.0896,53.1009,53.5359,6831878.0
2020-04-01,51.8135,52.4616,50.5661,51.5649,4086775.0
2020-04-02,50.8991,54.2462,50.7059,53.6424,3525132.0
2020-04-03,53.163,53.6424,50.8636,51.3696,3450316.0
2020-04-04,53.163,53.6424,50.8636,51.3696,3450316.0
2020-04-05,53.163,53.6424,50.8636,51.3696,3450316.0
2020-04-06,52.6836,55.2228,52.3196,54.2906,4525605.0
2020-04-07,54.255,55.4048,52.0266,52.5859,3916454.0
2020-04-08,52.7813,56.1816,52.2752,55.7555,2771295.0
2020-04-09,55.5957,59.1647,55.5868,58.8362,4319330.0
2020-04-10,55.5957,59.1647,55.5868,58.8362,4319330.0
2020-04-11,55.5957,59.1647,55.5868,58.8362,4319330.0
2020-04-12,55.5957,59.1647,55.5868,58.8362,4319330.0
2020-04-13,58.2148,58.7474,55.9508,56.5146,2401840.0
2020-04-14,57.6288,58.9339,57.4601,58.8185,3067383.0
2020-04-15,58.2325,58.561,56.7321,57.0872,2524715.0
2020-04-16,56.8386,58.1837,56.7676,57.9306,3074881.0
2020-04-17,59.2801,59.8661,58.0638,59.6175,2550580.0
2020-04-18,59.2801,59.8661,58.0638,59.6175,2550580.0
2020-04-19,59.2801,59.8661,58.0638,59.6175,2550580.0
2020-04-20,59.6885,59.875,57.0961,57.1316,3454304.0
2020-04-21,56.2083,57.105,55.7288,56.297,4284693.0
2020-04-22,57.1494,58.5077,56.8919,57.9928,2515556.0
2020-04-23,57.611,58.0905,56.2882,57.1582,3083737.0
2020-04-24,56.2083,57.3979,56.2083,57.3269,2868837.0
2020-04-25,56.2083,57.3979,56.2083,57.3269,2868837.0
2020-04-26,56.2083,57.3979,56.2083,57.3269,2868837.0
2020-04-27,57.5222,58.3035,57.5045,58.126,2752039.0
2020-04-28,58.6054,59.3689,58.0993,58.7474,3176278.0
2020-04-29,59.5554,59.5554,57.4335,57.7797,3760247.0
2020-04-30,57.8596,58.2991,56.1461,56.4302,3659697.0
2020-05-01,56.0928,56.0928,54.6324,55.205,3324211.0
2020-05-02,56.0928,56.0928,54.6324,55.205,3324211.0
2020-05-03,56.0928,56.0928,54.6324,55.205,3324211.0
2020-05-04,55.4003,55.7466,54.7434,55.3915,2682297.0
2020-05-05,55.4003,56.7498,55.4003,56.1772,3186084.0
2020-05-06,56.2171,56.7321,54.1041,54.3527,7734579.0
2020-05-07,55.8265,56.4125,53.1009,53.234,3252909.0
2020-05-08,53.9177,54.1263,53.163,53.5448,2528984.0
2020-05-09,53.9177,54.1263,53.163,53.5448,2528984.0
2020-05-10,53.9177,54.1263,53.163,53.5448,2528984.0
2020-05-11,53.092,53.4826,52.3285,53.385,2426206.0
2020-05-12,53.4649,53.6691,52.1331,52.1953,2325903.0
2020-05-13,51.3785,51.8046,50.9878,51.5472,4287977.0
2020-05-14,51.4318,51.7159,49.7804,51.6715,5046493.0
2020-05-15,51.5649,51.6448,50.1533,51.3962,5744306.0
2020-05-16,51.5649,51.6448,50.1533,51.3962,5744306.0
2020-05-17,51.5649,51.6448,50.1533,51.3962,5744306.0
2020-05-18,52.6747,53.5714,52.2098,53.385,2177430.0
2020-05-19,53.0476,53.5625,52.6747,53.0032,2547450.0
2020-05-20,53.2616,53.6247,52.7014,53.4915,2612272.0
2020-05-21,53.2429,53.5981,53.0476,53.4027,2630520.0
2020-05-22,53.2696,53.6735,52.9499,53.5981,2018204.0
2020-05-23,53.2696,53.6735,52.9499,53.5981,2018204.0
2020-05-24,53.2696,53.6735,52.9499,53.5981,2018204.0
2020-05-25,53.2696,53.6735,52.9499,53.5981,2018204.0
2020-05-26,54.0597,55.0718,53.6158,54.2107,2700965.0
2020-05-27,54.8321,55.205,54.2284,54.8055,2986421.0
2020-05-28,55.3471,56.9318,55.2317,56.8297,2640420.0
2020-05-29,56.9896,57.9839,56.2704,57.7353,3972285.0
2020-05-30,56.9896,57.9839,56.2704,57.7353,3972285.0
2020-05-31,56.9896,57.9839,56.2704,57.7353,3972285.0
2020-06-01,58.0534,58.6542,57.105,58.3746,1898378.0
2020-06-02,58.5521,58.7119,57.9484,58.6587,3477699.0
2020-06-03,58.925,59.9593,58.7208,59.3245,2591443.0
2020-06-04,58.6498,59.2091,56.9807,57.7353,2385732.0
2020-06-05,57.7353,59.0582,57.7353,57.9395,2893745.0
2020-06-06,57.7353,59.0582,57.7353,57.9395,2893745.0
2020-06-07,57.7353,59.0582,57.7353,57.9395,2893745.0
2020-06-08,57.3585,59.6442,57.3536,59.44,2578408.0
2020-06-09,59.147,59.1558,57.9928,58.925,2236633.0
2020-06-10,59.147,59.8927,58.8717,59.4222,2763562.0
2020-06-11,59.0937,59.218,57.1494,57.7797,3532480.0
2020-06-12,58.4589,58.4589,56.0995,56.886,3376676.0
2020-06-13,58.4589,58.4589,56.0995,56.886,3376676.0
2020-06-14,58.4589,58.4589,56.0995,56.886,3376676.0
2020-06-15,55.9654,57.2703,55.5275,56.7608,2770457.0
2020-06-16,58.3428,58.6556,56.7072,56.9664,2886945.0
2020-06-17,57.4669,57.5384,56.3542,57.1005,2529077.0
2020-06-18,56.8949,57.744,56.6894,57.6546,2941771.0
2020-06-19,57.735,58.4232,56.5821,57.2077,6627093.0
2020-06-20,57.735,58.4232,56.5821,57.2077,6627093.0
2020-06-21,57.735,58.4232,56.5821,57.2077,6627093.0
2020-06-22,57.0915,58.7628,56.4034,58.2266,3424504.0
2020-06-23,58.526,58.7986,57.163,57.3686,2084748.0
2020-06-24,56.877,57.3865,56.2335,56.9128,2150924.0
2020-06-25,57.1541,57.172,55.5186,56.2157,2178933.0
2020-06-26,56.1531,56.8592,55.0359,55.6884,4446459.0
2020-06-27,56.1531,56.8592,55.0359,55.6884,4446459.0
2020-06-28,56.1531,56.8592,55.0359,55.6884,4446459.0
2020-06-29,56.305,56.305,55.4113,55.8224,2652255.0
2020-06-30,56.0012,56.457,55.6347,55.8582,4116771.0
2020-07-01,55.7241,57.4937,55.7241,57.3641,4504847.0
2020-07-02,57.9763,58.1551,57.172,57.2882,3132984.0
2020-07-03,57.9763,58.1551,57.172,57.2882,3132984.0
2020-07-04,57.9763,58.1551,57.172,57.2882,3132984.0
2020-07-05,57.9763,58.1551,57.172,57.2882,3132984.0
2020-07-06,57.8512,58.0746,56.3229,56.8234,2934561.0
2020-07-07,56.3855,57.0558,56.0101,56.8413,2532953.0
2020-07-08,56.6983,57.2479,56.3006,56.9932,2889107.0
2020-07-09,56.3676,56.8145,55.5364,56.5195,1807967.0
2020-07-10,56.6179,57.4133,56.5017,56.9932,1663198.0
2020-07-11,56.6179,57.4133,56.5017,56.9932,1663198.0
2020-07-12,56.6179,57.4133,56.5017,56.9932,1663198.0
2020-07-13,56.457,58.0299,56.457,57.3507,2157614.0
2020-07-14,57.1005,58.1864,57.1005,57.7708,3041054.0
2020-07-15,58.1551,58.6109,57.2345,57.3775,2137522.0
2020-07-16,57.6099,58.2713,57.3239,58.0836,2209237.0
2020-07-17,58.5483,59.4331,58.1461,59.3348,2065826.0
2020-07-18,58.5483,59.4331,58.1461,59.3348,2065826.0
2020-07-19,58.5483,59.4331,58.1461,59.3348,2065826.0
2020-07-20,59.3259,59.5761,58.7449,58.9416,1570642.0
2020-07-21,59.1829,59.8263,58.7807,59.1829,2984758.0
2020-07-22,59.156,61.4529,58.8432,61.1133,2678700.0
2020-07-23,61.0239,61.4708,60.6218,61.015,1837886.0
2020-07-24,61.4708,61.6496,60.3179,60.6665,1503023.0
2020-07-25,61.4708,61.6496,60.3179,60.6665,1503023.0
2020-07-26,61.4708,61.6496,60.3179,60.6665,1503023.0
2020-07-27,60.7558,60.9167,59.8085,60.3358,1941244.0
2020-07-28,60.2375,61.5781,60.0855,61.1044,1686407.0
2020-07-29,61.1044,61.4887,60.729,61.4261,1741965.0
2020-07-30,60.6659,62.159,60.2911,61.6674,2102986.0
2020-07-31,61.2384,62.0205,60.8095,61.7032,2663615.0
2020-08-01,61.2384,62.0205,60.8095,61.7032,2663615.0
2020-08-02,61.2384,62.0205,60.8095,61.7032,2663615.0
2020-08-03,61.444,61.6764,60.9524,61.4529,2290133.0
2020-08-04,61.4304,62.7667,61.1185,62.4986,3269748.0
2020-08-05,62.7846,62.7846,61.7613,62.3735,2624025.0
2020-08-06,62.3735,62.865,62.0339,62.6505,2398833.0
2020-08-07,62.8918,65.0949,62.731,64.6525,5060975.0
2020-08-08,62.8918,65.0949,62.731,64.6525,5060975.0
2020-08-09,62.8918,65.0949,62.731,64.6525,5060975.0
2020-08-10,64.5542,65.2424,64.1341,64.7508,2820453.0
2020-08-11,64.6704,64.7687,62.9097,63.0259,3395925.0
2020-08-12,63.2046,64.3844,63.0348,63.8839,2014446.0
2020-08-13,63.5264,63.9733,63.294,63.7051,1475172.0
2020-08-14,63.7051,63.9107,63.0617,63.2136,3421054.0
2020-08-15,63.7051,63.9107,63.0617,63.2136,3421054.0
2020-08-16,63.7051,63.9107,63.0617,63.2136,3421054.0
2020-08-17,63.4728,63.4728,62.6684,62.7399,2141773.0
2020-08-18,62.6684,62.9902,62.3288,62.5612,1561572.0
2020-08-19,62.7935,62.7935,62.0517,62.1858,1688506.0
2020-08-20,61.9445,62.3735,61.5066,61.6764,1848655.0
2020-08-21,61.7836,62.3288,61.3619,62.2126,1624177.0
2020-08-22,61.7836,62.3288,61.3619,62.2126,1624177.0
2020-08-23,61.7836,62.3288,61.3619,62.2126,1624177.0
2020-08-24,62.3377,62.9365,61.7211,62.9276,1247262.0
2020-08-25,62.8025,62.8293,61.4306,61.6406,1724920.0
2020-08-26,61.2116,61.3904,60.4251,60.8899,1873203.0
2020-08-27,61.2921,61.5825,60.8675,61.3368,1900751.0
2020-08-28,61.2921,61.3904,60.443,61.3546,2082454.0
2020-08-29,61.2921,61.3904,60.443,61.3546,2082454.0
2020-08-30,61.2921,61.3904,60.443,61.3546,2082454.0
2020-08-31,60.9793,62.2841,60.729,62.092,2077962.0
2020-09-01,61.73,61.73,60.796,61.2653,2124415.0
2020-09-02,61.158,64.1163,60.8809,63.9464,2908327.0
2020-09-03,64.2056,64.7329,62.6058,63.1421,2834220.0
2020-09-04,63.4191,63.6605,61.8104,62.579,2518767.0
2020-09-05,63.4191,63.6605,61.8104,62.579,2518767.0
2020-09-06,63.4191,63.6605,61.8104,62.579,2518767.0
2020-09-07,63.4191,63.6605,61.8104,62.579,2518767.0
2020-09-08,62.3735,62.5701,61.1312,61.7657,2328171.0
2020-09-09,61.7926,63.7677,61.7926,63.0885,2124506.0
2020-09-10,62.5165,63.1644,61.7032,61.7836,2172494.0
2020-09-11,61.8909,61.9802,60.9167,61.5378,2255483.0
2020-09-12,61.8909,61.9802,60.9167,61.5378,2255483.0
2020-09-13,61.8909,61.9802,60.9167,61.5378,2255483.0
2020-09-14,61.5395,62.8644,61.4699,62.5406,1784965.0
2020-09-15,62.8284,63.9886,62.7879,63.323,1830298.0
2020-09-16,63.5209,64.1594,63.115,63.7817,2143184.0
2020-09-17,62.8284,63.0083,61.2096,61.5513,2704481.0
2020-09-18,61.4794,61.6682,59.8336,60.1663,3958159.0
2020-09-19,61.4794,61.6682,59.8336,60.1663,3958159.0
2020-09-20,61.4794,61.6682,59.8336,60.1663,3958159.0
2020-09-21,60.1753,60.3282,59.0781,59.9325,1776711.0
2020-09-22,59.8516,60.8768,59.5458,60.1394,1629658.0
2020-09-23,60.2203,60.3822,59.4289,59.5278,2198940.0
2020-09-24,59.4469,60.6835,59.186,60.3192,2035134.0
2020-09-25,59.9865,61.6952,59.8156,61.6053,2216956.0
2020-09-26,59.9865,61.6952,59.8156,61.6053,2216956.0
2020-09-27,59.9865,61.6952,59.8156,61.6053,2216956.0
2020-09-28,61.9291,62.2888,61.4884,61.9201,2062268.0
2020-09-29,62.1629,62.5226,61.5154,61.7357,2066169.0
2020-09-30,62.0909,62.5901,61.7942,62.064,3208525.0
2020-10-01,62.4237,63.323,62.2708,63.2961,2240162.0
2020-10-02,62.8554,63.7547,62.4867,63.386,2265289.0
2020-10-03,62.8554,63.7547,62.4867,63.386,2265289.0
2020-10-04,62.8554,63.7547,62.4867,63.386,2265289.0
2020-10-05,63.35,64.3483,62.5946,64.2764,1581856.0
2020-10-06,63.9706,65.6074,63.8267,65.1577,2525246.0
2020-10-07,65.3016,65.4815,64.0965,64.8339,1724659.0
2020-10-08,65.1397,65.4095,64.798,65.2117,1899639.0
2020-10-09,65.6434,65.7243,64.9636,65.3915,1464454.0
2020-10-10,65.6434,65.7243,64.9636,65.3915,1464454.0
2020-10-11,65.6434,65.7243,64.9636,65.3915,1464454.0
2020-10-12,65.8052,66.9204,65.5444,66.21,2274421.0
2020-10-13,66.0031,66.0571,65.1937,65.6524,2608947.0
2020-10-14,65.9671,65.9671,64.807,65.0678,1722727.0
2020-10-15,64.6091,65.5804,64.5282,64.9329,2039764.0
2020-10-16,64.9958,66.138,64.6181,65.7693,2702083.0
2020-10-17,64.9958,66.138,64.6181,65.7693,2702083.0
2020-10-18,64.9958,66.138,64.6181,65.7693,2702083.0
2020-10-19,65.5534,65.9581,64.2674,64.4742,4013327.0
2020-10-20,64.789,64.9023,63.9886,64.3303,1876567.0
2020-10-21,64.3303,64.825,63.9436,64.3303,1842766.0
2020-10-22,64.3483,64.753,63.9076,64.2224,2035539.0
2020-10-23,64.6811,64.699,63.9751,64.2764,1647000.0
2020-10-24,64.6811,64.699,63.9751,64.2764,1647000.0
2020-10-25,64.6811,64.699,63.9751,64.2764,1647000.0
2020-10-26,63.5569,64.5462,63.2991,64.4742,1695100.0
2020-10-27,64.726,65.7603,64.2674,65.0498,2564824.0
2020-10-28,64.3573,65.1937,63.0937,63.1881,2679507.0
2020-10-29,62.9273,64.3213,61.9675,63.6198,3221391.0
2020-10-30,63.1162,63.8087,62.3356,62.9813,2393885.0
2020-10-31,63.1162,63.8087,62.3356,62.9813,2393885.0
2020-11-01,63.1162,63.8087,62.3356,62.9813,2393885.0
2020-11-02,63.8986,65.2027,63.1791,64.5552,2674077.0
2020-11-03,64.9419,66.5967,64.9419,65.6344,2471613.0
2020-11-04,66.4393,67.1003,65.2746,65.4005,2283807.0
2020-11-05,66.3359,67.3341,65.8952,66.3089,2012084.0
2020-11-06,66.7675,66.9114,65.8052,65.9312,1454596.0
2020-11-07,66.7675,66.9114,65.8052,65.9312,1454596.0
2020-11-08,66.7675,66.9114,65.8052,65.9312,1454596.0
2020-11-09,67.7928,68.7461,65.9401,66.0391,2840420.0
2020-11-10,65.7693,66.6102,65.5624,66.3089,2364636.0
2020-11-11,66.8665,68.0266,66.174,67.1723,2085970.0
2020-11-12,66.6236,67.0733,65.7963,66.3359,2104505.0
2020-11-13,66.6596,66.9924,66.2819,66.6236,1217648.0
2020-11-14,66.6596,66.9924,66.2819,66.6236,1217648.0
2020-11-15,66.6596,66.9924,66.2819,66.6236,1217648.0
2020-11-16,66.8215,67.2667,66.138,67.1902,1960204.0
2020-11-17,66.9114,67.2442,65.2207,65.3196,2317306.0
2020-11-18,65.7783,65.8052,63.368,63.404,2199141.0
2020-11-19,63.386,63.4849,61.6053,62.3697,3894205.0
2020-11-20,62.3248,62.9633,62.064,62.3338,2362920.0
2020-11-21,62.3248,62.9633,62.064,62.3338,2362920.0
2020-11-22,62.3248,62.9633,62.064,62.3338,2362920.0
2020-11-23,62.6665,62.6665,60.9757,61.4794,4370177.0
2020-11-24,61.7042,62.01,60.607,61.2815,4927939.0
2020-11-25,61.3175,61.7852,60.607,61.2545,4447591.0
2020-11-26,61.3175,61.7852,60.607,61.2545,4447591.0
2020-11-27,61.4434,61.4524,60.4182,60.8139,1949913.0
2020-11-28,61.4434,61.4524,60.4182,60.8139,1949913.0
2020-11-29,61.4434,61.4524,60.4182,60.8139,1949913.0
2020-11-30,60.8049,61.1286,60.2608,60.58,6760362.0
2020-12-01,60.8139,62.2168,60.7959,61.5244,3937410.0
2020-12-02,61.3175,61.929,60.5531,61.7672,3627006.0
2020-12-03,61.4344,61.6817,60.2743,60.5351,2216495.0
2020-12-04,60.4092,60.7419,58.8263,59.1321,2265507.0
2020-12-05,60.4092,60.7419,58.8263,59.1321,2265507.0
2020-12-06,60.4092,60.7419,58.8263,59.1321,2265507.0
2020-12-07,59.1591,60.1304,59.0062,59.9055,2167032.0
2020-12-08,59.5908,59.982,59.1681,59.3929,1967178.0
2020-12-09,59.3659,59.5908,58.5385,58.9612,2076430.0
2020-12-10,59.0961,59.258,58.3227,58.6195,2045215.0
2020-12-11,58.3047,58.6644,57.9539,58.4576,2213020.0
2020-12-12,58.3047,58.6644,57.9539,58.4576,2213020.0
2020-12-13,58.3047,58.6644,57.9539,58.4576,2213020.0
2020-12-14,58.6824,59.7616,58.4711,58.4936,2355619.0
2020-12-15,58.8803,59.6807,58.2687,59.3749,1978467.0
2020-12-16,59.5098,60.1663,58.8893,58.9882,1991622.0
2020-12-17,59.3569,60.661,59.204,60.2653,2959808.0
2020-12-18,60.5351,60.7149,59.258,59.4469,5993502.0
2020-12-19,60.5351,60.7149,59.258,59.4469,5993502.0
2020-12-20,60.5351,60.7149,59.258,59.4469,5993502.0
2020-12-21,58.6644,58.9702,57.855,58.8083,2901236.0
2020-12-22,58.7268,58.9486,58.3466,58.6906,1799647.0
2020-12-23,58.9894,59.3606,58.1837,58.2199,1153192.0
2020-12-24,58.2833,58.6182,57.9754,58.5096,598400.0
2020-12-25,58.2833,58.6182,57.9754,58.5096,598400.0
2020-12-26,58.2833,58.6182,57.9754,58.5096,598400.0
2020-12-27,58.2833,58.6182,57.9754,58.5096,598400.0
2020-12-28,58.7359,59.2338,58.6273,59.1342,1799806.0
2020-12-29,59.2972,59.5416,58.8717,59.2248,1761421.0
2020-12-30,59.3108,59.614,59.1976,59.433,1296403.0
2020-12-31,59.5235,60.4922,59.1976,60.3564,1743397.0
2021-01-01,59.5235,60.4922,59.1976,60.3564,1743397.0
2021-01-02,59.5235,60.4922,59.1976,60.3564,1743397.0
2021-01-03,59.5235,60.4922,59.1976,60.3564,1743397.0
2021-01-04,60.2387,60.5465,58.9532,59.4375,3197205.0
2021-01-05,59.3877,59.6819,58.3919,58.8626,1976788.0
2021-01-06,58.4643,60.6597,58.4643,60.1663,2666962.0
2021-01-07,60.4741,60.4831,58.7812,58.9894,2630417.0
2021-01-08,58.8989,59.6865,58.745,59.5326,2221705.0
2021-01-09,58.8989,59.6865,58.745,59.5326,2221705.0
2021-01-10,58.8989,59.6865,58.745,59.5326,2221705.0
2021-01-11,59.4601,59.6261,57.8668,58.3014,2100593.0
2021-01-12,58.2923,58.3573,57.1969,57.3961,2765168.0
2021-01-13,57.5319,58.9486,57.2059,58.8536,2656331.0
2021-01-14,58.6906,58.8083,57.4051,57.5409,1750100.0
2021-01-15,57.4051,58.8898,57.0701,58.8083,3811848.0
2021-01-16,57.4051,58.8898,57.0701,58.8083,3811848.0
2021-01-17,57.4051,58.8898,57.0701,58.8083,3811848.0
2021-01-18,57.4051,58.8898,57.0701,58.8083,3811848.0
2021-01-19,59.0618,59.1433,58.1837,58.582,2518568.0
2021-01-20,58.3919,59.4239,58.2199,59.2338,2668228.0
2021-01-21,58.8174,59.2791,58.5548,58.9441,1805520.0
2021-01-22,58.8626,59.0041,58.3104,58.6273,1719687.0
2021-01-23,58.8626,59.0041,58.3104,58.6273,1719687.0
2021-01-24,58.8626,59.0041,58.3104,58.6273,1719687.0
2021-01-25,58.4824,60.2387,58.1656,60.2025,2481644.0
2021-01-26,59.9309,59.9807,58.8536,59.5778,2263461.0
2021-01-27,59.1795,59.9128,57.7129,57.7763,3344249.0
2021-01-28,57.1969,59.2429,56.1196,57.6133,2995630.0
2021-01-29,57.1969,58.4824,56.9615,57.9302,2540543.0
2021-01-30,57.1969,58.4824,56.9615,57.9302,2540543.0
2021-01-31,57.1969,58.4824,56.9615,57.9302,2540543.0
2021-02-01,58.073,58.7766,57.3508,57.8849,2715430.0
2021-02-02,57.8306,58.9894,57.5816,58.1203,2002612.0
2021-02-03,58.0207,58.1108,57.129,57.1969,1982622.0
2021-02-04,57.1064,57.7582,56.785,57.5681,2543566.0
2021-02-05,57.7491,57.8849,57.301,57.4323,1567726.0
2021-02-06,57.7491,57.8849,57.301,57.4323,1567726.0
2021-02-07,57.7491,57.8849,57.301,57.4323,1567726.0
2021-02-08,57.4142,57.5319,56.2735,56.355,1745677.0
2021-02-09,56.6809,56.7895,55.6684,56.2373,1576927.0
2021-02-10,56.3187,56.6718,55.7348,56.3821,1688349.0
2021-02-11,56.2101,56.5813,55.6669,55.7394,1642838.0
2021-02-12,55.6669,55.9114,55.2233,55.7122,2574056.0
2021-02-13,55.6669,55.9114,55.2233,55.7122,2574056.0
2021-02-14,55.6669,55.9114,55.2233,55.7122,2574056.0
2021-02-15,55.6669,55.9114,55.2233,55.7122,2574056.0
2021-02-16,55.5221,55.8027,54.7616,54.7797,2154425.0
2021-02-17,54.7254,55.4482,54.662,55.1328,2477210.0
2021-02-18,55.0604,56.5179,55.0423,56.4002,3364567.0
2021-02-19,56.5722,56.7623,56.1015,56.192,4121687.0
2021-02-20,56.5722,56.7623,56.1015,56.192,4121687.0
2021-02-21,56.5722,56.7623,56.1015,56.192,4121687.0
2021-02-22,56.7171,56.7171,53.9921,54.7028,3200067.0
2021-02-23,54.7164,56.2599,54.7164,56.0653,3310237.0
2021-02-24,55.7937,55.8208,54.4176,54.5081,2545532.0
2021-02-25,54.1189,54.7933,53.802,54.1732,2761500.0
2021-02-26,54.2999,54.911,52.9601,53.0416,3744145.0
2021-02-27,54.2999,54.911,52.9601,53.0416,3744145.0
2021-02-28,54.2999,54.911,52.9601,53.0416,3744145.0
2021-03-01,53.5666,54.5896,53.4489,53.5485,4751804.0
