,UNM US Equity,UNM US Equity,UNM US Equity,UNM US Equity,UNM US Equity
2019-03-26,27.0924,27.3017,26.8751,27.1487,1549062.0
2019-03-27,27.1809,27.4063,26.9073,27.0602,1196614.0
2019-03-28,27.1246,27.2574,26.6416,27.0119,2101596.0
2019-03-29,27.3338,27.366,27.0562,27.2292,2060474.0
2019-03-30,27.3338,27.366,27.0562,27.2292,2060474.0
2019-03-31,27.3338,27.366,27.0562,27.2292,2060474.0
2019-04-01,27.3821,28.018,27.3821,27.9697,2037169.0
2019-04-02,27.9697,28.2273,27.4868,27.527,2103404.0
2019-04-03,27.849,28.1146,27.688,27.8651,2370067.0
2019-04-04,27.8812,28.3037,27.8007,28.026,1567545.0
2019-04-05,28.1307,28.3963,27.9778,28.1226,2642284.0
2019-04-06,28.1307,28.3963,27.9778,28.1226,2642284.0
2019-04-07,28.1307,28.3963,27.9778,28.1226,2642284.0
2019-04-08,28.0421,28.4132,27.9375,28.3802,1453914.0
2019-04-09,28.179,28.2514,27.8329,27.9375,1695790.0
2019-04-10,27.9617,28.5734,27.9375,28.4768,1573192.0
2019-04-11,28.6539,29.5473,28.5734,29.2334,3055761.0
2019-04-12,29.6439,30.0866,29.4587,29.8451,2896345.0
2019-04-13,29.6439,30.0866,29.4587,29.8451,2896345.0
2019-04-14,29.6439,30.0866,29.4587,29.8451,2896345.0
2019-04-15,29.837,30.3683,29.66,29.7324,3436996.0
2019-04-16,29.9014,30.2395,29.7807,30.2153,1736958.0
2019-04-17,30.3522,30.5856,30.1107,30.1187,3209373.0
2019-04-18,30.0624,30.2636,29.4346,29.4426,2659192.0
2019-04-19,30.0624,30.2636,29.4346,29.4426,2659192.0
2019-04-20,30.0624,30.2636,29.4346,29.4426,2659192.0
2019-04-21,30.0624,30.2636,29.4346,29.4426,2659192.0
2019-04-22,29.3541,29.8531,29.0643,29.2656,2287789.0
2019-04-23,29.2897,30.0061,29.2173,29.7485,1837966.0
2019-04-24,29.5795,29.8209,29.1207,29.177,1893104.0
2019-04-25,28.9839,29.5231,28.5331,29.3461,2067225.0
2019-04-26,29.4758,29.7311,29.265,29.6541,1057387.0
2019-04-27,29.4758,29.7311,29.265,29.6541,1057387.0
2019-04-28,29.4758,29.7311,29.265,29.6541,1057387.0
2019-04-29,29.7514,30.0838,29.5325,29.9622,2881672.0
2019-04-30,29.9541,30.0027,29.5487,29.9297,1918286.0
2019-05-01,29.8406,30.6512,29.2245,29.4514,3256807.0
2019-05-02,29.6298,30.1162,29.2407,29.6136,2847528.0
2019-05-03,29.7433,29.9459,29.5974,29.8406,1337652.0
2019-05-04,29.7433,29.9459,29.5974,29.8406,1337652.0
2019-05-05,29.7433,29.9459,29.5974,29.8406,1337652.0
2019-05-06,29.5001,29.8608,29.0866,29.6865,2506236.0
2019-05-07,29.4352,29.5893,28.8597,28.8921,2976191.0
2019-05-08,28.7299,29.2326,28.6489,28.9164,2060403.0
2019-05-09,28.5759,29.0947,28.4705,29.0218,1492815.0
2019-05-10,28.9002,29.419,28.6975,29.3623,994823.0
2019-05-11,28.9002,29.419,28.6975,29.3623,994823.0
2019-05-12,28.9002,29.419,28.6975,29.3623,994823.0
2019-05-13,28.7137,28.8759,27.9639,28.0328,2411603.0
2019-05-14,28.0976,28.8191,28.0409,28.6327,1824756.0
2019-05-15,28.2436,28.4624,27.9112,28.2354,1401852.0
2019-05-16,28.3408,28.8515,28.2841,28.5111,1398503.0
2019-05-17,28.0976,28.584,28.0976,28.203,1287816.0
2019-05-18,28.0976,28.584,28.0976,28.203,1287816.0
2019-05-19,28.0976,28.584,28.0976,28.203,1287816.0
2019-05-20,28.1057,28.3652,28.0004,28.1787,1603271.0
2019-05-21,28.3733,28.7624,28.2598,28.6246,1235504.0
2019-05-22,28.3408,28.4097,28.0328,28.0328,1497588.0
2019-05-23,27.7004,27.7085,26.7276,26.9789,2461953.0
2019-05-24,27.1492,27.6031,27.0032,27.5545,1778458.0
2019-05-25,27.1492,27.6031,27.0032,27.5545,1778458.0
2019-05-26,27.1492,27.6031,27.0032,27.5545,1778458.0
2019-05-27,27.1492,27.6031,27.0032,27.5545,1778458.0
2019-05-28,27.4005,27.4815,26.8249,26.8492,1786229.0
2019-05-29,26.5979,26.7519,26.2574,26.7438,1955863.0
2019-05-30,26.8168,27.1735,26.2898,26.4358,1132718.0
2019-05-31,25.9818,26.0629,25.4387,25.5278,1906974.0
2019-06-01,25.9818,26.0629,25.4387,25.5278,1906974.0
2019-06-02,25.9818,26.0629,25.4387,25.5278,1906974.0
2019-06-03,25.5035,26.2007,25.4751,26.1439,2627228.0
2019-06-04,26.606,27.0438,26.3952,26.8249,1626337.0
2019-06-05,26.8654,26.9708,26.3304,26.7844,1713054.0
2019-06-06,26.9303,27.4086,26.6911,27.3437,2310677.0
2019-06-07,27.2545,27.4734,27.1248,27.1654,1323566.0
2019-06-08,27.2545,27.4734,27.1248,27.1654,1323566.0
2019-06-09,27.2545,27.4734,27.1248,27.1654,1323566.0
2019-06-10,27.2789,27.6193,26.9871,27.0519,1579006.0
2019-06-11,27.3761,27.595,27.0924,27.141,1072770.0
2019-06-12,27.0438,27.1654,26.4877,26.6952,1691454.0
2019-06-13,26.7357,27.0681,26.7357,26.8816,2051145.0
2019-06-14,26.906,26.906,26.4114,26.7925,1100558.0
2019-06-15,26.906,26.906,26.4114,26.7925,1100558.0
2019-06-16,26.906,26.906,26.4114,26.7925,1100558.0
2019-06-17,26.76,26.9708,26.2169,26.2655,1086038.0
2019-06-18,26.1764,27.1329,26.1277,26.8168,2621467.0
2019-06-19,27.0113,27.2464,26.3304,26.4033,1801640.0
2019-06-20,26.7033,26.8006,25.8197,26.5817,2856474.0
2019-06-21,26.6222,26.7154,26.1966,26.2655,2381482.0
2019-06-22,26.6222,26.7154,26.1966,26.2655,2381482.0
2019-06-23,26.6222,26.7154,26.1966,26.2655,2381482.0
2019-06-24,26.2574,26.4925,26.1034,26.2007,1593016.0
2019-06-25,26.1682,26.4601,26.0304,26.2898,1946602.0
2019-06-26,26.4439,26.7762,26.2898,26.3385,1414192.0
2019-06-27,26.5006,26.7965,26.4114,26.6709,2053624.0
2019-06-28,26.9465,27.2789,26.8897,27.1978,2864794.0
2019-06-29,26.9465,27.2789,26.8897,27.1978,2864794.0
2019-06-30,26.9465,27.2789,26.8897,27.1978,2864794.0
2019-07-01,27.595,27.9598,27.5302,27.9031,2110169.0
2019-07-02,27.9031,27.9355,27.3761,27.5545,1820724.0
2019-07-03,27.5626,28.0368,27.5626,27.9517,576576.0
2019-07-04,27.5626,28.0368,27.5626,27.9517,576576.0
2019-07-05,27.9922,28.4462,27.9112,28.049,1347743.0
2019-07-06,27.9922,28.4462,27.9112,28.049,1347743.0
2019-07-07,27.9922,28.4462,27.9112,28.049,1347743.0
2019-07-08,27.8463,28.1625,27.7247,27.8788,857087.0
2019-07-09,27.6518,28.0206,27.6518,28.0085,1335766.0
2019-07-10,26.6952,27.3478,26.4885,26.6465,3123129.0
2019-07-11,26.6303,26.6546,26.2169,26.4682,2863269.0
2019-07-12,26.6303,26.8492,26.4601,26.8168,1715533.0
2019-07-13,26.6303,26.8492,26.4601,26.8168,1715533.0
2019-07-14,26.6303,26.8492,26.4601,26.8168,1715533.0
2019-07-15,26.9546,26.9546,26.2331,26.5249,2705949.0
2019-07-16,26.606,26.9141,26.533,26.7195,3235709.0
2019-07-17,26.6709,26.7438,26.3466,26.4844,1589139.0
2019-07-18,26.5168,26.6952,26.4439,26.5736,2336347.0
2019-07-19,26.6709,27.0357,26.5574,26.7114,3058593.0
2019-07-20,26.6709,27.0357,26.5574,26.7114,3058593.0
2019-07-21,26.6709,27.0357,26.5574,26.7114,3058593.0
2019-07-22,26.7195,26.7925,26.2453,26.298,1329541.0
2019-07-23,26.4033,26.8046,26.3304,26.7762,2579954.0
2019-07-24,26.7195,27.0113,26.6871,26.8573,1823538.0
2019-07-25,26.8411,26.8411,26.4601,26.5979,2279223.0
2019-07-26,26.6429,27.0395,26.4221,26.97,1438622.0
2019-07-27,26.6429,27.0395,26.4221,26.97,1438622.0
2019-07-28,26.6429,27.0395,26.4221,26.97,1438622.0
2019-07-29,26.8473,26.9454,26.4343,26.5774,1216098.0
2019-07-30,26.373,26.8228,26.1522,26.8228,1291250.0
2019-07-31,26.9863,27.1499,25.8254,26.1277,2350516.0
2019-08-01,26.144,26.144,24.255,24.4594,3420961.0
2019-08-02,24.3613,24.5903,24.116,24.2795,1744885.0
2019-08-03,24.3613,24.5903,24.116,24.2795,1744885.0
2019-08-04,24.3613,24.5903,24.116,24.2795,1744885.0
2019-08-05,23.6662,23.8768,23.2573,23.4618,1953543.0
2019-08-06,23.5926,23.6826,23.0529,23.429,3083234.0
2019-08-07,22.8157,23.061,22.4232,23.0038,2374827.0
2019-08-08,23.2573,23.6826,23.1837,23.6417,1661387.0
2019-08-09,23.519,23.609,23.0774,23.1592,1650829.0
2019-08-10,23.519,23.609,23.0774,23.1592,1650829.0
2019-08-11,23.519,23.609,23.0774,23.1592,1650829.0
2019-08-12,22.8075,22.9057,22.3578,22.4395,1398081.0
2019-08-13,22.3741,23.2164,22.2433,22.8402,2458561.0
2019-08-14,22.186,22.3169,21.5891,21.6381,1741488.0
2019-08-15,21.6463,21.7444,21.0085,21.0657,2146990.0
2019-08-16,21.2947,21.8835,21.2456,21.8262,1654922.0
2019-08-17,21.2947,21.8835,21.2456,21.8262,1654922.0
2019-08-18,21.2947,21.8835,21.2456,21.8262,1654922.0
2019-08-19,22.2433,22.3251,22.0307,22.047,1579045.0
2019-08-20,21.8916,21.9268,21.5236,21.5564,1197353.0
2019-08-21,21.7444,21.8741,21.5972,21.7935,937118.0
2019-08-22,21.9652,22.1779,21.8426,21.8753,1408656.0
2019-08-23,21.6545,21.9325,21.2456,21.3519,3942010.0
2019-08-24,21.6545,21.9325,21.2456,21.3519,3942010.0
2019-08-25,21.6545,21.9325,21.2456,21.3519,3942010.0
2019-08-26,21.6545,21.7281,21.3356,21.4991,1492542.0
2019-08-27,21.6381,21.6872,20.4687,20.575,3587765.0
2019-08-28,20.3788,20.7468,20.3501,20.4933,3470900.0
2019-08-29,20.7713,20.8408,20.5832,20.7713,2111853.0
2019-08-30,21.0085,21.0166,20.6732,20.7795,3344476.0
2019-08-31,21.0085,21.0166,20.6732,20.7795,3344476.0
2019-09-01,21.0085,21.0166,20.6732,20.7795,3344476.0
2019-09-02,21.0085,21.0166,20.6732,20.7795,3344476.0
2019-09-03,20.5423,20.7509,20.207,20.6895,3892454.0
2019-09-04,20.9594,20.9962,20.6241,20.7141,2291001.0
2019-09-05,21.0739,21.7117,21.0739,21.4909,2176919.0
2019-09-06,21.4828,21.9325,21.2947,21.6545,2582594.0
2019-09-07,21.4828,21.9325,21.2947,21.6545,2582594.0
2019-09-08,21.4828,21.9325,21.2947,21.6545,2582594.0
2019-09-09,21.8753,22.6808,21.818,22.6276,3202952.0
2019-09-10,22.7912,23.4454,22.7912,23.3963,3295418.0
2019-09-11,23.3391,23.9524,22.9547,23.9524,2326171.0
2019-09-12,23.6335,24.1037,23.1674,23.9769,2291989.0
2019-09-13,24.3204,24.7048,24.0955,24.3449,2808824.0
2019-09-14,24.3204,24.7048,24.0955,24.3449,2808824.0
2019-09-15,24.3204,24.7048,24.0955,24.3449,2808824.0
2019-09-16,24.0587,24.394,23.9933,24.3122,1651349.0
2019-09-17,24.0751,24.2141,23.8706,24.1569,1265076.0
2019-09-18,23.9769,24.3817,23.8297,24.255,1521389.0
2019-09-19,24.2468,24.5085,24.1405,24.1732,1650179.0
2019-09-20,24.2468,24.6802,24.0669,24.0833,2967036.0
2019-09-21,24.2468,24.6802,24.0669,24.0833,2967036.0
2019-09-22,24.2468,24.6802,24.0669,24.0833,2967036.0
2019-09-23,23.8216,24.4185,23.748,24.2223,1195275.0
2019-09-24,24.2468,24.4349,23.9033,24.1078,2139188.0
2019-09-25,24.0833,24.3327,23.9483,23.9524,1906572.0
2019-09-26,23.9279,24.0424,23.6621,23.9688,1588004.0
2019-09-27,24.2223,24.484,24.0178,24.2059,1009735.0
2019-09-28,24.2223,24.484,24.0178,24.2059,1009735.0
2019-09-29,24.2223,24.484,24.0178,24.2059,1009735.0
2019-09-30,24.3122,24.3368,24.0505,24.3041,1762627.0
2019-10-01,24.533,24.5576,23.057,23.0692,1348332.0
2019-10-02,22.7421,22.9057,21.9898,22.047,1529673.0
2019-10-03,21.8916,21.9775,21.3683,21.7608,2481510.0
2019-10-04,21.7363,22.2842,21.6545,22.2842,1464691.0
2019-10-05,21.7363,22.2842,21.6545,22.2842,1464691.0
2019-10-06,21.7363,22.2842,21.6545,22.2842,1464691.0
2019-10-07,22.1942,22.505,22.0961,22.3169,2825943.0
2019-10-08,21.9162,21.9325,21.6054,21.7853,2000828.0
2019-10-09,22.1043,22.3823,21.9816,22.186,1372078.0
2019-10-10,22.4477,22.8975,22.381,22.5213,1512357.0
2019-10-11,23.0529,23.519,23.0529,23.1346,1697126.0
2019-10-12,23.0529,23.519,23.0529,23.1346,1697126.0
2019-10-13,23.0529,23.519,23.0529,23.1346,1697126.0
2019-10-14,22.8648,23.2287,22.7421,23.151,669002.0
2019-10-15,23.241,23.658,23.0856,23.3554,1153028.0
2019-10-16,23.4863,23.6498,22.9956,23.0038,1688295.0
2019-10-17,23.2328,23.3064,22.8239,22.9384,1128338.0
2019-10-18,22.9956,23.2818,22.9956,23.1183,1534809.0
2019-10-19,22.9956,23.2818,22.9956,23.1183,1534809.0
2019-10-20,22.9956,23.2818,22.9956,23.1183,1534809.0
2019-10-21,23.4372,23.6989,23.3882,23.6253,1195360.0
2019-10-22,23.5517,23.7929,23.3064,23.6826,1005946.0
2019-10-23,23.5517,23.9729,23.429,23.9361,1106158.0
2019-10-24,23.9524,24.0914,23.241,23.5108,1343756.0
2019-10-25,23.4241,23.6554,23.4076,23.5315,1198190.0
2019-10-26,23.4241,23.6554,23.4076,23.5315,1198190.0
2019-10-27,23.4241,23.6554,23.4076,23.5315,1198190.0
2019-10-28,23.6471,23.9527,23.581,23.6223,1251126.0
2019-10-29,23.4737,23.8536,23.4654,23.7049,1182382.0
2019-10-30,23.3498,23.5315,22.3751,22.6807,2008008.0
2019-10-31,22.5899,23.1267,22.3008,22.7468,1756123.0
2019-11-01,23.0276,23.6554,23.0029,23.6554,2540917.0
2019-11-02,23.0276,23.6554,23.0029,23.6554,2540917.0
2019-11-03,23.0276,23.6554,23.0029,23.6554,2540917.0
2019-11-04,23.9362,24.2666,23.8201,24.2253,1468960.0
2019-11-05,24.3822,25.0884,24.3244,24.7208,1643368.0
2019-11-06,24.6713,24.7787,24.3161,24.3574,2206664.0
2019-11-07,24.63,25.0512,24.5226,24.5804,1109157.0
2019-11-08,24.5722,24.7869,24.0849,24.7787,1210538.0
2019-11-09,24.5722,24.7869,24.0849,24.7787,1210538.0
2019-11-10,24.5722,24.7869,24.0849,24.7787,1210538.0
2019-11-11,24.4318,24.7043,24.3574,24.6465,826475.0
2019-11-12,24.63,24.9851,24.4318,24.9108,1340414.0
2019-11-13,24.63,24.6465,24.3905,24.4483,2064381.0
2019-11-14,24.3905,24.6052,24.2913,24.4648,1220777.0
2019-11-15,24.6217,24.7002,24.3905,24.5309,1599423.0
2019-11-16,24.6217,24.7002,24.3905,24.5309,1599423.0
2019-11-17,24.6217,24.7002,24.3905,24.5309,1599423.0
2019-11-18,24.3739,24.5309,23.8536,24.1509,3046942.0
2019-11-19,24.2666,24.5969,24.1501,24.1757,1872555.0
2019-11-20,23.9857,24.4937,23.7793,24.4235,1956625.0
2019-11-21,24.6052,24.8778,24.44,24.7456,1583979.0
2019-11-22,24.7787,25.1916,24.7291,24.9521,1660992.0
2019-11-23,24.7787,25.1916,24.7291,24.9521,1660992.0
2019-11-24,24.7787,25.1916,24.7291,24.9521,1660992.0
2019-11-25,24.9108,25.1503,24.7415,25.0099,1435674.0
2019-11-26,24.9604,24.9604,24.6424,24.8943,1798935.0
2019-11-27,25.1916,25.522,25.0595,25.3155,1739313.0
2019-11-28,25.1916,25.522,25.0595,25.3155,1739313.0
2019-11-29,25.3155,25.6913,25.2247,25.3899,946914.0
2019-11-30,25.3155,25.6913,25.2247,25.3899,946914.0
2019-12-01,25.3155,25.6913,25.2247,25.3899,946914.0
2019-12-02,25.4972,25.7946,25.1586,25.1751,1455343.0
2019-12-03,24.6961,24.6961,23.8866,23.9031,2316186.0
2019-12-04,23.8206,24.2418,23.7958,23.9527,2185023.0
2019-12-05,24.1427,24.2255,23.7627,23.8536,1918380.0
2019-12-06,24.2913,24.3946,23.9279,24.1757,4271406.0
2019-12-07,24.2913,24.3946,23.9279,24.1757,4271406.0
2019-12-08,24.2913,24.3946,23.9279,24.1757,4271406.0
2019-12-09,24.184,24.5557,24.0188,24.4565,1975705.0
2019-12-10,24.3987,24.8241,24.3079,24.7374,3201765.0
2019-12-11,24.7291,25.0347,24.5887,24.9356,2788730.0
2019-12-12,25.1338,25.807,24.9851,25.6129,2610066.0
2019-12-13,25.6872,25.8648,25.0347,25.0595,1687230.0
2019-12-14,25.6872,25.8648,25.0347,25.0595,1687230.0
2019-12-15,25.6872,25.8648,25.0347,25.0595,1687230.0
2019-12-16,25.3568,25.522,25.043,25.1008,2524844.0
2019-12-17,25.0264,25.4229,24.8695,25.1999,2766693.0
2019-12-18,25.1916,25.2288,24.4152,24.4648,3454592.0
2019-12-19,24.4648,24.4731,24.0518,24.2335,3184724.0
2019-12-20,24.3657,24.6135,24.217,24.2913,4345230.0
2019-12-21,24.3657,24.6135,24.217,24.2913,4345230.0
2019-12-22,24.3657,24.6135,24.217,24.2913,4345230.0
2019-12-23,24.3079,24.4483,24.1509,24.2996,1309076.0
2019-12-24,24.3326,24.3657,24.0105,24.1014,461646.0
2019-12-25,24.3326,24.3657,24.0105,24.1014,461646.0
2019-12-26,24.0849,24.25,23.961,24.027,852308.0
2019-12-27,24.1179,24.1179,23.7875,23.8206,1452071.0
2019-12-28,24.1179,24.1179,23.7875,23.8206,1452071.0
2019-12-29,24.1179,24.1179,23.7875,23.8206,1452071.0
2019-12-30,23.9197,23.9775,23.7049,23.7462,1047202.0
2019-12-31,23.7049,24.1551,23.7049,24.0849,1330973.0
2020-01-01,23.7049,24.1551,23.7049,24.0849,1330973.0
2020-01-02,24.2583,24.5061,24.0683,24.4813,2168599.0
2020-01-03,24.1014,24.184,23.738,24.0023,1862584.0
2020-01-04,24.1014,24.184,23.738,24.0023,1862584.0
2020-01-05,24.1014,24.184,23.738,24.0023,1862584.0
2020-01-06,23.7462,23.8536,23.5645,23.6967,2358022.0
2020-01-07,23.5893,23.8618,23.4406,23.6719,1767862.0
2020-01-08,23.7214,24.0518,23.6967,23.8784,1689126.0
2020-01-09,24.1014,24.1014,23.738,23.8453,1426431.0
2020-01-10,23.8453,24.1262,23.6471,23.7214,1480634.0
2020-01-11,23.8453,24.1262,23.6471,23.7214,1480634.0
2020-01-12,23.8453,24.1262,23.6471,23.7214,1480634.0
2020-01-13,23.7958,24.0298,23.6554,23.9775,1398782.0
2020-01-14,24.027,24.0436,23.771,23.8288,1602262.0
2020-01-15,23.548,23.7627,23.4571,23.5975,1126577.0
2020-01-16,23.804,24.1014,23.771,24.0683,1477275.0
2020-01-17,24.1427,24.4724,24.1262,24.2583,1457616.0
2020-01-18,24.1427,24.4724,24.1262,24.2583,1457616.0
2020-01-19,24.1427,24.4724,24.1262,24.2583,1457616.0
2020-01-20,24.1427,24.4724,24.1262,24.2583,1457616.0
2020-01-21,24.0849,24.0849,23.6058,23.8123,3084037.0
2020-01-22,23.8784,23.9692,23.5645,23.6801,1101757.0
2020-01-23,23.5397,23.7669,22.9616,23.6801,1732377.0
2020-01-24,23.7049,23.7049,22.9285,23.2093,1609293.0
2020-01-25,23.7049,23.7049,22.9285,23.2093,1609293.0
2020-01-26,23.7049,23.7049,22.9285,23.2093,1609293.0
2020-01-27,22.6147,22.7744,22.276,22.3421,1821396.0
2020-01-28,22.5816,22.9698,22.4577,22.5816,1541957.0
2020-01-29,22.6725,23.0855,22.6312,22.7468,1639371.0
2020-01-30,22.534,22.9346,22.3003,22.9179,2547397.0
2020-01-31,22.5841,22.7093,22.0499,22.2753,3409141.0
2020-02-01,22.5841,22.7093,22.0499,22.2753,3409141.0
2020-02-02,22.5841,22.7093,22.0499,22.2753,3409141.0
2020-02-03,22.4005,22.8052,22.3504,22.559,1848361.0
2020-02-04,23.0765,23.2434,22.8511,23.0765,2891321.0
2020-02-05,24.6121,25.213,23.7859,25.213,3238792.0
2020-02-06,25.4718,25.5135,24.4035,24.5787,2227600.0
2020-02-07,24.2199,24.6539,24.1948,24.5871,2025131.0
2020-02-08,24.2199,24.6539,24.1948,24.5871,2025131.0
2020-02-09,24.2199,24.6539,24.1948,24.5871,2025131.0
2020-02-10,24.4786,24.5621,24.2032,24.4953,1634264.0
2020-02-11,24.6121,24.996,24.5787,24.7457,1524639.0
2020-02-12,25.0378,25.3841,24.9543,25.1963,2564804.0
2020-02-13,25.0795,25.2297,24.9376,25.188,1935923.0
2020-02-14,25.1546,25.188,24.9042,25.0461,1438637.0
2020-02-15,25.1546,25.188,24.9042,25.0461,1438637.0
2020-02-16,25.1546,25.188,24.9042,25.0461,1438637.0
2020-02-17,25.1546,25.188,24.9042,25.0461,1438637.0
2020-02-18,24.8959,25.1963,24.5704,24.729,1482605.0
2020-02-19,24.7874,24.9209,24.6706,24.7874,1592728.0
2020-02-20,24.6622,25.3634,24.6622,25.1379,1702423.0
2020-02-21,24.8959,25.0837,24.5036,25.0127,1328531.0
2020-02-22,24.8959,25.0837,24.5036,25.0127,1328531.0
2020-02-23,24.8959,25.0837,24.5036,25.0127,1328531.0
2020-02-24,24.1781,24.1948,23.0181,23.0264,2355313.0
2020-02-25,23.0765,23.1099,21.2905,21.3656,2596495.0
2020-02-26,21.5826,21.6493,21.0651,21.0818,2873339.0
2020-02-27,20.4642,20.8398,19.6547,19.9635,3479190.0
2020-02-28,19.1956,19.663,18.8701,19.4544,4507707.0
2020-02-29,19.1956,19.663,18.8701,19.4544,4507707.0
2020-03-01,19.1956,19.663,18.8701,19.4544,4507707.0
